sa4_code_2011,sa4_name_2011,year,p_0_14_yrs_pc,p_15_24_yrs_pc,p_25_34_yrs_pc,p_35_44_yrs_pc,p_45_54_yrs_pc,p_55_64_yrs_pc,p_65_74_yrs_pc,p_75_84_yrs_pc,p_85_yrs_plus_pc,m_0_4_yrs,m_5_9_yrs,m_10_14_yrs,m_15_19_yrs,m_20_24_yrs,m_25_29_yrs,m_30_34_yrs,m_35_39_yrs,m_40_44_yrs,m_45_49_yrs,m_50_54_yrs,m_55_59_yrs,m_60_64_yrs,m_65_69_yrs,m_70_74_yrs,m_75_79_yrs,m_80_84_yrs,m_85_yrs_and_over,m_tot,f_0_4_yrs,f_5_9_yrs,f_10_14_yrs,f_15_19_yrs,f_20_24_yrs,f_25_29_yrs,f_30_34_yrs,f_35_39_yrs,f_40_44_yrs,f_45_49_yrs,f_50_54_yrs,f_55_59_yrs,f_60_64_yrs,f_65_69_yrs,f_70_74_yrs,f_75_79_yrs,f_80_84_yrs,f_85_yrs_and_over,f_tot,p_0_4_yrs,p_5_9_yrs,p_10_14_yrs,p_15_19_yrs,p_20_24_yrs,p_25_29_yrs,p_30_34_yrs,p_35_39_yrs,p_40_44_yrs,p_45_49_yrs,p_50_54_yrs,p_55_59_yrs,p_60_64_yrs,p_65_69_yrs,p_70_74_yrs,p_75_79_yrs,p_80_84_yrs,p_85_yrs_and_over,p_tot,p_tot_wrk_age_pop_pc,m_med_age,f_med_age,p_med_age,prop_indig_ppl_pc,bd_births,bd_tot_fert_rate,bd_deaths,bd_stnd_dth_rate,pop_density,rime_net_migrtn,rime_arrivals,rime_departures,obp_oceania_antar_pc,obp_nw_europe_pc,obp_sth_east_europe_pc,obp_nrth_afric_mid_east_pc,obp_se_asia_pc,obp_ne_asia_pc,obp_sth_cntrl_asia_pc,obp_america_pc,obp_sub_saharan_africa_pc,obp_tot_pc,spk_lang_oth_eng_pc,enrl_preschl_prog_4_yrs,enrl_preschl_prog_5_yrs,enrl_preschl_prog_tot,enrl_preschl_prog_preschl,enrl_preschl_prog_preschl_daycare,enrl_preschl_prog_1_more_type,att_preschl_15_hrs_less,att_preschl_15_hrs_more,psq_pop_15_yrs_plus_pc,psq_postgrad_deg_pc,psq_grad_dip_cert_pc,psq_bach_deg_pc,psq_adv_dip_dip_pc,psq_cert_pc,psq_inad_desc_ns_pc,oep_manager_pc,oep_prof_pc,oep_tech_trade_wrk_pc,oep_comm_pers_serv_wrk_pc,oep_cler_admin_wrk_pc,oep_sal_wrk_pc,oep_mach_oper_driv_pc,oep_lab_pc,oep_inad_desc_ns_pc,mtw_1_meth_train_or_tram,mtw_1_meth_bus,mtw_1_meth_car,mtw_1_meth_motorbike_or_scooter,mtw_1_meth_bicycle,mtw_1_meth_oth,mtw_1_meth_walk_ono,mtw_1_meth_tot,mtw_more_1_meth_tot,mtw_oth_wrk_home,mtw_oth_emp_not_go_to_wrk,mtw_oth_wrk_meth_ns,mtw_tot_empl,hhold_type_lone_pers,hhold_type_group,hhold_type_fam,hhold_type_tot,hhold_avg_size,fam_type_cpl_chld_u15_dep_stu,fam_type_cpl_non_dep_chld,fam_type_cpl_wo_chld,fam_type_opf_chld_u15_dep_stu,fam_type_opf_non_dep_chld,fam_type_oth_fam,fam_type_tot,fam_avg_size,disable_p_liv_priv_dwell,disable_p_liv_priv_dwell_pc,uw_volunt_wrk_org_grp_pc,uw_care_own_chld_wo_pay_pc,uw_care_oth_chld_wo_pay_pc,uw_care_own_oth_chld_wo_pay_pc,uw_prov_care_hpl_assist_oth_pc,internet_access_broadband_pc,internet_access_dial_up_pc,internet_access_other_pc,internet_access_tot_connected_pc
103,Central West,2014,20.3,13.1,11.5,11.9,13.0,12.4,9.9,5.6,2.2,7126,7572,7305,7387,6924,6187,6068,5725,6680,6609,7221,6881,6529,5954,4521,3326,2166,1610,105791,6653,6976,6988,6890,6270,5913,5862,5851,6810,6502,6988,6561,6125,5707,4541,3639,2706,3077,104059,13779,14548,14293,14277,13194,12100,11930,11576,13490,13111,14209,13442,12654,11661,9062,6965,4872,4687,209850,61.9,39,41,40,,2460.0,2.2,1737.0,6.4,3.0,148.0,9390.0,9242.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Central West,2013,20.5,13.1,11.3,12.1,13.1,12.4,9.7,5.6,2.2,7193,7499,7280,7387,6837,6098,5818,5796,6702,6640,7188,6796,6464,5820,4322,3199,2125,1501,104665,6785,6845,6951,6930,6158,5829,5690,5927,6812,6482,6960,6510,6066,5613,4357,3551,2680,2969,103115,13978,14344,14231,14317,12995,11927,11508,11723,13514,13122,14148,13306,12530,11433,8679,6750,4805,4470,207780,62.1,39,40,40,,2713.0,2.3,1734.0,6.8,3.0,-13.0,9363.0,9376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Central West,2012,20.6,13.1,11.1,12.3,13.3,12.5,9.5,5.5,2.1,7275,7339,7402,7314,6724,5972,5644,5913,6655,6701,7203,6705,6475,5575,4225,3108,2134,1380,103744,6754,6749,6947,6889,6098,5778,5526,6037,6727,6637,6844,6415,6036,5456,4209,3440,2704,2863,102109,14029,14088,14349,14203,12822,11750,11170,11950,13382,13338,14047,13120,12511,11031,8434,6548,4838,4243,205853,62.3,39,40,39,,2729.0,,1802.0,,2.9,1196.0,10532.0,9336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Central West,2011,20.8,13.1,10.9,12.5,13.5,12.6,9.2,5.5,2.0,7325,7146,7467,7223,6610,5797,5460,6137,6529,6808,7068,6720,6490,5310,4122,3019,2100,1276,102607,6795,6635,6911,6832,5921,5533,5420,6203,6543,6761,6739,6245,6178,5149,4079,3380,2695,2773,100792,14120,13781,14378,14055,12531,11330,10880,12340,13072,13569,13807,12965,12668,10459,8201,6399,4795,4049,203399,62.5,39,40,39,5.4,2667.0,,1911.0,,2.9,876.0,9752.0,8876.0,1.1,3.3,0.7,0.3,0.5,0.3,0.3,0.3,0.4,13.1,2.9,,,,,,,,,51.6,1.5,1.1,8.3,6.4,22.0,12.4,16.0,15.5,15.0,9.8,12.1,8.7,9.5,11.7,1.6,87.0,557.0,59959.0,414.0,397.0,2442.0,4237.0,68093.0,725.0,6141.0,9246.0,1457.0,85662.0,20348.0,1979.0,50773.0,73100.0,2.5,17614.0,3494.0,21334.0,5870.0,2509.0,717.0,51538.0,3.0,,,21.8,19.7,7.7,1.0,11.8,58.4,3.5,3.7,65.6
103,Central West,2010,20.8,13.3,11.0,12.7,13.6,12.5,8.9,5.4,1.9,7309,7045,7437,7257,6576,5789,5404,6362,6477,7003,6881,6678,6285,5038,3924,2950,2008,1226,101649,6732,6507,6906,6837,6053,5565,5361,6427,6279,6872,6615,6152,5983,4902,4025,3230,2597,2696,99739,14041,13552,14343,14094,12629,11354,10765,12789,12756,13875,13496,12830,12268,9940,7949,6180,4605,3922,201388,63.0,38,40,39,,,,,,2.9,478.0,9619.0,9141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Illawarra,2014,18.4,14.1,12.5,12.9,13.2,11.9,9.0,5.6,2.3,9186,9572,9460,10175,11663,9795,8969,9012,10032,9272,10099,9146,8124,7497,5614,4519,3151,2450,147736,8643,9039,8790,9494,10612,9362,8985,9157,10176,9388,10363,9517,8528,7469,6140,5033,4066,4347,149109,17829,18611,18250,19669,22275,19157,17954,18169,20208,18660,20462,18663,16652,14966,11754,9552,7217,6797,296845,64.6,38,40,39,,3039.0,1.8,2243.0,5.5,192.9,623.0,9759.0,9136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Coffs Harbour - Grafton,2014,18.3,11.6,9.2,11.3,13.7,15.1,11.6,6.6,2.7,3915,4356,4483,4638,3455,3092,3135,3301,4040,4046,4863,5234,5034,4598,3339,2488,1731,1356,67104,3693,4183,4328,4392,3337,3080,3278,3471,4571,4576,5224,5406,4877,4455,3442,2663,2069,2269,69314,7608,8539,8811,9030,6792,6172,6413,6772,8611,8622,10087,10640,9911,9053,6781,5151,3800,3625,136418,60.9,44,45,45,,1331.0,2.1,1286.0,6.1,10.3,-50.0,7218.0,7268.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Coffs Harbour - Grafton,2013,18.5,11.6,9.1,11.5,14.0,14.9,11.2,6.5,2.6,3980,4310,4601,4636,3408,3055,3058,3383,4022,4190,4884,5181,4959,4449,3186,2388,1761,1277,66728,3780,4118,4376,4441,3288,3055,3188,3580,4580,4622,5324,5292,4815,4314,3280,2653,2044,2199,68949,7760,8428,8977,9077,6696,6110,6246,6963,8602,8812,10208,10473,9774,8763,6466,5041,3805,3476,135677,61.1,44,45,44,,1489.0,2.2,1269.0,6.1,10.3,-270.0,6804.0,7074.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Coffs Harbour - Grafton,2012,18.7,11.7,9.0,11.7,14.3,14.7,10.9,6.4,2.5,3994,4317,4649,4685,3418,3040,2997,3514,4017,4327,4924,5193,4905,4187,3106,2324,1759,1222,66578,3844,4034,4478,4438,3273,3029,3167,3713,4541,4771,5382,5179,4670,4203,3194,2567,2015,2200,68698,7838,8351,9127,9123,6691,6069,6164,7227,8558,9098,10306,10372,9575,8390,6300,4891,3774,3422,135276,61.5,43,45,44,,1413.0,,1231.0,,10.2,-236.0,7213.0,7449.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Coffs Harbour - Grafton,2011,18.9,11.7,9.0,11.9,14.6,14.7,10.4,6.3,2.5,4044,4324,4788,4653,3416,3048,2933,3669,3989,4505,4995,5158,4903,3941,3033,2314,1694,1168,66575,3886,3998,4547,4475,3279,3021,3185,3894,4491,4906,5383,5070,4705,3992,3106,2536,1971,2162,68607,7930,8322,9335,9128,6695,6069,6118,7563,8480,9411,10378,10228,9608,7933,6139,4850,3665,3330,135182,61.9,43,45,44,4.6,1528.0,,1255.0,,10.2,244.0,7578.0,7334.0,1.6,5.5,0.6,0.2,0.7,0.3,0.6,0.5,0.7,15.6,4.0,,,,,,,,,53.0,1.5,1.2,8.7,7.0,23.0,11.7,12.5,16.9,14.1,12.3,13.1,11.2,6.0,12.2,1.6,35.0,250.0,35482.0,399.0,594.0,1309.0,2216.0,40285.0,411.0,3141.0,5862.0,841.0,50540.0,13643.0,1590.0,35108.0,50341.0,2.4,10570.0,2281.0,15913.0,4883.0,1822.0,408.0,35877.0,2.9,,,20.7,18.3,7.4,1.0,13.2,61.8,3.5,3.4,68.7
104,Coffs Harbour - Grafton,2010,19.0,11.8,9.1,12.1,15.0,14.4,10.1,6.2,2.4,4111,4256,4742,4747,3476,3014,2993,3769,3915,4740,5066,5034,4724,3723,2974,2270,1610,1118,66282,3856,3961,4523,4384,3268,3045,3158,4078,4472,5062,5319,4896,4630,3777,3046,2503,1918,2079,67975,7967,8217,9265,9131,6744,6059,6151,7847,8387,9802,10385,9930,9354,7500,6020,4773,3528,3197,134257,62.4,43,44,43,,,,,,10.1,910.0,8209.0,7299.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Far West and Orana,2014,20.9,12.3,11.7,11.8,13.3,12.5,9.7,5.6,2.2,4218,4487,4215,3882,3646,3666,3249,3144,3801,3760,4240,4115,3674,3316,2613,1890,1270,963,60149,4043,4149,3869,3588,3557,3616,3455,3388,3822,3739,4185,3876,3356,3169,2501,2015,1566,1699,59593,8261,8636,8084,7470,7203,7282,6704,6532,7623,7499,8425,7991,7030,6485,5114,3905,2836,2662,119742,61.6,39,40,40,,1492.0,2.3,1122.0,6.9,0.4,-693.0,5476.0,6169.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Far West and Orana,2013,21.1,12.3,11.4,12.0,13.5,12.4,9.6,5.6,2.1,4379,4375,4158,3972,3590,3575,3131,3184,3841,3796,4262,3998,3629,3291,2521,1842,1277,879,59700,4186,4058,3911,3575,3543,3530,3385,3357,3863,3809,4228,3768,3341,3097,2456,1930,1594,1637,59268,8565,8433,8069,7547,7133,7105,6516,6541,7704,7605,8490,7766,6970,6388,4977,3772,2871,2516,118968,61.7,39,40,40,,1731.0,2.5,1095.0,7.0,0.4,-643.0,5265.0,5908.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Far West and Orana,2012,21.1,12.5,11.3,12.1,13.7,12.3,9.3,5.5,2.0,4323,4348,4199,4034,3541,3528,3018,3325,3802,3850,4278,4008,3617,3195,2451,1756,1311,795,59379,4213,4049,3887,3725,3524,3530,3302,3421,3836,3912,4239,3686,3309,2979,2417,1865,1592,1562,59048,8536,8397,8086,7759,7065,7058,6320,6746,7638,7762,8517,7694,6926,6174,4868,3621,2903,2357,118427,62.1,39,40,40,,1677.0,,1021.0,,0.3,-655.0,5480.0,6135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Far West and Orana,2011,21.4,12.6,11.2,12.3,13.9,12.4,9.0,5.4,1.9,4445,4285,4217,4108,3485,3418,3029,3486,3756,3972,4274,3933,3698,3017,2375,1690,1266,737,59191,4250,4033,3971,3750,3470,3502,3248,3534,3788,3972,4217,3639,3342,2832,2353,1889,1563,1447,58800,8695,8318,8188,7858,6955,6920,6277,7020,7544,7944,8491,7572,7040,5849,4728,3579,2829,2184,117991,62.4,39,40,39,15.7,1749.0,,1058.0,,0.3,-905.0,5414.0,6319.0,0.9,2.0,0.5,0.1,0.4,0.2,0.4,0.3,0.3,11.8,2.5,,,,,,,,,48.3,1.0,1.0,7.3,5.2,20.2,13.7,18.1,15.1,13.2,11.5,11.6,8.5,8.3,12.0,1.7,20.0,328.0,32658.0,368.0,294.0,1481.0,3283.0,38432.0,360.0,3790.0,4612.0,894.0,48088.0,12511.0,1089.0,28757.0,42357.0,2.4,9312.0,1982.0,11808.0,4168.0,1569.0,509.0,29348.0,3.0,,,21.7,19.1,7.7,1.0,11.8,53.5,3.1,4.0,60.6
105,Far West and Orana,2010,21.6,12.5,11.3,12.5,14.1,12.1,8.7,5.3,1.8,4546,4370,4249,4118,3550,3428,3130,3648,3728,4203,4217,3888,3577,2945,2334,1665,1208,689,59493,4361,4030,4037,3826,3335,3505,3288,3649,3779,4063,4130,3564,3300,2722,2329,1888,1512,1407,58725,8907,8400,8286,7944,6885,6933,6418,7297,7507,8266,8347,7452,6877,5667,4663,3553,2720,2096,118218,62.5,38,39,39,,,,,,0.3,-970.0,5392.0,6362.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Hunter Valley exc Newcastle,2014,20.3,12.9,12.4,12.9,13.2,12.1,9.4,4.8,1.9,9197,9400,9122,8910,8663,8488,8324,8170,9000,8530,9022,8342,7671,7228,5316,3575,2315,1741,133014,8538,8935,8449,8538,7894,7900,8137,8052,8950,8449,8799,8422,7585,7225,5126,3879,3015,3180,131073,17735,18335,17571,17448,16557,16388,16461,16222,17950,16979,17821,16764,15256,14453,10442,7454,5330,4921,264087,63.6,38,39,39,,3047.0,2.1,1970.0,6.0,12.3,1462.0,14297.0,12835.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
