SA4_MAIN11,Sme_Usl_ad_5_yr_ago_as_2011_M,Sme_Usl_ad_5_yr_ago_as_2011_F,Sme_Usl_ad_5_yr_ago_as_2011_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P,SA4_NAME11
213,152667,156449,309116,13613,14149,27762,2685,2724,5409,64312,65151,129463,1989,2017,4006,803,825,1628,846,901,1747,410,391,801,228,230,458,337,349,686,3,4,7,71613,72592,144205,23301,23097,46398,1253,1134,2387,109780,110972,220752,20313,17198,37511,282760,284619,567379,Melbourne - West
214,69794,73570,143364,10103,10912,21015,1183,1117,2300,28671,31263,59934,1033,1067,2100,224,229,453,468,439,907,205,217,422,143,141,284,100,97,197,0,0,0,32027,34570,66597,3702,4016,7718,594,479,1073,46426,49977,96403,6944,7240,14184,123164,130787,253951,Mornington Peninsula
215,42063,42594,84657,8825,9680,18505,1339,1468,2807,8201,8816,17017,628,701,1329,853,914,1767,248,261,509,110,110,220,139,148,287,28,27,55,0,0,0,11546,12445,23991,1376,1289,2665,314,273,587,22061,23687,45748,4269,3606,7875,68393,69887,138280,North West
216,34608,34773,69381,6958,7540,14498,1174,1354,2528,8658,9480,18138,550,608,1158,142,163,305,170,186,356,88,99,187,67,72,139,32,33,65,0,0,0,10881,11995,22876,1287,1234,2521,257,245,502,19383,21014,40397,3601,3259,6860,57592,59046,116638,Shepparton
217,35040,35539,70579,6656,7044,13700,400,391,791,8390,9297,17687,424,474,898,454,488,942,222,243,465,89,89,178,71,85,156,28,26,54,0,0,0,10078,11093,21171,889,902,1791,250,267,517,17873,19306,37179,2774,2611,5385,55687,57456,113143,Warrnambool and South West
297,18,0,18,0,0,0,0,0,0,6,0,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,5,0,5,0,0,0,14,0,14,4,0,4,36,0,36,Migratory - Offshore - Shipping (Vic.)
299,497,308,805,211,107,318,164,135,299,1458,1332,2790,121,118,239,48,45,93,76,53,129,26,46,72,22,14,36,19,20,39,0,0,0,1934,1763,3697,540,570,1110,42,24,66,2727,2464,5191,1215,646,1861,4439,3418,7857,Special Purpose Codes SA4 (Vic.)
301,50178,52521,102699,5963,6300,12263,2204,2348,4552,814,877,1691,25458,27498,52956,273,314,587,304,331,635,147,128,275,120,154,274,211,244,455,0,0,0,29531,31894,61425,5385,5649,11034,556,545,1101,41435,44388,85823,4603,4180,8783,96216,101089,197305,Brisbane - East
302,45337,49107,94444,3070,3310,6380,1761,1793,3554,720,670,1390,22939,24768,47707,286,262,548,271,248,519,146,157,303,190,165,355,201,230,431,0,0,0,26514,28293,54807,6154,6298,12452,470,453,923,36208,38354,74562,4799,4616,9415,86344,92077,178421,Brisbane - North
303,71749,76713,148462,5387,5588,10975,2812,2796,5608,1137,1089,2226,36541,37600,74141,444,422,866,369,340,709,180,218,398,199,199,398,250,300,550,0,0,0,41932,42964,84896,15995,16437,32432,869,777,1646,64183,65766,129949,8323,7046,15369,144255,149525,293780,Brisbane - South
304,40194,43151,83345,3578,3769,7347,2062,1894,3956,895,871,1766,19040,19755,38795,305,332,637,406,368,774,102,97,199,235,182,417,312,309,621,3,4,7,23360,23812,47172,7261,7710,14971,359,408,767,34558,35699,70257,3204,3171,6375,77956,82021,159977,Brisbane - West
305,39546,41200,80746,3658,3694,7352,3901,3723,7624,1677,1642,3319,31519,32391,63910,488,494,982,601,593,1194,216,226,442,240,238,478,451,433,884,0,0,0,39093,39740,78833,14090,14218,28308,713,536,1249,57554,58188,115742,9152,6716,15868,106252,106104,212356,Brisbane Inner City
306,50189,49401,99590,8733,9218,17951,2254,2344,4598,1642,1781,3423,23650,25679,49329,721,780,1501,863,924,1787,202,236,438,814,818,1632,182,186,368,10,13,23,30338,32761,63099,4470,5033,9503,791,712,1503,44332,47724,92056,8968,7632,16600,103489,104757,208246,Cairns
307,31004,29975,60979,7439,7690,15129,1443,1463,2906,282,242,524,10712,11503,22215,130,127,257,169,172,341,44,46,90,132,161,293,25,32,57,0,0,0,12937,13746,26683,1096,1001,2097,358,319,677,21830,22756,44586,4260,3472,7732,57094,56203,113297,Darling Downs - Maranoa
308,47827,46023,93850,8558,8613,17171,1831,1696,3527,821,811,1632,25980,26261,52241,313,328,641,580,533,1113,213,198,411,408,400,808,48,59,107,3,3,6,30197,30289,60486,3254,3160,6414,702,619,1321,42711,42681,85392,9346,6656,16002,99884,95360,195244,Fitzroy
309,101912,107530,209442,14162,14770,28932,11764,12968,24732,3662,3974,7636,58304,62694,120998,1049,1159,2208,1062,1192,2254,671,805,1476,402,389,791,700,698,1398,0,0,0,77614,83879,161493,18285,19385,37670,1706,1627,3333,111767,119661,231428,17998,16924,34922,231677,244115,475792,Gold Coast
310,62807,63711,126518,8477,9300,17777,2997,3074,6071,978,938,1916,34300,36209,70509,500,492,992,358,364,722,192,181,373,344,335,679,196,197,393,5,0,5,39870,41790,81660,6136,6507,12643,1003,882,1885,55486,58479,113965,10700,7540,18240,128993,129730,258723,Ipswich
311,68405,68870,137275,6814,7370,14184,2543,2751,5294,885,940,1825,35635,37709,73344,322,355,677,276,331,607,163,161,324,168,162,330,138,158,296,0,4,4,40130,42571,82701,6988,7324,14312,1071,956,2027,55003,58221,113224,8583,7783,16366,131991,134874,266865,Logan - Beaudesert
312,37043,34749,71792,6742,6511,13253,2285,2034,4319,1021,963,1984,19928,19565,39493,381,353,734,620,573,1193,217,190,407,310,278,588,65,64,129,0,0,0,24827,24020,48847,3245,3099,6344,529,466,995,35343,34096,69439,8549,4604,13153,80935,73449,154384,Mackay
313,47540,49779,97319,7038,7771,14809,2514,2702,5216,1008,1083,2091,26800,29220,56020,297,307,604,305,309,614,162,179,341,205,232,437,151,185,336,0,0,0,31442,34217,65659,3691,4005,7696,828,770,1598,42999,46763,89762,7245,6111,13356,97784,102653,200437,Moreton Bay - North
314,39571,40502,80073,4317,4589,8906,1671,1768,3439,769,746,1515,20632,22125,42757,228,279,507,306,324,630,154,139,293,209,216,425,181,189,370,0,0,0,24150,25786,49936,4207,4386,8593,435,414,849,33109,35175,68284,2948,2649,5597,75628,78326,153954,Moreton Bay - South
315,20840,19141,39981,4170,4079,8249,785,691,1476,331,268,599,6694,6482,13176,153,113,266,236,186,422,87,70,157,269,242,511,28,35,63,0,0,0,8583,8087,16670,1102,1072,2174,250,209,459,14105,13447,27552,5108,2979,8087,40053,35567,75620,Queensland - Outback
316,67231,71424,138655,10451,11364,21815,4229,4716,8945,2259,2577,4836,37305,41575,78880,607,672,1279,833,892,1725,330,380,710,394,446,840,351,398,749,3,3,6,46311,51659,97970,6505,7078,13583,973,952,1925,64240,71053,135293,7993,7226,15219,139464,149703,289167,Sunshine Coast
317,30558,32870,63428,3869,4165,8034,1461,1588,3049,382,389,771,19216,21302,40518,135,127,262,163,180,343,85,91,176,190,243,433,103,100,203,5,7,12,21740,24027,45767,2400,2430,4830,366,314,680,28375,30936,59311,3746,3561,7307,62679,67367,130046,Toowoomba
318,48752,48301,97053,5966,6485,12451,2625,2394,5019,1448,1461,2909,27342,29191,56533,514,520,1034,648,669,1317,248,269,517,763,762,1525,273,266,539,5,0,5,33866,35532,69398,3494,3801,7295,728,628,1356,44054,46446,90500,8308,6389,14697,101114,101136,202250,Townsville
319,65219,66426,131645,10362,11204,21566,2866,3027,5893,1188,1271,2459,32910,35869,68779,406,418,824,642,650,1292,229,238,467,537,575,1112,155,180,335,4,6,10,38937,42234,81171,2241,2486,4727,907,855,1762,52447,56779,109226,8357,7234,15591,126023,130439,256462,Wide Bay
397,112,106,218,4,0,4,14,6,20,13,9,22,58,21,79,0,6,6,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,85,45,130,15,17,32,4,0,4,108,62,170,58,25,83,278,193,471,Migratory - Offshore - Shipping (Qld)
399,874,525,1399,295,157,452,515,418,933,278,260,538,2290,1937,4227,129,100,229,162,147,309,59,61,120,69,50,119,38,26,64,0,0,0,3540,2999,6539,739,741,1480,77,62,139,4651,3959,8610,1360,678,2038,6885,5162,12047,Special Purpose Codes SA4 (Qld)
401,72197,77770,149967,6146,6767,12913,1452,1524,2976,1479,1595,3074,884,865,1749,26771,28859,55630,491,503,994,162,162,324,464,477,941,198,211,409,3,0,3,31904,34196,66100,9965,10678,20643,481,584,1065,48496,52225,100721,6500,5509,12009,127193,135504,262697,Adelaide - Central and Hills
402,106852,109124,215976,8155,8638,16793,1375,1222,2597,1256,1161,2417,1128,1091,2219,40248,43227,83475,515,476,991,182,180,362,555,529,1084,195,181,376,7,6,13,45461,48073,93534,8608,8514,17122,970,914,1884,63194,66139,129333,10135,9069,19204,180181,184332,364513,Adelaide - North
403,93338,98763,192101,7142,7987,15129,1279,1291,2570,1175,1256,2431,1011,1172,2183,34251,37221,71472,531,529,1060,168,184,352,523,528,1051,191,159,350,0,3,3,39129,42343,81472,7950,8444,16394,628,584,1212,54849,59358,114207,6726,6681,13407,154913,164802,319715,Adelaide - South
404,59159,62688,121847,4685,4928,9613,773,773,1546,897,864,1761,554,533,1087,20073,21444,41517,276,256,532,99,91,190,245,283,528,117,107,224,0,0,0,23034,24351,47385,7249,7019,14268,481,471,952,35449,36769,72218,5618,5074,10692,100226,104531,204757,Adelaide - West
405,31278,30767,62045,5315,5508,10823,355,352,707,320,324,644,363,328,691,9016,9656,18672,221,237,458,52,46,98,281,303,584,29,25,54,0,0,0,10637,11271,21908,449,513,962,189,148,337,16590,17440,34030,2194,1968,4162,50062,50175,100237,Barossa - Yorke - Mid North
406,23134,21808,44942,5970,6185,12155,347,312,659,355,294,649,434,345,779,5179,5091,10270,362,311,673,62,56,118,287,257,544,3,4,7,0,0,0,7029,6670,13699,746,790,1536,203,165,368,13948,13810,27758,3630,2487,6117,40712,38105,78817,South Australia - Outback
407,48895,48711,97606,11242,11995,23237,565,593,1158,1160,1200,2360,621,682,1303,12734,13723,26457,404,431,835,129,141,270,309,339,648,28,44,72,0,0,0,15950,17153,33103,1655,1634,3289,366,332,698,29213,31114,60327,4969,3853,8822,83077,83678,166755,South Australia - South East
497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,6,0,6,0,0,0,6,0,6,Migratory - Offshore - Shipping (SA)
499,211,120,331,82,44,126,55,40,95,56,49,105,76,67,143,609,468,1077,35,27,62,15,6,21,21,7,28,11,6,17,0,0,0,878,670,1548,132,146,278,27,16,43,1119,876,1995,378,225,603,1708,1221,2929,Special Purpose Codes SA4 (SA)
501,37952,37910,75862,8518,9067,17585,537,485,1022,455,441,896,692,625,1317,225,235,460,15819,17208,33027,133,125,258,151,193,344,28,40,68,15,12,27,18055,19364,37419,3227,3184,6411,348,332,680,30148,31947,62095,5195,3984,9179,73295,73841,147136,Bunbury
502,17636,18397,36033,2739,2955,5694,399,426,825,328,336,664,417,470,887,139,124,263,10738,11701,22439,89,118,207,111,152,263,15,20,35,5,3,8,12241,13350,25591,2236,2393,4629,225,188,413,17441,18886,36327,3063,2637,5700,38140,39920,78060,Mandurah
503,32827,35063,67890,3828,3982,7810,1207,1092,2299,1022,986,2008,729,648,1377,331,291,622,15718,16262,31980,100,97,197,131,117,248,139,127,266,4,6,10,19381,19626,39007,10823,10404,21227,268,230,498,34300,34242,68542,6496,5420,11916,73623,74725,148348,Perth - Inner
504,56065,57069,113134,5412,5648,11060,806,735,1541,736,613,1349,608,615,1223,290,262,552,22970,23980,46950,135,107,242,177,199,376,52,65,117,3,7,10,25777,26583,52360,6835,6829,13664,493,423,916,38517,39483,78000,8035,5918,13953,102617,102470,205087,Perth - North East
505,115906,121370,237276,10433,11092,21525,2165,1904,4069,1787,1688,3475,1542,1465,3007,623,568,1191,50177,53638,103815,254,239,493,295,352,647,194,194,388,12,18,30,57049,60066,117115,23137,22979,46116,803,748,1551,91422,94885,186307,13774,11971,25745,221102,228226,449328,Perth - North West
506,100216,103387,203603,10321,10789,21110,1878,1648,3526,1646,1411,3057,1400,1287,2687,659,524,1183,46505,48384,94889,226,214,440,325,271,596,128,132,260,54,63,117,52821,53934,106755,21977,21221,43198,1061,920,1981,86180,86864,173044,15842,12459,28301,202238,202710,404948,Perth - South East
507,82842,86886,169728,8173,8899,17072,1919,1840,3759,1649,1634,3283,1473,1445,2918,626,562,1188,38579,41770,80349,307,294,601,431,415,846,232,215,447,14,21,35,45230,48196,93426,13701,13582,27283,646,586,1232,67750,71263,139013,10910,8623,19533,161502,166772,328274,Perth - South West
508,40790,36387,77177,10276,10155,20431,2429,1604,4033,2272,1664,3936,2859,2110,4969,1099,778,1877,23334,19610,42944,551,455,1006,763,585,1348,87,95,182,26,29,55,33420,26930,60350,6820,5286,12106,636,444,1080,51152,42815,93967,17863,9454,27317,109805,88656,198461,Western Australia - Outback
509,34647,33372,68019,6274,6372,12646,296,263,559,260,238,498,291,305,596,169,160,329,12614,13210,25824,87,91,178,103,114,217,17,16,33,3,3,6,13840,14400,28240,1804,1868,3672,257,231,488,22175,22871,45046,4640,3109,7749,61462,59352,120814,Western Australia - Wheat Belt
597,154,9,163,0,0,0,6,3,9,12,0,12,9,8,17,3,3,6,79,3,82,0,0,0,4,0,4,3,0,3,0,0,0,116,17,133,37,3,40,3,0,3,156,20,176,72,4,76,382,33,415,Migratory - Offshore - Shipping (WA)
599,477,242,719,140,65,205,246,186,432,188,151,339,306,258,564,83,61,144,1025,877,1902,38,34,72,27,24,51,15,15,30,0,3,3,1928,1609,3537,622,482,1104,35,31,66,2725,2187,4912,955,451,1406,4157,2880,7037,Special Purpose Codes SA4 (WA)
