SA4_MAIN11,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Churche_Christ_M,Christianity_Churche_Christ_F,Christianity_Churche_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,No_Religion_M,No_Religion_F,No_Religion_P,Other_religious_affiliation_M,Other_religious_affiliation_F,Other_religious_affiliation_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P,SA4_NAME11
314,548,716,1264,15073,16898,31971,7,8,15,2629,2793,5422,31,34,65,19621,21177,40798,150,173,323,297,359,656,444,539,983,325,362,687,1243,1388,2631,27,22,49,242,261,503,1442,1644,3086,2909,3021,5930,288,331,619,291,335,626,5359,6469,11828,2645,2924,5569,336,359,695,53359,59097,112456,615,587,1202,222,189,411,47,41,88,6,11,17,352,435,787,358,446,804,20716,17952,38668,836,452,1288,5942,5307,11249,82643,84787,167430,Moreton Bay - South
315,191,193,384,9423,9340,18763,0,0,0,627,610,1237,299,305,604,9757,9273,19030,55,45,100,102,74,176,243,300,543,95,125,220,1103,1033,2136,8,3,11,107,122,229,1173,1317,2490,1268,1099,2367,91,109,200,129,150,279,2803,2967,5770,756,758,1514,101,86,187,28140,27716,55856,107,77,184,91,56,147,15,0,15,145,114,259,125,119,244,270,233,503,7660,5968,13628,402,245,647,6957,4602,11559,43833,39090,82923,Queensland - Outback
316,1668,2510,4178,29247,34104,63351,0,5,5,3300,3727,7027,165,172,337,28301,31990,60291,294,353,647,485,539,1024,985,1285,2270,412,470,882,2583,3098,5681,19,13,32,243,282,525,2225,2574,4799,5321,5946,11267,390,513,903,384,462,846,8449,10812,19261,4764,5603,10367,164,210,374,87731,102158,189889,275,241,516,284,200,484,170,158,328,17,21,38,536,794,1330,553,815,1368,42814,38454,81268,1777,1351,3128,13370,12380,25750,148642,158267,306909,Sunshine Coast
317,486,630,1116,13551,15477,29028,0,0,0,1227,1374,2601,158,147,305,16577,18271,34848,839,1022,1861,138,120,258,376,461,837,202,256,458,3506,3889,7395,7,4,11,157,171,328,1290,1467,2757,2696,2961,5657,234,304,538,334,397,731,3857,4980,8837,2723,3267,5990,283,316,599,48155,54884,103039,360,265,625,676,472,1148,25,24,49,5,7,12,293,369,662,298,376,674,11676,10151,21827,522,371,893,5641,5209,10850,67839,72382,140221,Toowoomba
318,736,961,1697,19203,20846,40049,0,0,0,1379,1605,2984,48,61,109,31779,33355,65134,84,81,165,678,703,1381,403,545,948,176,222,398,969,1064,2033,31,17,48,318,366,684,1480,1837,3317,3998,4042,8040,412,549,961,348,432,780,6948,8427,15375,2231,2571,4802,132,136,268,70617,76859,147476,375,344,719,339,287,626,41,29,70,15,15,30,359,426,785,374,441,815,23934,20139,44073,1158,550,1708,11469,9244,20713,109043,108854,217897,Townsville
319,777,1105,1882,28306,30699,59005,3,12,15,2982,3386,6368,440,463,903,24150,26536,50686,397,475,872,263,248,511,1076,1309,2385,366,439,805,3980,4280,8260,18,18,36,560,695,1255,1386,1639,3025,5337,5447,10784,620,804,1424,471,572,1043,11474,13608,25082,4110,4583,8693,371,420,791,86310,95633,181943,242,237,479,330,291,621,35,58,93,22,27,49,451,691,1142,473,718,1191,31400,27166,58566,1115,832,1947,14102,12443,26545,134784,138483,273267,Wide Bay
397,4,0,4,51,48,99,0,0,0,3,3,6,0,0,0,53,34,87,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8,0,0,0,0,0,0,0,3,3,9,6,15,0,0,0,0,3,3,22,25,47,0,3,3,4,0,4,147,128,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,36,110,3,0,3,48,31,79,276,195,471,Migratory - Offshore - Shipping (Qld)
399,78,96,174,1138,939,2077,0,0,0,99,91,190,3,3,6,1090,945,2035,14,17,31,26,20,46,19,25,44,36,17,53,81,72,153,3,0,3,33,18,51,78,78,156,222,189,411,28,24,52,15,14,29,280,279,559,202,197,399,8,11,19,3375,2939,6314,24,24,48,51,26,77,8,6,14,0,0,0,48,36,84,48,36,84,1924,1358,3282,123,50,173,1520,859,2379,7151,5394,12545,Special Purpose Codes SA4 (Qld)
401,2541,3189,5730,15360,18968,34328,3,3,6,2013,2327,4340,77,78,155,29860,33517,63377,299,428,727,4840,5086,9926,423,525,948,247,280,527,4619,5519,10138,123,89,212,215,228,443,1169,1444,2613,1323,1627,2950,233,338,571,128,157,285,8867,11908,20775,2504,3025,5529,398,465,863,72701,86012,158713,1992,1740,3732,1652,1327,2979,228,232,460,5,11,16,1347,1309,2656,1352,1320,2672,40518,36862,77380,1703,955,2658,11766,10973,22739,134453,142610,277063,Adelaide - Central and Hills
402,4682,5121,9803,23002,26755,49757,0,0,0,3504,3992,7496,110,121,231,37924,41280,79204,561,722,1283,4333,4287,8620,772,1042,1814,496,633,1129,6183,7216,13399,95,85,180,454,487,941,2733,3074,5807,2054,2268,4322,719,1005,1724,445,494,939,12484,15975,28459,4912,5476,10388,746,777,1523,101527,115689,217216,2498,2123,4621,4151,3549,7700,62,68,130,29,31,60,1562,1618,3180,1591,1649,3240,58496,51170,109666,2137,1161,3298,18894,17076,35970,194038,197606,391644,Adelaide - North
403,1614,2089,3703,22478,27067,49545,0,0,0,3464,4029,7493,206,226,432,28249,32538,60787,667,992,1659,3404,3511,6915,502,685,1187,345,423,768,4705,5384,10089,138,122,260,329,384,713,1940,2374,4314,1877,2026,3903,317,465,782,238,238,476,12617,16864,29481,4276,4930,9206,556,648,1204,86308,102906,189214,1026,984,2010,1588,1436,3024,116,149,265,16,15,31,1115,1277,2392,1131,1292,2423,56612,50463,107075,2197,1255,3452,14622,14084,28706,165214,174658,339872,Adelaide - South
404,3651,4234,7885,9573,11494,21067,0,0,0,1525,1783,3308,12,11,23,27601,30446,58047,242,345,587,8286,8543,16829,286,394,680,169,178,347,2249,2661,4910,208,211,419,183,206,389,1076,1250,2326,895,1000,1895,164,238,402,109,146,255,6121,8105,14226,1603,1797,3400,147,169,316,60449,68977,129426,1561,1177,2738,2516,2160,4676,73,66,139,17,20,37,1436,1175,2611,1453,1195,2648,26608,23496,50104,1155,690,1845,8838,8355,17193,106304,110350,216654,Adelaide - West
