sa4_code_2016,earners_persons_2010_11,earners_persons_2011_12,earners_persons_2012_13,earners_persons_2013_14,earners_persons_2014_15,median_age_of_earners_years_2010_11,median_age_of_earners_years_2011_12,median_age_of_earners_years_2012_13,median_age_of_earners_years_2013_14,median_age_of_earners_years_2014_15,income_aud_2010_11,income_aud_2011_12,income_aud_2012_13,income_aud_2013_14,income_aud_2014_15,median_aud_2010_11,median_aud_2011_12,median_aud_2012_13,median_aud_2013_14,median_aud_2014_15,mean_aud_2010_11,mean_aud_2011_12,mean_aud_2012_13,mean_aud_2013_14,mean_aud_2014_15,main_source_pc_of_earners_2010_11,main_source_pc_of_earners_2011_12,main_source_pc_of_earners_2012_13,main_source_pc_of_earners_2013_14,main_source_pc_of_earners_2014_15,sa4_name16
407,3924,4020,4070,4048,4238,61,61,61,61,61,88642512,98039046,102248864,105663419,115909569,18976,19952,20260,21266,21450,22590,24388,25123,26103,27350,2.5,2.6,2.5,2.6,2.7,South Australia - South East
501,2690,2658,2505,2602,2681,59,59,59,59,59,58499234,58240139,58958258,67582835,69873828,13878,14582,15530,16372,17046,21747,21911,23536,25973,26063,1.5,1.3,1.3,1.3,1.4,Bunbury
502,1692,1676,1612,1696,1810,62,62,60,60,60,39962107,42959498,39625826,46139957,47892674,19994,20301,20187,20971,21318,23618,25632,24582,27205,26460,2.3,2.1,1.9,2.0,2.1,Mandurah
503,3436,3371,3349,3289,3360,62,63,62,63,63,105110349,111167790,110251821,114858560,122800936,21205,22752,23482,25280,26030,30591,32978,32921,34922,36548,1.5,1.5,1.4,1.4,1.4,Perth - Inner
504,3274,3233,3188,3172,3409,59,60,60,60,59,68669103,73560458,71614959,77197245,86190734,15693,17356,16775,17409,17765,20974,22753,22464,24337,25283,1.3,1.2,1.1,1.1,1.2,Perth - North East
505,7889,7920,7781,7689,8058,60,60,60,60,60,180321557,192387284,191301394,198826064,216539037,18335,18909,18467,19488,19938,22857,24291,24586,25859,26873,1.4,1.3,1.2,1.2,1.3,Perth - North West
506,6437,6411,6229,6228,6584,60,60,60,60,59,146941549,150427552,152850445,161273065,179161214,17455,18020,18296,19317,19094,22828,23464,24539,25895,27212,1.3,1.2,1.1,1.1,1.2,Perth - South East
507,6355,6331,6314,6285,6637,59,59,59,59,59,149897803,156244680,161000355,166466783,189403928,19288,20158,20456,21252,21249,23587,24679,25499,26486,28538,1.5,1.4,1.3,1.3,1.4,Perth - South West
509,1947,1960,1794,1787,1892,59,59,59,59,59,39204100,41401639,42594898,47764697,48154522,12948,14497,15747,17936,17230,20136,21123,23743,26729,25452,1.3,1.3,1.2,1.2,1.3,Western Australia - Wheat Belt
510,401,389,394,423,525,56,56,55,56,56,7211635,7572383,8662116,11282663,14094960,9867,10000,13011,15312,10159,17984,19466,21985,26673,26848,0.3,0.2,0.2,0.3,0.4,Western Australia - Outback (North)
511,1091,1090,1031,1063,1263,58,58,58,58,58,20614208,23683154,23770668,24144888,36752570,10000,12039,13595,12931,14096,18895,21728,23056,22714,29099,0.7,0.7,0.7,0.7,0.9,Western Australia - Outback (South)
601,7276,7579,7623,7802,8151,62,62,62,62,62,171744541,188443256,191883403,205448588,228254732,19576,20497,20375,21364,22503,23604,24864,25172,26333,28003,3.8,4.1,4.1,4.1,4.2,Hobart
602,3100,3246,3249,3222,3369,59,59,59,59,59,63022304,69801675,75625703,75819837,83715571,15412,16542,16492,16952,17941,20330,21504,23277,23532,24849,2.4,2.6,2.6,2.6,2.7,Launceston and North East
603,930,936,950,961,1060,59,59,59,59,59,21666748,21400502,24350328,25590924,30278803,16708,18079,19625,20803,20189,23298,22864,25632,26629,28565,3.2,3.3,3.3,3.4,3.6,South East
604,2239,2306,2284,2347,2500,59,59,59,59,59,47104289,46764671,44237816,50956754,57739206,13477,14028,13096,13807,14900,21038,20280,19369,21711,23096,2.1,2.3,2.2,2.3,2.5,West and North West
701,2650,2756,2728,2753,2833,60,60,60,61,61,80421437,87921566,86286486,88361569,101925084,24309,24809,24953,26041,27082,30348,31902,31630,32096,35978,1.8,1.9,1.7,1.7,1.7,Darwin
702,716,715,739,759,814,59,59,59,59,59,17422939,19459983,20512407,21948624,23723397,19618,20369,20709,21633,21140,24334,27217,27757,28918,29144,1.1,1.1,1.1,1.1,1.3,Northern Territory - Outback
801,25733,26673,27504,28619,30354,64,64,65,65,65,892357034,937517554,1004709138,1080439031,1193584937,30839,31132,32227,33405,34846,34678,35149,36530,37753,39322,7.3,7.3,7.6,7.9,8.3,Australian Capital Territory
901,30,28,28,22,26,60,61,59,62,62,697667,868321,790664,830187,965446,23883,20604,23774,24685,23475,23256,31011,28238,37736,37133,2.2,1.7,1.6,1.3,1.8,Other Territories
