sa4_code11,agcereal_aharic_f,agcerealxricha_f,agcottpltdaha_f,agfrutnutotaha_f,aggrape_aha_f,aglandgrazeha_f,aglandtotlaha_f,aglandtotlhaflag_f,agnurflwtuaha_f,agothcropaha_f,agpasceothsilaha_f,agpascrhayaha_f,agsugarcanaha_f,agvege_aha_f,agwatersrcamlriv_f,agwatincotml_f,agwatrccrpahagrs_f,agwatrccrpamlgrs_f,agwatrfrutaha_f,agwatrfrutaml_f,agwatrgrapaha_f,agwatrgrapaml_f,agwatrnursaha_f,agwatrnursaml_f,agwatrocrpaha_f,agwatrocrpahacot_f,agwatrocrpahaobc_f,agwatrocrpaharic_f,agwatrocrpahasug_f,agwatrocrpaml_f,agwatrocrpamlcot_f,agwatrocrpamlobc_f,agwatrocrpamlric_f,agwatrocrpamlsug_f,agwatrothraml_f,agwatrpacrahagrz_f,agwatrpacrahahay_f,agwatrpacrahasil_f,agwatrpacramlgrz_f,agwatrpacramlhay_f,agwatrpacramlsil_f,agwatrpermamlpur_f,agwatrprod_flag_f,agwatrprodaha_f,agwatrprodaml_f,agwatrsrcastml_f,agwatrtempamlpur_f,agwatrvegeahacon_f,agwatrvegeamlcon_f,agwatscrvchaml_f,agwatscrvncaml_f,agwatsrcamlgrn_f,agwatsrcamlich_f,agwatsrcamlmns_f,agwatsrcamlonf_f,agwatsrcamloth_f,agwatsrcamlrec_f,bxirrigchgadw_f,bxwatrpermadw_f,bxwatrtempadw_f,watapp_cotton_rate_f,watapp_fruit_rate_f,watapp_grapevines_rate_f,watapp_nurseries_rate_f,watapp_oth_broad_rate_f,watapp_other_cer_rate_f,watapp_other_crops_rate_f,watapp_pastcer_grz_rate_f,watapp_pastcer_hay_rate_f,watapp_pastcer_sil_rate_f,watapp_rice_f,watapp_sugar_rate_f,watapp_tarea_rate_f,watapp_vegies_rate_f,sa4_name11
119,,,,80.31,,4102.92,4535.79,10.76,,,3.57,,,16.67,6.49,356.8,,,80.31,5.29,,,,,,,,,,,,,,,35.0,,,,,,,,8.34,412.58,321.8,356.8,,155.99,140.23,1.2,5.29,,3.03,115.04,,0.33,,,,,,0.07,,,,,,1.0,,,,,0.78,0.9,Sydney - Inner South West
120,,381.42,,,,1289.5,4423.7,1.0,,,40.0,26.0,,,2871.11,4019.56,115.0,1050.0,,,,,,,,,360.0,,,,,2000.0,,,19.56,200.0,15.0,30.0,500.0,150.0,300.0,,1.0,720.0,4000.0,4019.56,,,,2871.11,,,574.22,,574.22,,,,,,,,,,5.56,9.13,,2.5,10.0,10.0,,,5.56,,Sydney - Inner West
121,,,,,,1094.89,1361.07,8.77,8.82,,,,,,0.7,391.47,,,,,,,8.82,27.27,,,,,,,,,,,5.9,125.44,,,351.23,,,,6.17,148.39,385.57,391.47,,,,0.7,,363.25,,26.46,1.06,,,,,,,,,3.09,,,0.5,2.8,,,,,2.6,,Sydney - North Sydney and Hornsby
122,,1816.2,,,,23965.14,32556.19,14.42,8.58,,,750.0,,,51.0,194.24,,,,,,,8.25,33.35,,,,,,,,,,,158.76,,,,,,,,9.4,9.67,35.48,194.24,,,,,51.0,51.28,,24.75,67.16,,,,,,,,,4.04,,,,,,,,,3.67,1.5,Sydney - Northern Beaches
123,,,,52.76,,10122.31,15275.38,172.07,110.54,,235.76,681.11,,467.21,1908.32,3583.35,96.51,339.25,41.48,94.8,,,105.41,523.9,,,,,,,,,,,648.93,618.95,61.62,16.38,675.84,141.82,131.79,18.91,85.52,1384.61,2934.42,3583.35,283.11,444.26,1027.01,1573.04,335.29,360.7,145.04,313.33,647.11,3.33,205.51,134416.62,29329.89,28085.96,,2.29,,4.97,,3.52,,1.09,2.3,8.05,,,2.12,2.31,Sydney - Outer South West
124,,91.21,,182.36,,4987.67,7321.61,182.28,761.73,,22.86,29.73,,617.6,5595.24,6906.2,,,167.4,314.44,,,734.55,4926.36,,,,,,,,,,,374.07,148.05,10.81,,130.27,32.17,,18.73,106.62,1493.48,6532.13,6906.2,212.63,432.67,1128.89,4548.43,1046.81,138.66,40.6,465.36,641.57,19.99,4.79,193349.34,33420.02,39299.57,,1.88,,6.71,,,,0.88,2.98,,,,4.37,2.61,Sydney - Outer West and Blue Mountains
125,,,,,,11.9,37.6,1.19,,,,,,,,3.06,,,23.8,2.97,,,,,,,,,,,,,,,0.09,,,,,,,,1.19,23.8,2.97,3.06,,,,,,,,,3.06,,,,,,,0.13,,,,,,,,,,,0.13,,Sydney - Parramatta
127,,167.0,,8.98,,6180.82,7994.22,258.67,58.54,1.6,438.62,191.66,,577.38,1489.65,4157.29,167.0,458.0,6.89,8.88,,,73.42,503.81,19.98,,4.14,,,29.75,,47.07,,,681.65,486.32,125.41,30.58,366.49,265.02,86.64,187.78,171.99,1469.34,3475.65,4157.29,4221.2,555.6,1710.0,406.97,1082.68,91.36,180.64,1120.5,1243.95,26.31,4.88,711608.94,112281.21,131359.94,,1.29,,6.86,11.37,2.74,1.49,0.75,2.11,2.83,,,2.37,3.08,Sydney - South West
128,,493.78,,,,2539.9,7240.0,1.27,,,,,,,,3.52,,,,,,,,,,,,,,,,,,,3.52,,,,,,,,,,,3.52,,,,,,,,2.16,1.36,,,,,,,,,,,,,,,,,,,,Sydney - Sutherland
201,,71762.61,,21.06,810.94,387971.9,533408.3,1057.57,20.71,31343.36,1538.13,42353.62,,2131.81,1487.7,21310.27,914.72,746.7,13.33,7.01,460.88,623.32,13.87,55.11,261.13,,257.15,,,773.17,,538.55,,,6198.38,7767.49,646.94,244.05,2887.99,1778.32,191.45,1144.47,167.41,12584.99,15111.89,21310.27,5138.25,2005.43,7510.27,1258.92,228.78,11598.81,702.81,826.4,6350.32,140.2,204.03,724607.9,680912.8,180813.62,,0.53,1.35,3.97,2.09,0.82,2.96,0.37,2.75,0.78,,,1.2,3.74,Ballarat
202,,181410.58,,3312.55,513.17,397365.7,777413.5,1022.97,19.97,33333.05,2127.77,67053.83,,235.53,12237.62,160817.98,13320.98,26433.76,3255.36,15040.51,391.49,506.89,14.33,68.92,264.67,,4127.41,,,291.39,,7785.0,,,6440.79,28008.08,7000.87,1737.1,79459.16,18973.19,4182.94,7866.66,347.66,58316.48,154377.2,160817.98,45541.14,196.19,1635.43,11830.61,407.01,18651.61,123842.73,1391.89,3662.06,117.11,914.96,7568368.0,10353288.0,10189656.0,,4.62,1.29,4.81,1.89,1.98,1.1,2.84,2.71,2.41,,,2.65,8.34,Bendigo
203,,35051.15,,54.08,358.6,122195.59,206919.11,559.06,787.11,17258.21,1647.72,9339.55,,390.44,1102.86,8621.85,60.23,240.92,14.81,9.88,269.4,139.96,767.48,1856.3,22.95,,52.4,,,88.87,,70.27,,,4474.87,206.85,143.62,24.09,184.36,415.03,24.09,108.89,73.26,1852.06,4146.98,8621.85,1405.21,290.24,1117.31,1039.56,63.3,920.97,1059.46,3085.24,1803.55,216.64,433.13,1118873.9,160374.5,422318.4,,0.67,0.52,2.42,1.34,4.0,3.87,0.89,2.89,1.0,,,2.24,3.85,Geelong
204,,38400.95,,1975.45,4257.08,775374.5,1012039.2,2612.26,303.04,16284.0,15763.15,34502.05,,131.85,33551.65,60995.65,1271.89,550.04,1511.54,2460.6,3595.74,5858.37,299.11,1345.66,741.77,,46.88,,,4199.68,,53.91,,,14813.43,7527.29,1219.52,618.8,25829.86,3835.3,1807.2,1142.15,476.94,16980.15,46182.22,60995.65,4559.53,147.62,241.6,31957.75,1593.9,8770.44,3832.04,520.08,13179.73,401.53,740.18,1601967.4,56915.74,673121.94,,1.63,1.63,4.5,1.15,0.43,5.66,3.43,3.14,2.92,,,2.72,1.64,Hume
205,,4817.99,,282.71,128.12,731441.0,967484.25,3361.96,455.58,1272.01,61816.66,88837.16,,9981.29,38351.2,204719.86,617.73,916.98,257.64,527.5,18.09,13.11,305.13,1183.8,157.64,,200.2,,,343.47,,217.32,,,29692.22,47080.66,4241.43,5544.02,141121.06,7325.17,9463.49,4589.46,676.64,65289.34,175027.64,204719.86,12906.3,6866.81,13915.73,34391.48,3959.71,49393.78,80320.56,5358.53,24157.42,1320.04,5818.32,8506324.0,1001221.7,1292437.2,,2.05,0.72,3.88,1.09,1.48,2.18,3.0,1.73,1.71,,,2.68,2.03,Latrobe - Gippsland
206,,,,45.0,,500.1,626.29,4.57,1.25,,,17.63,,,210.0,317.76,,,45.0,300.0,,,,,,,,,,,,,,,17.76,,,,,,,,1.0,45.0,300.0,317.76,,,,210.0,,106.3,,,1.46,,,,,,,6.67,,,,,,,,,,,6.67,,Melbourne - Inner
207,,,,1.36,,,37.81,3.63,0.34,,,,,4.77,4.09,17.71,,,,,,,0.34,0.45,15.89,,,,,9.08,,,,,,,,,,,,,3.63,21.0,17.71,17.71,,4.77,8.17,4.09,,,,2.27,11.35,,,,,,,,,1.33,,,0.57,,,,,,0.84,1.71,Melbourne - Inner East
208,,,,,,,103.93,12.71,12.27,,,,,,,390.18,,,,,,,27.55,82.68,,,,,,,,,,,,,,,,,,,11.26,104.58,387.72,390.18,,,,,,60.1,,52.64,,,,179844.06,,,,,,3.0,,,,,,,,,3.71,3.96,Melbourne - Inner South
209,,567.52,,286.02,51.32,12688.09,18992.52,123.0,138.31,316.41,232.92,1082.89,,104.15,2139.06,3482.76,,,249.25,1964.21,33.59,38.24,92.52,746.29,17.16,,,,,81.21,,,,,421.69,234.13,,,9.39,,,755.72,38.25,723.19,3061.06,3482.76,,96.53,221.72,1869.02,270.04,346.27,7.43,150.8,594.66,,237.82,392521.88,46956.82,,,7.88,1.14,8.07,,,4.73,0.04,,,,,4.23,2.3,Melbourne - North East
210,,1996.34,,135.58,49.68,20304.97,29014.43,149.13,31.41,660.15,115.96,822.87,,2.88,69.18,1251.79,16.0,28.31,5.81,16.03,36.07,56.5,30.04,68.96,9.42,,,,,11.36,,,,,986.19,35.52,,,69.77,,,,24.52,136.74,265.6,1251.79,,3.89,14.67,47.13,22.05,160.93,61.3,682.27,225.26,1.38,51.47,,,,,2.76,1.57,2.3,,1.77,1.21,1.96,,,,,1.94,3.77,Melbourne - North West
211,,49.25,,1405.33,1677.24,9878.58,20109.82,412.78,924.01,4.85,738.82,1674.92,,150.09,1879.77,7778.43,,,1393.53,2925.31,1520.46,1610.14,811.84,1886.79,120.3,,16.14,,,221.85,,16.14,,,508.79,53.12,38.43,,121.95,90.89,,580.68,306.92,4143.16,7269.64,7778.43,465.97,189.33,396.57,1519.45,360.31,778.02,184.72,619.41,4090.42,106.18,119.91,455761.1,668185.0,376979.84,,2.1,1.06,2.32,1.0,,1.84,2.3,2.36,,,,1.75,2.09,Melbourne - Outer East
212,,301.17,,218.93,10.12,39545.17,56528.88,552.81,754.0,92.64,3849.07,10774.95,,6558.41,2191.24,19107.24,,,203.39,721.39,0.49,1.85,700.01,2320.33,29.75,,1.66,,,82.95,,2.93,,,3602.91,1383.81,433.72,92.28,2275.51,748.03,131.95,2349.61,214.18,7389.91,15504.33,19107.24,2204.99,4544.79,9219.38,1823.18,368.06,3229.82,958.55,2685.54,5744.06,81.2,4216.82,1866871.6,168526.72,404255.03,,3.55,3.75,3.31,1.77,,2.79,1.64,1.72,1.43,,,2.1,2.03,Melbourne - South East
213,,8300.02,,135.02,78.77,17670.86,26900.92,156.11,119.33,1786.08,,1231.68,,3866.53,250.74,24066.26,1757.0,13370.0,142.51,232.51,87.03,355.73,126.3,232.14,4.45,,160.0,,,25.41,,370.0,,,583.43,377.81,123.86,,905.61,231.73,,1413.14,96.54,5494.43,23482.84,24066.26,1360.51,2715.47,7759.71,234.41,16.33,1347.07,4618.76,616.32,854.68,4.07,16374.62,3162338.5,637887.75,591329.9,,1.63,4.09,1.84,2.31,7.61,5.71,2.4,1.87,,,,4.27,2.86,Melbourne - West
214,,149.05,,287.56,586.55,6587.12,12654.24,249.74,229.28,,151.92,672.46,,1985.73,170.21,9544.07,,,263.29,564.1,483.28,581.05,202.64,691.85,,,,,,,,,,,797.73,77.81,40.6,6.74,313.65,127.21,4.9,146.55,94.3,2189.91,8746.34,9544.07,349.06,1115.54,6463.58,138.61,31.6,2776.28,26.32,446.6,4039.04,468.36,1617.27,615577.0,56714.46,113643.34,,2.14,1.2,3.41,,,,4.03,3.13,0.73,,,3.99,5.79,Mornington Peninsula
215,182.02,1792708.2,,29941.97,19003.52,1335679.6,4655478.5,4404.35,1450.49,447784.0,13979.22,218734.31,,3684.04,399052.94,704269.1,20230.85,14872.7,28806.17,334109.34,18284.15,132633.5,437.4,862.66,865.78,,3432.63,182.02,,3711.3,,4925.13,230.55,,19841.84,45237.87,17373.46,4894.88,124448.41,40137.16,9274.44,14724.27,1319.51,142751.77,684427.25,704269.1,261424.55,3006.55,19222.08,385444.75,13608.2,27082.45,253360.05,10268.26,11076.86,652.0,2776.55,22643522.0,30646326.0,46581992.0,,11.6,7.25,1.97,1.43,0.74,4.29,2.75,2.31,1.89,1.27,,4.79,6.39,North West
216,,153977.3,95.7,9418.15,1703.26,307790.56,727868.8,2378.01,261.03,61317.06,26103.24,104376.15,,3516.06,42144.53,766497.25,21340.11,43985.73,9230.58,49382.27,1575.14,3594.75,256.21,1447.38,210.31,95.7,4515.59,,,510.71,765.62,8458.08,,,18736.7,130103.24,36655.07,17491.99,473888.0,106377.9,40452.78,19385.94,1734.62,225065.03,747760.56,766497.25,264565.1,3591.06,18897.35,41079.86,1064.68,96474.08,597466.94,5912.92,9450.26,452.16,14596.4,33646880.0,9623720.0,46886052.0,8.0,5.35,2.28,5.65,1.87,2.06,2.43,3.64,2.9,2.31,,,3.32,5.26,Shepparton
217,,75840.37,,31.89,144.46,1285934.6,1630790.8,3715.09,62.4,34978.86,98137.48,206049.17,,940.99,5030.38,101781.26,292.63,422.72,20.14,68.27,132.9,107.32,154.3,170.17,450.08,,1170.51,,,1106.52,,760.95,,,41724.94,13704.21,1102.33,1843.01,48841.12,3667.35,3707.13,1809.09,367.51,20079.94,60056.32,101781.26,3123.23,1209.83,1204.77,3947.45,1082.93,70620.48,1165.8,4849.53,17801.31,532.88,1780.88,1112717.1,447049.2,408698.2,,3.39,0.81,1.1,0.65,1.44,2.46,3.56,3.33,2.01,,,2.99,1.0,Warrnambool and South West
301,,581.78,,5.44,,1701.91,3358.24,52.76,92.97,148.1,,,,40.34,402.62,1265.64,69.48,128.71,2.9,9.76,,,69.37,496.35,,,,,,,,,,,526.18,,,,,,,,23.06,168.84,739.46,1265.64,,27.1,104.63,399.92,2.69,37.14,3.36,211.13,609.06,2.32,,267018.3,,,,3.37,,7.16,,1.85,,,,,,,4.38,3.86,Brisbane - East
303,,,,3.43,,4526.87,4619.45,19.23,13.84,,,,,72.56,3.87,206.09,,,1.93,1.21,,,12.24,46.01,,,,,,,,,,,35.39,,10.08,,,75.62,,,17.23,46.86,170.7,206.09,18.8,22.61,47.86,3.87,,114.91,16.39,4.63,66.28,,,,,12927.28,,0.63,,3.76,,,,,7.5,,,,3.64,2.12,Brisbane - South
304,,,,8.92,,4430.91,4502.67,7.01,3.76,,,,,,0.68,44.4,,,,,,,3.76,18.93,,,,,,,,,,,25.46,,,,,,,,2.5,3.76,18.93,44.4,,,,,0.68,16.82,,2.16,23.78,0.97,,,,,,,,5.04,,,,,,,,,5.04,,Brisbane - West
305,,,,,,1500.0,1602.0,2.0,,,,,,,,139.0,,,,,,,,,,,,,,,,,,,139.0,,,,,,,,,,,139.0,,,,,,51.74,,,87.26,,,,,,,,,,,,,,,,,,,,Brisbane Inner City
306,242.1,5633.82,0.0,18132.94,,713075.3,933890.94,1370.24,201.85,1581.51,1309.01,1422.82,78544.89,1067.02,82446.18,173356.02,1001.7,4092.73,17344.25,102025.46,,,183.41,1045.28,560.7,,208.55,242.1,11759.38,1726.15,,374.43,2153.58,41758.99,3851.94,2791.68,692.33,95.99,7612.16,2775.16,270.58,301.93,493.24,36070.75,169504.06,173356.02,20902.53,1190.66,5669.55,21563.53,60882.66,36239.53,47985.16,586.38,4785.14,846.63,466.99,4018515.0,156737.1,463368.06,,5.88,,5.7,1.8,4.09,3.08,2.73,4.01,2.82,8.9,3.55,4.7,4.76,Cairns
