yr,land_area_ha,water_use_aus_farms_area_agri_land_ha,water_use_aus_farms_area_irrigated_ha,water_use_aus_farms_volume_water_applied_ml,water_use_aus_farms_application_rt_area_watered_used_ml_ha,solar_instl_small_scale_solar_panel_sys_instl_num,solar_instl_increase_instl_prev_yr_pr100,solar_instl_solar_water_heater_instl_num,solar_instl_increase_swh_instl_prev_yr_pr100,sa4_code16,sa4_name16,ogc_fid
2015,,,,,,13535.0,10.7,6191.0,2.3,123,Sydney - Outer South West,136
2014,,,,,,12225.0,,6053.0,,123,Sydney - Outer South West,137
2011,,21421.0,1400.0,3474.0,2.5,,,,,123,Sydney - Outer South West,138
2018,396812.9,,,,,,,,,124,Sydney - Outer West and Blue Mountains,139
2017,,,,,,18930.0,11.2,6264.0,2.8,124,Sydney - Outer West and Blue Mountains,140
2016,,7319.0,1492.0,6529.0,4.4,17026.0,9.5,6095.0,2.9,124,Sydney - Outer West and Blue Mountains,141
2015,,,,,,15553.0,11.7,5926.0,3.5,124,Sydney - Outer West and Blue Mountains,142
2014,,,,,,13922.0,,5725.0,,124,Sydney - Outer West and Blue Mountains,143
2011,,9327.0,1375.0,6962.0,5.1,,,,,124,Sydney - Outer West and Blue Mountains,144
2018,16163.6,,,,,,,,,125,Sydney - Parramatta,145
2017,,,,,,12910.0,8.1,4474.0,2.0,125,Sydney - Parramatta,146
2016,,38.0,24.0,3.0,0.1,11938.0,7.1,4385.0,2.1,125,Sydney - Parramatta,147
2015,,,,,,11146.0,8.5,4296.0,2.9,125,Sydney - Parramatta,148
2014,,,,,,10275.0,,4175.0,,125,Sydney - Parramatta,149
2011,,20.0,,,,,,,,125,Sydney - Parramatta,150
2018,6933.7,,,,,,,,,126,Sydney - Ryde,151
2017,,,,,,5034.0,9.6,1987.0,1.9,126,Sydney - Ryde,152
2016,,,,,,4595.0,6.2,1949.0,2.5,126,Sydney - Ryde,153
2015,,,,,,4327.0,8.9,1901.0,2.0,126,Sydney - Ryde,154
2014,,,,,,3972.0,,1864.0,,126,Sydney - Ryde,155
2018,53906.9,,,,,,,,,127,Sydney - South West,156
2017,,,,,,18619.0,9.6,5348.0,2.0,127,Sydney - South West,157
2016,,7997.0,1470.0,3479.0,2.4,16985.0,6.6,5243.0,3.0,127,Sydney - South West,158
2015,,,,,,15930.0,8.9,5088.0,3.5,127,Sydney - South West,159
2014,,,,,,14623.0,,4916.0,,127,Sydney - South West,160
2011,,13520.0,1750.0,4858.0,2.8,,,,,127,Sydney - South West,161
2018,29586.5,,,,,,,,,128,Sydney - Sutherland,162
2017,,,,,,7138.0,13.0,5064.0,2.7,128,Sydney - Sutherland,163
2016,,7240.0,,,,6319.0,7.2,4930.0,3.0,128,Sydney - Sutherland,164
2015,,,,,,5894.0,11.7,4787.0,2.1,128,Sydney - Sutherland,165
2014,,,,,,5277.0,,4687.0,,128,Sydney - Sutherland,166
2011,,63.0,4.0,17.0,4.9,,,,,128,Sydney - Sutherland,167
2018,1028747.6,,,,,,,,,201,Ballarat,168
2017,,,,,,11132.0,12.1,7350.0,5.9,201,Ballarat,169
2016,,533408.0,12585.0,15112.0,1.2,9933.0,9.4,6941.0,7.4,201,Ballarat,170
2015,,,,,,9076.0,12.4,6462.0,10.1,201,Ballarat,171
2014,,,,,,8074.0,,5870.0,,201,Ballarat,172
2011,,550699.0,7696.0,13585.0,1.8,,,,,201,Ballarat,173
2018,1184190.6,,,,,,,,,202,Bendigo,174
2017,,,,,,14371.0,10.6,9700.0,6.8,202,Bendigo,175
2016,,777414.0,58316.0,154377.0,2.7,12998.0,9.5,9086.0,7.1,202,Bendigo,176
2015,,,,,,11871.0,12.3,8480.0,10.2,202,Bendigo,177
2014,,,,,,10570.0,,7693.0,,202,Bendigo,178
2011,,740054.0,31247.0,53134.0,1.7,,,,,202,Bendigo,179
2018,442869.9,,,,,,,,,203,Geelong,180
2017,,,,,,20318.0,10.0,18502.0,11.1,203,Geelong,181
2016,,206919.0,1852.0,4147.0,2.2,18471.0,9.8,16654.0,11.5,203,Geelong,182
2015,,,,,,16822.0,12.5,14942.0,14.0,203,Geelong,183
2014,,,,,,14957.0,,13109.0,,203,Geelong,184
2011,,235422.0,4193.0,9272.0,2.2,,,,,203,Geelong,185
2018,3400553.5,,,,,,,,,204,Hume,186
2017,,,,,,18561.0,10.2,8300.0,7.1,204,Hume,187
2016,,1012039.0,16980.0,46182.0,2.7,16839.0,9.1,7751.0,7.6,204,Hume,188
2015,,,,,,15440.0,11.6,7205.0,7.4,204,Hume,189
2014,,,,,,13837.0,,6707.0,,204,Hume,190
2011,,1256972.0,14876.0,23790.0,1.6,,,,,204,Hume,191
2018,4155375.2,,,,,,,,,205,Latrobe - Gippsland,192
2017,,,,,,27572.0,11.3,15914.0,8.6,205,Latrobe - Gippsland,193
2016,,967484.0,65289.0,175028.0,2.7,24767.0,8.9,14660.0,8.7,205,Latrobe - Gippsland,194
2015,,,,,,22749.0,10.7,13481.0,9.9,205,Latrobe - Gippsland,195
2014,,,,,,20549.0,,12268.0,,205,Latrobe - Gippsland,196
2011,,1140430.0,72212.0,173733.0,2.4,,,,,205,Latrobe - Gippsland,197
2018,14236.0,,,,,,,,,206,Melbourne - Inner,198
2017,,,,,,11651.0,11.3,7350.0,7.2,206,Melbourne - Inner,199
2016,,626.0,45.0,300.0,6.7,10468.0,11.7,6855.0,10.3,206,Melbourne - Inner,200
2015,,,,,,9369.0,17.5,6215.0,11.6,206,Melbourne - Inner,201
2014,,,,,,7976.0,,5567.0,,206,Melbourne - Inner,202
2011,,2232.0,116.0,167.0,1.5,,,,,206,Melbourne - Inner,203
2018,14674.3,,,,,,,,,207,Melbourne - Inner East,204
2017,,,,,,11402.0,10.0,5973.0,11.3,207,Melbourne - Inner East,205
2016,,38.0,21.0,18.0,0.8,10364.0,8.2,5367.0,15.3,207,Melbourne - Inner East,206
2015,,,,,,9575.0,12.0,4655.0,14.0,207,Melbourne - Inner East,207
2014,,,,,,8548.0,,4083.0,,207,Melbourne - Inner East,208
2011,,471.0,134.0,103.0,0.8,,,,,207,Melbourne - Inner East,209
2018,16149.7,,,,,,,,,208,Melbourne - Inner South,210
2017,,,,,,13386.0,11.7,7477.0,9.6,208,Melbourne - Inner South,211
2016,,104.0,105.0,388.0,3.7,11986.0,9.2,6823.0,9.0,208,Melbourne - Inner South,212
2015,,,,,,10981.0,14.2,6257.0,15.4,208,Melbourne - Inner South,213
2014,,,,,,9619.0,,5422.0,,208,Melbourne - Inner South,214
2011,,77.0,29.0,161.0,5.6,,,,,208,Melbourne - Inner South,215
2018,185126.5,,,,,,,,,209,Melbourne - North East,216
2017,,,,,,23828.0,10.0,25505.0,7.9,209,Melbourne - North East,217
2016,,18993.0,723.0,3061.0,4.2,21662.0,10.5,23633.0,11.0,209,Melbourne - North East,218
2015,,,,,,19609.0,13.6,21292.0,13.4,209,Melbourne - North East,219
2014,,,,,,17256.0,,18776.0,,209,Melbourne - North East,220
2011,,18686.0,828.0,1715.0,2.1,,,,,209,Melbourne - North East,221
2018,161969.0,,,,,,,,,210,Melbourne - North West,222
2017,,,,,,18465.0,10.0,16513.0,16.5,210,Melbourne - North West,223
2016,,29014.0,137.0,266.0,1.9,16782.0,10.0,14176.0,15.7,210,Melbourne - North West,224
2015,,,,,,15256.0,14.2,12253.0,17.2,210,Melbourne - North West,225
2014,,,,,,13356.0,,10452.0,,210,Melbourne - North West,226
2011,,37553.0,510.0,858.0,1.7,,,,,210,Melbourne - North West,227
2018,187855.8,,,,,,,,,211,Melbourne - Outer East,228
2017,,,,,,27499.0,9.5,8787.0,8.7,211,Melbourne - Outer East,229
2016,,20110.0,4143.0,7270.0,1.8,25107.0,9.5,8087.0,10.6,211,Melbourne - Outer East,230
2015,,,,,,22935.0,11.5,7309.0,8.9,211,Melbourne - Outer East,231
2014,,,,,,20571.0,,6711.0,,211,Melbourne - Outer East,232
2011,,25561.0,3747.0,5397.0,1.4,,,,,211,Melbourne - Outer East,233
2018,192228.1,,,,,,,,,212,Melbourne - South East,234
2017,,,,,,42193.0,9.9,36868.0,14.7,212,Melbourne - South East,235
2016,,56529.0,7390.0,15504.0,2.1,38400.0,10.0,32153.0,13.2,212,Melbourne - South East,236
2015,,,,,,34916.0,14.2,28396.0,15.7,212,Melbourne - South East,237
2014,,,,,,30563.0,,24540.0,,212,Melbourne - South East,238
2011,,111899.0,5930.0,9751.0,1.6,,,,,212,Melbourne - South East,239
2018,141635.4,,,,,,,,,213,Melbourne - West,240
2017,,,,,,41181.0,8.5,48943.0,12.1,213,Melbourne - West,241
2016,,26901.0,5494.0,23483.0,4.3,37941.0,8.7,43653.0,12.6,213,Melbourne - West,242
2015,,,,,,34917.0,12.8,38762.0,11.9,213,Melbourne - West,243
2014,,,,,,30964.0,,34646.0,,213,Melbourne - West,244
2011,,21833.0,6388.0,15819.0,2.5,,,,,213,Melbourne - West,245
2018,85376.6,,,,,,,,,214,Mornington Peninsula,246
2017,,,,,,20175.0,10.1,9836.0,7.9,214,Mornington Peninsula,247
2016,,12654.0,2190.0,8746.0,4.0,18332.0,9.4,9116.0,8.3,214,Mornington Peninsula,248
2015,,,,,,16751.0,12.1,8420.0,9.3,214,Mornington Peninsula,249
2014,,,,,,14938.0,,7703.0,,214,Mornington Peninsula,250
2011,,15449.0,2508.0,6606.0,2.6,,,,,214,Mornington Peninsula,251
2018,7807273.5,,,,,,,,,215,North West,252
2017,,,,,,12811.0,12.2,7214.0,3.7,215,North West,253
2016,,4655479.0,142752.0,684427.0,4.8,11419.0,10.7,6954.0,4.3,215,North West,254
2015,,,,,,10315.0,11.7,6667.0,4.4,215,North West,255
2014,,,,,,9236.0,,6383.0,,215,North West,256
2011,,4895459.0,121317.0,349267.0,2.9,,,,,215,North West,257
2018,1093410.5,,,,,,,,,216,Shepparton,258
2017,,,,,,13993.0,10.7,6265.0,6.4,216,Shepparton,259
2016,,727869.0,225065.0,747761.0,3.3,12645.0,10.8,5886.0,7.5,216,Shepparton,260
2015,,,,,,11413.0,10.8,5476.0,8.7,216,Shepparton,261
2014,,,,,,10302.0,,5039.0,,216,Shepparton,262
2011,,754800.0,165473.0,361050.0,2.2,,,,,216,Shepparton,263
2018,2637891.0,,,,,,,,,217,Warrnambool and South West,264
2017,,,,,,7786.0,12.6,4703.0,4.8,217,Warrnambool and South West,265
2016,,1630791.0,20080.0,60056.0,3.0,6912.0,8.6,4488.0,5.4,217,Warrnambool and South West,266
2015,,,,,,6364.0,10.9,4258.0,5.5,217,Warrnambool and South West,267
2014,,,,,,5740.0,,4035.0,,217,Warrnambool and South West,268
2011,,1683022.0,17717.0,43326.0,2.5,,,,,217,Warrnambool and South West,269
2018,65313.3,,,,,,,,,301,Brisbane - East,270
2017,,,,,,32821.0,7.5,10786.0,3.6,301,Brisbane - East,271
2016,,3353.0,169.0,738.0,4.4,30538.0,6.1,10412.0,4.1,301,Brisbane - East,272
2015,,,,,,28776.0,9.3,10004.0,5.3,301,Brisbane - East,273
2014,,,,,,26338.0,,9497.0,,301,Brisbane - East,274
