sa4_code11,agcereal_aharic_f,agcerealxricha_f,agcottpltdaha_f,agfrutnutotaha_f,aggrape_aha_f,aglandgrazeha_f,aglandtotlaha_f,aglandtotlhaflag_f,agnurflwtuaha_f,agothcropaha_f,agpasceothsilaha_f,agpascrhayaha_f,agsugarcanaha_f,agvege_aha_f,agwatersrcamlriv_f,agwatincotml_f,agwatrccrpahagrs_f,agwatrccrpamlgrs_f,agwatrfrutaha_f,agwatrfrutaml_f,agwatrgrapaha_f,agwatrgrapaml_f,agwatrnursaha_f,agwatrnursaml_f,agwatrocrpaha_f,agwatrocrpahacot_f,agwatrocrpahaobc_f,agwatrocrpaharic_f,agwatrocrpahasug_f,agwatrocrpaml_f,agwatrocrpamlcot_f,agwatrocrpamlobc_f,agwatrocrpamlric_f,agwatrocrpamlsug_f,agwatrothraml_f,agwatrpacrahagrz_f,agwatrpacrahahay_f,agwatrpacrahasil_f,agwatrpacramlgrz_f,agwatrpacramlhay_f,agwatrpacramlsil_f,agwatrpermamlpur_f,agwatrprod_flag_f,agwatrprodaha_f,agwatrprodaml_f,agwatrsrcastml_f,agwatrtempamlpur_f,agwatrvegeahacon_f,agwatrvegeamlcon_f,agwatscrvchaml_f,agwatscrvncaml_f,agwatsrcamlgrn_f,agwatsrcamlich_f,agwatsrcamlmns_f,agwatsrcamlonf_f,agwatsrcamloth_f,agwatsrcamlrec_f,bxirrigchgadw_f,bxwatrpermadw_f,bxwatrtempadw_f,sa4_name11
111,,,,1.28,1.2,18.04,31.09,31.09,7.11,,2.44,3.77,,,3.6,28.61,,,,,,,7.11,7.11,,,,,,,,,,,20.14,4.96,2.57,,4.96,2.57,,,13.43,13.43,13.43,28.61,,,,,3.6,4.95,1.2,11.31,16.52,2.35,,,,,Newcastle and Lake Macquarie
112,9.68,39.89,,485.02,3.68,1022.98,1660.03,1660.03,78.97,142.95,41.46,89.98,203.46,74.63,499.81,1245.33,,,104.43,104.43,,,71.58,71.58,11.23,,3.38,9.68,8.0,11.23,,3.38,9.68,8.0,1068.93,51.26,7.31,8.75,51.26,7.31,8.75,7.31,294.06,294.06,294.06,1245.33,10.65,50.07,50.07,138.2,374.84,333.33,15.62,189.23,667.25,76.72,9.86,120.57,7.31,10.65,Richmond - Tweed
113,189.81,1674.85,94.99,328.49,286.72,2245.05,3420.09,3420.09,23.92,911.43,232.73,1118.15,1.0,47.79,772.19,3127.32,297.23,297.23,353.26,353.26,266.93,266.93,22.93,22.93,20.04,98.22,52.45,189.81,,20.04,98.22,52.45,189.81,,2417.38,167.48,86.21,16.52,166.48,86.21,15.52,55.57,1065.72,1065.72,1064.72,3127.32,272.77,41.96,41.96,267.41,515.6,765.13,971.98,486.9,1413.02,113.41,28.27,746.52,55.57,272.77,Riverina
114,,5.13,,7.48,10.53,304.41,355.75,355.75,23.11,1.26,67.03,71.02,,19.1,68.35,333.66,,,3.88,3.88,5.18,5.18,17.22,17.22,1.2,,,,,1.2,,,,,309.76,26.99,3.71,11.53,26.99,3.71,11.53,,68.86,68.86,68.86,333.66,,15.25,15.25,21.65,46.7,121.21,5.24,73.27,182.15,23.33,19.75,18.23,,,Southern Highlands and Shoalhaven
115,,2.35,,40.17,1.12,87.81,334.46,334.46,139.21,4.19,,4.11,,92.39,75.22,308.94,,,26.35,26.35,1.12,1.12,130.03,130.03,2.8,,,,,2.8,,,,,88.39,9.36,2.73,,9.36,2.73,,7.09,243.9,243.9,243.9,308.94,17.12,88.56,88.56,54.59,24.13,42.53,12.35,95.0,162.56,24.47,4.79,83.05,7.09,17.12,Sydney - Baulkham Hills and Hawkesbury
116,,,,,,11.7,41.69,41.69,5.79,,,1.2,,17.27,6.52,34.13,,,,,,,1.16,1.16,,,,,,,,,,,18.03,,,,,,,,16.11,16.11,16.11,34.13,4.07,13.52,13.52,3.94,2.58,2.59,6.71,16.65,19.7,,1.32,5.81,,4.07,Sydney - Blacktown
117,,3.69,,,,4.69,4.69,4.69,,1.0,,2.47,,,2.47,,,,,,,,,,,,,,,,,,,,3.47,2.47,,,2.47,,,,2.47,2.47,,,,,,2.47,,1.0,,,,,,,,,Sydney - City and Inner South
118,,1.29,,,,1.2,2.49,2.49,,,,,,,1.29,2.49,,,,,,,,,,,,,,,,,,,2.49,,,,,,,,,,,2.49,,,,,1.29,,,,1.2,,,,,,Sydney - Eastern Suburbs
119,,,,1.32,,3.89,10.76,10.76,,,1.19,,,5.55,2.55,10.76,,,1.32,1.32,,,,,,,,,,,,,,,3.89,,,,,,,,8.34,8.34,8.34,10.76,,5.55,5.55,1.23,1.32,,2.74,2.57,,1.19,,,,,Sydney - Inner South West
120,,1.0,,,,1.0,1.0,1.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,1.0,,,1.0,,1.0,,,,,,Sydney - Inner West
121,,,,,,3.86,8.77,8.77,3.5,,,,,,1.18,8.77,,,,,,,3.5,3.5,,,,,,,,,,,3.86,1.25,,,1.25,,,,6.17,6.17,6.17,8.77,,,,1.18,,5.27,,3.5,2.34,,,,,,Sydney - North Sydney and Hornsby
122,,1.0,,,,5.03,14.42,14.42,6.86,,,1.0,,,1.0,14.42,,,,,,,7.98,7.98,,,,,,,,,,,5.03,,,,,,,,9.4,9.4,9.4,14.42,,,,,1.0,2.12,,6.82,9.57,,,,,,Sydney - Northern Beaches
123,,,,6.25,,92.78,172.07,172.07,22.07,,9.74,13.87,,44.82,41.49,169.84,2.34,2.34,6.25,6.25,,,19.61,19.61,,,,,,,,,,,113.73,14.89,6.41,1.2,14.89,6.41,1.2,5.06,85.52,85.52,85.52,169.84,4.89,43.4,43.4,23.04,19.58,47.7,7.46,41.93,87.62,6.34,6.23,35.71,5.06,4.89,Sydney - Outer South West
124,,2.41,,12.64,,45.49,182.28,182.28,35.18,,2.87,4.05,,64.44,62.37,161.33,,,7.33,7.33,,,34.22,34.22,,,,,,,,,,,73.29,7.71,1.35,,7.71,1.35,,6.64,106.62,106.62,106.62,161.33,5.42,62.43,62.43,44.73,20.3,13.81,4.03,59.03,61.28,6.9,1.12,35.07,6.64,5.42,Sydney - Outer West and Blue Mountains
125,,,,,,1.19,1.19,1.19,,,,,,,,1.19,,,1.19,1.19,,,,,,,,,,,,,,,1.19,,,,,,,,1.19,1.19,1.19,1.19,,,,,,,,,1.19,,,,,,Sydney - Parramatta
127,,1.0,,7.33,,32.82,258.67,258.67,22.0,2.66,3.35,4.96,,137.0,23.62,233.83,1.0,1.0,6.17,6.17,,,23.12,23.12,6.29,,2.72,,,6.29,,2.72,,,75.4,8.64,2.35,2.35,8.64,2.35,2.35,9.18,171.99,171.99,171.99,233.83,27.74,127.49,127.49,17.21,7.84,18.41,30.38,128.83,123.78,10.23,3.87,53.72,9.18,27.74,Sydney - South West
128,,1.27,,,,1.27,1.27,1.27,,,,,,,,1.27,,,,,,,,,,,,,,,,,,,1.27,,,,,,,,,,,1.27,,,,,,,,1.27,1.27,,,,,,Sydney - Sutherland
201,,420.76,,7.03,24.32,894.67,1057.57,1057.57,11.97,222.07,56.0,548.26,,84.92,199.74,986.98,18.44,18.44,5.87,5.87,15.37,15.37,9.46,9.46,16.06,,7.48,,,16.06,,7.48,,,956.09,49.49,19.51,9.75,49.49,19.51,9.75,15.06,167.41,167.41,167.41,986.98,34.44,62.57,62.57,91.65,115.87,431.49,76.85,171.37,610.53,71.21,8.62,100.26,15.06,34.44,Ballarat
202,,527.13,,27.51,28.54,811.45,1022.97,1022.97,7.46,204.13,40.53,490.98,,11.26,177.01,938.8,85.63,85.63,26.3,26.3,20.15,20.15,3.67,3.67,3.59,,46.75,,,3.59,,46.75,,,881.15,231.61,114.49,22.22,231.61,114.49,22.22,21.22,347.66,347.66,347.66,938.8,106.64,7.66,7.66,130.53,52.64,195.17,390.96,128.78,361.86,57.38,13.47,294.51,21.22,106.64,Bendigo
203,,180.86,,8.21,18.84,411.31,559.06,559.06,23.87,97.45,26.45,204.97,,32.53,92.13,494.32,1.2,1.2,4.73,4.73,14.74,14.74,17.85,17.85,2.52,,2.2,,,2.52,,2.2,,,443.59,8.25,3.77,1.2,8.25,3.77,1.2,18.41,73.26,73.26,73.26,494.32,30.84,25.21,25.21,43.92,50.84,106.34,16.24,215.92,286.07,30.31,11.05,44.11,18.41,30.84,Geelong
204,,290.69,,98.99,119.31,2265.49,2612.26,2612.26,26.28,126.16,347.57,975.25,,21.44,1013.18,2505.73,12.2,12.2,76.37,76.37,97.2,97.2,26.49,26.49,15.42,,1.17,,,15.42,,1.17,,,2384.09,216.5,62.38,26.52,216.5,62.38,26.52,20.32,476.94,476.94,476.94,2505.73,47.21,18.72,18.72,558.28,490.38,733.89,157.39,116.34,1614.33,92.79,12.28,342.9,20.32,47.21,Hume
205,,49.37,,28.48,11.8,2942.79,3361.96,3361.96,48.75,21.95,829.86,1656.96,,103.0,1019.44,3286.22,8.3,8.3,24.64,24.64,5.03,5.03,37.48,37.48,10.1,,4.52,,,10.1,,4.52,,,3219.18,477.84,129.04,124.77,477.84,129.04,124.77,44.64,676.64,676.64,676.64,3286.22,102.8,82.87,82.87,617.18,420.68,925.56,328.34,509.61,1975.03,160.09,97.28,505.51,44.64,102.8,Latrobe - Gippsland
206,,,,1.0,,2.33,4.57,4.57,1.24,,,1.18,,,1.0,3.33,,,1.0,1.0,,,,,,,,,,,,,,,2.33,,,,,,,,1.0,1.0,1.0,3.33,,,,1.0,,3.33,,,1.18,,,,,,Melbourne - Inner
207,,,,1.14,,,3.63,3.63,1.14,,,,,1.36,1.36,3.63,,,,,,,1.14,1.14,1.14,,,,,1.14,,,,,,,,,,,,,3.63,3.63,3.63,3.63,,1.36,1.36,1.36,,,,2.27,2.5,,,,,,Melbourne - Inner East
208,,,,,,,12.71,12.71,8.41,,,,,,,12.71,,,,,,,8.41,8.41,,,,,,,,,,,,,,,,,,,11.26,11.26,11.26,12.71,,,,,,3.81,,11.53,,,,8.94,,,Melbourne - Inner South
209,,2.81,,11.31,3.97,79.61,123.0,123.0,17.79,2.73,4.75,38.11,,8.03,20.88,116.3,,,9.97,9.97,2.54,2.54,16.27,16.27,2.62,,,,,2.62,,,,,88.06,2.65,,,2.65,,,,38.25,38.25,38.25,116.3,,5.45,5.45,13.85,7.03,36.69,1.2,22.87,73.74,,6.18,19.0,,,Melbourne - North East
210,,16.22,,6.18,7.62,110.85,149.13,149.13,11.04,6.16,7.24,34.19,,6.14,19.73,140.3,1.23,1.23,2.56,2.56,5.14,5.14,7.2,7.2,2.54,,,,,2.54,,,,,124.65,1.27,,,1.27,,,3.62,24.52,24.52,24.52,140.3,6.37,4.59,4.59,11.42,12.0,56.19,3.61,23.12,76.53,6.53,3.79,,3.62,6.37,Melbourne - North West
211,,3.76,,115.78,64.11,143.51,412.78,412.78,127.59,1.21,16.28,77.93,,33.66,115.54,381.48,,,111.59,111.59,55.84,55.84,118.41,118.41,5.86,,1.35,,,5.86,,1.35,,,119.08,3.82,1.35,,3.82,1.35,,21.5,306.92,306.92,306.92,381.48,40.81,30.33,30.33,98.7,22.67,110.17,11.11,103.73,264.86,18.94,7.62,129.19,21.5,40.81,Melbourne - Outer East
212,,4.4,,20.94,2.44,307.3,552.81,552.81,82.51,3.75,63.11,184.12,,105.89,96.49,515.79,,,20.93,20.93,1.23,1.23,75.74,75.74,4.22,,1.0,,,4.22,,1.0,,,363.47,28.32,8.68,4.15,28.32,8.68,4.15,17.17,214.18,214.18,214.18,515.79,25.16,92.56,92.56,68.14,28.35,162.59,22.24,166.58,285.75,17.46,45.62,99.33,17.17,25.16,Melbourne - South East
213,,18.37,,2.25,2.54,40.61,156.11,156.11,10.32,3.91,,14.2,,79.55,14.18,138.91,1.0,1.0,2.25,2.25,3.81,3.81,9.11,9.11,1.27,,1.0,,,1.27,,1.0,,,49.84,2.2,2.26,,2.2,2.26,,12.15,96.54,96.54,96.54,138.91,21.62,79.91,79.91,11.82,2.36,65.01,75.87,35.34,43.66,5.29,29.12,57.52,12.15,21.62,Melbourne - West
214,,3.74,,24.62,39.34,128.37,249.74,249.74,37.26,,9.57,50.34,,18.49,18.01,226.03,,,22.18,22.18,25.36,25.36,29.75,29.75,,,,,,,,,,,155.26,6.36,2.34,1.35,6.36,2.34,1.35,10.18,94.3,94.3,94.3,226.03,13.17,18.29,18.29,15.5,5.16,48.36,6.45,76.07,133.19,7.22,26.8,53.61,10.18,13.17,Mornington Peninsula
215,1.21,2613.27,,257.58,622.93,2037.85,4404.35,4404.35,45.97,1288.02,165.47,1438.89,,101.89,526.23,3536.64,122.56,122.56,254.5,254.5,615.03,615.03,32.11,32.11,35.94,,50.78,1.21,,35.94,,50.78,1.21,,2619.56,313.88,183.62,56.79,313.88,183.62,56.79,83.71,1319.51,1319.51,1319.51,3536.64,491.69,84.72,84.72,405.8,130.86,817.2,1402.23,824.03,1022.55,175.51,32.34,942.93,83.71,491.69,North West
216,,615.01,1.2,224.79,44.63,1672.65,2378.01,2378.01,15.25,317.85,415.72,1297.35,,54.27,273.9,2201.2,167.4,167.4,221.51,221.51,34.66,34.66,12.5,12.5,9.0,1.2,53.43,,,9.0,1.2,53.43,,,1816.47,1206.54,622.49,270.24,1206.54,621.49,270.24,82.73,1734.62,1734.62,1734.62,2201.2,772.43,54.03,54.03,219.64,56.77,499.13,1729.01,136.91,352.54,56.4,156.32,1268.02,82.73,773.43,Shepparton
217,,454.03,,5.31,9.15,3311.14,3715.09,3715.09,20.38,223.56,1014.07,1975.57,,35.77,477.56,3605.91,11.52,11.52,4.13,4.13,4.54,4.54,9.72,9.72,23.14,,8.79,,,23.14,,8.79,,,3573.99,270.75,37.82,38.86,271.75,37.82,37.86,26.38,367.51,367.51,367.51,3605.91,51.06,22.17,22.17,153.73,334.85,2210.09,29.82,585.2,1957.41,265.3,42.77,232.7,26.38,51.06,Warrnambool and South West
301,,2.51,,3.52,,17.19,52.76,52.76,15.31,1.22,,,,5.43,5.08,49.06,1.29,1.29,2.23,2.23,,,14.03,14.03,,,,,,,,,,,27.11,,,,,,,,23.06,23.06,23.06,49.06,,6.63,6.63,3.85,1.22,4.9,1.25,22.21,25.27,2.25,,,,,Brisbane - East
303,,,,3.72,,2.26,19.23,19.23,6.29,,,,,10.68,1.29,19.23,,,1.21,1.21,,,6.29,6.29,,,,,,,,,,,3.26,,1.26,,,1.26,,,17.23,17.23,17.23,19.23,3.79,9.68,9.68,1.29,,8.5,2.03,4.79,9.73,,,,,3.79,Brisbane - South
304,,,,1.12,,2.19,7.01,7.01,2.5,,,,,,1.25,5.89,,,,,,,2.5,2.5,,,,,,,,,,,3.39,,,,,,,,2.5,2.5,2.5,5.89,,,,,1.25,3.69,,2.44,3.44,1.25,,,,,Brisbane - West
305,,,,,,1.0,2.0,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,Brisbane Inner City
306,16.92,56.69,1.0,308.03,,485.54,1370.24,1370.24,52.22,43.48,13.69,48.94,643.48,73.26,468.85,835.29,18.0,18.0,259.28,259.28,,,44.8,44.8,36.03,,6.93,16.92,87.25,36.03,,6.93,16.92,87.25,473.22,49.24,22.3,7.28,49.24,22.3,7.28,12.61,493.24,493.24,493.24,835.29,45.38,54.27,54.27,210.54,268.99,331.54,98.23,43.53,136.89,38.08,9.29,159.02,12.61,45.38,Cairns
307,,1780.33,215.81,104.08,19.26,3535.2,4410.76,4410.76,21.23,678.86,155.32,773.13,2.15,123.95,948.51,3944.91,174.78,174.78,94.29,94.29,9.69,9.69,13.87,13.87,12.98,195.84,83.58,,1.0,12.98,195.84,83.58,,1.0,3622.49,136.39,147.84,47.34,136.39,147.84,47.34,18.07,706.2,706.2,706.2,3944.91,76.96,92.0,92.0,300.55,691.21,2538.33,63.02,41.36,2587.63,146.16,33.18,223.64,18.07,76.96,Darling Downs - Maranoa
308,,325.1,46.75,42.39,6.25,1897.42,2153.16,2153.16,11.18,175.51,37.83,230.47,,16.48,684.51,2037.67,49.48,49.48,31.13,31.13,6.25,6.25,10.18,10.18,8.9,47.95,43.57,,,8.9,47.95,43.57,,,1931.31,57.67,101.46,12.18,57.67,101.46,12.18,14.8,279.99,279.99,279.99,2037.67,29.83,14.52,14.52,217.52,489.33,1190.12,95.79,37.81,1449.81,121.27,9.29,149.21,14.8,29.83,Fitzroy
309,,,,22.15,,60.41,165.95,165.95,34.26,9.17,1.24,5.87,44.3,16.66,36.4,118.93,,,8.37,8.37,,,33.0,33.0,4.41,,,,4.74,4.41,,,,4.74,65.8,2.48,2.43,,2.48,2.43,,,62.75,62.75,62.75,118.93,,13.08,13.08,6.13,30.27,43.34,1.27,9.24,72.18,8.01,5.74,13.34,,,Gold Coast
310,,108.85,,18.57,2.52,526.43,753.83,753.83,34.26,44.51,45.28,262.73,,139.71,266.85,728.13,57.37,57.37,13.69,13.69,2.52,2.52,28.03,28.03,7.52,,23.06,,,7.52,,23.06,,,566.74,81.01,154.22,23.8,81.01,154.22,23.8,10.4,340.18,340.18,340.18,728.13,29.83,124.35,124.35,136.7,136.13,445.2,41.93,43.26,343.54,27.91,2.5,149.6,10.4,29.83,Ipswich
311,,13.46,,2.55,2.42,213.96,301.99,301.99,18.91,4.81,25.82,96.02,,35.44,130.1,286.06,7.62,7.62,3.76,3.76,1.21,1.21,18.88,18.88,3.77,,2.24,,,3.77,,2.24,,,239.07,46.27,44.9,19.72,46.27,44.9,19.72,4.39,118.69,118.69,118.69,286.06,10.58,26.63,26.63,56.95,80.44,126.83,6.11,29.71,148.96,11.09,2.48,31.43,4.39,10.58,Logan - Beaudesert
312,7.56,89.73,,51.38,,883.02,1657.11,1657.11,10.93,61.13,11.9,101.29,763.87,58.36,488.8,1429.96,2.28,2.28,42.29,42.29,,,12.12,12.12,10.98,1.24,6.8,7.56,595.88,10.98,1.24,6.8,7.56,595.88,886.77,26.58,19.34,3.57,26.58,19.34,3.57,28.7,729.84,729.84,729.84,1429.96,50.25,57.9,57.9,235.29,273.52,832.3,251.75,24.43,717.47,55.64,60.51,346.49,28.7,50.25,Mackay
313,,4.93,,78.62,3.57,200.75,353.21,353.21,39.84,1.25,3.74,21.81,1.0,21.62,115.21,329.39,2.5,2.5,58.43,58.43,1.19,1.19,36.09,36.09,4.51,,1.25,,,4.51,,1.25,,,221.64,19.64,7.11,4.94,19.64,7.11,4.94,5.97,141.7,141.7,141.7,329.39,6.83,19.16,19.16,21.96,93.26,107.85,7.06,30.85,233.94,14.5,3.53,25.81,5.97,6.83,Moreton Bay - North
314,,,,1.23,,22.1,38.0,38.0,6.27,,,1.19,1.27,1.27,9.67,34.29,,,1.27,1.27,,,5.06,5.06,1.0,,,,,1.0,,,,,26.96,2.49,1.25,,2.49,1.25,,,9.81,9.81,9.81,34.29,,1.27,1.27,3.69,5.98,16.02,,1.22,19.52,1.25,,,,,Moreton Bay - South
315,,13.37,1.0,145.41,5.51,1598.24,1860.53,1860.53,6.33,8.98,5.28,83.84,27.55,34.59,581.87,1799.31,1.1,1.1,145.51,145.51,4.27,4.27,5.06,5.06,18.13,1.0,6.23,,20.64,18.13,1.0,6.23,,20.64,1653.81,19.6,34.77,6.49,19.6,34.77,6.49,17.0,221.59,221.59,221.59,1799.31,38.09,27.77,27.77,132.4,468.94,1319.44,167.32,13.18,1036.63,83.23,8.51,148.86,17.0,38.09,Queensland - Outback
316,,5.02,,132.82,,162.88,397.74,397.74,74.98,3.37,4.84,5.16,13.37,42.02,106.46,328.05,1.23,1.23,81.9,81.9,,,60.54,60.54,9.85,,,,2.0,10.85,,,,2.0,176.35,20.61,,,20.61,,,3.47,194.05,194.05,195.05,328.05,4.78,32.39,32.39,27.49,82.59,83.24,4.84,21.5,234.52,13.69,5.71,19.27,3.47,4.78,Sunshine Coast
317,,59.75,1.16,9.28,,191.18,306.12,306.12,13.62,18.27,9.58,109.15,,68.2,49.01,286.09,14.39,14.39,9.28,9.28,,,9.61,9.61,7.08,1.16,5.21,,,7.08,1.16,5.21,,,200.71,29.59,63.99,7.21,29.59,63.99,7.21,,158.63,158.63,158.63,286.09,8.33,61.04,61.04,15.96,35.21,235.93,2.44,13.04,96.4,15.0,4.56,28.23,,8.33,Toowoomba
318,24.19,36.24,,63.32,2.0,422.77,1560.87,1560.87,18.95,104.96,3.23,63.92,1082.18,68.33,278.04,1205.78,11.15,11.15,56.37,56.37,1.0,1.0,17.63,17.63,24.82,,43.72,24.19,756.29,24.82,,43.72,24.19,756.29,404.91,18.07,30.34,1.22,18.07,30.34,1.22,33.84,879.1,879.1,879.1,1205.78,69.67,51.37,51.37,168.99,118.55,866.45,478.37,18.34,280.4,23.09,102.38,501.32,33.84,69.67,Townsville
319,,229.55,3.4,296.76,7.41,1979.08,2742.73,2742.73,51.69,187.01,76.32,389.72,397.26,195.56,971.32,2596.51,39.96,39.96,254.52,254.52,6.23,6.23,47.38,47.38,57.22,3.57,54.98,,353.35,57.22,3.57,54.98,,353.35,2018.29,190.09,149.28,37.51,190.09,149.28,37.51,36.43,1037.33,1037.33,1037.33,2596.51,116.77,155.85,155.85,421.63,572.66,1239.3,434.45,109.46,1517.46,141.55,32.06,587.52,36.43,116.77,Wide Bay
401,,9.97,,100.78,101.39,269.81,415.49,415.49,24.69,2.34,20.46,137.45,,29.06,61.12,401.58,,,92.84,92.84,93.25,93.25,22.97,22.97,4.3,,,,,,,,,,253.51,42.25,9.05,,42.25,9.05,,6.03,260.21,260.21,260.21,401.58,,22.4,22.4,34.76,29.79,281.18,16.46,36.09,203.64,14.13,7.86,109.3,6.03,,Adelaide - Central and Hills
