SA4_MAIN11,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total,SA4_NAME11
123,1063,957,624,177,36,9,3968,48,337,439,433,348,98,18,6,1727,1388,4748,4148,2900,2078,681,201,37,16181,1226,3149,3395,3031,2053,708,247,54,13863,330,556,724,777,692,249,62,16,3406,4089,7204,7323,6736,5034,2136,732,179,33433,647,677,526,458,327,91,23,3,2752,5066,8437,8573,7971,6053,2476,817,198,39591,292,530,685,795,748,353,150,64,3617,2950,1946,2260,2375,2222,1667,1283,690,15393,11097,20122,20563,18462,14126,6160,2752,1058,94340,Sydney - Outer South West
124,1354,1498,1306,476,129,24,5974,51,459,655,850,832,248,50,11,3156,1600,5664,5491,4653,3611,1393,497,131,23040,1390,3553,4308,3878,3139,1409,565,153,18395,401,608,864,995,912,413,171,44,4408,5301,9412,8648,8354,6008,2760,1061,303,41847,807,834,652,580,402,130,27,10,3442,6509,10854,10164,9929,7322,3303,1259,357,49697,312,595,720,998,1056,654,304,140,4779,3300,2382,2563,2868,2752,2211,1788,1003,18867,13316,24540,25255,24674,20018,9694,4592,1819,123908,Sydney - Outer West and Blue Mountains
125,4643,2757,1433,470,121,19,18595,107,1097,980,724,530,169,54,6,3667,4476,18776,11425,7197,4277,1751,668,125,48695,3255,7589,6405,4647,3021,1435,587,171,27110,402,789,973,1010,809,426,167,60,4636,3834,7351,6835,6144,4524,2827,1519,447,33481,590,776,705,594,335,129,58,15,3202,4826,8916,8513,7748,5668,3382,1744,522,41319,520,1331,1175,1255,1095,675,395,146,6592,5649,6607,4866,4302,3379,2827,2778,1616,32024,19351,52950,38007,28630,19403,10709,6347,2605,178002,Sydney - Parramatta
126,3467,2896,1809,681,237,44,13189,49,542,748,808,644,222,65,20,3098,2911,8835,7586,6009,3865,1770,800,262,32038,1317,2264,2910,2802,2128,1149,693,271,13534,106,209,378,505,489,336,181,74,2278,1022,1906,2266,2499,1808,1152,819,289,11761,167,183,200,239,165,69,45,13,1081,1295,2298,2844,3243,2462,1557,1045,376,15120,149,314,429,577,536,378,302,157,2842,1535,1208,989,1088,1069,994,1210,1124,9217,7497,19275,18973,17423,12513,6751,4352,2254,89038,Sydney - Ryde
127,1180,875,528,139,28,7,4403,77,398,353,326,219,44,9,0,1426,2918,8387,5919,4088,2495,706,208,47,24768,2526,5349,5200,3729,1967,685,229,39,19724,446,833,1067,981,556,203,77,19,4182,4227,7783,7912,7331,4813,2378,981,187,35612,683,963,826,637,329,81,12,8,3539,5356,9579,9805,8949,5698,2662,1070,214,43333,480,936,1080,1209,874,442,189,45,5255,4912,4040,4245,4479,3764,3029,2199,852,27520,16483,30121,27782,23655,15545,7707,3932,1204,126429,Sydney - South West
128,1626,1417,1076,426,117,21,5924,45,485,681,773,672,176,57,9,2898,2058,6418,6185,4761,3435,1182,523,127,24689,1403,3474,4584,4084,2960,1424,601,193,18723,262,464,755,990,978,536,238,72,4295,3010,5689,6302,6096,4477,2945,1659,474,30652,335,373,429,432,358,149,56,17,2149,3607,6526,7486,7518,5813,3630,1953,563,37096,217,437,605,909,983,675,496,161,4483,1541,1432,1426,1528,1516,1370,1675,1049,11537,8965,19919,22593,20990,16455,8883,5422,2123,105350,Sydney - Sutherland
197,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,0,0,0,0,3,3,0,0,6,0,0,0,0,0,0,0,0,0,3,3,3,3,4,3,3,0,22,0,0,0,0,6,0,0,0,6,3,3,3,3,10,3,3,0,28,0,0,0,0,0,3,0,0,3,0,0,0,3,0,5,10,0,18,3,3,6,9,13,17,13,0,64,Migratory - Offshore - Shipping (NSW)
199,78,31,39,15,3,0,344,3,36,17,31,20,6,0,0,113,181,540,225,133,140,52,12,0,1283,70,154,131,111,120,50,10,0,646,26,41,32,38,35,19,0,3,194,171,342,270,270,211,160,19,6,1449,64,36,24,18,13,7,0,0,162,261,419,326,326,259,186,19,9,1805,14,45,27,28,32,12,4,6,168,365,583,613,608,407,241,89,59,2965,910,1939,1417,1268,1017,562,137,74,7324,Special Purpose Codes SA4 (NSW)
201,581,715,537,244,57,11,2591,35,446,636,670,609,218,44,7,2665,773,3035,2880,2237,1992,884,286,63,12150,464,1358,1839,1885,1724,898,343,94,8605,186,258,316,315,264,130,58,23,1550,2404,3780,4057,4173,3122,1764,732,180,20212,415,385,280,247,170,67,16,3,1583,3005,4423,4653,4735,3556,1961,806,206,23345,77,101,166,217,278,190,110,31,1170,1622,981,1246,1554,1851,1889,1791,928,11862,6016,10750,12001,12013,10547,6284,3437,1340,62388,Ballarat
202,542,604,592,266,52,12,2354,34,426,672,740,645,189,37,6,2749,721,2810,2862,2304,1931,943,318,71,11960,386,1070,1630,1832,1827,1022,384,131,8282,159,257,295,342,323,140,60,17,1593,2307,3713,4021,4371,3156,1700,735,174,20177,375,343,275,253,171,47,10,6,1480,2841,4313,4591,4966,3650,1887,805,197,23250,66,119,172,223,283,183,102,31,1179,1419,997,1244,1402,1647,1755,1836,1099,11399,5485,10003,11713,12071,10575,6245,3534,1547,61173,Bendigo
