sa4_code_2016,earners_persons_2010_11,earners_persons_2011_12,earners_persons_2012_13,earners_persons_2013_14,earners_persons_2014_15,median_age_of_earners_years_2010_11,median_age_of_earners_years_2011_12,median_age_of_earners_years_2012_13,median_age_of_earners_years_2013_14,median_age_of_earners_years_2014_15,income_aud_2010_11,income_aud_2011_12,income_aud_2012_13,income_aud_2013_14,income_aud_2014_15,median_aud_2010_11,median_aud_2011_12,median_aud_2012_13,median_aud_2013_14,median_aud_2014_15,mean_aud_2010_11,mean_aud_2011_12,mean_aud_2012_13,mean_aud_2013_14,mean_aud_2014_15,sa4_name16
313,109745,111398,112077,113647,116984,42,43,43,43,43,4707980171,5140046729,5422678063,5681068468,5938482659,37195,39268,40933,42049,42981,42899,46141,48384,49989,50763,Moreton Bay - North
314,97072,99789,102139,105216,109333,41,41,41,41,41,5052538376,5540413390,5896292861,6231996670,6574458719,44279,46650,48231,49644,50772,52049,55521,57728,59231,60132,Moreton Bay - South
315,37430,38703,38850,38498,38822,40,40,40,41,41,1883433260,2051319663,2147829848,2092620951,2240601810,41295,44436,46271,46123,47846,50319,53002,55285,54357,57715,Queensland - Outback
316,175212,177895,181034,187401,195756,45,46,46,46,46,7496361329,8263944926,8984189348,9677770378,10289903934,33614,36198,37958,39140,40014,42785,46454,49627,51642,52565,Sunshine Coast
317,76823,78115,78754,80213,81940,42,42,42,42,42,3499799638,3843223195,4114225935,4325916132,4440662018,38668,41329,43528,44941,45425,45557,49200,52241,53930,54194,Toowoomba
318,121911,124898,125074,125231,126772,40,40,41,41,41,6303579998,6960082164,7203733132,7260340133,7428402608,44608,47333,49248,49348,50066,51706,55726,57596,57976,58597,Townsville
319,130179,130082,129725,130043,132407,45,46,46,46,46,5020100412,5492844346,5720324620,5845989293,6051189800,31869,34444,36065,36895,37111,38563,42226,44096,44954,45701,Wide Bay
401,167403,168603,169714,171734,175237,44,45,45,45,45,10159157928,10660711675,11136403104,11722103343,12147271962,43445,45673,47550,49062,49857,60687,63230,65619,68257,69319,Adelaide - Central and Hills
402,202178,203254,203330,207295,212120,40,41,41,41,41,8820674471,9328445320,9725285505,10166621697,10557566676,39861,41751,43261,44374,45038,43628,45896,47830,49044,49772,Adelaide - North
403,195382,196306,196920,199107,202437,43,44,44,44,44,9461489754,9972626386,10454349098,10878437745,11237953908,40688,42494,44364,45599,46411,48426,50801,53089,54636,55513,Adelaide - South
404,117000,118441,119876,122237,125006,41,42,42,42,42,5516020460,5904597781,6229964366,6530247809,6821191005,40336,42267,44007,45168,46216,47145,49853,51970,53423,54567,Adelaide - West
405,55082,55437,55253,55992,56857,47,47,47,48,48,2478144136,2567705638,2577212045,2787524779,2959369413,37088,38633,39140,41040,42397,44990,46318,46644,49784,52049,Barossa - Yorke - Mid North
406,42344,42831,42597,42443,42360,43,43,43,44,44,2212120919,2341780466,2384575092,2445275869,2502645572,42175,45309,45786,47156,48334,52242,54675,55980,57613,59080,South Australia - Outback
407,95523,95898,95937,96814,98755,46,46,47,47,47,3813259339,3990988104,4039903745,4328488732,4514038002,34192,35782,36339,37650,38594,39920,41617,42110,44709,45709,South Australia - South East
501,92009,94483,97099,99464,102647,43,43,44,44,44,4701932209,5261095115,5704266542,5981632915,6331291852,39610,42360,44259,44933,46024,51103,55683,58747,60139,61680,Bunbury
502,43739,46426,48425,49755,51604,45,45,45,45,45,2349979134,2739336761,3100516278,3277564121,3424224414,39226,43097,46530,47942,48157,53727,59004,64027,65874,66356,Mandurah
503,102604,107499,111586,113816,117215,40,40,40,40,40,8982456015,10092208227,11122347520,11749810801,12271210760,50441,55347,59779,60963,61685,87545,93882,99675,103235,104690,Perth - Inner
504,126631,132625,137935,142357,146891,41,41,41,41,41,6821823305,7728453944,8609263214,9033685700,9399636135,45000,48221,51172,52157,52743,53872,58273,62415,63458,63991,Perth - North East
505,288952,302668,314004,321259,330290,41,41,41,41,41,16622504713,18812365008,20901915702,21806089149,22716002177,45203,48539,51696,52720,53500,57527,62155,66566,67877,68776,Perth - North West
506,253417,266413,277465,282681,290057,39,39,39,39,39,13973543907,15896088706,17559016694,18160726759,18787448270,44701,47913,50742,51266,51806,55141,59667,63284,64245,64772,Perth - South East
507,207095,217660,226552,232664,241024,41,41,41,41,41,12487784162,14241288818,15995159178,16756441321,17534767156,46356,50013,53390,54612,55180,60300,65429,70603,72020,72751,Perth - South West
509,73104,73839,75341,76772,78251,46,46,47,47,47,3224657484,3535472616,3937093767,4422134575,4722279396,35735,38418,41156,44050,45573,44111,47881,52257,57601,60348,Western Australia - Wheat Belt
510,39187,41221,43424,44121,43908,37,36,36,37,37,2805538566,3194450375,3580896050,3689457039,3704711363,59484,63779,68416,70083,70392,71594,77496,82464,83621,84374,Western Australia - Outback (North)
511,63563,65706,66371,65965,66427,41,41,42,42,43,3602353620,3978281175,4318967734,4354977729,4390679843,45228,48939,52130,52393,52825,56674,60547,65073,66020,66098,Western Australia - Outback (South)
601,117056,116938,116024,117648,120927,43,44,44,44,44,5607014092,5805599916,5992008823,6251288106,6598857542,39971,41456,42844,44265,45427,47900,49647,51645,53136,54569,Hobart
602,72718,72055,70925,71249,72675,44,44,45,45,45,3147125921,3264292727,3338262508,3453041075,3638496026,36856,38098,39266,40494,41811,43278,45303,47068,48464,50065,Launceston and North East
603,18569,18341,18162,18448,18944,46,47,48,48,48,707731104,722718758,739729159,794505721,841238360,32419,33789,34532,36081,36927,38114,39405,40729,43067,44407,South East
604,56507,56320,55230,55315,56140,44,44,45,45,45,2409290948,2512692742,2556044301,2646188729,2762994828,36777,38176,39420,40612,41816,42637,44615,46280,47839,49216,West and North West
701,73804,77385,81179,85095,88062,38,38,38,38,38,4211436988,4768141314,5317203919,5848235151,6268652458,50436,53961,56766,59187,60572,57062,61616,65500,68726,71185,Darwin
702,30697,31131,31418,31722,32157,39,39,39,40,39,1591861175,1703067359,1796887512,1863623067,1904723178,45732,47897,49727,50717,51797,51857,54706,57193,58749,59232,Northern Territory - Outback
801,222823,229162,233510,237079,244662,40,41,41,41,41,14027709927,15021190097,15950413768,16592116858,17323010166,54513,57090,59484,60524,61482,62954,65548,68307,69986,70804,Australian Capital Territory
901,929,969,1020,1071,1045,46,46,45,46,47,56964133,64985822,73478349,77072659,72426066,60222,63643,68095,69733,69841,61318,67065,72038,71963,69307,Other Territories
