statistical_local_area_code,statistical_local_area_name,state_code,state_name,statistical_division,statistical_division_name,statistical_subdivision,statistical_subdivision_name,local_government_area,local_government_area_name,seifa_2001_population,irsad_score,irsd_score,ier_score,ieo_score,q10_irsad,q25_irsad,q50_irsad,q75_irsad,q90_irsad,q10_irsd,q25_irsd,q50_irsd,q75_irsd,q90_irsd,q10_ier,q25_ier,q50_ier,q75_ier,q90_ier,q10_ieo,q25_ieo,q50_ieo,q75_ieo,q90_ieo,total_irsad,total_irsd,total_ier,total_ieo,min_irsad,min_irsd,min_ier,min_ieo,max_irsad,max_irsd,max_ier,max_ieo,med_irsad,med_irsd,med_ier,med_ieo
505250490,Belmont (C),5,Western Australia,505,Perth,50525,South East Metropolitan,50490,Belmont (C),28999,949.5939999999999,951.923,951.153,951.5310000000001,918.38,936.415,951.273,984.154,1053.27,922.684,960.887,983.762,1004.45,1057.03,883.797,909.428,940.887,994.4939999999999,1069.89,904.263,933.431,951.557,970.263,1060.79,27537274.0,27604828.0,27582474.0,27593462.0,863.544,735.313,853.409,851.988,1136.83,1099.99,1150.92,1112.2,946.6360000000001,970.6089999999999,943.939,947.648
505251330,Canning (C),5,Western Australia,505,Perth,50525,South East Metropolitan,51330,Canning (C),73727,1032.32,1019.31,1017.77,1029.38,918.38,936.415,951.273,984.154,1053.27,922.684,960.887,983.762,1004.45,1057.03,883.797,909.428,940.887,994.4939999999999,1069.89,904.263,933.431,951.557,970.263,1060.79,76109616.0,75150904.0,75036864.0,75892792.0,713.586,536.121,779.312,700.904,1182.26,1139.08,1213.65,1167.3,1037.18,1041.28,1025.69,1034.47
505253780,Gosnells (C),5,Western Australia,505,Perth,50525,South East Metropolitan,53780,Gosnells (C),80049,960.87,977.414,983.895,936.1039999999999,918.38,936.415,951.273,984.154,1053.27,922.684,960.887,983.762,1004.45,1057.03,883.797,909.428,940.887,994.4939999999999,1069.89,904.263,933.431,951.557,970.263,1060.79,76916688.0,78241016.0,78759776.0,74934192.0,825.882,798.533,837.566,842.573,1133.11,1110.9,1203.03,1056.37,946.569,970.758,969.832,930.581
505257700,Serpentine-Jarrahdale (S),5,Western Australia,505,Perth,50525,South East Metropolitan,57700,Serpentine-Jarrahdale (S),10855,987.813,1020.32,1010.45,951.808,918.38,936.415,951.273,984.154,1053.27,922.684,960.887,983.762,1004.45,1057.03,883.797,909.428,940.887,994.4939999999999,1069.89,904.263,933.431,951.557,970.263,1060.79,10722713.0,11075628.0,10968387.0,10331873.0,908.2239999999999,914.653,893.8689999999999,858.9060000000001,1063.18,1076.05,1088.14,1051.25,984.087,1025.95,996.3939999999999,946.4860000000001
505257840,South Perth (C),5,Western Australia,505,Perth,50525,South East Metropolitan,57840,South Perth (C),36108,1111.87,1061.95,1075.64,1128.23,918.38,936.415,951.273,984.154,1053.27,922.684,960.887,983.762,1004.45,1057.03,883.797,909.428,940.887,994.4939999999999,1069.89,904.263,933.431,951.557,970.263,1060.79,40147276.0,38344916.0,38839068.0,40737992.0,969.6460000000001,758.16,893.8589999999999,957.0169999999999,1206.68,1142.39,1200.31,1222.27,1116.31,1075.37,1077.64,1130.6
505258510,Victoria Park (T),5,Western Australia,505,Perth,50525,South East Metropolitan,58510,Victoria Park (T),25716,1029.25,999.682,989.263,1055.29,918.38,936.415,951.273,984.154,1053.27,922.684,960.887,983.762,1004.45,1057.03,883.797,909.428,940.887,994.4939999999999,1069.89,904.263,933.431,951.557,970.263,1060.79,26468080.0,25707814.0,25439882.0,27137880.0,890.1010000000001,828.275,851.298,929.247,1118.62,1088.62,1092.36,1164.32,1029.69,1009.08,990.557,1057.69
410050315,Barossa (DC) - Tanunda,4,South Australia,410,Outer Adelaide,41005,Barossa,40310,Barossa (DC),4406,990.6260000000001,1037.99,996.056,975.275,887.398,916.49,941.5039999999999,993.816,1068.46,911.209,965.971,1004.51,1040.99,1073.99,884.043,900.6460000000001,939.6419999999999,981.7310000000001,1050.35,887.421,918.253,944.4119999999999,996.4,1072.9,4364696.5,4573385.0,4388624.0,4297059.5,932.539,990.515,948.018,919.814,1033.84,1059.75,1033.57,1027.67,998.457,1051.07,996.1060000000001,983.9830000000001
410053650,Light (DC),4,South Australia,410,Outer Adelaide,41005,Barossa,43650,Light (DC),10201,958.533,1020.99,958.4760000000001,948.092,887.398,916.49,941.5039999999999,993.816,1068.46,911.209,965.971,1004.51,1040.99,1073.99,884.043,900.6460000000001,939.6419999999999,981.7310000000001,1050.35,887.421,918.253,944.4119999999999,996.4,1072.9,9777999.0,10415107.0,9777410.0,9671487.0,867.2339999999999,925.446,862.7719999999999,887.706,1043.8,1113.57,1064.2,1045.96,963.216,1019.81,973.154,943.655
410053920,Mallala (DC),4,South Australia,410,Outer Adelaide,41005,Barossa,43920,Mallala (DC),7087,913.4860000000001,975.192,940.3,887.421,887.398,916.49,941.5039999999999,993.816,1068.46,911.209,965.971,1004.51,1040.99,1073.99,884.043,900.6460000000001,939.6419999999999,981.7310000000001,1050.35,887.421,918.253,944.4119999999999,996.4,1072.9,6473878.5,6911183.0,6663903.5,6289151.0,845.954,909.403,858.74,829.201,953.28,1032.94,1018.12,930.549,911.051,978.725,928.919,895.039
420050521,Berri & Barmera (DC) - Barmera,4,South Australia,420,Murray Lands,42005,Riverland,40520,Berri and Barmera (DC),4303,911.7589999999999,947.7310000000001,927.7180000000001,901.547,887.398,916.49,941.5039999999999,993.816,1068.46,911.209,965.971,1004.51,1040.99,1073.99,884.043,900.6460000000001,939.6419999999999,981.7310000000001,1050.35,887.421,918.253,944.4119999999999,996.4,1072.9,3923300.0,4078085.5,3991972.2,3879357.5,866.189,839.905,860.4680000000001,866.395,948.005,997.253,980.7769999999999,951.6210000000001,929.3660000000001,978.8610000000001,953.472,905.143
