ogc_fid,objectid_1,playarea_id,iams_id,parent_playground_name,parent_playground_iams_id,division_name,upgrade_year,equipment_replacement_cost,surface_type,surface_location,surface_area,other_surface_type,other_surface_location,other_surface_area,edging_type,fencing_type,access_description,all_access,age_range_0_to_3,age_range_4_to_7,age_range_8_to_12,age_range_13_plus,balance,bridge,bar,climber,cubby,combination_unit,flying_fox,fort,goal,panal,rocker,rotation,sculpture,slide,sound,swing,track_glide,sand_element,exercise_element,vehicle,total_structures,comments,feature_type,operational,area,perimeter,latitude,longitude,feature_type_code,create_date,feature_instance_metadata_id,objectid,natural_element,shape_length,shape_area
11,62,583,PLAR670,CASUARINA SANDS,PLGR539,STROMLO (RURAL),2010.0,27600.0,SAND,NORTH EAST POST AT SLIDE,160.0,NONE,AT END OF SLIDE RUNOUT,,CONCRETE,NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CONTAINS COMBINATION UNIT.,PLAY AREA,,65.5855429743973,33.9244499678,,,20,,,54,0,33.9209700888247,65.5855819729189
12,65,594,PLAR746,WESTON COMMUNITY PARK,PLGR588,WESTON,2011.0,,TANBARK,,,,,,CONCRETE,,,,YES,YES,YES,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,PLAY AREA,,19.5033153532691,15.675739513,,,20,,,57,0,15.674812638085802,19.503335710244897
13,68,216,PLAR463,MORGAN PLACE,PLGR369,CURTIN,1985.0,20000.0,TANBARK,EAST SUPPORT POST OF CLIMBING FRAME,70.0,NONE,UNDERNEATH CENTRE OF ROMAN RINGS,,TIMBER (SLEEPER),NONE,NO PATH,,NO,NO,NO,NO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CONTAINS CLIMBING FRAME.,PLAY AREA,,109.727142504256,37.300125244200004,,,20,,,60,0,37.2982848106284,109.72692147500099
14,70,564,PLAR764,COTTER AVENUE,PLGR620,PADDYS RIVER,,,TANBARK,SOUTH,,RUBBER SOFTFALL,NORTH END,,,,PATHWAYS,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,PLAY AREA,,557.121611774402,97.23836887030001,,,20,,,62,0,97.2281550761968,557.123054246789
15,71,649,PLAR713,KAMBAH DISTRICT PARK,PLGR305,KAMBAH,2009.0,1000.0,CONCRETE,,,NONE,,,NONE,NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,SUNDAIL AND SMALL CONCRETE AND GRASS AREA WITH SPEAKING TUBE,PLAY AREA,,58.4945462713515,31.077739950100003,,,20,,,63,0,31.0760189506326,58.494757233608205
16,81,21,PLAR795,KAMBAH DISTRICT PARK,PLGR305,KAMBAH,2013.0,,RUBBER,SOUTH OF LIBERTY SWING,,,,,CONCRETE,,PATHWAY,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,CONATINS 1 X SINGLE SWING,PLAY AREA,,54.23871918455179,27.8592992957,,,20,,,73,0,27.857765631711697,54.2387395996137
17,85,223,PLAR470,DEVONPORT STREET,PLGR376,LYONS,1995.0,25000.0,TANBARK,SOUTH EAST SUPPORT POST AT SLIDE,180.0,NONE,UNDERNEATH CRADLE SWING SEAT,,BRICK,NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,4,"CONTAINS COMBINATION UNIT, SWING, CAROUSEL AND ROCKER.",PLAY AREA,,179.440255941352,51.2174403964,,,20,,,77,0,51.214684114739704,179.439745005016
18,87,634,PLAR778,GIBBS PLACE,PLGR284,KAMBAH,2012.0,,TANBARK,NORT WESTERN AREA,,,,,CONCRETE,,PATH,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CONTAINS COMBINATION UNIT & SPIN POLE,PLAY AREA,,88.7067976629637,33.9939510336,,,20,,,79,0,33.9921095187581,88.70682042006621
19,88,635,PLAR779,GIBBS PLACE,PLGR284,KAMBAH,2012.0,,TANBARK,SOUTH EASTERN END,,,,,CONCRETE,,PATH,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CONTAINS SWINGS,PLAY AREA,,62.2929691688902,30.7909901721,,,20,,,80,0,30.789186605698102,62.2928995805967
27,205,109,PLAR331,WHEELER CRESCENT,PLGR274,WANNIASSA,1995.0,48000.0,TANBARK,NORTH WEST SUPPORT POST AT SLIDE,190.0,NONE,UNDERNEATH SOUTH STRAP SWING SEAT,,TIMBER (SLEEPER),NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,CONTAINS COMBINATION UNIT AND SWING.,PLAY AREA,,187.420715353448,53.4339009929,,,20,,,196,0,53.4313096791325,187.42202359733201
28,207,110,PLAR332,HERVEY PLACE,PLGR275,WANNIASSA,2004.0,8000.0,TANBARK,SOUTH WEST SUPPORT POST,100.0,NONE,"CENTRE OF SWING FRAME, ONE METRE TO THE SOUTH",,TIMBER (SLEEPER),NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,CONTAINS SWINGS.,PLAY AREA,,118.291480004582,43.142325088,,,20,,,198,0,43.1400316012392,118.29130584115299
29,208,111,PLAR333,HERVEY PLACE,PLGR275,WANNIASSA,2004.0,22000.0,TANBARK,AT FIREPOLE,100.0,NONE,ONE METRE EAST OF COMBINATION UNIT,,TIMBER (SLEEPER),NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,CONTAINS COMBINATION UNIT AND ROCKER.,PLAY AREA,,90.4328808401372,47.3052341337,,,20,,,199,0,47.3028135835359,90.4326602906703
20,89,641,PLAR784,CRAFER PLACE,PLGR288,KAMBAH,2012.0,,TANBARK,,,,,,CONCRETE,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CONTAINS SWINGS & SEE-SAW,PLAY AREA,,80.75697828623409,32.4999015567,,,20,,,81,0,32.4980063835329,80.75701574988359
21,174,50,PLAR257,NOEL RYAN GARDENS,PLGR214,GORDON,1992.0,30000.0,TANBARK,NORTHWEST POST AT SLIDE,260.0,NONE,END OF TUNNEL SLIDE,,CONCRETE,NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"CONTAINS COMBINATION UNIT, CAROUSEL, ROCKERS AND BALANCE LOGS.",PLAY AREA,,243.25494419923598,59.02706101810001,,,20,,,165,0,59.0241173075665,243.25472836162004
22,187,74,PLAR289,TUGGERANONG TOWN PARK,PLGR242,GREENWAY,2000.0,58000.0,TANBARK,NORTH EAST SUPPORT POST AT SWINGS,200.0,NONE,BETWEEN FROG ROCKERS,,MIXED,NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,"CONTAINS JUNIOR COMBINATION UNIT, JUNIOR DOUBLE SWING, SEESAW AND ROCKERS.",PLAY AREA,,149.418759247556,43.6004066633,,,20,,,178,0,43.597928483607596,149.418650826949
23,189,77,PLAR290,TUGGERANONG TOWN PARK,PLGR242,GREENWAY,2000.0,22000.0,SAND,,100.0,NONE,,,CONCRETE,NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CONTAINS TWISTED CLIMBER AND SAND PIT DIGGER.,PLAY AREA,,49.865389883758205,25.4289438402,,,20,,,180,0,25.4275967438991,49.8657347207429
24,190,75,PLAR292,TUGGERANONG TOWN PARK,PLGR242,GREENWAY,2000.0,18000.0,TANBARK,SOUTH EAST SUPPORT POST OF TYRE SWING,210.0,NONE,SOUTH OF STRAP SWING,,TIMBER (SLEEPER),NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,CONTAINS A DOUBLE SWING AND A TYRE SWING.,PLAY AREA,,183.06960421836,61.2075145692,,,20,,,181,0,61.204252976004,183.069703396486
25,191,78,PLAR293,MARQUET RETREAT,PLGR243,BONYTHON,1985.0,35000.0,TANBARK,SOUTH WEST SWING FRAME POST,150.0,NONE,END OF SPIRAL SLIDE,,TIMBER (SLEEPER),NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,"CONTAINS SPIRAL SLIDE, FORT, SWING AND ROCKER.",PLAY AREA,,201.998881356866,57.3546216135,,,20,,,182,0,57.351659272944005,201.99900510250401
26,193,80,PLAR295,HUSSEY COVE,PLGR245,BONYTHON,1985.0,30000.0,TANBARK,NORTH EAST POST AT SLIDE,150.0,NONE,UNDER TODDLER SWING SEAT,,CONCRETE,NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,"CONTAINS COMBINATION UNIT, SWING AND ROCKER.",PLAY AREA,,156.92489036214198,44.6174379837,,,20,,,184,0,44.615281811357896,156.92472804846702
30,209,112,PLAR334,STEINFIELD COURT,PLGR276,WANNIASSA,1995.0,40000.0,TANBARK,NORTH WEST SUPPORT POST AT SLIDE,210.0,NONE,UNDERNEATH CENTRE OF TRACKGLIDE,,TIMBER (SLEEPER),NONE,SEALED PATH,,NO,NO,NO,NO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CONTAINS COMBINATION UNIT.,PLAY AREA,,203.32792152009398,59.95379165560001,,,20,,,200,0,59.950971079066804,203.3282475421
31,210,113,PLAR335,WATKINS STREET,PLGR277,WANNIASSA,1995.0,48000.0,TANBARK,NORTH EAST SUPPORT POST AT SLIDE,200.0,NONE,UNDERNEATH WEST FLAT SWING SEAT,,TIMBER (SLEEPER),NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,"CONTAINS COMBINATION UNIT, AND SWING.",PLAY AREA,,220.140691939759,61.2185848534,,,20,,,201,0,61.215713434121,220.140753741244
32,211,114,PLAR336,POINT HUT POND DISTRICT PARK,PLGR278,GORDON,1990.0,40000.0,TANBARK,NORTHWEST CORNER OF SOUTH TOWER,320.0,NONE,MIDPOINT OF BURMESE BRIDGE,,TIMBER (SLEEPER),NONE,SEALED PATH,,NO,NO,NO,NO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CONTAIN THE TOWER WITH BURMESE BRIDGE AND FIREPOLE.,PLAY AREA,,312.988066468768,102.5344763543,,,20,,,202,0,102.52947031078001,312.987957793512
33,212,51,PLAR258,IREDALE PLACE,PLGR215,GORDON,1985.0,30000.0,TANBARK,NORTHEAST POST AT SLIDE,200.0,NONE,UNDER EAST FLAT SWING SEAT,,CONCRETE,NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,"CONTAINS COMBINATION UNIT, SWING AND ROCKER.",PLAY AREA,,161.349062298046,46.0748529791,,,20,,,203,0,46.0727176640033,161.349851463328
34,213,52,PLAR259,KIRKWOOD CRESCENT,PLGR216,GORDON,1995.0,25000.0,TANBARK,EAST POST OF LADDER AT SLIDE,360.0,NONE,UNDER TYRE SWING SEAT,,ROCK,NONE,GRAVEL PATH,,YES,YES,YES,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,"CONTAINS SLIDE, ROCKER, DOUBLE SWING AND TYRE SWING",PLAY AREA,,488.555949754133,100.4470072301,,,20,,,204,0,100.441909335026,488.555790035112
35,214,53,PLAR260,POPPLEWELL PLACE,PLGR217,GORDON,1995.0,20000.0,TANBARK,NORTH POST AT CURVED SLIDE,90.0,NONE,END OF STRAIGHT SLIDE,,CONCRETE,NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CONTAINS COMBINATION UNIT.,PLAY AREA,,122.46775023181601,42.0682282211,,,20,,,205,0,42.0662822995186,122.46781948946501
36,215,54,PLAR261,KNOKE AVENUE,PLGR218,GORDON,1995.0,22000.0,TANBARK,SOUTH POST AT CURVED SLIDE,115.0,NONE,AT END OF STRAIGHT SLIDE,,CONCRETE,NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CONTAINS COMBINATION UNIT AND ROCKER.,PLAY AREA,,166.981286848486,47.180416301099996,,,20,,,206,0,47.17815682018661,166.981195320904
37,226,73,PLAR288,LAKE TUGGERANONG DISTRICT PARK,PLGR240,GREENWAY,1995.0,44000.0,TANBARK,SOUTH SUPPORT POST AT STRAIGHT SLIDE,115.0,NONE,AT END OF TUNNEL SLIDE,,CONCRETE,NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"HAS A COMBINATION UNIT, AND ROCKERS.",PLAY AREA,,134.09585512361602,41.843416888200004,,,20,,,226,0,41.8411197572284,134.096047068678
38,229,169,PLAR410,LEARMONTH DRIVE,PLGR325,KAMBAH,1995.0,8000.0,TANBARK,EAST SUPPORT POST OF SWING FRAME,80.0,NONE,CENTRE OF SWINGS ON LAKE SIDE,,ROCK WALL,NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,CONTAINS SWINGS.,PLAY AREA,,59.004552504039005,27.5284950377,,,20,,,238,0,27.526740342276,59.004736315635206
39,230,170,PLAR411,LEARMONTH DRIVE,PLGR325,KAMBAH,1995.0,22000.0,TANBARK,LAKE SIDE OF CLIMBER NET,90.0,NONE,LAKE SIDE OF SLIDE,,ROCK WALL,NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,CONTAINS COMBINATION UNIT AND ROCKER.,PLAY AREA,,76.6691575311285,32.4730421821,,,20,,,239,0,32.4709637253294,76.6692432465642
40,233,151,PLAR383,KAMBAH DISTRICT PARK,PLGR305,KAMBAH,,,NONE,,,NONE,,,NONE,NONE,SEALED PATH,,NO,NO,NO,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HAS NO PLAY EQUIPMENT,PLAY AREA,,28.388995651283196,22.6369577792,,,20,,,242,0,22.635653957768998,28.389017474737397
41,234,153,PLAR388,HUMBLE COURT,PLGR307,KAMBAH,1995.0,30000.0,TANBARK,NORTH SUPPORT POST AT SLIDE,170.0,NONE,UNDERNEATH CRADLE SWING SEAT CENTRE,,TIMBER (SLEEPER),NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,"CONTAINS COMBINATION UNIT, SWING AND ROCKER.",PLAY AREA,,185.28493389615397,52.0162234314,,,20,,,243,0,52.0135549093699,185.28479593448898
42,237,180,PLAR425,MOLVIG STREET,PLGR336,WESTON,1999.0,32000.0,TANBARK,EAST SUPPORT POST AT SLIDE,240.0,NONE,UNDERNEATH CENTRE OF CRADLE SWING,,TIMBER (SLEEPER),NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,4,"CONTAINS COMBINATION UNIT, SWING AND ROCKERS.",PLAY AREA,,234.83836107342398,64.5345021424,,,20,,,246,0,64.530920017991,234.839251184336
43,238,181,PLAR426,MOONTA PLACE,PLGR337,FISHER,1990.0,44000.0,TANBARK,NORTH SUPPORT POST AT SLIDE,110.0,NONE,AT END OF SLIDE,,TIMBER (SLEEPER),NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,CONTAINS COMBINATION UNIT AND ROCKERS.,PLAY AREA,,183.04994143794,52.9934454361,,,20,,,247,0,52.990208996625796,183.049917670051
44,239,182,PLAR427,ARALUEN STREET,PLGR338,FISHER,1990.0,18000.0,TANBARK,NORTH EAST SUPPORT POST AT SLIDE,200.0,NONE,UNDERNEATH CRADLE SWING SEAT,,CONCRETE,NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,CONTAINS COMBINATION UNIT AND SWING.,PLAY AREA,,182.94467592975,49.2463969725,,,20,,,248,0,49.2434514055342,182.94457569578097
45,245,154,PLAR389,MAXWORTHY STREET,PLGR308,KAMBAH,2005.0,22000.0,TANBARK,NORTH EAST SUPPORT POST OF SWING FRAME,150.0,NONE,UNDERNEATH CRADLE SWING SEAT,,CONCRETE,NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,5,"CONTAINS SWING, SPINNING POLES AND ROCKERS.",PLAY AREA,,188.268544224775,51.9383007738,,,20,,,254,0,51.9355983329818,188.26868275931
46,248,89,PLAR309,CUTHBERTSON STREET MCKIBBIN PL,PLGR256,OXLEY,1990.0,10000.0,TANBARK,EAST SUPPORT POST OF SWING FRAME,130.0,NONE,UNDERNEATH CENTRE OF TYRE SEAT,,TIMBER (SLEEPER),NONE,GRAVEL PATH,,YES,YES,YES,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,CONTAINS A  TYRE SWING.,PLAY AREA,,123.22125965219601,41.3516421861,,,20,,,275,0,41.3496384953546,123.22177360251999
47,249,90,PLAR310,CUTHBERTSON STREET MCKIBBIN PL,PLGR256,OXLEY,1990.0,4000.0,TANBARK,AT EAST SIDE OF SPRING ROCKER BASE,25.0,NONE,ONE METRE EAST SIDE OF FOOTING,,TIMBER (SLEEPER),NONE,GRAVEL PATH,,YES,YES,YES,YES,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,CONTAINS A ROCKER.,PLAY AREA,,29.6812857977232,20.2929450335,,,20,,,276,0,20.2918723602905,29.681172431558398
48,256,155,PLAR391,LIVINGSTON AVENUE,PLGR309,KAMBAH,2006.0,20000.0,TANBARK,AT CENTRAL SUPPORT POST,70.0,NONE,1M WEST OF OUTER PERIMETER OF CLIMBER,,CONCRETE,NONE,SEALED PATH,,NO,NO,NO,NO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CONTAINS PYRAMID CLIMBER.,PLAY AREA,,97.5226426099649,36.1542017329,,,20,,,256,0,36.1523200704453,97.5223444419989
49,257,156,PLAR392,OLDFIELD CIRCUIT,PLGR310,KAMBAH,1990.0,48000.0,TANBARK,NORTH SUPPORT POST AT SLIDE,190.0,NONE,UNDERNEATH CRADLE SWING SEAT,,TIMBER (SLEEPER),NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,CONTAINS COMBINATION UNIT AND SWING.,PLAY AREA,,200.379393881841,56.7838372059,,,20,,,257,0,56.7811606043666,200.379637484471
50,258,157,PLAR394,AMMON PLACE,PLGR311,KAMBAH,1995.0,32000.0,TANBARK,EAST SUPPORT POST AT SLIDE,170.0,NONE,UNDERNEATH WEST FLAT SWING SEAT,,TIMBER (SLEEPER),NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,4,"CONTAINS COMBINATION UNIT, SWING AND ROCKERS.",PLAY AREA,,204.554555680014,53.4181440929,,,20,,,258,0,53.415115644767106,204.554755008828
51,259,159,PLAR397,ATTIWELL CIRCUIT,PLGR313,KAMBAH,1990.0,30000.0,TANBARK,SOUTH SUPPORT POST AT TUNNEL SLIDE,160.0,NONE,UNDERNEATH SOUTH FLAT SWING SEAT,,MIXED,NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,"CONTAINS COMBINATION UNIT, SWING AND ROCKER.",PLAY AREA,,189.533782509154,58.663808001099994,,,20,,,259,0,58.6602043594442,189.534453806406
52,260,160,PLAR399,BARRIT STREET,PLGR314,KAMBAH,1999.0,30000.0,TANBARK,SUPPORT POST NORTH SIDE OF STEPS,160.0,NONE,0.5M OUT FROM SCRAMBLE NET,,CONCRETE,NONE,SEALED PATH,,NO,NO,NO,NO,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,"CONTAINS COMBINATION UNIT, SWING AND ROCKER.",PLAY AREA,,181.486833446036,54.6038964497,,,20,,,260,0,54.6004514808161,181.48659754931302
53,262,161,PLAR400,FAITHFULL CIRCUIT,PLGR315,KAMBAH,1995.0,30000.0,TANBARK,NORTH EAST SUPPORT POST AT SLIDE,230.0,NONE,UNDERNEATH CRADLE SWING SEAT,,TIMBER (SLEEPER),NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,"CONTAINS COMBINATION UNIT, SWING AND ROCKER.",PLAY AREA,,261.195059621114,69.43492779430001,,,20,,,262,0,69.4306128122435,261.195013922777
