ogc_fid,institution,campus_name,address1,address2,suburb,state,postcode,country,street_address,provider_type,latitude,longitude
12,Australian National University,Canberra,Student Central at ANU Student Exchange Building,121 Marcus Clarke Street,CANBERRA,ACT,2601,Australia,"121 Marcus Clarke Street,CANBERRA,ACT,2601,Australia",University,-35.278059999999996,149.12605109999998
13,Australian National University,Mount Stromolo Observatory,,Cotter Rd,WESTON CREEK,ACT,2611,Australia,"Cotter Rd, WESTON CREEK, ACT, 2611, Australia",University,-35.320813,149.007258
14,Bond University,Gold Coast,,14 University Drive,ROBINA,QLD,4229,Australia,"14 University Drive,ROBINA,QLD,4229,Australia",University,-28.0730934,153.4166377
15,Bradford College,Adelaide,,132 Grenfell Street,ADELAIDE,SA,5000,Australia,"132 Grenfell Street,ADELAIDE,SA,5000,Australia",University,-34.9238397,138.6046255
16,Carnegie Mellon University,Adelaide,Torrens Building,220 Victoria Square,ADELAIDE,SA,5000,Australia,"220 Victoria Square,ADELAIDE,SA,5000,Australia",University,-34.928265,138.6012477
17,Charles Darwin University,CDU Waterfront Darwin,,22 Kitchener Drive,DARWIN,NT,800,Australia,"22 Kitchener Drive,DARWIN,NT,0800,Australia",University,-12.467944300000001,130.84538700000002
18,Charles Darwin University,Head Office,,Ellengowan Drive,DARWIN,NT,800,Australia,"Ellengowan Drive,DARWIN,NT,0800,Australia",University,-12.374107,130.870219
19,Charles Darwin University,Casuarina,,Ellengowan Drive,CASUARINA,NT,810,Australia,"Ellengowan Drive,CASUARINA,NT,0810,Australia",University,-12.372836,130.870688
20,Charles Darwin University,Palmerston,,University Avenue,PALMERSTON,NT,830,Australia,"University Avenue,PALMERSTON,NT,0830,Australia",University,-12.475876,130.97863600000002
21,Charles Darwin University,Katherine Town Centre,,19 Second Street,KATHERINE,NT,851,Australia,"19 Second Street,KATHERINE,NT,0851,Australia",University,-14.461000899999998,132.2637258
22,Charles Darwin University,Tennant Creek Centre,,65 Staunton Street,TENNANT CREEK,NT,860,Australia,"65 Staunton Street,TENNANT CREEK,NT,0860,Australia",University,-19.65247,134.1955986
23,Charles Darwin University,Alice Springs,,17 Grevillea Dr,Sadadeen,NT,870,Australia,"17 Grevillea Dr,Sadadeen,NT,0870,Australia",University,-23.6983153,133.89733429999998
24,Charles Darwin University,Yulara Centre,,13 Winmati Street,YULARA,NT,872,Australia,"13 Winmati Street,YULARA,NT,0872,Australia",University,-25.234994,130.982947
25,Charles Darwin University,Nhulunbuy Campus,,Chesterfield Circuit,NHULUNBUY,NT,881,Australia,"Chesterfield Circuit,NHULUNBUY,NT,0881,Australia",University,-12.183099,136.784641
26,Charles Darwin University,Jabiru Centre,,1 Van Delft Street,JABIRU,NT,886,Australia,"1 Van Delft Street,JABIRU,NT,0886,Australia",University,-12.673551,132.831733
27,Charles Darwin University,CDU Sydney,,815 George Street,HAYMARKET,NSW,2000,Australia,"815 George Street,HAYMARKET,NSW,2000,Australia",University,-33.8828683,151.20343799999998
28,Charles Darwin University,CDU Melbourne,,271 Collins Street,MELBOURNE,VIC,3000,Australia,"271 Collins Street,MELBOURNE,VIC,3000,Australia",University,-37.8163179,144.9648676
29,Charles Sturt University,CSU Study Centre - Sydney,,63 Oxford Street,DARLINGHURST,NSW,2010,Australia,"63 Oxford Street,DARLINGHURST,NSW,2010,Australia",University,-33.8786466,151.21364069999998
30,Charles Sturt University,United Theological College,,16 Masons Drive,NORTH PARRAMATTA,NSW,2151,Australia,"16 Masons Drive,NORTH PARRAMATTA,NSW,2151,Australia",University,-33.791532000000004,151.015931
31,Charles Sturt University,Port Macquarie,,7 Major Innes Road,PORT MACQUARIE,NSW,2444,Australia,"7 Major Innes Road,PORT MACQUARIE,NSW,2444,Australia",University,-31.457834000000002,152.87613230000002
32,Charles Sturt University,NSW Police Academy,,McDermott Drive,GOULBURN,NSW,2580,Australia,"McDermott Drive,GOULBURN,NSW,2580,Australia",University,-34.7347841,149.7288482
33,Charles Sturt University,St Mark's National Theological Centre,,15 Blackall Street,BARTON,ACT,2600,Australia,"15 Blackall Street,BARTON,ACT,2600,Australia",University,-35.305282,149.137431
34,Charles Sturt University,Albury-Wodonga,,Elizabeth Mitchell Drive,ALBURY,NSW,2640,Australia,"Elizabeth Mitchell Drive,ALBURY,NSW,2640,Australia",University,-36.038424,146.988998
35,Charles Sturt University,Wagga Wagga,,Boorooma Street,WAGGA WAGGA NORTH,NSW,2650,Australia,"Boorooma Street,WAGGA WAGGA NORTH,NSW,2650,Australia",University,-35.064925,147.35990800000002
36,Charles Sturt University,Bathurst,,Panorama Avenue,BATHURST,NSW,2795,Australia,"Panorama Avenue,BATHURST,NSW,2795,Australia",University,-33.4299722,149.566009
37,Charles Sturt University,Distance Education,,Panorama Avenue,BATHURST,NSW,2795,Australia,"Panorama Avenue,BATHURST,NSW,2795,Australia",University,-33.4299722,149.566009
38,Charles Sturt University,Orange,,Leeds Parade,ORANGE,NSW,2800,Australia,"Leeds Parade,ORANGE,NSW,2800,Australia",University,-33.246534000000004,149.11766200000002
39,Charles Sturt University,Dubbo,,Tony McGrane Place,DUBBO,NSW,2830,Australia,"Tony McGrane Place,DUBBO,NSW,2830,Australia",University,-32.2353248,148.6265377
40,Charles Sturt University,CSU Study Centre - Melbourne,,30 Church Lane,MELBOURNE,VIC,3000,Australia,"30 Church Lane,MELBOURNE,VIC,3000,Australia",University,-37.817080499999996,144.95756569999998
41,Charles Sturt University,CSU - Study Centre Brisbane,,119 Charlotte Street,BRISBANE,QLD,4000,Australia,"119 Charlotte Street,BRISBANE,QLD,4000,Australia",University,-27.4709603,153.02747019999998
42,CQ University,Sydney,,400 Kent Street,SYDNEY,NSW,2000,Australia,"400 Kent Street,SYDNEY,NSW,2000,Australia",University,-33.8715061,151.2051421
43,CQ University,Melbourne,,120 Spencer Street,MELBOURNE,VIC,3000,Australia,"120 Spencer Street,MELBOURNE,VIC,3000,Australia",University,-37.818212200000005,144.9543022
44,CQ University,Brisbane,,160 Ann Street,BRISBANE,QLD,4000,Australia,"160 Ann Street,BRISBANE,QLD,4000,Australia",University,-27.467389100000002,153.02427930000002
45,CQ University,Noosa,,90 Goodchap Street,NOOSAVILLE,QLD,4566,Australia,"90 Goodchap Street,NOOSAVILLE,QLD,4566,Australia",University,-26.4070899,153.04698369999997
46,CQ University,Bundaberg,,University Drive,BUNDABERG,QLD,4670,Australia,"University Drive,BUNDABERG,QLD,4670,Australia",University,-24.898898000000003,152.312951
47,CQ University,Gladstone City,,Derby Street,GLADSTONE,QLD,4680,Australia,"Derby Street,GLADSTONE,QLD,4680,Australia",University,-23.862584,151.268112
48,CQ University,Gladstone Marina,,Bryan Jordan Drive,GLADSTONE,QLD,4680,Australia,"Bryan Jordan Drive,GLADSTONE,QLD,4680,Australia",University,-23.8355774,151.2480403
49,CQ University,Rockhampton City,,Canning Street,ROCKHAMPTON,QLD,4700,Australia,"Canning Street,ROCKHAMPTON,QLD,4700,Australia",University,-23.384496,150.498229
50,CQ University,Rockhampton North,,Bruce Highway,NORTH ROCKHAMPTON,QLD,4701,Australia,"Bruce Highway,NORTH ROCKHAMPTON,QLD,4701,Australia",University,-23.325048000000002,150.51952
51,CQ University,Biloela,,64 Valentine Plains Road,BILOELA,QLD,4715,Australia,"64 Valentine Plains Road,BILOELA,QLD,4715,Australia",University,-24.4108512,150.5215245
52,CQ University,Emerald,,Capricorn Highway,EMERALD,QLD,4720,Australia,"Capricorn Highway,EMERALD,QLD,4720,Australia",University,-23.525121,148.143667
53,CQ University,Mackay City,,Sydney Street,MACKAY,QLD,4740,Australia,"Sydney Street,MACKAY,QLD,4740,Australia",University,-21.145839000000002,149.186217
54,CQ University,Mackay Ooralea,,Boundary Road Planlands,MACKAY,QLD,4740,Australia,"Boundary Road Planlands,MACKAY,QLD,4740,Australia",University ,-21.173604,149.141269
55,CQ University,Townsville,,7 Finsbury Place,TOWNSVILLE,QLD,4810,Australia,"7 Finsbury Place,TOWNSVILLE,QLD,4810,Australia",University,-19.2661954,146.81212040000003
56,CQ University,Cairns,,Cnr Abbott & Shields Streets,CAIRNS,QLD,4870,Australia,"Cnr Abbott & Shields Streets,CAIRNS,QLD,4870,Australia",University ,-16.9207122,145.77685680000002
57,CQ University,Adelaide,,44 Greenhill Road,WAYVILLE,SA,5034,Australia,"44 Greenhill Road,WAYVILLE,SA,5034,Australia",University,-34.9422095,138.5908081
58,CQ University,Perth,,10 William Street,PERTH,WA,6000,Australia,"10 William Street,PERTH,WA,6000,Australia",University,-31.9555214,115.8564275
59,Curtin University,Graduate School of Business,,78 Murray Street,PERTH,WA,6000,Australia,"78 Murray Street,PERTH,WA,6000,Australia",University,-31.954236600000005,115.8632801
60,Curtin University,Curtin Law School,,57 Murray Street,PERTH,WA,6000,Australia,"57 Murray Street,PERTH,WA,6000,Australia",University,-31.9546537,115.86352790000001
61,Curtin University,St Georges Terrace,,139 St Georges Tce,PERTH,WA,6000,Australia,"139 St Georges Tce,PERTH,WA,6000,Australia",University,-31.954319,115.854649
62,Curtin University,Bentley,,Kent Street,BENTLEY,WA,6102,Australia,"Kent Street,BENTLEY,WA,6102,Australia",University,-32.0032926,115.8944804
63,Curtin University,Kalgoorlie,,Egan Street,KALGOORLIE,WA,6430,Australia,"Egan Street,KALGOORLIE,WA,6430,Australia",University,-30.748927899999998,121.4740592
64,Deakin University,Burwood,,221 Burwood Highway,BURWOOD,VIC,3125,Australia,"221 Burwood Highway,BURWOOD,VIC,3125,Australia",University,-37.846740399999995,145.11511289999999
65,Deakin University,Waurn Ponds,,Pigdons Road Waurn Ponds,GEELONG,VIC,3216,Australia,"Pigdons Road Waurn Ponds,GEELONG,VIC,3216,Australia",University ,-38.1983725,144.2988104
66,Deakin University,Waterfront,,1 Gheringhap Street,GEELONG,VIC,3220,Australia,"1 Gheringhap Street,GEELONG,VIC,3220,Australia",University,-38.143500599999996,144.3596982
67,Deakin University,Warrnambool,,Princess Highway,WARRNAMBOOL,VIC,3280,Australia,"Princess Highway,WARRNAMBOOL,VIC,3280,Australia",University,-38.391417,142.538222
68,Edith Cowan University,Joondalup,,270 Joondalup Drive,JOONDALUP,WA,6027,Australia,"270 Joondalup Drive,JOONDALUP,WA,6027,Australia",University,-31.7516555,115.77269199999999
69,Edith Cowan University,Mount Lawley,,2 Bradford Street,MOUNT LAWLEY,WA,6050,Australia,"2 Bradford Street,MOUNT LAWLEY,WA,6050,Australia",University,-31.919346100000002,115.8694542
70,Edith Cowan University,South West,,Robertson Drive,BUNBURY,WA,6230,Australia,"Robertson Drive,BUNBURY,WA,6230,Australia",University,-33.3669103,115.65324380000001
71,Federation University Australia,Camp Street (Ballarat),,Camp Street,BALLARAT,VIC,3350,Australia,"Camp Street,BALLARAT,VIC,3350,Australia",University,-37.561273799999995,143.858911
72,Federation University Australia,Wendouree (Rural Science),,Gillies Street,WENDOUREE,VIC,3350,Australia,"Gillies Street,WENDOUREE,VIC,3350,Australia",University,-37.541723700000006,143.82245
73,Federation University Australia,SMB (Ballarat),,Lydiard Street South,BALLARAT,VIC,3350,Australia,"Lydiard Street South,BALLARAT,VIC,3350,Australia",University,-37.5654017,143.857426
74,Federation University Australia,Mount Helen (Ballarat),,University Drive Mount Helen,BALLARAT,VIC,3350,Australia,"University Drive Mount Helen,BALLARAT,VIC,3350,Australia",University ,-37.626441,143.8910952
75,Federation University Australia,Head office,,University Drive Mount Helen,BALLARAT,VIC,3350,Australia,"University Drive Mount Helen,BALLARAT,VIC,3350,Australia",University,-37.565409,143.857545
76,Federation University Australia,Mount Rowan (Rural Science),,Rose Hill Road,MOUNT ROWAN,VIC,3352,Australia,"Rose Hill Road,MOUNT ROWAN,VIC,3352,Australia",University,-37.50601270000001,143.8469921
77,Federation University Australia,Wimmera (Horsham),,Baillie Street,HORSHAM,VIC,3400,Australia,"Baillie Street,HORSHAM,VIC,3400,Australia",University,-36.7123361,142.18504309999997
78,Federation University Australia,Berwick,,100 Clyde Road,BERWICK,VIC,3806,Australia,"100 Clyde Road,BERWICK,VIC,3806,Australia",University,-38.0404323,145.33964780000002
79,Federation University Australia,Gippsland (Churchill),,Northways Road,CHURCHILL,VIC,3842,Australia,"Northways Road,CHURCHILL,VIC,3842,Australia",University,-38.311211,146.42940900000002
80,Federation University Australia,Brisbane,,333 Ann Street,BRISBANE,QLD,4000,Australia,"333 Ann Street,BRISBANE,QLD,4000,Australia",University,-27.464928999999998,153.02838300000002
81,Flinders University,Victoria Square,,182 Victoria Square,ADELAIDE,SA,5000,Australia,"182 Victoria Square,ADELAIDE,SA,5000,Australia",University,-34.9273065,138.6010834
82,Flinders University,Adelaide College of Divinity,,34 Lipsett Terrace,BROOKYLN PARK,SA,5032,Australia,"34 Lipsett Terrace,BROOKYLN PARK,SA,5032,Australia",University,-34.93074,138.54843490000002
83,Flinders University,Online,,Sturt Road,BEDFORD PARK,SA,5042,Australia,"Sturt Road,BEDFORD PARK,SA,5042,Australia",University,-35.0174045,138.5711745
84,Flinders University,Tonsley,,1284 South Road,TONSLEY,SA,5042,Australia,"1284 South Road,TONSLEY,SA,5042,Australia",University,-35.009234,138.571179
85,Flinders University,Bedford Park,,Sturt Road,BEDFORD PARK,SA,5042,Australia,"Sturt Road,BEDFORD PARK,SA,5042,Australia",University,-35.025596,138.571596
86,Flinders University,Riverland,Renmark & Paringa District Hospital,Ral Ral Avenue,RENMARK,SA,5341,Australia,"Ral Ral Avenue,RENMARK,SA,5341,Australia",University,-34.1653092,140.74491619999998
87,Griffith University,"South Bank, Graduate Centre",,226 Grey Street,SOUTH BANK,QLD,4101,Australia,"226 Grey Street,SOUTH BANK,QLD,4101,Australia",University,-27.481707,153.024048
88,Griffith University,"South Bank, Qld College of Art",,226 Grey Street,SOUTH BANK,QLD,4101,Australia,"226 Grey Street,SOUTH BANK,QLD,4101,Australia",University,-27.481707,153.024048
89,Griffith University,"South Bank, Qld Conservatorium",,140 Grey Street,SOUTH BANK,QLD,4101,Australia,"140 Grey Street,SOUTH BANK,QLD,4101,Australia",University,-27.476883,153.020829
90,Griffith University,Nathan,,170 Kessels Road,NATHAN,QLD,4111,Australia,"170 Kessels Road,NATHAN,QLD,4111,Australia",University,-27.5538722,153.05369299999998
91,Griffith University,Mount Gravatt,,176 Messines Ridge Road,MOUNT GRAVATT,QLD,4122,Australia,"176 Messines Ridge Road,MOUNT GRAVATT,QLD,4122,Australia",University,-27.543024,153.06671599999999
92,Griffith University,Logan,,University Drive,MEADOWBROOK,QLD,4131,Australia,"University Drive,MEADOWBROOK,QLD,4131,Australia",University,-27.664326000000003,153.152931
93,Griffith University,Gold Coast,,Parklands Drive,SOUTHPORT,QLD,4215,Australia,"Parklands Drive,SOUTHPORT,QLD,4215,Australia",University,-27.9620592,153.3800044
94,James Cook University,Brisbane,,349 Queen Street,BRISBANE,QLD,4000,Australia,"349 Queen Street,BRISBANE,QLD,4000,Australia",University,-27.466604399999998,153.02941189999999
95,James Cook University,Townsville,,James Cook Drive,TOWNSVILLE,QLD,4811,Australia,"James Cook Drive,TOWNSVILLE,QLD,4811,Australia",University ,-19.3276927,146.7565073
96,James Cook University,Cairns,,McGregor Road,SMITHFIELD,QLD,4878,Australia,"McGregor Road,SMITHFIELD,QLD,4878,Australia",University,-16.818248899999997,145.6879262
97,La Trobe University,Sydney,,11 York Street,SYDNEY,NSW,2000,Australia,"11 York Street,SYDNEY,NSW,2000,Australia",University,-33.875640999999995,151.209343
98,La Trobe University,Franklin Street,,215 Franklin Street,MELBOURNE,VIC,3000,Australia,"215 Franklin Street,MELBOURNE,VIC,3000,Australia",University,-37.809698299999994,144.9576206
99,La Trobe University,City,,360 Collins Street,MELBOURNE,VIC,3000,Australia,"360 Collins Street,MELBOURNE,VIC,3000,Australia",University,-37.8163859,144.962315
100,La Trobe University,Melbourne,,Kingsbury Drive,BUNDOORA,VIC,3086,Australia,"Kingsbury Drive,BUNDOORA,VIC,3086,Australia",University,-37.7206671,145.04841399999998
101,La Trobe University,Mildura,,471 Benetook Avenue,MILDURA,VIC,3500,Australia,"471 Benetook Avenue,MILDURA,VIC,3500,Australia",University,-34.2056162,142.1666629
102,La Trobe University,Bendigo,,Edwards Road,FLORA HILL,VIC,3550,Australia,"Edwards Road,FLORA HILL,VIC,3550,Australia",University,-36.7808142,144.29997690000002
103,La Trobe University,Shepparton,,210 Fryers Street,SHEPPARTON,VIC,3630,Australia,"210 Fryers Street,SHEPPARTON,VIC,3630,Australia",University,-36.380458700000005,145.4065274
104,La Trobe University,Albury-Wodonga,,University Drive,WODONGA,VIC,3690,Australia,"University Drive,WODONGA,VIC,3690,Australia",University,-36.1114034,146.8488051
105,Macquarie University,Sydney Applied Finance Centre,,10 Spring Street,SYDNEY,NSW,2000,Australia,"10 Spring Street,SYDNEY,NSW,2000,Australia",University,-33.866612599999996,151.2083917
106,Macquarie University,MGSM Sydney CBD,,123 Pitt Street,SYDNEY,NSW,2000,Australia,"123 Pitt Street,SYDNEY,NSW,2000,Australia",University,-33.866743400000004,151.20845659999998
107,Macquarie University,North Ryde,,Balaclava Road,NORTH RYDE,NSW,2109,Australia,"Balaclava Road,NORTH RYDE,NSW,2109,Australia",University,-33.775696999999994,151.112473
108,Macquarie University,MGSM North Ryde,,99 Talavera Road,MACQUARIE PARK,NSW,2113,Australia,"99 Talavera Road,MACQUARIE PARK,NSW,2113,Australia",University,-33.771288,151.1158594
109,Macquarie University,Melbourne Applied Finance Ctr,,500 Collins Street,MELBOURNE,VIC,3000,Australia,"500 Collins Street,MELBOURNE,VIC,3000,Australia",University,-37.817840000000004,144.9576146
110,Monash University,City - Law Chambers,,555 Lonsdale Street,MELBOURNE,VIC,3000,Australia,"555 Lonsdale Street,MELBOURNE,VIC,3000,Australia",University,-37.814373700000004,144.95611519999997
111,Monash University,City - Collins Street,,271 Collins Street,MELBOURNE,VIC,3000,Australia,"271 Collins Street,MELBOURNE,VIC,3000,Australia",University,-37.8163179,144.9648676
112,Monash University,Burnet Institute,,85 Commercial Road,MELBOURNE,VIC,3000,Australia,"85 Commercial Road,MELBOURNE,VIC,3000,Australia",University,-37.845725,144.984029
113,Monash University,Parkville,,381 Royal Parade,PARKVILLE,VIC,3052,Australia,"381 Royal Parade,PARKVILLE,VIC,3052,Australia",University,-37.7839869,144.9587477
114,Monash University,Box Hill Hospital,,Nelson Road,BOX HILL,VIC,3128,Australia,"Nelson Road,BOX HILL,VIC,3128,Australia",University,-37.813664,145.11896299999998
115,Monash University,Caulfield,,900 Dandenong Road,CAULFIELD EAST,VIC,3145,Australia,"900 Dandenong Road,CAULFIELD EAST,VIC,3145,Australia",University,-37.8770097,145.04426730000003
116,Monash University,Monash Medical Centre,,246 Clayton Road,CLAYTON,VIC,3168,Australia,"246 Clayton Road,CLAYTON,VIC,3168,Australia",University,-37.920345000000005,145.1226635
117,Monash University,Clayton,,Wellington Road,CLAYTON,VIC,3168,Australia,"Wellington Road,CLAYTON,VIC,3168,Australia",University,-37.913616,145.131674
118,Monash University,Alfred,,99 Commercial Road,PRAHRAN,VIC,3181,Australia,"99 Commercial Road,PRAHRAN,VIC,3181,Australia",University,-37.846236,144.98451200000002
119,Monash University,Peninsula,,McMahons Road,FRANKSTON,VIC,3199,Australia,"McMahons Road,FRANKSTON,VIC,3199,Australia",University,-38.1526224,145.1361129
120,Monash University,Notting Hill,,Ferntree Gully Road,NOTTING HILL,VIC,3800,Australia,"Ferntree Gully Road,NOTTING HILL,VIC,3800,Australia",University,-37.9003786,145.130801
121,Monash University,Berwick,,Clyde Road,BERWICK,VIC,3806,Australia,"Clyde Road,BERWICK,VIC,3806,Australia",University,-38.0397732,145.3395401
122,Monash University,School of Rural Health,School of Rural Health,Churchill Northways Road,CHURCHILL,VIC,3842,Australia,"Churchill Northways Road,CHURCHILL,VIC,3842,Australia",University ,-38.311211,146.42940900000002
123,Murdoch University,Murdoch,,90 South Street,MURDOCH,WA,6150,Australia,"90 South Street,MURDOCH,WA,6150,Australia",University,-32.0674457,115.83594690000001
124,Murdoch University,Peel,Peel Campus,15-17 Carleton Road,MANDURAH,WA,6210,Australia,"15-17 Carleton Road,MANDURAH,WA,6210,Australia",University,-32.515797,115.7559436
125,Queensland University of Technology,Canberra,,2 King St,DEAKIN,ACT,2600,Australia,"2 King St,DEAKIN,ACT,2600,Australia",University,-35.3224667,149.0930417
126,Queensland University of Technology,Gardens Point,,2 George Street,BRISBANE,QLD,4000,Australia,"2 George Street,BRISBANE,QLD,4000,Australia",University,-27.477357,153.028415
127,Queensland University of Technology,Kelvin Grove,,Victoria Park Road,KELVIN GROVE,QLD,4059,Australia,"Victoria Park Road,KELVIN GROVE,QLD,4059,Australia",University,-27.45178,153.01673
128,RMIT University,RMIT City Campus,,124 La Trobe Street,MELBOURNE,VIC,3000,Australia,"124 La Trobe Street,MELBOURNE,VIC,3000,Australia",University,-37.8076138,144.9637514
129,RMIT University,Head office,,124 La Trobe Street,MELBOURNE,VIC,3000,Australia,"124 La Trobe Street,MELBOURNE,VIC,3000,Australia",University,-37.8089843,144.9652616
130,RMIT University,Point Cook Airfield,NASMA Building,RAAF Williams Base,POINT COOK,VIC,3030,Australia,"RAAF Williams Base,POINT COOK,VIC,3030,Australia",University ,-37.9288501,144.7490832
131,RMIT University,Brunswick,,25 Dawson Street,BRUNSWICK,VIC,3056,Australia,"25 Dawson Street,BRUNSWICK,VIC,3056,Australia",University,-37.7718389,144.957932
132,RMIT University,Bundoora,,Plenty Road,BUNDOORA,VIC,3083,Australia,"Plenty Road,BUNDOORA,VIC,3083,Australia",University,-37.681647,145.06377
133,RMIT University,Hamilton Site,,200 Ballarat Road,HAMILTON,VIC,3300,Australia,"200 Ballarat Road,HAMILTON,VIC,3300,Australia",University,-37.7440323,142.05839719999997
134,Southern Cross University,The Hotel School Sydney,The Hotel School Sydney,60 Phillip Street,SYDNEY,NSW,2000,Australia,"60 Phillip Street,SYDNEY,NSW,2000,Australia",University,-33.864359,151.21199
135,Southern Cross University,Sydney,,5-7 Young Street,SYDNEY,NSW,2000,Australia,"5-7 Young Street,SYDNEY,NSW,2000,Australia",University,-33.883203,151.20955769999998
136,Southern Cross University,National Marine Science Centre,,Bay Drive,COFFS HARBOUR,NSW,2450,Australia,"Bay Drive,COFFS HARBOUR,NSW,2450,Australia",University,-30.267741700000002,153.1374595
137,Southern Cross University,Coffs Harbour,,Hogbin Drive,COFFS HARBOUR,NSW,2450,Australia,"Hogbin Drive,COFFS HARBOUR,NSW,2450,Australia",University,-30.326345399999997,153.10169630000001
138,Southern Cross University,Lismore,,Military Road,EAST LISMORE,NSW,2480,Australia,"Military Road,EAST LISMORE,NSW,2480,Australia",University,-28.81799,153.29781499999999
139,Southern Cross University,The Hotel School Melbourne,,399 Lonsdale Street,MELBOURNE,VIC,3000,Australia,"399 Lonsdale Street,MELBOURNE,VIC,3000,Australia",University,-37.8130669,144.96070490000002
140,Southern Cross University,Melbourne,,422 Little Collins Street,MELBOURNE,VIC,3000,Australia,"422 Little Collins Street,MELBOURNE,VIC,3000,Australia",University,-37.810010299999995,144.9689178
141,Southern Cross University,Gold Coast,,Southern Cross Drive,BILINGA,QLD,4225,Australia,"Southern Cross Drive,BILINGA,QLD,4225,Australia",University ,-27.497448,153.011128
142,Swinburne University of Technology,Hawthorn,,John Street,HAWTHORN,VIC,3122,Australia,"John Street,HAWTHORN,VIC,3122,Australia",University,-37.8221504,145.03895459999998
143,Swinburne University of Technology,Higher Education Hawthorn,,John Street,HAWTHORN,VIC,3122,Australia,"John Street,HAWTHORN,VIC,3122,Australia",University,-37.8221504,145.03895459999998
144,Swinburne University of Technology,Swinburne Online,,John Street,HAWTHORN,VIC,3122,Australia,"John Street,HAWTHORN,VIC,3122,Australia",University,-37.8221504,145.03895459999998
145,Swinburne University of Technology,Croydon,,12-50 Norton Road,CROYDON,VIC,3136,Australia,"12-50 Norton Road,CROYDON,VIC,3136,Australia",University,-37.8019063,145.28566899999998
146,Swinburne University of Technology,Wantirna,,369 Stud Road,WANTIRNA,VIC,3140,Australia,"369 Stud Road,WANTIRNA,VIC,3140,Australia",University,-37.873484499999996,145.2348976
147,The University of Adelaide,North Terrace,,North Terrace,ADELAIDE,SA,5005,Australia,"North Terrace,ADELAIDE,SA,5005,Australia",University,-34.9196955,138.604653
148,The University of Adelaide,Waite,,Waite Road,URRBRAE,SA,5064,Australia,"Waite Road,URRBRAE,SA,5064,Australia",University,-34.967,138.636
149,The University of Adelaide,Roseworthy,,Roseworthy Campus,ROSEWORTHY,SA,5371,Australia,"Roseworthy Campus,ROSEWORTHY,SA,5371,Australia",University ,-34.528609,138.688535
150,The University of Melbourne,Southbank,,234 St Kilda Road Southbank,MELBOURNE,VIC,3006,Australia,"234 St Kilda Road Southbank,MELBOURNE,VIC,3006,Australia",University ,-37.8247525,144.9702136
151,The University of Melbourne,Parkville,,1-100 Grattan Street,PARKVILLE,VIC,3010,Australia,"1-100 Grattan Street,PARKVILLE,VIC,3010,Australia",University,-37.796869,144.96084399999998
152,The University of Melbourne,Werribee,,250 Princes Highway,WERRIBEE,VIC,3030,Australia,"250 Princes Highway,WERRIBEE,VIC,3030,Australia",University,-37.8879138,144.69319280000002
153,The University of Melbourne,Burnley,,Burnley Gardens 500 Yarra Boulevard,RICHMOND,VIC,3121,Australia,"Burnley Gardens 500 Yarra Boulevard,RICHMOND,VIC,3121,Australia",University,-37.8291349,145.0222029
154,The University of Melbourne,Creswick,,Forest Ecosystem Science Water Street,CRESWICK,VIC,3363,Australia,"Forest Ecosystem Science Water Street,CRESWICK,VIC,3363,Australia",University ,-37.423654,143.900593
