objectid_1,objectid,heritage_i,location_i,name,status,status_dat,owner_name,descr,site_name,loc_type,title,block_key,district_n,district_i,division_n,division_i,heritage_r,shape_leng,shape_length,shape_area
10,10,68,6404,Melbourne Building,Final Registration,,,Section 1 Blocks 4-20 & 31,Melbourne Building,Historic,CITY,0,CANBERRA CENTRAL,C,CITY,C,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/c#city,356.552256647611,356.552256647611,8498.47112625067
11,11,68,6403,Sydney Building,Final Registration,,,"Section 48 Blocks 1-7, 9-31",Sydney Building,Historic,CITY,0,CANBERRA CENTRAL,C,CITY,C,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/c#city,356.70546099514297,356.70546099514297,8504.74967983553
12,12,1129,4409,ACT Family and Juvenile Court,Nominated for Provisional Registration,,,Section 28 Block 4,,Historic,CITY,0,CANBERRA CENTRAL,C,CITY,C,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/c#city,279.90949262711104,279.90949262711104,4572.11835761037
13,13,29,44,Telopea Park,Final Registration,,,Section 30 Block 1,,Historic,BARTON,0,CANBERRA CENTRAL,C,BARTON,B,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/b#barton,1685.10929131268,1685.10929131268,79255.7647553511
75,75,108,200,Manning Clark's House,Final Registration,,,Section 44 Block 4,,Historic,FORREST,0,CANBERRA CENTRAL,C,FORREST,F,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/f#forrest,197.425932903381,197.425932903381,2386.9978961356896
14,14,28,43,Telopea Park High School,Final Registration,,,Section 29 Block 1,,Historic,BARTON,0,CANBERRA CENTRAL,C,BARTON,B,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/b#barton,916.760442813934,916.760442813934,57571.0831806388
118,118,260,364,Naas Valley,Nominated for Provisional Registration,,,"Blocks 1-6, 9, 10, 14, 16, 18,, 19, 20, 21, 24, 28, 40, 50-52,, 57, 59, 60-62, 64, 67, 68, 70-73,, 76-79, 81-86, 96, 101",,Historic,,0,BOOTH,B,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/b#booth,7891.19930671203,7891.19930671203,3568441.0
817,817,2001,758,YR6,Final Registration,20050308.0,,,,Restricted,,10000001339,CANBERRA CENTRAL,C,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/c#canberra_central,7135.14554799165,7135.14554799165,375795.134130925
15,15,72,164,Tuggeranong Parkway Cutting,Final Registration,,,Section 106 Block 12,,Historic,CURTIN,0,Various,V,Various,V,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/,6376.5018207660105,6376.5018207660105,67890.8468734374
16,16,11,26,Wakefield Gardens Housing Precinct,Final Registration,,,"Section 21 Blocks 1-47, Section 22 Blocks 1-4 & 7-21, Section 23 Blocks 1-2 & 5-16, 18-21 & 23-31,Section 27 Blocks 1-13, Section 28 Blocks 1-16, Section 29 Blocks 1- 9, 12-21, 24, 27 & 30-41, Section 30 Blocks 1-16, 19-24, 27-37, Section 33 Blocks 1-45",,Historic,AINSLIE,0,CANBERRA CENTRAL,C,AINSLIE,A,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/a#ainslie,2515.8511966296696,2515.8511966296696,411831.258864999
17,17,51,396,Bus Shelter,Nominated for Provisional Registration,,,Class C: Section 46 Block 2 Cowper Street,,Historic,AINSLIE,0,CANBERRA CENTRAL,C,AINSLIE,A,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/a#ainslie,17.2792209966539,17.2792209966539,20.5474192287857
18,18,386,314,"Alt Crescent, Ainslie",Final Registration,,,"Section 14 Blocks 1, 4, 5, 6, 7, 8 & 11, Section 17 Block 1",,Historic,AINSLIE,0,CANBERRA CENTRAL,C,AINSLIE,A,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/a#ainslie,147.281581565522,147.281581565522,1507.50820567539
19,19,51,5,Bus Shelter,Nominated for Provisional Registration,,,"Class D: Campbell Street Class C: Cox Street, Officer Crescent",,Historic,AINSLIE,0,CANBERRA CENTRAL,C,AINSLIE,A,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/a#ainslie,14.6817728835954,14.6817728835954,14.834262734252
818,818,2001,759,YR10,Final Registration,20050308.0,,,,Restricted,,10000001339,CANBERRA CENTRAL,C,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/c#canberra_central,7135.14554799165,7135.14554799165,375795.134130925
21,21,389,397,Crinigan's Hut Ruin,Final Registration,,,Section 92 Block 1,,Historic,AMAROO,0,GUNGAHLIN,G,AMAROO,A,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/a#amaroo,1502.8586430816902,1502.8586430816902,54281.7049820801
22,22,18,33,Palmer Trigonometrical Station,Final Registration,,,Section 48 Block 1,,Historic,AMAROO,0,GUNGAHLIN,G,AMAROO,A,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/a#amaroo,56.955808350799295,56.955808350799295,256.382251504899
23,23,27,42,Brassey Hotel,Final Registration,,,Section 24 Block 24,,Historic,BARTON,0,CANBERRA CENTRAL,C,BARTON,B,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/b#barton,860.428231708313,860.428231708313,4615.5994773845205
24,24,27,42,Brassey Hotel,Final Registration,,,Section 24 Block 24,,Historic,BARTON,0,CANBERRA CENTRAL,C,BARTON,B,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/b#barton,548.450586447201,548.450586447201,13291.518620061
1247,1247,1801,2079,UF 321,Final Registration,20050309.0,,,,Restricted,,110000000225,COREE,C,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/c#coree,49860.6658648004,49860.6658648004,36235841.1361909
25,25,390,398,Hotel Kurrajong,Final Registration,,,Section 10 Blocks 2-6,,Historic,BARTON,0,CANBERRA CENTRAL,C,BARTON,B,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/b#barton,784.397287660336,784.397287660336,3742.23213916878
26,26,390,398,Hotel Kurrajong,Final Registration,,,Section 10 Blocks 2-6,,Historic,BARTON,0,CANBERRA CENTRAL,C,BARTON,B,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/b#barton,575.1622570424211,575.1622570424211,22084.5381815858
27,27,26,41,Barton Conference Centre,Nominated for Provisional Registration,,,Section 13 Block 1,,Historic,BARTON,0,CANBERRA CENTRAL,C,BARTON,B,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/b#barton,316.300271277357,316.300271277357,6471.81620462496
34,34,121,213,St Paul's Church of England Burial Ground,Final Registration,,,Section 95 Block 1,,Historic,EVATT,0,BELCONNEN,B,EVATT,E,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/e#evatt,361.196217448468,361.196217448468,6378.91125310333
186,186,177,99,River Street,Nominated for Provisional Registration,,,"Section 6 Blocks 17, 18 & 19, Section 8 Blocks 1-5, 7 & 9",,Historic,OAKS ESTATE,0,JERRABOMBERRA,J,OAKS ESTATE,O,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/o#oaks_estate,140.874049739382,140.874049739382,1012.2340709461699
28,28,69,161,Glebe Park,Final Registration,,,Section 65 Blocks 2,,Historic,CITY,0,CANBERRA CENTRAL,C,CITY,C,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/c#city,983.469428318134,983.469428318134,41500.2456809954
29,29,402,393,Trees of the Former CS&IR Experiment Station,Final Registration,,,"From the street kerb to the front property boundaries of: Section 34 Blocks 18-20, Section 36 Blocks 1-12, Section 41 Blocks 1-15, Section 42 Blocks 11-18, Section 43 Blocks 18-33, Section 44 Blocks 23-28, (Downer Shopping Centre) Sections 61& 73",,Historic,DOWNER,0,CANBERRA CENTRAL,C,DOWNER,D,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/d#downer,121.216460218071,121.216460218071,398.10696187686204
30,30,402,393,Trees of the Former CS&IR Experiment Station,Final Registration,,,"From the street kerb to the front property boundaries of: Section 34 Blocks 18-20, Section 36 Blocks 1-12, Section 41 Blocks 1-15, Section 42 Blocks 11-18, Section 43 Blocks 18-33, Section 44 Blocks 23-28, (Downer Shopping Centre) Sections 61& 73",,Historic,DOWNER,0,CANBERRA CENTRAL,C,DOWNER,D,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/d#downer,122.638424850581,122.638424850581,382.060748001221
31,31,1171,4484,"Buildings of the Former CS and IR Dickson Experiment Station, Downer Shops and Community Centre",Final Registration,,,"Section 61 Blocks 2,6 and 16",,Historic,DOWNER,0,CANBERRA CENTRAL,C,DOWNER,D,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/d#downer,137.899014918161,137.899014918161,1177.28891551437
32,32,1171,4484,"Buildings of the Former CS and IR Dickson Experiment Station, Downer Shops and Community Centre",Final Registration,,,"Section 61 Blocks 2,6 and 16",,Historic,DOWNER,0,CANBERRA CENTRAL,C,DOWNER,D,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/d#downer,121.87911157434601,121.87911157434601,874.3196479931489
33,33,1171,4484,"Buildings of the Former CS and IR Dickson Experiment Station, Downer Shops and Community Centre",Final Registration,,,"Section 61 Blocks 2,6 and 16",,Historic,DOWNER,0,CANBERRA CENTRAL,C,DOWNER,D,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/d#downer,119.538411393438,119.538411393438,487.816684833503
35,35,62,154,Ainslie Primary and Public Schools,Final Registration,,,Section 31 Block 1,,Historic,BRADDON,0,CANBERRA CENTRAL,C,BRADDON,B,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/b#braddon,1240.8991472857301,1240.8991472857301,69795.54843689139
36,36,326,275,Former MLC Building,Final Registration,,,Section 14 Block 1,,Historic,CITY,0,CANBERRA CENTRAL,C,CITY,C,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/c#city,121.392677299529,121.392677299529,859.29051967943
37,37,1341,4683,Gus Cafe,Final Registration,,,Section 47 Block 1,,Historic,CITY,0,CANBERRA CENTRAL,C,CITY,C,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/c#city,50.8474159099304,50.8474159099304,118.24545927779499
38,38,83,175,Law Courts Precinct,Nominated for Provisional Registration,,,"Section 18 Blocks 1, 4 & 6, Section 63 Block 16",,Historic,CITY,0,CANBERRA CENTRAL,C,CITY,C,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/c#city,324.47354023639195,324.47354023639195,5948.045599742421
39,39,83,175,Law Courts Precinct,Nominated for Provisional Registration,,,"Section 18 Blocks 1, 4 & 6, Section 63 Block 16",,Historic,CITY,0,CANBERRA CENTRAL,C,CITY,C,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/c#city,324.852514977855,324.852514977855,6408.36548346883
40,40,72,164,Tuggeranong Parkway Cutting,Final Registration,,,Section 106 Block 12,,Historic,CURTIN,0,WODEN VALLEY,W,Various,V,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/,4796.98685443411,4796.98685443411,1014395.7244232
41,41,394,402,Gorman House,Final Registration,,,Section 53 Block 1,,Historic,BRADDON,0,CANBERRA CENTRAL,C,BRADDON,B,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/b#braddon,450.176238162919,450.176238162919,13345.203915260201
42,42,394,402,Gorman House,Final Registration,,,Section 53 Block 1,,Historic,BRADDON,0,CANBERRA CENTRAL,C,BRADDON,B,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/b#braddon,787.490415823545,787.490415823545,2843.90025268874
43,43,444,440,Westbourne Woods,Final Registration,,,"Section 119 Block 2, Section 125 Block 1 Section 18 Block 4",,Historic,YARRALUMLA,0,CANBERRA CENTRAL,C,YARRALUMLA,Y,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/y#yarralumla,4886.3795468690505,4886.3795468690505,905305.722362817
44,44,394,402,Gorman House,Final Registration,,,Section 53 Block 1,,Historic,BRADDON,0,CANBERRA CENTRAL,C,BRADDON,B,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/b#braddon,928.3731316436521,928.3731316436521,4290.87746034714
45,45,394,402,Gorman House,Final Registration,,,Section 53 Block 1,,Historic,BRADDON,0,CANBERRA CENTRAL,C,BRADDON,B,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/b#braddon,1319.59830772,1319.59830772,4693.938747202729
46,46,396,387,Hotel Ainslie,Final Registration,,,Section 56 Block 5,,Historic,BRADDON,0,CANBERRA CENTRAL,C,BRADDON,B,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/b#braddon,529.976773425879,529.976773425879,17029.8917465161
47,47,393,401,Northbourne Oval,Final Registration,,,Section 30 Blocks 5&6,,Historic,BRADDON,0,CANBERRA CENTRAL,C,BRADDON,B,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/b#braddon,861.393718638279,861.393718638279,45226.5301943876
48,48,156,4447,Whitley Houses,Final Registration,,,Section 10 Block 4,,Historic,BRADDON,0,CANBERRA CENTRAL,C,BRADDON,B,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/b#braddon,157.307020414518,157.307020414518,1186.4047369719901
49,49,66,158,4 Cobby Street,Final Registration,,,Section 40 Block 5,,Historic,CAMPBELL,0,CANBERRA CENTRAL,C,CAMPBELL,C,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/c#campbell,231.090187987677,231.090187987677,3221.3894158074395
50,50,41,56,Coggans Bakery,Final Registration,,,Section 28 Block 1,,Historic,BRADDON,0,CANBERRA CENTRAL,C,BRADDON,B,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/b#braddon,161.537593451338,161.537593451338,1532.77760059983
51,51,33,48,University of Canberra Student Residences Group 2,Final Registration,,,Section 3 Block 1 (part),,Historic,BRUCE,0,BELCONNEN,B,BRUCE,B,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/b#bruce,4346.65739165881,4346.65739165881,1182778.58423777
520,520,427,417,Aboriginal Place PH13,Final Registration,19941209.0,,,,Restricted,,77060270016,GUNGAHLIN,G,NGUNNAWAL,N,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/n#ngunnawal,73.997428186414,73.997428186414,209.986916839106
52,52,56,10,Duntroon Dairy,Final Registration,,,"Section 119, Part Block 6",,Historic,CAMPBELL,0,CANBERRA CENTRAL,C,CAMPBELL,C,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/c#campbell,399.634438124997,399.634438124997,9129.99357398215
53,53,36,51,16 Ryrie Street,Final Registration,,,Section 10 Block 9,,Historic,CAMPBELL,0,CANBERRA CENTRAL,C,CAMPBELL,C,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/c#campbell,155.13153999546302,155.13153999546302,1216.53279078884
54,54,397,388,Sacred Heart Church,Final Registration,,,Section 796 Blocks 15-16,,Historic,CALWELL,0,TUGGERANONG,T,CALWELL,C,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/c#calwell,141.86984940139098,141.86984940139098,1300.4038351955699
55,55,456,462,Red Hill Housing Precinct,Final Registration,,,"Sections 1 Blocks 1, 5-14 & 16-20, Section 2 Blocks 2-8 & 10-13, Section 3 Blocks 1-4 & 8-23, Section 4 Blocks 1, 4, 5 & 7-15, Section 5 Blocks 1-14, Section 7 Block 1",,Historic,RED HILL,0,CANBERRA CENTRAL,C,Various,V,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/,3455.59153144951,3455.59153144951,445573.082213186
76,76,404,413,St Christopher's Cathedral Precinct,Final Registration,,,"Section 24 Block 7, Section 25 Block 1",,Historic,FORREST,0,CANBERRA CENTRAL,C,FORREST,F,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/f#forrest,334.086052761787,334.086052761787,6578.909431904161
56,56,35,50,Campbell Housing Group,Final Registration,,,Section 9 Block 15,,Historic,CAMPBELL,0,CANBERRA CENTRAL,C,CAMPBELL,C,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/c#campbell,603.963345767702,603.963345767702,19310.058341223703
57,57,1068,4348,Forrest Townhouses,Nominated for Provisional Registration,,,Section 11 Block 4,,Historic,,0,CANBERRA CENTRAL,C,FORREST,F,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/f#forrest,253.29703383461498,253.29703383461498,4288.44984356173
58,58,253,357,Holy Trinity Lutheran Church,Final Registration,,,Section 38 Block 10,,Historic,TURNER,0,CANBERRA CENTRAL,C,TURNER,T,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/t#turner,279.770690663572,279.770690663572,4846.980778850349
59,59,398,389,Surveyor's Hut,Final Registration,,,Section 7 Block 1,,Historic,CAPITAL HILL,0,CANBERRA CENTRAL,C,CAPITAL HILL,C,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/c#capital_hill,271.85447010644697,271.85447010644697,3938.29703279451
84,84,78,170,Deakin Anticline,Final Registration,,,Section 36 Block 9,,Historic,DEAKIN,0,CANBERRA CENTRAL,C,DEAKIN,D,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/d#deakin,416.27737920002403,416.27737920002403,9721.13113123443
125,125,1423,4763,13 Furphy Place,Final Registration,,,Section 10 Block 41,,Historic,GARRAN,0,WODEN VALLEY,W,GARRAN,G,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/g#garran,133.181888956959,133.181888956959,978.5925785813009
60,60,59,13,Tuggeranong Schoolhouse,Final Registration,,,Section 560 Block 41,,Historic,CHISHOLM,0,TUGGERANONG,T,CHISHOLM,C,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/c#chisholm,339.40245994892604,339.40245994892604,5642.4856133012
61,61,61,15,ANZ Bank Building,Final Registration,,,Section 3 Block 1,,Historic,CITY,0,CANBERRA CENTRAL,C,CITY,C,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/c#city,115.239758278183,115.239758278183,763.879323363297
62,62,400,391,Becker House,Final Registration,,,Section 25 Block 2,,Historic,CITY,0,CANBERRA CENTRAL,C,CITY,C,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/c#city,334.529296967663,334.529296967663,7561.974193910559
87,87,77,169,11 Northcote Crescent,Nominated for Provisional Registration,,,Section 9 Block 8,,Historic,DEAKIN,0,CANBERRA CENTRAL,C,DEAKIN,D,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/d#deakin,37.8200943388935,37.8200943388935,65.9292158852084
88,88,77,169,11 Northcote Crescent,Nominated for Provisional Registration,,,Section 9 Block 8,,Historic,DEAKIN,0,CANBERRA CENTRAL,C,DEAKIN,D,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/d#deakin,131.704041993591,131.704041993591,857.7688885121049
89,89,77,169,11 Northcote Crescent,Nominated for Provisional Registration,,,Section 9 Block 8,,Historic,DEAKIN,0,CANBERRA CENTRAL,C,DEAKIN,D,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/d#deakin,83.91698484660729,83.91698484660729,360.69234621215304
63,63,88,180,City Hill,Final Registration,,,Section 34 Block 1,,Historic,CITY,0,CANBERRA CENTRAL,C,CITY,C,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/c#city,831.272170776533,831.272170776533,54857.7480452363
64,64,51,173,Bus Shelter,Nominated for Provisional Registration,,,Class E: MacGregor St,,Historic,DEAKIN,0,CANBERRA CENTRAL,C,DEAKIN,D,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/d#deakin,18.339094443783697,18.339094443783697,26.7334827306506
65,65,269,8826,Gungaderra Homestead,Final Registration,,,Block 10 & 12 Section 4 and Block 12 Section 2 Harrison,,Historic,HARRISON,0,GUNGAHLIN,G,HARRISON,H,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/h#harrison,1566.84467720123,1566.84467720123,14955.207432557
66,66,120,212,Northbourne Housing Precinct Representative Sample,Final Registration,,,"Section 1 Block 4, Section 12 Block 1, Section 6 Block 41",,Historic,DICKSON,0,CANBERRA CENTRAL,C,DICKSON,D,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/d#dickson,527.863626910411,527.863626910411,6957.929424433829
67,67,448,444,Canberra's Garbage Incinerator,Final Registration,,,Section 119 Block 2 (part),,Historic,YARRALUMLA,0,CANBERRA CENTRAL,C,YARRALUMLA,Y,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/y#yarralumla,222.252591723462,222.252591723462,2806.5
68,68,1246,4590,Yarralumla Brickworks Railway Remnants,Final Registration,,,"Section 102 Blocks 7 and 20, Section 127 Block 1",,Historic,YARRALUMLA,0,CANBERRA CENTRAL,C,YARRALUMLA,Y,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/y#yarralumla,331.130269990467,331.130269990467,3653.3846969979795
69,69,377,305,Yarralumla Woolshed and Outbuildings,Provisional Registration,,,Blocks 1201 (part) and 1144,,Historic,District of WESTON CREEK,0,WESTON CREEK,W,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/w#weston_creek,491.777207240194,491.777207240194,14260.0586946014
73,73,405,414,Forrest Fire Station Precinct,Final Registration,,,Section 35 Blocks 2-10 & 12,,Historic,FORREST,0,CANBERRA CENTRAL,C,FORREST,F,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/f#forrest,400.090598357536,400.090598357536,10848.6596441576
70,70,154,4521,"Manuka Oval and Caretaker's Cottage, Griffith",Final Registration,,,Section 15 Block 14 and 15,,Historic,GRIFFITH,0,CANBERRA CENTRAL,C,GRIFFITH,G,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/g#griffith,1098.80882207997,1098.80882207997,66706.8035909491
71,71,269,8826,Gungaderra Homestead,Final Registration,,,Block 10 & 12 Section 4 and Block 12 Section 2 Harrison,,Historic,HARRISON,0,GUNGAHLIN,G,HARRISON,H,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/h#harrison,452.183979048964,452.183979048964,7733.3594104103295
72,72,269,8826,Gungaderra Homestead,Final Registration,,,Block 10 & 12 Section 4 and Block 12 Section 2 Harrison,,Historic,HARRISON,0,GUNGAHLIN,G,HARRISON,H,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/h#harrison,358.65539064676597,358.65539064676597,3204.114776114
74,74,415,411,"Free Serbian Orthodox Church And Murals, Parish Of St George",Final Registration,,,Section 19 Block 2,,Historic,FORREST,0,CANBERRA CENTRAL,C,FORREST,F,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/f#forrest,240.747516584767,240.747516584767,3546.7116712165002
77,77,404,413,St Christopher's Cathedral Precinct,Final Registration,,,"Section 24 Block 7, Section 25 Block 1",,Historic,FORREST,0,CANBERRA CENTRAL,C,FORREST,F,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/f#forrest,432.73841511007896,432.73841511007896,7129.10860903908
78,78,95,187,3 Wilmot Crescent,Nominated for Provisional Registration,,,Section 47 Block 9,,Historic,FORREST,0,CANBERRA CENTRAL,C,FORREST,F,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/f#forrest,236.369226750448,236.369226750448,3498.9608820977196
90,90,1169,4483,44 Beauchamp Street,Nominated for Provisional Registration,,,Section 59 Block 13,,Historic,DEAKIN,0,CANBERRA CENTRAL,C,DEAKIN,D,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/d#deakin,136.53437600156,136.53437600156,990.322478441568
91,91,51,80,Bus Shelter,Nominated for Provisional Registration,,,"Class D: Arthur Circle, Monaro Crescent,, Stuart Street, , Barralier Street, and, outside Kingston Hotel,, Giles Street",,Historic,GRIFFITH,0,CANBERRA CENTRAL,C,GRIFFITH,G,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/g#griffith,22.123039233186102,22.123039233186102,38.9106951052963
113,113,75,167,Canberra Church of England Girls Grammar School - Boarding House,Final Registration,,,Section 9 Block 2,,Historic,DEAKIN,0,CANBERRA CENTRAL,C,DEAKIN,D,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/d#deakin,596.899775619581,596.899775619581,22970.425178851
1248,1248,2001,597,SUC 34,Final Registration,20050308.0,,,,Restricted,,110000000225,COREE,C,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/c#coree,49860.6658648004,49860.6658648004,36235841.1361909
79,79,72,164,Tuggeranong Parkway Cutting,Final Registration,,,Section 106 Block 12,,Historic,CURTIN,0,WODEN VALLEY,W,LYONS,L,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/l#lyons,1165.57136810578,1165.57136810578,53742.936523325996
80,80,72,164,Tuggeranong Parkway Cutting,Final Registration,,,Section 106 Block 12,,Historic,CURTIN,0,WESTON CREEK,W,WESTON,W,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/w#weston,4889.46650233933,4889.46650233933,133472.886584501
