sla_code_2006_,sla_name_2006_,ieo_score,ranking_within_australia_rank_,ranking_within_australia_decile_,ranking_within_australia_percentile_,ranking_within_state_or_territory_state_,ranking_within_state_or_territory_rank_,ranking_within_state_or_territory_decile_,ranking_within_state_or_territory_percentile_,minimum_score_for_cds_in_area_percentile_,maximum_score_for_cds_in_area_percentile_,urp,per100_urp_without_a_cd_level_score_percentile_
205852171,Frankston (C) - East,944,466,4,34,VIC,51,3,25,867,1062,43742,0
205852174,Frankston (C) - West,958,586,5,42,VIC,75,4,37,811,1098,74062,1
205055901,Port Phillip (C) - St Kilda,1161,1323,10,95,VIC,195,10,96,1023,1230,49798,1
205905345,Mornington P'sula (S) - West,1040,1045,8,75,VIC,163,8,80,847,1154,52667,0
210052751,Bellarine - Inner,911,198,2,15,VIC,13,1,7,788,990,23249,0
205055902,Port Phillip (C) - West,1160,1320,10,95,VIC,194,10,95,866,1242,35299,0
210106493,Surf Coast (S) - East,1067,1117,9,81,VIC,169,9,83,1014,1128,13195,0
210106495,Surf Coast (S) - West,1034,1020,8,74,VIC,159,8,78,866,1162,8574,0
205301892,Darebin (C) - Preston,977,728,6,53,VIC,100,5,49,832,1194,82158,0
525108330,Toodyay (S),963,632,5,46,WA ,63,5,41,924,1077,4113,0
230104782,Mildura (RC) - Pt B,985,788,6,57,VIC,112,6,55,917,1091,3782,0
230152250,Gannawarra (S),944,476,4,35,VIC,52,3,26,851,1109,11297,0
205056351,Stonnington (C) - Prahran,1169,1336,10,96,VIC,198,10,97,831,1243,45156,0
205057351,Yarra (C) - North,1149,1305,10,94,VIC,192,10,94,748,1255,44746,0
205057352,Yarra (C) - Richmond,1123,1259,10,91,VIC,189,10,93,770,1264,24584,2
205101181,Brimbank (C) - Keilor,939,416,3,30,VIC,40,2,20,850,1062,86991,0
205101182,Brimbank (C) - Sunshine,902,157,2,12,VIC,9,1,5,844,1008,81227,1
205103111,Hobsons Bay (C) - Altona,942,441,4,32,VIC,46,3,23,844,1090,52110,1
205103112,Hobsons Bay (C) - Williamstown,1084,1173,9,85,VIC,179,9,88,985,1152,29352,0
205104330,Maribyrnong (C),1022,980,8,71,VIC,154,8,76,806,1166,63142,0
205105063,Moonee Valley (C) - Essendon,1074,1137,9,82,VIC,172,9,84,733,1186,66873,0
205105065,Moonee Valley (C) - West,987,794,6,57,VIC,114,6,56,921,1085,40217,0
225102980,Hindmarsh (S),947,498,4,36,VIC,56,3,28,843,1083,6041,0
225107631,Yarriambiack (S) - North,987,795,6,57,VIC,115,6,57,905,1072,1980,0
225107632,Yarriambiack (S) - South,958,588,5,43,VIC,76,4,38,874,1153,5539,0
230054781,Mildura (RC) - Pt A,927,303,3,22,VIC,22,2,11,796,1082,46034,0
230101271,Buloke (S) - North,989,809,6,58,VIC,120,6,59,896,1151,3353,0
230101272,Buloke (S) - South,961,611,5,44,VIC,84,5,41,922,1134,3499,0
240052831,Gr. Shepparton (C) - Pt A,932,338,3,25,VIC,27,2,14,745,1088,44599,0
205204651,Melton (S) - East,989,812,6,59,VIC,122,6,60,805,1136,39480,2
205204654,Melton (S) Bal,906,172,2,13,VIC,11,1,6,814,987,39430,0
205207261,Wyndham (C) - North,948,500,4,36,VIC,57,3,28,833,1185,75386,1
205207264,Wyndham (C) - South,1077,1146,9,83,VIC,175,9,86,959,1150,16016,0
205207267,Wyndham (C) - West,940,427,4,31,VIC,42,3,21,874,1020,21294,0
210106080,Queenscliffe (B),1093,1186,9,85,VIC,180,9,88,1049,1203,3017,0
205300662,Banyule (C) - North,1031,1011,8,73,VIC,158,8,78,922,1131,53309,0
205255251,Moreland (C) - Brunswick,1110,1226,9,88,VIC,186,10,91,900,1242,41195,0
205255252,Moreland (C) - Coburg,1024,986,8,71,VIC,155,8,76,942,1142,47861,0
205255253,Moreland (C) - North,943,457,4,33,VIC,49,3,24,860,1086,46707,1
205300661,Banyule (C) - Heidelberg,1075,1143,9,82,VIC,173,9,85,902,1202,61558,0
205301891,Darebin (C) - Northcote,1102,1211,9,87,VIC,184,9,90,951,1184,45908,0
205451111,Boroondara (C) - Camberwell N.,1155,1312,10,94,VIC,193,10,95,1089,1235,43337,0
205451112,Boroondara (C) - Camberwell S.,1166,1332,10,96,VIC,197,10,97,1071,1221,48967,0
205451113,Boroondara (C) - Hawthorn,1191,1368,10,98,VIC,202,10,99,1107,1244,33490,0
205451114,Boroondara (C) - Kew,1180,1357,10,98,VIC,200,10,98,1110,1231,28657,0
205504211,Manningham (C) - East,1102,1213,9,87,VIC,185,10,91,1016,1144,15030,0
205504214,Manningham (C) - West,1079,1154,9,83,VIC,178,9,87,975,1172,94887,0
205504971,Monash (C) - South-West,1065,1109,8,80,VIC,167,9,82,985,1180,43314,2
205504974,Monash (C) - Waverley East,1073,1136,9,82,VIC,171,9,84,971,1172,55710,0
205607451,Yarra Ranges (S) - Central,934,349,3,26,VIC,29,2,15,855,1019,14821,0
205607452,Yarra Ranges (S) - Dandenongs,1060,1099,8,79,VIC,166,9,81,997,1143,29398,0
205607453,Yarra Ranges (S) - Lilydale,976,724,6,52,VIC,99,5,49,888,1146,67602,0
205801454,Cardinia (S) - South,918,241,2,18,VIC,17,1,9,857,985,5288,0
205801612,Casey (C) - Berwick,980,754,6,55,VIC,105,6,52,821,1092,87764,0
240101376,Campaspe (S) - South,941,434,4,32,VIC,43,3,21,870,1030,3689,0
240102834,Gr. Shepparton (C) - Pt B East,1005,893,7,64,VIC,139,7,68,889,1188,3717,0
240102835,Gr. Shepparton (C) - Pt B West,959,590,5,43,VIC,77,4,38,855,1023,8772,0
240104901,Moira (S) - East,930,318,3,23,VIC,23,2,12,828,1059,8761,0
240104904,Moira (S) - West,930,321,3,23,VIC,24,2,12,794,1057,18325,0
240151011,Benalla (RC) - Benalla,926,293,3,21,VIC,20,1,10,782,1000,9127,0
235105431,Mount Alexander (S) - C'maine,989,810,6,59,VIC,121,6,60,891,1081,7148,5
235105434,Mount Alexander (S) Bal,991,824,6,60,VIC,125,7,61,926,1072,9918,0
235204131,Macedon Ranges (S) - Kyneton,966,653,5,47,VIC,89,5,44,883,1075,8239,0
235204134,Macedon Ranges (S) - Romsey,1003,885,7,64,VIC,135,7,66,915,1108,10861,0
235204135,Macedon Ranges (S) Bal,1056,1090,8,79,VIC,165,9,81,973,1168,19259,0
240101375,Campaspe (S) - Rochester,949,518,4,38,VIC,60,3,30,868,1054,8084,0
205652314,Glen Eira (C) - South,1079,1153,9,83,VIC,177,9,87,976,1159,47814,0
205653431,Kingston (C) - North,1025,989,8,71,VIC,157,8,77,899,1172,89420,0
205653434,Kingston (C) - South,1006,897,7,65,VIC,141,7,69,899,1103,45204,0
205656352,Stonnington (C) - Malvern,1174,1344,10,97,VIC,199,10,98,1077,1237,44728,0
205752671,Gr. Dandenong (C) - Dandenong,926,292,3,21,VIC,19,1,10,824,1017,54847,1
205752674,Gr. Dandenong (C) Bal,913,212,2,16,VIC,14,1,7,765,1024,70673,1
205801452,Cardinia (S) - North,988,803,6,58,VIC,117,6,58,888,1064,24037,0
205801453,Cardinia (S) - Pakenham,943,458,4,33,VIC,50,3,25,844,1052,27790,0
205504975,Monash (C) - Waverley West,1094,1195,9,86,VIC,182,9,89,975,1233,62218,0
205506981,Whitehorse (C) - Box Hill,1118,1245,9,90,VIC,188,10,92,997,1223,51055,0
205506984,Whitehorse (C) - Nunawading E.,1067,1119,9,81,VIC,170,9,83,960,1119,44069,0
205506985,Whitehorse (C) - Nunawading W.,1077,1149,9,83,VIC,176,9,86,950,1193,49643,0
205553672,Knox (C) - North-East,968,666,5,48,VIC,91,5,45,852,1066,61924,0
205553673,Knox (C) - North-West,1019,961,7,69,VIC,150,8,74,926,1103,44748,1
205553674,Knox (C) - South,1025,988,8,71,VIC,156,8,77,959,1125,40067,0
205554411,Maroondah (C) - Croydon,1006,895,7,65,VIC,140,7,69,914,1109,57712,0
205554412,Maroondah (C) - Ringwood,1036,1031,8,74,VIC,161,8,79,961,1122,41488,0
205652311,Glen Eira (C) - Caulfield,1138,1287,10,93,VIC,191,10,94,1066,1212,76270,0
240101371,Campaspe (S) - Echuca,932,337,3,25,VIC,26,2,13,815,1082,12361,0
240101374,Campaspe (S) - Kyabram,934,359,3,26,VIC,30,2,15,824,1051,12074,0
