ogc_fid,objectid_1,basketball_court_id,asset_id,division_name,location_description,type,feature_type_code,create_date,feature_instance_metadata_id,objectid,shape_length,shape_area
14,14,34,BSKT34,WARAMANGA,MALARA STREET NEIGHBOURHOOD PARK,HALF COURT,20,,,27820,13.7096569790285,11.7347711854806
15,15,35,BSKT35,WARAMANGA,NEMARANG CRESCENT NEIGHBOURHOOD PARK,HALF COURT,20,,,27821,28.111709922141102,50.70472042445461
16,16,36,BSKT36,WANNIASSA,LANSELL CIRCUIT PEDESTRIAN PARKLAND,HALF COURT,20,,,27822,42.6626252785775,107.072422294788
17,17,37,BSKT37,KAMBAH,KAMBAH DISTRICT PARK,4 WAY HOOP,20,,,27823,21.0667289484153,26.529406776770102
18,18,38,BSKT38,KAMBAH,KAMBAH DISTRICT PARK,4 WAY HOOP,20,,,27824,17.1157855998905,17.5343502517322
19,19,39,BSKT43,MONASH,GRIFFIN PLACE PEDESTRIAN PARKLAND,HALF COURT,20,,,27825,23.5450990567027,31.4815897377074
20,20,40,BSKT40,CHISHOLM,ALSTON STREET NEIGHBOURHOOD PARK,HALF COURT,20,,,27826,22.682661775228098,31.1834271633884
21,21,41,BSKT41,NGUNNAWAL,GADALI CRESCENT PEDESTRIAN PARKLAND,HALF COURT,20,,,27827,55.9190789471692,194.780957122788
22,22,42,BSKT42,CHARNWOOD,PACKHAM PLACE NEIGHBOURHOOD PARK,4 WAY HOOP,20,,,27828,6.4443348911076,2.5728635491353797
23,23,1,BSKT1,WESTON,DILLON CLOSE - PEDESTRIAN PARKLAND,HALF COURT,20,,,27816,70.7765385212934,347.593678838928
24,24,2,BSKT2,AINSLIE,CORROBOREE PARK,SINGLE COURT,20,,,27817,86.9583158846702,424.85427550236
25,25,3,BSKT3,HARRISON,HELBY STREET NEIGHBOURHOOD PARK,HALF COURT,20,,,27795,63.6395916038723,252.183461950825
26,26,4,BSKT4,DEAKIN,HANNAH PLACE - PEDESTRIAN PARKLAND,HALF COURT,20,,,27796,57.405536883501505,205.720538155458
27,27,5,BSKT5,GREENWAY,LAKE TUGGERANONG DISTRICT PARK,HALF COURT,20,,,27797,40.2110539527,99.03027186640341
28,28,6,BSKT7,KAMBAH,BODDINGTON CRESCENT - NEIGHBOURHOOD PARK,4 WAY HOOP,20,,,27799,20.6989639072643,29.055518322315397
29,29,7,BSKT8,KAMBAH,RUNDLE PLACE - NEIGHBOURHOOD PARK,4 WAY HOOP,20,,,27800,25.5676810663793,31.2825689786254
30,30,8,BSKT9,KAMBAH,ATTIWELL CIRCUIT - NEIGHBOURHOOD PARK,4 WAY HOOP,20,,,27803,16.8549575792975,16.5478072890628
31,31,9,BSKT10,LYONS,DEVONPORT STREET - NEIGHBOURHOOD PARK,4 WAY HOOP,20,,,27814,20.4868706700847,24.0517295002075
32,32,10,BSKT11,FLYNN,BLACKWELL CIRCUIT NEIGHBOURHOOD PARK,SINGLE COURT,20,,,27804,28.4716626150495,42.393720443807794
33,33,11,BSKT13,HACKETT,BRENNAN STREET  NEIGHBOURHOOD PARK,HALF COURT,20,,,27802,23.587983473794303,30.8028965596775
34,34,12,BSKT14,DEAKIN,LAWLEY STREET - NEIGHBOURHOOD PARK,SINGLE COURT,20,,,27805,58.5722583220857,214.184975737475
35,35,13,BSKT15,KINGSTON,SANDALWOOD STREET - NEIGHBOURHOOD PARK,HALF COURT,20,,,27806,37.5626430214565,93.32547793255578
36,36,14,BSKT16,MACGREGOR,CLYDE FINLAY STREET NEIGHBOURHOOD PARK,HALF COURT,20,,,27807,44.2527545104722,150.277035089628
37,37,15,BSKT17,BONYTHON,BURGOYNE STREET NEIGHBOURHOOD PARK,HALF COURT,20,,,27808,54.834788111772795,186.28275277577703
38,38,16,BSKT18,GUNGAHLIN,YERRABI DISTRICT PARK,SINGLE COURT,20,,,27809,86.0664360038155,448.62865390770895
39,39,17,BSKT19,PHILLIP,EDISON DISTRICT PARK,HALF COURT,20,,,27810,61.3791284651318,192.943137407938
40,40,18,BSKT20,LYNEHAM,LAMBERT PLACE - ROAD VERGE,DOUBLE COURT,20,,,27811,70.1841072535574,299.46695740418
41,41,19,BSKT21,DUNLOP,PERCY PEGG CIRCUIT NEIGHBOURHOOD PARK,HALF COURT,20,,,27812,64.5352389581563,260.09369810944
42,42,20,BSKT22,FORDE,AMY ACKMAN STREET NEIGHBOURHOOD PARK,HALF COURT,20,,,27813,64.6803533015494,259.67188637368196
