cd_code,state_,_seifa86_population_,index_of_relative_socio_economic_disadvantage_,_index_of_economic_resources_,index_of_education_and_occupation_,sla_,sla_name_,postal_areas_,state_name
4020402,4,178,966.79535,886.89453,952.4037,3570,Le Hunte (DC),5654,South Australia
6020404,6,679,1013.1752,1005.8354,947.86835,2703,Launceston (C) - Pt B,7248,Tasmania
1020405,1,652,946.2438400000001,964.7571,861.39075,1250,Broken Hill (C),2880,New South Wales
4020405,4,410,1029.5834,953.22296,892.7876,3570,Le Hunte (DC),5650,South Australia
1020411,1,481,898.44574,867.6286,961.5045,1250,Broken Hill (C),2880,New South Wales
8020504,8,771,887.8131,933.785,975.5148300000001,6219,Narrabundah,2604,Australian Capital Territory
2021007,2,445,1046.4376,1011.3987,956.32336,2240,Deakin (S),3561,Victoria
8021102,8,1119,1100.3522,1121.62,1168.721,3069,Garran,2605,Australian Capital Territory
4021103,4,771,1039.5221,993.8313,1013.3417,6300,Port Lincoln (C),5606,South Australia
3140711,3,275,1030.9613,1024.2354,993.80084,6900,Toowoomba (C),4350,Queensland
3020604,3,13,1029.9692,965.1059,831.6368,5300,Mount Isa (C),4825,Queensland
5020604,5,56,421.9008,875.8138,595.1046,4970,Laverton (S),6440,Western Australia
6020604,6,411,939.4259599999999,904.55426,1044.7012,2703,Launceston (C) - Pt B,7250,Tasmania
6020608,6,628,1008.2263,923.0917400000001,1137.4283,2703,Launceston (C) - Pt B,7250,Tasmania
8020701,8,682,1217.3838,1233.8086,1296.7555,7119,Red Hill,2603,Australian Capital Territory
2020705,2,793,981.59973,933.4209599999999,931.90515,6240,Rochester (S),3561,Victoria
1490115,1,167,890.66394,931.52136,1016.7691,150,Ashfield (M),2131,New South Wales
3021104,3,103,980.1575300000001,980.7624,850.7389,4800,McKinlay (S),4830,Queensland
1021110,1,70,982.1127,1045.4464,867.7053,1750,Cobar (S),2877,New South Wales
2021206,2,513,1081.5771,1022.7049,979.0082,5440,Numurkah (S),3640,Victoria
8021702,8,954,1173.2057,1285.5957,1227.9364,6849,Pearce,2607,Australian Capital Territory
2021805,2,482,929.6921,937.60565,931.1588,6680,Shepparton (C),3630,Victoria
3021302,3,29,981.0791,1093.6085,805.878,900,Boulia (S),4824,Queensland
6021401,6,145,1017.0692,972.0705,955.7539999999999,4000,Scottsdale (M),7254,Tasmania
3021408,3,654,969.43115,909.6649,911.8148,7400,Winton (S),4735,Queensland
2021809,2,514,1018.2048,1011.6257,983.31775,6680,Shepparton (C),3630,Victoria
6021502,6,105,928.4564,864.17285,800.1537,3700,Ringarooma (M),7254,Tasmania
6021508,6,184,857.2437,882.5441,776.28015,3700,Ringarooma (M),7254,Tasmania
5021902,5,832,1033.5685,1066.4043,973.6451400000001,3850,Greenough (S),6530,Western Australia
5022104,5,128,1033.7802,1113.0539999999999,889.8616300000001,5670,Morawa (S),6623,Western Australia
8022106,8,453,1133.7754,1190.0533,1180.8188,8739,Weston,2611,Australian Capital Territory
8022304,8,705,1132.839,1177.0963,1188.1637,4059,Holder,2611,Australian Capital Territory
4061005,4,745,968.97845,972.69696,927.2653,5250,Noarlunga (C),5164,South Australia
6021509,6,88,983.5981400000001,946.6077,909.8792,3700,Ringarooma (M),7254,Tasmania
8021601,8,511,1091.4106,1082.9276,1171.6763,5859,Mawson,2607,Australian Capital Territory
3061007,3,889,1030.1073,1006.325,992.9621,6350,Rockhampton (C),4701,Queensland
2022001,2,593,1047.8668,1052.7452,949.8539999999999,6282,Rodney (S) - Pt B,3629,Victoria
5022701,5,302,1058.5474,999.5179400000001,928.83545,7000,Perenjori (S),6620,Western Australia
8022902,8,1086,1182.4039,1353.9847,1229.8392,1089,Chapman,2611,Australian Capital Territory
8023005,8,277,1101.536,1149.2422,1163.5171,2529,Fisher,2611,Australian Capital Territory
5023106,5,704,1027.8722,1068.2160000000001,959.76025,700,Boulder (S),6432,Western Australia
5023107,5,1304,775.0977,841.9979,872.0160000000001,700,Boulder (S),6432,Western Australia
8023110,8,993,1123.5398,1185.4738,1174.2488,4869,Kambah,2902,Australian Capital Territory
5023305,5,675,1063.506,1075.785,1103.3885,4270,Kalgoorlie (T),6430,Western Australia
2030109,2,716,1037.0392,993.9017,991.1715,1760,Cobram (S),3644,Victoria
3182107,3,566,932.9480599999999,907.3002,991.84686,1135,Chermside,4032,Queensland
5023403,5,58,583.1992,716.85175,855.1202400000001,1960,Coolgardie (S),6441,Western Australia
8023501,8,934,1155.1621,1208.1349,1185.5956,3339,Gowrie,2904,Australian Capital Territory
5023507,5,6,1003.4943,1008.0067,822.3448,9660,Yilgarn (S),6427,Western Australia
8023602,8,950,1157.683,1292.5868,1170.8518,2349,Fadden,2902,Australian Capital Territory
5023803,5,457,1040.3285,1026.1074,971.4876,3290,Esperance (S),6450,Western Australia
8023807,8,410,1139.5164,1226.029,1174.4056,1359,Chisholm,2902,Australian Capital Territory
2290905,2,461,965.1933,967.32635,1076.545,6880,South Melbourne (C),3206,Victoria
5023901,5,304,1015.6242,899.1059,904.3384,3290,Esperance (S),6450,Western Australia
5024007,5,123,1003.1447,1002.1971,988.32056,7420,Ravensthorpe (S),6348,Western Australia
8024101,8,15,1110.4026,1050.3336,1109.4615,4329,Hume,2606,Australian Capital Territory
8024402,8,0,,,,4509,Isabella Plains,2902,Australian Capital Territory
1030203,1,88,1020.1988,954.0064,956.8358,1150,Bourke (S),2840,New South Wales
5071403,5,422,891.5803,912.4068,915.2148,1330,Canning (C),6102,Western Australia
6030105,6,21,962.0912,811.4195,853.3261,4600,Waratah (M),7321,Tasmania
6030212,6,1117,998.3132,903.7446,987.192,4900,Zeehan (M),7321,Tasmania
3030305,3,342,1023.711,970.9631300000001,939.3002,200,Atherton (S),4872,Queensland
3030404,3,598,910.6706,888.3251,909.3865,200,Atherton (S),4883,Queensland
5030501,5,641,1087.9375,1224.0813,1030.3602,8750,Wanneroo (C),6027,Western Australia
1030509,1,95,1026.0846,1021.1982,946.1066,950,Bogan (S),2825,New South Wales
5030509,5,622,1085.5354,1165.4491,1038.8561,8750,Wanneroo (C),6025,Western Australia
1030510,1,903,973.9899,939.2828400000001,928.8991,950,Bogan (S),2825,New South Wales
5030602,5,902,1082.6941,1120.308,1070.6937,8750,Wanneroo (C),6025,Western Australia
5030605,5,939,1087.395,1126.4125,1075.094,8750,Wanneroo (C),6025,Western Australia
3030611,3,816,972.3031599999999,925.0011599999999,959.3417,2200,Cardwell (S),4854,Queensland
1030613,1,1025,933.94214,942.5695,928.17865,7950,Warren (S),2824,New South Wales
6030808,6,1118,1044.779,974.2747,1030.0795,3001,New Norfolk (M) - Pt A,7140,Tasmania
2061311,2,301,1152.7087,1210.8514,1154.6633,3000,Gisborne (S),3434,Victoria
3030706,3,483,919.9422599999999,918.4018,908.77954,3700,Herberton (S),4872,Queensland
2030708,2,893,1013.2496,985.8976,962.0653699999999,8200,Wodonga (RC),3690,Victoria
4030802,4,136,1028.298,949.1399,911.0645,2100,Georgetown (DC),5472,South Australia
4030903,4,158,1037.1085,932.17163,884.0565,7280,Spalding (DC),5454,South Australia
7030903,7,411,703.37427,695.9326,897.3789999999999,4409,Victoria,5780,Northern Territory
1030904,1,345,1019.1771,983.3246,941.7291,2950,Gilgandra (S),2831,New South Wales
5031104,5,748,1014.2629,1014.3041,974.98425,8050,Swan (S),6056,Western Australia
2030906,2,267,1092.7129,973.1442,1028.3694,7241,Tallangatta (S) - Pt A,3691,Victoria
1031106,1,1068,928.6039,934.86255,939.4667400000001,2600,Dubbo (C),2830,New South Wales
3071011,3,396,899.9162,886.7573,951.24615,7551,Woongarra (S) - Pt A,4670,Queensland
3030907,3,98,1005.2629,1057.1826,817.39465,2700,Dalrymple (S),4816,Queensland
7031002,7,28,1137.1326,1008.0067,969.39,3409,Tableland,5760,Northern Territory
5031004,5,825,919.05524,986.1114,866.0961,8050,Swan (S),6054,Western Australia
5031704,5,1157,1018.2145,1074.4604,949.93353,8750,Wanneroo (C),6065,Western Australia
5071408,5,647,938.52625,982.4526400000001,895.2835,1330,Canning (C),6107,Western Australia
6031005,6,367,941.1654,974.8258699999999,802.06256,900,Deloraine (M),7304,Tasmania
6031101,6,220,987.9703,930.566,992.0551,2300,Kentish (M),7306,Tasmania
6032009,6,266,935.76465,967.6988,851.5966,3400,Portland (M),7216,Tasmania
2071414,2,222,1117.4266,1096.6599,1053.8938,4521,Marong (S) - Pt A,3555,Victoria
2031006,2,351,1068.7284,978.5191699999999,950.58154,7242,Tallangatta (S) - Pt B,3700,Victoria
1031011,1,247,1062.8754,1096.6066,1032.3501,2600,Dubbo (C),2830,New South Wales
1031101,1,1272,720.38354,861.9632,828.56744,2600,Dubbo (C),2830,New South Wales
5051202,5,505,937.3392,869.84827,865.1311,6300,Nannup (S),6275,Western Australia
3031107,3,41,1123.108,1103.0872,1005.3715,3200,Flinders (S),4816,Queensland
6031108,6,502,1026.8310000000001,1002.3156,936.7047,2300,Kentish (M),7306,Tasmania
2290910,2,285,734.53455,730.4256,989.68713,6880,South Melbourne (C),3206,Victoria
7031112,7,903,541.4892,704.20294,759.4530599999999,3609,Tanami,5751,Northern Territory
7031201,7,147,837.3957,896.6991,998.97705,4009,Tennant Creek - Bal,5760,Northern Territory
5071503,5,497,1019.3478,1032.9933,958.36914,1330,Canning (C),6107,Western Australia
2291004,2,563,1035.9702,989.3941,1156.4554,6880,South Melbourne (C),3206,Victoria
3031204,3,82,992.4074,1036.9712,905.2412,2700,Dalrymple (S),4820,Queensland
6031204,6,363,1077.8385,1029.4037,984.91974,2601,Latrobe (M) - Pt A,7307,Tasmania
6031405,6,271,1044.5625,1017.4794,955.329,102,Beaconsfield (M) - Pt B,7251,Tasmania
2341702,2,581,926.6807,919.4755,964.2822,5400,Northcote (C),3071,Victoria
7031405,7,257,378.39505,653.3215,800.82336,3009,Petermann,5751,Northern Territory
1031501,1,558,917.3078,909.0472,913.76355,5850,Narromine (S),2821,New South Wales
4031501,4,137,1071.0753,989.1946,907.1868,490,Blyth (DC),5464,South Australia
7031504,7,529,1065.3651,1098.22,1066.6389,4209,Vernon,5791,Northern Territory
1031605,1,212,1024.2961,981.34784,977.1105,5850,Narromine (S),2823,New South Wales
3031606,3,0,,,,5850,Peak Downs (S),4702,Queensland
5031606,5,789,1071.3235,1110.5782,1025.4193,8750,Wanneroo (C),6027,Western Australia
2031704,2,898,1054.4427,1016.2888,993.8585,7640,Wangaratta (C),3677,Victoria
2071505,2,131,835.38275,793.4212,788.5541400000001,1000,Bet Bet (S),3551,Victoria
2281506,2,664,1138.7234,1139.8132,1183.6664,1160,Brighton (C),3186,Victoria
3031804,3,54,979.0473599999999,1060.138,820.6487400000001,150,Aramac (S),4702,Queensland
6032110,6,146,871.4887,874.6733,837.44006,1300,Fingal (M),7215,Tasmania
1032205,1,597,960.9839999999999,928.8302,949.57074,2900,Forbes (S),2871,New South Wales
1032302,1,520,921.4066,876.4843,826.8929400000001,1403,Cabonne (S) - Pt C,2865,New South Wales
1032606,1,472,955.9953,915.6764,949.4718,8150,Wellington (S),2820,New South Wales
5071505,5,303,830.7837,828.51105,902.585,1330,Canning (C),6107,Western Australia
1490109,1,334,974.31165,925.0765,1114.3782,150,Ashfield (M),2131,New South Wales
1031807,1,595,1060.8915,1069.9364,1010.6089999999999,6200,Parkes (S),2870,New South Wales
1031906,1,658,959.3633,952.39886,934.3636,6200,Parkes (S),2870,New South Wales
4061604,4,572,981.3604,946.7742,967.90875,5250,Noarlunga (C),5169,South Australia
4061607,4,807,1068.9344,1093.1699,982.6846300000001,5250,Noarlunga (C),5169,South Australia
4071509,4,988,1142.9154,1195.3541,1139.9027,4340,Mitcham (C),5050,South Australia
6032001,6,61,882.5414400000001,913.4196,773.85425,3400,Portland (M),7216,Tasmania
4061611,4,544,1052.5198,1080.8224,963.3804,5250,Noarlunga (C),5167,South Australia
1500804,1,745,879.91595,912.2856400000001,955.7191,1100,Botany (M),2018,New South Wales
1032408,1,86,984.2222,1009.289,879.7458,1403,Cabonne (S) - Pt C,2867,New South Wales
6032505,6,282,948.2429,951.4812599999999,824.70154,3100,Oatlands (M),7120,Tasmania
1070105,1,505,879.21484,856.2012,915.1644,7551,Tweed (S) - Pt A,2485,New South Wales
2281602,2,211,1112.2074,1204.897,1175.8256,1160,Brighton (C),3186,Victoria
6033005,6,156,1019.9742,1018.7119,961.4962,4101,Sorell (M) - Pt A,7173,Tasmania
6033106,6,181,955.9977,894.1967,964.1069,4400,Tasman (M),7182,Tasmania
5070109,5,323,1073.1246,1105.0631,1098.0623,4200,Kalamunda (S),6076,Western Australia
5090304,5,593,1047.9922,1013.0407,1063.3091,3150,East Fremantle (T),6158,Western Australia
6033107,6,77,1015.6756,948.10565,894.4713,4400,Tasman (M),7179,Tasmania
4033502,4,123,954.47284,930.92084,854.73456,6580,Redhill (DC),5521,South Australia
4033902,4,263,996.92346,926.0658599999999,913.6694,8330,Wallaroo (M),5556,South Australia
4034501,4,222,1078.4562,954.9213,943.5389,4270,Minlaton (DC),5575,South Australia
4034504,4,369,1056.4929,981.0412,953.056,4270,Minlaton (DC),5575,South Australia
6040101,6,317,944.48376,898.1806,841.0891,1100,Esperance (M),7116,Tasmania
6040703,6,260,1042.557,979.3088,1050.7955,2502,Kingborough (M) - Pt B,7162,Tasmania
3040104,3,490,976.08984,987.8318,863.9311,3800,Hinchinbrook (S),4850,Queensland
2040108,2,105,1048.0566,996.54663,965.6259,5560,Omeo (S),3896,Victoria
1040109,1,699,837.2173,903.4922,906.5799599999999,7900,Walgett (S),2832,New South Wales
1040302,1,123,944.90094,1062.8287,848.5351,7900,Walgett (S),2833,New South Wales
3040105,3,194,952.5751300000001,919.19464,896.6567,3800,Hinchinbrook (S),4850,Queensland
5040304,5,183,970.5806,929.33704,900.31506,5880,Mount Marshall (S),6477,Western Australia
2040306,2,433,1074.0219,1017.9481,1059.4752,7280,Tambo (S),3904,Victoria
4040308,4,414,1009.206,925.0451,970.0139,420,Berri (DC),5343,South Australia
6040904,6,786,1106.6191,1083.8414,1086.1853,800,Clarence (M),7021,Tasmania
3070112,3,804,1045.0989,1035.5084,1000.7295,2101,Calliope (S) - Pt A,4680,Queensland
4090309,4,893,1071.6654,1053.059,1011.0399,8680,Woodville (C),5025,South Australia
6040107,6,284,911.0774,941.28076,816.434,1100,Esperance (M),7116,Tasmania
5040605,5,330,1056.1536,1020.6106,909.9153,8540,Victoria Plains (S),6571,Western Australia
4090401,4,317,1019.9553,984.9128,1019.6006,8680,Woodville (C),5023,South Australia
2040417,2,58,890.5468,897.3092,759.75433,5600,Orbost (S),3889,Victoria
