crash_id,crash_date,crash_time,severity,crash_type,cyclists,cyclist_casualties,reported_location,latitude,longitude
1080859,4-Feb-14,8:00,Injury,Fall from moving vehicle (On Road),1,1,NORTHBOURNE AVENUE (ELOUERA/GOULD -> GIRRAHWEEN/MASSON),-35.270542999999996,149.130518
1074443,24-Oct-13,21:10,Property Damage Only,Right angle collision,1,0,GARRAN/LIVERSIDGE/McCOY INTERSECTION,-35.283566,149.119857
1032768,27-Mar-12,9:05,Property Damage Only,Rear end collision,1,0,LAUNCESTON/MELROSE INTERSECTION,-35.339936,149.082379
1060661,29-Apr-13,8:15,Property Damage Only,Same direction side swipe,1,0,FLEMINGTON/MORISSET/SANDFORD INTERSECTION,-35.221318,149.144751
1061530,26-Apr-13,8:45,Property Damage Only,Other - Vehicle to Vehicle,1,0,CONDAMINE STREET (BENT -> MCCAUGHEY),-35.266459999999995,149.124541
1030099,20-Feb-12,8:50,Injury,Collision with parked vehicle,1,1,NORTHBOURNE AVENUE (ALINGA -> BUNDA/RUDD),-35.278147,149.129289
1057195,5-Jun-12,15:50,Property Damage Only,Struck object  (On Road),1,0,FAIRBAIRN/MAJURA INTERSECTION,-35.29915,149.1805
1050470,11-Nov-12,11:55,Property Damage Only,Other - Vehicle to Vehicle,1,0,TORRENS STREET (IPIMA -> IJONG),-35.265507,149.135385
1079954,10-Feb-14,17:50,Property Damage Only,Same direction side swipe,1,0,BARRY/COOYONG/NORTHBOURNE INTERSECTION,-35.275853999999995,149.12966
1098686,13-Nov-14,10:22,Injury,Right angle collision,1,1,ELLERY/MARCUS CLARKE INTERSECTION,-35.281777000000005,149.123655
1078418,1-Jan-14,17:00,Property Damage Only,Other - Vehicle to Vehicle,1,0,ATHLLON/BEASLEY (SW) INTERSECTION,-35.371915,149.092895
1103409,25-Jan-15,12:40,Injury,Right angle collision,1,1,RUSSELL/SIR THOMAS BLAMEY INTERSECTION,-35.297751,149.150389
1037074,15-Jun-12,12:05,Injury,Right angle collision,1,1,GARRAN ROAD (EGGLESTON -> FELLOWS),-35.282677,149.117029
1057988,20-Mar-13,8:25,Property Damage Only,Other - Vehicle to Vehicle,1,0,MULLEY STREET (BLACKWOOD -> GOVETT),-35.334617,149.04967299999998
1092558,30-Jul-14,6:30,Property Damage Only,Other - Vehicle to Vehicle,1,0,ATHLLON/SULWOOD INTERSECTION,-35.384319,149.093074
1092363,10-Jun-14,10:00,Injury,Right angle collision,1,1,BATTYE/BRAYBROOKE/PURDIE INTERSECTION,-35.247004,149.09778
1032857,3-Apr-12,20:56,Injury,Right angle collision,1,1,MASSON/MOORE INTERSECTION,-35.270238,149.129165
1028423,10-Feb-12,9:30,Injury,Right angle collision,1,1,DONALDSON/DOONKUNA/ELOUERA INTERSECTION,-35.275215,149.136949
1089692,17-Jun-14,17:01,Injury,Right angle collision,1,1,MASSON/MCCAUGHEY INTERSECTION,-35.269467999999996,149.123376
1048670,6-Nov-12,9:45,Injury,Right turn into oncoming vehicle,1,1,IPIMA/WISE INTERSECTION,-35.266245,149.136452
1088013,20-May-14,17:40,Property Damage Only,Right angle collision,1,0,SOUTHERN CROSS/STARKE (SE) INTERSECTION,-35.224525,149.03118700000002
1108727,24-Apr-15,7:00,Injury,Other - Vehicle to Vehicle,1,1,MORT STREET (COOYONG -> ELOUERA),-35.275593,149.131104
1039258,29-Jun-12,8:50,Injury,Other - Vehicle to Vehicle,1,1,COWPER STREET (MORPHETT -> DAVENPORT),-35.252396999999995,149.139576
1073184,23-Sep-13,16:45,Injury,Right angle collision,1,0,ALLAWOONA/GINNINDERRA/WANDERLIGHT INTERSECTION,-35.233785,149.087197
1040139,29-Jan-12,13:50,Property Damage Only,Other - Vehicle to Vehicle,1,0,ALLAWOONA/GINNINDERRA/WANDERLIGHT INTERSECTION,-35.233578,149.087334
1082003,20-Feb-14,6:45,Property Damage Only,Right turn into oncoming vehicle,1,0,MAJURA/SPITFIRE/MEDDHUNG INTERSECTION,-35.297544,149.187189
1112987,21-May-15,17:30,Injury,Other - Vehicle to Vehicle,1,1,ATHLLON/BEASLEY (SW) INTERSECTION,-35.371915,149.092895
