cd_code_06,usual_resident_population_,ier_score_2006,ranking_within_australia_rank_,ranking_within_australia_decile_,ranking_within_australia_percentile_,ranking_within_state_or_territory_state_,ranking_within_state_or_territory_rank_,ranking_within_state_or_territory_decile_,ranking_within_state_or_territory_percentile_
1052405,193,1078,29737,8,80,NSW,8924,8,76
1101702,477,970,12987,4,35,NSW,4241,4,36
1101905,366,905,5523,2,15,NSW,1947,2,17
1102006,361,998,17198,5,46,NSW,5394,5,46
1110113,177,999,17363,5,47,NSW,5452,5,47
1110504,689,924,7362,2,20,NSW,2528,3,22
1412303,608,1095,31631,9,85,NSW,9533,9,81
1110811,848,1040,24051,7,65,NSW,7184,7,61
1111415,602,927,7767,3,21,NSW,2667,3,23
1111809,444,870,3177,1,9,NSW,1173,1,10
1120709,618,1019,20537,6,55,NSW,6270,6,54
1140201,502,959,11444,4,31,NSW,3796,4,33
1052510,202,1024,21449,6,58,NSW,6483,6,55
1121202,670,1106,32612,9,88,NSW,9853,9,84
1121412,575,928,7828,3,21,NSW,2690,3,23
1121608,448,981,14573,4,39,NSW,4680,4,40
1122007,781,937,8845,3,24,NSW,3020,3,26
1151504,293,1047,25094,7,67,NSW,7488,7,64
1151708,227,986,15338,5,41,NSW,4866,5,42
4111213,304,1009,19002,6,51,SA ,1999,7,63
1140610,609,1152,35718,10,96,NSW,10952,10,93
1142006,272,1061,27359,8,74,NSW,8187,7,70
1142403,351,870,3203,1,9,NSW,1181,1,10
1151205,611,981,14508,4,39,NSW,4658,4,40
1160601,108,991,16048,5,43,NSW,5085,5,44
1160607,636,993,16444,5,44,NSW,5190,5,44
1161504,217,929,7913,3,22,NSW,2718,3,24
1301501,494,955,11055,3,30,NSW,3681,4,32
1161912,535,1020,20673,6,56,NSW,6297,6,54
1162102,130,1066,28092,8,75,NSW,8415,8,72
1162210,213,1066,28041,8,75,NSW,8402,8,72
1170904,323,1006,18449,5,50,NSW,5740,5,49
1310310,648,1100,32085,9,86,NSW,9684,9,82
1400701,323,598,160,1,1,NSW,25,1,1
1170507,282,1183,36763,10,99,NSW,11414,10,97
1412311,515,1027,21913,6,59,NSW,6582,6,56
1171602,604,1000,17413,5,47,NSW,5469,5,47
1180314,308,1082,30200,9,81,NSW,9067,8,77
1180512,631,1033,22814,7,61,NSW,6836,6,58
1181513,331,1034,22998,7,62,NSW,6894,6,59
1220603,820,1065,27841,8,75,NSW,8340,8,71
1220604,491,965,12395,4,34,NSW,4088,4,35
3162513,347,814,1402,1,4,QLD,181,1,3
1181702,276,787,960,1,3,NSW,298,1,3
1190405,308,955,10971,3,30,NSW,3656,4,31
1190801,519,899,5065,2,14,NSW,1798,2,16
1192002,472,927,7722,3,21,NSW,2654,3,23
1192004,138,883,3939,2,11,NSW,1419,2,13
1192612,213,818,1483,1,4,NSW,515,1,5
3061012,182,842,2116,1,6,QLD,295,1,4
1201614,1112,1065,27874,8,75,NSW,8350,8,71
1210906,1139,1018,20399,6,55,NSW,6227,6,53
1211010,269,1073,29045,8,78,NSW,8704,8,74
3231610,192,1117,33578,9,90,QLD,6668,9,90
1220706,685,1033,22914,7,62,NSW,6869,6,59
1222206,865,957,11254,4,31,NSW,3741,4,32
1230112,582,1109,32892,9,88,NSW,9947,9,85
1240504,722,1174,36514,10,98,NSW,11285,10,96
1241006,441,1049,25529,7,69,NSW,7603,7,65
1230811,255,962,11856,4,32,NSW,3925,4,34
1240306,593,1135,34810,10,93,NSW,10610,9,90
1261307,502,975,13707,4,37,NSW,4442,4,38
2352309,156,1138,34930,10,94,VIC,8705,10,96
1241305,667,1203,37146,10,100,NSW,11623,10,99
1242608,514,1002,17785,5,48,NSW,5555,5,48
1250304,799,1103,32422,9,87,NSW,9804,9,84
1250609,662,1005,18226,5,49,NSW,5678,5,49
1261103,531,1191,36932,10,99,NSW,11493,10,98
3211904,390,847,2267,1,7,QLD,325,1,5
1270303,748,757,670,1,2,NSW,191,1,2
1271706,648,933,8400,3,23,NSW,2879,3,25
1272015,388,993,16405,5,44,NSW,5179,5,44
1272211,654,990,15880,5,43,NSW,5025,5,43
1272607,776,1067,28199,8,76,NSW,8451,8,72
1272806,829,1080,30000,9,81,NSW,9007,8,77
3161815,275,814,1418,1,4,QLD,184,1,3
1272905,836,1057,26772,8,72,NSW,7989,7,68
1280808,574,1060,27132,8,73,NSW,8105,7,69
1280906,617,927,7680,3,21,NSW,2634,3,23
1281211,526,914,6343,2,17,NSW,2235,2,19
1291109,571,1080,30016,9,81,NSW,9016,8,77
1300902,661,995,16647,5,45,NSW,5258,5,45
1291313,773,1064,27756,8,75,NSW,8308,8,71
1291321,1673,1075,29282,8,79,NSW,8778,8,75
1300604,595,1053,26142,7,70,NSW,7791,7,66
1301311,479,833,1856,1,5,NSW,679,1,6
1312306,541,1158,35986,10,97,NSW,11059,10,94
1312506,759,1155,35831,10,96,NSW,10999,10,94
1320312,1063,999,17265,5,47,NSW,5418,5,46
1321411,298,829,1752,1,5,NSW,631,1,6
1330503,646,919,6872,2,19,NSW,2397,3,21
1361501,378,1056,26616,8,72,NSW,7939,7,68
2360111,409,1037,23514,7,63,VIC,5873,7,65
1312601,870,1095,31606,9,85,NSW,9524,9,81
1320301,725,939,9030,3,25,NSW,3071,3,26
1390913,575,1076,29393,8,79,NSW,8815,8,75
1330810,1024,1146,35404,10,95,NSW,10810,10,92
1331106,665,958,11360,4,31,NSW,3776,4,32
1332801,439,1095,31582,9,85,NSW,9518,9,81
1340211,582,914,6349,2,17,NSW,2238,2,19
1340513,1228,846,2261,1,7,NSW,828,1,8
1341602,883,901,5263,2,15,NSW,1866,2,16
1342209,664,1040,23989,7,65,NSW,7159,7,61
1351503,371,945,9764,3,27,NSW,3297,3,28
1351508,1255,998,17173,5,46,NSW,5385,5,46
4121411,351,1085,30537,9,82,SA ,2906,10,92
1362004,842,1069,28497,8,77,NSW,8536,8,73
1362812,1089,1000,17465,5,47,NSW,5484,5,47
1370411,444,1139,35027,10,94,NSW,10681,10,91
1371201,337,1186,36837,10,99,NSW,11447,10,97
1380905,476,884,4015,2,11,NSW,1441,2,13
1381207,739,1094,31518,9,85,NSW,9496,9,81
1391006,341,1043,24414,7,66,NSW,7286,7,62
1391101,505,1201,37116,10,100,NSW,11599,10,99
1381306,502,1180,36671,10,98,NSW,11362,10,97
1382212,562,1063,27669,8,74,NSW,8277,8,71
1382411,540,1116,33497,9,90,NSW,10168,9,87
1382508,649,1208,37221,10,100,NSW,11662,10,99
1382708,890,1197,37059,10,99,NSW,11566,10,98
1390701,331,1013,19533,6,53,NSW,6029,6,52
1390704,417,1096,31738,9,85,NSW,9563,9,81
1391405,605,1179,36648,10,98,NSW,11349,10,97
1400909,344,1006,18436,5,50,NSW,5734,5,49
1401308,271,947,9980,3,27,NSW,3363,3,29
1411108,431,900,5142,2,14,NSW,1826,2,16
1411109,785,898,4983,2,14,NSW,1770,2,15
1411705,652,1119,33736,10,91,NSW,10247,9,87
1412101,249,1152,35712,10,96,NSW,10949,10,93
1412102,461,1114,33328,9,89,NSW,10106,9,86
1413204,520,1047,25184,7,68,NSW,7515,7,64
1420501,311,868,3082,1,9,NSW,1139,1,10
1421009,345,935,8644,3,24,NSW,2946,3,25
1421108,243,1069,28500,8,77,NSW,8538,8,73
1430101,424,1071,28736,8,77,NSW,8600,8,73
1431702,939,1110,32965,9,89,NSW,9975,9,85
1431709,949,1139,34990,10,94,NSW,10671,10,91
1441201,731,1084,30406,9,82,NSW,9148,8,78
1441305,371,1217,37314,10,100,NSW,11718,10,100
1441708,278,1026,21795,6,59,NSW,6551,6,56
1442109,400,993,16423,5,44,NSW,5183,5,44
2010302,686,922,7112,2,19,VIC,1463,2,17
2011302,592,952,10644,3,29,VIC,2330,3,26
2020201,608,949,10310,3,28,VIC,2245,3,25
2070609,367,915,6504,2,18,VIC,1319,2,15
2070807,451,1015,19976,6,54,VIC,4855,6,54
3220815,347,921,7044,2,19,QLD,1239,2,17
2020205,878,943,9540,3,26,VIC,2051,3,23
2021805,612,822,1573,1,5,VIC,239,1,3
2030313,542,1054,26235,8,71,VIC,6641,8,74
2032011,464,989,15704,5,42,VIC,3693,5,41
2040108,115,911,6101,2,17,VIC,1213,2,14
2041610,330,1074,29238,8,79,VIC,7407,9,82
2050105,281,1051,25828,7,69,VIC,6527,8,72
2071111,389,941,9245,3,25,VIC,1981,3,22
2071414,239,883,3936,2,11,VIC,722,1,8
2273104,671,1139,35020,10,94,VIC,8727,10,96
2050502,578,968,12758,4,35,VIC,2907,4,32
2050605,598,1025,21506,6,58,VIC,5317,6,59
2050707,515,992,16181,5,44,VIC,3811,5,42
2050902,158,1019,20644,6,56,VIC,5057,6,56
2051005,708,934,8450,3,23,VIC,1799,2,20
2051307,368,1029,22273,6,60,VIC,5534,7,61
5010335,67,611,190,1,1,WA ,51,1,2
2051505,505,1049,25520,7,69,VIC,6452,8,71
2060101,365,1015,19889,6,54,VIC,4840,6,54
2120811,832,1098,31936,9,86,VIC,8049,9,89
2221502,773,945,9798,3,27,VIC,2124,3,24
2070508,547,995,16695,5,45,VIC,3950,5,44
2070512,112,1021,20847,6,56,VIC,5129,6,57
1101409,572,645,267,1,1,NSW,52,1,1
2071706,853,904,5480,2,15,VIC,1078,2,12
2071805,119,1141,35109,10,94,VIC,8748,10,97
2081201,517,869,3137,1,9,VIC,565,1,7
2081604,294,907,5722,2,16,VIC,1130,2,13
2091005,240,1054,26333,8,71,VIC,6666,8,74
2091504,527,920,6982,2,19,VIC,1429,2,16
2091604,400,1051,25867,7,70,VIC,6531,8,72
2100101,98,1031,22449,6,60,VIC,5580,7,62
2100203,148,1021,20858,6,56,VIC,5136,6,57
2161610,1234,994,16559,5,45,VIC,3910,5,43
2221504,542,814,1400,1,4,VIC,210,1,3
2100505,111,989,15777,5,43,VIC,3709,5,41
2100508,413,979,14182,4,38,VIC,3268,4,36
2110303,246,967,12601,4,34,VIC,2858,4,32
2112611,1137,936,8671,3,24,VIC,1836,3,21
2112814,149,922,7122,2,20,VIC,1464,2,17
2120302,464,926,7648,3,21,VIC,1611,2,18
2121246,485,1078,29746,8,80,VIC,7536,9,83
2130211,666,1008,18888,6,51,VIC,4546,5,50
2130311,535,900,5175,2,14,VIC,998,2,11
2130505,597,901,5262,2,15,VIC,1022,2,12
2130605,610,1025,21516,6,58,VIC,5320,6,59
2130902,203,836,1954,1,6,VIC,309,1,4
2131007,919,944,9599,3,26,VIC,2069,3,23
2131407,995,927,7715,3,21,VIC,1625,2,18
2141518,725,1187,36852,10,99,VIC,9051,10,100
2331911,567,913,6228,2,17,VIC,1236,2,14
2150404,962,1049,25442,7,68,VIC,6418,8,71
2150502,749,1104,32505,9,87,VIC,8178,9,90
2150911,258,1044,24736,7,67,VIC,6228,7,69
2151313,456,1088,30877,9,83,VIC,7804,9,86
2161008,1007,1064,27793,8,75,VIC,7052,8,78
1431410,238,900,5181,2,14,NSW,1840,2,16
2151410,579,1169,36363,10,98,VIC,8979,10,99
2151705,608,1063,27692,8,74,VIC,7022,8,78
2160901,543,880,3787,2,11,VIC,685,1,8
3051614,566,860,2740,1,8,QLD,413,1,6
2161106,723,997,16979,5,46,VIC,4031,5,45
2161315,243,1077,29552,8,79,VIC,7479,9,83
2161406,771,944,9598,3,26,VIC,2068,3,23
2161504,940,1059,27023,8,73,VIC,6832,8,76
2170410,269,978,14101,4,38,VIC,3248,4,36
2321109,322,1007,18635,5,50,VIC,4476,5,50
2171111,699,1058,26941,8,72,VIC,6813,8,75
2180404,386,1036,23332,7,63,VIC,5813,7,64
2181207,464,1067,28143,8,76,VIC,7145,8,79
2211013,364,1052,25924,7,70,VIC,6549,8,72
2220505,833,1131,34523,10,93,VIC,8630,10,95
2220806,550,1009,19021,6,51,VIC,4587,6,51
2181606,544,930,8010,3,22,VIC,1701,2,19
2181812,506,872,3306,1,9,VIC,594,1,7
2191105,786,1051,25748,7,69,VIC,6509,8,72
2191313,328,1083,30349,9,82,VIC,7683,9,85
2191510,672,971,13145,4,36,VIC,2984,4,33
2192105,224,1091,31253,9,84,VIC,7896,9,87
2200219,252,1011,19280,6,52,VIC,4655,6,52
2200312,357,950,10430,3,28,VIC,2276,3,26
2200711,243,938,8961,3,24,VIC,1909,3,21
2201011,832,966,12510,4,34,VIC,2833,4,32
2210207,684,912,6180,2,17,VIC,1227,2,14
2210611,836,991,16126,5,44,VIC,3797,5,42
2230105,661,1029,22275,6,60,VIC,5535,7,61
2230511,807,1200,37107,10,100,VIC,9083,10,100
2230910,670,1160,36056,10,97,VIC,8924,10,99
2231106,480,1059,26970,8,73,VIC,6820,8,75
2231502,603,1009,19039,6,51,VIC,4593,6,51
2240115,951,1123,34033,10,91,VIC,8518,10,94
2241408,663,1036,23309,7,63,VIC,5802,7,64
2273404,517,772,801,1,3,VIC,118,1,2
2273414,764,1007,18677,5,50,VIC,4489,5,50
2240202,749,1081,30055,9,81,VIC,7611,9,84
2241406,632,1055,26492,8,71,VIC,6703,8,74
2272409,505,1047,25251,7,68,VIC,6372,8,71
2251407,854,1161,36067,10,97,VIC,8928,10,99
2251411,876,1128,34358,10,92,VIC,8588,10,95
2251706,515,1012,19478,6,52,VIC,4702,6,52
2252013,743,1058,26843,8,72,VIC,6789,8,75
2271106,370,978,14060,4,38,VIC,3234,4,36
2272106,636,1026,21653,6,58,VIC,5361,6,59
2331308,588,920,6952,2,19,VIC,1419,2,16
2280801,686,1063,27642,8,74,VIC,7009,8,78
2281418,260,1089,30997,9,83,VIC,7832,9,87
2290714,263,837,1994,1,6,VIC,324,1,4
2290813,223,740,567,1,2,VIC,77,1,1
2290910,740,1016,20046,6,54,VIC,4883,6,54
2291010,277,900,5150,2,14,VIC,993,2,11
2291318,907,970,13016,4,35,VIC,2963,4,33
2291320,493,951,10570,3,29,VIC,2310,3,26
2291403,499,530,52,1,1,VIC,7,1,1
2292203,366,973,13413,4,36,VIC,3047,4,34
2300305,436,866,2997,1,9,VIC,531,1,6
2300603,556,1056,26637,8,72,VIC,6743,8,75
2301201,297,955,11072,3,30,VIC,2448,3,27
2301512,516,1009,18939,6,51,VIC,4563,6,51
2331602,692,925,7418,2,20,VIC,1550,2,18
2301803,785,866,2993,1,8,VIC,530,1,6
2310506,566,1050,25698,7,69,VIC,6491,8,72
2310510,619,1062,27539,8,74,VIC,6975,8,77
2310707,544,1055,26529,8,71,VIC,6713,8,74
2320102,347,1026,21758,6,59,VIC,5395,6,60
2320211,627,977,13983,4,38,VIC,3210,4,36
2320404,561,983,14879,4,40,VIC,3456,4,38
2320510,509,1002,17753,5,48,VIC,4237,5,47
2320805,716,929,7924,3,22,VIC,1681,2,19
2320812,526,937,8848,3,24,VIC,1876,3,21
2321001,464,1008,18875,6,51,VIC,4540,5,50
2321605,689,983,14797,4,40,VIC,3430,4,38
2321910,524,942,9430,3,26,VIC,2028,3,23
2330208,317,966,12409,4,34,VIC,2805,4,31
2340603,762,1013,19624,6,53,VIC,4750,6,53
2340813,807,1042,24387,7,66,VIC,6118,7,68
2341121,479,1072,28847,8,78,VIC,7328,9,81
2341302,413,1095,31652,9,85,VIC,7980,9,88
2341314,399,1133,34651,10,93,VIC,8651,10,96
2341712,809,1099,31953,9,86,VIC,8052,9,89
2342412,587,1076,29419,8,79,VIC,7447,9,82
2342418,835,1047,25145,7,68,VIC,6340,7,70
2342422,1195,1161,36088,10,97,VIC,8930,10,99
2342431,527,1050,25694,7,69,VIC,6489,8,72
2351303,248,1058,26845,8,72,VIC,6790,8,75
2351312,662,933,8419,3,23,VIC,1789,2,20
2351609,652,1152,35733,10,96,VIC,8871,10,98
2361108,549,1043,24441,7,66,VIC,6134,7,68
2361704,564,1105,32552,9,87,VIC,8189,10,91
2361803,824,975,13665,4,37,VIC,3114,4,35
2362011,803,1016,20018,6,54,VIC,4871,6,54
2371503,429,1002,17857,5,48,VIC,4265,5,47
2371507,536,966,12522,4,34,VIC,2836,4,32
3010402,338,1047,25208,7,68,QLD,4972,7,67
3010501,1042,636,249,1,1,QLD,22,1,1
3121706,422,889,4341,2,12,QLD,712,1,10
3130101,38,1037,23578,7,63,QLD,4674,7,63
3130702,867,1037,23540,7,63,QLD,4666,7,63
3131305,689,835,1932,1,6,QLD,268,1,4
3010902,63,1057,26720,8,72,QLD,5267,8,71
3011303,767,906,5643,2,16,QLD,966,2,13
3011310,449,906,5567,2,15,QLD,953,2,13
3011408,522,1077,29518,8,79,QLD,5817,8,78
3012103,1127,984,14946,4,40,QLD,2876,4,39
3012220,745,1013,19593,6,53,QLD,3819,6,52
3020103,174,796,1099,1,3,QLD,132,1,2
3021104,142,1077,29604,8,80,QLD,5827,8,79
3030318,625,1024,21425,6,58,QLD,4226,6,57
3030404,399,845,2214,1,6,QLD,314,1,5
3030907,129,950,10380,3,28,QLD,1949,3,27
3031204,131,1082,30179,9,81,QLD,5950,8,80
3040104,510,871,3249,1,9,QLD,511,1,7
3041028,591,915,6493,2,18,QLD,1122,2,16
3051105,328,1086,30614,9,82,QLD,6048,9,82
3062006,495,1064,27777,8,75,QLD,5463,8,74
3262808,518,1082,30181,9,81,QLD,5952,8,80
3070112,783,1060,27205,8,73,QLD,5357,8,72
3070709,316,909,5919,2,16,QLD,1016,2,14
3070901,974,1005,18260,5,49,QLD,3545,5,48
3071011,786,1066,28025,8,75,QLD,5501,8,74
3071710,375,895,4729,2,13,QLD,792,2,11
3140105,848,1026,21631,6,58,QLD,4273,6,58
3140603,628,967,12548,4,34,QLD,2390,4,33
3141205,166,819,1502,1,5,QLD,195,1,3
3072408,253,997,17033,5,46,QLD,3269,5,44
3081711,530,1018,20458,6,55,QLD,4023,6,54
3141909,834,1005,18233,5,49,QLD,3539,5,48
3150207,242,1106,32672,9,88,QLD,6479,9,87
3091002,116,1069,28460,8,76,QLD,5592,8,75
3100903,427,957,11281,4,31,QLD,2129,3,29
3141703,340,1087,30769,9,83,QLD,6086,9,82
3100910,616,932,8288,3,23,QLD,1508,3,21
3111314,186,1025,21479,6,58,QLD,4240,6,57
3111330,379,1117,33620,9,90,QLD,6676,9,90
3111901,510,1052,25938,7,70,QLD,5112,7,69
3120501,636,914,6398,2,18,QLD,1100,2,15
3120510,334,936,8679,3,24,QLD,1599,3,22
3121215,706,1133,34665,10,93,QLD,6901,10,93
3150603,684,1028,22001,6,59,QLD,4347,6,59
3160317,393,927,7744,3,21,QLD,1394,2,19
3160511,950,1053,26175,7,70,QLD,5157,7,70
3180516,489,1005,18389,5,50,QLD,3568,5,48
3151212,413,1014,19790,6,53,QLD,3854,6,52
3151317,321,1137,34925,10,94,QLD,6962,10,94
3170608,390,1057,26716,8,72,QLD,5265,8,71
1340507,743,961,11690,4,32,NSW,3872,4,33
3160715,812,1070,28624,8,77,QLD,5622,8,76
3160816,717,1137,34898,10,94,QLD,6954,10,94
3161103,504,970,12997,4,35,QLD,2480,4,34
3161503,534,892,4553,2,13,QLD,751,2,11
3161604,763,849,2351,1,7,QLD,345,1,5
3162308,121,1022,21092,6,57,QLD,4149,6,56
3162615,26,1034,22985,7,62,QLD,4567,7,62
3170101,516,907,5702,2,16,QLD,973,2,14
3170102,430,922,7157,2,20,QLD,1267,2,17
3180709,651,1048,25291,7,68,QLD,4993,7,67
3171812,859,1014,19702,6,53,QLD,3839,6,52
3172122,587,1080,29891,8,80,QLD,5878,8,79
3180310,534,1173,36479,10,98,QLD,7285,10,98
3201204,718,1216,37301,10,100,QLD,7435,10,100
3180713,732,1039,23889,7,64,QLD,4735,7,64
3181018,664,1191,36942,10,99,QLD,7369,10,99
3181306,1393,1207,37212,10,100,QLD,7414,10,100
3181705,301,1030,22419,6,60,QLD,4437,6,60
3182206,596,1073,28989,8,78,QLD,5695,8,77
3182301,928,919,6908,2,19,QLD,1221,2,17
5060701,392,1074,29164,8,78,WA ,2835,8,72
3190306,550,1151,35657,10,96,QLD,7120,10,96
3190710,447,930,8055,3,22,QLD,1456,2,20
3191903,35,796,1097,1,3,QLD,130,1,2
3192002,343,999,17243,5,47,QLD,3318,5,45
3192006,517,1096,31726,9,85,QLD,6293,9,85
3200303,561,1088,30903,9,83,QLD,6115,9,82
1401311,223,1032,22736,7,61,NSW,6811,6,58
3202813,844,1193,36978,10,99,QLD,7376,10,99
3203005,633,1015,19876,6,54,QLD,3870,6,52
3203402,280,923,7295,2,20,QLD,1302,2,18
3210106,628,1075,29290,8,79,QLD,5768,8,78
3210601,561,791,1017,1,3,QLD,115,1,2
3210808,318,816,1446,1,4,QLD,188,1,3
3211014,575,1100,32086,9,86,QLD,6361,9,86
3211102,627,1078,29692,8,80,QLD,5841,8,79
3212012,767,1188,36876,10,99,QLD,7357,10,99
3220907,655,997,16984,5,46,QLD,3256,5,44
3222001,998,1013,19568,6,53,QLD,3812,6,52
3222007,543,954,10934,3,30,QLD,2064,3,28
3222107,281,1062,27491,8,74,QLD,5408,8,73
3222202,428,993,16293,5,44,QLD,3129,5,42
3222304,494,1068,28316,8,76,QLD,5558,8,75
3230605,890,1103,32397,9,87,QLD,6421,9,87
3231710,534,971,13164,4,36,QLD,2511,4,34
3232310,331,1179,36641,10,98,QLD,7312,10,99
3240509,338,927,7743,3,21,QLD,1393,2,19
3241502,664,1105,32585,9,87,QLD,6464,9,87
4111508,705,1183,36761,10,99,SA ,3172,10,100
4120401,339,1051,25792,7,69,SA ,2578,9,82
3251007,326,1090,31148,9,84,QLD,6171,9,83
3251012,1210,1074,29235,8,79,QLD,5753,8,78
3251106,1163,968,12697,4,34,QLD,2419,4,33
3251902,1249,891,4451,2,12,QLD,734,1,10
3252010,545,1011,19354,6,52,QLD,3775,6,51
3260814,819,1170,36408,10,98,QLD,7274,10,98
4102003,321,964,12213,4,33,SA ,1326,5,42
4011104,155,1083,30359,9,82,SA ,2899,10,92
4011204,950,993,16433,5,44,SA ,1767,6,56
4020101,354,998,17210,5,46,SA ,1844,6,59
4100809,813,1025,21620,6,58,SA ,2230,8,71
3202714,636,1196,37028,10,99,QLD,7382,10,99
4020405,248,1023,21306,6,57,SA ,2194,7,70
4021103,599,980,14385,4,39,SA ,1547,5,49
4030903,830,1003,18022,5,49,SA ,1912,7,61
4101006,674,978,14104,4,38,SA ,1525,5,48
4040810,656,961,11684,4,32,SA ,1279,5,41
4041703,156,1067,28167,8,76,SA ,2757,9,87
4051207,389,760,684,1,2,SA ,112,1,4
4061005,696,1126,34211,10,92,SA ,3109,10,98
4061014,214,922,7145,2,20,SA ,839,3,27
4061604,335,1052,25966,7,70,SA ,2591,9,82
4101409,209,949,10251,3,28,SA ,1139,4,36
4102503,345,840,2075,1,6,SA ,303,1,10
4060302,518,1048,25258,7,68,SA ,2525,8,80
4092109,390,895,4738,2,13,SA ,583,2,19
4100510,565,997,17044,5,46,SA ,1826,6,58
4101414,442,963,12086,4,33,SA ,1316,5,42
4101507,116,701,402,1,2,SA ,40,1,2
4132002,449,918,6804,2,19,SA ,803,3,26
4060404,362,1001,17619,5,48,SA ,1880,6,60
4101711,299,874,3447,1,10,SA ,440,2,14
3222307,607,923,7217,2,20,QLD,1284,2,18
4061611,253,990,15877,5,43,SA ,1702,6,54
4061802,429,1057,26706,8,72,SA ,2649,9,84
4062105,243,1007,18579,5,50,SA ,1960,7,62
4071005,283,1024,21416,6,58,SA ,2209,7,70
4071904,351,1037,23488,7,63,SA ,2385,8,76
4110904,624,958,11402,4,31,SA ,1256,4,40
4080102,665,1069,28485,8,77,SA ,2786,9,88
4080306,405,1024,21357,6,58,SA ,2200,7,70
4080607,622,1066,28085,8,75,SA ,2749,9,87
4080710,602,981,14596,4,39,SA ,1568,5,50
4081009,665,795,1077,1,3,SA ,183,1,6
4081406,429,941,9270,3,25,SA ,1040,4,33
4091005,341,950,10438,3,28,SA ,1155,4,37
4111114,587,808,1267,1,4,SA ,205,1,7
4120409,509,1073,29109,8,78,SA ,2825,9,89
4120808,303,998,17137,5,46,SA ,1838,6,58
4120903,925,888,4279,2,12,SA ,534,2,17
4121404,535,1117,33570,9,90,SA ,3082,10,97
4121503,478,1044,24589,7,66,SA ,2474,8,78
4121712,432,1185,36811,10,99,SA ,3174,10,100
4130212,925,1032,22767,7,61,SA ,2328,8,74
4130502,242,955,11034,3,30,SA ,1212,4,39
4130506,563,1091,31188,9,84,SA ,2945,10,93
4130603,750,1040,24049,7,65,SA ,2433,8,77
4131011,332,1061,27379,8,74,SA ,2691,9,85
4131407,541,971,13095,4,35,SA ,1417,5,45
4131501,733,1096,31737,9,85,SA ,2977,10,94
4131502,694,1062,27544,8,74,SA ,2706,9,86
4140108,199,947,9994,3,27,SA ,1114,4,36
4140408,513,1020,20742,6,56,SA ,2149,7,68
4142207,312,972,13209,4,36,SA ,1439,5,46
4142907,420,956,11114,3,30,SA ,1217,4,39
5010107,545,1065,27962,8,75,WA ,2670,7,68
5010503,586,1009,18968,6,51,WA ,1682,5,43
5010613,529,1079,29844,8,80,WA ,2923,8,74
5010901,537,1023,21294,6,57,WA ,1914,5,49
3051609,493,873,3390,1,10,QLD,535,1,8
4140410,429,1112,33148,9,89,SA ,3059,10,97
4140612,828,987,15422,5,42,SA ,1662,6,53
