cd_code_06,usual_resident_population_,irsd_score_2006,ranking_within_australia_rank_,ranking_within_australia_decile_,ranking_within_australia_percentile_,ranking_within_state_or_territory_state_,ranking_within_state_or_territory_rank_,ranking_within_state_or_territory_decile_,ranking_within_state_or_territory_percentile_
1140913,639,759,806,1,3,NSW,266,1,3
1141708,269,939,8301,3,23,NSW,2851,3,25
1142011,160,1036,22150,6,60,NSW,6936,6,59
1150503,566,876,3611,1,10,NSW,1290,2,11
1150604,537,1025,20163,6,54,NSW,6395,6,55
1151508,110,1080,29811,8,80,NSW,9115,8,78
1380404,370,1084,30375,9,82,NSW,9279,8,79
1152304,709,1007,17283,5,47,NSW,5597,5,48
1152605,123,1011,17894,5,48,NSW,5752,5,49
1161013,836,1044,23683,7,64,NSW,7391,7,63
1180413,318,1127,35597,10,96,NSW,10952,10,93
1180713,792,1073,28612,8,77,NSW,8769,8,75
1181411,162,1007,17238,5,47,NSW,5586,5,48
3191905,418,1066,27552,8,74,QLD,5759,8,78
1181607,246,1011,17958,5,48,NSW,5775,5,49
1182402,455,947,9182,3,25,NSW,3173,3,27
1200701,483,924,6891,2,19,NSW,2389,3,21
3200803,828,998,15846,5,43,QLD,3234,5,44
1190101,620,1137,36336,10,98,NSW,11282,10,96
1190111,548,979,13053,4,35,NSW,4365,4,37
1191410,320,968,11604,4,31,NSW,3933,4,34
1192308,659,975,12588,4,34,NSW,4224,4,36
1193210,545,948,9315,3,25,NSW,3219,3,28
1332609,761,1057,25963,7,70,NSW,8051,7,69
1210507,491,969,11775,4,32,NSW,3984,4,34
1210509,762,927,7153,2,20,NSW,2484,3,22
1210608,395,996,15459,5,42,NSW,5081,5,44
1220912,553,1076,29075,8,78,NSW,8892,8,76
1340402,675,807,1399,1,4,NSW,504,1,5
1381001,630,984,13698,4,37,NSW,4555,4,39
1210805,281,941,8494,3,23,NSW,2928,3,25
1211204,929,998,15889,5,43,NSW,5210,5,45
1220903,458,1049,24576,7,66,NSW,7639,7,65
1301105,531,994,15124,5,41,NSW,4981,5,43
1221412,409,952,9677,3,26,NSW,3338,3,29
1221805,432,903,5215,2,14,NSW,1818,2,16
1222101,657,1099,32519,9,87,NSW,9900,9,84
1241304,518,1133,36059,10,97,NSW,11160,10,95
1230301,367,1085,30517,9,82,NSW,9323,8,79
1230307,499,1097,32304,9,87,NSW,9831,9,84
1230805,220,1061,26544,8,71,NSW,8216,7,70
1381410,478,1089,31164,9,84,NSW,9498,9,81
1230906,646,1061,26578,8,71,NSW,8221,7,70
1231709,369,1058,25972,7,70,NSW,8057,7,69
1240909,499,1086,30799,9,83,NSW,9411,8,80
1381508,441,1085,30553,9,82,NSW,9332,8,80
1242710,683,1168,37392,10,100,NSW,11768,10,100
1250603,1140,1046,23988,7,65,NSW,7466,7,64
1331203,845,975,12479,4,34,NSW,4181,4,36
1331605,553,925,6991,2,19,NSW,2423,3,21
1250702,1395,1130,35818,10,96,NSW,11062,10,94
1250707,488,1133,36043,10,97,NSW,11150,10,95
1250906,671,1126,35481,10,95,NSW,10913,10,93
1251303,946,1161,37305,10,100,NSW,11723,10,100
1260103,198,1070,28230,8,76,NSW,8673,8,74
1260311,1430,1101,32880,9,88,NSW,10004,9,85
1301703,550,659,382,1,2,NSW,96,1,1
1261411,474,1155,37164,10,100,NSW,11649,10,99
1270109,318,1004,16786,5,45,NSW,5469,5,47
1271406,695,842,2215,1,6,NSW,814,1,7
1271711,787,1115,34466,10,93,NSW,10540,9,90
1272402,618,992,14900,4,40,NSW,4912,5,42
1272802,315,1005,16904,5,46,NSW,5500,5,47
1272808,726,1128,35641,10,96,NSW,10970,10,93
1280303,683,857,2779,1,8,NSW,1003,1,9
1280313,643,933,7672,3,21,NSW,2649,3,23
1291107,765,946,9076,3,25,NSW,3134,3,27
1291115,586,1062,26739,8,72,NSW,8259,7,70
1291208,783,839,2152,1,6,NSW,790,1,7
1300615,898,1119,34887,10,94,NSW,10674,10,91
1300801,456,972,12208,4,33,NSW,4117,4,35
1340606,656,931,7512,3,21,NSW,2604,3,23
1340805,734,845,2342,1,7,NSW,858,1,8
1341511,614,883,4007,2,11,NSW,1431,2,13
1341617,980,870,3312,1,9,NSW,1191,2,11
1341809,962,975,12508,4,34,NSW,4193,4,36
1341810,860,983,13579,4,37,NSW,4521,4,39
1342104,459,1048,24330,7,65,NSW,7567,7,65
1342509,609,1037,22332,6,60,NSW,6996,6,60
1350910,1032,907,5501,2,15,NSW,1902,2,17
1360102,848,977,12853,4,35,NSW,4306,4,37
1360611,248,992,14880,4,40,NSW,4906,5,42
1360804,585,988,14291,4,39,NSW,4730,5,41
1361803,1175,1022,19738,6,53,NSW,6296,6,54
1362301,749,824,1733,1,5,NSW,619,1,6
1362410,349,996,15416,5,42,NSW,5064,5,43
1363106,355,986,14002,4,38,NSW,4646,4,40
1363210,262,1012,18005,5,49,NSW,5789,5,50
1370910,1034,1161,37295,10,100,NSW,11716,10,100
1371209,637,1138,36437,10,98,NSW,11329,10,96
1380310,748,1048,24422,7,66,NSW,7592,7,65
3211817,840,1032,21476,6,58,QLD,4501,7,61
1381511,315,1143,36702,10,98,NSW,11434,10,97
1382905,402,1103,33085,9,89,NSW,10058,9,86
1390410,674,1097,32283,9,87,NSW,9821,9,84
1391206,469,1099,32522,9,87,NSW,9902,9,84
1391707,532,1120,35029,10,94,NSW,10726,10,91
1400404,413,1097,32275,9,87,NSW,9818,9,84
1401205,277,1095,31961,9,86,NSW,9729,9,83
1401802,185,1060,26435,8,71,NSW,8186,7,70
1402006,643,894,4654,2,13,NSW,1639,2,14
1411501,492,1018,19052,6,51,NSW,6088,6,52
1412203,538,1103,33147,9,89,NSW,10075,9,86
1412414,253,1082,30159,9,81,NSW,9211,8,78
1412605,424,1128,35710,10,96,NSW,11003,10,94
1420302,949,1055,25484,7,69,NSW,7906,7,67
1420405,718,916,6247,2,17,NSW,2167,2,19
1421605,479,987,14198,4,38,NSW,4704,4,40
1430611,176,1120,34957,10,94,NSW,10700,10,91
1430808,192,1116,34636,10,93,NSW,10589,9,90
1431206,347,1145,36783,10,99,NSW,11470,10,98
1431607,542,617,288,1,1,NSW,57,1,1
3251508,566,758,799,1,3,QLD,91,1,2
1440610,670,1086,30705,9,82,NSW,9385,8,80
1440702,420,1098,32457,9,87,NSW,9880,9,84
1441509,400,1059,26283,8,71,NSW,8137,7,69
1441612,278,1009,17610,5,48,NSW,5681,5,49
1441905,360,1053,25250,7,68,NSW,7841,7,67
1442006,449,1051,24916,7,67,NSW,7734,7,66
1442203,572,1014,18357,5,50,NSW,5888,5,50
1442211,434,1118,34774,10,93,NSW,10632,10,91
2010101,187,988,14270,4,39,VIC,3011,4,34
2010901,553,962,10872,3,30,VIC,2227,3,25
2011708,522,940,8456,3,23,VIC,1731,2,20
2012102,228,1051,24881,7,67,VIC,5744,7,64
2012105,397,931,7491,2,20,VIC,1498,2,17
2030312,624,1020,19373,6,52,VIC,4287,5,48
2030807,819,1125,35434,10,95,VIC,8650,10,96
2040807,336,942,8602,3,23,VIC,1761,2,20
2081701,518,952,9752,3,27,VIC,1977,3,22
2040905,309,1009,17547,5,47,VIC,3782,5,42
2081804,566,898,4882,2,14,VIC,981,2,11
2050306,614,985,13842,4,37,VIC,2919,4,33
2050510,232,939,8325,3,23,VIC,1702,2,19
2051508,903,985,13901,4,38,VIC,2927,4,33
2070601,659,1034,21738,6,59,VIC,4921,6,55
2060103,230,1026,20445,6,55,VIC,4577,6,51
2060109,156,1014,18433,5,50,VIC,4035,5,45
2071116,562,1030,21141,6,57,VIC,4762,6,53
2080611,342,1048,24358,7,66,VIC,5621,7,62
2160614,277,887,4189,2,12,VIC,834,1,10
2060302,668,1052,25109,7,68,VIC,5813,7,64
2060605,368,953,9830,3,27,VIC,1993,3,22
2081408,523,973,12296,4,33,VIC,2582,3,29
2111712,431,1037,22294,6,60,VIC,5069,6,56
3200812,474,1013,18145,5,49,QLD,3808,6,52
2082304,393,868,3225,1,9,VIC,613,1,7
2091008,470,917,6291,2,17,VIC,1254,2,14
2091406,345,844,2294,1,7,VIC,405,1,5
2100409,544,1013,18293,5,49,VIC,3993,5,44
2100507,215,982,13489,4,37,VIC,2842,4,32
2130712,981,1038,22461,6,60,VIC,5110,6,57
2130903,636,852,2568,1,7,VIC,462,1,6
2131605,495,875,3548,1,10,VIC,680,1,8
4032503,663,951,9557,3,26,SA ,1016,4,32
2090206,114,1003,16634,5,45,VIC,3553,4,40
2090501,709,1012,18057,5,49,VIC,3933,5,44
3011110,281,978,12937,4,35,QLD,2583,4,35
2101114,579,805,1371,1,4,VIC,206,1,3
2101502,193,976,12744,4,35,VIC,2670,3,30
2110402,751,1036,22116,6,60,VIC,5032,6,56
2111003,573,1033,21620,6,58,VIC,4892,6,54
2111007,601,1020,19429,6,52,VIC,4300,5,48
2111802,750,1107,33622,9,90,VIC,8193,10,91
2112407,913,1045,23769,7,64,VIC,5462,7,61
2141515,609,1013,18157,5,49,VIC,3960,5,44
2113008,241,811,1485,1,4,VIC,230,1,3
2120205,972,971,12060,4,33,VIC,2521,3,28
2140410,464,1022,19674,6,53,VIC,4368,5,49
2140612,857,816,1570,1,5,VIC,244,1,3
2150105,641,1047,24185,7,65,VIC,5573,7,62
2151314,295,1059,26319,8,71,VIC,6166,7,68
2120411,530,1048,24303,7,65,VIC,5603,7,62
2120515,782,959,10504,3,29,VIC,2146,3,24
2121217,863,1018,19063,6,51,VIC,4205,5,47
2130116,969,1098,32429,9,87,VIC,7859,9,87
2141101,1296,1102,32925,9,88,VIC,8016,9,89
2141106,518,962,10861,3,29,VIC,2223,3,25
2141407,605,1049,24428,7,66,VIC,5638,7,62
2141436,419,959,10544,3,29,VIC,2153,3,24
2161212,495,1112,34170,10,92,VIC,8323,10,92
2161704,780,971,12093,4,33,VIC,2527,3,28
2170101,1035,1137,36299,10,97,VIC,8860,10,98
2170202,877,991,14641,4,40,VIC,3081,4,34
2170412,481,1061,26555,8,71,VIC,6235,7,69
2170715,476,1004,16764,5,45,VIC,3587,4,40
2230911,841,1060,26477,8,71,VIC,6213,7,69
2171204,1091,1129,35724,10,96,VIC,8716,10,96
2171208,630,1034,21747,6,59,VIC,4923,6,55
2190310,268,1002,16535,5,45,VIC,3521,4,39
2301503,687,899,4969,2,14,VIC,997,2,11
2180403,349,1000,16197,5,44,VIC,3437,4,38
2190211,346,1022,19695,6,53,VIC,4378,5,49
