sa2_code,sa2_name,period,number_new_houses,number_new_other_residential_building,number_total_dwellings,value_new_houses_aud000,value_new_other_residential_building_aud000,value_alterations_additions_aud000,value_total_residential_building_aud000,value_non_residential_building_aud000,value_total_building_aud000,id
101041017,Batemans Bay,2013-2014,34,4,38,10134.8,850.0,1339.4,12324.2,3412.8,15737.0,66
101041017,Batemans Bay,2012-2013,8,4,12,2130.6,1163.7,166.7,3461.0,170.0,3631.0,67
101041017,Batemans Bay,2011-2012,13,0,13,3974.6,0.0,324.7,4299.2,4479.8,8779.0,68
101041018,Batemans Bay - South,2014-2015,35,0,35,11650.1,0.0,2620.2,14270.4,3327.0,17597.4,69
101011001,Goulburn,2012-2013,51,10,61,11597.6,1010.0,1614.0,14221.6,6881.7,21103.3,3
101041018,Batemans Bay - South,2013-2014,41,0,41,13713.5,0.0,1860.8,15574.3,770.0,16344.3,70
101041018,Batemans Bay - South,2012-2013,8,0,8,1991.4,0.0,695.1,2686.5,0.0,2686.5,71
101041018,Batemans Bay - South,2011-2012,25,0,25,6151.5,0.0,735.7,6887.2,187.0,7074.2,72
101041019,Bega - Tathra,2014-2015,32,0,32,8449.8,0.0,1978.7,10428.5,5994.4,16422.9,73
101041019,Bega - Tathra,2013-2014,38,0,38,11709.4,0.0,1876.9,13586.3,136194.5,149780.8,74
101041019,Bega - Tathra,2012-2013,26,0,26,7500.0,0.0,1189.4,8689.4,840.6,9529.9,75
101041019,Bega - Tathra,2011-2012,36,0,36,8878.4,0.0,2156.9,11035.3,6995.0,18030.3,76
101041020,Bega-Eden Hinterland,2014-2015,45,0,46,13481.3,0.0,2357.4,15838.8,771.3,16610.1,77
101041020,Bega-Eden Hinterland,2013-2014,40,0,40,9327.3,0.0,1464.0,10791.3,5638.4,16429.7,78
101041020,Bega-Eden Hinterland,2012-2013,21,0,23,6323.4,0.0,2125.2,8448.6,9658.0,18106.6,79
101041020,Bega-Eden Hinterland,2011-2012,50,0,50,11724.3,0.0,1588.0,13312.3,2881.2,16193.5,80
101041021,Broulee - Tomakin,2014-2015,39,4,43,12046.1,1080.0,2172.9,15299.0,8487.6,23786.6,81
101041021,Broulee - Tomakin,2013-2014,34,31,65,10969.7,5000.0,1981.9,17951.6,0.0,17951.6,82
101041021,Broulee - Tomakin,2012-2013,11,0,11,2683.3,0.0,527.8,3211.0,245.0,3456.0,83
101041021,Broulee - Tomakin,2011-2012,17,0,17,4287.1,0.0,598.9,4886.0,3950.0,8836.0,84
101041022,Deua - Wadbilliga,2014-2015,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,85
101041022,Deua - Wadbilliga,2013-2014,0,0,0,0.0,0.0,12.0,12.0,0.0,12.0,86
101011001,Goulburn,2011-2012,106,0,115,20776.9,0.0,4639.0,25415.9,46757.2,72173.2,4
101011002,Goulburn Region,2014-2015,57,0,58,14524.4,0.0,2458.3,16982.8,12618.8,29601.5,5
101011002,Goulburn Region,2013-2014,23,0,23,6134.4,0.0,1767.6,7902.0,104.5,8006.5,6
101011002,Goulburn Region,2012-2013,26,0,26,5968.3,0.0,1235.6,7203.8,100.0,7303.8,7
101011002,Goulburn Region,2011-2012,56,0,56,13168.6,0.0,2822.0,15990.6,992.0,16982.6,8
101011003,Yass,2014-2015,53,13,67,13598.1,3360.0,446.2,17404.3,17839.8,35244.1,9
101011003,Yass,2013-2014,36,0,36,9146.2,0.0,522.8,9669.0,12420.0,22089.0,10
101011003,Yass,2012-2013,30,0,30,8138.2,0.0,303.4,8441.6,1139.8,9581.4,11
101011003,Yass,2011-2012,55,0,55,14235.8,0.0,1219.7,15455.5,2141.2,17596.7,12
101011004,Yass Region,2014-2015,102,3,106,38758.7,1120.0,2521.4,42400.1,4017.1,46417.3,13
101011004,Yass Region,2013-2014,96,0,96,30565.7,0.0,1934.8,32500.5,2051.8,34552.3,14
101011004,Yass Region,2012-2013,61,0,61,18168.3,0.0,592.8,18761.1,1887.1,20648.2,15
101011004,Yass Region,2011-2012,125,2,129,41819.3,1275.5,6857.3,49952.1,1720.8,51672.9,16
101011005,Young,2014-2015,30,4,34,7827.3,787.5,1394.0,10008.8,775.6,10784.4,17
101011005,Young,2013-2014,28,2,30,6843.7,330.0,2273.2,9446.9,2458.0,11904.9,18
101011005,Young,2012-2013,11,2,14,2848.6,280.0,891.2,4019.8,250.0,4269.8,19
101011005,Young,2011-2012,16,10,26,4091.5,1310.0,2416.6,7818.1,1896.5,9714.6,20
101011006,Young Region,2014-2015,21,0,21,5253.1,0.0,1176.3,6429.4,2242.5,8671.9,21
101011006,Young Region,2013-2014,19,0,19,3562.2,0.0,1750.3,5312.5,14290.0,19602.5,22
101021008,Karabar,2014-2015,4,0,5,1314.7,0.0,878.6,2193.3,350.0,2543.3,29
101041022,Deua - Wadbilliga,2012-2013,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,87
101041022,Deua - Wadbilliga,2011-2012,0,0,0,0.0,0.0,75.0,75.0,0.0,75.0,88
101041023,Eden,2014-2015,9,0,9,3293.3,0.0,973.1,4266.4,280.0,4546.4,89
101041023,Eden,2013-2014,12,0,12,3768.2,0.0,233.0,4001.2,0.0,4001.2,90
101041023,Eden,2012-2013,6,0,6,1781.8,0.0,398.8,2180.6,60.0,2240.6,91
101041023,Eden,2011-2012,12,0,12,3518.8,0.0,626.7,4145.4,370.1,4515.6,92
101041024,Eurobodalla Hinterland,2014-2015,18,0,19,4874.4,0.0,1391.5,6265.8,1050.0,7315.8,93
101041024,Eurobodalla Hinterland,2013-2014,19,2,21,5178.3,1000.0,763.3,6941.6,157.9,7099.5,94
101041024,Eurobodalla Hinterland,2012-2013,3,0,4,815.0,0.0,406.5,1221.5,0.0,1221.5,95
101041024,Eurobodalla Hinterland,2011-2012,6,0,6,1432.3,0.0,698.5,2130.7,4875.0,7005.7,96
101041025,Merimbula - Tura Beach,2014-2015,64,18,84,22095.3,3640.0,3109.9,28845.3,1633.0,30478.3,97
101041025,Merimbula - Tura Beach,2013-2014,65,0,65,22046.5,0.0,3138.6,25185.1,5891.5,31076.6,98
101041025,Merimbula - Tura Beach,2012-2013,26,0,27,8334.8,0.0,1282.3,9617.1,769.0,10386.1,99
101041025,Merimbula - Tura Beach,2011-2012,42,7,49,13922.3,850.0,3925.5,18697.8,2375.0,21072.8,100
101041026,Moruya - Tuross Head,2014-2015,36,0,36,10139.6,0.0,3419.2,13558.7,5797.7,19356.5,101
101041026,Moruya - Tuross Head,2013-2014,32,2,34,8338.5,460.0,3125.7,11924.2,8966.4,20890.6,102
101041026,Moruya - Tuross Head,2012-2013,7,0,7,1612.0,0.0,765.0,2377.0,240.0,2617.0,103
101041026,Moruya - Tuross Head,2011-2012,16,0,16,3852.6,0.0,1288.2,5140.8,524.0,5664.8,104
101041027,Narooma - Bermagui,2014-2015,40,2,43,12965.3,300.0,4550.9,17816.2,13251.0,31067.2,105
101041027,Narooma - Bermagui,2013-2014,29,2,32,8941.0,198.5,2465.4,11604.9,1474.0,13078.9,106
101041027,Narooma - Bermagui,2012-2013,7,0,8,1822.5,0.0,822.7,2645.2,0.0,2645.2,107
101041027,Narooma - Bermagui,2011-2012,32,3,36,8616.2,1043.0,2130.7,11789.8,210.0,11999.8,108
102011028,Avoca Beach - Copacabana,2014-2015,24,8,32,8299.7,2500.0,2893.2,13692.9,0.0,13692.9,109
102011028,Avoca Beach - Copacabana,2013-2014,12,4,16,5841.1,775.0,4926.0,11542.1,350.0,11892.1,110
102011028,Avoca Beach - Copacabana,2012-2013,11,0,11,5256.4,0.0,2180.3,7436.7,9550.0,16986.7,111
101021008,Karabar,2013-2014,2,0,2,455.0,0.0,1010.4,1465.5,0.0,1465.5,30
102011028,Avoca Beach - Copacabana,2011-2012,12,2,14,5545.1,1039.5,4316.4,10901.0,415.0,11316.0,112
102011029,Box Head - MacMasters Beach,2014-2015,23,2,25,8974.5,150.0,9001.8,18126.3,90.0,18216.3,113
102011029,Box Head - MacMasters Beach,2013-2014,25,0,26,11619.0,0.0,7679.5,19298.5,1881.5,21180.0,114
102011029,Box Head - MacMasters Beach,2012-2013,10,0,10,5104.7,0.0,3166.2,8270.9,400.0,8670.9,115
102011029,Box Head - MacMasters Beach,2011-2012,19,0,20,8678.5,0.0,6184.3,14862.8,3760.0,18622.8,116
102011030,Calga - Kulnura,2014-2015,10,0,11,3563.5,0.0,2509.1,6072.6,18891.1,24963.7,117
102011030,Calga - Kulnura,2013-2014,12,0,12,2479.4,0.0,4218.5,6697.9,5974.9,12672.8,118
102011030,Calga - Kulnura,2012-2013,10,0,10,2722.7,0.0,1721.4,4444.1,2750.0,7194.1,119
102011030,Calga - Kulnura,2011-2012,8,2,10,2773.4,650.0,799.5,4222.9,12115.4,16338.2,120
102011031,Erina - Green Point,2014-2015,13,0,13,4660.5,0.0,4633.3,9293.8,16793.3,26087.1,121
102011031,Erina - Green Point,2013-2014,13,31,45,4548.9,3877.8,2897.3,11324.0,8945.9,20269.9,122
102011031,Erina - Green Point,2012-2013,5,2,8,1554.1,500.0,1168.2,3222.4,6319.5,9541.9,123
102011031,Erina - Green Point,2011-2012,11,2,14,3877.3,308.0,2884.1,7069.4,15705.0,22774.4,124
102011032,Gosford - Springfield,2014-2015,12,246,258,3441.1,47604.7,1891.2,52937.0,32512.5,85449.5,125
102011032,Gosford - Springfield,2013-2014,15,150,166,4314.0,37670.2,1893.5,43877.7,50246.8,94124.5,126
102011032,Gosford - Springfield,2012-2013,5,9,14,1432.6,2025.0,880.9,4338.6,12978.9,17317.5,127
102011032,Gosford - Springfield,2011-2012,4,27,32,1126.8,4000.0,1990.7,7117.5,15718.5,22836.1,128
106041128,Scone,2012-2013,17,27,44,6374.0,4317.0,881.2,11572.2,928.0,12500.2,511
106041128,Scone,2011-2012,29,10,39,9762.8,1950.0,1302.6,13015.4,2367.0,15382.4,512
106041129,Scone Region,2014-2015,14,2,16,3635.0,498.0,1298.9,5431.9,0.0,5431.9,513
106041129,Scone Region,2013-2014,36,0,36,8972.7,0.0,1572.1,10544.8,1155.2,11700.0,514
106041129,Scone Region,2012-2013,11,0,11,3275.1,0.0,732.9,4008.0,288.0,4296.0,515
106041129,Scone Region,2011-2012,35,4,39,8210.5,580.0,1523.1,10313.5,4181.9,14495.5,516
107011130,Berkeley - Warrawong - Windang,2014-2015,50,33,85,15218.2,6676.7,3680.8,25575.7,6994.2,32569.9,517
107011130,Berkeley - Warrawong - Windang,2013-2014,34,18,52,8487.4,3072.0,2490.0,14049.3,2193.0,16242.3,518
101021008,Karabar,2012-2013,1,0,1,250.0,0.0,242.6,492.6,60.0,552.6,31
102011038,Saratoga - Davistown,2013-2014,9,0,10,1911.2,0.0,2444.1,4355.3,140.0,4495.3,150
102011038,Saratoga - Davistown,2012-2013,6,0,6,2515.1,0.0,1727.0,4242.1,900.0,5142.1,151
102011038,Saratoga - Davistown,2011-2012,17,2,19,5450.9,25.0,2427.1,7903.1,0.0,7903.1,152
102011039,Terrigal - North Avoca,2014-2015,32,35,68,12745.2,9785.2,10108.0,32638.4,239.2,32877.6,153
102011039,Terrigal - North Avoca,2013-2014,20,54,76,6924.6,13178.2,5356.6,25459.4,770.8,26230.2,154
102011039,Terrigal - North Avoca,2012-2013,12,0,12,5688.5,0.0,2999.6,8688.1,0.0,8688.1,155
102011039,Terrigal - North Avoca,2011-2012,13,2,15,5092.5,990.0,3873.7,9956.1,1587.0,11543.1,156
102011040,Umina - Booker Bay - Patonga,2014-2015,109,53,163,16790.7,11752.7,5216.0,33759.3,2766.6,36525.9,157
102011040,Umina - Booker Bay - Patonga,2013-2014,94,41,142,13612.7,8473.0,6613.8,28699.4,2449.0,31148.4,158
102011040,Umina - Booker Bay - Patonga,2012-2013,31,8,42,6099.5,1540.0,1660.1,9299.6,1504.0,10803.6,159
102011040,Umina - Booker Bay - Patonga,2011-2012,39,12,57,12466.6,2350.0,4716.0,19532.6,310.0,19842.6,160
102011041,Wamberal - Forresters Beach,2014-2015,21,62,84,7531.2,11120.0,5615.3,24266.5,1331.3,25597.8,161
102011041,Wamberal - Forresters Beach,2013-2014,17,4,21,5144.2,2150.0,4473.5,11767.7,6353.3,18121.0,162
102011041,Wamberal - Forresters Beach,2012-2013,10,0,10,2715.5,0.0,2098.4,4813.8,0.0,4813.8,163
102011041,Wamberal - Forresters Beach,2011-2012,19,0,19,7796.2,0.0,5331.3,13127.5,4744.0,17871.5,164
102011042,Woy Woy - Blackwall,2014-2015,42,27,69,6544.4,4180.0,3219.5,13943.9,15435.9,29379.9,165
102011042,Woy Woy - Blackwall,2013-2014,39,40,81,4831.6,8299.7,1621.8,14753.1,3656.9,18410.0,166
102011042,Woy Woy - Blackwall,2012-2013,16,9,28,2519.0,1500.0,1025.7,5044.7,280.0,5324.7,167
102011042,Woy Woy - Blackwall,2011-2012,18,36,54,3709.6,5615.0,2323.5,11648.1,1037.7,12685.8,168
107011130,Berkeley - Warrawong - Windang,2012-2013,19,10,29,5402.4,1752.0,1342.7,8497.1,6293.0,14790.1,519
107011130,Berkeley - Warrawong - Windang,2011-2012,29,21,51,8558.1,2718.0,3761.9,15038.0,111716.9,126755.0,520
107011131,Dapto - Avondale,2014-2015,120,63,184,33042.6,11319.0,2475.0,46836.6,9221.0,56057.6,521
107011131,Dapto - Avondale,2013-2014,55,12,68,14130.2,2377.3,2167.5,18674.9,1882.2,20557.2,522
107011131,Dapto - Avondale,2012-2013,25,4,29,6354.1,700.0,1482.7,8536.8,0.0,8536.8,523
107011131,Dapto - Avondale,2011-2012,36,2,38,9148.1,300.0,2474.9,11923.0,4664.5,16587.6,524
101021008,Karabar,2011-2012,4,0,4,696.8,0.0,1089.4,1786.3,0.0,1786.3,32
102021051,Ourimbah - Fountaindale,2012-2013,5,0,5,1527.5,0.0,582.3,2109.7,624.2,2733.9,203
102021051,Ourimbah - Fountaindale,2011-2012,4,0,4,1221.0,0.0,1134.3,2355.3,331.5,2686.9,204
102021052,Summerland Point - Gwandalan,2014-2015,21,2,23,4949.0,350.0,883.6,6182.6,95.0,6277.6,205
102021052,Summerland Point - Gwandalan,2013-2014,18,0,18,3320.9,0.0,608.3,3929.2,0.0,3929.2,206
102021052,Summerland Point - Gwandalan,2012-2013,7,0,7,1876.7,0.0,195.9,2072.6,717.2,2789.9,207
102021052,Summerland Point - Gwandalan,2011-2012,11,0,11,2713.9,0.0,1485.3,4199.1,180.0,4379.1,208
102021053,The Entrance,2014-2015,39,10,51,12671.6,4881.8,4823.7,22377.1,484.0,22861.1,209
102021053,The Entrance,2013-2014,29,104,133,7769.9,17080.6,3012.1,27862.6,6260.0,34122.6,210
102021053,The Entrance,2012-2013,14,14,29,3602.3,3057.9,2355.8,9015.9,253.7,9269.6,211
102021053,The Entrance,2011-2012,18,5,23,4976.8,790.0,1380.6,7147.4,915.0,8062.4,212
102021054,Toukley - Norah Head,2014-2015,14,2,18,2584.2,360.5,3237.8,6182.6,715.5,6898.1,213
102021054,Toukley - Norah Head,2013-2014,13,2,15,2781.7,316.0,2186.2,5283.9,2477.5,7761.4,214
102021054,Toukley - Norah Head,2012-2013,15,3,18,3043.7,420.0,889.4,4353.1,520.0,4873.1,215
102021054,Toukley - Norah Head,2011-2012,13,0,16,3065.0,0.0,2714.8,5779.8,4513.4,10293.2,216
102021055,Tuggerah - Kangy Angy,2014-2015,4,0,4,943.5,0.0,212.8,1156.3,23753.6,24909.9,217
102021055,Tuggerah - Kangy Angy,2013-2014,11,28,39,3477.0,3288.0,387.8,7152.8,18564.6,25717.4,218
102021055,Tuggerah - Kangy Angy,2012-2013,6,0,6,1931.9,0.0,233.5,2165.3,3588.3,5753.6,219
102021055,Tuggerah - Kangy Angy,2011-2012,19,0,19,5561.0,0.0,562.5,6123.5,18024.9,24148.4,220
107011132,Horsley - Kembla Grange,2014-2015,64,2,67,17459.7,439.0,1136.3,19035.0,4040.0,23075.0,525
107011132,Horsley - Kembla Grange,2013-2014,180,2,182,46726.5,240.0,655.2,47621.7,0.0,47621.7,526
107011132,Horsley - Kembla Grange,2012-2013,39,0,39,10310.2,0.0,839.9,11150.1,4298.9,15449.0,527
107011132,Horsley - Kembla Grange,2011-2012,13,2,15,3324.5,180.0,449.5,3954.0,8060.0,12014.0,528
107011133,Port Kembla Industrial,2014-2015,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,529
107011133,Port Kembla Industrial,2013-2014,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,530
101021009,Queanbeyan,2014-2015,21,42,63,6302.8,8170.8,2141.8,16615.4,3295.0,19910.4,33
102021057,Wyong,2011-2012,32,10,42,7527.6,1699.5,723.6,9950.8,6579.9,16530.7,228
103011058,Bathurst,2014-2015,64,17,82,19349.6,2736.0,5439.2,27524.8,28755.6,56280.4,229
103011058,Bathurst,2013-2014,109,26,136,26959.7,4609.3,4614.8,36183.7,41491.8,77675.5,230
103011058,Bathurst,2012-2013,57,45,103,14753.7,7704.1,2236.9,24694.6,19560.6,44255.3,231
103011058,Bathurst,2011-2012,74,45,119,20078.8,7410.0,3962.0,31450.8,17178.1,48628.9,232
103011059,Bathurst - East,2014-2015,132,99,231,34498.4,19540.0,654.9,54693.3,22182.1,76875.4,233
103011059,Bathurst - East,2013-2014,94,32,127,23466.9,4950.0,776.8,29193.7,22388.9,51582.6,234
103011059,Bathurst - East,2012-2013,48,16,64,13016.0,3344.6,1788.9,18149.4,49761.4,67910.8,235
103011059,Bathurst - East,2011-2012,54,4,58,15504.0,808.3,698.2,17010.5,11285.9,28296.4,236
103011060,Bathurst Region,2014-2015,26,0,27,6707.3,0.0,1014.9,7722.2,5516.0,13238.2,237
103011060,Bathurst Region,2013-2014,25,0,26,5575.2,0.0,2426.8,8002.0,635.6,8637.5,238
103011060,Bathurst Region,2012-2013,32,0,32,7276.6,0.0,1151.1,8427.7,750.0,9177.7,239
103011060,Bathurst Region,2011-2012,25,0,25,6455.8,0.0,1442.6,7898.4,5720.0,13618.4,240
103011061,Oberon,2014-2015,11,0,11,3450.7,0.0,710.8,4161.6,298.8,4460.3,241
103011061,Oberon,2013-2014,9,0,9,2352.9,0.0,283.1,2636.0,418.9,3055.0,242
103011061,Oberon,2012-2013,4,0,4,654.0,0.0,262.0,916.0,10000.0,10916.0,243
103011061,Oberon,2011-2012,6,0,6,1410.0,0.0,621.6,2031.6,470.0,2501.6,244
103021062,Condobolin,2014-2015,6,2,8,2063.0,531.7,452.7,3047.4,436.0,3483.4,245
103021062,Condobolin,2013-2014,5,0,5,1406.7,0.0,484.7,1891.4,1248.5,3139.9,246
103021062,Condobolin,2012-2013,5,3,8,1510.0,600.0,487.8,2597.8,6984.0,9581.8,247
103021062,Condobolin,2011-2012,9,0,9,3046.7,0.0,981.7,4028.5,6964.7,10993.2,248
101021009,Queanbeyan,2013-2014,14,39,55,2391.9,8330.4,1260.2,11982.4,8031.6,20014.0,34
103021063,Cowra,2014-2015,11,2,14,2971.5,400.0,950.4,4322.0,2149.4,6471.3,249
103021063,Cowra,2013-2014,14,0,14,3907.6,0.0,1430.2,5337.7,7471.4,12809.2,250
103021063,Cowra,2012-2013,7,0,7,1728.0,0.0,420.2,2148.2,553.2,2701.4,251
103021063,Cowra,2011-2012,13,0,13,3496.0,0.0,691.0,4187.0,8227.6,12414.6,252
103021064,Cowra Region,2014-2015,22,0,22,6295.8,0.0,917.7,7213.5,2068.5,9282.0,253
103021064,Cowra Region,2013-2014,13,0,13,2482.3,0.0,910.4,3392.6,2825.7,6218.3,254
103021064,Cowra Region,2012-2013,6,0,6,1408.4,0.0,696.6,2105.0,253.0,2358.0,255
103021064,Cowra Region,2011-2012,16,0,17,4033.8,0.0,601.2,4635.0,3200.5,7835.5,256
103021065,Forbes,2014-2015,13,0,13,4544.3,0.0,1532.7,6077.0,22528.8,28605.8,257
103021065,Forbes,2013-2014,13,0,13,3935.4,0.0,1825.7,5761.0,4112.5,9873.5,258
103021065,Forbes,2012-2013,7,0,7,1709.8,0.0,1371.2,3081.0,1780.0,4861.0,259
103021065,Forbes,2011-2012,10,0,10,2703.8,0.0,594.8,3298.6,17879.1,21177.7,260
103021066,Grenfell,2014-2015,13,0,13,2701.2,0.0,291.0,2992.1,549.0,3541.1,261
103021066,Grenfell,2013-2014,15,0,15,4214.5,0.0,357.2,4571.7,1199.0,5770.6,262
103021066,Grenfell,2012-2013,5,6,11,1092.6,637.5,318.2,2048.3,137.0,2185.3,263
103021066,Grenfell,2011-2012,13,0,13,3739.8,0.0,970.2,4710.0,110.0,4820.0,264
107011133,Port Kembla Industrial,2012-2013,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,531
107011133,Port Kembla Industrial,2011-2012,0,0,0,0.0,0.0,0.0,0.0,18500.0,18500.0,532
107011134,Unanderra - Mount Kembla,2014-2015,11,2,14,3702.9,450.0,2329.8,6482.7,5996.8,12479.5,533
107011134,Unanderra - Mount Kembla,2013-2014,17,0,17,6109.2,0.0,2710.5,8819.6,12611.9,21431.5,534
107011134,Unanderra - Mount Kembla,2012-2013,5,0,5,1844.9,0.0,1477.6,3322.5,47582.0,50904.5,535
101021009,Queanbeyan,2012-2013,1,81,84,306.9,14135.0,1541.2,15983.1,33430.3,49413.3,35
103031071,Lithgow Region,2013-2014,52,8,60,13650.7,1417.3,1752.1,16820.1,2421.9,19241.9,282
103031071,Lithgow Region,2012-2013,15,2,19,4986.1,180.0,1968.1,7134.2,2475.8,9610.0,283
103031071,Lithgow Region,2011-2012,37,7,44,11471.7,1415.8,2022.7,14910.2,6836.3,21746.5,284
103031072,Mudgee,2014-2015,25,0,25,6589.7,0.0,1698.9,8288.7,7967.7,16256.4,285
103031072,Mudgee,2013-2014,49,44,93,12930.4,9019.0,1924.8,23874.3,2534.6,26408.9,286
103031072,Mudgee,2012-2013,28,10,38,7321.3,1698.0,845.5,9864.8,2447.8,12312.6,287
103031072,Mudgee,2011-2012,42,13,55,13482.3,2669.1,2052.4,18203.8,6164.3,24368.1,288
103031073,Mudgee Region - East,2014-2015,8,0,9,1502.0,0.0,581.4,2083.4,533.8,2617.2,289
103031073,Mudgee Region - East,2013-2014,10,0,10,2676.9,0.0,495.8,3172.7,1018.0,4190.7,290
103031073,Mudgee Region - East,2012-2013,6,0,6,1255.4,0.0,358.3,1613.7,0.0,1613.7,291
103031073,Mudgee Region - East,2011-2012,5,4,9,1238.5,819.0,488.1,2545.6,1231.6,3777.2,292
103031074,Mudgee Region - West,2014-2015,18,0,18,4250.3,0.0,1042.6,5292.9,1006.6,6299.4,293
103031074,Mudgee Region - West,2013-2014,22,0,22,6188.9,0.0,1397.7,7586.6,1815.1,9401.7,294
103031074,Mudgee Region - West,2012-2013,17,0,18,4431.4,0.0,584.0,5015.4,296.8,5312.1,295
103031074,Mudgee Region - West,2011-2012,18,2,21,4583.0,368.7,805.4,5757.1,3995.5,9752.6,296
103031075,Wollangambe - Wollemi,2014-2015,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,297
103031075,Wollangambe - Wollemi,2013-2014,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,298
103031075,Wollangambe - Wollemi,2012-2013,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,299
103031075,Wollangambe - Wollemi,2011-2012,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,300
103041076,Blayney,2014-2015,12,0,12,3924.4,0.0,735.9,4660.3,596.5,5256.8,301
101021009,Queanbeyan,2011-2012,7,154,161,1245.0,22238.0,1320.1,24803.1,3631.5,28434.7,36
101021010,Queanbeyan - East,2014-2015,0,4,4,0.0,759.6,1117.1,1876.7,3811.4,5688.1,37
101021010,Queanbeyan - East,2013-2014,2,12,16,383.6,2527.3,1508.9,4419.8,1422.0,5841.8,38
101021010,Queanbeyan - East,2012-2013,1,3,4,100.0,400.0,233.4,733.4,915.0,1648.4,39
101021010,Queanbeyan - East,2011-2012,0,32,32,0.0,5140.7,815.2,5956.0,3252.3,9208.2,40
