lga_code16,copsw_2000_2999_h_0,copsw_2000_2999_h_1_15,copsw_2000_2999_h_16_24,copsw_2000_2999_h_25_34,copsw_2000_2999_h_35_39,copsw_2000_2999_h_40,copsw_2000_2999_h_41_48,copsw_2000_2999_h_49mo,copsw_2000_2999_h_ns,copsw_2000_2999_h_tot,copsw_3000mo_h_0,copsw_3000mo_h_1_15,copsw_3000mo_h_16_24,copsw_3000mo_h_25_34,copsw_3000mo_h_35_39,copsw_3000mo_h_40,copsw_3000mo_h_41_48,copsw_3000mo_h_49mo,copsw_3000mo_h_ns,copsw_3000mo_h_tot,copsw_pins_h_0,copsw_pins_h_1_15,copsw_pins_h_16_24,copsw_pins_h_25_34,copsw_pins_h_35_39,copsw_pins_h_40,copsw_pins_h_41_48,copsw_pins_h_49mo,copsw_pins_h_ns,copsw_pins_h_tot,copsw_tot_h_0,copsw_tot_h_1_15,copsw_tot_h_16_24,copsw_tot_h_25_34,copsw_tot_h_35_39,copsw_tot_h_40,copsw_tot_h_41_48,copsw_tot_h_49mo,copsw_tot_h_ns,copsw_tot_h_tot,claw_nni_h_0,claw_nni_h_1_15,claw_nni_h_16_24,claw_nni_h_25_34,claw_nni_h_35_39,claw_nni_h_40,claw_nni_h_41_48,claw_nni_h_49mo,claw_nni_h_ns,claw_nni_h_tot,claw_1_149_h_0,claw_1_149_h_1_15,claw_1_149_h_16_24,claw_1_149_h_25_34,claw_1_149_h_35_39,claw_1_149_h_40,claw_1_149_h_41_48,claw_1_149_h_49mo,claw_1_149_h_ns,claw_1_149_h_tot,claw_150_299_h_0,claw_150_299_h_1_15,claw_150_299_h_16_24,claw_150_299_h_25_34,claw_150_299_h_35_39,claw_150_299_h_40,claw_150_299_h_41_48,claw_150_299_h_49mo,claw_150_299_h_ns,claw_150_299_h_tot,claw_300_399_h_0,claw_300_399_h_1_15,claw_300_399_h_16_24,claw_300_399_h_25_34,claw_300_399_h_35_39,claw_300_399_h_40,claw_300_399_h_41_48,claw_300_399_h_49mo,claw_300_399_h_ns,claw_300_399_h_tot,claw_400_499_h_0,claw_400_499_h_1_15,claw_400_499_h_16_24,claw_400_499_h_25_34,claw_400_499_h_35_39,claw_400_499_h_40,claw_400_499_h_41_48,claw_400_499_h_49mo,claw_400_499_h_ns,claw_400_499_h_tot,claw_500_649_h_0,claw_500_649_h_1_15,claw_500_649_h_16_24,claw_500_649_h_25_34,claw_500_649_h_35_39,claw_500_649_h_40,claw_500_649_h_41_48,claw_500_649_h_49mo,claw_500_649_h_ns,claw_500_649_h_tot,claw_650_799_h_0,claw_650_799_h_1_15,claw_650_799_h_16_24,claw_650_799_h_25_34,claw_650_799_h_35_39,claw_650_799_h_40,claw_650_799_h_41_48,claw_650_799_h_49mo,claw_650_799_h_ns,claw_650_799_h_tot,claw_800_999_h_0,claw_800_999_h_1_15,claw_800_999_h_16_24,claw_800_999_h_25_34,claw_800_999_h_35_39,claw_800_999_h_40,claw_800_999_h_41_48,claw_800_999_h_49mo,claw_800_999_h_ns,claw_800_999_h_tot,claw_1000_1249_h_0,claw_1000_1249_h_1_15,claw_1000_1249_h_16_24,claw_1000_1249_h_25_34,claw_1000_1249_h_35_39,claw_1000_1249_h_40,claw_1000_1249_h_41_48,claw_1000_1249_h_49mo,claw_1000_1249_h_ns,claw_1000_1249_h_tot,claw_1250_1499_h_0,claw_1250_1499_h_1_15,claw_1250_1499_h_16_24,claw_1250_1499_h_25_34,claw_1250_1499_h_35_39,claw_1250_1499_h_40,claw_1250_1499_h_41_48,claw_1250_1499_h_49mo,claw_1250_1499_h_ns,claw_1250_1499_h_tot,claw_1500_1749_h_0,claw_1500_1749_h_1_15,claw_1500_1749_h_16_24,claw_1500_1749_h_25_34,claw_1500_1749_h_35_39,claw_1500_1749_h_40,claw_1500_1749_h_41_48,claw_1500_1749_h_49mo,claw_1500_1749_h_ns,claw_1500_1749_h_tot,claw_1750_1999_h_0,claw_1750_1999_h_1_15,claw_1750_1999_h_16_24,claw_1750_1999_h_25_34,claw_1750_1999_h_35_39,claw_1750_1999_h_40,claw_1750_1999_h_41_48,claw_1750_1999_h_49mo,claw_1750_1999_h_ns,claw_1750_1999_h_tot,claw_2000_2999_h_0,claw_2000_2999_h_1_15,claw_2000_2999_h_16_24,claw_2000_2999_h_25_34,claw_2000_2999_h_35_39,claw_2000_2999_h_40,claw_2000_2999_h_41_48,claw_2000_2999_h_49mo,claw_2000_2999_h_ns,claw_2000_2999_h_tot,claw_3000mo_h_0,claw_3000mo_h_1_15,claw_3000mo_h_16_24,claw_3000mo_h_25_34,claw_3000mo_h_35_39,claw_3000mo_h_40,claw_3000mo_h_41_48,claw_3000mo_h_49mo,claw_3000mo_h_ns,claw_3000mo_h_tot,claw_pins_h_0,claw_pins_h_1_15,claw_pins_h_16_24,claw_pins_h_25_34,claw_pins_h_35_39,claw_pins_h_40,claw_pins_h_41_48,claw_pins_h_49mo,claw_pins_h_ns,claw_pins_h_tot,claw_tot_h_0,claw_tot_h_1_15,claw_tot_h_16_24,claw_tot_h_25_34,claw_tot_h_35_39,claw_tot_h_40,claw_tot_h_41_48,claw_tot_h_49mo,claw_tot_h_ns,claw_tot_h_tot,lga_name16
10850,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,49,34,44,19,17,13,18,4,203,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,11,0,4,3,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,10,0,3,8,9,5,0,3,0,0,25,0,6,0,22,9,3,0,0,0,36,0,0,3,16,9,4,3,0,0,37,3,0,0,4,15,6,3,3,0,32,0,0,0,3,4,0,3,3,0,17,0,0,0,0,0,3,3,3,0,18,0,0,0,3,0,0,0,3,0,7,0,0,0,0,0,0,3,7,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,28,24,59,48,24,21,23,3,228,Blayney (A)
10900,7,0,0,0,12,7,14,13,0,55,0,0,0,0,0,0,0,5,0,12,5,10,6,5,4,5,0,0,5,47,142,754,626,641,418,233,161,151,41,3170,0,15,3,0,0,0,0,0,0,19,3,62,0,4,0,0,0,0,3,74,3,92,19,9,0,0,3,3,0,126,8,81,38,8,0,0,0,4,0,144,3,57,63,24,5,3,3,0,3,152,11,56,81,84,20,22,0,4,0,282,10,30,74,87,63,46,13,4,0,321,9,23,43,87,95,65,16,16,0,345,8,19,20,42,99,47,21,21,0,274,7,5,11,22,58,34,16,12,0,158,5,9,7,11,26,23,6,10,3,99,0,0,0,3,13,4,3,3,0,32,0,6,3,4,9,16,7,14,0,56,0,3,0,3,7,0,3,11,0,28,0,4,4,3,7,4,0,3,0,27,61,449,373,379,391,262,101,109,14,2139,Blue Mountains (C)
10950,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,11,24,33,30,12,7,14,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,0,3,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,10,0,0,0,5,8,0,0,0,0,15,0,0,5,0,7,5,0,0,0,22,0,0,0,0,5,5,3,3,0,13,0,0,0,3,0,0,3,4,0,12,0,0,0,0,0,5,3,4,0,8,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,14,10,28,21,12,9,0,106,Bogan (A)
11100,23,4,21,77,43,31,26,23,0,249,0,3,4,0,3,3,0,11,0,26,3,3,4,8,12,9,3,5,11,58,405,444,769,1151,977,685,343,266,105,5150,0,3,4,0,0,7,0,3,0,15,5,29,3,0,3,0,0,0,0,45,14,50,19,3,3,0,0,0,6,96,12,42,46,14,3,7,0,0,0,127,12,35,87,42,12,5,0,3,8,205,17,43,126,92,67,35,6,12,4,403,17,33,113,125,203,130,28,20,10,683,33,37,69,118,429,352,92,54,12,1198,33,15,42,86,516,440,137,128,17,1419,29,13,20,39,282,310,128,129,10,957,14,9,17,31,142,180,96,134,4,632,13,4,9,13,80,101,60,89,3,371,7,7,4,15,68,115,73,138,4,435,3,3,3,4,8,41,32,84,0,179,0,5,5,7,13,25,4,14,4,84,202,330,575,593,1827,1749,667,812,85,6837,Botany Bay (C)
11150,0,0,0,0,11,0,3,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12,12,32,66,13,17,19,6,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,7,8,4,0,0,0,16,0,3,0,3,12,0,0,3,0,24,0,0,0,0,6,4,0,4,0,15,0,0,0,0,4,3,3,0,0,14,0,0,0,0,0,5,0,0,0,10,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,13,3,8,35,18,8,12,3,111,Bourke (A)
11200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,6,19,22,16,5,9,5,95,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,4,3,0,0,0,6,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,11,4,0,5,0,36,Brewarrina (A)
14300,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,41,23,32,103,39,20,25,6,301,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,3,0,12,0,3,3,3,0,0,0,0,0,11,0,3,7,11,0,3,0,0,0,19,3,0,4,5,9,0,0,3,0,27,3,0,0,10,7,9,3,0,0,33,0,3,0,7,9,9,0,0,0,32,3,3,0,0,3,0,0,0,0,12,0,3,5,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,15,29,25,32,35,28,9,13,0,185,Junee (A)
14350,3,0,0,0,16,15,17,13,0,66,0,0,0,0,0,0,0,0,0,7,0,0,3,6,7,3,0,0,4,20,78,196,223,322,269,153,76,84,36,1441,0,8,0,0,0,0,0,0,0,10,0,10,3,0,3,0,0,0,0,22,3,24,7,0,3,0,3,0,0,42,5,26,17,7,0,0,0,0,0,55,0,16,29,15,3,5,0,0,0,72,5,20,41,37,20,4,3,0,0,140,5,18,23,78,66,13,5,4,3,214,4,13,17,37,94,30,6,7,0,197,7,5,7,15,60,33,15,3,0,143,3,0,0,3,39,13,11,11,0,80,0,0,0,0,9,9,0,5,0,32,0,0,0,3,5,3,3,0,0,15,0,0,0,0,0,4,0,10,0,15,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,3,4,3,11,33,141,146,200,299,117,57,46,14,1042,Kempsey (A)
11250,5,0,0,0,14,6,7,6,0,43,0,0,0,0,0,0,0,0,0,0,4,0,3,4,3,0,0,0,0,12,68,135,115,241,190,133,65,65,10,1030,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,11,3,11,3,4,3,0,0,0,0,21,0,10,6,3,3,0,0,0,0,28,0,4,11,3,3,6,0,3,0,38,0,14,13,16,14,6,3,5,3,74,8,4,12,23,39,6,9,0,0,101,4,3,9,26,45,36,12,8,3,146,7,3,3,5,61,42,7,8,0,136,3,0,0,6,42,21,7,6,0,92,0,0,0,3,18,15,4,5,0,45,0,0,0,0,3,8,0,0,0,16,0,0,0,0,8,5,0,3,0,15,0,0,0,0,0,0,0,0,0,4,0,3,3,0,7,0,0,0,0,10,33,61,63,100,248,151,34,43,11,742,Broken Hill (C)
13910,3,0,0,0,3,3,7,4,0,16,0,0,0,0,0,0,0,0,0,5,0,0,4,3,0,0,0,3,0,5,27,103,121,158,105,74,31,42,11,665,0,3,3,0,0,4,0,0,0,12,0,4,0,0,0,0,0,3,0,9,3,17,11,3,0,0,0,0,0,30,0,19,16,8,7,0,3,4,0,53,3,14,19,3,5,3,0,0,0,48,4,11,32,37,15,6,0,0,0,108,4,11,15,32,44,6,3,7,0,119,3,3,6,26,50,28,10,6,0,132,0,5,16,13,41,15,9,5,0,108,3,4,0,5,21,16,4,8,0,58,0,0,5,7,15,7,8,3,0,41,0,0,0,0,5,3,0,3,0,9,0,0,0,3,0,0,0,4,0,11,0,0,0,0,0,0,0,3,0,3,0,3,0,0,7,0,0,0,3,10,25,95,115,130,206,93,36,50,9,759,Hilltops (A)
14000,0,3,4,5,34,13,16,21,0,98,0,6,0,0,3,0,0,4,0,13,3,16,11,9,10,7,4,3,9,75,199,1323,1060,918,893,516,257,254,66,5485,0,23,10,0,3,3,0,3,0,41,3,127,14,8,3,4,0,0,8,163,8,174,59,8,4,3,3,0,3,260,12,150,97,28,12,8,0,4,5,308,9,91,144,43,11,14,0,4,4,324,8,86,212,114,51,32,4,9,5,532,17,72,152,196,106,75,30,22,4,671,23,49,88,168,267,173,63,18,8,861,28,47,43,86,279,226,60,51,6,833,11,22,36,42,137,137,61,49,3,493,3,19,24,18,74,76,23,47,0,282,4,14,18,16,25,40,23,32,3,169,7,18,11,21,22,66,22,40,0,205,3,6,7,4,8,15,12,33,4,101,4,16,8,7,11,5,0,0,8,64,150,913,927,763,1005,876,309,312,59,5312,Hornsby (A)
