lga_code_2016,p_55_64_ud_wk_l_5_hrs,p_55_64_ud_wk_5_14_hrs,p_55_64_ud_wk_15_29_hrs,p_55_64_ud_wk_30h_more,p_55_64_no_ud_wk,p_55_64_ud_wk_ns,p_55_64_os_v,p_55_64_yr_tot,p_65_74_ud_wk_l_5_hrs,p_65_74_ud_wk_5_14_hrs,p_65_74_ud_wk_15_29_hrs,p_65_74_ud_wk_30h_more,p_65_74_no_ud_wk,p_65_74_ud_wk_ns,p_65_74_os_v,p_65_74_yr_tot,p_75_84_ud_wk_l_5_hrs,p_75_84_ud_wk_5_14_hrs,p_75_84_ud_wk_15_29_hrs,p_75_84_ud_wk_30h_more,p_75_84_no_ud_wk,p_75_84_ud_wk_ns,p_75_84_os_v,p_75_84_yr_tot,p_85ov_ud_wk_l_5_h,p_85ov_ud_wk_5_14_h,p_85ov_ud_wk_15_29_h,p_85ov_ud_wk_30h_more,p_85ov_no_ud_wk,p_85ov_ud_wk_ns,p_85ov_os_v,p_85_yr_over_tot,p_tot_ud_wk_l_5_hrs,p_tot_ud_wk_5_14_hrs,p_tot_ud_wk_15_29_hrs,p_tot_ud_wk_30h_more,p_tot_no_ud_wk,p_tot_ud_wk_ns,p_total_os_v,p_total_total,lga_name16
15300,305,407,198,141,377,269,17,1709,179,252,170,144,412,294,8,1456,67,105,53,74,243,175,0,712,16,16,7,9,82,35,0,172,1847,2407,1150,967,2557,1782,76,10783,Moree Plains (A)
15350,840,1158,445,235,372,209,74,3336,546,918,499,269,450,196,38,2916,221,386,254,139,347,135,12,1493,108,154,71,40,359,175,0,899,6500,6462,2584,1705,3886,1745,354,23231,Mosman (A)
15520,321,512,259,216,329,202,5,1837,196,337,293,249,451,198,0,1720,65,133,117,123,335,198,0,967,19,54,26,18,152,71,0,339,1853,2350,1284,1056,2079,1076,25,9722,Murray River (A)
15560,90,112,72,66,106,69,0,522,46,55,52,57,94,50,0,360,21,26,27,28,65,55,0,219,6,9,7,7,29,6,0,69,550,672,359,346,615,443,29,3021,Murrumbidgee (A)
15650,280,510,277,221,348,188,7,1834,124,245,182,220,302,144,7,1232,68,72,58,80,212,118,3,611,24,24,20,8,82,42,0,198,2429,3157,1506,1466,2471,1485,74,12585,Muswellbrook (A)
15700,517,987,608,431,577,271,5,3392,319,682,552,515,679,331,0,3079,150,242,223,213,436,316,3,1579,68,83,53,37,253,212,3,704,2647,3939,2374,2079,3313,1785,48,16177,Nambucca (A)
15750,268,490,256,208,403,238,8,1871,142,255,203,207,335,208,4,1352,56,97,87,113,236,173,0,753,22,27,20,8,83,92,0,251,1872,2612,1286,1185,2175,1569,28,10725,Narrabri (A)
15800,143,212,109,89,174,118,0,841,73,128,106,96,192,142,0,742,26,50,43,51,143,86,0,396,19,30,10,10,94,39,0,196,785,1039,556,520,1105,686,33,4728,Narrandera (A)
15850,152,217,117,86,182,124,0,881,91,151,126,92,186,101,0,743,37,69,48,65,119,85,0,421,20,21,11,6,81,40,0,168,880,1191,609,581,1029,670,10,4972,Narromine (A)
15900,3470,5846,2718,1547,3171,1273,141,18155,1471,3147,2265,1678,3011,1269,64,12907,840,1461,949,873,2202,1354,18,7690,449,509,321,183,1366,1329,6,4170,31565,35799,14929,10301,25834,9911,1182,129522,Newcastle (C)
15950,1946,2482,887,387,899,577,198,7386,1160,1938,859,416,1043,480,131,6023,406,742,373,208,621,256,30,2635,165,196,91,41,433,187,5,1123,19256,17604,5122,2798,9163,4871,1190,60011,North Sydney (A)
15990,6047,10181,4339,2051,3584,1441,319,27957,3325,6421,4013,2490,3921,1410,229,21804,1638,2966,1886,1399,3335,1499,81,12811,786,996,489,376,2804,1402,15,6861,53066,57053,24330,15560,36215,12811,2436,201466,Northern Beaches (A)
16100,110,205,113,80,126,70,0,709,76,161,116,111,160,110,0,740,27,45,32,29,76,73,0,288,9,11,3,10,59,19,0,111,770,1035,532,484,789,693,10,4315,Oberon (A)
16150,778,1481,670,436,905,407,28,4705,418,812,529,494,882,339,9,3489,222,378,259,236,716,356,3,2166,71,107,59,54,480,148,0,916,6701,8646,3817,2991,6956,2936,107,32140,Orange (C)
16200,310,517,274,233,388,203,8,1933,174,253,218,193,383,272,3,1504,85,116,120,121,278,211,0,934,42,43,15,22,188,132,3,438,2064,2763,1470,1283,2457,1459,38,11529,Parkes (A)
16260,3957,6718,3344,2339,4635,1610,1551,24160,1871,3706,2619,1933,3674,1145,695,15651,1045,1804,1144,928,2759,903,179,8763,422,509,290,192,1897,597,17,3922,41846,45068,19672,15915,47739,16203,4885,191323,Parramatta (C)
16350,3770,6535,3307,2392,4480,1495,224,22203,1735,3272,2173,1936,3916,1284,152,14462,670,1055,680,618,2222,894,27,6181,252,274,120,92,1199,405,11,2348,34478,39724,16988,14365,36120,12352,877,154899,Penrith (C)
12350,268,471,283,229,335,172,6,1776,179,319,268,291,414,202,0,1667,65,147,129,132,317,175,3,963,40,54,32,26,206,71,0,424,1787,2408,1350,1262,2240,1170,38,10253,Cowra (A)
12380,3295,4874,2467,2105,6274,1495,748,21252,1724,2785,1673,1594,4330,1136,391,13636,946,1223,794,645,2864,842,83,7400,350,327,157,120,1724,521,6,3206,33744,33383,14856,14720,60729,13345,2597,173373,Cumberland (A)
12700,201,431,260,212,190,130,0,1417,101,241,191,198,191,115,0,1044,61,88,76,78,140,99,0,551,24,18,13,14,59,47,3,179,1292,1911,1050,979,1173,764,9,7190,Dungog (A)
12730,234,387,195,136,249,163,0,1364,123,205,141,133,229,165,5,997,68,101,64,74,215,144,0,658,15,30,22,9,151,57,0,280,1320,1811,867,718,1548,932,63,7263,Edward River (A)
11300,660,995,501,363,879,221,160,3781,375,583,349,298,720,161,78,2557,262,356,244,153,640,140,26,1816,113,109,59,50,523,105,0,955,7423,6626,2757,2142,10904,2102,865,32817,Burwood (A)
11350,990,1818,860,467,705,809,44,5687,452,1031,624,404,622,586,36,3764,120,266,202,182,341,261,15,1392,71,66,54,37,290,177,0,703,5738,7489,3581,2355,3940,4321,742,28168,Byron (A)
11400,287,563,289,209,280,139,3,1761,159,331,243,262,336,155,7,1480,85,118,103,115,230,118,0,774,26,42,21,14,158,54,0,307,1932,2710,1421,1248,1892,993,36,10233,Cabonne (A)
11450,1364,2274,1200,789,1297,379,72,7374,653,1170,822,694,1153,402,49,4943,246,461,271,263,743,288,20,2288,108,100,40,29,450,226,6,966,14369,16266,7093,5548,12088,3519,282,59161,Camden (A)
11500,3159,5239,2480,1951,4333,1240,322,18712,1433,2544,1749,1462,3534,1182,211,12109,553,825,531,454,1674,760,48,4837,157,181,89,71,706,492,8,1700,26026,29384,12957,11719,33048,9731,1116,123983,Campbelltown (C) (NSW)
11520,1909,2893,1324,781,1675,534,383,9503,1079,1836,1098,746,1484,548,143,6941,544,861,531,383,1326,388,27,4054,248,248,122,98,1094,252,11,2074,18638,18695,7360,5202,18183,4942,1376,74395,Canada Bay (A)
11570,6150,9027,4606,3644,10812,2533,754,37534,3177,5238,3301,2745,8094,2124,417,25082,1962,2816,1812,1451,6006,1675,106,15835,859,877,483,346,3872,928,21,7391,56382,56396,25579,24272,89940,21717,3156,277433,Canterbury-Bankstown (A)
11600,72,99,41,48,78,36,0,377,33,41,33,34,67,22,0,225,10,17,9,22,49,29,0,141,4,3,3,3,31,12,0,56,391,549,233,247,509,283,67,2288,Carrathool (A)
11650,7357,13266,6572,4383,7191,2732,192,41685,4041,8526,6126,4880,8552,3242,142,35505,2023,3853,2661,2449,6844,3389,60,21289,1011,1227,635,531,4337,2440,17,10204,55794,69571,33542,26778,56131,21443,1049,264303,Central Coast (C) (NSW)
11700,48,64,28,35,74,43,0,296,22,41,36,27,61,46,0,226,15,8,7,11,14,25,0,74,0,0,3,0,9,8,0,19,251,277,137,161,470,375,10,1679,Central Darling (A)
11720,1023,1974,1093,915,1397,646,13,7066,520,1085,837,873,1438,714,16,5479,232,389,306,294,913,417,10,2551,106,118,51,47,523,212,0,1055,7793,10781,5415,5144,9886,5030,156,44212,Cessnock (C)
11730,1248,2468,1423,1111,1495,789,27,8561,777,1665,1428,1350,1820,877,21,7947,379,642,504,639,1232,736,13,4153,147,188,99,110,802,289,0,1633,7162,10792,6044,5637,8987,4952,162,43735,Clarence Valley (A)
11750,103,164,86,62,145,92,0,651,48,82,45,56,133,60,0,416,19,36,17,34,62,53,0,223,3,3,3,6,43,16,0,76,684,923,448,419,833,559,12,3864,Cobar (A)
11800,1845,3443,1761,1119,1816,970,81,11036,1023,2239,1573,1346,2004,984,60,9230,487,890,614,665,1483,958,20,5123,208,243,152,115,774,614,0,2107,11815,16432,8118,6281,12264,6216,642,61767,Coffs Harbour (C)
12000,72,136,111,71,97,62,0,542,52,102,80,86,111,87,0,517,33,57,32,30,96,74,0,323,13,10,14,5,31,47,0,114,566,773,467,404,630,470,3,3305,Coolamon (A)
12150,97,133,65,45,134,101,0,575,34,82,44,55,121,131,0,468,23,21,13,29,77,61,0,230,4,10,3,3,56,33,0,110,476,663,337,324,719,652,5,3171,Coonamble (A)
12750,951,2150,1247,739,1015,536,13,6652,597,1589,1311,1091,1170,732,20,6515,269,617,481,480,890,621,9,3354,105,147,114,85,576,344,3,1368,5077,8294,4938,3699,6045,3468,121,31637,Eurobodalla (A)
12850,3740,5281,2869,2786,8555,1534,239,25003,2031,2823,1707,1587,5812,1146,122,15222,1050,1270,834,617,3966,819,41,8594,358,303,152,120,2256,337,18,3543,30623,28745,13304,13174,63352,10984,1104,161297,Fairfield (C)
12870,292,541,276,216,397,170,8,1900,199,356,282,282,433,238,4,1795,85,153,135,116,332,229,3,1060,31,56,28,39,141,121,0,412,1769,2484,1311,1144,2116,1230,23,10078,Federation (A)
12900,196,341,176,150,224,144,3,1227,124,219,181,162,291,169,0,1151,64,111,75,82,220,144,0,702,15,26,12,12,138,52,0,260,1395,1830,926,860,1661,1003,17,7695,Forbes (A)
12930,3009,4846,2557,1673,3672,786,689,17227,1608,2850,1982,1419,2877,800,383,11915,901,1483,990,815,2334,730,96,7352,412,518,255,165,1934,522,10,3820,28136,28643,13045,9827,35199,7018,2456,124319,Georges River (A)
12950,87,176,91,76,134,58,0,621,50,102,82,98,129,70,0,526,36,46,45,39,115,61,0,342,14,10,9,8,62,30,0,128,574,788,446,408,808,374,4,3400,Gilgandra (A)
13010,207,382,211,158,248,154,0,1365,137,242,186,198,289,185,0,1238,64,99,90,81,200,158,3,691,30,29,19,16,111,85,0,288,1181,1699,939,863,1407,1128,12,7232,Glen Innes Severn (A)
13310,646,1192,587,409,760,312,18,3935,377,703,517,444,736,409,20,3210,178,278,202,207,512,362,0,1741,79,96,56,36,228,247,0,737,4726,6229,2999,2408,4990,3009,122,24496,Goulburn Mulwaree (A)
13340,267,434,259,214,230,112,0,1528,134,257,183,208,287,145,0,1211,50,95,59,93,163,100,0,562,22,26,12,21,104,70,0,252,1543,2022,1131,1064,1429,765,21,7972,Greater Hume Shire (A)
13450,507,802,416,260,673,385,42,3098,267,372,269,262,503,302,14,1991,182,225,174,147,351,306,5,1390,77,79,44,25,189,254,3,670,4029,4701,2276,1806,4652,2655,359,20484,Griffith (C)
13510,269,465,244,209,290,148,0,1624,163,286,221,227,394,176,0,1469,79,156,113,132,298,143,0,923,43,49,17,19,179,70,0,376,1586,2151,1171,1093,2004,912,38,8948,Gundagai (A)
13550,272,460,210,198,299,153,3,1596,143,229,196,195,266,169,3,1207,77,126,80,109,256,147,0,788,21,42,12,20,161,56,0,317,1893,2386,1244,1139,1943,1112,30,9755,Gunnedah (A)
13660,101,172,87,85,181,117,3,751,69,141,120,155,197,110,0,797,39,65,45,52,143,88,0,429,14,11,8,8,63,44,0,154,657,942,518,586,978,618,35,4339,Gwydir (A)
13800,1374,2504,1253,863,1245,525,30,7791,663,1248,964,889,1196,530,17,5510,296,503,342,350,770,362,8,2632,103,123,58,57,481,182,4,1002,11760,13792,6497,5336,10085,3911,176,51555,Hawkesbury (C)
13850,52,125,62,59,104,58,3,462,45,77,37,36,105,76,3,372,31,19,30,25,58,66,0,225,0,0,3,3,21,27,0,60,395,577,269,256,560,417,19,2499,Hay (A)
16380,1896,3656,1852,1158,1863,770,52,11261,1197,2763,2222,1779,2635,1228,42,11860,641,1244,976,927,2142,1183,19,7135,274,371,211,181,1408,571,7,3016,12113,17625,9215,7186,13453,6118,299,66004,Port Macquarie-Hastings (A)
16400,1524,2877,1610,1128,1647,796,41,9626,854,2093,1733,1467,2078,1014,35,9275,465,857,621,564,1431,855,9,4804,158,180,110,108,755,344,3,1665,10580,14730,7889,6348,11487,5385,215,56633,Port Stephens (A)
16490,1222,2373,1084,619,1016,696,45,7065,491,1085,732,571,808,542,17,4237,212,391,250,199,505,298,5,1863,80,97,47,34,299,111,0,681,10516,13461,5558,3601,7529,4525,243,45446,Queanbeyan-Palerang Regional (A)
16550,2694,4190,1650,1012,2364,1315,359,13583,1427,2469,1436,952,2287,1164,172,9915,743,1246,686,509,1948,854,40,6024,404,391,197,139,1491,584,12,3215,32434,28876,10105,6581,29384,12182,3376,122926,Randwick (C)
16610,518,962,532,396,668,326,5,3414,325,610,457,429,749,358,0,2931,148,291,211,223,568,311,5,1755,69,84,49,31,290,117,0,635,3159,4581,2408,2204,4217,2154,37,18756,Richmond Valley (A)
16650,2076,2911,1393,917,2841,827,442,11407,1228,1922,1130,853,2525,753,197,8609,706,1011,604,488,1921,755,74,5563,272,306,155,109,1252,673,7,2780,20918,20856,8147,6428,27914,7773,1958,93991,Rockdale (C)
16700,2352,3801,1918,1263,2356,632,547,12873,1209,2209,1493,980,1916,510,325,8650,668,1139,755,519,1739,471,76,5363,384,415,222,143,1374,424,20,2972,24149,24921,10697,7460,24804,5613,2789,100434,Ryde (C)
16900,1362,2404,1294,1101,1591,524,26,8307,659,1311,1090,966,1632,667,21,6339,354,595,408,446,1124,594,7,3533,156,163,74,75,567,346,0,1385,11164,13789,7002,5724,12249,4037,139,54101,Shellharbour (C)
16950,2281,4577,2580,1801,2432,1249,43,14951,1365,3388,2705,2337,3096,1480,36,14402,720,1404,1048,1099,2334,1335,11,7952,289,366,222,191,1261,805,4,3144,14367,21082,11473,9460,16376,8922,314,81986,Shoalhaven (C)
17000,410,791,454,365,449,226,9,2708,170,338,281,317,367,203,10,1694,95,142,96,133,233,133,3,842,34,37,17,27,176,47,3,344,3605,4836,2340,2204,3567,1612,76,18231,Singleton (A)
17040,853,1356,609,417,625,670,24,4553,411,807,512,432,617,570,8,3349,162,230,131,172,318,288,4,1311,63,63,25,21,175,135,0,482,6112,6955,2920,2263,4054,4624,731,27660,Snowy Monaro Regional (A)
17080,342,567,309,255,366,261,3,2106,175,330,276,284,396,209,3,1672,85,158,121,124,258,179,0,931,41,41,23,29,148,147,0,420,1933,2779,1549,1367,2273,1682,42,11623,Snowy Valleys (A)
17420,3428,6281,3207,2116,2697,604,611,18936,1814,3705,2588,2065,2557,618,408,13749,716,1253,859,774,1591,406,85,5685,235,296,170,118,945,237,8,2009,30905,33751,16294,12309,24511,4750,1936,124451,The Hills Shire (A)
17550,2376,4415,2123,1311,2406,1214,92,13932,1373,2902,2181,1724,3225,1486,94,12989,783,1322,958,890,2571,1407,63,7999,333,374,203,171,1606,914,11,3612,14980,19896,10110,7736,16974,8312,562,78565,Tweed (A)
17620,304,557,259,208,306,196,5,1840,166,297,192,197,354,179,10,1400,75,133,95,113,255,150,0,827,35,33,18,18,147,102,0,353,2098,2910,1369,1246,2123,1367,85,11199,Upper Hunter Shire (A)
17640,192,340,210,171,176,112,0,1199,117,229,175,164,237,114,0,1044,60,115,72,78,142,87,0,549,25,32,14,9,76,22,0,175,1106,1695,889,750,1097,656,12,6203,Upper Lachlan Shire (A)
17650,166,303,153,119,140,79,0,967,83,178,126,122,153,83,6,755,37,60,47,49,84,54,0,332,11,21,7,11,58,10,0,120,884,1392,679,570,786,437,13,4766,Uralla (A)
17750,1177,2336,1113,698,1202,531,41,7089,651,1120,774,674,1148,486,21,4878,294,541,344,355,910,436,8,2878,130,165,95,90,665,232,3,1381,11292,13745,5917,4557,11041,4071,218,50841,Wagga Wagga (C)
17850,69,138,69,49,83,52,0,464,63,100,66,55,100,90,0,471,16,41,23,36,58,50,0,221,4,8,8,3,25,44,0,94,426,628,326,305,475,404,6,2570,Walcha (A)
17900,161,228,97,103,278,168,3,1037,112,178,107,125,268,170,0,959,67,45,52,40,135,99,0,442,10,9,3,3,42,17,0,84,898,1118,514,518,1386,895,17,5344,Walgett (A)
17950,59,103,42,35,81,49,3,372,35,68,46,38,84,52,3,327,18,27,14,17,64,33,0,170,4,4,0,3,33,15,0,58,361,547,228,201,468,283,16,2103,Warren (A)
18020,224,353,221,182,279,196,4,1463,142,247,195,237,324,219,0,1362,65,122,75,114,233,179,0,791,22,20,22,15,154,64,4,301,1155,1717,1018,977,1649,1164,53,7731,Warrumbungle Shire (A)
18050,1350,1901,664,302,846,612,144,5818,789,1202,549,314,996,556,83,4495,381,530,282,175,792,455,34,2644,181,222,74,47,629,355,3,1508,17418,13560,4355,2642,10891,6940,1807,57616,Waverley (A)
18100,95,153,80,89,91,52,0,561,67,111,83,88,131,72,0,550,22,47,46,44,90,57,0,305,13,21,16,13,57,31,0,140,473,696,424,411,579,348,0,2932,Weddin (A)
18200,174,303,152,111,213,140,7,1100,107,204,127,128,236,141,3,946,37,61,61,63,132,83,0,433,8,20,12,10,69,20,0,139,1023,1439,732,601,1242,855,86,5976,Wentworth (A)
18230,1086,1903,934,591,1137,675,37,6365,545,980,714,691,1150,664,14,4758,259,479,335,312,867,483,3,2731,121,131,62,55,503,206,4,1090,7803,10383,4840,3927,8307,5063,167,40491,Western Plains Regional (A)
18250,1601,2539,1196,686,1112,401,384,7926,929,1594,991,563,1072,378,224,5751,452,723,486,282,913,264,52,3168,205,260,127,93,886,238,13,1824,15589,16102,6858,4678,13396,3506,2116,62243,Willoughby (C)
18350,1195,2211,1125,710,827,423,30,6518,808,1816,1370,1097,1158,601,18,6879,389,795,599,574,904,493,10,3770,135,197,96,101,602,302,4,1442,7877,10707,5713,4393,6782,3319,180,38965,Wingecarribee (A)
18400,1030,1866,985,731,833,421,10,5868,422,903,716,728,802,364,7,3941,187,326,258,267,496,275,3,1818,70,64,47,30,266,166,0,649,8288,10117,4978,4228,6849,2792,96,37358,Wollondilly (A)
