LGA_MAIN11,P_SOL_SE_Tot_2001_2005,P_SOL_SE_Tot_2006,P_SOL_SE_Tot_2007,P_SOL_SE_Tot_2008,P_SOL_SE_Tot_2009,P_SOL_SE_Tot_2010,P_SOL_SE_Tot_2011,P_SOL_SE_Tot_arrival_ns,P_SOL_SE_Tot_Total,P_L_prof_Eng_ns_bf1996,P_L_prof_Eng_ns_1996_2000,P_L_prof_Eng_ns_2001_2005,P_L_prof_Eng_ns_2006,P_L_prof_Eng_ns_2007,P_L_prof_Eng_ns_2008,P_L_prof_Eng_ns_2009,P_L_prof_Eng_ns_2010,P_L_prof_Eng_ns_2011,P_L_prof_Eng_ns_arrival_ns,P_L_prof_Eng_ns_Total,P_Tot_bf1996,P_Tot_1996_2000,P_Tot_2001_2005,P_Tot_2006,P_Tot_2007,P_Tot_2008,P_Tot_2009,P_Tot_2010,P_Tot_2011,P_Tot_Yr_arrival_not_stated,P_Tot_Total,LGA_NAME11
54410,3,0,3,0,0,3,0,0,22,0,0,0,0,0,0,0,0,0,0,0,89,6,3,3,3,3,3,3,0,6,119,Kellerberrin (S)
54480,0,0,0,4,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,3,27,3,7,0,3,4,0,0,0,0,44,Kent (S)
54550,3,0,3,0,3,0,0,0,43,0,0,0,0,0,0,0,0,0,3,3,159,23,23,6,9,12,12,6,0,15,265,Kojonup (S)
54620,5,0,0,0,0,6,0,0,15,0,0,0,0,0,0,0,0,0,0,0,68,5,16,0,5,3,3,11,10,6,127,Kondinin (S)
54970,10,7,4,6,3,5,0,0,64,0,0,0,0,0,0,0,0,0,0,0,117,17,21,20,14,16,15,14,5,8,247,Laverton (S)
55040,28,9,9,14,8,17,0,113,240,0,0,0,0,0,0,0,0,0,0,0,194,49,56,22,25,36,30,30,17,133,592,Leonora (S)
55110,386,189,191,319,255,212,107,204,2896,12,0,6,0,0,0,4,0,0,11,33,9649,846,1652,752,819,1092,787,672,431,928,17628,Mandurah (C)
55180,29,7,17,14,5,9,7,18,320,0,0,0,0,0,0,0,0,0,0,0,1093,49,74,20,29,21,11,22,13,77,1409,Manjimup (S)
55250,4,8,3,15,3,3,0,6,51,0,0,0,0,0,0,0,0,0,3,3,68,12,11,13,10,25,9,14,12,13,187,Meekatharra (S)
55320,1691,544,710,889,781,711,445,471,13668,46,6,16,3,7,12,15,7,7,21,140,18030,2722,3530,1032,1198,1543,1329,1281,859,1117,32641,Melville (C)
56520,13,3,16,30,11,6,11,9,172,0,0,0,0,0,0,0,0,0,0,0,355,34,35,6,24,42,21,15,14,28,574,Narrogin (T)
56580,243,52,97,107,180,190,123,70,2206,6,0,3,0,3,0,0,0,0,0,12,3553,618,745,148,230,242,355,344,259,234,6728,Nedlands (C)
55390,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,3,3,0,17,Menzies (S)
55460,12,5,3,7,17,55,19,17,169,0,0,3,0,0,0,0,0,0,0,3,213,35,42,5,9,18,23,74,27,35,481,Merredin (S)
55530,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,18,6,0,4,0,3,4,0,0,4,39,Mingenew (S)
55600,7,4,0,11,4,3,4,4,47,0,0,0,0,0,0,0,0,0,0,0,145,24,34,13,6,23,15,9,11,16,296,Moora (S)
56620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,8,Ngaanyatjarraku (S)
55670,0,0,0,0,3,6,0,0,18,0,0,0,0,0,0,0,0,0,0,0,46,9,7,0,0,10,6,6,0,8,92,Morawa (S)
56930,11,0,3,7,6,8,8,0,84,0,0,0,0,0,0,0,0,0,0,0,187,27,51,11,3,19,9,19,19,24,369,Peppermint Grove (S)
55740,129,22,61,72,86,61,61,38,880,0,0,0,0,0,0,0,3,3,3,9,1192,230,387,84,130,161,182,159,151,128,2804,Mosman Park (T)
55810,0,3,3,3,0,0,3,3,21,0,0,0,0,0,0,0,0,0,0,0,45,6,6,6,6,9,3,0,3,6,90,Mount Magnet (S)
55880,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,32,6,0,0,0,3,0,0,0,0,41,Mount Marshall (S)
55950,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,22,0,9,3,0,3,0,3,0,6,46,Mukinbudin (S)
56020,0,0,3,6,0,0,0,0,17,3,0,0,0,0,0,0,0,0,0,3,35,7,3,3,6,9,0,0,3,4,70,Mullewa (S)
56090,130,44,45,59,48,30,29,1380,2653,3,3,0,0,0,0,0,3,3,0,12,6261,498,662,208,180,166,155,103,75,1681,9989,Mundaring (S)
57080,580,239,337,413,574,672,489,291,4682,3,0,7,3,0,3,0,7,3,6,32,2339,445,898,343,492,623,850,1182,961,495,8628,Perth (C)
57140,3,0,0,3,0,0,3,0,24,0,0,0,0,0,0,0,0,0,0,0,135,0,11,0,0,6,3,3,3,6,167,Pingelly (S)
57210,15,19,11,15,20,13,7,96,269,0,0,0,0,0,0,0,0,0,0,0,652,60,47,26,19,22,26,13,10,131,1006,Plantagenet (S)
57280,118,86,89,70,83,77,36,17,876,3,0,3,0,0,0,0,0,0,3,9,1015,237,305,163,197,194,162,177,93,102,2645,Port Hedland (T)
57350,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,82,4,8,0,0,3,0,0,0,0,97,Quairading (S)
57420,8,3,3,14,0,10,6,3,71,0,0,0,0,0,0,0,0,0,0,0,195,26,31,10,6,25,12,24,14,13,356,Ravensthorpe (S)
57490,592,264,333,433,327,223,151,246,4731,21,3,11,0,0,5,7,6,0,10,63,17216,2023,3315,1443,1797,2140,1487,1129,767,1412,32729,Rockingham (C)
57560,194,126,151,247,168,184,143,237,1845,6,3,0,3,0,0,0,0,0,3,15,1638,305,525,266,260,432,328,347,248,357,4706,Roebourne (S)
56160,0,3,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,7,0,0,0,0,0,14,Murchison (S)
56230,23,12,10,14,15,9,12,15,262,0,0,0,0,0,0,0,0,0,0,0,1985,126,180,41,55,47,37,37,31,107,2646,Murray (S)
56300,3,0,3,6,6,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,190,19,17,3,3,12,6,5,4,13,272,Nannup (S)
61010,3,0,0,0,0,3,0,0,25,0,0,0,0,0,0,0,0,0,0,0,147,11,12,0,3,3,0,3,0,4,183,Central Highlands (M)
61210,17,4,11,9,18,5,3,6,114,0,3,0,0,0,0,0,0,0,0,3,352,82,64,11,17,25,52,38,19,27,687,Circular Head (M)
61410,147,57,46,81,77,75,59,69,1252,3,0,0,0,0,5,0,3,0,0,11,3657,261,365,106,110,151,148,126,79,221,5224,Clarence (C)
61510,9,0,0,0,3,0,0,7,76,0,0,0,0,0,0,0,0,0,0,0,578,33,43,8,12,9,10,8,0,31,732,Derwent Valley (M)
61610,46,17,19,43,37,25,6,25,422,0,0,0,0,0,0,0,0,0,0,0,1530,94,128,41,33,60,60,32,12,94,2084,Devonport (C)
61810,15,0,7,0,6,3,0,0,77,0,0,0,0,3,0,0,0,0,0,3,392,28,39,4,14,0,21,3,0,14,515,Dorset (M)
56370,0,0,7,3,0,0,0,4,22,0,0,0,0,0,0,0,0,0,0,0,46,12,4,0,7,6,3,7,0,8,93,Narembeen (S)
56450,0,5,8,9,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,70,9,9,5,11,9,0,0,0,3,116,Narrogin (S)
62210,3,0,3,0,0,7,0,11,100,0,0,0,0,0,0,0,0,0,0,0,608,24,20,8,9,8,3,10,0,43,733,George Town (M)
62410,6,4,3,4,3,0,0,6,76,0,0,0,0,0,0,0,0,0,3,3,344,21,31,4,7,7,6,9,0,22,451,Glamorgan/Spring Bay (M)
62610,327,114,139,187,192,223,98,98,2454,3,0,3,0,0,0,0,0,3,6,15,2930,214,456,142,166,204,209,251,109,235,4916,Glenorchy (C)
62810,529,263,328,477,573,514,301,236,4750,17,0,0,3,0,3,0,3,3,6,35,5123,549,947,360,423,617,703,645,416,420,10203,Hobart (C)
