lga_code_2016,p_85_yrs_ov_no_care_prov,p_85_yrs_ov_unpaid_care_notstated,p_85_yrs_ov_total,p_tot_care_own_child_only,p_tot_care_oth_child_only,p_tot_care_own_and_oth_child,p_tot_care_total,p_tot_no_care_prov,p_tot_unpaid_care_notstated,p_tot_total,lga_name_2016
59250,0,0,0,89,39,7,138,388,132,660,Wiluna (S)
79799,0,0,0,3,0,0,4,43,26,72,Migratory - Offshore - Shipping (NT)
89399,4771,1276,6155,67241,23272,2686,93202,207514,21695,322415,Unincorporated ACT
89499,3,0,3,39,33,7,73,322,108,506,No usual address (ACT)
89799,0,0,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (ACT)
99399,43,9,51,608,214,26,847,2129,738,3714,Unincorp. Other Territories
99499,0,0,0,3,0,0,6,35,4,46,No usual address (OT)
99799,0,0,0,0,0,0,0,6,0,6,Migratory - Offshore - Shipping (OT)
59310,22,3,27,220,79,5,307,679,70,1050,Wongan-Ballidu (S)
59320,0,0,0,61,24,4,96,200,29,318,Woodanilling (S)
59330,17,3,23,61,23,0,88,284,66,439,Wyalkatchem (S)
59340,14,5,19,991,376,69,1436,3240,830,5511,Wyndham-East Kimberley (S)
59350,0,0,3,27,21,3,55,189,63,302,Yalgoo (S)
59360,13,12,24,185,51,3,240,635,174,1046,Yilgarn (S)
59370,65,14,82,438,215,25,670,1943,378,2988,York (S)
59499,13,3,23,376,169,14,558,3441,1554,5559,No usual address (WA)
59799,3,0,3,54,4,0,61,297,72,434,Migratory - Offshore - Shipping (WA)
60210,115,38,153,717,284,20,1024,3670,550,5247,Break O'Day (M)
60410,119,25,144,2826,978,134,3930,7580,1115,12624,Brighton (M)
60610,360,63,431,2891,1072,133,4093,10132,1225,15446,Burnie (C)
60810,410,100,522,3051,1355,148,4555,11742,1440,17742,Central Coast (M) (Tas.)
61010,20,3,22,276,116,12,399,1218,181,1802,Central Highlands (M) (Tas.)
61210,86,26,115,1287,520,55,1866,3790,645,6304,Circular Head (M)
61410,1279,201,1497,8622,4133,389,13136,28564,3262,44973,Clarence (C)
61510,139,17,154,1484,603,65,2154,5260,735,8149,Derwent Valley (M)
61610,564,130,700,3616,1546,161,5318,13227,1661,20209,Devonport (C)
61810,140,31,173,871,378,51,1301,3617,563,5480,Dorset (M)
62010,13,0,15,124,41,6,169,540,58,775,Flinders (M) (Tas.)
62210,102,22,129,877,358,28,1260,3653,607,5511,George Town (M)
62410,88,21,111,489,252,16,752,2689,422,3860,Glamorgan/Spring Bay (M)
62610,912,228,1154,6984,2976,354,10308,24276,3239,37831,Glenorchy (C)
62810,1203,179,1401,6931,2951,373,10254,29865,3092,43208,Hobart (C)
63010,215,40,260,2435,928,116,3486,8634,1173,13295,Huon Valley (M)
63210,75,23,100,845,311,49,1200,3430,485,5109,Kentish (M)
63410,37,8,43,195,90,6,288,903,141,1336,King Island (M)
63610,636,72,718,6200,2509,342,9052,18011,1655,28724,Kingborough (M)
63810,212,44,257,1532,662,78,2261,5901,745,8913,Latrobe (M) (Tas.)
64010,1391,274,1677,9696,3787,420,13899,35047,4761,53708,Launceston (C)
70420,8,5,20,901,670,305,1881,2311,729,4911,Barkly (R)
70540,0,0,0,14,35,8,54,73,0,131,Belyuen (S)
70620,5,0,12,640,464,170,1275,1038,279,2593,Central Desert (R)
70700,10,0,9,129,62,9,201,607,269,1073,Coomalie (S)
71000,396,66,470,11942,3553,427,15921,40328,8007,64253,Darwin (C)
71300,0,0,8,1125,1645,581,3352,2381,698,6435,East Arnhem (R)
72200,26,17,41,1360,397,57,1816,3937,1775,7526,Katherine (T)
72300,51,18,67,3474,1032,116,4626,10510,4491,19634,Litchfield (M)
72330,19,0,17,697,746,238,1688,1534,1576,4797,MacDonnell (R)
