LGA_MAIN11,Indonesia_2006,Indonesia_2007,Indonesia_2008,Indonesia_2009,Indonesia_2010,Indonesia_2011,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iraq_Before_1941,Iraq_1941_1950,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2005,Iraq_2006,Iraq_2007,Iraq_2008,Iraq_2009,Iraq_2010,Iraq_2011,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1941,Ireland_1941_1950,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2005,Ireland_2006,Ireland_2007,Ireland_2008,Ireland_2009,Ireland_2010,Ireland_2011,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1941,Italy_1941_1950,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2005,Italy_2006,Italy_2007,Italy_2008,Italy_2009,Italy_2010,Italy_2011,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1941,Japan_1941_1950,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2005,Japan_2006,Japan_2007,Japan_2008,Japan_2009,Japan_2010,Japan_2011,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1941,Korea_Rep_Sth_1941_1950,Korea_Rep_Sth_1951_1960,Korea_Rep_Sth_1961_1970,Korea_Rep_Sth_1971_1980,Korea_Rep_Sth_1981_1990,Korea_Rep_Sth_1991_2000,Korea_Rep_Sth_2001_2005,Korea_Republic_South_2006,Korea_Republic_South_2007,Korea_Republic_South_2008,Korea_Republic_South_2009,Korea_Republic_South_2010,Korea_Republic_South_2011,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1941,Lebanon_1941_1950,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2005,Lebanon_2006,Lebanon_2007,Lebanon_2008,Lebanon_2009,Lebanon_2010,Lebanon_2011,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1941,Malaysia_1941_1950,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2005,Malaysia_2006,Malaysia_2007,Malaysia_2008,Malaysia_2009,Malaysia_2010,Malaysia_2011,Malaysia_Yr_arrival_ns,Malaysia_Tot,Malta_Before_1941,Malta_1941_1950,Malta_1951_1960,Malta_1961_1970,Malta_1971_1980,Malta_1981_1990,Malta_1991_2000,Malta_2001_2005,Malta_2006,Malta_2007,Malta_2008,Malta_2009,Malta_2010,Malta_2011,Malta_Yr_arrival_NS,Malta_Tot,Netherlands_Before_1941,Netherlands_1941_1950,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2005,Netherlands_2006,Netherlands_2007,Netherlands_2008,Netherlands_2009,Netherlands_2010,Netherlands_2011,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1941,New_Zealand_1941_1950,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2005,New_Zealand_2006,New_Zealand_2007,New_Zealand_2008,New_Zealand_2009,New_Zealand_2010,New_Zealand_2011,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,Philippines_Before_1941,Philippines_1941_1950,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2005,Philippines_2006,Philippines_2007,Philippines_2008,Philippines_2009,Philippines_2010,Philippines_2011,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1941,Poland_1941_1950,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2005,Poland_2006,Poland_2007,Poland_2008,Poland_2009,Poland_2010,Poland_2011,Poland_Yr_arrival_NS,Poland_Tot,LGA_NAME11
10800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,4,12,10,3,0,0,0,0,3,3,3,41,0,0,0,0,0,3,0,0,0,0,0,4,3,0,0,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Bland (A)
10850,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,3,10,3,3,3,0,0,0,0,0,0,0,0,0,22,0,3,0,12,18,13,9,9,3,3,3,0,3,0,5,81,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,9,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,9,Blayney (A)
10900,0,0,0,5,8,0,5,81,0,0,0,3,3,0,6,0,0,0,0,3,0,0,0,15,3,3,22,70,55,59,39,20,5,3,4,8,3,5,10,309,0,13,67,55,13,0,5,5,4,0,0,0,0,0,4,166,0,0,4,0,8,27,18,11,3,5,0,5,0,4,0,85,0,0,0,0,3,12,13,12,3,3,4,6,10,0,0,66,0,6,0,13,13,8,0,0,0,0,0,0,0,0,0,40,3,0,4,25,41,35,17,4,0,0,4,0,0,0,5,138,0,8,34,20,3,5,0,0,0,0,0,0,0,0,3,73,0,31,198,62,23,39,22,10,0,0,4,3,0,0,11,403,9,11,37,135,306,276,185,63,17,17,13,10,9,9,49,1146,0,0,0,5,19,65,42,23,5,3,7,13,10,0,3,195,0,20,8,20,14,68,17,5,3,3,0,0,0,0,5,163,Blue Mountains (C)
10950,0,0,5,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,5,0,3,3,0,0,0,0,0,0,18,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bogan (A)
11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,4,4,5,0,0,0,0,0,0,0,0,16,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bombala (A)
11050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,8,4,4,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boorowa (A)
11100,55,47,56,33,22,30,35,1133,0,0,0,6,12,39,193,75,15,8,11,8,0,6,9,382,0,0,5,18,19,36,29,21,0,8,5,5,8,0,4,158,0,17,111,131,44,18,8,4,6,3,3,0,0,0,29,374,0,0,0,4,0,17,23,20,3,4,5,6,0,4,6,92,0,0,0,0,11,33,36,14,7,8,4,5,6,4,10,138,0,0,10,59,84,19,14,0,4,0,0,3,0,0,14,207,0,0,0,11,33,112,52,50,9,17,38,32,27,5,18,404,0,30,88,48,21,14,0,0,0,0,0,0,0,0,12,213,0,0,15,4,6,9,4,7,0,0,0,4,0,0,0,49,5,0,4,39,133,206,203,106,21,24,18,19,24,11,70,883,0,0,0,18,70,246,188,92,24,25,26,49,30,9,35,812,3,3,5,3,23,47,5,12,3,0,3,3,0,0,3,113,Botany Bay (C)
11150,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,3,3,0,0,0,0,3,0,0,0,12,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bourke (A)
10150,7,10,14,14,10,8,14,230,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,4,13,23,26,27,36,24,3,4,5,0,7,4,8,184,6,58,677,696,116,29,30,20,7,8,3,7,0,3,108,1768,0,0,0,3,3,18,43,36,7,5,6,11,9,4,6,151,0,0,0,0,56,96,106,72,15,11,11,19,24,20,23,453,0,7,28,105,91,29,21,9,0,0,3,0,0,0,16,309,0,0,0,14,40,78,37,35,8,7,11,6,4,3,8,251,0,5,13,20,12,0,3,0,0,0,0,0,0,0,6,59,0,3,10,5,11,11,7,4,0,0,3,0,3,0,0,57,4,3,9,50,106,155,170,107,20,15,19,25,25,16,46,770,0,0,0,5,58,215,154,107,37,36,50,45,30,23,28,788,0,18,12,14,23,78,31,23,4,9,5,4,3,0,7,231,Ashfield (A)
10200,27,21,20,13,14,9,76,558,0,0,0,4,9,7,394,202,25,47,34,39,35,24,42,862,0,4,6,16,19,12,3,12,3,0,7,3,10,0,3,98,0,12,132,124,36,13,3,4,0,6,3,0,0,0,34,367,0,0,0,0,4,11,23,24,0,3,8,0,0,0,5,78,0,0,0,0,115,461,818,654,189,143,167,173,156,89,120,3085,0,7,27,292,651,382,267,154,34,28,37,41,28,13,165,2126,0,0,0,5,42,132,109,57,17,25,16,18,13,15,16,465,0,14,41,25,8,8,0,0,0,0,0,0,0,0,4,100,0,0,14,3,0,0,3,3,3,0,3,0,3,0,0,32,4,0,7,23,64,128,230,168,30,17,32,33,31,19,99,885,0,0,0,7,109,450,377,97,33,42,56,48,42,45,53,1359,0,25,10,9,17,35,7,7,3,6,0,0,0,3,5,127,Auburn (C)
