lga_code_2016,pre_school_m,pre_school_f,pre_school_p,infants_primary_government_m,infants_primary_government_f,infants_primary_government_p,infants_primary_catholic_m,infants_primary_catholic_f,infants_primary_catholic_p,infnts_primry_othr_non_govt_m,infnts_primry_othr_non_govt_f,infnts_primry_othr_non_govt_p,infants_primary_tot_m,infants_primary_tot_f,infants_primary_tot_p,secondary_government_m,secondary_government_f,secondary_government_p,secondary_catholic_m,secondary_catholic_f,secondary_catholic_p,secondary_other_non_govt_m,secondary_other_non_govt_f,secondary_other_non_govt_p,secondary_tot_m,secondary_tot_f,secondary_tot_p,tec_furt_educ_inst_ft_15_24_m,tec_furt_educ_inst_ft_15_24_f,tec_furt_educ_inst_ft_15_24_p,tec_furt_educ_inst_ft_25_ov_m,tec_furt_educ_inst_ft_25_ov_f,tec_furt_educ_inst_ft_25_ov_p,tec_furt_educ_inst_pt_15_24_m,tec_furt_educ_inst_pt_15_24_f,tec_furt_educ_inst_pt_15_24_p,tec_furt_educ_inst_pt_25_ov_m,tec_furt_educ_inst_pt_25_ov_f,tec_furt_educ_inst_pt_25_ov_p,tec_furt_educ_inst_f_pt_ns_m,tec_furt_educ_inst_f_pt_ns_f,tec_furt_educ_inst_f_pt_ns_p,tec_furt_educ_inst_tot_m,tec_furt_educ_inst_tot_f,tec_furt_educ_inst_tot_p,uni_othr_tert_inst_ft_15_24_m,uni_othr_tert_inst_ft_15_24_f,uni_othr_tert_inst_ft_15_24_p,uni_othr_tert_inst_ft_25_ov_m,uni_othr_tert_inst_ft_25_ov_f,uni_othr_tert_inst_ft_25_ov_p,uni_othr_tert_inst_pt_15_24_m,uni_othr_tert_inst_pt_15_24_f,uni_othr_tert_inst_pt_15_24_p,uni_othr_tert_inst_pt_25_ov_m,uni_othr_tert_inst_pt_25_ov_f,uni_othr_tert_inst_pt_25_ov_p,uni_othr_tert_inst_f_pt_ns_m,uni_othr_tert_inst_f_pt_ns_f,uni_othr_tert_inst_f_pt_ns_p,uni_other_tert_instit_tot_m,uni_other_tert_instit_tot_f,uni_other_tert_instit_tot_p,othr_typ_educ_inst_ft_stud_m,othr_typ_educ_inst_ft_stud_f,othr_typ_educ_inst_ft_stud_p,othr_typ_educ_inst_pt_stud_m,othr_typ_educ_inst_pt_stud_f,othr_typ_educ_inst_pt_stud_p,oth_typ_ed_instit_f_pt_ns_m,oth_typ_ed_instit_f_pt_ns_f,oth_typ_ed_instit_f_pt_ns_p,other_type_educ_instit_tot_m,other_type_educ_instit_tot_f,other_type_educ_instit_tot_p,type_educanl_institution_ns_m,type_educanl_institution_ns_f,type_educanl_institution_ns_p,os_visitors_m,os_visitors_f,os_visitors_p,tot_m,tot_f,tot_p,lga_name16
10850,80,73,152,274,248,525,68,59,122,12,24,34,350,326,680,165,187,357,42,47,90,34,42,75,246,280,524,4,6,10,0,8,8,28,19,46,25,50,70,0,0,0,56,85,141,5,31,39,5,9,17,0,12,11,15,50,66,0,0,0,32,103,137,3,3,3,4,16,18,0,3,3,7,21,27,270,251,528,0,10,9,1041,1152,2196,Blayney (A)
10900,734,709,1442,2309,2256,4561,531,497,1026,510,442,948,3345,3188,6531,1540,1523,3067,561,467,1029,569,512,1083,2673,2511,5184,102,111,209,74,114,190,307,158,465,260,440,699,7,4,12,743,834,1576,641,756,1392,213,299,509,88,137,227,429,858,1282,4,3,14,1373,2050,3424,61,80,144,105,242,342,0,3,6,167,328,492,1654,1808,3460,401,530,931,11090,11954,23048,Blue Mountains (C)
10950,21,35,55,59,45,103,58,51,114,0,0,0,117,100,214,64,71,136,0,0,0,3,0,3,65,74,136,0,0,3,0,3,0,8,14,21,7,12,22,0,0,0,16,33,49,0,3,3,0,4,4,3,3,5,6,17,22,0,0,0,7,29,38,0,0,0,0,0,4,0,0,0,0,4,4,169,166,336,3,0,3,395,432,834,Bogan (A)
11100,386,352,736,989,884,1877,632,610,1241,126,102,228,1750,1600,3345,534,514,1047,582,543,1122,143,129,270,1254,1187,2439,104,109,208,109,162,273,124,67,194,120,211,339,0,9,13,459,562,1024,977,1017,1988,439,347,777,77,104,183,242,289,532,8,16,17,1737,1768,3504,124,185,307,121,195,320,5,5,7,254,390,640,1937,1901,3839,566,693,1259,8340,8447,16787,Botany Bay (C)
11150,26,26,60,99,89,180,29,27,57,4,0,7,133,110,245,25,49,76,0,0,0,7,3,7,36,53,86,0,0,0,3,4,4,3,7,4,4,13,19,0,0,0,8,24,34,3,4,5,0,7,4,0,0,7,6,11,16,0,0,0,10,24,37,0,0,0,0,3,6,0,0,0,0,3,6,376,340,715,3,6,9,594,595,1192,Bourke (A)
11200,21,12,36,55,67,130,27,15,43,0,0,0,86,89,178,26,47,68,3,4,4,0,0,0,27,52,78,0,3,5,0,3,3,4,0,3,4,9,13,0,0,0,12,14,28,0,3,3,0,5,4,0,0,0,4,10,12,0,0,0,4,14,21,0,0,0,0,3,7,0,0,0,0,3,9,137,90,220,3,0,7,293,273,566,Brewarrina (A)
14750,95,100,197,350,317,668,118,110,225,11,12,23,472,435,910,314,360,671,240,249,490,8,18,26,565,627,1192,6,11,16,3,18,16,37,24,56,29,53,86,0,0,0,75,104,178,3,15,20,7,9,14,6,10,15,16,42,61,0,0,0,35,83,112,3,6,10,10,11,24,0,3,5,13,21,34,583,576,1153,19,19,38,1856,1976,3833,Leeton (A)
14850,365,350,719,1218,1112,2331,393,365,758,208,211,422,1815,1692,3506,832,824,1659,461,540,1006,101,88,183,1394,1451,2853,48,85,132,47,121,173,141,101,248,143,236,382,3,3,9,392,549,947,279,354,624,211,258,466,56,94,153,198,416,614,0,3,6,744,1120,1859,29,28,60,50,105,156,3,3,4,86,135,220,1826,1865,3687,104,142,247,6730,7310,14038,Lismore (C)
14870,162,163,323,583,545,1125,144,161,311,28,25,47,752,723,1481,420,362,778,133,134,271,44,35,80,600,533,1134,20,45,67,19,36,48,89,57,148,57,120,172,7,4,16,194,259,453,21,61,82,21,37,53,11,22,35,50,115,163,0,0,0,102,237,334,12,14,21,21,42,66,0,0,0,35,55,92,1557,1152,2706,26,21,45,3422,3140,6563,Lithgow (C)
14900,1842,1642,3482,6477,5927,12404,2022,2107,4128,1410,1390,2807,9909,9426,19338,4757,4502,9258,2121,2094,4212,1237,1307,2543,8110,7900,16016,370,381,750,307,588,891,709,304,1009,510,877,1392,40,34,69,1931,2183,4114,2501,3252,5752,545,765,1308,365,445,813,561,963,1524,11,29,42,3993,5450,9437,379,450,828,362,657,1021,25,16,38,757,1126,1882,7903,7959,15860,614,849,1467,35065,36542,71601,Liverpool (C)
11250,153,142,300,564,556,1123,47,50,97,5,7,14,620,609,1233,473,469,947,0,4,4,10,20,26,487,489,980,26,23,52,16,46,60,71,37,113,63,128,191,0,3,3,174,243,421,6,34,39,8,35,42,7,16,26,49,105,155,0,4,4,75,197,266,7,17,22,27,42,65,3,3,5,35,57,90,900,887,1784,36,26,60,2485,2652,5133,Broken Hill (C)
13910,172,163,337,587,545,1132,235,247,482,13,16,28,840,813,1644,378,340,713,195,228,421,8,15,26,583,586,1168,11,11,29,4,17,24,63,53,119,37,126,163,4,7,6,126,217,342,19,41,60,9,30,31,4,23,25,21,90,104,0,3,0,51,178,227,9,8,18,12,31,38,0,4,4,21,40,56,713,741,1452,25,28,53,2524,2759,5287,Hilltops (A)
14000,1444,1328,2765,5236,5041,10273,865,842,1705,697,596,1291,6797,6481,13275,3481,3365,6850,969,1290,2258,1150,930,2082,5604,5583,11186,177,159,339,133,256,386,494,173,668,395,714,1116,3,13,14,1209,1313,2517,2343,2615,4953,543,624,1167,335,308,648,701,1039,1742,15,15,30,3944,4598,8541,101,139,243,231,420,649,3,7,13,335,571,904,2294,2816,5109,754,1097,1853,22376,23787,46160,Hornsby (A)
14100,148,121,263,328,335,658,202,182,387,98,79,180,632,598,1231,89,110,200,688,174,861,203,172,375,976,458,1435,4,14,24,3,17,19,28,9,35,23,35,52,0,0,0,65,70,131,238,222,458,40,50,95,31,30,63,66,109,168,0,3,3,374,420,796,8,14,25,14,40,62,0,0,3,31,54,84,331,352,684,50,67,120,2604,2137,4740,Hunters Hill (A)
14170,1398,1332,2725,4351,4183,8534,1089,1019,2100,594,527,1122,6039,5724,11762,1893,1817,3712,1002,1102,2103,1069,781,1850,3964,3695,7665,249,251,498,321,438,754,304,172,477,614,839,1457,14,19,26,1497,1712,3209,2679,3036,5719,1476,1810,3287,335,461,793,1540,2379,3915,18,22,46,6059,7703,13760,348,388,736,476,734,1215,7,10,19,832,1138,1972,6605,6468,13072,998,1232,2236,27388,29006,56392,Inner West (A)
14200,175,136,309,557,528,1080,148,137,286,11,3,13,714,669,1381,443,465,911,64,37,95,8,15,27,514,517,1036,15,14,31,15,33,41,38,61,96,40,82,124,0,3,3,108,190,298,11,29,40,12,24,29,13,32,51,31,61,94,0,0,3,64,147,212,38,32,68,6,38,48,4,0,4,50,69,120,727,794,1523,29,53,78,2373,2577,4950,Inverell (A)
14300,46,54,103,171,170,343,76,61,132,9,6,17,248,240,487,100,92,192,23,15,39,29,29,56,146,144,290,3,12,17,3,3,8,19,13,36,15,37,45,0,0,0,38,66,106,6,10,19,3,14,14,3,11,14,9,28,42,0,0,0,23,61,89,4,0,3,0,15,17,0,0,0,3,18,27,1123,281,1399,9,13,16,1641,872,2516,Junee (A)
14350,268,222,494,792,823,1612,163,176,337,136,93,230,1091,1088,2185,497,459,958,246,211,452,110,121,230,851,791,1639,24,32,56,23,52,71,70,59,129,54,143,197,3,3,3,171,291,455,29,58,91,13,54,71,7,18,24,40,117,162,0,0,0,92,250,342,11,12,20,26,60,84,3,3,5,33,80,114,1915,1590,3508,54,68,121,4484,4379,8858,Kempsey (A)
14400,228,187,412,662,592,1251,125,118,240,51,54,99,833,765,1590,472,467,938,104,106,219,113,74,191,695,649,1345,31,17,48,9,16,29,115,39,149,53,78,135,3,0,3,214,150,358,177,211,387,32,66,97,28,28,51,72,160,236,3,0,3,309,465,777,10,13,25,37,61,97,0,4,4,45,81,128,635,712,1352,31,72,107,2984,3085,6063,Kiama (A)
14500,1210,1089,2302,3982,3724,7704,687,606,1291,1510,1382,2889,6171,5706,11879,1980,1620,3608,791,995,1786,2878,2859,5737,5654,5475,11128,94,92,186,82,132,217,173,89,264,222,428,652,3,3,8,576,753,1327,2377,2649,5024,407,491,894,317,256,569,627,904,1531,15,19,29,3728,4326,8053,69,82,156,213,399,614,0,0,0,280,489,771,1944,2371,4319,856,1180,2033,20422,21390,41813,Ku-ring-gai (A)
14550,61,72,136,265,236,502,64,65,123,24,25,46,351,327,673,197,217,411,48,52,102,8,15,23,255,279,531,10,17,22,7,19,25,22,20,41,30,53,78,0,0,0,64,104,166,15,16,28,13,20,31,5,3,14,18,31,50,0,0,0,49,71,121,4,9,8,10,16,23,0,0,0,11,27,36,470,440,908,19,18,40,1277,1330,2604,Kyogle (A)
14600,71,75,142,218,204,421,50,54,110,11,9,17,278,267,547,119,134,257,3,6,7,12,10,17,130,152,280,3,0,6,3,11,10,4,6,10,8,29,35,0,0,0,16,45,62,4,7,15,4,4,5,0,6,10,9,18,32,0,0,0,17,40,58,0,7,7,3,12,17,0,0,0,3,13,16,402,377,784,9,8,17,924,974,1905,Lachlan (A)
14650,1978,1858,3834,6200,5942,12145,1247,1085,2341,891,871,1765,8344,7899,16241,4406,4317,8725,1018,1016,2031,974,923,1897,6405,6249,12660,242,265,511,105,254,362,789,456,1251,527,943,1471,13,9,20,1684,1931,3621,1373,1631,3004,396,663,1061,240,327,564,663,1269,1926,10,11,20,2679,3904,6580,97,138,239,239,506,746,7,14,20,345,657,1003,4194,4853,9049,222,318,534,25852,27670,53521,Lake Macquarie (C)
14700,395,330,729,902,954,1855,349,265,612,172,200,370,1427,1417,2839,309,310,615,734,348,1084,449,330,779,1493,992,2478,34,34,71,46,66,115,40,30,77,97,188,287,0,3,3,222,322,542,572,536,1109,190,233,418,99,97,189,263,391,653,3,3,4,1123,1259,2385,43,52,90,76,141,216,4,6,7,123,192,315,794,821,1614,229,384,605,5799,5717,11507,Lane Cove (A)
14920,78,75,153,235,218,455,57,42,99,8,5,18,303,267,571,191,176,368,12,14,28,23,29,53,223,222,448,3,6,8,3,13,11,18,10,26,10,40,49,0,3,4,31,69,106,7,7,13,7,17,24,6,4,14,6,22,32,0,0,0,24,59,83,3,3,3,3,12,18,0,0,0,10,11,22,376,391,766,9,8,20,1055,1112,2164,Liverpool Plains (A)
14950,30,27,58,69,94,160,41,44,83,11,15,28,123,149,267,50,55,110,15,15,27,29,20,48,95,86,177,0,3,3,0,4,4,9,3,12,3,20,23,0,0,0,11,24,40,3,8,9,0,4,4,0,5,3,0,14,13,0,0,0,6,30,32,3,6,10,3,9,11,0,0,0,3,12,13,120,161,280,6,4,7,386,498,883,Lockhart (A)
15050,896,780,1683,2538,2408,4939,879,858,1746,376,352,729,3797,3616,7411,1607,1507,3115,670,675,1347,391,346,741,2677,2529,5207,146,177,321,44,105,151,320,219,536,246,457,701,13,13,23,768,966,1729,392,544,942,144,280,420,91,133,224,278,508,787,0,3,7,910,1470,2376,57,76,130,113,211,323,3,3,3,168,286,462,2029,2071,4097,80,106,190,11323,11828,23156,Maitland (C)
15240,762,682,1447,2579,2359,4938,424,446,868,256,262,521,3260,3062,6328,1891,1956,3847,372,326,702,205,226,426,2464,2508,4976,92,125,221,81,186,264,245,190,433,187,473,660,13,11,19,623,990,1609,95,189,276,57,148,205,28,77,105,138,361,495,3,3,4,321,768,1096,33,56,92,61,199,260,4,7,12,96,265,364,3356,3726,7081,124,155,285,11008,12161,23171,Mid-Coast (A)
15270,209,215,417,814,720,1535,252,271,519,12,9,20,1076,994,2072,572,501,1073,125,113,234,6,7,16,704,620,1327,16,19,33,10,26,32,88,81,170,67,166,232,0,0,5,180,288,468,8,34,41,20,38,63,15,20,36,51,122,181,0,0,0,94,219,313,10,13,24,32,39,68,0,0,0,37,53,91,1325,1286,2618,22,44,65,3645,3724,7364,Mid-Western Regional (A)
15300,148,140,288,414,389,801,145,170,313,35,37,77,596,594,1190,216,233,450,41,47,88,16,17,37,274,301,576,3,8,11,13,11,21,32,20,59,29,63,98,0,4,3,79,109,190,5,16,23,6,17,23,8,19,28,20,76,93,0,0,3,44,119,171,0,3,5,10,18,25,0,3,3,11,21,35,990,889,1877,25,58,85,2177,2231,4408,Moree Plains (A)
15350,249,261,511,566,550,1117,184,193,383,460,347,808,1214,1085,2305,195,238,435,171,214,384,527,531,1052,890,980,1876,26,18,40,3,28,30,22,21,38,51,98,152,0,3,3,99,168,263,368,419,788,84,148,230,48,57,107,131,297,426,0,3,3,631,923,1557,28,28,50,55,113,167,0,0,0,78,139,219,851,1011,1859,158,240,398,4179,4807,8984,Mosman (A)
15520,100,109,204,308,290,596,68,82,150,50,57,104,424,427,852,152,158,307,82,119,200,75,88,166,310,358,673,12,14,22,0,5,5,26,24,56,27,51,78,0,0,4,65,94,158,9,28,29,9,9,19,4,11,13,13,49,68,0,3,4,33,98,130,3,3,7,17,27,40,0,0,0,13,32,44,515,538,1050,7,23,32,1470,1678,3146,Murray River (A)
15560,35,24,68,130,101,234,47,40,82,8,4,11,190,146,333,120,82,202,3,12,13,0,3,5,123,91,217,3,4,4,0,3,3,17,7,22,14,17,31,0,3,6,27,30,63,0,4,6,3,3,6,0,4,3,10,15,27,0,0,0,17,24,41,3,0,4,0,3,4,0,0,0,4,5,6,256,218,467,17,19,34,673,559,1237,Murrumbidgee (A)
15650,193,168,361,599,547,1149,168,156,319,46,53,105,814,756,1569,320,317,640,166,168,335,26,34,59,516,519,1032,15,30,45,8,18,25,79,56,136,56,90,144,5,0,5,166,188,357,6,35,42,8,29,40,9,17,25,46,65,106,0,0,0,70,149,219,3,6,10,13,37,51,0,0,3,20,45,61,894,564,1456,29,42,79,2700,2424,5130,Muswellbrook (A)
15700,157,136,298,497,480,975,153,144,294,84,97,184,732,724,1454,444,425,872,32,33,68,68,86,157,550,545,1095,12,27,41,16,54,65,61,34,94,41,105,147,0,0,0,135,219,348,17,36,60,9,41,53,5,18,26,37,77,120,3,3,7,76,182,255,10,8,21,14,37,53,0,0,0,24,51,75,811,856,1665,25,24,52,2508,2730,5243,Nambucca (A)
15750,117,134,249,416,449,865,154,153,304,22,13,38,593,614,1205,328,300,630,15,22,39,10,4,17,352,329,685,4,12,17,8,9,16,54,19,75,28,50,79,3,0,3,94,95,186,7,16,29,8,17,30,5,10,21,19,56,75,0,0,0,44,110,153,4,5,9,13,27,34,0,0,0,15,34,48,867,804,1667,11,14,31,2093,2125,4223,Narrabri (A)
15800,58,57,108,163,168,330,80,95,173,3,0,3,249,257,503,106,114,219,32,44,77,3,0,3,137,151,292,0,0,4,0,6,8,24,16,39,15,37,56,0,0,0,46,66,108,3,3,12,3,15,14,0,8,8,6,25,33,0,0,0,19,48,62,0,0,0,3,12,15,0,0,0,7,9,13,351,369,717,18,19,32,873,973,1852,Narrandera (A)
15850,76,59,127,166,165,327,93,71,163,48,53,96,303,281,592,126,116,239,31,35,72,31,30,64,190,184,375,8,5,13,0,9,11,20,9,26,7,31,45,0,0,3,37,63,96,8,17,21,3,13,11,0,5,8,10,29,44,0,0,0,19,60,78,3,0,6,0,10,8,0,0,0,3,9,13,343,347,695,3,4,10,976,1012,1991,Narromine (A)
15900,1550,1267,2820,4266,4049,8318,1143,1046,2185,534,525,1061,5937,5622,11563,2863,2729,5600,854,809,1667,680,618,1292,4400,4156,8553,246,333,578,264,312,582,541,379,922,612,857,1467,16,15,31,1678,1899,3578,3102,3482,6585,1355,1349,2709,348,423,774,1032,1486,2521,18,14,34,5858,6760,12617,82,123,210,227,395,624,9,19,23,316,535,855,4522,4899,9418,526,726,1249,24789,25858,50647,Newcastle (C)
15950,483,479,965,1206,1166,2370,196,250,447,223,222,444,1625,1641,3261,360,401,753,243,220,461,511,392,908,1109,1012,2124,41,59,101,62,140,201,49,42,90,186,328,513,3,3,4,343,574,913,663,798,1458,325,503,830,111,136,251,673,889,1559,5,12,17,1772,2341,4112,56,121,177,148,291,437,0,3,3,212,410,616,2383,2596,4984,586,687,1274,8514,9740,18253,North Sydney (A)
15990,2754,2476,5233,8589,8253,16848,1740,1603,3347,1565,1417,2982,11893,11279,23170,4115,4181,8298,2535,2193,4733,2202,2072,4272,8850,8449,17303,242,232,478,256,368,625,823,393,1216,731,1141,1873,12,15,30,2068,2152,4217,2500,2841,5337,619,873,1497,475,496,969,1111,1700,2810,17,28,47,4719,5937,10653,205,246,455,521,930,1451,6,12,18,736,1192,1925,5998,6923,12921,1234,1519,2749,38252,39921,78176,Northern Beaches (A)
16100,38,33,70,140,118,259,49,47,95,9,4,12,203,167,370,117,104,222,29,41,65,22,19,46,168,169,331,5,7,9,0,7,8,12,16,28,11,26,37,0,0,0,36,56,86,11,16,22,0,3,5,0,7,8,6,28,35,0,0,0,21,56,72,0,0,3,5,11,15,0,0,0,3,10,16,427,290,715,11,0,10,896,787,1685,Oberon (A)
16150,388,365,754,1268,1158,2426,392,372,761,297,247,545,1962,1777,3735,701,635,1340,327,377,699,319,372,689,1346,1383,2728,46,76,122,35,68,101,190,124,316,217,296,512,3,3,7,491,568,1061,191,305,500,112,150,260,28,63,89,167,342,512,0,0,0,494,864,1360,25,24,46,49,96,148,3,6,3,79,126,204,1549,1494,3041,56,65,116,6352,6638,12989,Orange (C)
16200,127,134,262,456,445,904,153,130,292,54,57,111,671,632,1309,305,298,603,126,120,243,47,52,98,478,471,949,15,19,32,3,6,7,51,52,103,31,105,136,0,3,3,101,189,282,3,37,43,12,19,26,11,23,37,39,63,102,0,0,3,68,142,208,3,4,9,12,38,52,0,0,0,19,43,61,669,774,1444,14,24,43,2149,2405,4554,Parkes (A)
16260,2001,1872,3864,6660,6156,12816,1628,1554,3183,466,466,930,8751,8173,16926,4115,3952,8071,1458,1418,2876,1032,719,1752,6609,6090,12696,344,273,615,422,691,1114,449,213,657,646,1145,1788,18,13,37,1883,2327,4207,4196,4059,8254,1798,1900,3698,434,459,896,1211,1522,2735,30,36,67,7667,7982,15649,482,490,966,496,905,1400,12,6,19,991,1404,2395,9142,7698,16842,2263,2928,5195,39305,38469,77776,Parramatta (C)
16350,2107,1865,3978,6328,6037,12365,1781,1860,3636,898,924,1820,9006,8819,17822,3511,3661,7171,2256,2101,4354,886,810,1702,6654,6572,13224,228,314,545,170,426,588,996,473,1464,523,928,1452,20,13,32,1939,2152,4091,1479,1835,3311,513,679,1190,275,416,692,576,1094,1669,19,18,33,2859,4039,6902,158,242,402,236,589,830,8,15,24,404,847,1254,6439,6330,12765,390,594,977,29790,31222,61016,Penrith (C)
11300,204,194,393,595,615,1216,296,279,577,104,120,226,995,1017,2013,463,596,1058,308,250,558,173,228,403,942,1080,2023,119,122,249,112,167,284,65,45,108,101,160,262,0,0,3,402,500,901,1414,1575,2989,583,545,1127,94,74,164,184,234,411,11,4,16,2285,2431,4715,180,197,378,142,173,311,3,8,10,324,378,703,991,1039,2026,360,568,927,6498,7203,13706,Burwood (A)
