lga_code_2016,p_y8b_15_19_yrs,p_y8b_20_24_yrs,p_y8b_25_34_yrs,p_y8b_35_44_yrs,p_y8b_45_54_yrs,p_y8b_55_64_yrs,p_y8b_65_74_yrs,p_y8b_75_84_yrs,p_y8b_85ov,p_y8b_tot,p_dngts_15_19,p_dngts_20_24,p_dngts_25_34,p_dngts_35_44,p_dngts_45_54,p_dngts_55_64,p_dngts_65_74,p_dngts_75_84,p_dngts_85_ov,p_dngts_tot,p_hghst_yr_schl_ns_15_19_yrs,p_hghst_yr_schl_ns_20_24_yrs,p_hghst_yr_schl_ns_25_34_yrs,p_hghst_yr_schl_ns_35_44_yrs,p_hghst_yr_schl_ns_45_54_yrs,p_hghst_yr_schl_ns_55_64_yrs,p_hghst_yr_schl_ns_65_74_yrs,p_hghst_yr_schl_ns_75_84_yrs,p_hghst_yr_schl_ns_85_yrs_ovr,p_hghst_yr_schl_ns_tot,p_tot_15_19_yrs,p_tot_20_24_yrs,p_tot_25_34_yrs,p_tot_35_44_yrs,p_tot_45_54_yrs,p_tot_55_64_yrs,p_tot_65_74_yrs,p_tot_75_84_yrs,p_tot_85ov,p_tot_tot,lga_name16
10950,3,0,6,9,18,25,38,34,13,139,0,0,0,0,0,0,0,3,0,4,15,25,50,40,50,36,40,41,16,313,73,169,341,305,399,293,292,185,59,2115,Bogan (A)
11100,14,11,50,66,146,325,520,502,197,1833,3,14,27,39,56,86,117,146,66,556,131,266,727,612,562,468,399,317,183,3668,1391,3764,8796,7293,6137,4562,3340,2054,750,38090,Botany Bay (C)
11150,3,0,12,8,12,36,38,19,8,144,0,0,0,3,4,5,3,0,0,15,23,42,85,81,125,127,98,49,12,640,71,175,402,334,460,439,345,120,34,2374,Bourke (A)
11200,3,3,7,12,18,35,40,16,13,144,0,0,0,0,0,4,3,0,0,7,11,33,44,14,42,29,20,12,0,208,49,130,235,162,278,225,121,53,19,1274,Brewarrina (A)
11250,3,13,40,58,119,356,352,241,118,1315,0,0,0,3,8,10,14,3,8,36,59,111,212,208,264,295,359,297,246,2053,437,970,2098,1865,2409,2735,2196,1223,579,14501,Broken Hill (C)
13910,7,7,36,51,83,179,253,244,149,1006,0,5,8,5,11,17,19,14,7,81,85,55,121,122,224,254,290,221,116,1490,472,871,1673,2009,2427,2507,2289,1253,513,14016,Hilltops (A)
14000,12,10,45,74,159,328,433,497,393,1950,0,11,53,81,93,102,110,133,76,659,215,262,541,628,653,554,596,810,1096,5353,3466,8299,14576,20411,20778,16871,11893,6943,3870,107111,Hornsby (A)
14100,0,0,0,3,14,22,47,87,69,236,0,0,4,5,4,9,7,28,6,64,36,41,78,84,82,92,97,103,233,853,285,683,1123,1668,1966,1595,1376,842,741,10278,Hunters Hill (A)
14170,21,29,105,187,388,779,1635,1878,919,5940,8,27,108,88,180,265,376,623,295,1963,414,1019,3173,2354,1811,1495,1182,901,596,12947,2922,12561,36346,31228,24826,18220,12027,6717,3132,147988,Inner West (A)
14200,5,14,22,48,85,164,255,249,100,939,0,0,6,3,0,12,16,3,3,41,80,76,168,158,192,235,277,201,89,1483,475,889,1719,1749,2043,2189,1892,1134,398,12498,Inverell (A)
14300,8,0,10,9,20,54,58,46,41,240,0,0,0,3,0,4,3,3,3,17,38,127,322,332,190,158,97,61,13,1332,183,389,860,844,813,835,587,274,110,4899,Junee (A)
14350,16,21,54,51,151,366,543,355,236,1801,6,0,3,10,12,8,14,20,13,84,134,188,462,397,444,540,515,405,260,3348,745,1333,2705,2939,3724,4771,4154,2043,873,23295,Kempsey (A)
14400,3,0,10,12,30,76,125,147,116,516,0,0,3,3,0,3,8,11,5,37,64,49,98,129,161,184,240,195,147,1266,529,1052,1819,2310,2766,3355,2712,1466,677,16679,Kiama (A)
14500,16,6,8,26,52,126,163,264,215,879,0,11,20,38,51,59,44,70,44,340,324,197,344,420,525,376,454,570,839,4052,3016,6524,9594,14884,18224,13269,10222,6833,4053,86610,Ku-ring-gai (A)
14550,3,0,5,19,45,93,143,133,80,520,0,0,0,0,4,7,3,4,0,23,49,29,46,85,171,183,152,108,49,873,212,322,651,851,1347,1733,1193,591,230,7137,Kyogle (A)
14600,0,3,6,8,27,87,88,106,46,367,0,0,0,0,3,11,12,5,0,27,34,40,88,91,101,109,114,81,30,683,147,336,738,657,703,815,654,432,164,4641,Lachlan (A)
14650,73,82,215,267,576,1334,1711,1641,1133,7039,10,20,24,42,64,78,88,86,36,453,366,417,839,854,1062,1256,1581,1765,1413,9554,5292,10777,21405,23252,25472,25248,21248,12358,5593,150654,Lake Macquarie (C)
14700,5,3,11,12,20,33,64,75,77,305,0,3,5,17,5,24,17,24,15,100,45,96,369,295,180,194,144,114,111,1550,575,2006,6218,5883,4668,3693,2708,1428,785,27973,Lane Cove (A)
14750,3,12,24,23,53,128,133,159,71,593,0,0,0,3,6,3,10,11,5,41,65,53,113,121,157,159,175,125,81,1055,324,557,1214,1222,1472,1385,1022,679,242,8119,Leeton (A)
14850,13,25,53,80,142,288,373,406,319,1690,3,3,5,9,19,16,25,19,16,109,216,264,432,404,502,624,445,371,249,3505,1191,2522,4469,5156,6086,6641,4389,2303,1152,33914,Lismore (C)
14870,8,10,31,35,95,221,307,220,124,1045,0,0,3,7,3,8,14,10,3,47,113,149,381,351,368,371,399,252,102,2492,571,1088,2259,2324,2811,3017,2610,1352,506,16535,Lithgow (C)
14900,55,122,497,832,1262,2085,2320,1629,708,9514,25,70,335,428,727,925,741,629,264,4151,918,1125,2399,2254,2009,1823,1392,927,428,13272,6840,14491,29731,29597,27081,20638,12542,6452,2329,149694,Liverpool (C)
14920,0,3,17,21,32,96,122,94,47,432,0,0,0,0,3,5,4,5,0,24,30,32,71,66,109,154,131,99,34,731,149,318,765,813,990,1171,929,544,180,5860,Liverpool Plains (A)
14950,0,0,3,7,11,33,34,37,29,156,0,0,0,0,0,0,0,3,0,4,24,11,16,22,48,44,43,41,22,278,93,122,260,301,415,466,346,220,96,2321,Lockhart (A)
15050,32,36,86,130,226,526,620,517,329,2502,0,9,14,26,24,27,22,17,11,154,187,201,511,499,512,525,560,501,281,3779,2266,4730,10425,10006,9816,8657,6363,3211,1290,56756,Maitland (C)
15240,44,49,121,183,377,898,1378,1210,713,4975,6,0,3,21,25,33,49,50,27,204,284,248,497,595,923,1206,1607,1304,807,7473,2004,3457,6821,8241,11256,14479,15100,8333,3424,73114,Mid-Coast (A)
15270,3,7,39,38,117,226,329,231,136,1131,0,3,0,0,3,11,18,16,5,56,132,107,282,297,389,359,447,249,77,2332,597,1068,2701,2797,3423,3133,2776,1404,483,18380,Mid-Western Regional (A)
15300,5,16,25,32,91,129,238,117,38,695,0,0,6,4,5,12,20,3,3,57,98,102,230,248,281,254,280,174,42,1696,372,784,1670,1653,1883,1694,1452,712,172,10389,Moree Plains (A)
15350,3,4,0,3,3,12,29,50,32,137,3,0,6,5,3,3,11,3,3,42,77,98,285,272,243,212,204,151,167,1705,507,1243,3381,4012,4178,3262,2878,1476,893,21845,Mosman (A)
15520,3,6,13,17,40,89,236,191,101,702,0,0,0,3,4,8,5,3,3,31,37,40,92,98,118,199,182,202,77,1031,236,425,1124,1155,1526,1839,1723,966,343,9336,Murray River (A)
15560,3,0,10,10,33,55,66,40,21,238,0,0,0,0,0,0,3,0,0,9,23,26,57,65,56,68,44,47,8,396,106,171,451,443,531,526,354,215,69,2868,Murrumbidgee (A)
15650,7,13,39,31,77,152,170,138,58,689,0,0,0,0,5,11,4,3,3,42,58,82,264,224,248,182,149,110,42,1365,429,994,2301,2122,2279,1818,1229,608,201,11977,Muswellbrook (A)
15700,8,6,15,34,77,197,303,232,159,1028,0,0,0,3,4,8,14,14,4,47,81,63,101,118,237,275,328,293,192,1685,437,748,1465,1758,2419,3388,3076,1575,700,15552,Nambucca (A)
15750,5,8,16,29,57,175,172,136,50,656,0,0,0,3,3,9,8,7,4,37,82,85,192,203,251,251,207,182,81,1526,377,649,1595,1639,1844,1862,1347,753,251,10319,Narrabri (A)
15800,4,5,4,20,33,75,100,73,48,353,0,0,4,0,4,4,7,0,0,26,36,33,63,74,80,132,142,106,64,725,150,302,562,627,721,841,735,396,196,4530,Narrandera (A)
15850,0,0,14,7,26,71,101,62,34,320,0,0,0,0,0,3,14,0,0,24,30,39,58,59,87,127,91,82,34,597,155,324,647,644,775,876,743,421,168,4766,Narromine (A)
15900,56,77,208,204,395,834,1030,1135,753,4688,10,26,61,68,87,79,66,110,63,569,328,594,1115,942,1181,1289,1265,1346,1332,9388,4418,13488,23476,19964,19643,18007,12835,7665,4160,123664,Newcastle (C)
15950,3,9,32,32,25,65,92,84,69,395,0,5,16,25,23,19,15,22,16,131,119,302,1332,905,624,585,495,289,198,4853,759,3415,16185,12245,8254,7174,5887,2604,1114,57640,North Sydney (A)
15990,17,28,109,160,237,544,842,945,739,3626,14,7,69,117,106,86,124,142,84,740,532,655,1705,1782,1690,1411,1518,1512,1554,12356,5148,12356,29136,37600,36708,27622,21543,12717,6843,189681,Northern Beaches (A)
16100,0,3,3,9,15,42,81,39,34,237,0,0,0,0,0,3,3,3,0,15,36,96,77,73,97,63,106,61,18,622,154,319,494,549,754,709,737,288,111,4111,Oberon (A)
16150,20,25,74,86,148,342,382,340,223,1647,0,0,15,19,20,32,27,13,12,149,170,183,410,391,458,401,370,367,151,2900,1235,2397,5429,5152,5092,4676,3467,2166,915,30524,Orange (C)
16200,3,4,18,19,54,166,183,151,133,732,0,0,3,0,6,6,5,12,0,36,79,67,108,144,203,220,276,213,107,1421,418,793,1525,1532,1900,1933,1498,934,437,10966,Parkes (A)
16260,34,62,231,279,501,903,1055,1036,635,4725,3,64,272,227,316,420,378,368,208,2257,623,1277,4155,3025,2114,1617,1259,1064,695,15819,5064,14970,46030,36261,27189,22545,14908,8568,3899,179431,Parramatta (C)
16350,50,75,254,325,667,1582,1860,1203,651,6666,3,24,80,108,123,152,187,194,55,929,721,984,2176,1905,1704,1532,1422,991,515,11947,6276,14096,30157,27322,24507,21965,14295,6142,2335,147091,Penrith (C)
12350,0,9,21,25,61,160,226,173,113,791,0,0,3,0,7,6,10,0,3,36,79,67,102,122,144,170,172,153,57,1070,345,657,1094,1268,1654,1770,1668,958,423,9844,Cowra (A)
12380,51,274,1063,1247,1577,2214,2380,1739,832,11364,27,334,1018,908,1083,1065,894,773,367,6471,632,1089,2720,1840,1549,1505,1216,981,616,12159,5943,16956,41815,30211,24495,20434,13217,7294,3186,163548,Cumberland (A)
12700,0,7,3,12,26,80,101,118,44,388,0,0,0,3,0,4,3,0,0,11,41,30,58,72,86,115,105,90,49,640,233,370,800,993,1280,1417,1044,550,182,6869,Dungog (A)
12730,0,0,13,18,31,100,117,104,61,446,0,0,3,3,3,10,11,4,3,44,30,50,83,86,116,166,172,152,85,936,207,468,874,962,1118,1359,995,658,280,6920,Edward River (A)
11300,4,17,25,42,82,205,390,495,260,1512,3,23,77,37,67,97,116,140,91,652,98,253,466,242,230,218,204,188,135,2034,1079,4390,7820,4341,4322,3617,2474,1784,955,30778,Burwood (A)
11350,7,4,17,24,47,106,143,135,154,630,3,0,3,8,9,9,4,7,3,54,176,217,552,673,736,834,576,250,155,4170,641,1265,3563,4536,4992,5642,3724,1377,700,26445,Byron (A)
11400,6,9,3,19,44,116,166,151,98,611,0,0,0,6,4,3,7,3,0,24,60,37,97,104,135,134,137,110,52,864,338,486,1175,1524,1830,1753,1471,771,307,9662,Cabonne (A)
11450,3,20,58,80,178,428,538,343,194,1842,0,3,14,26,30,54,60,65,20,279,187,211,567,505,453,356,426,344,345,3394,2388,4792,11767,11848,9708,7294,4891,2268,966,55914,Camden (A)
11500,49,85,252,363,701,1334,1372,785,329,5271,14,20,101,127,167,265,224,177,60,1156,574,706,1419,1360,1233,1330,1278,790,507,9196,5186,11419,23268,21054,19565,18356,11889,4792,1689,117217,Campbelltown (C) (NSW)
11520,5,30,51,54,105,303,802,1032,574,2952,3,27,89,40,53,102,139,241,129,816,184,343,1063,799,616,556,562,407,334,4856,1785,6192,16438,13202,11136,9092,6785,4024,2063,70705,Canada Bay (A)
11570,53,205,745,1225,2204,3693,4689,4194,2042,19051,21,153,542,579,1141,1619,1635,1601,748,8040,1143,1530,3636,3038,2965,2552,2300,1935,1310,20410,10037,24242,52871,46545,43550,36636,24619,15690,7363,261559,Canterbury-Bankstown (A)
11600,0,0,11,6,11,30,48,30,21,167,0,4,3,0,0,4,0,4,0,12,12,23,45,45,35,40,18,23,16,258,81,171,384,328,391,373,228,141,56,2155,Carrathool (A)
11650,87,113,336,448,919,2095,2805,2390,1746,10935,11,25,50,61,107,159,182,142,73,801,930,1048,1936,2110,2631,2845,3407,3582,2820,21311,8821,17947,35044,39053,43022,41480,35333,21207,10171,252071,Central Coast (C) (NSW)
11700,8,4,9,4,16,45,48,20,11,149,0,0,0,0,0,0,3,0,0,11,26,32,93,52,69,45,35,27,0,380,94,137,280,231,272,290,226,74,19,1631,Central Darling (A)
11720,30,52,93,129,246,606,684,491,287,2613,4,3,5,14,14,28,23,17,7,115,230,364,866,705,687,660,734,501,266,5016,1719,3436,7188,6849,7034,7045,5463,2543,1052,42322,Cessnock (C)
11730,22,25,89,124,217,490,762,666,436,2831,5,3,6,11,13,24,23,39,14,129,220,191,435,499,618,797,864,687,319,4633,1345,2088,4285,5200,6777,8536,7915,4135,1636,41921,Clarence Valley (A)
11750,0,3,9,13,23,46,79,49,18,242,0,0,3,0,0,4,0,3,0,13,24,35,102,76,89,85,64,44,14,527,110,249,754,628,618,651,416,223,76,3731,Cobar (A)
11800,30,46,157,179,284,506,691,643,413,2942,4,14,50,56,64,47,39,30,27,344,247,298,608,587,754,980,958,914,637,5973,1888,3685,7777,8276,9695,10949,9162,5097,2105,58629,Coffs Harbour (C)
12000,3,0,3,3,11,34,59,53,20,189,0,0,0,0,7,0,0,0,0,7,16,11,35,45,59,72,80,66,35,426,106,199,339,434,578,540,517,323,112,3148,Coolamon (A)
12150,4,18,3,14,21,43,86,60,27,270,0,0,0,0,4,3,7,3,3,26,38,21,84,64,102,105,129,69,25,639,112,219,449,369,566,575,468,234,110,3093,Coonamble (A)
12750,5,11,42,84,132,329,515,414,209,1744,0,0,12,4,9,20,14,24,6,80,121,118,198,281,356,541,670,593,375,3253,742,1248,2604,3397,4621,6636,6492,3343,1364,30455,Eurobodalla (A)
12850,90,216,891,1665,2769,3459,3265,2597,1184,16132,33,157,671,1063,2118,2568,1670,1453,733,10468,594,769,1502,1332,1590,1600,1329,1039,613,10377,6498,15172,26928,24563,26873,24674,15044,8526,3524,151805,Fairfield (C)
12870,3,5,12,25,28,104,234,200,94,714,0,0,0,0,0,7,10,3,5,27,51,48,83,107,150,173,216,191,124,1144,308,507,1004,1197,1548,1894,1789,1058,412,9706,Federation (A)
12900,0,3,7,18,57,93,151,113,62,511,0,0,0,0,0,9,7,5,0,24,56,46,95,88,155,149,188,140,49,943,254,453,1016,1008,1249,1225,1148,703,260,7318,Forbes (A)
12930,23,30,106,163,368,921,1409,1456,824,5298,8,31,202,123,207,399,327,384,161,1838,311,502,1257,822,850,835,844,764,645,6823,3860,11120,24347,19160,19099,16498,11494,7248,3809,116636,Georges River (A)
12950,4,3,11,22,20,54,88,82,35,318,0,0,0,0,0,0,3,3,0,12,18,8,30,36,47,54,74,63,24,357,95,203,401,418,534,622,526,342,128,3274,Gilgandra (A)
13010,5,4,16,27,38,107,166,137,83,580,0,0,3,0,4,7,5,4,0,26,34,38,140,156,137,146,179,139,87,1064,216,382,812,930,1067,1365,1238,693,288,6980,Glen Innes Severn (A)
13310,10,16,36,63,125,236,379,283,138,1295,0,3,13,9,20,25,23,24,4,130,117,196,443,413,410,336,426,355,255,2946,806,1649,3679,3602,4113,3914,3184,1740,735,23441,Goulburn Mulwaree (A)
13340,0,3,20,16,28,95,131,98,65,444,0,0,0,4,3,0,8,5,0,19,25,27,59,71,65,119,120,107,74,668,237,394,882,1063,1380,1522,1211,560,255,7505,Greater Hume Shire (A)
13450,7,20,62,67,123,248,372,390,226,1515,0,7,37,25,39,36,46,61,35,284,123,147,353,312,334,390,308,278,191,2432,740,1495,3531,3092,3353,3045,1977,1381,665,19279,Griffith (C)
13510,3,4,9,24,36,116,175,167,118,647,0,0,7,3,5,8,3,7,0,29,29,31,75,83,102,138,173,142,69,846,275,463,980,1140,1360,1628,1466,924,376,8610,Gundagai (A)
13550,3,5,20,25,54,136,142,158,96,647,0,0,3,3,9,15,9,3,3,45,50,75,125,126,172,142,163,151,64,1072,344,651,1532,1382,1560,1591,1197,788,316,9377,Gunnedah (A)
13660,0,3,14,15,30,65,118,102,42,390,0,0,0,0,0,4,6,0,0,15,21,20,52,55,78,120,111,90,46,597,107,225,456,517,739,746,793,429,154,4177,Gwydir (A)
13800,19,27,63,80,208,438,543,432,250,2070,0,9,8,12,20,31,40,32,26,181,244,260,467,425,636,494,530,354,191,3601,2321,4345,7987,8076,9504,7759,5488,2625,1002,49099,Hawkesbury (C)
13850,0,0,4,6,19,34,62,54,22,198,0,0,0,0,0,4,4,3,0,8,10,20,48,37,57,50,68,55,19,361,70,153,299,292,465,460,366,228,60,2394,Hay (A)
16380,15,26,71,109,223,525,854,807,557,3184,3,3,7,13,17,21,35,26,15,150,225,226,452,484,690,817,1223,1176,843,6132,1688,3132,6742,8125,10180,11206,11808,7101,3013,62992,Port Macquarie-Hastings (A)
16400,22,37,99,110,191,485,656,554,278,2434,3,3,6,13,32,41,31,31,16,174,242,256,523,521,641,767,1015,833,488,5276,1870,3477,6677,7738,9152,9576,9241,4784,1654,54169,Port Stephens (A)
16490,18,17,60,69,128,350,417,329,172,1556,4,3,9,17,15,26,31,51,17,176,229,288,712,681,788,705,550,304,130,4396,1474,3242,7740,7927,8991,7012,4221,1853,677,43145,Queanbeyan-Palerang Regional (A)
16550,17,61,71,96,167,391,729,938,570,3031,10,13,54,44,77,92,133,215,127,764,562,1332,2604,1965,1514,1346,1249,965,722,12250,4994,14951,26235,20860,16947,13204,9731,5973,3194,116092,Randwick (C)
16610,10,20,37,54,121,260,410,387,229,1532,0,0,6,0,10,8,13,15,3,52,119,93,153,247,284,337,361,289,109,2000,732,1122,2000,2441,2931,3414,2932,1753,635,17955,Richmond Valley (A)
16650,7,27,132,134,318,784,1438,1400,634,4883,8,19,103,69,137,234,356,388,160,1467,266,547,1585,1056,936,856,831,918,870,7866,2613,8027,21866,15720,13187,10922,8396,5473,2764,88970,Rockdale (C)
16700,11,45,75,84,180,463,745,838,546,2991,3,28,99,89,119,154,162,241,138,1028,243,482,1055,814,724,672,574,550,506,5618,2918,9568,21158,17202,14548,12304,8301,5272,2951,94222,Ryde (C)
16900,23,24,77,99,215,639,884,669,349,2967,5,3,12,20,22,35,84,100,45,329,184,180,379,426,532,527,666,610,429,3934,2166,4230,7929,8465,9108,8274,6313,3522,1382,51389,Shellharbour (C)
16950,39,42,130,165,324,838,1228,1025,542,4332,6,4,15,6,24,43,42,53,17,211,340,486,896,881,1064,1261,1511,1356,873,8671,2390,4592,9238,10019,12179,14901,14363,7928,3137,78745,Shoalhaven (C)
17000,8,10,30,35,81,168,202,167,117,815,3,0,8,3,12,3,8,3,3,35,92,84,211,238,250,244,219,139,52,1524,879,1563,2919,3050,3316,2691,1677,840,342,17273,Singleton (A)
17040,17,14,20,26,51,151,225,146,108,748,0,3,3,0,7,11,20,17,3,61,189,354,738,785,741,662,534,270,126,4398,883,2166,4190,4480,4705,4531,3342,1303,486,26084,Snowy Monaro Regional (A)
17080,0,8,15,25,76,135,191,167,105,715,0,0,7,3,3,6,13,6,0,45,60,74,193,220,235,280,214,177,134,1580,338,650,1456,1659,1953,2099,1665,928,420,11165,Snowy Valleys (A)
17420,15,13,52,77,169,368,696,618,365,2374,4,7,54,59,74,111,110,133,107,663,254,244,554,640,727,612,642,436,302,4413,4281,9643,16423,23401,22494,18301,13326,5594,2000,115468,The Hills Shire (A)
17550,19,16,100,123,244,619,1091,1075,662,3949,6,7,9,23,26,29,28,44,24,202,304,285,628,741,978,1229,1456,1362,1027,8004,2141,3986,8291,10316,12041,13840,12890,7930,3600,75017,Tweed (A)
17620,6,5,19,27,57,137,191,151,68,660,0,0,3,3,0,4,4,9,0,30,70,66,163,196,194,199,184,165,108,1344,336,646,1695,1753,1825,1836,1384,829,353,10660,Upper Hunter Shire (A)
17640,4,0,3,10,26,64,137,116,44,407,0,0,0,0,0,3,3,3,3,16,44,30,51,56,108,112,125,91,54,673,203,288,618,757,1147,1201,1044,545,175,5982,Upper Lachlan Shire (A)
17650,0,4,7,13,18,73,90,47,35,284,0,0,3,3,0,0,8,4,0,13,21,3,34,43,74,80,90,53,24,420,150,225,466,674,863,967,754,336,120,4555,Uralla (A)
17750,23,45,114,136,200,346,473,458,348,2140,3,11,36,42,26,30,34,14,11,209,294,360,532,455,510,524,490,420,223,3811,2602,5647,8847,7613,7484,7048,4854,2873,1372,48332,Wagga Wagga (C)
17850,0,3,3,3,13,18,40,53,20,150,0,0,3,0,0,0,3,0,0,6,8,16,37,38,45,50,80,44,48,371,55,146,284,322,432,462,471,221,94,2482,Walcha (A)
17900,0,5,26,22,53,105,152,87,19,475,0,0,4,0,8,15,8,12,0,48,30,55,98,102,114,137,152,98,13,799,141,306,717,680,856,1035,964,442,84,5220,Walgett (A)
17950,0,0,6,3,11,25,40,24,10,116,0,0,5,0,3,0,5,3,3,14,10,13,30,29,40,49,50,35,14,271,52,118,296,281,357,368,325,167,58,2028,Warren (A)
18020,3,3,13,21,52,109,200,146,58,593,0,0,0,0,0,4,16,3,0,22,36,48,87,107,153,196,214,146,60,1053,177,386,781,897,1259,1451,1357,790,296,7395,Warrumbungle Shire (A)
18050,3,9,39,27,24,70,133,220,179,715,5,3,19,22,15,17,25,26,16,142,185,446,2090,1235,835,629,601,517,446,6960,947,3673,15603,11754,8130,5673,4405,2614,1504,54292,Waverley (A)
18100,0,0,3,7,11,28,68,59,33,213,0,0,0,0,0,0,0,0,0,6,18,14,20,35,49,54,64,68,21,346,82,101,251,376,461,561,550,305,140,2836,Weddin (A)
18200,9,3,6,18,33,70,156,113,47,457,0,0,0,0,3,3,6,3,3,18,38,47,130,98,140,143,147,69,37,859,171,354,746,786,1016,1095,945,433,139,5685,Wentworth (A)
18230,24,27,72,80,186,435,499,436,247,2009,0,0,4,7,20,33,25,31,11,135,251,379,869,657,652,703,682,495,242,4922,1474,3121,6758,5966,6415,6330,4742,2730,1085,38612,Western Plains Regional (A)
18250,16,17,33,39,71,140,287,319,210,1132,3,19,53,37,41,66,68,86,51,424,140,244,688,574,473,400,389,266,242,3414,1479,4458,11323,12351,9982,7536,5507,3114,1807,57563,Willoughby (C)
18350,11,6,31,47,85,220,308,297,189,1209,3,3,7,9,17,21,22,22,20,114,143,116,231,341,460,436,577,447,317,3070,1127,1867,3988,5042,6359,6493,6852,3759,1435,36926,Wingecarribee (A)
18400,7,13,33,63,115,290,392,275,141,1322,0,3,3,12,12,23,22,33,6,118,153,139,312,333,385,399,363,300,191,2574,1581,2846,5660,6468,6634,5862,3931,1806,649,35428,Wollondilly (A)
18450,61,97,221,328,586,1498,2205,2487,1421,8913,15,24,86,78,111,189,271,409,203,1383,554,801,1482,1238,1441,1501,1674,1713,1056,11463,6363,15441,25889,25670,26173,23728,18091,11807,5237,158392,Wollongong (C)
18500,0,3,12,14,13,35,69,91,112,349,3,0,7,12,10,11,16,26,9,88,168,239,899,676,595,518,577,433,286,4401,838,2845,9259,7722,6958,5771,5486,2934,1571,43390,Woollahra (A)
18710,0,4,11,13,39,76,107,84,45,384,0,0,0,0,3,7,8,9,3,28,64,54,81,139,166,167,154,122,122,1064,370,742,1484,2173,2472,2099,1538,696,294,11865,Yass Valley (A)
19399,0,0,0,3,3,11,13,8,4,41,0,0,0,0,0,0,0,0,0,4,10,16,24,33,26,31,39,3,4,184,26,83,153,167,175,241,172,40,18,1067,Unincorporated NSW
20110,5,8,10,19,20,59,192,185,95,606,0,0,3,0,3,7,4,15,6,49,55,60,149,219,225,219,202,141,90,1355,252,506,1139,1647,1952,2150,1672,874,358,10552,Alpine (S)
