LGA_MAIN11,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot,LGA_NAME11
13800,119,199,306,343,310,179,42,11,0,1509,59,82,109,176,137,106,44,13,0,726,2158,3392,5666,7061,7404,4433,952,103,4,31173,Hawkesbury (C)
13850,6,4,3,13,11,3,0,0,0,40,3,6,7,3,11,3,3,0,0,36,96,86,163,259,402,213,72,10,3,1304,Hay (A)
13950,76,197,370,390,311,201,46,5,0,1596,81,172,345,296,204,130,41,10,0,1279,1753,4237,12068,10094,8238,5004,848,50,7,42299,Holroyd (C)
14000,136,322,412,585,683,396,112,10,3,2659,87,154,286,348,361,195,80,23,6,1540,3933,7201,13334,18257,20254,12356,2846,338,34,78553,Hornsby (A)
14100,8,11,25,36,42,40,7,0,0,169,8,15,20,24,22,22,15,3,0,129,222,459,842,1382,1426,1140,357,47,9,5884,Hunters Hill (A)
14150,72,135,266,290,297,170,42,6,0,1278,41,113,248,209,172,122,30,9,6,950,1320,3553,8949,8310,8409,4888,902,90,13,36434,Hurstville (C)
14200,17,30,40,49,38,45,16,3,0,238,13,8,21,23,33,14,19,6,0,137,403,457,1098,1389,1557,1046,317,61,6,6334,Inverell (A)
14250,0,4,0,6,7,0,0,0,0,17,0,0,0,0,0,6,9,0,0,15,30,54,83,128,207,145,49,11,3,710,Jerilderie (A)
14300,10,8,13,12,13,12,0,0,0,68,6,4,5,15,11,11,0,0,0,52,131,169,331,463,545,401,97,14,3,2154,Junee (A)
14350,19,35,48,75,71,50,11,0,0,309,15,11,32,47,54,37,13,6,3,218,635,591,1320,1934,2558,1906,354,52,8,9358,Kempsey (A)
14400,23,43,49,59,63,51,20,3,0,311,11,15,15,27,42,23,13,4,7,157,653,798,1240,1892,2549,1673,319,59,7,9190,Kiama (A)
14450,35,102,181,185,244,132,27,6,0,912,34,89,187,144,129,68,30,7,3,691,979,2555,6412,6274,6316,3643,781,87,23,27070,Kogarah (C)
14500,72,158,157,266,346,234,72,13,4,1322,60,100,134,223,274,195,93,28,5,1112,2522,4483,6222,11020,14015,8711,2784,485,60,50302,Ku-ring-gai (A)
14550,8,14,15,16,31,19,0,3,0,106,6,0,7,15,17,13,3,4,5,70,198,175,414,654,976,776,174,47,11,3425,Kyogle (A)
14600,6,7,13,4,17,15,6,0,0,68,6,6,6,23,10,16,10,0,0,77,127,220,518,560,634,538,199,55,5,2856,Lachlan (A)
14650,321,462,687,784,725,504,109,11,0,3603,159,166,288,382,376,243,74,19,4,1711,6179,7952,14987,18962,20174,12991,2106,214,28,83593,Lake Macquarie (C)
14700,16,46,111,102,104,64,17,0,0,460,17,32,78,77,69,40,15,10,8,346,506,1359,4083,4129,3573,2416,678,79,14,16837,Lane Cove (A)
14750,15,21,30,34,30,22,9,3,0,164,12,6,11,15,19,21,7,6,6,103,378,367,747,1045,1194,708,177,34,6,4656,Leeton (A)
14800,26,78,218,222,147,111,21,4,0,827,26,43,170,146,103,64,22,8,0,582,545,1844,8220,8907,5681,3903,831,69,3,30003,Leichhardt (A)
14850,36,72,122,166,172,112,20,3,3,706,26,20,55,61,70,46,21,9,3,311,1216,1546,2887,3924,4778,3416,602,110,15,18494,Lismore (C)
14870,32,33,48,63,61,41,8,3,0,289,16,12,21,32,43,31,12,0,0,167,523,696,1250,1739,2100,1429,289,32,3,8061,Lithgow (C)
14900,176,343,640,759,606,292,59,4,0,2879,160,341,607,555,506,292,53,14,0,2528,3797,7705,17528,18946,16857,8401,1246,83,5,74568,Liverpool (C)
14920,9,9,18,16,26,17,6,3,0,104,3,7,9,30,16,21,6,6,0,98,140,187,484,629,767,621,192,52,9,3081,Liverpool Plains (A)
14950,4,7,8,15,12,4,3,0,0,53,0,0,4,6,5,5,6,0,0,26,61,61,156,294,350,280,110,17,6,1335,Lockhart (A)
15050,115,229,367,360,286,162,38,0,0,1557,41,58,124,139,124,83,19,10,3,601,2312,3177,6496,7382,7026,4102,609,75,11,31190,Maitland (C)
15150,31,53,158,130,125,68,22,0,0,587,18,29,129,112,79,49,30,14,0,460,636,1457,5388,5528,4244,2507,785,101,15,20661,Manly (A)
15200,38,142,448,391,284,149,21,0,3,1476,43,117,269,209,146,77,31,5,0,897,864,3932,12998,11693,7725,3958,640,67,3,41880,Marrickville (A)
15270,28,44,80,64,81,49,13,0,0,359,16,19,27,32,39,43,25,6,0,207,593,716,1512,2143,2300,1518,489,85,8,9364,Mid-Western Regional (A)
15300,29,39,54,56,51,30,9,0,0,268,6,9,26,32,30,21,25,6,0,155,302,516,1092,1327,1317,897,309,53,0,5813,Moree Plains (A)
15350,23,28,63,65,65,56,18,3,0,321,11,28,68,71,66,49,27,13,3,336,378,990,2818,3239,2983,2114,809,146,13,13490,Mosman (A)
15500,6,18,16,17,20,15,3,0,0,95,8,0,9,16,13,15,6,6,0,73,193,225,457,679,740,543,178,42,3,3060,Murray (A)
15550,3,6,7,11,3,0,3,0,0,33,3,4,8,8,7,4,0,3,0,37,52,98,170,224,264,185,57,16,0,1066,Murrumbidgee (A)
15650,32,71,80,61,56,28,6,0,0,334,22,12,35,40,22,28,11,7,4,181,546,759,1573,1628,1655,998,206,33,4,7402,Muswellbrook (A)
15700,16,21,32,49,50,42,16,0,0,226,7,10,17,25,37,22,8,7,0,133,374,344,719,1185,1785,1303,270,45,0,6025,Nambucca (A)
15750,25,27,43,47,46,34,16,6,0,244,16,12,17,40,35,23,16,6,3,168,348,430,1036,1236,1428,965,326,59,9,5837,Narrabri (A)
15800,10,5,16,16,17,12,5,0,0,81,7,7,11,9,22,11,4,4,0,75,141,144,382,499,646,470,123,29,9,2443,Narrandera (A)
15850,11,9,15,23,18,6,8,0,0,90,3,6,9,13,18,12,7,4,0,72,135,195,431,623,683,547,173,39,0,2826,Narromine (A)
15900,175,359,622,534,491,292,77,11,3,2564,91,150,267,294,250,142,47,21,6,1268,4289,8649,16823,15255,14748,8841,1456,183,12,70256,Newcastle (C)
15950,24,71,292,231,149,108,40,3,3,921,17,51,237,179,115,104,55,13,4,775,470,2712,13798,9018,5600,4459,1530,181,25,37793,North Sydney (A)
16100,10,13,10,11,14,10,0,0,0,68,5,5,8,8,14,12,6,0,0,58,134,180,305,512,507,467,185,21,4,2315,Oberon (A)
16150,56,129,170,148,138,109,21,0,0,771,29,38,65,64,52,50,19,8,0,325,1172,1732,3588,3795,3838,2549,512,61,0,17247,Orange (C)
16180,23,36,43,77,62,41,10,3,0,295,14,10,13,29,38,19,3,0,0,126,451,459,949,1872,2105,1408,331,46,3,7624,Palerang (A)
16200,32,40,37,60,46,38,16,0,0,269,16,14,16,24,26,19,12,3,0,130,446,479,1068,1293,1454,940,274,68,8,6030,Parkes (A)
16250,94,308,747,655,520,310,82,5,0,2721,109,268,723,409,387,227,52,21,9,2205,2636,7486,23152,16637,14088,8397,1584,144,26,74150,Parramatta (C)
16350,291,526,848,781,681,430,77,5,0,3639,182,302,512,521,471,288,63,9,6,2354,5621,9583,19846,19509,18838,12017,1692,102,19,87227,Penrith (C)
16370,70,125,198,244,280,185,55,6,0,1163,55,63,90,167,192,128,58,13,3,769,1536,2156,4026,6614,7404,5281,1483,166,22,28688,Pittwater (A)
16380,66,109,210,271,280,182,46,6,3,1173,49,37,53,107,110,81,34,18,0,489,1880,1876,4031,6385,7461,4855,973,141,21,27623,Port Macquarie-Hastings (A)
16400,118,128,188,261,275,166,30,6,0,1172,36,54,76,141,123,93,37,13,3,576,2012,2379,4397,6090,6663,4234,751,76,6,26608,Port Stephens (A)
16470,69,121,152,166,142,88,10,3,0,751,32,54,86,95,85,60,17,7,0,436,1274,2100,4680,5263,4756,2569,410,32,0,21084,Queanbeyan (C)
16550,67,218,548,422,367,259,73,6,0,1960,57,167,405,284,279,170,78,22,12,1474,1871,6382,18318,15259,11978,7200,1754,229,29,63020,Randwick (C)
16610,21,44,47,75,70,36,9,0,0,302,21,8,37,28,36,32,15,9,0,186,543,608,1245,1693,2096,1533,291,79,6,8094,Richmond Valley (A)
16650,76,150,416,415,375,234,58,8,0,1732,61,170,396,306,240,165,52,13,3,1406,1433,4094,12574,10895,9116,5587,1125,107,22,44953,Rockdale (C)
16700,70,179,400,442,446,275,76,3,0,1891,42,122,304,275,247,164,46,6,4,1210,1721,4598,12797,11974,10902,6700,1447,150,12,50301,Ryde (C)
16900,96,191,267,302,241,126,17,0,0,1240,56,58,104,100,112,54,13,3,0,500,1903,2664,5411,6648,6779,3529,445,30,0,27409,Shellharbour (C)
16950,78,154,214,264,292,208,33,3,0,1246,57,69,89,117,148,94,45,16,15,650,2275,2717,5141,7266,9023,6137,1143,125,19,33846,Shoalhaven (C)
17000,65,110,123,150,99,39,10,0,0,596,28,31,46,68,45,26,12,11,0,267,932,1162,2230,2696,2608,1417,291,57,3,11396,Singleton (A)
17050,9,8,21,14,19,21,3,0,0,95,15,8,9,16,20,13,6,0,0,87,254,325,666,879,941,587,174,42,6,3874,Snowy River (A)
17450,3,0,8,9,9,3,0,0,0,32,3,0,3,6,0,5,7,3,0,27,69,73,183,292,384,313,108,21,3,1446,Tumbarumba (A)
17500,13,13,30,24,28,28,0,0,0,136,8,13,16,34,26,37,10,4,0,148,322,350,811,1069,1233,843,184,41,4,4857,Tumut Shire (A)
17550,64,114,208,267,266,207,29,3,0,1158,50,75,133,160,184,126,45,16,7,796,2176,2414,5156,7449,8733,5567,1008,144,17,32664,Tweed (A)
17620,26,36,58,39,31,27,7,0,0,224,19,17,19,29,35,29,17,4,0,169,380,602,1227,1391,1491,1079,292,56,9,6527,Upper Hunter Shire (A)
17640,14,7,20,26,25,23,9,3,0,127,8,7,7,11,13,14,14,12,0,86,182,184,388,717,886,724,286,97,9,3473,Upper Lachlan Shire (A)
17650,3,9,17,24,18,22,7,0,0,100,3,3,6,8,16,9,6,6,0,57,155,158,362,596,716,569,136,37,3,2732,Uralla (A)
17700,0,3,0,0,0,0,0,4,0,7,0,3,6,0,0,3,3,0,0,15,17,33,60,83,132,113,49,7,0,494,Urana (A)
17750,97,181,243,222,219,167,35,7,0,1171,58,72,110,109,85,75,35,5,6,555,2308,3565,5911,5986,6143,4155,843,137,21,29069,Wagga Wagga (C)
17800,5,4,3,6,9,9,3,0,0,39,5,0,7,3,11,16,5,6,3,56,112,94,222,330,490,366,110,31,6,1761,Wakool (A)
17850,3,6,7,12,3,6,0,3,0,40,3,0,4,4,5,9,0,0,0,25,63,100,188,289,327,313,141,28,3,1452,Walcha (A)
17900,0,5,17,17,13,6,3,0,0,61,6,4,7,19,16,13,6,3,0,74,82,175,425,485,518,449,153,27,3,2317,Walgett (A)
17950,0,0,10,6,7,8,0,3,0,34,0,0,6,18,6,8,4,0,0,42,57,86,207,247,334,230,108,33,3,1305,Warren (A)
18000,153,339,654,671,627,379,103,11,0,2937,86,123,341,402,337,218,84,23,8,1622,3224,5701,15036,19249,16424,9774,2529,313,34,72284,Warringah (A)
18020,10,6,10,26,19,25,10,3,0,109,7,6,9,14,17,24,13,5,0,95,180,217,480,712,893,781,270,76,6,3615,Warrumbungle Shire (A)
18050,34,100,326,249,159,119,51,5,3,1046,27,77,327,223,123,91,39,12,8,927,578,2568,11845,8808,5493,3520,1025,163,34,34034,Waverley (A)
18100,3,3,8,8,11,6,6,0,0,45,3,7,6,6,6,6,5,0,0,39,55,70,206,282,377,305,122,26,6,1449,Weddin (A)
18150,0,12,17,23,23,16,7,0,0,98,7,0,11,13,21,17,10,8,0,87,185,201,440,605,749,580,217,52,3,3032,Wellington (A)
18200,9,14,12,23,19,7,3,0,0,87,10,6,8,20,17,14,3,0,0,78,151,185,423,646,760,559,147,23,3,2897,Wentworth (A)
18250,31,102,191,218,204,136,40,6,0,928,25,88,179,182,183,116,33,20,3,829,921,2641,8388,8730,7100,4609,1091,158,20,33658,Willoughby (C)
18350,47,85,108,161,174,91,40,7,0,713,34,37,59,85,102,83,46,7,10,463,1166,1411,2450,4159,4992,3711,1180,165,27,19261,Wingecarribee (A)
18400,91,122,164,246,173,126,21,3,0,946,40,53,86,122,97,71,14,9,0,492,1414,1998,3659,5328,5158,3172,506,45,9,21289,Wollondilly (A)
18450,211,430,722,742,676,388,102,10,0,3281,135,208,339,351,369,235,47,31,3,1718,5008,8759,17267,19254,19506,11172,1670,195,21,82852,Wollongong (C)
18500,22,52,177,124,129,102,31,10,4,651,15,60,151,145,115,108,74,24,10,702,485,2035,7459,5770,4793,3932,1648,344,77,26543,Woollahra (A)
18550,171,294,537,626,525,317,44,7,0,2521,122,147,271,294,287,205,62,18,8,1414,4348,5635,11269,14009,14453,8655,1441,129,17,59956,Wyong (A)
18710,23,20,43,59,51,36,11,0,0,243,16,10,14,36,32,32,15,0,0,155,489,509,1137,2002,1905,1314,353,54,0,7763,Yass Valley (A)
18750,24,21,34,43,31,28,8,0,0,189,8,12,12,25,18,22,9,6,4,116,351,386,807,1133,1198,853,229,45,7,5009,Young (A)
19399,0,0,0,0,0,6,0,0,0,6,3,3,6,3,0,3,0,0,0,18,15,49,125,132,160,141,53,12,0,687,Unincorporated NSW
26890,0,0,4,5,9,7,0,0,0,25,4,4,6,3,9,14,7,5,0,52,85,113,245,395,539,425,181,52,3,2038,West Wimmera (S)
26980,79,285,469,586,619,472,137,20,0,2667,60,180,342,343,315,210,77,18,4,1549,3255,6972,15062,17184,16042,10125,2395,259,27,71321,Whitehorse (C)
27070,115,343,751,667,549,275,46,3,0,2749,129,276,521,476,349,215,39,7,0,2012,3499,7709,18866,17533,14741,8020,1032,81,13,71494,Whittlesea (C)
27170,39,91,128,130,132,81,17,0,0,618,33,36,55,62,59,41,20,6,6,318,1297,1991,3449,3707,3674,2361,363,36,9,16887,Wodonga (RC)
27260,143,330,712,645,484,255,39,3,0,2611,110,203,507,408,366,225,36,13,7,1875,3720,7446,21591,20390,15386,7649,990,76,10,77258,Wyndham (C)
27350,23,126,478,281,194,132,22,6,0,1262,28,94,290,207,118,65,34,6,3,845,735,4259,17356,9651,6154,3918,882,74,12,43041,Yarra (C)
19499,3,22,40,21,24,6,3,0,0,119,7,21,57,28,31,14,7,0,0,165,181,561,1185,709,586,372,52,0,3,3649,
20110,14,18,13,33,39,36,6,3,0,162,13,6,19,21,13,19,11,3,0,105,339,301,622,1122,1543,1111,252,43,11,5344,Alpine (S)
20260,13,19,32,30,27,21,3,3,0,148,7,5,11,17,16,21,9,4,3,93,303,328,728,982,1155,992,222,65,9,4784,Ararat (RC)
20570,78,201,273,320,346,219,54,7,0,1498,75,83,127,136,115,118,48,32,8,742,2848,4992,8636,9147,9457,6090,987,123,11,42291,Ballarat (C)
20660,83,213,407,433,401,337,77,14,3,1968,81,129,247,235,239,147,45,17,5,1145,2702,5702,12416,13599,13081,9130,1822,194,26,58672,Banyule (C)
20740,33,41,64,94,73,51,21,6,0,383,21,11,42,66,61,44,18,6,3,272,706,845,2026,2705,2881,2354,536,76,10,12139,Bass Coast (S)
20830,87,112,162,196,212,138,30,3,3,943,43,42,60,74,83,66,30,12,10,420,1320,1744,3322,4122,4849,3428,847,153,19,19804,Baw Baw (S)
20910,52,107,178,273,337,221,66,6,0,1240,67,73,100,220,206,143,81,24,10,924,2076,3551,5682,10563,11728,7660,2170,267,37,43734,Bayside (C)
21010,26,24,33,43,38,46,7,0,0,217,12,8,21,12,24,27,13,13,0,130,449,396,797,1054,1627,1330,310,55,6,6024,Benalla (RC)
21110,81,249,428,378,463,315,91,14,0,2019,88,203,292,259,352,248,93,32,16,1583,3555,8626,16312,16637,18903,12440,3283,484,55,80295,Boroondara (C)
21180,118,351,721,673,571,366,48,0,0,2848,146,410,769,631,610,287,64,14,3,2934,3567,8936,19478,17444,16106,9516,1235,79,22,76383,Brimbank (C)
21270,6,11,13,15,28,12,3,0,0,88,6,7,3,12,11,18,6,0,3,66,125,150,328,543,747,590,177,51,15,2726,Buloke (S)
21370,45,70,96,141,135,95,31,0,0,613,38,38,48,75,77,64,39,13,3,395,1080,1184,2379,3507,4175,2801,686,118,11,15941,Campaspe (S)
21450,105,227,308,373,346,186,34,0,0,1579,74,87,167,190,186,87,37,13,0,841,2337,3676,7695,8811,8017,4657,908,139,15,36255,Cardinia (S)
21610,273,585,1118,1236,1062,579,100,10,0,4963,241,388,820,792,730,418,87,25,0,3501,6768,11870,27041,30367,27136,14141,2006,183,21,119533,Casey (C)
21670,7,17,21,26,31,35,7,0,0,144,11,6,16,10,27,9,4,6,0,89,340,331,578,949,1160,874,154,32,9,4427,Central Goldfields (S)
21750,23,36,59,64,58,48,16,0,0,304,30,20,23,27,42,27,12,5,3,189,718,764,1488,1961,2244,1773,452,62,15,9477,Colac-Otway (S)
21830,14,23,30,42,31,33,10,0,0,183,33,16,16,22,43,31,25,11,0,197,523,492,1093,1601,1954,1347,451,97,9,7567,Corangamite (S)
21890,53,222,601,561,458,217,50,7,0,2169,72,186,491,356,254,164,45,18,4,1590,2007,6256,18829,17045,12442,6169,933,115,13,63809,Darebin (C)
22110,44,51,102,128,140,112,27,3,0,607,25,23,66,70,83,76,47,12,3,405,1074,1148,2394,3453,4384,3535,885,149,25,17047,East Gippsland (S)
22170,127,333,540,621,546,371,70,9,0,2617,127,212,332,385,331,214,50,19,3,1673,3587,6160,12882,14029,13627,8625,1541,108,20,60579,Frankston (C)
22250,11,14,31,18,40,38,8,3,0,163,7,6,11,18,27,20,7,3,0,99,264,249,616,872,1108,920,285,60,5,4379,Gannawarra (S)
22620,130,206,339,340,368,261,62,15,3,1724,77,93,132,173,155,128,52,18,6,834,3427,4804,8735,9677,10737,6955,1221,166,21,45743,Greater Bendigo (C)
22670,65,233,572,487,404,266,65,3,0,2095,96,325,685,510,405,266,63,15,5,2370,1909,6112,15377,11874,10682,6896,1136,81,8,54075,Greater Dandenong (C)
22750,200,418,726,747,733,475,128,15,0,3442,141,185,350,377,387,268,93,42,9,1852,5871,9561,19035,21646,22273,14332,2378,281,23,95400,Greater Geelong (C)
22830,61,117,238,257,226,149,39,7,0,1094,69,57,132,130,142,92,27,13,3,665,1845,2312,4850,5976,6279,4350,914,105,21,26652,Greater Shepparton (C)
22910,21,20,32,54,41,36,3,0,0,207,12,11,17,38,27,34,15,3,0,157,328,340,773,1410,1631,1381,291,40,5,6199,Hepburn (S)
10050,67,115,199,198,167,114,32,7,0,899,41,46,94,96,99,56,22,9,3,466,1626,2430,4483,4731,5082,3416,594,66,6,22434,Albury (C)
10110,40,50,67,65,80,53,9,6,0,370,27,13,18,31,30,28,10,6,0,163,821,1223,1684,1922,2521,1751,384,67,4,10377,Armidale Dumaresq (A)
22980,5,12,5,17,20,3,10,0,0,72,6,0,4,11,7,11,12,0,0,51,124,156,329,492,692,462,140,41,0,2436,Hindmarsh (S)
23110,52,152,325,301,300,170,41,6,0,1347,62,119,263,243,199,133,30,15,6,1070,1608,3565,9121,10115,9265,4925,765,69,9,39442,Hobsons Bay (C)
23190,35,60,109,87,78,73,15,3,0,460,11,16,31,30,32,20,17,7,0,164,694,840,1623,1897,2211,1466,374,65,5,9175,Horsham (RC)
23270,137,335,673,685,566,299,50,7,0,2752,160,325,505,465,394,218,51,10,6,2134,3983,8150,16340,16839,15993,8361,1171,84,6,70927,Hume (C)
23350,20,19,24,49,47,40,8,4,0,211,11,9,13,23,31,29,18,6,0,140,507,350,822,1611,2056,1559,377,67,7,7356,Indigo (S)
23430,97,306,515,680,609,354,64,6,0,2631,97,189,355,385,384,242,77,25,12,1766,3270,6314,15019,17779,15909,9909,1946,213,30,70389,Kingston (C)
23670,172,401,653,790,783,506,78,15,3,3401,127,213,347,383,352,282,83,11,6,1804,4472,7974,15206,17122,18600,12177,1895,138,12,77596,Knox (C)
23810,85,162,206,216,217,155,35,0,0,1076,66,71,129,151,138,110,30,6,6,707,2131,3131,5784,6324,7275,4771,747,83,12,30258,Latrobe (C)
10850,19,17,27,39,29,10,3,0,0,144,5,10,12,10,15,19,6,0,0,77,155,248,459,715,769,547,181,38,0,3112,Blayney (A)
10900,76,134,190,271,302,208,44,6,0,1231,41,49,94,131,150,123,32,19,7,646,1981,2613,5231,8040,9264,7006,1320,132,22,35609,Blue Mountains (C)
10950,0,0,5,6,7,5,0,0,0,23,4,3,0,6,12,8,0,3,0,36,69,92,186,296,282,193,95,29,6,1248,Bogan (A)
11000,3,0,3,12,3,7,0,0,0,28,3,3,6,8,3,3,3,0,0,29,49,62,161,211,281,234,73,16,4,1091,Bombala (A)
11050,0,3,4,5,6,7,0,0,0,25,0,7,6,6,3,3,3,0,3,31,55,73,134,204,286,198,77,18,6,1051,Boorowa (A)
11100,25,66,147,155,157,104,26,0,0,680,25,58,133,136,83,53,19,6,0,513,690,1581,4661,4816,3829,2305,471,42,4,18399,Botany Bay (C)
11150,7,0,8,12,7,3,0,0,0,37,0,0,7,11,6,9,3,3,3,42,45,91,252,270,285,183,58,15,3,1202,Bourke (A)
11200,3,3,3,7,3,6,0,0,0,25,3,6,6,3,6,3,0,0,0,27,24,66,107,113,170,97,31,10,3,621,Brewarrina (A)
23940,7,7,7,11,21,17,5,0,0,75,6,3,3,9,10,13,7,6,6,63,114,127,338,548,807,704,223,65,12,2938,Loddon (S)
24130,69,71,109,189,160,129,36,3,0,766,34,29,60,101,103,82,27,12,0,448,1319,1487,2650,5167,5494,3650,806,71,12,20656,Macedon Ranges (S)
24210,81,206,361,441,504,359,125,14,0,2091,58,107,223,251,294,212,111,28,7,1291,2513,5152,9142,11629,13075,8717,2651,289,20,53188,Manningham (C)
24250,9,13,17,20,24,30,6,0,0,119,10,4,4,20,22,19,3,0,0,82,258,212,511,700,996,809,193,29,6,3714,Mansfield (S)
24330,22,106,328,297,229,86,15,4,0,1087,29,126,290,215,153,89,18,6,9,935,801,3555,11315,9404,6257,2909,371,55,9,34676,Maribyrnong (C)
24410,98,268,477,522,506,307,79,8,3,2268,65,104,244,238,230,136,52,21,6,1096,3015,5215,11227,12286,11790,7733,1558,142,15,52981,Maroondah (C)
24600,28,153,460,216,150,118,28,3,0,1156,31,174,386,159,108,96,39,9,0,1002,1264,7894,21078,8178,5327,3782,1084,142,23,48772,Melbourne (C)
24650,102,259,530,475,343,205,23,0,0,1937,82,172,337,317,258,154,29,7,4,1360,2587,4980,13705,13799,9780,5454,594,32,4,50935,Melton (S)
24780,55,100,151,184,164,105,18,3,0,780,51,46,94,98,103,80,36,19,4,531,1530,1830,3757,4773,5283,3482,693,114,15,21477,Mildura (RC)
24850,41,88,134,161,133,79,15,3,0,654,33,46,84,109,100,54,22,3,0,451,1034,1421,2802,3821,3939,2425,457,57,6,15962,Mitchell (S)
27450,193,440,608,740,811,486,105,20,0,3403,122,191,276,389,377,290,76,12,8,1741,4680,7240,12621,16470,17911,12158,2284,186,31,73581,Yarra Ranges (S)
22490,25,27,46,86,92,74,11,3,0,364,17,16,19,44,40,30,10,0,0,176,536,583,1366,2325,2345,1502,290,24,6,8977,Golden Plains (S)
24900,39,50,75,69,76,75,11,3,0,398,33,26,49,59,56,42,22,15,0,302,803,809,1783,2532,2926,2181,504,108,14,11660,Moira (S)
