lga_name_2016,lga_code_2016,p_othserv_0,p_othserv_1_15,p_othserv_16_24,p_othserv_25_34,p_othserv_35_39,p_othserv_40,p_othserv_41_48,p_othserv_49over,p_othserv_hours_ns,p_othserv_tot,p_id_ns_0,p_id_ns_1_15,p_id_ns_16_24,p_id_ns_25_34,p_id_ns_35_39,p_id_ns_40,p_id_ns_41_48,p_id_ns_49over,p_id_ns_hours_ns,p_id_ns_tot,p_tot_0,p_tot_1_15,p_tot_16_24,p_tot_25_34,p_tot_35_39,p_tot_40,p_tot_41_48,p_tot_49over,p_tot_hours_ns,p_tot_tot
Lockhart (A),14950,0,4,5,4,9,7,3,4,0,37,4,3,0,3,3,3,0,7,16,43,52,126,129,145,194,207,102,304,24,1294
Maitland (C),15050,37,194,140,156,333,285,153,280,16,1599,32,133,89,89,219,250,89,165,246,1310,1235,4035,3615,3807,6658,6105,3528,5156,551,34692
Mid-Coast (A),15240,28,150,137,123,208,237,101,167,23,1177,62,129,99,94,164,143,63,85,337,1174,1400,4256,3704,4337,5196,4398,2111,3900,722,30032
Mid-Western Regional (A),15270,8,54,48,42,66,79,38,117,5,457,20,32,18,26,32,32,19,43,64,274,382,1098,1030,1150,1428,1394,992,2021,181,9689
Moree Plains (A),15300,10,15,25,31,45,44,23,50,0,250,6,23,21,10,45,38,23,47,57,267,212,445,395,541,972,902,478,1415,155,5521
Mosman (A),15350,20,62,39,40,50,47,31,71,8,368,26,65,45,49,48,128,40,131,76,618,393,1580,1363,1179,1513,2759,1481,3542,188,13999
Murray River (A),15520,4,28,16,13,26,30,7,13,3,141,8,12,22,18,31,26,12,28,43,190,213,572,471,546,760,809,422,1089,119,4994
Murrumbidgee (A),15560,0,8,3,3,7,17,3,12,3,52,5,3,9,6,14,7,4,8,13,67,82,156,144,176,278,287,134,410,49,1716
Muswellbrook (A),15650,12,28,20,28,50,42,30,47,3,259,5,31,15,16,34,25,25,23,66,243,292,671,612,681,1176,976,899,1288,141,6732
Nambucca (A),15700,3,42,26,20,50,39,20,24,0,234,16,30,19,27,28,21,8,22,60,216,279,882,842,948,1084,774,406,861,152,6229
Narrabri (A),15750,7,30,11,11,46,72,40,36,0,262,18,26,17,22,27,60,14,27,52,273,228,562,474,608,959,1011,462,1212,135,5657
Narrandera (A),15800,3,7,11,4,7,15,10,11,0,71,9,9,3,8,12,14,4,13,35,101,105,221,221,233,380,437,235,439,69,2325
Narromine (A),15850,4,9,11,9,29,22,9,20,3,115,8,3,8,7,15,22,8,17,23,112,89,235,217,280,443,443,229,589,67,2592
Newcastle (C),15900,74,340,274,303,564,468,255,387,25,2685,73,272,160,191,364,378,133,252,512,2328,2663,9161,7975,8683,13952,13353,6679,9415,1156,73034
North Sydney (A),15950,21,113,97,93,173,173,119,176,13,967,45,138,117,104,158,350,127,298,230,1575,1170,2888,3158,2840,5763,9734,5254,9186,458,40445
Northern Beaches (A),15990,122,714,528,566,729,918,484,713,39,4815,169,635,537,505,741,1273,464,1000,904,6223,3831,15149,14192,13312,17939,26520,13033,23787,1908,129685
Oberon (A),16100,0,13,4,3,8,12,13,9,0,63,5,10,14,4,24,20,13,27,27,140,72,254,210,227,404,338,194,486,58,2241
Orange (C),16150,26,86,65,56,140,125,82,144,8,723,16,51,37,52,90,83,38,68,133,557,667,1875,1635,1979,3458,3093,1787,3007,312,17805
Parkes (A),16200,10,35,23,22,34,50,26,48,0,249,15,14,14,10,30,37,21,25,60,219,261,639,512,660,990,845,690,1122,134,5840
Parramatta (C),16260,86,404,379,338,728,708,338,421,41,3434,131,470,525,377,1048,1180,310,489,1010,5533,2849,9952,10471,9326,23955,26928,9000,12200,1914,106593
Edward River (A),12730,3,17,6,18,18,25,25,17,4,135,12,20,11,17,19,21,10,13,32,145,157,446,358,469,691,638,313,664,78,3812
Eurobodalla (A),12750,14,93,52,75,79,95,33,80,11,525,23,77,40,60,55,73,24,41,121,508,555,2042,1650,1968,2284,1828,859,1516,278,12976
Fairfield (C),12850,53,552,438,357,757,635,291,347,49,3483,131,653,541,478,1416,956,260,331,1392,6159,1645,8286,7251,7092,18581,14347,5305,6994,2401,71899
Federation (A),12870,11,19,17,20,37,27,16,34,3,184,12,20,9,5,17,40,9,32,57,214,258,573,500,577,748,933,404,854,120,4970
Forbes (A),12900,5,14,10,14,23,30,13,26,9,145,7,21,8,16,23,21,14,23,61,187,159,369,337,468,644,678,382,789,115,3944
Georges River (A),12930,44,263,289,237,516,491,184,327,28,2380,93,323,395,263,639,642,170,251,800,3580,1905,7288,8629,6999,14491,14961,5650,8135,1474,69537
Gilgandra (A),12950,4,6,3,0,12,17,3,11,0,64,4,3,3,8,4,7,3,10,19,65,69,185,179,196,256,248,129,476,49,1783
Glen Innes Severn (A),13010,4,18,20,9,23,31,15,23,5,144,5,19,17,13,23,15,8,15,36,157,135,405,363,393,563,449,228,607,87,3224
Goulburn Mulwaree (A),13310,13,64,48,48,120,99,49,87,4,532,27,40,34,43,72,78,31,69,103,493,494,1292,1285,1547,2810,2142,1021,1882,243,12722
Greater Hume Shire (A),13340,3,16,18,18,32,32,26,28,3,179,13,19,20,15,19,24,11,25,35,179,202,565,465,541,634,704,388,1004,106,4614
Griffith (C),13450,9,48,33,52,117,88,58,73,3,482,31,51,40,38,97,98,33,33,101,521,389,1177,1093,1229,2623,2158,1114,1685,255,11713
Gundagai (A),13510,3,32,15,14,18,21,19,19,0,141,3,20,18,20,30,19,10,22,38,186,155,467,459,555,806,711,343,756,117,4382
Gunnedah (A),13550,7,28,22,17,48,60,18,46,0,253,6,17,11,15,29,35,8,26,46,202,202,563,443,577,835,791,506,1341,118,5381
Gwydir (A),13660,0,17,0,5,4,12,6,7,0,57,4,6,4,6,8,9,3,11,19,73,90,193,182,244,264,296,138,621,44,2083
Hawkesbury (C),13800,28,159,110,154,226,340,178,310,15,1526,53,135,124,148,283,340,122,266,284,1750,953,3318,3012,3321,5609,6499,3144,5838,634,32329
Hay (A),13850,4,0,3,0,3,5,6,17,0,37,0,9,7,5,11,16,4,5,22,75,55,136,112,149,202,202,89,315,40,1296
Penrith (C),16350,73,371,306,321,755,845,419,607,50,3750,131,379,306,339,1023,982,356,635,903,5061,2965,8661,8108,9022,21009,20276,9141,13817,1867,94859
Burwood (A),11300,15,66,78,59,100,111,52,66,5,554,28,103,143,75,154,172,48,68,282,1069,415,1829,2465,1715,3408,3713,1296,1877,458,17174
Byron (A),11350,13,90,64,68,74,65,28,56,8,468,43,140,85,115,89,102,30,86,146,834,523,2272,1997,2330,1820,1906,780,1609,317,13557
Cabonne (A),11400,4,20,20,18,23,43,35,44,0,213,12,22,12,15,27,40,20,41,63,251,240,631,586,653,934,1043,555,1253,137,6032
Camden (A),11450,32,169,125,136,333,335,183,263,17,1599,71,146,123,115,318,371,119,276,357,1909,1434,3680,3561,3688,7840,8227,4051,6792,740,40014
Campbelltown (C) (NSW),11500,52,256,195,195,572,518,276,305,31,2413,104,295,261,283,920,800,265,330,786,4038,1989,6445,6028,7030,17420,14426,6208,7717,1586,68841
Canada Bay (A),11520,19,179,182,142,266,295,128,220,17,1445,48,181,183,118,296,428,127,266,346,2001,1312,4084,4589,3729,7582,10574,4435,7673,726,44699
Canterbury-Bankstown (A),11570,133,800,716,609,1225,1221,539,665,104,6004,243,834,829,718,1651,1535,442,577,2207,9043,3664,14848,15613,14376,30891,29193,10792,14721,4088,138192
Carrathool (A),11600,0,3,3,0,3,3,3,6,0,24,0,5,11,3,0,7,4,9,18,63,59,129,111,149,166,195,111,415,57,1384
Central Coast (C) (NSW),11650,154,766,615,684,1190,1087,550,755,67,5868,197,577,465,425,980,1040,340,666,1143,5841,5073,16887,15515,16819,26643,26302,11689,18147,2512,139593
Central Darling (A),11700,0,0,4,0,0,5,0,3,0,11,0,0,0,0,10,0,0,3,11,20,11,21,37,42,93,108,30,193,23,564
Cessnock (C),11720,40,138,106,107,231,201,113,162,11,1103,50,98,69,86,151,165,61,89,182,941,885,2565,2496,2507,4082,3635,2072,2949,433,21626
Clarence Valley (A),11730,27,89,60,99,148,131,47,118,8,727,46,99,49,48,98,75,29,60,172,681,742,2368,2080,2544,3250,2421,1299,2463,391,17565
Cobar (A),11750,3,3,4,6,8,16,5,19,0,64,3,3,3,7,11,5,5,13,20,70,98,134,144,176,256,276,236,640,53,2014
Coffs Harbour (C),11800,28,177,99,133,241,215,99,154,7,1156,32,121,113,103,175,146,66,109,242,1113,1049,4106,3341,4275,5782,4504,2218,3810,534,29620
Coolamon (A),12000,0,4,3,7,13,10,6,6,0,48,4,10,4,7,7,14,3,8,17,70,65,188,158,196,277,300,133,358,45,1728
Coonamble (A),12150,3,4,5,3,19,13,0,4,0,44,4,4,0,3,8,3,9,14,27,67,67,129,116,150,228,217,106,346,63,1419
Cowra (A),12350,3,25,20,17,38,40,20,22,0,192,8,11,14,13,33,21,13,18,47,176,177,550,526,566,849,777,395,853,111,4811
Cumberland (A),12380,47,341,373,292,722,609,252,313,49,2995,139,587,680,526,1207,1106,327,379,1640,6589,2038,8563,10213,8544,21181,18887,6502,8051,2860,86838
Dungog (A),12700,4,22,15,23,43,29,17,37,0,182,4,16,13,11,24,26,9,20,38,165,156,477,465,454,626,657,301,661,81,3885
Port Macquarie-Hastings (A),16380,31,186,130,142,237,210,107,178,11,1236,43,144,59,92,120,122,57,108,230,975,1123,3913,3185,4221,5535,4782,2310,4027,553,29655
Port Stephens (A),16400,36,150,114,116,223,215,130,203,12,1200,46,129,79,102,175,182,70,125,233,1137,1135,3544,3044,3423,5131,4735,2457,3601,533,27602
Queanbeyan-Palerang Regional (A),16490,36,107,88,106,204,217,133,166,17,1071,37,101,61,87,181,197,62,150,240,1121,1195,2629,2095,2869,6298,6085,3241,4473,509,29389
Randwick (C),16550,57,252,260,248,343,383,193,332,19,2097,71,258,241,199,333,566,176,376,510,2727,2078,6888,6869,6202,10839,15353,6908,12010,1133,68276
Richmond Valley (A),16610,3,36,39,30,60,56,31,44,4,308,20,33,18,42,43,47,17,32,94,354,294,996,914,1307,1625,1241,598,1057,231,8265
Rockdale (C),16650,33,195,263,193,365,352,189,239,17,1841,77,216,323,208,492,544,130,214,649,2850,1541,4718,6715,5088,11630,11486,4375,6043,1234,52827
Ryde (C),16700,35,231,262,219,374,376,195,252,19,1961,45,235,222,178,438,580,160,294,512,2659,1594,5801,5913,5104,11511,13530,5284,7479,1024,57245
Shellharbour (C),16900,47,145,122,156,268,279,115,170,13,1322,49,96,101,93,214,211,72,141,215,1185,1135,3374,3306,3653,6078,5274,2656,3645,487,29606
Shoalhaven (C),16950,49,179,163,168,252,216,128,202,23,1373,71,186,110,110,191,189,68,133,359,1421,1465,5268,4272,4748,6426,5572,3150,4621,807,36330
Singleton (A),17000,15,50,46,49,73,99,53,102,5,481,11,23,21,38,45,63,23,64,102,395,393,1214,1038,1078,1555,1563,1362,2368,242,10822
Snowy Monaro Regional (A),17040,7,33,14,28,46,71,37,65,8,313,18,31,24,20,38,44,37,43,86,338,352,1004,895,1165,1693,1494,945,2083,224,9860
Snowy Valleys (A),17080,11,17,11,12,33,34,17,37,3,169,13,19,16,21,39,35,26,51,73,293,248,645,586,657,1007,820,561,1300,165,5991
The Hills Shire (A),17420,57,386,306,305,461,616,264,510,26,2937,70,331,249,242,478,815,223,520,558,3491,2049,9263,8019,7383,13349,18207,7247,13527,1128,80179
Tweed (A),17550,27,223,152,176,209,249,85,205,15,1342,65,182,144,168,193,239,93,211,379,1662,1263,5020,4181,5488,6170,5399,2540,4882,781,35731
Upper Hunter Shire (A),17620,5,25,14,20,45,48,18,29,6,220,11,28,18,21,36,46,10,29,44,233,216,671,585,706,1046,981,646,1295,139,6298
Upper Lachlan Shire (A),17640,0,15,9,18,16,22,13,17,0,114,7,21,4,0,12,15,6,17,28,113,137,357,369,408,538,571,271,787,83,3528
Uralla (A),17650,0,14,9,5,13,10,13,10,0,74,3,7,9,9,10,16,6,12,27,100,91,323,275,342,518,388,189,456,50,2633
Wagga Wagga (C),17750,13,106,100,129,249,250,129,173,12,1163,40,95,66,58,164,184,58,120,215,1005,1043,3197,2684,3230,6337,5408,2841,4580,517,29834
Walcha (A),17850,0,8,0,3,4,6,9,4,0,40,0,3,3,4,4,7,3,10,12,40,47,152,118,181,161,217,120,387,28,1414
Walgett (A),17900,3,6,5,3,6,12,3,5,0,49,4,7,9,3,7,10,5,8,45,98,76,209,178,225,316,292,136,555,73,2060
Warren (A),17950,4,3,4,3,7,8,4,3,0,40,0,3,0,0,7,7,3,7,13,33,44,93,83,99,154,220,89,333,29,1149
Warrumbungle Shire (A),18020,5,6,3,8,13,25,5,21,0,93,15,15,10,7,7,20,6,17,39,140,124,356,317,430,468,484,292,783,83,3335
Waverley (A),18050,30,158,135,122,184,207,90,151,15,1091,40,169,174,131,163,389,135,335,296,1832,974,3121,3610,3190,4631,8205,4077,8049,570,36426
Weddin (A),18100,0,10,4,7,7,7,9,5,3,49,5,10,3,4,9,8,3,5,12,59,47,169,148,149,175,231,132,353,38,1437
Wentworth (A),18200,4,12,7,13,16,15,8,13,4,95,9,10,13,12,21,13,5,13,39,136,109,318,256,320,470,432,232,558,97,2786
Western Plains Regional (A),18230,30,82,89,92,242,170,98,171,11,977,26,58,54,51,114,142,51,88,202,784,758,2197,1845,2348,4842,4093,2019,3613,442,22142
Willoughby (C),18250,18,139,128,97,167,171,101,157,16,1002,33,154,147,94,198,339,103,252,279,1603,971,3726,3647,3094,5442,8490,3636,6763,533,36309
Wingecarribee (A),18350,22,110,98,114,138,126,84,142,11,844,36,122,92,85,106,133,69,145,164,933,639,2803,2304,2528,3265,3478,1821,3460,345,20644
Wollondilly (A),18400,27,106,95,81,180,223,115,210,16,1053,42,97,69,80,179,245,71,179,201,1179,826,2433,2267,2421,4210,4720,2334,4349,503,24054
Wollongong (C),18450,108,455,377,376,707,699,306,459,28,3514,101,308,267,240,511,574,199,363,690,3262,3284,11204,9937,9922,17323,16044,7906,11166,1467,88251
Woollahra (A),18500,12,101,80,89,108,141,64,119,0,718,39,151,126,100,121,270,95,272,197,1363,743,2703,2522,2398,2893,5715,2955,7676,403,28005
Yass Valley (A),18710,5,36,16,36,57,66,29,42,4,287,22,21,24,23,40,40,16,51,64,299,370,838,687,884,1483,1491,764,1381,183,8076
Unincorporated NSW,19399,0,0,3,0,3,0,0,3,0,8,0,0,0,0,0,0,0,9,16,29,36,51,42,43,51,85,43,224,23,599
No usual address (NSW),19499,3,7,12,16,24,19,11,15,0,109,8,26,16,12,28,33,9,21,85,248,148,298,377,371,584,638,279,475,158,3331
Migratory - Offshore - Shipping (NSW),19799,4,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,6,13,43,4,9,10,22,12,4,7,4,130
Alpine (S),20110,9,16,12,20,19,34,17,30,4,156,13,26,12,14,35,17,11,29,47,208,268,736,628,723,864,764,445,929,130,5488
Ararat (RC),20260,6,23,14,23,32,28,12,18,3,167,11,22,15,13,21,23,4,24,39,175,224,605,467,602,770,838,352,757,88,4708
Ballarat (C),20570,53,244,153,204,303,229,157,188,17,1543,71,187,94,111,222,217,73,155,339,1472,1778,6245,4841,5595,8169,7420,4216,5663,796,44716
Banyule (C),20660,53,271,231,243,340,349,175,276,11,1949,76,246,144,194,319,426,131,256,440,2231,1954,7370,6437,6710,9966,11764,5688,8134,888,58915
Bass Coast (S),20740,26,74,61,54,68,92,34,50,0,459,34,84,49,30,62,68,28,63,125,539,727,1942,1569,1748,1803,1957,950,1582,260,12537
Baw Baw (S),20830,24,131,95,115,193,173,94,154,11,991,48,97,67,55,103,148,58,115,190,878,904,2807,2284,2454,3404,3458,1993,3512,442,21255
Bayside (C),20910,35,239,151,146,167,183,102,198,13,1226,50,302,172,211,186,376,133,417,298,2160,1332,6425,5050,4969,5118,8552,4400,9489,652,45993
Benalla (RC),21010,10,37,19,21,39,38,19,26,3,207,15,30,18,24,42,35,13,24,49,247,287,692,597,725,997,940,512,793,121,5659
Boroondara (C),21110,57,368,256,219,327,306,195,289,22,2036,107,420,325,265,322,546,174,513,556,3231,2331,11663,8914,8406,10831,15585,7977,15371,1180,82260
Brimbank (C),21180,82,434,437,363,785,635,237,297,52,3319,151,557,490,446,1303,931,240,311,1357,5788,2220,9235,8827,8827,19331,16028,5856,7224,2475,80034
Buloke (S),21270,0,10,7,7,13,17,4,10,0,81,6,7,3,3,11,21,5,12,28,93,103,315,271,286,299,398,197,566,51,2486
Campaspe (S),21370,23,71,53,70,136,129,66,89,5,642,44,61,35,44,95,95,34,80,174,664,737,1931,1587,2005,2547,2469,1487,2811,372,15950
Cardinia (S),21450,51,215,169,162,398,391,202,314,27,1924,76,223,142,179,438,441,185,296,405,2379,1493,5089,4453,4982,8601,8647,4373,6414,908,44955
Casey (C),21610,121,691,513,598,1277,1186,577,644,63,5674,216,663,518,649,1880,1595,490,715,1508,8241,4026,15059,12700,15519,32316,27863,12230,15248,2959,137913
Central Goldfields (S),21670,7,27,18,17,40,20,13,19,5,161,13,22,18,19,25,35,16,20,38,219,177,620,552,581,795,661,333,519,103,4352
Colac-Otway (S),21750,8,53,29,35,60,36,21,40,3,285,19,54,44,30,54,55,20,47,98,423,440,1341,1048,1237,1649,1285,767,1572,213,9545
Corangamite (S),21830,6,40,21,9,29,42,15,36,0,198,23,35,17,24,28,39,18,41,91,312,331,940,666,781,742,1014,668,1838,180,7164
Darebin (C),21890,44,302,304,281,511,443,179,249,25,2339,87,302,292,258,541,546,183,303,639,3155,2113,8176,8020,8234,13595,13856,6508,8466,1346,70311
East Gippsland (S),22110,23,96,72,76,101,114,56,95,10,645,45,77,62,65,96,120,27,82,166,739,941,2335,2012,2406,2629,2452,1310,2514,397,17003
Frankston (C),22170,64,338,253,256,522,531,245,297,38,2543,102,282,210,246,690,715,233,375,575,3418,2187,7330,6219,7361,12687,12510,6218,7757,1150,63406
Gannawarra (S),22250,4,19,13,14,28,33,12,19,0,153,6,25,19,19,17,30,4,33,51,199,186,569,470,535,610,678,337,914,111,4404
Greater Shepparton (C),22830,37,146,105,120,263,231,108,136,15,1156,53,106,81,87,194,178,67,147,292,1202,1100,3138,2555,3296,5124,4899,2512,3746,615,26976
Hepburn (S),22910,15,38,29,22,36,38,16,33,4,216,16,31,23,18,39,36,13,34,69,288,335,903,789,905,928,944,478,902,161,6346
Hindmarsh (S),22980,6,0,5,7,17,11,8,16,0,73,6,11,3,9,11,17,0,9,22,84,95,252,214,271,389,418,172,436,52,2298
Hobsons Bay (C),23110,45,180,156,134,311,292,131,180,13,1445,60,161,173,157,310,423,136,239,354,2004,1402,4294,4145,4428,8013,8813,4191,5957,744,41978
Horsham (RC),23190,17,45,34,49,82,86,33,52,9,405,6,35,29,24,57,43,13,39,87,337,390,1178,920,1153,1675,1551,786,1272,186,9111
Hume (C),23270,78,368,329,338,738,611,301,362,40,3175,120,429,332,356,928,775,224,361,1089,4601,2405,9076,8369,9080,18421,15990,6791,8702,2183,81025
Indigo (S),23350,4,38,17,26,53,58,28,38,4,262,23,26,19,16,42,44,16,40,72,288,372,892,824,959,1176,1307,656,1141,164,7492
Kingston (C) (Vic.),23430,73,401,281,309,559,478,266,347,37,2752,93,332,263,269,600,694,235,384,626,3495,2287,8821,7535,8007,13920,15132,7302,9837,1253,74103
Knox (C),23670,73,371,321,375,679,640,284,439,30,3224,111,350,285,308,804,750,248,394,617,3866,2397,9419,7850,8572,16109,15811,6984,8978,1223,77348
Latrobe (C) (Vic.),23810,28,155,102,107,230,214,82,164,10,1095,57,93,76,67,161,162,68,139,296,1114,1311,4026,3178,3535,5699,4623,2750,3781,588,29490
Loddon (S),23940,4,12,7,9,8,17,0,8,0,61,12,4,10,5,16,24,10,13,43,131,138,352,250,330,329,430,214,703,97,2838
Macedon Ranges (S),24130,15,107,77,104,119,150,89,151,6,804,30,107,73,73,114,167,62,117,154,895,875,2830,2402,2575,3161,4011,2063,3453,373,21741
Manningham (C),24210,38,295,213,222,384,337,164,264,16,1925,68,270,217,191,344,442,140,313,499,2479,1387,7413,5895,5818,8759,10695,4457,7431,955,52818
Mansfield (S),24250,10,34,18,22,16,22,10,21,0,153,15,11,18,17,13,29,9,25,41,175,155,518,419,526,441,593,314,737,88,3781
Maribyrnong (C),24330,38,159,172,145,320,241,153,137,8,1374,60,191,220,156,358,337,99,187,367,1975,1288,4058,4841,4388,8499,8523,4019,5326,699,41648
Maroondah (C),24410,52,274,213,261,469,426,201,326,23,2234,60,242,171,181,455,439,167,276,414,2397,1772,6910,5679,6067,10338,10901,5380,7044,844,54940
Melbourne (C),24600,53,198,238,195,311,280,149,185,19,1627,92,296,340,177,358,460,155,313,522,2712,1976,7238,7707,5212,10856,15129,6354,9526,1165,65156
Melton (C),24650,50,242,198,234,487,467,209,280,27,2198,86,248,175,258,628,597,167,253,609,3028,1953,6258,5440,6504,13444,13011,5245,6865,1306,60028
Mildura (RC),24780,18,87,67,76,201,188,60,97,11,811,48,89,74,93,148,170,48,107,240,1019,848,2695,2093,2763,4435,3925,1930,3286,524,22501
Mitchell (S),24850,24,91,47,65,143,173,77,117,12,742,40,89,60,65,155,156,47,92,181,896,745,2013,1776,2026,3467,3518,1785,2663,409,18406
Moira (S),24900,9,69,33,36,69,91,44,64,6,416,42,51,29,40,76,85,41,65,134,567,598,1410,1140,1352,1807,1952,1117,2118,309,11806
Monash (C),24970,58,364,329,298,551,476,201,291,28,2599,83,397,391,300,702,805,217,332,745,3968,2230,10844,8856,8444,15683,17205,6747,8885,1477,80373
Tamworth Regional (A),17310,28,112,87,105,229,204,104,183,15,1068,39,102,68,70,184,181,70,117,249,1076,926,2677,2354,2985,5246,4729,2440,4105,542,25997
Temora (A),17350,0,18,10,10,17,21,14,18,3,110,0,9,14,9,14,13,5,12,27,104,97,298,235,305,378,405,230,481,78,2514
