lga_name_2016,lga_code_2016,f_grdi_grcer_grdi_mng,f_grdi_grcer_grdi_pro,f_grdi_grcer_grdi_ttw,f_grdi_grcer_grdi_cps,f_grdi_grcer_grdi_ca,f_grdi_grcer_grdi_sal,f_grdi_grcer_grdi_mod,f_grdi_grcer_grdi_lab,f_grdi_grcer_grdi_idns,f_grdi_grcer_grdi_tot,f_grdi_grcer_gradcer_mng,f_grdi_grcer_gradcer_pro,f_grdi_grcer_gradcer_ttw,f_grdi_grcer_gradcer_cps,f_grdi_grcer_gradcer_ca,f_grdi_grcer_gradcer_sal,f_grdi_grcer_gradcer_mod,f_grdi_grcer_gradcer_lab,f_grdi_grcer_gradcer_idns,f_grdi_grcer_gradcer_tot,f_bade_bade_mng,f_bade_bade_pro,f_bade_bade_ttw,f_bade_bade_cps,f_bade_bade_ca,f_bade_bade_sal,f_bade_bade_mod,f_bade_bade_lab,f_bade_bade_idns,f_bade_bade_tot,f_advdi_di_advdi_di_nfd_mng,f_advdi_di_advdi_di_nfd_pro,f_advdi_di_advdi_di_nfd_ttw,f_advdi_di_advdi_di_nfd_cps,f_advdi_di_advdi_di_nfd_ca,f_advdi_di_advdi_di_nfd_sal,f_advdi_di_advdi_di_nfd_mod,f_advdi_di_advdi_di_nfd_lab,f_advdi_di_advdi_di_nfd_idns,f_advdi_di_advdi_di_nfd_tot,f_advdi_di_advdi_asde_mng,f_advdi_di_advdi_asde_pro,f_advdi_di_advdi_asde_ttw,f_advdi_di_advdi_asde_cps,f_advdi_di_advdi_asde_ca,f_advdi_di_advdi_asde_sal,f_advdi_di_advdi_asde_mod,f_advdi_di_advdi_asde_lab,f_advdi_di_advdi_asde_idns,f_advdi_di_advdi_asde_tot,f_advdi_di_dip_mng,f_advdi_di_dip_pro,f_advdi_di_dip_ttw,f_advdi_di_dip_cps,f_advdi_di_dip_ca,f_advdi_di_dip_sal,f_advdi_di_dip_mod,f_advdi_di_dip_lab,f_advdi_di_dip_idns,f_advdi_di_dip_tot,f_cert_certiii_iv_mng,f_cert_certiii_iv_pro,f_cert_certiii_iv_ttw,f_cert_certiii_iv_cps,f_cert_certiii_iv_ca,f_cert_certiii_iv_sal,f_cert_certiii_iv_mod,f_cert_certiii_iv_lab,f_cert_certiii_iv_idns,f_cert_certiii_iv_tot,f_cert_certi_ii_mng,f_cert_certi_ii_pro,f_cert_certi_ii_ttw,f_cert_certi_ii_cps,f_cert_certi_ii_ca,f_cert_certi_ii_sal,f_cert_certi_ii_mod,f_cert_certi_ii_lab,f_cert_certi_ii_idns,f_cert_certi_ii_tot,f_cert_cert_nfd_mng,f_cert_cert_nfd_pro,f_cert_cert_nfd_ttw,f_cert_cert_nfd_cps,f_cert_cert_nfd_ca,f_cert_cert_nfd_sal,f_cert_cert_nfd_mod,f_cert_cert_nfd_lab,f_cert_cert_nfd_idns,f_cert_cert_nfd_tot,f_le_id_mng,f_le_id_pro,f_le_id_ttw,f_le_id_cps,f_le_id_ca,f_le_id_sal,f_le_id_mod,f_le_id_lab,f_le_id_idns,f_le_id_tot,f_le_ns_mng,f_le_ns_pro,f_le_ns_ttw,f_le_ns_cps,f_le_ns_ca,f_le_ns_sal,f_le_ns_mod,f_le_ns_lab,f_le_ns_idns,f_le_ns_tot,f_tot_mng,f_tot_pro,f_tot_ttw,f_tot_cps,f_tot_ca,f_tot_sal,f_tot_mod,f_tot_lab,f_tot_idns,f_tot_tot,p_pode_pode_nfd_mng,p_pode_pode_nfd_pro,p_pode_pode_nfd_ttw,p_pode_pode_nfd_cps,p_pode_pode_nfd_ca,p_pode_pode_nfd_sal,p_pode_pode_nfd_mod,p_pode_pode_nfd_lab,p_pode_pode_nfd_idns,p_pode_pode_nfd_tot,p_pode_doctde_mng,p_pode_doctde_pro,p_pode_doctde_ttw,p_pode_doctde_cps,p_pode_doctde_ca,p_pode_doctde_sal,p_pode_doctde_mod,p_pode_doctde_lab,p_pode_doctde_idns,p_pode_doctde_tot,p_pode_masde_mng,p_pode_masde_pro,p_pode_masde_ttw,p_pode_masde_cps,p_pode_masde_ca,p_pode_masde_sal,p_pode_masde_mod,p_pode_masde_lab,p_pode_masde_idns,p_pode_masde_tot,p_grdigrcer_grdigrcernfd_mng,p_grdigrcer_grdigrcernfd_pro,p_grdigrcer_grdigrcernfd_ttw,p_grdigrcer_grdigrcernfd_cps,p_grdigrcer_grdigrcernfd_ca,p_grdigrcer_grdigrcernfd_sal,p_grdigrcer_grdigrcernfd_mod,p_grdigrcer_grdigrcernfd_lab,p_grdigrcer_grdigrcernfd_idns,p_grdigrcer_grdigrcernfd_tot,p_grdi_grcer_grdi_mng,p_grdi_grcer_grdi_pro,p_grdi_grcer_grdi_ttw,p_grdi_grcer_grdi_cps,p_grdi_grcer_grdi_ca,p_grdi_grcer_grdi_sal,p_grdi_grcer_grdi_mod,p_grdi_grcer_grdi_lab,p_grdi_grcer_grdi_idns,p_grdi_grcer_grdi_tot,p_grdi_grcer_gradcer_mng,p_grdi_grcer_gradcer_pro,p_grdi_grcer_gradcer_ttw,p_grdi_grcer_gradcer_cps,p_grdi_grcer_gradcer_ca,p_grdi_grcer_gradcer_sal,p_grdi_grcer_gradcer_mod,p_grdi_grcer_gradcer_lab,p_grdi_grcer_gradcer_idns,p_grdi_grcer_gradcer_tot,p_bade_bade_mng,p_bade_bade_pro,p_bade_bade_ttw,p_bade_bade_cps,p_bade_bade_ca,p_bade_bade_sal,p_bade_bade_mod,p_bade_bade_lab,p_bade_bade_idns,p_bade_bade_tot,p_advdi_di_advdi_di_nfd_mng,p_advdi_di_advdi_di_nfd_pro,p_advdi_di_advdi_di_nfd_ttw,p_advdi_di_advdi_di_nfd_cps,p_advdi_di_advdi_di_nfd_ca,p_advdi_di_advdi_di_nfd_sal,p_advdi_di_advdi_di_nfd_mod,p_advdi_di_advdi_di_nfd_lab,p_advdi_di_advdi_di_nfd_idns,p_advdi_di_advdi_di_nfd_tot
Ararat (RC),20260,11,38,0,3,6,0,0,4,0,69,0,13,0,3,0,0,0,0,0,24,51,222,9,32,22,10,0,14,0,358,0,0,0,0,0,0,0,0,0,6,32,35,8,33,23,7,0,0,0,132,21,22,9,52,37,10,3,12,0,154,30,27,49,139,58,34,0,39,10,386,5,0,0,9,5,6,0,5,0,40,8,3,3,21,9,7,0,3,0,60,3,0,0,0,3,0,0,8,3,24,6,6,3,18,11,9,0,9,6,74,181,399,82,318,180,79,8,97,18,1365,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,11,10,29,3,6,3,4,0,0,0,63,0,3,0,0,0,0,0,0,0,5,15,53,0,6,6,0,0,4,0,88,7,20,0,3,0,0,0,0,0,26,115,315,17,45,29,13,3,29,4,566,0,0,0,0,0,3,0,0,0,5
Ballarat (C),20570,66,608,17,105,62,17,0,3,9,881,20,136,3,20,20,3,0,0,3,203,337,2944,115,436,538,181,8,81,40,4681,3,3,0,4,6,4,0,0,0,20,134,284,37,216,229,60,7,30,16,1014,140,257,74,562,416,141,3,51,22,1666,184,205,438,1083,846,415,35,249,27,3482,28,15,22,72,128,92,7,48,3,414,25,15,27,126,108,66,3,26,4,398,3,39,7,17,24,15,0,6,0,124,27,67,22,85,65,61,9,70,37,435,1137,5450,771,2778,2509,1067,81,575,163,14530,15,50,0,0,0,3,0,0,0,72,39,346,4,6,3,0,0,3,0,404,340,1049,51,58,102,31,13,22,21,1684,22,85,0,10,3,6,0,4,0,126,152,883,30,146,78,25,13,16,10,1350,46,177,6,25,20,7,0,0,6,294,952,4780,302,665,714,283,67,195,89,8051,4,3,0,9,6,4,0,0,0,27
Banyule (C),20660,146,981,21,143,141,16,3,5,3,1451,31,212,12,10,36,4,0,5,4,307,937,4809,230,641,1222,410,19,87,82,8438,7,3,0,12,3,3,0,0,0,30,192,423,56,284,414,112,12,38,16,1541,227,336,106,496,533,179,13,41,33,1963,159,177,326,778,624,242,19,106,32,2467,15,9,16,64,99,33,3,17,0,250,38,49,32,126,203,51,5,31,5,545,20,52,10,32,62,31,0,10,9,219,36,101,30,90,91,41,4,17,52,461,2206,9261,877,2775,3724,1181,86,386,256,20745,9,82,0,4,7,3,0,0,0,114,125,1021,12,15,28,3,3,3,5,1215,927,2685,132,148,406,128,39,88,58,4617,50,155,0,12,30,5,3,3,3,260,322,1438,54,190,202,36,8,21,12,2279,65,263,16,23,45,5,3,4,7,444,2481,8513,687,1014,1819,776,151,308,151,15900,10,9,4,22,3,4,0,0,0,55
Bass Coast (S),20740,15,133,3,36,13,3,0,0,4,211,6,25,0,0,3,0,0,0,0,39,105,579,18,101,89,56,3,24,7,992,0,0,0,5,0,0,0,0,0,4,42,80,13,53,69,40,0,13,3,317,60,66,26,180,111,59,0,19,0,527,69,64,134,315,185,109,18,74,5,984,15,9,6,40,22,17,0,16,0,116,19,3,8,56,36,16,0,24,0,175,10,7,3,7,10,10,0,4,0,52,24,19,12,45,30,36,3,20,12,208,405,1130,231,850,583,358,24,200,45,3816,3,3,0,0,0,0,0,0,3,15,13,33,0,4,0,0,0,0,3,53,58,169,10,6,14,6,3,4,3,272,4,6,0,4,0,0,0,0,0,16,23,191,5,45,17,7,0,5,4,302,10,34,0,5,0,0,0,0,0,48,247,908,67,147,111,78,6,45,12,1632,3,3,0,4,0,0,0,0,0,9
Baw Baw (S),20830,35,233,4,40,23,5,0,3,3,348,10,44,0,0,4,3,0,0,0,70,194,1098,31,150,168,41,3,45,16,1750,3,3,0,3,5,0,0,0,0,12,79,158,16,96,96,23,0,31,3,501,82,158,47,300,221,58,4,45,9,924,141,89,246,538,395,179,35,150,9,1778,22,7,7,43,54,27,0,32,3,206,28,8,20,90,55,34,5,26,5,262,5,12,0,10,13,9,0,10,0,63,34,28,12,47,51,32,8,26,16,245,678,2109,386,1332,1117,418,57,382,68,6546,0,16,0,3,3,0,0,0,0,29,13,98,3,3,0,0,0,0,0,116,89,317,15,24,27,5,3,4,4,489,0,28,0,3,3,0,0,0,0,39,72,334,4,51,34,10,3,5,3,516,10,54,4,5,7,3,0,0,0,99,427,1654,95,199,232,67,14,86,26,2801,6,3,0,9,5,3,0,3,0,21
Bayside (C),20910,172,682,12,68,117,27,0,3,5,1088,28,119,0,8,22,4,0,0,0,185,1391,3980,137,458,1068,462,17,49,71,7622,4,3,0,6,4,0,0,0,0,21,203,421,55,191,342,118,8,15,17,1363,209,286,80,264,409,143,4,23,13,1424,132,113,157,339,316,166,5,45,15,1283,21,10,4,34,58,22,3,7,0,169,49,49,14,87,156,49,0,13,7,430,25,75,4,18,48,22,0,6,9,202,30,81,9,45,83,38,3,5,42,342,2852,7557,491,1594,2829,1126,39,167,205,16864,33,72,5,5,9,3,0,0,0,130,173,738,8,6,25,8,0,0,14,977,1454,2316,64,98,298,121,5,24,49,4421,87,165,4,7,21,10,0,0,6,296,373,1005,25,92,159,44,6,14,8,1714,53,150,4,22,30,14,0,3,0,270,3885,7728,404,710,1536,895,69,141,187,15559,4,4,0,5,4,0,0,0,0,31
Benalla (RC),21010,10,45,0,10,6,0,0,0,0,79,8,14,0,0,0,0,0,0,0,19,54,271,5,32,41,4,4,5,4,417,0,0,0,4,0,0,0,0,0,8,23,41,3,30,25,11,4,3,3,147,36,51,15,72,45,10,0,11,3,239,42,31,63,153,97,53,5,33,6,482,8,3,3,13,21,17,0,14,0,74,6,0,6,22,13,6,0,12,0,74,0,4,3,7,6,4,0,0,0,24,9,18,6,22,10,13,3,11,4,92,212,544,112,372,268,116,14,88,24,1752,0,0,0,0,0,0,0,0,0,7,3,10,0,0,0,0,0,0,0,13,32,75,0,3,5,3,0,0,3,123,0,5,0,0,0,0,0,0,0,5,26,66,0,13,5,0,0,0,0,119,9,18,0,0,3,0,0,0,0,26,106,407,13,45,51,14,9,10,9,659,4,0,0,3,0,0,0,0,0,11
Boroondara (C),21110,331,1309,34,140,246,55,0,11,11,2136,65,236,3,14,46,9,0,0,3,373,2320,8236,281,967,2367,892,17,192,185,15460,3,6,0,12,4,3,0,0,0,33,336,553,75,262,478,184,10,24,26,1944,295,346,99,385,616,237,9,45,22,2060,184,171,241,448,436,221,9,46,12,1774,22,22,13,49,69,30,0,17,0,223,75,68,24,103,206,66,5,13,8,572,56,144,10,34,68,29,4,10,5,361,67,141,9,52,113,42,0,20,53,496,4893,15326,862,2640,5270,1940,61,411,405,31803,46,165,7,7,23,3,0,0,0,258,318,2267,9,15,73,19,7,5,18,2740,2521,5733,228,252,912,368,37,115,150,10322,134,324,3,15,49,12,4,3,10,548,682,2075,70,168,340,86,14,24,27,3494,120,326,7,20,57,14,0,0,3,547,6121,16461,897,1506,3407,1696,169,512,403,31175,13,12,4,13,6,3,0,0,0,63
Brimbank (C),21180,47,441,10,126,55,9,3,10,3,705,5,73,0,5,17,0,0,0,0,109,620,3502,256,786,1528,586,77,341,87,7791,8,12,3,17,11,10,3,3,0,70,158,269,87,312,404,145,32,102,20,1535,258,345,207,870,700,304,59,170,38,2945,222,190,485,1264,802,441,148,366,58,3973,28,18,18,100,122,74,19,57,6,445,45,34,37,259,208,117,22,92,19,837,16,52,24,56,79,33,12,32,8,312,48,99,51,160,153,112,33,152,98,892,1592,5905,1217,4105,4314,1931,420,1405,351,21229,12,49,4,3,5,3,0,0,0,70,28,202,10,10,12,3,3,5,0,276,371,1358,143,225,368,203,156,205,43,3056,22,84,11,10,24,3,7,11,0,166,98,629,22,144,79,28,24,26,7,1057,19,115,7,17,31,5,0,3,0,184,1555,6001,966,1202,2337,1011,664,873,223,14825,11,15,11,18,17,13,19,10,3,117
Buloke (S),21270,5,30,0,3,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,3,21,129,0,18,23,4,0,0,7,198,0,0,0,0,0,0,0,0,0,0,11,24,0,17,4,4,0,3,0,75,11,9,0,21,12,7,0,4,0,58,21,17,17,49,31,29,4,9,0,178,6,0,0,3,17,0,0,0,0,28,3,0,0,12,3,0,0,0,0,27,0,3,0,0,0,0,0,0,0,0,5,6,0,3,9,4,0,4,0,36,101,239,25,129,100,45,3,28,3,669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,23,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,3,13,34,0,3,0,0,0,0,0,58,0,0,0,0,3,0,0,0,0,8,53,176,5,16,21,4,0,3,3,288,0,0,0,0,0,0,0,0,0,0
Campaspe (S),21370,19,126,0,31,14,7,0,0,0,205,8,22,0,0,4,0,0,0,0,39,111,773,25,79,109,38,0,18,3,1162,0,3,0,3,3,0,0,3,0,11,63,109,15,70,51,19,3,7,3,342,81,101,22,228,108,34,5,25,4,605,114,54,193,436,242,143,21,145,13,1351,18,12,15,33,35,20,3,32,0,174,14,5,15,50,32,24,7,17,3,168,7,4,3,4,10,0,0,6,0,40,36,36,15,56,28,30,5,40,18,265,498,1371,299,1006,642,322,43,292,44,4523,0,3,0,0,0,0,0,0,0,5,3,24,0,0,0,0,0,0,0,31,55,122,3,7,10,3,0,0,0,206,3,15,0,0,0,0,0,0,0,20,38,182,4,35,17,7,0,3,0,285,8,29,0,0,4,0,0,0,0,50,284,1076,57,111,128,64,17,36,6,1772,0,4,3,5,3,0,0,6,0,16
Cardinia (S),21450,43,335,11,105,46,15,0,3,0,552,10,83,0,7,17,0,0,3,0,120,289,1968,78,316,468,174,6,73,22,3392,0,3,4,11,7,0,0,0,0,30,121,221,38,230,280,83,14,38,12,1031,227,347,107,693,510,205,18,83,23,2204,218,221,446,1054,946,439,77,248,38,3693,25,15,20,90,123,74,14,47,8,417,44,35,25,142,152,80,15,38,10,555,12,30,6,19,41,12,3,18,0,139,43,48,22,102,93,63,6,37,30,453,1109,3756,792,2808,2756,1166,158,600,144,13283,10,28,0,0,0,0,0,0,0,40,15,135,6,9,3,0,0,0,0,174,186,598,41,52,114,50,27,29,11,1101,10,43,3,3,3,0,0,0,3,68,84,458,23,125,50,22,15,8,4,778,24,92,6,15,19,0,4,3,0,167,699,2935,247,435,647,290,100,187,55,5599,4,10,9,13,7,0,0,0,0,42
Casey (C),21610,78,688,18,298,105,35,4,15,6,1256,34,176,3,8,30,3,0,0,3,266,903,5773,323,1296,1942,724,95,393,137,11579,9,11,9,36,27,22,3,3,0,120,331,677,158,641,853,241,42,152,30,3128,565,840,355,2099,1470,571,80,260,65,6298,539,500,1069,2845,2176,985,256,697,93,9172,62,43,43,201,329,163,28,102,10,985,115,64,50,472,436,202,52,134,17,1544,44,116,32,85,134,69,12,36,9,538,78,191,69,290,308,164,55,175,131,1454,3033,10729,2215,8584,8320,3332,653,2053,542,39468,11,74,3,0,9,0,0,3,0,101,47,485,23,14,20,4,6,6,3,602,869,2649,275,415,790,308,192,191,77,5763,46,188,5,16,41,15,11,8,4,332,218,1001,58,343,155,46,23,40,10,1897,72,240,14,28,55,9,7,3,10,431,2532,9600,1273,1802,2895,1309,792,944,246,21394,14,17,23,44,30,25,8,7,3,187
Central Goldfields (S),21670,0,19,0,9,3,0,0,0,0,34,0,0,0,7,0,0,0,0,0,7,24,169,7,27,19,3,0,10,0,258,0,0,0,0,0,0,0,0,0,3,15,31,5,20,12,14,0,3,0,100,14,17,10,54,27,10,0,8,3,150,23,18,68,134,63,45,0,43,3,405,0,0,3,13,10,5,0,10,0,39,5,0,0,19,12,4,0,4,0,53,0,0,0,4,0,0,0,0,0,11,5,13,11,14,6,17,0,16,3,89,102,308,107,307,153,96,3,98,11,1191,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,3,8,33,4,0,3,0,0,0,5,57,0,3,0,0,0,0,0,0,0,3,4,36,0,9,6,3,0,0,0,59,3,7,0,7,0,0,0,0,0,15,52,229,15,36,20,4,3,19,4,384,0,0,0,0,0,0,0,0,0,3
Colac-Otway (S),21750,14,53,0,15,3,0,0,0,0,90,3,11,0,5,0,0,0,0,0,22,96,377,12,52,64,29,0,21,4,658,0,3,0,4,0,0,0,0,0,10,47,61,8,85,46,12,0,8,0,275,47,37,10,111,74,19,0,24,4,331,60,47,88,296,126,64,5,118,4,814,5,0,3,20,23,13,3,19,0,89,10,9,6,43,24,18,0,14,0,125,0,3,0,10,8,3,0,4,0,29,29,15,11,38,9,20,0,31,17,166,347,698,139,681,389,182,15,238,45,2733,0,7,0,0,0,0,0,0,0,4,4,24,0,0,0,0,0,0,0,27,41,82,3,14,15,0,0,0,0,153,0,15,0,0,3,0,0,0,0,14,21,80,0,14,4,0,0,5,3,139,9,20,0,3,0,0,0,0,0,28,182,557,45,77,82,45,12,55,4,1059,0,3,0,4,0,0,0,0,0,10
Corangamite (S),21830,14,49,0,15,3,0,0,0,3,83,0,7,0,0,0,0,0,0,0,6,99,324,11,37,42,17,0,13,4,540,0,0,0,0,0,0,0,0,0,4,49,47,5,36,15,8,3,14,4,174,40,30,15,75,32,12,3,15,6,223,71,25,74,153,81,42,0,69,3,523,6,4,0,8,3,7,0,16,3,52,19,6,0,26,16,10,0,10,0,85,3,10,0,0,0,0,0,0,0,9,30,10,5,26,10,6,0,22,6,121,342,546,119,377,211,94,10,161,21,1897,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,16,13,52,5,0,8,0,0,0,0,90,0,10,0,0,0,0,0,0,0,12,20,68,3,12,3,0,3,8,3,117,3,7,0,0,0,0,0,0,0,11,179,433,34,44,52,18,3,30,3,801,0,0,0,0,0,0,0,0,0,3
Darebin (C),21890,228,1195,31,151,190,34,3,6,15,1852,55,240,8,17,46,3,0,4,3,372,1381,5763,312,1028,1594,664,40,269,103,11166,3,7,3,7,5,3,0,3,7,40,203,381,105,257,363,166,14,59,16,1567,254,392,182,651,570,245,16,97,26,2438,192,235,354,751,622,298,39,135,24,2653,10,13,16,74,83,45,6,25,7,275,36,39,25,147,180,67,5,33,0,541,20,73,15,25,50,19,0,23,7,239,32,91,30,100,92,58,8,66,72,546,3100,11450,1159,3507,4198,1744,147,777,322,26411,20,99,4,10,3,9,0,0,0,140,156,1258,12,25,51,6,3,10,6,1529,1129,3748,196,381,618,282,101,230,78,6756,62,166,9,13,23,10,0,8,10,304,371,1810,68,206,260,50,20,19,17,2831,97,318,14,23,63,4,0,4,3,528,3006,10269,986,1587,2432,1163,368,744,224,20775,8,9,11,17,9,7,3,9,7,84
East Gippsland (S),22110,38,176,3,34,19,0,0,0,0,270,3,46,0,3,3,0,0,0,0,60,137,769,26,125,122,28,4,37,13,1254,0,0,0,6,3,0,0,0,0,12,65,123,20,105,91,11,3,12,0,435,87,132,31,225,148,48,10,38,10,728,104,82,202,499,296,156,13,139,7,1504,19,4,14,58,46,39,0,20,3,213,18,10,16,71,38,38,3,19,0,212,11,8,5,7,12,3,0,4,0,52,32,31,10,60,41,40,3,50,20,289,550,1523,315,1211,835,372,42,331,60,5231,0,4,0,0,0,0,0,0,0,11,14,36,0,3,0,0,0,0,0,63,61,167,3,15,17,9,0,8,0,283,6,19,0,0,0,0,0,0,0,26,55,217,7,44,23,7,3,5,3,369,12,55,0,9,3,3,0,0,0,80,267,1129,55,179,157,50,20,52,15,1929,0,3,0,6,3,0,0,3,0,13
Frankston (C),22170,51,522,9,149,67,25,0,0,3,827,23,121,0,7,31,3,0,0,0,187,510,3059,110,495,669,282,18,103,36,5276,6,14,0,23,14,6,0,3,0,58,188,413,65,355,396,132,10,45,14,1607,330,455,162,959,756,314,23,96,27,3116,325,281,647,1615,1232,557,100,321,50,5134,36,21,28,127,124,88,11,47,7,486,62,43,43,238,261,106,15,54,14,824,12,43,7,31,60,29,8,18,3,213,54,95,34,158,149,97,14,63,64,726,1729,5807,1120,4216,3833,1670,201,761,223,19559,10,44,3,9,3,0,0,0,0,66,27,176,3,0,3,3,0,0,3,213,308,954,49,80,126,58,26,32,16,1643,18,66,0,11,9,10,0,0,0,108,122,718,25,177,86,37,6,12,6,1182,50,163,10,15,31,11,3,4,0,288,1159,4713,403,702,925,475,145,255,74,8849,6,17,10,24,13,13,3,8,0,82
Gannawarra (S),22250,8,31,0,7,0,0,0,0,0,43,0,5,0,0,0,0,0,0,0,3,35,186,10,24,25,3,0,6,0,289,0,0,0,0,0,0,0,0,0,0,20,28,0,16,14,3,0,0,0,87,22,34,8,45,25,8,0,6,0,157,40,23,44,106,64,40,6,27,0,345,6,0,0,10,26,8,4,7,0,54,12,0,0,18,11,7,0,8,0,55,0,4,0,3,3,0,0,0,0,10,14,9,3,14,9,11,0,13,3,81,171,339,68,233,186,76,15,73,8,1157,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,7,12,18,0,0,0,0,0,3,0,35,0,0,0,0,0,0,0,0,0,0,10,41,0,9,0,3,0,0,0,61,0,6,0,0,0,0,0,0,0,5,79,258,18,29,32,6,0,10,0,432,0,0,0,0,0,0,0,0,0,3
Greater Shepparton (C),22830,26,331,6,58,21,3,0,3,3,461,3,58,0,5,8,0,0,0,0,77,214,1398,49,153,177,44,3,52,14,2113,3,5,0,10,3,3,0,3,0,24,72,194,16,128,110,30,0,28,4,578,126,202,42,428,276,73,7,54,8,1207,142,140,261,633,438,234,21,163,21,2055,17,12,8,35,67,42,3,27,0,202,21,18,13,85,77,39,3,26,4,279,8,23,3,15,22,11,0,15,3,97,36,46,14,57,46,43,5,64,22,331,718,2695,420,1637,1270,531,42,447,83,7851,3,19,0,0,0,0,0,0,0,24,8,89,0,4,4,0,0,0,0,107,146,393,18,31,41,13,3,20,4,661,8,22,0,3,3,3,0,0,0,35,50,479,6,76,27,6,0,3,5,663,15,77,0,7,14,0,0,3,0,112,499,2124,100,215,247,78,31,108,28,3438,6,7,0,11,3,6,5,3,0,38
Hepburn (S),22910,16,84,3,24,11,6,0,0,0,139,4,15,0,4,0,0,0,0,0,27,86,303,19,83,86,25,0,29,7,628,0,0,0,4,0,0,0,0,0,0,53,55,13,40,37,16,0,15,0,224,33,51,14,82,51,14,0,16,3,266,32,16,64,128,75,44,5,44,4,416,4,4,0,15,16,10,0,5,0,54,7,3,5,20,21,6,0,3,0,67,3,3,0,3,3,4,0,4,0,21,3,20,7,13,16,6,0,20,8,93,273,700,134,419,321,130,17,130,22,2144,0,8,0,0,0,0,0,0,0,8,16,54,0,0,3,0,0,0,3,77,53,156,7,12,16,3,4,9,3,265,4,12,0,0,0,0,0,0,0,19,29,121,8,26,17,9,0,4,0,216,10,16,0,8,0,0,0,0,0,34,178,500,56,106,120,36,15,54,10,1075,0,0,0,4,0,0,0,0,0,7
Hindmarsh (S),22980,7,19,0,0,0,0,0,0,0,28,0,4,0,0,0,0,0,0,0,4,13,117,0,13,21,3,0,0,0,165,0,0,0,0,0,0,0,0,0,0,10,22,0,9,8,0,0,0,0,60,14,17,4,34,22,3,0,6,0,99,18,9,21,80,39,12,0,15,0,185,9,0,3,3,6,3,0,4,0,29,0,0,0,8,3,3,0,3,0,24,0,0,0,0,0,0,0,0,0,0,3,8,0,5,3,4,0,3,4,27,83,207,32,156,100,29,6,40,5,652,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,11,19,0,0,3,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,10,20,0,0,0,0,0,0,0,33,0,4,0,0,0,0,0,0,0,4,38,150,6,18,21,3,0,9,0,241,0,0,0,0,0,0,0,0,0,0
Hobsons Bay (C),23110,119,551,19,77,70,12,0,10,9,867,34,99,0,4,23,0,0,0,3,166,736,2806,141,413,798,275,23,104,59,5360,4,5,3,5,4,4,0,3,0,27,117,225,52,152,227,91,4,35,9,923,198,265,92,420,420,138,13,37,30,1617,143,114,243,507,507,191,45,116,19,1894,11,18,10,36,68,29,8,13,4,194,39,31,15,90,128,46,9,17,8,392,24,36,13,16,27,18,0,11,4,143,29,56,14,53,80,28,11,31,28,330,1817,5347,640,1875,2554,890,121,390,190,13824,11,48,0,4,0,3,0,0,0,73,69,387,5,4,10,5,0,0,12,496,721,1519,79,127,278,103,51,56,35,2970,42,97,4,8,17,6,5,3,3,184,203,771,37,100,107,15,5,18,16,1278,51,140,7,5,30,3,3,6,3,254,1808,4981,469,628,1232,503,171,302,125,10216,11,7,7,8,4,8,3,3,0,51
Horsham (RC),23190,15,100,0,23,8,0,0,0,0,142,5,36,0,0,0,0,0,0,0,42,78,532,12,66,71,14,0,6,5,787,0,3,0,0,3,0,0,0,0,7,39,69,5,51,51,13,3,3,3,238,41,77,11,111,92,34,3,5,6,377,57,35,98,227,166,81,10,35,7,710,3,4,3,15,38,18,0,9,0,96,18,10,7,37,32,15,0,11,0,133,9,6,0,4,3,0,0,0,0,28,9,19,4,16,27,14,0,13,10,107,277,982,150,564,502,191,14,83,24,2793,0,7,0,0,0,0,0,0,0,8,3,49,0,0,0,0,0,0,3,63,30,92,0,5,15,4,3,0,3,157,5,10,0,3,0,0,0,0,0,18,18,126,3,25,5,0,0,0,0,185,12,42,3,4,0,0,0,0,0,62,159,746,26,90,87,20,10,21,12,1159,0,3,3,0,3,0,0,0,0,10
Hume (C),23270,59,511,10,191,67,25,0,4,5,867,13,91,0,4,18,0,0,0,0,137,521,3228,190,754,1065,432,64,204,83,6536,7,3,3,40,13,4,0,0,3,78,183,311,97,393,446,148,22,69,18,1678,275,432,177,1250,841,369,46,125,50,3562,258,273,560,1702,1148,490,114,330,54,4936,30,27,22,119,180,96,16,59,3,547,52,50,38,286,270,118,23,67,9,917,19,63,17,55,63,31,7,18,10,278,47,83,42,208,186,122,18,93,74,879,1646,5966,1191,5161,4512,1930,313,1026,322,22068,5,57,3,9,10,0,3,0,0,86,35,242,9,4,16,3,0,4,4,313,454,1388,125,246,357,182,167,135,35,3096,21,71,4,11,10,3,10,0,0,140,119,715,28,210,101,37,21,15,9,1263,38,122,3,15,22,5,3,0,3,219,1422,5285,659,1145,1650,745,572,581,175,12231,16,12,16,37,15,12,7,3,8,127
