lga_code16,m_ind_15_19_pd_gd_gcl,m_ind_15_19_bdl,m_ind_15_19_adip_dipl,m_ind_15_19_ct_iii_iv,m_ind_15_19_ct_i_ii,m_ind_15_19_cl_nfd,m_ind_15_19_loe_ns,m_ind_15_19_tot,m_ind_20_24_pd_gd_gcl,m_ind_20_24_bdl,m_ind_20_24_adip_dipl,m_ind_20_24_ct_iii_iv,m_ind_20_24_ct_i_ii,m_ind_20_24_cl_nfd,m_ind_20_24_loe_ns,m_ind_20_24_tot,m_ind_25_34_pd_gd_gcl,m_ind_25_34_bdl,m_ind_25_34_adip_dipl,m_ind_25_34_ct_iii_iv,m_ind_25_34_ct_i_ii,m_ind_25_34_cl_nfd,m_ind_25_34_loe_ns,m_ind_25_34_tot,m_ind_35_44_pd_gd_gcl,m_ind_35_44_bdl,m_ind_35_44_adip_dipl,m_ind_35_44_ct_iii_iv,m_ind_35_44_ct_i_ii,m_ind_35_44_cl_nfd,m_ind_35_44_loe_ns,m_ind_35_44_tot,m_ind_45_54_pd_gd_gcl,m_ind_45_54_bdl,m_ind_45_54_adip_dipl,m_ind_45_54_ct_iii_iv,m_ind_45_54_ct_i_ii,m_ind_45_54_cl_nfd,m_ind_45_54_loe_ns,m_ind_45_54_tot,m_ind_55_64_pd_gd_gcl,m_ind_55_64_bdl,m_ind_55_64_adip_dipl,m_ind_55_64_ct_iii_iv,m_ind_55_64_ct_i_ii,m_ind_55_64_cl_nfd,m_ind_55_64_loe_ns,m_ind_55_64_tot,m_ind_65ov_ptgdde_gddp_gdct,m_ind_65ov_bdl,m_ind_65ov_adip_dipl,m_ind_65ov_ct_iii_iv,m_ind_65ov_ct_i_ii,m_ind_65ov_cl_nfd,m_ind_65ov_loe_ns,m_ind_65ov_tot,m_ind_tot_pd_gd_gcl,m_ind_tot_bdl,m_ind_tot_adip_dipl,m_ind_tot_ct_iii_iv,m_ind_tot_ct_i_ii,m_ind_tot_cl_nfd,m_ind_tot_loe_ns,m_ind_tot_tot,m_noni_15_19_pd_gd_gcl,m_noni_15_19_bdl,m_noni_15_19_adip_dipl,m_noni_15_19_ct_iii_iv,m_noni_15_19_ct_i_ii,m_noni_15_19_cl_nfd,m_noni_15_19_loe_ns,m_noni_15_19_tot,m_noni_20_24_pd_gd_gcl,m_noni_20_24_bdl,m_noni_20_24_adip_dipl,m_noni_20_24_ct_iii_iv,m_noni_20_24_ct_i_ii,m_noni_20_24_cl_nfd,m_noni_20_24_loe_ns,m_noni_20_24_tot,m_noni_25_34_pd_gd_gcl,m_noni_25_34_bdl,m_noni_25_34_adip_dipl,m_noni_25_34_ct_iii_iv,m_noni_25_34_ct_i_ii,m_noni_25_34_cl_nfd,m_noni_25_34_loe_ns,m_noni_25_34_tot,m_noni_35_44_pd_gd_gcl,m_noni_35_44_bdl,m_noni_35_44_adip_dipl,m_noni_35_44_ct_iii_iv,m_noni_35_44_ct_i_ii,m_noni_35_44_cl_nfd,m_noni_35_44_loe_ns,m_noni_35_44_tot,m_noni_45_54_pd_gd_gcl,m_noni_45_54_bdl,m_noni_45_54_adip_dipl,m_noni_45_54_ct_iii_iv,m_noni_45_54_ct_i_ii,m_noni_45_54_cl_nfd,m_noni_45_54_loe_ns,m_noni_45_54_tot,m_noni_55_64_pd_gd_gcl,m_noni_55_64_bdl,m_noni_55_64_adip_dipl,m_noni_55_64_ct_iii_iv,m_noni_55_64_ct_i_ii,m_noni_55_64_cl_nfd,m_noni_55_64_loe_ns,m_noni_55_64_tot,m_noni_65ov_ptgdde_gddp_gdct,m_noni_65ov_bdl,m_noni_65ov_adip_dipl,m_noni_65ov_ct_iii_iv,m_noni_65ov_ct_i_ii,m_noni_65ov_cl_nfd,m_noni_65ov_loe_ns,m_noni_65ov_tot,m_noni_totpdde_gddp_gdct,m_noni_tot_bdl,m_noni_tot_adip_dipl,m_noni_tot_ct_iii_iv,m_noni_tot_ct_i_ii,m_noni_tot_cl_nfd,m_noni_tot_loe_ns,m_noni_tot_tot,m_is_ns_15_19_pd_gd_gcll,m_is_ns_15_19_bdl,m_is_ns_15_19_adip_dipl,m_is_ns_15_19_ct_iii_iv_l,m_is_ns_15_19_ct_i_ii,m_is_ns_15_19_cl_nfd,m_is_ns_15_19_loe_ns,m_is_ns_15_19_tot,m_is_ns_20_24_pd_gd_gcll,m_is_ns_20_24_bdl,m_is_ns_20_24_addip_and_dipl,m_is_ns_20_24_ct_iii_iv_l,m_is_ns_20_24_ct_i_ii,m_is_ns_20_24_cl_nfd,m_is_ns_20_24_loe_ns,m_is_ns_20_24_tot,m_is_ns_25_34_pd_gd_gcll,m_is_ns_25_34_bdl,m_is_ns_25_34_addip_and_dipl,m_is_ns_25_34_ct_iii_iv_l,m_is_ns_25_34_ct_i_ii_l,m_is_ns_25_34_cl_nfd,m_is_ns_25_34_loe_ns,m_is_ns_25_34_tot,m_is_ns_35_44_pd_gd_gcll,m_is_ns_35_44_bdl,m_is_ns_35_44_adip_dipl,m_is_ns_35_44_ct_iii_iv_l,m_is_ns_35_44_ct_i_ii_l,m_is_ns_35_44_cl_nfd,m_is_ns_35_44_loe_ns,m_is_ns_35_44_tot,m_is_ns_45_54_pdde_gddp_gdc,m_is_ns_45_54_bdl,m_is_ns_45_54_adip_dipl,m_is_ns_45_54_ct_iii_iv_l,m_is_ns_45_54_ct_i_ii_l,m_is_ns_45_54_cl_nfd,m_is_ns_45_54_loe_ns,m_is_ns_45_54_tot,m_is_ns_55_64_pd_gd_gcl,m_is_ns_55_64_bdl,m_is_ns_55_64_adip_dipl,m_is_ns_55_64_ct_iii_iv_l,m_is_ns_55_64_ct_i_ii_l,m_is_ns_55_64_cl_nfd,m_is_ns_55_64_loe_ns,m_is_ns_55_64_tot,m_is_ns_65ov_pd_gd_gcl,m_is_ns_65ov_bdl,m_is_ns_65ov_adip_dipl,m_is_ns_65ov_ct_iii_iv_l,m_is_ns_65ov_ct_i_ii,m_is_ns_65ov_cl_nfd,m_is_ns_65ov_loe_ns,m_is_ns_65ov_tot,m_is_ns_totpdde_gddp_gdct,m_is_ns_tot_bdl,m_is_ns_tot_adip_dipl,m_is_ns_tot_ct_iii_iv_l,m_is_ns_tot_ct_i_ii,m_is_ns_tot_cl_nfd,m_is_ns_tot_loe_ns,m_is_ns_tot_tot,m_t_15_19_pd_gd_gcl,m_t_15_19_bdl,m_t_15_19_adip_dipl,m_t_15_19_ct_iii_iv,m_t_15_19_ct_i_ii,m_t_15_19_cl_nfd,m_t_15_19_loe_ns,m_t_15_19_tot,lga_name16
12930,0,0,0,0,0,0,0,8,0,3,3,14,0,0,0,27,3,10,7,12,0,0,3,30,0,5,3,10,0,0,0,22,3,3,9,12,0,0,0,26,0,3,0,6,0,0,0,17,0,0,0,3,0,3,0,9,12,24,16,62,0,6,7,133,3,7,28,86,18,18,112,264,114,1150,396,534,26,47,180,2458,1995,3712,1263,1324,64,117,367,8843,1546,2352,997,1394,46,140,266,6744,1030,1912,1041,1643,58,193,286,6164,706,1449,749,1394,37,191,278,4800,474,1141,652,2032,61,286,723,5357,5864,11728,5129,8409,314,988,2206,34635,0,0,0,0,0,0,153,152,0,0,0,0,0,0,193,197,0,6,5,9,0,0,503,522,3,4,0,5,3,0,327,348,3,4,3,3,0,3,334,355,0,5,0,6,0,0,278,291,6,3,0,30,0,0,373,418,13,29,15,57,3,3,2167,2284,3,7,28,88,17,17,261,421,Georges River (A)
12950,0,0,0,0,3,0,3,7,0,0,0,0,0,0,0,8,0,0,0,9,0,0,0,10,0,0,0,12,0,0,7,22,0,0,0,9,0,0,0,11,0,4,0,0,0,0,3,5,0,0,0,0,0,0,5,7,0,3,7,30,3,0,22,64,0,0,0,4,3,0,3,11,0,3,0,26,3,0,0,39,3,16,4,59,3,4,3,101,3,8,9,56,3,4,10,91,3,10,12,74,0,4,11,117,6,9,10,56,0,7,20,115,0,3,10,80,3,8,56,158,20,53,51,360,14,29,108,636,0,0,0,0,0,0,7,7,0,0,0,0,0,0,9,9,0,0,0,0,0,0,14,14,0,0,0,0,0,0,14,20,0,0,0,0,0,0,23,23,0,0,0,0,0,0,26,26,0,0,0,0,0,0,34,40,0,0,0,0,0,0,126,133,0,0,0,4,3,0,18,28,Gilgandra (A)
13010,0,0,0,0,0,0,3,0,0,0,0,3,0,0,4,11,0,0,0,9,3,3,12,32,0,3,0,0,0,0,13,18,0,0,0,6,0,0,12,21,0,0,0,3,0,0,5,8,0,0,0,0,0,0,0,3,0,4,0,25,10,6,47,101,0,0,0,16,0,4,19,37,0,0,4,45,5,0,7,64,3,13,19,110,18,4,57,226,11,30,36,86,7,11,60,248,4,32,32,138,0,11,42,270,8,44,35,175,13,15,47,338,19,48,43,195,6,14,96,424,51,172,176,768,48,67,331,1611,0,0,0,0,0,0,14,14,0,0,0,3,0,0,14,15,0,0,0,0,0,0,40,45,0,0,0,3,0,0,34,40,0,0,0,0,0,0,31,37,0,0,0,0,0,0,41,47,0,0,0,0,0,0,111,111,0,3,0,8,0,0,293,300,0,0,0,15,0,4,35,63,Glen Innes Severn (A)
13310,0,0,0,6,0,0,5,14,0,0,0,3,0,3,23,32,0,4,0,16,0,0,65,85,0,3,7,10,0,0,21,45,0,0,4,18,0,0,14,37,4,0,8,5,0,0,3,20,0,0,0,6,0,0,6,10,4,8,17,61,3,3,140,240,0,0,0,41,8,8,61,110,0,36,29,234,21,12,80,410,50,137,122,562,23,22,178,1090,67,140,139,546,16,34,204,1135,65,129,168,606,21,36,144,1167,101,139,171,518,21,29,122,1103,76,166,149,677,12,49,301,1431,355,746,778,3182,113,186,1085,6444,0,0,0,0,0,0,43,43,0,0,0,0,0,0,54,56,0,0,0,0,0,0,100,104,0,0,0,7,0,0,91,100,3,0,3,3,0,0,121,134,0,0,0,3,0,0,92,98,0,3,3,14,0,0,182,194,5,3,6,26,0,0,683,729,0,0,0,45,8,8,109,167,Goulburn Mulwaree (A)
13340,0,0,0,3,0,0,3,6,0,0,0,3,0,0,0,3,0,0,0,9,0,0,3,10,0,0,0,7,0,0,0,8,0,0,3,3,0,0,0,11,0,0,0,3,0,0,3,9,0,0,0,0,0,0,0,3,0,3,3,23,0,0,12,41,0,0,0,12,0,0,21,37,0,5,5,60,4,5,13,95,8,37,30,168,6,7,8,263,15,58,53,162,10,5,14,315,18,52,54,226,6,15,21,395,17,58,59,236,5,11,37,427,16,37,49,220,8,20,100,457,76,248,251,1088,42,60,223,1989,0,0,0,0,0,0,8,8,0,0,0,0,0,0,16,24,0,0,0,0,0,0,26,26,0,0,0,3,0,0,22,26,0,0,3,4,0,0,26,33,0,0,0,3,0,0,50,52,0,0,0,3,0,0,70,72,0,0,4,17,0,0,229,251,0,0,0,14,0,0,36,55,Greater Hume Shire (A)
13450,0,0,0,4,0,0,3,10,0,0,0,19,3,0,3,21,0,3,4,36,0,3,8,48,0,0,0,16,3,0,5,27,0,0,6,12,0,0,3,24,0,3,0,11,0,0,3,16,0,0,0,3,0,0,3,7,0,4,10,91,5,6,36,146,0,0,0,41,3,3,45,96,3,43,15,191,10,3,29,296,45,176,109,497,15,32,67,946,52,152,94,470,14,19,49,849,46,120,101,453,11,22,66,821,35,94,60,384,5,22,81,680,21,48,46,309,4,14,202,642,203,630,427,2349,62,114,545,4333,0,0,0,0,0,0,56,58,0,0,0,3,0,0,70,71,0,0,0,5,0,0,153,163,0,0,0,7,0,0,119,131,0,0,0,4,0,0,131,137,0,0,0,6,0,0,144,142,0,0,0,0,0,0,186,195,0,0,5,25,0,4,866,894,0,0,0,40,7,6,109,160,Griffith (C)
13510,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,4,0,0,0,11,0,0,0,10,0,0,0,10,0,0,3,14,0,0,0,3,0,0,0,8,0,0,0,6,0,0,6,10,0,0,0,3,0,0,0,4,0,0,5,33,3,0,16,64,0,0,0,12,0,0,20,32,0,3,8,69,3,3,10,98,4,39,23,146,8,9,18,246,11,51,47,166,7,9,27,316,14,41,50,229,10,11,37,380,25,44,47,224,9,11,46,392,14,58,65,251,3,34,146,571,62,233,237,1096,40,66,295,2029,0,0,0,0,0,0,17,17,0,0,0,3,0,0,10,13,0,0,0,0,0,0,23,24,0,0,0,0,0,0,37,35,0,0,0,0,0,0,49,46,0,0,0,0,0,0,54,55,0,0,0,3,0,0,84,89,0,0,0,9,0,0,276,288,0,0,0,12,3,0,34,52,Gundagai (A)
13550,0,0,0,6,3,0,11,20,0,0,0,6,0,3,5,23,0,0,0,26,3,3,10,39,0,0,3,15,0,0,10,33,0,0,0,15,0,0,7,26,0,0,0,11,0,3,5,17,0,0,0,3,0,0,5,8,0,4,3,92,9,6,52,167,0,0,0,11,3,0,29,43,0,9,3,91,6,0,10,123,14,68,25,254,8,15,23,411,15,73,53,196,12,14,23,379,25,35,40,213,9,20,32,367,11,49,46,201,4,13,36,364,9,35,35,189,8,21,78,370,79,274,201,1158,49,77,228,2064,0,0,0,0,0,0,19,19,0,0,0,0,0,0,31,29,0,0,0,0,0,0,41,45,0,0,0,0,0,0,61,63,0,0,0,3,0,0,59,60,0,0,0,3,0,0,44,46,0,0,0,3,0,0,84,86,0,0,0,9,0,0,341,352,0,0,0,21,3,0,54,78,Gunnedah (A)
13660,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,6,0,0,0,5,0,0,0,8,0,0,0,7,0,0,3,5,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,13,0,0,11,34,0,0,0,9,3,0,14,25,0,4,0,36,3,0,0,45,0,18,10,61,0,3,11,107,4,19,14,55,3,3,8,119,5,24,33,70,5,3,18,158,9,14,14,62,0,7,22,128,5,17,15,103,0,8,62,218,18,99,90,398,19,25,141,789,0,0,0,0,0,0,15,15,0,0,0,0,0,0,7,7,0,0,0,0,0,0,24,22,0,0,0,3,0,0,18,24,0,0,0,0,0,0,22,28,0,0,0,0,0,0,44,48,0,0,0,4,0,0,58,62,0,0,0,7,0,0,194,211,0,0,0,6,3,0,25,40,Gwydir (A)
13800,0,0,0,3,6,0,0,10,3,0,0,39,3,3,3,55,0,3,5,68,0,3,6,84,4,0,12,38,0,0,5,61,4,8,8,22,0,8,10,56,4,0,12,20,0,3,3,48,0,0,0,12,0,0,4,11,16,13,44,197,13,12,28,326,0,0,12,135,11,9,71,228,10,110,92,683,25,26,52,1004,120,317,275,1578,53,58,95,2493,121,317,372,1526,26,78,99,2537,164,312,442,1737,19,77,115,2869,182,321,315,1288,27,101,119,2352,148,261,290,1158,17,115,293,2279,751,1636,1802,8095,179,460,838,13771,0,0,0,0,0,0,114,118,0,0,0,7,0,0,107,118,0,0,0,5,0,0,199,210,0,0,3,13,0,3,197,210,0,0,0,5,0,0,270,278,0,3,3,7,0,0,212,225,0,0,5,11,0,0,269,287,4,8,5,44,3,3,1369,1440,0,0,12,141,15,9,186,354,Hawkesbury (C)
13850,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,7,0,0,0,3,0,0,0,4,0,0,0,3,0,0,0,5,0,0,3,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,12,3,0,8,28,0,0,0,0,0,0,3,4,0,0,5,27,3,0,0,35,3,10,7,34,3,3,0,61,6,9,9,35,0,0,3,63,0,11,19,45,0,0,13,86,3,7,6,46,0,3,10,77,3,8,9,43,0,4,31,97,18,46,52,241,8,13,57,425,0,0,0,0,0,0,5,3,0,0,0,0,0,0,10,9,0,0,0,0,0,0,24,24,0,0,0,0,0,0,9,10,0,0,0,0,0,0,29,32,0,0,0,0,0,0,26,27,0,0,0,0,0,0,38,38,0,0,3,3,0,0,132,138,0,0,0,3,0,0,6,9,Hay (A)
16380,0,0,0,8,4,0,14,33,0,3,0,31,8,0,10,52,3,8,12,65,6,3,3,108,0,6,13,53,3,6,8,87,7,5,14,49,7,3,10,89,0,0,10,45,0,3,13,67,0,3,6,28,0,0,7,46,11,27,54,278,29,21,65,489,0,0,4,67,23,10,103,204,0,63,37,419,48,13,48,624,98,364,201,1031,37,44,91,1868,170,517,370,1254,39,69,132,2545,205,471,412,1550,42,84,156,2930,243,493,452,1671,43,116,225,3239,281,684,700,2694,61,218,933,5575,1010,2593,2169,8676,294,559,1690,16985,0,0,0,3,0,0,116,120,0,0,0,3,0,0,80,85,0,0,0,3,0,0,197,209,0,0,0,18,0,0,192,210,0,0,3,11,0,3,260,275,0,0,6,12,0,3,302,320,3,3,4,19,3,0,616,654,3,10,17,70,6,4,1768,1873,0,0,3,82,27,10,231,358,Port Macquarie-Hastings (A)
16400,0,0,3,6,3,3,13,29,0,3,3,37,3,6,8,67,0,5,4,63,5,11,12,108,0,4,13,47,4,3,3,75,0,7,9,41,3,0,13,87,4,3,8,37,0,0,7,60,0,4,0,18,0,4,7,28,11,26,43,253,16,26,66,447,0,0,11,66,29,5,106,214,0,70,47,466,36,17,39,680,68,244,191,1226,60,51,90,1921,126,329,359,1428,44,52,85,2426,157,290,428,1675,27,80,123,2782,178,383,422,1520,35,107,168,2814,211,460,543,2259,42,211,611,4335,747,1769,2007,8630,268,522,1225,15179,0,0,0,0,0,0,99,99,0,0,0,0,0,0,142,145,0,0,0,7,0,0,245,253,0,3,0,12,0,0,240,258,0,4,0,8,0,0,301,314,0,0,0,13,0,0,292,302,0,3,7,19,0,0,575,604,4,14,7,62,0,0,1883,1969,0,0,11,71,29,13,216,339,Port Stephens (A)
16490,0,0,0,8,3,0,7,20,0,0,0,22,0,0,3,24,4,6,8,33,0,0,6,60,0,9,11,27,0,5,4,53,9,6,12,18,0,0,6,51,0,7,6,8,0,0,6,27,0,0,0,3,0,0,3,10,17,25,37,111,7,5,33,239,0,0,6,45,15,3,63,137,3,108,68,368,32,8,34,618,260,612,350,1055,36,41,87,2434,451,584,441,952,22,51,81,2574,586,542,506,1078,22,67,120,2921,391,405,324,883,16,51,103,2167,267,332,227,676,20,67,196,1787,1955,2583,1921,5054,161,279,684,12641,0,0,0,0,0,0,98,102,0,0,0,3,0,0,100,110,0,4,3,8,0,0,255,272,0,5,3,4,0,0,286,298,3,0,3,13,0,0,317,336,0,3,0,9,0,0,234,245,3,0,0,4,0,0,251,267,11,14,12,44,0,3,1544,1631,0,0,6,55,14,3,168,255,Queanbeyan-Palerang Regional (A)
16550,0,0,0,3,3,0,15,14,3,9,5,18,0,0,40,71,7,9,8,44,0,0,82,154,8,12,14,25,0,0,68,127,3,3,3,30,0,3,37,74,0,0,0,13,0,0,22,42,3,0,6,9,0,0,16,29,21,32,33,145,10,3,272,508,6,13,30,67,14,28,156,313,131,1719,317,368,39,48,327,2941,2094,4334,919,1712,52,137,678,9928,1966,2971,942,1348,47,106,571,7954,1364,1930,814,1281,30,133,462,6017,862,1269,506,1052,31,147,335,4204,740,962,465,1428,28,175,759,4558,7156,13194,4004,7259,240,770,3296,35916,0,0,0,0,0,0,235,238,0,0,0,3,0,0,562,567,4,17,4,3,0,0,997,1028,0,12,5,6,0,0,704,728,0,3,3,3,0,0,527,538,3,0,6,5,0,0,422,439,0,5,3,21,0,3,580,618,12,44,14,47,0,8,4033,4160,6,15,30,66,15,28,409,569,Randwick (C)
16610,0,0,0,0,0,0,23,26,0,0,0,12,4,0,5,21,0,0,0,23,0,0,16,41,0,0,3,13,0,0,6,27,0,3,0,22,3,0,14,48,3,0,3,6,0,3,6,29,0,0,0,3,0,0,4,14,8,3,7,85,8,6,74,200,0,0,0,30,9,3,39,85,0,8,7,136,19,9,20,196,6,37,34,346,11,17,35,485,25,84,55,345,20,19,34,574,26,74,64,417,11,29,57,677,41,89,94,482,14,34,50,787,34,70,98,550,12,45,245,1053,121,354,339,2308,91,143,487,3855,0,0,0,3,0,0,61,61,0,0,0,0,0,0,41,41,0,0,0,0,0,0,64,64,3,3,0,6,0,0,98,108,0,0,0,0,0,0,114,120,0,0,0,0,0,0,107,115,0,0,0,3,0,0,156,166,5,3,0,25,4,0,642,677,0,0,0,33,15,3,122,174,Richmond Valley (A)
16650,0,0,0,4,0,0,0,4,0,3,3,9,0,0,0,15,3,5,8,14,0,0,4,37,3,7,4,19,0,0,4,34,0,3,8,11,0,0,3,21,0,0,3,6,0,3,0,17,0,0,0,4,0,0,4,8,8,20,28,67,0,3,19,147,0,8,16,68,17,8,93,208,63,763,307,388,32,36,130,1718,1552,3338,1253,1170,59,121,337,7821,1082,1832,906,1242,55,142,244,5506,530,995,718,1215,42,159,265,3926,337,721,437,944,24,126,247,2834,229,545,372,1322,25,130,668,3286,3792,8203,4005,6348,253,717,1988,25307,0,0,0,0,0,0,128,125,0,4,0,3,0,0,211,217,0,8,3,0,0,0,632,652,3,3,0,3,0,0,441,452,0,3,4,5,0,3,325,340,4,0,3,13,0,0,278,296,3,5,7,15,0,3,549,572,11,24,15,40,4,4,2552,2655,0,8,16,68,17,8,223,340,Rockdale (C)
16700,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,7,0,5,0,7,0,0,0,19,0,0,3,7,0,0,0,13,0,0,4,8,0,0,0,20,0,0,0,10,0,0,0,12,0,3,0,3,0,0,0,9,6,15,13,34,0,3,4,77,0,3,23,51,15,13,66,166,90,1047,342,346,29,48,104,2006,2092,3748,887,932,48,93,236,8045,1829,2735,838,1006,34,99,254,6795,1161,1698,788,1173,42,117,210,5186,787,1273,571,920,31,128,240,3961,544,1113,543,1324,41,175,532,4281,6505,11622,3991,5759,242,668,1646,30429,0,0,0,0,0,0,117,114,0,0,3,0,3,0,168,178,0,12,0,3,0,0,399,418,0,7,6,3,0,0,329,345,3,3,3,6,0,0,260,280,3,3,0,5,0,0,201,216,4,3,3,16,0,0,260,284,20,30,17,28,3,0,1734,1841,0,3,24,53,15,13,180,289,Ryde (C)
16900,0,0,0,3,3,0,18,24,0,0,4,29,3,0,3,45,0,7,18,51,3,5,12,90,0,4,16,48,6,3,14,84,3,3,11,24,3,0,10,52,0,3,3,20,0,0,3,32,0,0,6,11,0,0,9,24,7,16,54,179,14,17,60,349,0,3,13,102,32,4,81,233,8,95,106,574,45,25,64,911,89,355,329,1459,43,55,92,2417,150,373,446,1500,32,74,117,2690,129,293,409,1572,35,79,138,2661,146,256,316,1425,27,96,169,2445,78,187,240,1515,21,116,572,2733,607,1564,1855,8148,228,456,1234,14084,0,0,0,0,0,0,69,71,0,0,0,9,0,0,79,90,0,4,0,3,0,0,177,188,0,0,0,11,0,3,175,195,0,0,3,9,0,0,201,214,0,0,4,3,0,0,186,199,0,0,0,18,0,3,273,294,3,11,7,48,3,8,1163,1244,0,3,13,105,34,9,167,330,Shellharbour (C)
16950,0,0,0,5,9,3,40,61,0,0,7,47,10,7,31,95,4,10,13,105,12,3,80,234,3,7,16,64,10,4,57,159,6,11,18,57,8,5,32,138,7,13,12,69,4,4,25,123,3,6,5,23,0,0,15,65,23,46,71,367,45,32,284,871,0,0,5,107,22,4,148,290,6,75,56,613,67,26,131,962,103,389,235,1698,62,63,297,2844,196,428,467,1658,60,69,272,3150,210,418,567,2009,37,112,292,3645,351,649,603,2323,40,164,332,4461,396,763,768,3708,65,308,1162,7163,1261,2728,2708,12105,347,746,2635,22524,0,0,0,3,0,0,152,155,0,0,0,3,0,0,167,174,0,3,0,8,0,0,301,319,0,3,7,9,0,0,320,342,0,3,3,16,0,0,346,373,0,4,3,21,0,0,416,445,4,3,9,32,0,0,776,825,5,15,19,89,3,6,2477,2624,0,0,13,116,34,7,339,505,Shoalhaven (C)
17000,0,0,0,3,0,3,3,5,0,0,3,13,4,0,3,26,0,0,3,34,0,0,3,47,0,3,0,29,0,4,4,34,0,0,5,19,0,0,9,29,0,0,7,15,0,3,3,24,0,0,0,12,0,0,0,12,0,3,10,121,4,10,23,176,0,0,0,37,17,3,34,96,0,34,20,264,16,9,19,348,31,134,72,616,20,22,23,919,44,112,100,625,17,20,40,966,44,103,157,633,9,27,52,1029,44,84,103,434,3,31,52,755,28,72,65,335,5,31,94,622,191,545,522,2940,82,148,311,4738,0,0,0,0,0,0,52,51,0,0,0,7,0,0,36,42,0,0,0,3,0,0,101,100,0,0,0,4,0,0,102,108,0,0,3,3,0,0,113,117,0,0,0,4,0,0,99,102,0,0,3,5,0,0,127,135,0,0,5,23,0,0,628,655,0,0,0,41,17,3,86,159,Singleton (A)
17040,0,0,0,0,0,0,3,4,0,0,0,3,0,0,3,10,0,0,0,13,0,0,11,25,0,0,0,12,0,0,17,31,0,0,0,6,0,0,4,14,3,0,3,7,0,0,3,16,0,0,3,0,0,0,5,11,5,3,12,45,3,3,42,109,0,0,0,27,11,3,53,97,0,23,20,139,14,6,26,228,29,108,62,398,17,21,90,725,44,144,98,446,10,16,90,847,53,136,142,504,13,23,98,955,88,150,100,447,16,32,77,911,84,137,114,476,9,39,152,1020,296,705,535,2441,83,136,593,4788,0,0,0,0,0,0,41,47,0,0,0,0,0,0,54,55,0,0,0,4,0,0,105,106,0,0,0,3,0,0,87,94,0,0,0,10,0,0,111,118,0,0,0,5,0,0,101,108,0,3,0,8,0,0,162,174,0,3,3,29,0,0,668,704,0,0,0,29,8,3,102,149,Snowy Monaro Regional (A)
17080,0,0,0,0,0,0,10,11,0,0,0,3,0,0,3,4,0,3,0,3,0,0,6,18,0,0,0,8,0,0,9,19,0,0,3,6,0,0,8,18,0,0,0,7,0,0,0,12,0,0,0,3,0,0,3,6,0,3,3,35,3,0,34,80,0,0,0,19,3,4,30,54,0,14,3,99,5,4,15,138,10,74,29,235,12,13,69,445,18,78,50,243,4,15,76,490,15,58,50,295,4,15,71,514,27,54,63,279,3,15,61,508,17,61,82,315,5,26,166,675,96,338,278,1485,42,97,492,2825,0,0,0,0,0,0,20,20,0,0,0,0,0,0,27,28,0,0,0,7,0,0,59,65,0,0,0,3,0,0,61,66,0,0,0,6,0,0,75,83,0,0,0,0,0,0,87,90,0,0,3,4,0,0,111,116,0,0,3,15,0,3,444,470,0,0,0,21,3,4,58,84,Snowy Valleys (A)
17420,0,0,0,3,0,0,0,6,0,0,3,20,0,0,0,28,0,0,0,18,0,0,0,17,3,4,11,15,0,5,3,35,4,0,4,16,0,0,3,33,0,3,4,6,0,3,3,18,0,0,0,4,0,0,0,12,7,11,25,80,3,12,10,148,3,8,22,135,12,17,103,304,54,833,335,684,31,52,91,2072,963,2431,802,1468,52,119,213,6056,2075,3268,1297,1909,50,157,257,9013,1743,2591,1438,2251,52,204,273,8544,1330,2084,1003,1746,49,245,284,6736,785,1654,981,2276,47,352,611,6703,6959,12871,5874,10462,296,1146,1816,39424,0,0,0,0,0,0,121,120,0,0,0,3,0,0,107,110,0,0,0,12,0,0,224,238,3,9,4,7,0,0,276,304,3,11,6,13,0,0,321,349,3,9,7,11,0,0,230,253,0,8,3,25,3,0,298,337,13,33,21,66,3,7,1574,1713,3,12,22,142,14,17,225,429,The Hills Shire (A)
17550,0,0,0,10,4,3,11,34,0,0,0,32,0,0,7,44,3,19,15,75,5,3,9,123,0,11,9,64,3,7,12,109,3,14,15,56,3,0,11,103,4,3,13,35,0,3,10,66,0,3,3,23,0,3,14,48,15,55,49,293,16,16,76,523,0,0,7,94,19,7,120,244,7,83,56,428,34,25,66,697,98,403,281,1277,61,72,116,2304,215,626,434,1602,47,63,143,3130,229,549,522,1716,41,101,184,3348,273,558,506,1900,38,135,255,3668,288,650,618,2809,38,238,1052,5691,1101,2866,2428,9836,276,644,1942,19087,0,0,0,4,0,0,110,117,0,0,0,0,0,0,115,123,0,3,0,9,0,0,253,263,0,0,3,12,0,0,299,322,0,0,3,21,0,0,353,375,3,0,0,15,0,0,447,473,3,6,7,21,0,3,697,731,4,10,18,81,0,4,2282,2404,0,0,7,102,23,14,243,391,Tweed (A)
