LGA_MAIN11,Median_age_persons,Median_mortgage_repay_monthly,Median_Tot_prsnl_inc_weekly,Median_rent_weekly,Median_Tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_Tot_hhd_inc_weekly,Average_household_size,LGA_NAME11
18350,45,1873,548,260,1348,1.1,1094,2.5,Wingecarribee (A)
18400,36,2167,617,270,1661,1.1,1478,3.0,Wollondilly (A)
18450,38,1950,489,250,1426,1.1,1101,2.5,Wollongong (C)
18500,38,3234,1145,550,2832,1.1,2398,2.3,Woollahra (A)
18550,40,1733,469,260,1171,1.1,934,2.5,Wyong (A)
18710,40,2000,756,250,1917,1.1,1625,2.7,Yass Valley (A)
18750,40,1257,439,180,995,1.1,808,2.5,Young (A)
19399,45,1040,549,53,1145,1.1,955,2.3,Unincorporated NSW
19499,37,0,349,0,0,0.0,0,0.0,
20110,48,1300,462,170,1069,1.1,829,2.3,Alpine (S)
20260,45,1018,479,150,1055,1.1,844,2.3,Ararat (RC)
20570,37,1307,512,200,1272,1.1,988,2.4,Ballarat (C)
20660,39,1900,618,300,1731,1.1,1394,2.6,Banyule (C)
20740,46,1300,472,224,1071,1.1,855,2.2,Bass Coast (S)
20830,40,1387,511,200,1273,1.1,1025,2.5,Baw Baw (S)
20910,42,2414,758,390,2426,1.1,1826,2.6,Bayside (C)
21010,46,1200,465,171,1074,1.1,827,2.3,Benalla (RC)
21110,38,2400,773,364,2505,1.1,1893,2.6,Boroondara (C)
21180,35,1600,429,265,1195,1.1,1106,2.9,Brimbank (C)
21270,48,737,406,100,959,1.1,742,2.3,Buloke (S)
21370,42,1300,469,170,1099,1.1,886,2.4,Campaspe (S)
21450,34,1733,592,280,1479,1.1,1303,2.8,Cardinia (S)
21610,33,1733,572,295,1450,1.1,1342,3.0,Casey (C)
21670,48,867,381,150,864,1.1,685,2.2,Central Goldfields (S)
21750,42,1248,497,175,1161,1.1,914,2.4,Colac-Otway (S)
21830,43,1050,480,135,1149,1.1,909,2.5,Corangamite (S)
21890,36,1900,534,295,1438,1.1,1178,2.5,Darebin (C)
22110,47,1296,436,180,990,1.1,798,2.3,East Gippsland (S)
22170,37,1647,568,265,1396,1.1,1140,2.5,Frankston (C)
22250,47,988,422,125,962,1.1,764,2.3,Gannawarra (S)
22750,39,1517,517,231,1341,1.1,1049,2.4,Greater Geelong (C)
22830,38,1300,510,185,1206,1.1,980,2.5,Greater Shepparton (C)
22910,46,1226,451,185,1072,1.1,850,2.3,Hepburn (S)
22980,47,800,439,120,990,1.1,785,2.3,Hindmarsh (S)
23110,38,1800,582,281,1568,1.1,1286,2.6,Hobsons Bay (C)
23190,40,1170,530,170,1207,1.1,946,2.4,Horsham (RC)
23270,33,1712,477,280,1309,1.1,1214,3.1,Hume (C)
23350,44,1367,540,180,1321,1.1,1066,2.5,Indigo (S)
23430,39,1950,597,300,1625,1.1,1292,2.5,Kingston (C)
23670,38,1733,598,300,1610,1.1,1401,2.8,Knox (C)
23810,39,1200,468,160,1236,1.1,942,2.4,Latrobe (C)
23940,50,758,377,100,880,1.1,686,2.2,Loddon (S)
24130,41,1733,593,240,1661,1.1,1395,2.7,Macedon Ranges (S)
24210,42,2000,571,360,1713,1.1,1467,2.8,Manningham (C)
24250,45,1200,488,180,1146,1.1,891,2.3,Mansfield (S)
24330,34,2000,577,280,1525,1.2,1257,2.5,Maribyrnong (C)
24410,38,1733,611,290,1615,1.1,1308,2.6,Maroondah (C)
24600,28,2167,711,400,1962,1.2,1352,2.0,Melbourne (C)
17640,46,1460,492,140,1192,1.1,943,2.4,Upper Lachlan Shire (A)
17650,43,1230,481,150,1128,1.1,933,2.6,Uralla (A)
22670,35,1517,396,250,1050,1.2,953,2.8,Greater Dandenong (C)
24650,32,1733,610,270,1486,1.1,1363,3.0,Melton (S)
24780,39,1268,463,170,1092,1.1,878,2.5,Mildura (RC)
24850,37,1600,548,205,1368,1.1,1170,2.7,Mitchell (S)
24900,44,1200,437,160,1001,1.1,828,2.4,Moira (S)
24970,38,2000,520,345,1549,1.1,1321,2.7,Monash (C)
25060,38,2000,628,300,1776,1.1,1377,2.5,Moonee Valley (C)
25150,39,1517,540,208,1409,1.1,1183,2.7,Moorabool (S)
25250,35,1950,551,310,1452,1.2,1215,2.5,Moreland (C)
25340,43,1733,538,260,1351,1.1,1054,2.4,Mornington Peninsula (S)
25430,47,1213,460,190,1078,1.1,838,2.3,Mount Alexander (S)
25490,41,1300,531,150,1276,1.1,1040,2.6,Moyne (S)
25620,45,1400,473,170,1161,1.1,917,2.4,Murrindindi (S)
25710,39,1950,698,315,2070,1.1,1872,3.0,Nillumbik (S)
25810,45,910,447,140,1053,1.1,815,2.3,Northern Grampians (S)
25900,35,2200,985,365,2371,1.2,1672,2.0,Port Phillip (C)
25990,47,997,389,130,910,1.1,732,2.3,Pyrenees (S)
26080,55,1500,576,220,1422,1.0,1022,2.1,Queenscliffe (B)
26170,44,1300,481,180,1148,1.1,920,2.4,South Gippsland (S)
26260,44,1083,503,150,1187,1.1,908,2.3,Southern Grampians (S)
26350,35,2447,902,360,2465,1.1,1722,2.2,Stonnington (C)
26430,50,1104,456,152,1027,1.1,843,2.2,Strathbogie (S)
26490,40,1800,602,280,1516,1.1,1277,2.6,Surf Coast (S)
26610,39,1192,481,157,1089,1.1,886,2.5,Swan Hill (RC)
26670,47,1083,459,133,1052,1.1,850,2.3,Towong (S)
26700,43,1300,498,175,1170,1.1,913,2.4,Wangaratta (RC)
26730,38,1495,531,220,1296,1.1,1025,2.4,Warrnambool (C)
26810,41,1213,479,170,1168,1.1,905,2.4,Wellington (S)
26890,46,715,487,80,1033,1.1,815,2.3,West Wimmera (S)
26980,39,1950,561,320,1682,1.1,1317,2.6,Whitehorse (C)
27070,34,1863,519,300,1375,1.1,1275,3.0,Whittlesea (C)
27170,35,1473,577,205,1317,1.1,1075,2.5,Wodonga (RC)
27260,32,1800,635,280,1556,1.1,1424,2.9,Wyndham (C)
27350,33,2253,866,370,2198,1.2,1680,2.2,Yarra (C)
27450,38,1642,579,265,1492,1.1,1281,2.7,Yarra Ranges (S)
27630,48,650,426,110,986,1.1,773,2.3,Yarriambiack (S)
29399,31,1500,738,1000,1339,1.2,900,1.9,Unincorporated Vic
29499,32,0,352,0,0,0.0,0,0.0,
30250,25,0,259,80,633,1.8,1153,5.0,Aurukun (S)
30300,36,1200,568,120,1202,1.1,1015,2.6,Balonne (S)
30370,35,1625,630,148,1646,1.1,1392,2.6,Banana (S)
30410,40,867,575,75,1252,1.1,1042,2.4,Barcaldine (R)
30450,43,453,649,70,1363,1.2,1019,2.3,Barcoo (S)
30760,41,953,503,100,1170,1.1,876,2.3,Blackall Tambo (R)
34770,36,2167,705,310,1821,1.1,1578,2.7,Mackay (R)
34800,33,975,836,88,1410,1.1,1152,2.4,McKinlay (S)
55110,42,1950,494,270,1254,1.0,984,2.4,Mandurah (C)
55180,42,1300,493,150,1122,1.1,912,2.4,Manjimup (S)
55250,34,442,920,84,1097,1.2,1006,2.5,Meekatharra (S)
55320,40,2167,694,350,2130,1.0,1619,2.6,Melville (C)
36630,42,1200,397,190,952,1.1,789,2.4,South Burnett (R)
55460,36,1144,599,130,1458,1.1,1099,2.4,Merredin (S)
50630,38,2080,1207,220,2225,1.1,1814,2.6,Boddington (S)
50770,44,1122,495,107,1178,1.1,890,2.4,Boyup Brook (S)
50840,46,1500,467,180,1117,1.1,883,2.4,Bridgetown-Greenbushes (S)
47910,48,1200,457,150,1012,1.1,787,2.2,Tumby Bay (DC)
51540,38,1517,594,155,1372,1.2,1107,2.5,Carnarvon (S)
56020,37,600,690,92,1220,1.1,1005,2.5,Mullewa (S)
56090,40,1842,644,300,1779,1.1,1531,2.7,Mundaring (S)
57350,48,738,486,75,1010,1.1,850,2.3,Quairading (S)
57420,39,1175,747,220,1593,1.1,1361,2.4,Ravensthorpe (S)
57490,34,2000,620,300,1656,1.0,1410,2.7,Rockingham (C)
57560,32,3000,1555,120,2952,1.2,2839,2.9,Roebourne (S)
34590,33,1800,576,300,1381,1.1,1263,2.9,Logan (C)
34710,34,1465,668,142,1422,1.1,1158,2.5,Longreach (R)
56450,37,1001,532,100,1423,1.1,1309,2.7,Narrogin (S)
64810,40,1257,516,230,1184,1.1,949,2.4,Sorell (M)
65010,42,1188,430,120,1036,1.1,869,2.5,Southern Midlands (M)
65210,51,921,374,160,784,1.1,683,2.1,Tasman (M)
65410,43,1157,422,170,1070,1.1,844,2.4,Waratah/Wynyard (M)
56790,46,1500,430,180,936,1.1,768,2.3,Northampton (S)
56860,47,1350,433,50,866,1.1,818,2.3,Nungarin (S)
57700,35,2167,666,309,1763,1.1,1638,3.0,Serpentine-Jarrahdale (S)
57770,45,737,567,120,1312,1.1,946,2.1,Shark Bay (S)
57840,36,2200,780,340,2259,1.1,1606,2.3,South Perth (C)
57910,36,2000,689,310,1783,1.1,1353,2.4,Stirling (C)
57980,35,2214,830,351,2565,1.1,1599,2.1,Subiaco (C)
58050,34,1950,653,315,1648,1.1,1441,2.8,Swan (C)
58190,41,272,434,50,972,1.1,957,2.5,Tammin (S)
58260,40,532,544,84,1125,1.1,1005,2.3,Three Springs (S)
73600,24,823,279,50,727,1.9,1126,4.3,Roper Gulf (S)
58510,34,2167,696,310,1844,1.1,1360,2.2,Victoria Park (T)
58610,45,927,460,110,1127,1.1,826,2.3,Wagin (S)
58680,44,1647,738,223,1559,1.2,1298,2.6,Wandering (S)
58760,32,2104,656,350,1691,1.1,1514,2.9,Wanneroo (C)
58820,42,1517,498,200,1422,1.1,1107,2.5,Waroona (S)
58890,44,712,500,60,962,1.1,887,2.4,West Arthur (S)
79399,33,1300,1004,11,2513,1.2,1998,2.6,Unincorporated NT
79499,45,0,490,0,0,0.0,0,0.0,
89499,31,0,500,0,0,0.0,0,0.0,
11200,33,585,369,74,782,1.2,791,2.6,Brewarrina (A)
12050,43,1300,534,180,1254,1.1,943,2.3,Cooma-Monaro (A)
59250,34,190,1667,25,885,1.5,1278,3.6,Wiluna (S)
59320,39,534,566,92,963,1.1,909,2.5,Woodanilling (S)
59330,45,585,430,125,893,1.1,775,2.1,Wyalkatchem (S)
59340,31,2167,794,120,1718,1.3,1547,2.7,Wyndham-East Kimberley (S)
59350,33,0,1504,0,1375,1.2,1231,3.2,Yalgoo (S)
11250,43,953,414,150,994,1.1,786,2.2,Broken Hill (C)
70540,28,0,289,80,766,1.9,1125,4.3,Belyuen (S)
12900,41,1127,460,150,1010,1.1,832,2.4,Forbes (A)
12950,44,953,418,125,932,1.1,771,2.4,Gilgandra (A)
13010,46,1083,395,155,915,1.1,734,2.3,Glen Innes Severn (A)
13050,50,1517,422,165,971,1.1,810,2.3,Gloucester (A)
10050,37,1452,558,195,1360,1.1,1025,2.4,Albury (C)
10110,35,1441,494,200,1292,1.1,991,2.4,Armidale Dumaresq (A)
11860,41,1018,472,0,1015,1.1,951,2.7,Conargo (A)
12000,43,1192,452,125,1037,1.1,857,2.6,Coolamon (A)
13100,42,1950,534,280,1395,1.1,1089,2.5,Gosford (C)
13310,41,1517,516,185,1281,1.1,981,2.4,Goulburn Mulwaree (A)
13320,52,1395,395,220,881,1.1,729,2.2,Great Lakes (A)
13340,43,1200,479,150,1181,1.1,943,2.5,Greater Hume Shire (A)
13380,46,1300,395,200,930,1.1,770,2.4,Greater Taree (C)
13450,36,1517,531,180,1288,1.1,1065,2.7,Griffith (C)
10150,37,2167,628,365,1689,1.2,1413,2.5,Ashfield (A)
10200,31,2000,420,350,1161,1.3,1160,3.1,Auburn (C)
10250,45,1733,496,290,1153,1.1,930,2.4,Ballina (A)
10300,41,867,470,138,1126,1.1,894,2.4,Balranald (A)
10350,35,2002,428,310,1228,1.2,1091,3.0,Bankstown (C)
10470,36,1625,544,220,1437,1.1,1142,2.5,Bathurst Regional (A)
10550,48,1300,454,200,1014,1.1,848,2.3,Bega Valley (A)
10600,46,1300,416,225,938,1.1,787,2.4,Bellingen (A)
10650,48,1170,428,145,958,1.1,776,2.2,Berrigan (A)
10750,32,2100,565,300,1492,1.1,1388,3.1,Blacktown (C)
10800,41,1070,459,130,1072,1.1,879,2.4,Bland (A)
10850,40,1430,533,165,1376,1.1,1092,2.5,Blayney (A)
10900,42,1842,590,280,1624,1.1,1270,2.5,Blue Mountains (C)
10950,39,1083,478,140,1182,1.1,902,2.5,Bogan (A)
11000,46,962,462,130,1010,1.1,805,2.2,Bombala (A)
11050,45,1000,452,125,1081,1.1,778,2.3,Boorowa (A)
11100,37,2500,575,330,1488,1.2,1245,2.6,Botany Bay (C)
11150,35,878,600,83,1238,1.1,1085,2.6,Bourke (A)
11300,35,2179,490,400,1441,1.3,1310,2.8,Burwood (A)
11350,42,1684,477,350,1053,1.1,885,2.4,Byron (A)
11400,42,1387,523,135,1293,1.1,1036,2.6,Cabonne (A)
11450,34,2167,690,360,1865,1.1,1727,3.0,Camden (A)
11500,33,1800,549,260,1390,1.1,1251,2.9,Campbelltown (C)
11520,37,2600,782,480,2152,1.2,1817,2.5,Canada Bay (A)
11550,35,2000,430,300,1149,1.3,1029,2.8,Canterbury (C)
11600,40,867,527,80,1143,1.1,942,2.4,Carrathool (A)
11700,39,300,387,65,889,1.1,787,2.4,Central Darling (A)
11720,37,1517,472,230,1265,1.1,1042,2.6,Cessnock (C)
11730,46,1300,396,210,924,1.1,768,2.4,Clarence Valley (A)
11750,35,1300,582,143,1587,1.1,1259,2.4,Cobar (A)
11800,42,1575,469,250,1097,1.1,902,2.4,Coffs Harbour (C)
12150,41,790,437,120,976,1.1,816,2.4,Coonamble (A)
12200,47,1083,425,150,1026,1.1,768,2.3,Cootamundra (A)
12300,47,1300,469,180,1093,1.1,873,2.3,Corowa Shire (A)
12350,45,1098,412,155,1003,1.1,785,2.3,Cowra (A)
12500,44,1083,479,150,1169,1.0,856,2.2,Deniliquin (A)
12600,36,1500,577,200,1340,1.1,1096,2.6,Dubbo (C)
12700,44,1647,484,185,1278,1.1,1005,2.5,Dungog (A)
12750,50,1430,424,220,939,1.1,784,2.3,Eurobodalla (A)
12850,36,1800,369,280,1065,1.2,1022,3.2,Fairfield (C)
17100,33,2195,558,400,1595,1.3,1421,2.9,Strathfield (A)
17150,39,2400,718,370,2014,1.1,1674,2.7,Sutherland Shire (A)
17200,32,2539,888,465,2273,1.3,1639,1.9,Sydney (C)
17310,39,1430,515,200,1181,1.1,958,2.5,Tamworth Regional (A)
17350,44,1083,416,132,978,1.1,779,2.3,Temora (A)
17400,47,1083,377,150,865,1.1,694,2.3,Tenterfield (A)
17420,38,2570,719,450,2188,1.1,2044,3.1,The Hills Shire (A)
17450,44,1083,473,150,1108,1.1,884,2.3,Tumbarumba (A)
17500,41,1300,480,165,1208,1.1,942,2.4,Tumut Shire (A)
17550,45,1733,442,295,1045,1.1,845,2.4,Tweed (A)
17620,39,1600,552,170,1392,1.1,1071,2.4,Upper Hunter Shire (A)
22310,37,2147,679,335,1925,1.1,1445,2.5,Glen Eira (C)
22410,43,1148,463,161,1178,1.1,899,2.3,Glenelg (S)
22490,39,1500,538,200,1385,1.1,1217,2.8,Golden Plains (S)
22620,38,1300,513,200,1245,1.1,991,2.5,Greater Bendigo (C)
40070,30,1857,562,320,1870,1.1,1144,1.9,Adelaide (C)
40120,42,1700,665,260,1798,1.1,1509,2.7,Adelaide Hills (DC)
40220,47,1365,454,210,1019,1.1,861,2.3,Alexandrina (DC)
41140,43,1200,523,180,1193,1.1,945,2.4,Clare and Gilbert Valleys (DC)
50280,39,1733,593,260,1327,1.1,1096,2.5,Augusta-Margaret River (S)
45090,40,1083,575,150,1243,1.1,1017,2.4,Naracoorte and Lucindale (DC)
45120,46,900,459,110,1069,1.1,843,2.3,Northern Areas (DC)
45290,39,1809,601,260,1677,1.1,1133,2.2,Norwood Payneham St Peters (C)
45340,38,1473,542,250,1311,1.1,1080,2.5,Onkaparinga (C)
30900,31,500,564,51,1237,1.3,1072,2.6,Boulia (S)
31000,34,2100,696,350,1873,1.1,1547,2.6,Brisbane (C)
36070,33,0,321,80,768,1.5,1053,3.5,Pormpuraaw (S)
36150,40,650,578,100,1134,1.1,929,2.3,Quilpie (S)
36250,39,2000,608,350,1604,1.1,1365,2.7,Redland (C)
36300,37,715,577,47,1104,1.1,964,2.4,Richmond (S)
36360,37,1690,578,250,1435,1.1,1166,2.6,Rockhampton (R)
36510,42,1733,493,250,1212,1.1,1013,2.6,Scenic Rim (R)
36580,41,1500,445,240,1069,1.1,928,2.6,Somerset (R)
31750,31,934,726,105,1347,1.1,964,2.5,Bulloo (S)
31820,43,1350,423,230,980,1.1,833,2.4,Bundaberg (R)
31900,41,1300,540,180,1284,1.1,1009,2.5,Burdekin (S)
31950,37,884,824,80,1231,1.4,1230,2.6,Burke (S)
32070,36,1733,620,250,1393,1.1,1145,2.5,Cairns (R)
32250,37,898,590,110,1310,1.3,997,2.6,Carpentaria (S)
32260,42,1300,503,200,1145,1.1,931,2.5,Cassowary Coast (R)
32270,31,2000,831,112,2321,1.1,1998,2.8,Central Highlands (R)
32310,38,1350,487,170,1221,1.1,979,2.5,Charters Towers (R)
36660,42,1300,448,195,1001,1.1,837,2.4,Southern Downs (R)
36710,42,1863,519,320,1219,1.1,1010,2.5,Sunshine Coast (R)
36810,43,1424,451,188,1049,1.1,854,2.4,Tablelands (R)
36910,37,1517,549,230,1308,1.1,1061,2.5,Toowoomba (R)
36950,28,1817,682,117,1577,1.4,1579,3.4,Torres (S)
36960,23,0,314,60,788,1.4,849,3.7,Torres Strait Island (R)
37010,33,1860,675,290,1626,1.1,1381,2.6,Townsville (C)
41560,47,1083,398,185,926,1.0,749,2.2,Copper Coast (DC)
41750,43,1083,497,62,988,1.1,804,2.3,Elliston (DC)
50350,38,1842,643,300,1620,1.1,1277,2.4,Bassendean (T)
50420,37,1954,662,300,1622,1.1,1290,2.4,Bayswater (C)
50490,35,2000,659,300,1556,1.1,1263,2.4,Belmont (C)
50560,51,1200,404,95,909,1.1,771,2.2,Beverley (S)
32330,22,0,282,75,717,1.5,786,4.3,Cherbourg (S)
32450,34,1500,889,102,1871,1.2,1471,2.7,Cloncurry (S)
32500,38,1000,497,140,1062,1.3,831,2.3,Cook (S)
32600,36,844,467,115,1053,1.2,1020,2.8,Croydon (S)
37300,30,2000,1242,231,2647,1.2,2503,2.8,Weipa (T)
37310,37,1300,541,200,1294,1.1,1067,2.6,Western Downs (R)
37340,38,1768,621,260,1405,1.1,1165,2.4,Whitsunday (R)
32750,37,780,679,116,1196,1.0,1083,2.3,Diamantina (S)
50910,45,1200,456,86,1055,1.1,867,2.4,Brookton (S)
50980,32,2600,779,193,1809,1.2,1610,2.8,Broome (S)
51080,37,965,473,70,1023,1.1,859,2.7,Broomehill-Tambellup (S)
51120,40,451,495,74,1088,1.1,841,2.3,Bruce Rock (S)
51190,39,1647,582,250,1445,1.1,1139,2.3,Bunbury (C)
51260,39,1881,555,270,1334,1.0,1078,2.5,Busselton (S)
51310,39,2600,915,385,2750,1.1,2285,2.6,Cambridge (T)
51330,34,1900,595,330,1719,1.1,1423,2.7,Canning (C)
51400,34,1993,664,310,1783,1.1,1628,2.9,Capel (S)
51470,45,650,549,95,1231,1.0,1007,2.3,Carnamah (S)
32770,22,303,280,105,683,1.9,1146,5.1,Doomadgee (S)
33100,43,650,487,70,944,1.2,729,2.3,Etheridge (S)
33200,40,693,537,100,1175,1.1,939,2.3,Flinders (S)
33220,44,1387,396,235,912,1.1,780,2.4,Fraser Coast (R)
33360,35,2000,689,300,1941,1.1,1724,2.7,Gladstone (R)
33430,37,2075,571,350,1379,1.1,1174,2.5,Gold Coast (C)
33610,38,1300,563,160,1232,1.1,1026,2.5,Goondiwindi (R)
33620,43,1347,413,220,947,1.1,806,2.4,Gympie (R)
33800,46,1200,478,152,1187,1.1,917,2.4,Hinchinbrook (S)
33830,25,0,294,98,738,1.4,895,3.9,Hope Vale (S)
33960,32,1733,592,280,1398,1.1,1233,2.8,Ipswich (C)
33980,31,1907,1052,64,2671,1.1,2579,2.9,Isaac (R)
34420,28,0,286,45,760,1.6,1077,4.1,Kowanyama (S)
34570,26,0,312,113,1062,1.4,1140,3.9,Lockhart River (S)
34580,37,1517,462,250,1163,1.1,1003,2.7,Lockyer Valley (R)
34830,31,0,298,53,854,1.3,892,3.2,Mapoon (S)
34860,36,1365,645,150,1444,1.1,1209,2.6,Maranoa (R)
35010,37,1928,581,300,1451,1.1,1258,2.7,Moreton Bay (R)
35250,26,0,287,60,690,1.6,977,4.0,Mornington (S)
35300,30,2000,952,250,2397,1.2,2064,2.7,Mount Isa (C)
35600,37,1083,569,130,1259,1.1,979,2.5,Murweh (S)
35670,23,0,260,90,692,1.5,827,4.2,Napranum (S)
35760,44,1000,440,115,950,1.1,790,2.3,North Burnett (R)
35780,22,0,439,60,907,1.5,959,3.6,Northern Peninsula Area (R)
51610,42,1500,568,150,1413,1.1,1244,2.6,Chapman Valley (S)
35790,24,0,290,100,954,1.8,1181,4.8,Palm Island (S)
35800,39,520,501,90,1165,1.1,875,2.3,Paroo (S)
37400,43,921,546,70,1081,1.1,850,2.3,Winton (S)
37550,22,0,284,105,706,1.6,760,3.8,Woorabinda (S)
40250,26,0,277,20,691,1.6,1117,3.8,Anangu Pitjantjatjara (AC)
37570,24,0,257,65,614,1.4,942,3.6,Wujal Wujal (S)
37600,22,0,274,120,728,1.7,1015,4.9,Yarrabah (S)
39399,46,0,668,0,0,0.0,0,0.0,
39499,44,0,379,0,0,0.0,0,0.0,
40310,41,1460,566,210,1394,1.1,1125,2.5,Barossa (DC)
40430,51,867,404,145,918,1.1,714,2.2,Barunga West (DC)
40520,42,1083,446,150,997,1.1,804,2.3,Berri and Barmera (DC)
40700,44,2000,715,290,2123,1.1,1472,2.4,Burnside (C)
40910,41,1600,517,260,1366,1.1,1069,2.5,Campbelltown (C)
41010,37,1192,585,136,1327,1.1,1048,2.5,Ceduna (DC)
41060,41,1700,524,235,1345,1.1,1019,2.3,Charles Sturt (C)
41190,44,733,536,85,1136,1.1,938,2.3,Cleve (DC)
41330,45,581,435,100,1057,1.1,694,2.0,Coober Pedy (DC)
41830,45,910,483,130,1166,1.1,853,2.3,Flinders Ranges (DC)
41960,43,1120,458,180,992,1.1,845,2.3,Franklin Harbour (DC)
42030,40,1408,516,220,1253,1.1,960,2.4,Gawler (T)
