lga_name_2016,lga_code_2016,negnil_inc_be_wft,negnil_inc_be_wpt,negnil_inc_be_baw,negnil_inc_1eft_othpt,negnil_inc_1eft_othaw,negnil_inc_1eft_othnw,negnil_inc_1ept_othaw,negnil_inc_1ept_othnw,negnil_inc_1aw_othnw,negnil_inc_bnw,negnil_inc_lfsta_ns,negnil_inc_tot,i_1_149_be_wft,i_1_149_be_wpt,i_1_149_be_baw,i_1_149_1eft_othpt,i_1_149_1eft_othaw,i_1_149_1eft_othnw,i_1_149_1ept_othaw,i_1_149_1ept_othnw,i_1_149_1aw_othnw,i_1_149_bnw,i_1_149_lfsta_ns,i_1_149_tot,i_150_299_be_wft,i_150_299_be_wpt,i_150_299_be_baw,i_150_299_1eft_othpt,i_150_299_1eft_othaw,i_150_299_1eft_othnw,i_150_299_1ept_othaw,i_150_299_1ept_othnw,i_150_299_1aw_othnw,i_150_299_bnw,i_150_299_lfsta_ns,i_150_299_tot,i_300_399_be_wft,i_300_399_be_wpt,i_300_399_be_baw,i_300_399_1eft_othpt,i_300_399_1eft_othaw,i_300_399_1eft_othnw,i_300_399_1ept_othaw,i_300_399_1ept_othnw,i_300_399_1aw_othnw,i_300_399_bnw,i_300_399_lfsta_ns,i_300_399_tot,i_400_499_be_wft,i_400_499_be_wpt,i_400_499_be_baw,i_400_499_1eft_othpt,i_400_499_1eft_othaw,i_400_499_1eft_othnw,i_400_499_1ept_othaw,i_400_499_1ept_othnw,i_400_499_1aw_othnw,i_400_499_bnw,i_400_499_lfsta_ns,i_400_499_tot,i_500_649_be_wft,i_500_649_be_wpt,i_500_649_be_baw,i_500_649_1eft_othpt,i_500_649_1eft_othaw,i_500_649_1eft_othnw,i_500_649_1ept_othaw,i_500_649_1ept_othnw,i_500_649_1aw_othnw,i_500_649_bnw,i_500_649_lfsta_ns,i_500_649_tot,i_650_799_be_wft,i_650_799_be_wpt,i_650_799_be_baw,i_650_799_1eft_othpt,i_650_799_1eft_othaw,i_650_799_1eft_othnw,i_650_799_1ept_othaw,i_650_799_1ept_othnw,i_650_799_1aw_othnw,i_650_799_bnw,i_650_799_lfsta_ns,i_650_799_tot,i_800_999_be_wft,i_800_999_be_wpt,i_800_999_be_baw,i_800_999_1eft_othpt,i_800_999_1eft_othaw,i_800_999_1eft_othnw,i_800_999_1ept_othaw,i_800_999_1ept_othnw,i_800_999_1aw_othnw,i_800_999_bnw,i_800_999_lfsta_ns,i_800_999_tot,i_1000_1249_be_wft,i_1000_1249_be_wpt,i_1000_1249_be_baw,i_1000_1249_1eft_othpt,i_1000_1249_1eft_othaw,i_1000_1249_1eft_othnw,i_1000_1249_1ept_othaw,i_1000_1249_1ept_othnw,i_1000_1249_1aw_othnw,i_1000_1249_bnw,i_1000_1249_lfsta_ns,i_1000_1249_tot,i_1250_1499_be_wft,i_1250_1499_be_wpt,i_1250_1499_be_baw,i_1250_1499_1eft_othpt,i_1250_1499_1eft_othaw,i_1250_1499_1eft_othnw,i_1250_1499_1ept_othaw,i_1250_1499_1ept_othnw,i_1250_1499_1aw_othnw,i_1250_1499_bnw,i_1250_1499_lfsta_ns,i_1250_1499_tot,i_1500_1749_be_wft,i_1500_1749_be_wpt,i_1500_1749_be_baw,i_1500_1749_1eft_othpt,i_1500_1749_1eft_othaw,i_1500_1749_1eft_othnw,i_1500_1749_1ept_othaw,i_1500_1749_1ept_othnw,i_1500_1749_1aw_othnw,i_1500_1749_bnw,i_1500_1749_lfsta_ns,i_1500_1749_tot,i_1750_1999_be_wft,i_1750_1999_be_wpt,i_1750_1999_be_baw,i_1750_1999_1eft_othpt,i_1750_1999_1eft_othaw,i_1750_1999_1eft_othnw,i_1750_1999_1ept_othaw,i_1750_1999_1ept_othnw,i_1750_1999_1aw_othnw,i_1750_1999_bnw,i_1750_1999_lfsta_ns,i_1750_1999_tot,i_2000_2499_be_wft,i_2000_2499_be_wpt,i_2000_2499_be_baw,i_2000_2499_1eft_othpt,i_2000_2499_1eft_othaw,i_2000_2499_1eft_othnw,i_2000_2499_1ept_othaw,i_2000_2499_1ept_othnw,i_2000_2499_1aw_othnw,i_2000_2499_bnw,i_2000_2499_lfsta_ns,i_2000_2499_tot,i_2500_2999_be_wft,i_2500_2999_be_wpt,i_2500_2999_be_baw,i_2500_2999_1eft_othpt,i_2500_2999_1eft_othaw,i_2500_2999_1eft_othnw,i_2500_2999_1ept_othaw,i_2500_2999_1ept_othnw,i_2500_2999_1aw_othnw,i_2500_2999_bnw,i_2500_2999_lfsta_ns,i_2500_2999_tot,i_3000_3499_be_wft,i_3000_3499_be_wpt,i_3000_3499_be_baw,i_3000_3499_1eft_othpt,i_3000_3499_1eft_othaw,i_3000_3499_1eft_othnw,i_3000_3499_1ept_othaw,i_3000_3499_1ept_othnw,i_3000_3499_1aw_othnw,i_3000_3499_bnw,i_3000_3499_lfsta_ns,i_3000_3499_tot,i_3500_3999_be_wft,i_3500_3999_be_wpt,i_3500_3999_be_baw,i_3500_3999_1eft_othpt,i_3500_3999_1eft_othaw,i_3500_3999_1eft_othnw,i_3500_3999_1ept_othaw,i_3500_3999_1ept_othnw,i_3500_3999_1aw_othnw,i_3500_3999_bnw,i_3500_3999_lfsta_ns,i_3500_3999_tot,i_4000more_be_wft,i_4000more_be_wpt,i_4000more_be_baw,i_4000more_1eft_othpt,i_4000more_1eft_othaw,i_4000more_1eft_othnw,i_4000more_1ept_othaw,i_4000more_1ept_othnw
Blayney (A),10850,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,12,0,18,3,0,0,3,0,7,0,7,0,4,0,21,0,3,0,8,0,9,0,3,0,12,0,38,11,5,0,28,4,20,0,5,0,3,0,70,3,3,0,18,0,14,0,3,0,11,0,59,13,3,0,33,0,19,3,5,3,5,0,77,35,0,0,51,5,27,0,5,0,3,0,130,27,0,3,46,5,6,3,0,0,0,0,88,27,3,0,31,0,3,0,0,0,0,0,61,27,0,0,11,3,5,0,0,0,0,0,53,25,3,0,30,3,3,0,0
Blue Mountains (C),10900,4,0,0,0,0,0,0,0,0,15,0,23,0,0,0,0,0,3,0,0,0,4,0,7,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,3,0,3,0,4,0,3,0,3,0,11,0,16,0,38,0,6,0,4,0,11,0,21,0,15,0,65,3,12,0,10,0,20,0,32,0,34,0,104,3,23,0,24,0,57,4,42,8,44,0,205,16,35,0,80,8,129,4,68,11,78,0,434,29,61,0,154,11,156,7,53,4,64,3,544,43,45,0,200,10,190,11,35,12,40,0,579,49,37,3,231,26,190,4,28,6,45,0,617,251,75,9,568,64,331,12,50,19,56,0,1431,315,52,10,586,71,130,19,31,14,33,0,1245,315,21,10,342,44,74,11,14,3,16,0,847,266,13,0,170,27,118,4,16,3,11,0,623,555,24,16,408,56,113,6,18
Bogan (A),10950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,5,0,0,0,0,0,6,0,0,0,0,0,10,0,0,0,6,0,3,0,0,0,3,0,13,3,0,0,9,0,0,0,0,0,0,0,16,0,0,0,9,0,8,0,3,0,0,0,15,4,3,0,4,0,3,0,0,0,0,0,16,16,3,0,12,0,9,0,0,0,0,0,33,4,0,0,14,0,3,0,0,0,0,0,26,7,0,0,9,0,0,0,0,0,0,0,11,5,0,0,3,0,6,0,0,0,0,0,11,5,0,0,6,0,0,0,0
Botany Bay (C),11100,0,0,0,0,0,3,0,0,0,26,0,28,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,6,0,6,0,16,0,0,0,0,0,0,0,3,0,8,0,13,0,3,0,0,0,12,0,18,0,8,0,40,0,0,0,0,0,21,0,26,0,30,0,78,0,16,0,3,0,38,0,25,4,39,0,126,9,14,0,9,0,62,3,36,8,41,3,193,12,21,0,62,3,125,3,41,4,65,4,342,33,23,3,90,9,108,0,35,0,48,0,348,50,14,3,115,9,96,9,28,4,37,0,366,79,16,7,112,10,85,3,17,3,35,0,368,207,27,5,236,37,143,3,25,7,60,3,748,246,31,5,220,24,70,3,9,6,20,3,644,213,14,8,171,32,32,7,12,0,20,0,507,155,3,7,83,29,85,0,3,3,10,0,375,373,20,8,259,49,73,7,6
Bourke (A),11150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,4,0,3,0,5,0,0,0,0,0,4,0,0,0,3,0,10,3,0,0,3,0,3,0,0,0,3,0,14,4,0,0,6,0,4,0,0,0,0,0,13,0,0,0,3,0,4,0,0,0,0,0,15,9,0,0,6,0,5,0,0,0,0,0,25,13,0,0,8,0,0,0,0,0,0,0,28,10,0,0,3,0,0,0,0,0,0,0,19,8,0,0,0,0,0,0,0,0,0,0,9,10,0,0,0,0,0,0,0
Brewarrina (A),11200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,4,0,3,0,9,0,0,0,0,0,0,0,0,0,3,0,6,7,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,4,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,0,0,0,0,0,0,0,7,3,0,0,0,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0
Junee (A),14300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,7,0,3,0,12,0,24,0,0,0,3,0,4,0,3,0,3,0,20,3,3,0,13,0,12,0,9,3,3,0,45,15,4,0,15,0,18,0,0,0,3,0,57,6,7,0,10,3,5,0,7,0,6,0,43,11,0,0,17,4,5,0,0,0,8,0,54,34,4,3,32,3,12,0,0,0,3,0,89,17,0,0,20,3,7,0,0,0,0,0,48,15,0,3,15,3,0,0,0,0,0,0,31,9,0,0,6,0,0,0,0,0,0,0,16,18,0,0,9,0,0,0,0
Kempsey (A),14350,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,8,0,15,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,8,0,18,0,30,0,3,0,0,0,4,0,10,0,12,0,37,3,5,0,7,0,14,0,14,0,42,0,88,3,15,0,16,0,24,0,35,3,41,0,147,7,20,3,41,3,43,4,32,7,67,3,234,25,19,6,53,3,58,3,16,5,44,3,240,35,14,0,96,10,44,5,9,4,25,0,235,41,18,0,68,7,35,6,11,0,15,0,201,96,17,7,107,14,45,3,12,4,19,3,330,61,3,3,83,9,15,0,3,0,9,4,191,45,3,0,29,4,5,0,3,0,4,0,97,14,0,0,7,3,6,0,0,0,0,0,32,27,0,0,16,5,0,0,0
Broken Hill (C),11250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,18,0,3,0,0,0,3,0,6,4,11,0,23,0,0,0,3,0,3,0,13,0,16,0,34,3,3,0,4,0,13,0,13,3,34,0,75,10,3,0,21,3,26,0,23,3,29,0,113,13,3,0,23,0,30,3,10,0,18,0,95,7,0,3,41,5,24,0,3,0,7,0,98,20,7,0,42,6,39,0,4,7,15,0,132,43,6,3,64,11,33,3,3,3,6,0,181,53,0,0,66,11,15,3,3,0,0,0,157,53,8,0,33,7,4,0,3,0,0,0,111,33,0,0,17,3,5,0,0,0,0,0,64,59,3,0,32,7,9,4,0
Hilltops (A),13910,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,3,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,3,4,19,0,35,3,0,0,0,0,3,0,3,0,14,0,27,0,4,0,5,0,5,0,6,0,20,0,45,6,8,0,14,5,23,0,16,3,23,0,91,8,15,3,38,0,53,3,13,0,21,0,164,24,13,4,74,8,48,0,13,0,10,3,200,21,18,5,67,3,38,0,6,0,10,0,173,30,7,0,66,11,30,0,5,0,7,0,168,73,0,3,90,10,33,4,7,5,4,0,234,53,4,3,57,0,9,0,0,3,7,0,136,33,4,0,35,3,12,0,4,3,0,0,93,18,0,0,10,0,10,0,0,0,0,0,37,33,0,0,23,4,11,0,0
