lga_name_2016,lga_code_2016,t_ei_ns_indst_nsp,t_ei_ns_totm,t_ei_ns_totf,t_ei_ns_totp,tot_indig_m,tot_indig_f,tot_indig_p,tot_nonind_m,tot_nonind_f,tot_nonind_p,tot_indigstat_nsm,tot_indigstat_nsf,tot_indigstat_nsp,tot_totm,tot_totf,tot_totp
Walcha (A),17850,263,178,181,363,36,25,66,257,310,571,130,135,269,427,471,900
Walgett (A),17900,595,458,404,862,292,328,621,353,342,691,330,296,625,978,958,1943
Warren (A),17950,230,154,174,325,75,76,150,198,257,457,119,133,246,391,464,852
Warrumbungle Shire (A),18020,862,574,576,1153,170,192,366,796,871,1670,440,453,897,1409,1519,2927
Waverley (A),18050,6269,3539,3687,7229,37,44,83,7195,7706,14902,3121,3234,6354,10355,10981,21334
Weddin (A),18100,275,182,206,393,19,18,37,337,372,712,136,141,276,489,534,1027
Wentworth (A),18200,566,429,367,789,126,141,264,606,629,1237,315,264,576,1042,1035,2075
Western Plains Regional (A),18230,3214,2710,2280,4987,1740,1502,3245,4626,4771,9395,1640,1698,3338,8001,7975,15972
Willoughby (C),18250,3054,1819,2020,3839,25,30,55,10111,10708,20817,1507,1611,3113,11644,12345,23984
Wingecarribee (A),18350,2473,1724,1846,3568,161,208,373,5094,5678,10770,1279,1329,2603,6535,7217,13749
Wollondilly (A),18400,2017,1464,1431,2897,331,331,663,6003,6240,12248,1100,1047,2147,7433,7619,15054
Wollongong (C),18450,8146,5908,6047,11959,1077,1149,2222,26539,26775,53313,4366,4215,8580,31980,32140,64118
Woollahra (A),18500,4378,2291,2762,5052,38,41,83,5748,6605,12360,2064,2385,4448,7852,9034,16884
Yass Valley (A),18710,859,608,663,1274,75,85,165,1971,2221,4186,460,452,912,2502,2757,5260
Unincorporated NSW,19399,104,73,49,122,0,7,6,81,77,158,61,48,105,142,131,269
No usual address (NSW),19499,1804,2231,1127,3360,268,156,420,1459,901,2358,1090,727,1816,2819,1779,4593
Migratory - Offshore - Shipping (NSW),19799,32,21,33,46,0,7,5,18,40,53,9,18,32,29,62,93
Alpine (S),20110,851,564,593,1157,19,31,51,1177,1263,2439,435,454,886,1632,1746,3375
Ararat (RC),20260,643,1154,484,1640,75,26,98,1608,1114,2718,345,337,680,2029,1473,3499
Ballarat (C),20570,4995,3309,3680,6987,289,332,618,12175,13136,25315,2503,2707,5203,14966,16171,31139
Banyule (C),20660,4358,2980,3353,6335,140,151,289,15062,15562,30625,2252,2330,4583,17454,18044,35499
Bass Coast (S),20740,1898,1360,1457,2822,72,57,124,3000,3351,6359,970,1013,1988,4046,4426,8471
Baw Baw (S),20830,2688,1755,1950,3702,107,103,202,5187,5909,11097,1350,1427,2778,6642,7441,14084
Bayside (C),20910,4301,2623,2951,5571,44,36,76,12718,13250,25970,2172,2276,4442,14922,15565,30488
Benalla (RC),21010,916,615,664,1283,46,45,88,1242,1332,2570,467,481,951,1752,1855,3605
Boroondara (C),21110,6741,4112,4377,8485,73,60,131,24933,25424,50362,3463,3530,6989,28468,29014,57488
Brimbank (C),21180,9058,7325,7205,14531,150,159,310,25231,26055,51289,4930,4703,9638,30315,30925,61236
Buloke (S),21270,478,322,317,636,16,14,28,636,620,1256,256,238,490,904,869,1776
Campaspe (S),21370,2198,1606,1702,3309,168,174,345,3745,3898,7645,1116,1183,2301,5030,5263,10292
Cardinia (S),21450,4343,2984,3054,6041,142,172,319,11851,12579,24426,2255,2296,4550,14254,15043,29297
Casey (C),21610,11890,8821,8889,17703,322,354,679,40409,42042,82456,6232,6151,12374,46967,48545,95512
Central Goldfields (S),21670,649,533,569,1099,48,38,82,1235,1279,2511,343,336,686,1624,1655,3276
Colac-Otway (S),21750,1154,881,844,1727,53,45,101,2131,2190,4325,639,580,1221,2823,2819,5645
Corangamite (S),21830,998,747,740,1492,30,29,54,1753,1743,3493,537,509,1053,2319,2276,4598
Darebin (C),21890,8207,5331,5730,11065,187,218,403,18206,19541,37746,4168,4330,8495,22558,24093,46647
East Gippsland (S),22110,3167,2163,2338,4505,247,279,524,3860,4340,8200,1635,1664,3297,5742,6281,12024
Frankston (C),22170,6842,4546,4802,9351,265,232,499,14794,16091,30883,3477,3630,7100,18531,19953,38485
Gannawarra (S),22250,585,448,461,912,39,38,80,963,1050,2017,310,303,613,1319,1392,2710
Greater Shepparton (C),22830,4199,3185,3025,6207,441,461,906,7275,7408,14686,2143,2191,4339,9864,10065,19931
Hepburn (S),22910,1200,747,845,1588,32,34,62,1348,1545,2891,572,655,1228,1955,2233,4182
Hindmarsh (S),22980,304,212,239,451,13,10,24,505,561,1066,147,178,327,665,752,1418
Hobsons Bay (C),23110,3929,2702,2819,5521,88,97,185,10233,10890,21128,2034,2041,4083,12357,13033,25395
Horsham (RC),23190,850,649,663,1310,48,66,114,2066,2134,4205,451,434,888,2565,2637,5210
Hume (C),23270,8713,6840,6844,13680,277,296,571,26912,28063,54976,4623,4563,9186,31816,32919,64733
Indigo (S),23350,786,744,586,1328,49,44,92,1826,1921,3748,426,413,837,2295,2376,4669
Kingston (C) (Vic.),23430,6231,4100,4506,8603,97,107,210,17998,18725,36724,3172,3269,6435,21265,22103,43373
Knox (C),23670,4643,3365,3520,6888,152,173,329,18693,19244,37932,2424,2426,4850,21269,21846,43112
Latrobe (C) (Vic.),23810,4832,3202,3385,6589,214,259,476,7525,8252,15777,2470,2522,4994,10213,11031,21242
Loddon (S),23940,682,462,412,876,19,25,42,628,707,1340,367,333,702,1019,1059,2077
Macedon Ranges (S),24130,2548,1650,1784,3432,55,54,106,5540,5848,11387,1296,1383,2679,6883,7280,14169
Manningham (C),24210,3716,2497,2815,5310,42,42,82,15019,14982,30001,1845,2014,3863,16905,17034,33939
Mansfield (S),24250,553,409,394,804,7,5,17,895,999,1891,303,280,583,1206,1289,2494
Maribyrnong (C),24330,4762,3188,3111,6302,79,66,150,10805,10753,21555,2459,2418,4875,13345,13230,26578
Maroondah (C),24410,3766,2481,2848,5328,88,124,210,13390,13856,27241,1864,2049,3917,15343,16024,31369
Melbourne (C),24600,14049,8282,7967,16247,117,94,213,22781,27068,49848,7145,7098,14240,30050,34259,64309
Melton (C),24650,6220,5191,4955,10142,307,281,584,18809,19545,38356,3213,3317,6525,22324,23138,45460
Mildura (RC),24780,3640,2604,2581,5185,446,442,884,5554,6016,11572,1966,1817,3786,7973,8272,16239
Mitchell (S),24850,2688,1820,1902,3726,128,126,258,4851,5007,9855,1403,1419,2828,6385,6561,12940
Moira (S),24900,1842,1371,1349,2723,91,89,183,2965,3135,6096,963,942,1905,4012,4163,8176
Monash (C),24970,6793,4504,4751,9249,79,92,173,27841,27613,55459,3492,3528,7020,31416,31238,62652
Temora (A),17350,278,227,211,438,33,23,55,683,674,1361,156,150,305,869,843,1713
Tenterfield (A),17400,631,408,448,853,75,75,151,539,624,1164,303,342,644,925,1044,1964
Greater Dandenong (C),22670,6677,5596,5212,10807,94,93,190,20230,19836,40067,3660,3309,6963,23985,23242,47224
Greater Geelong (C),22750,11057,8391,8082,16470,505,538,1041,28326,29003,57337,5623,5878,11501,34455,35426,69884
Moonee Valley (C),25060,5584,3653,4008,7663,81,74,158,14228,14998,29221,2834,2922,5759,17144,17995,35140
Moorabool (S),25150,1651,1103,1126,2230,69,86,150,3678,3977,7652,869,846,1711,4611,4909,9520
Moreland (C),25250,7942,5341,5465,10805,139,162,308,19851,20750,40610,4124,4099,8223,24122,25016,49133
Mornington Peninsula (S),25340,7193,4888,5420,10302,242,264,506,16506,17592,34094,3667,3867,7527,20418,21718,42134
Mount Alexander (S),25430,1254,1511,911,2416,74,41,117,2353,1875,4225,625,687,1309,3052,2601,5654
Moyne (S),25490,1045,779,756,1526,48,40,91,1841,1993,3837,555,537,1097,2453,2581,5029
Murrindindi (S),25620,1001,693,691,1386,41,38,78,1301,1365,2668,520,516,1038,1866,1912,3779
Nillumbik (S),25710,2138,1396,1409,2807,37,49,87,8457,8541,16997,1114,1155,2273,9616,9742,19356
Northern Grampians (S),25810,636,462,489,951,37,27,60,1010,1089,2104,324,342,671,1367,1463,2836
Port Phillip (C),25900,9294,5191,5209,10399,53,74,125,8864,10033,18894,4713,4692,9407,13627,14797,28422
Pyrenees (S),25990,458,699,315,1022,35,31,65,978,676,1656,249,240,486,1266,952,2211
Queenscliffe (B),26080,208,126,139,264,0,3,0,246,264,509,111,109,212,352,377,728
South Gippsland (S),26170,1847,1228,1306,2527,53,60,109,2825,3108,5937,951,994,1943,3827,4157,7986
Southern Grampians (S),26260,721,562,596,1157,53,63,116,1661,1672,3330,382,394,774,2099,2121,4219
Stonnington (C),26350,6871,3875,4196,8067,53,56,106,11646,13465,25104,3402,3565,6968,15098,17085,32184
Strathfield (A),17100,2306,1566,1337,2905,18,25,43,5567,5488,11059,1283,1072,2361,6876,6586,13459
Sutherland Shire (A),17150,6877,4592,4852,9439,460,477,939,26572,27441,54007,3623,3576,7198,30658,31497,62146
Sydney (C),17200,23862,14751,12081,26829,401,446,842,24317,28721,53036,13375,10725,24096,38089,39885,77977
Tamworth Regional (A),17310,3654,2598,2616,5217,1241,1214,2453,5758,6208,11969,1857,1924,3782,8848,9349,18196
Glen Eira (C),22310,5552,3580,3728,7310,38,56,91,19261,19798,39066,2847,2880,5733,22147,22734,44884
Glenelg (S),22410,1263,945,910,1853,97,95,194,1848,1995,3846,676,641,1323,2627,2735,5356
Golden Plains (S),22490,934,729,706,1431,52,48,99,2838,2910,5745,503,484,987,3392,3439,6835
Greater Bendigo (C),22620,5968,4227,4430,8656,354,357,713,12598,13617,26213,3099,3145,6238,16052,17115,33164
Strathbogie (S),26430,680,465,525,990,8,26,34,907,1002,1908,343,365,709,1260,1390,2655
Surf Coast (S),26490,1388,909,929,1836,42,48,90,3566,3684,7253,765,716,1482,4379,4445,8823
Swan Hill (RC),26610,2086,1424,1324,2752,168,174,342,2062,2123,4186,1110,1049,2164,3342,3348,6690
Towong (S),26670,355,281,243,523,16,9,32,590,579,1169,206,174,378,818,762,1581
Wangaratta (RC),26700,1566,1130,1317,2447,78,74,155,2926,3293,6215,796,850,1640,3798,4216,8011
Warrnambool (C),26730,1966,1256,1398,2655,108,110,222,3523,3980,7504,987,1065,2048,4627,5152,9777
Wellington (S),26810,2673,2651,1853,4501,157,132,290,5005,4609,9613,1436,1362,2796,6596,6098,12694
West Wimmera (S),26890,154,119,134,253,3,4,9,381,400,784,77,98,171,462,502,966
Whitehorse (C),26980,5060,3453,3924,7376,76,69,146,23283,23819,47102,2527,2721,5248,25887,26605,52493
Whittlesea (C),27070,7453,5583,5911,11494,325,331,660,25395,26140,51537,3873,4002,7875,29595,30478,60072
Wodonga (C),27170,1999,1376,1366,2740,206,240,443,4711,5016,9725,1065,1016,2080,5971,6271,12250
Wyndham (C),27260,9061,7581,6593,14178,443,372,815,30057,30167,60225,4760,4692,9454,35260,35232,70493
Yarra (C),27350,6979,4051,4189,8240,61,60,124,8505,10269,18775,3508,3607,7116,12070,13942,26008
Yarra Ranges (S),27450,5940,4081,4319,8393,247,336,579,17673,18523,36199,3123,3156,6275,21036,22014,43047
Yarriambiack (S),27630,418,320,334,649,21,21,36,665,654,1321,221,223,443,908,900,1802
Unincorporated Vic,29399,218,126,116,237,3,0,3,62,66,133,113,112,228,182,179,365
No usual address (Vic.),29499,977,1310,734,2042,92,76,165,1075,793,1869,579,412,988,1743,1279,3025
Migratory - Offshore - Shipping (Vic.),29799,3,3,0,3,0,0,0,0,0,0,3,0,3,6,0,6
Aurukun (S),30250,18,31,32,58,150,168,313,3,3,7,15,6,22,165,179,344
Balonne (S),30300,299,215,196,409,120,127,250,338,350,689,161,153,313,624,629,1254
Banana (S),30370,974,723,626,1355,96,97,197,1464,1535,2997,549,459,1006,2111,2095,4198
Barcaldine (R),30410,178,120,116,236,31,30,59,236,263,498,105,88,186,370,377,749
Barcoo (S),30450,15,8,5,20,7,7,14,11,14,31,9,4,15,27,28,53
Blackall-Tambo (R),30760,82,57,72,124,20,21,36,150,150,302,37,47,82,208,213,419
Longreach (R),34710,281,186,199,387,33,42,76,325,379,705,151,143,292,510,560,1070
Mackay (R),34770,7771,5711,4222,9934,1044,1231,2271,11609,12610,24213,4754,3238,7990,17405,17068,34478
McKinlay (S),34800,53,33,29,65,7,6,11,41,57,103,29,25,53,77,91,171
Mapoon (S),34830,4,8,4,13,31,35,68,3,4,4,0,3,4,36,45,76
Maranoa (R),34860,1027,766,655,1420,160,139,298,1237,1282,2522,584,467,1047,1975,1887,3867
Mareeba (S),34880,1845,2167,1187,3354,1016,392,1408,1953,1880,3831,974,918,1891,3949,3189,7129
Moreton Bay (R),35010,18225,13785,13754,27538,2557,2509,5066,49008,53062,102067,9492,9541,19031,61055,65111,126162
Mornington (S),35250,25,63,62,125,176,166,345,13,12,21,10,12,25,200,187,392
Mount Isa (C),35300,1896,1237,1070,2306,514,561,1076,1535,1671,3210,1027,908,1939,3080,3138,6218
Murweh (S),35600,233,185,196,385,113,93,205,340,368,705,115,132,249,560,589,1156
Napranum (S),35670,3,30,12,37,135,119,257,4,3,4,0,0,3,143,126,264
Noosa (S),35740,2652,1887,1973,3858,146,168,314,5124,5653,10779,1422,1312,2737,6697,7134,13825
North Burnett (R),35760,1021,709,652,1361,101,130,234,852,929,1780,558,481,1036,1510,1539,3048
Northern Peninsula Area (R),35780,59,73,77,156,414,455,868,26,36,66,30,29,59,475,513,990
Palm Island (S),35790,27,58,46,102,306,282,583,8,19,21,20,7,27,328,305,632
Paroo (S),35800,91,78,81,157,67,92,164,72,79,149,49,52,99,184,220,408
Pormpuraaw (S),36070,10,25,13,34,80,74,155,4,11,20,8,3,10,90,96,188
Quilpie (S),36150,32,30,22,54,15,15,32,72,76,143,20,14,32,105,101,210
Redland (C),36250,5232,3596,3780,7381,613,696,1308,16367,17349,33708,2698,2761,5460,19675,20804,40472
Richmond (S),36300,55,42,33,70,5,9,16,65,51,118,30,27,55,98,91,188
Rockhampton (R),36370,4846,3503,3231,6731,1059,1252,2309,8221,9096,17322,2704,2325,5026,11984,12678,24656
Scenic Rim (R),36510,2552,1882,1693,3573,269,279,550,4136,4412,8549,1352,1308,2665,5760,5997,11758
Somerset (R),36580,1679,1163,1150,2310,173,203,378,2398,2615,5012,910,853,1762,3476,3675,7148
South Burnett (R),36630,1826,1521,1350,2874,395,345,739,3049,3177,6225,1017,918,1932,4465,4435,8896
Southern Downs (R),36660,1701,1276,1294,2568,313,320,631,3395,3584,6983,932,854,1794,4642,4761,9406
Sunshine Coast (R),36720,14335,9391,9680,19076,1105,1240,2341,31202,35093,66297,7469,7390,14856,39778,43721,83499
Tablelands (R),36820,1714,1170,1204,2373,337,409,747,2055,2211,4270,892,904,1795,3285,3523,6804
Toowoomba (R),36910,9089,6030,6269,12301,1262,1467,2731,17938,19844,37780,4693,4720,9419,23896,26032,49931
Torres (S),36950,242,296,304,594,534,549,1079,85,99,185,130,119,250,745,771,1516
Torres Strait Island (R),36960,61,210,201,412,734,762,1494,19,25,47,39,37,72,795,822,1608
Townsville (C),37010,11587,8492,6943,15433,2870,2746,5618,20518,23229,43742,6524,5423,11947,29906,31398,61310
Whitsunday (R),37340,3827,2525,2089,4619,279,298,575,2787,2984,5767,2181,1767,3945,5241,5046,10289
Boulia (S),30900,69,34,38,73,19,28,46,12,21,31,32,38,65,69,76,147
Brisbane (C),31000,51836,36683,34561,71240,3424,3356,6773,149671,157370,307041,27313,26169,53483,180408,186896,367304
Kowanyama (S),34420,3,22,20,42,109,105,213,9,3,10,0,3,3,116,110,232
Livingstone (S),34530,2546,2331,1431,3761,518,295,811,3947,3729,7679,1515,1141,2652,5977,5171,11140
Lockhart River (S),34570,21,69,65,135,109,108,208,5,3,4,13,14,21,124,117,238
Lockyer Valley (R),34580,2485,1996,1760,3762,374,319,691,4407,4694,9099,1273,1337,2611,6047,6348,12400
Logan (C),34590,15629,10713,11011,21727,1895,2064,3958,35499,38383,73883,8088,8155,16249,45485,48599,94085
