lga_name_2016,lga_code_2016,one_method_train_m,one_method_train_f,one_method_train_p,one_method_bus_m,one_method_bus_f,one_method_bus_p,one_method_ferry_m,one_method_ferry_f,one_method_ferry_p,one_met_tram_incl_lt_rail_m,one_met_tram_incl_lt_rail_f,one_met_tram_incl_lt_rail_p,one_method_taxi_m,one_method_taxi_f,one_method_taxi_p,one_method_car_as_driver_m,one_method_car_as_driver_f,one_method_car_as_driver_p,one_method_car_as_passenger_m,one_method_car_as_passenger_f,one_method_car_as_passenger_p,one_method_truck_m,one_method_truck_f,one_method_truck_p,one_method_motorbike_scootr_m,one_method_motorbike_scootr_f,one_method_motorbike_scootr_p,one_method_bicycle_m,one_method_bicycle_f,one_method_bicycle_p,one_method_other_m,one_method_other_f,one_method_other_p,one_method_walked_only_m,one_method_walked_only_f,one_method_walked_only_p,one_method_tot_one_method_m,one_method_tot_one_method_f,one_method_tot_one_method_p,two_methods_train_bus_m,two_methods_train_bus_f,two_methods_train_bus_p,two_methods_train_ferry_m,two_methods_train_ferry_f,two_methods_train_ferry_p,two_mt_trn_trm_incl_lt_rl_m,two_mt_trn_trm_incl_lt_rl_f,two_mt_trn_trm_incl_lt_rl_p,two_methods_trn_car_as_drvr_m,two_methods_trn_car_as_drvr_f,two_methods_trn_car_as_drvr_p,two_methods_trn_car_as_pass_m,two_methods_trn_car_as_pass_f,two_methods_trn_car_as_pass_p,two_methods_train_other_m,two_methods_train_other_f,two_methods_train_other_p,two_methods_train_tot_m,two_methods_train_tot_f,two_methods_train_tot_p,two_methods_bus_ferry_m,two_methods_bus_ferry_f,two_methods_bus_ferry_p,two_mth_bu_trm_inc_lt_rl_m,two_mth_bu_trm_inc_lt_rl_f,two_mth_bu_trm_inc_lt_rl_p,two_methods_bus_car_as_drvr_m,two_methods_bus_car_as_drvr_f,two_methods_bus_car_as_drvr_p,two_methods_bus_car_as_pass_m,two_methods_bus_car_as_pass_f,two_methods_bus_car_as_pass_p,two_methods_bus_other_m,two_methods_bus_other_f,two_methods_bus_other_p,two_methods_bus_tot_m,two_methods_bus_tot_f,two_methods_bus_tot_p,two_methds_othr_two_methds_m,two_methds_othr_two_methds_f,two_methds_othr_two_methds_p,two_methods_tot_two_methods_m,two_methods_tot_two_methods_f,two_methods_tot_two_methods_p,three_meth_trn_two_othr_met_m,three_meth_trn_two_othr_met_f,three_meth_trn_two_othr_met_p,three_met_bs_2_ot_met_ex_tr_m,three_met_bs_2_ot_met_ex_tr_f,three_met_bs_2_ot_met_ex_tr_p,three_meth_othr_three_meth_m,three_meth_othr_three_meth_f,three_meth_othr_three_meth_p,three_meth_tot_three_meth_m,three_meth_tot_three_meth_f,three_meth_tot_three_meth_p,worked_home_m,worked_home_f,worked_home_p,did_not_go_to_work_m,did_not_go_to_work_f,did_not_go_to_work_p,method_travel_to_work_ns_m,method_travel_to_work_ns_f,method_travel_to_work_ns_p,tot_m,tot_f,tot_p
Inner West (A),14170,9413,9599,19012,4159,5825,9986,423,309,731,719,708,1431,189,193,379,19264,15957,35225,900,1737,2636,333,6,343,999,201,1200,1902,728,2634,343,231,573,2323,2860,5181,40966,38361,79329,1666,1932,3591,70,46,124,157,128,286,308,279,583,81,166,247,194,116,314,2470,2669,5143,75,67,140,76,80,151,73,112,192,39,108,146,87,72,152,346,437,779,353,231,582,3167,3337,6506,355,271,628,47,46,89,29,15,44,431,334,764,2024,2592,4618,2811,4827,7631,416,314,732,49811,49760,99575
Inverell (A),14200,0,0,0,12,5,19,0,0,0,0,0,0,9,4,12,2248,1917,4169,194,201,400,94,7,97,40,3,39,18,3,18,28,20,46,128,122,247,2767,2293,5056,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,3,3,19,15,34,18,22,40,0,0,0,0,0,0,0,0,3,0,3,3,263,300,567,239,352,585,64,72,138,3353,3039,6393
Junee (A),14300,0,0,3,4,5,6,0,0,0,0,0,0,0,0,0,764,688,1459,97,70,169,35,0,35,6,3,11,3,0,5,16,9,26,64,35,97,990,810,1799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,9,0,8,0,0,0,0,0,0,5,0,5,5,0,5,128,118,246,92,136,226,21,14,34,1240,1076,2318
Kempsey (A),14350,3,3,6,19,17,37,0,0,3,0,0,0,0,3,4,3281,3040,6315,232,274,507,151,5,159,39,3,43,31,8,40,36,22,59,197,177,375,3992,3556,7547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,4,4,0,0,0,0,4,4,37,10,47,42,16,56,0,0,0,0,0,0,0,0,3,0,0,3,250,293,545,399,673,1078,117,114,230,4806,4660,9463
Kiama (A),14400,72,52,119,14,14,30,0,0,0,0,0,0,0,0,0,3517,2943,6458,160,194,353,77,4,79,31,3,29,17,11,25,32,14,47,136,140,277,4058,3367,7424,10,6,21,0,0,0,3,0,3,28,17,42,8,3,15,9,0,7,52,26,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,18,42,82,42,127,11,10,14,0,0,0,0,0,0,11,10,14,294,375,668,457,700,1160,43,43,89,4953,4534,9488
Ku-ring-gai (A),14500,5491,4435,9925,613,524,1139,0,5,8,12,9,17,61,28,98,13878,11938,25815,495,1129,1620,131,7,136,263,11,270,279,45,325,179,106,283,557,689,1245,21956,18919,40872,747,604,1351,3,0,3,3,3,8,1105,753,1855,200,311,505,79,26,105,2140,1689,3828,0,0,0,0,0,0,52,33,86,11,24,29,6,0,9,70,58,124,137,87,221,2348,1829,4176,202,158,360,10,5,8,22,4,24,224,166,397,2083,2522,4603,1666,2896,4558,160,150,307,28441,26485,54920
Kyogle (A),14550,3,3,5,9,7,17,0,0,0,0,0,0,0,0,0,1001,920,1926,72,59,127,51,0,56,13,0,18,6,0,7,21,13,39,106,82,184,1293,1083,2377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,0,0,0,3,3,6,14,3,20,24,4,27,0,0,0,0,0,0,4,0,4,4,0,4,247,182,427,143,190,327,38,32,66,1742,1491,3239
Lachlan (A),14600,0,0,0,19,7,23,0,0,0,0,0,0,0,0,0,808,676,1484,84,47,132,46,4,51,13,5,13,9,0,6,30,7,40,98,102,207,1098,852,1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,16,6,21,16,9,22,0,0,0,0,0,0,4,0,4,4,0,4,143,119,257,64,130,193,19,14,33,1347,1119,2472
Lake Macquarie (C),14650,265,188,450,403,401,801,4,0,4,4,5,7,40,20,62,32817,29306,62129,1806,1946,3758,876,20,898,463,48,519,288,50,335,222,105,321,618,602,1219,37807,32691,70502,73,42,119,0,0,0,0,0,0,122,86,207,26,21,45,19,0,22,245,152,392,0,0,3,0,0,0,23,39,65,33,40,76,8,3,12,66,85,149,358,119,480,663,359,1018,60,61,115,9,8,15,12,0,11,77,70,146,1259,2068,3329,3604,5973,9577,362,327,686,43772,41490,85264
Lane Cove (A),14700,643,569,1215,1756,1819,3573,108,49,160,0,3,3,32,22,51,4597,3767,8368,205,428,634,41,4,46,190,23,210,195,25,225,55,37,93,402,458,856,8226,7203,15431,301,278,575,12,6,18,0,0,0,89,64,156,12,31,46,16,13,29,437,389,825,6,4,11,0,0,0,29,35,66,15,41,57,24,14,33,71,93,169,68,43,110,578,524,1103,57,43,99,3,9,13,0,0,0,60,54,113,505,556,1055,478,1005,1482,50,52,104,9905,9389,19292
Leeton (A),14750,0,4,4,9,3,7,0,0,0,0,0,0,0,0,4,1904,1501,3405,145,129,272,34,0,34,14,0,14,25,8,34,18,11,24,114,88,207,2258,1740,3998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,10,8,7,11,0,0,0,0,0,0,0,0,3,0,3,3,133,116,243,135,240,367,44,27,73,2578,2131,4705
Lismore (C),14850,3,3,6,53,48,101,0,4,3,0,0,3,6,19,25,6401,6240,12636,382,600,981,215,4,223,108,13,117,69,29,104,73,30,105,335,288,628,7652,7280,14929,0,0,0,0,0,0,0,0,0,0,4,3,3,0,3,0,0,0,3,3,8,0,0,0,0,0,0,0,0,0,6,7,13,3,4,8,5,12,18,64,39,105,75,59,131,3,0,5,0,0,0,3,0,4,11,4,10,552,564,1114,638,1143,1784,115,84,200,9043,9126,18168
Lithgow (C),14870,33,27,53,14,9,24,0,0,0,0,0,0,15,12,21,2913,2454,5371,146,187,333,104,0,108,13,3,18,23,3,23,26,8,36,206,156,366,3487,2865,6353,3,5,4,0,0,0,0,0,0,6,3,10,0,0,3,0,0,0,14,11,24,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,4,30,14,41,44,23,66,5,4,9,0,0,0,0,0,0,4,5,9,146,211,356,371,530,904,54,51,111,4108,3692,7798
Liverpool (C),14900,2841,2800,5641,526,784,1314,3,3,6,4,0,4,81,32,111,31902,22654,54561,1826,2335,4157,1224,10,1236,249,24,274,152,14,166,255,116,372,814,850,1661,39876,29630,69508,624,716,1341,4,0,4,13,10,22,1098,869,1968,129,344,482,36,17,52,1903,1955,3857,4,0,4,0,0,0,47,63,110,28,90,122,4,11,18,85,163,245,327,163,488,2315,2278,4596,269,291,558,7,9,13,14,0,10,289,297,584,884,1650,2530,2140,3469,5608,597,480,1080,46103,37806,83905
Liverpool Plains (A),14920,0,0,0,5,3,8,0,0,0,0,0,0,3,0,4,1008,825,1833,56,55,110,76,3,80,9,0,9,0,0,0,18,8,22,121,79,200,1291,970,2259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,8,15,14,12,20,0,0,0,0,0,0,0,0,0,0,0,0,200,182,385,113,184,298,34,24,53,1644,1369,3013
Lockhart (A),14950,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,389,360,745,23,14,39,26,0,25,3,0,3,0,0,3,16,4,16,55,50,104,512,432,939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,136,71,205,44,80,121,5,6,17,701,592,1294
Maitland (C),15050,108,94,202,88,77,172,3,3,3,0,0,0,12,17,30,13674,11863,25533,872,780,1652,299,9,304,140,11,149,82,21,100,79,55,133,253,265,512,15626,13180,28805,33,54,89,0,0,0,0,0,0,30,18,49,3,9,10,9,0,13,81,86,167,0,0,0,0,0,0,10,8,15,5,11,17,3,0,3,14,14,33,180,75,248,276,173,445,29,47,76,0,3,3,3,5,8,38,53,86,406,764,1168,1602,2319,3925,135,121,257,18085,16610,34692
Mid-Coast (A),15240,15,12,27,90,55,144,3,0,3,0,0,3,15,20,33,10306,9629,19933,702,820,1514,462,11,471,148,14,166,125,25,148,129,62,188,562,588,1145,12552,11225,23782,5,3,6,0,0,0,3,0,3,3,6,6,0,0,0,0,3,0,14,5,20,0,0,0,0,0,0,7,5,8,5,6,10,3,0,3,13,10,23,130,47,176,153,63,222,0,5,5,5,3,3,3,4,10,8,11,18,900,1046,1945,1412,2194,3603,234,242,472,15261,14773,30032
Mid-Western Regional (A),15270,3,3,7,9,13,13,0,0,0,0,0,0,0,6,9,3529,2840,6368,331,233,567,143,16,156,47,4,46,20,4,28,31,10,39,192,232,425,4305,3366,7672,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,3,0,3,61,19,80,64,26,91,0,0,4,0,0,0,9,0,12,6,3,14,345,369,715,446,615,1056,86,64,144,5255,4438,9689
Moree Plains (A),15300,4,0,4,3,3,7,0,0,0,0,0,0,6,6,10,2049,1654,3704,120,159,276,112,3,111,22,3,23,10,6,20,41,18,52,190,143,333,2560,1988,4549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,13,8,14,13,5,18,0,0,0,0,0,0,0,0,0,3,0,3,220,242,453,153,268,419,43,35,79,2981,2536,5521
Mosman (A),15350,44,33,74,1425,1520,2943,293,151,448,6,0,5,38,31,65,3055,2596,5650,133,268,409,20,0,20,115,21,133,94,30,124,62,31,92,263,367,632,5548,5053,10597,134,150,287,48,42,92,0,0,0,5,9,12,9,6,21,3,0,3,202,208,408,122,79,198,0,0,0,32,23,53,16,12,24,14,17,29,185,128,310,84,39,129,472,373,845,77,58,127,27,13,39,14,0,13,110,72,177,571,662,1229,379,671,1052,50,45,99,7123,6878,13999
Murray River (A),15520,3,0,4,18,9,25,0,0,0,0,0,0,0,0,0,1708,1523,3231,101,86,188,55,3,57,22,3,19,23,7,29,37,13,48,145,118,255,2105,1764,3863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,27,21,3,27,0,0,0,0,0,0,0,0,0,0,6,3,299,228,523,194,303,493,38,39,76,2656,2340,4994
Murrumbidgee (A),15560,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,578,475,1051,42,29,66,28,0,30,5,0,3,5,0,6,13,3,14,88,52,140,757,567,1319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,16,6,5,16,0,0,0,0,0,0,0,0,0,0,0,0,125,93,217,56,79,135,14,17,28,959,760,1716
Muswellbrook (A),15650,3,3,9,9,9,12,4,0,4,0,0,0,4,0,4,2763,2091,4854,163,157,321,56,3,59,46,5,58,14,4,16,23,13,36,102,99,199,3183,2376,5560,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,6,15,11,34,22,19,43,0,0,0,0,0,0,0,0,0,0,3,3,110,163,273,380,389,770,50,34,82,3748,2986,6732
Nambucca (A),15700,3,3,9,21,12,32,0,0,0,0,0,3,3,3,13,2145,2013,4155,117,151,266,124,4,126,36,7,42,12,0,13,26,12,38,102,111,215,2593,2318,4910,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,22,9,22,22,12,34,0,0,0,0,0,0,0,0,0,0,0,0,221,253,473,281,428,706,60,42,102,3178,3053,6229
Narrabri (A),15750,3,0,3,44,15,60,0,0,0,0,0,0,0,0,3,2033,1657,3687,163,126,287,118,0,118,12,0,9,10,4,13,32,12,49,147,143,292,2557,1966,4527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,12,0,0,0,0,0,0,9,0,13,17,6,19,26,7,34,0,0,0,0,0,0,0,0,0,0,0,0,225,261,486,220,310,529,46,37,78,3084,2576,5657
