LGA_MAIN11,Sme_Usl_ad_5_yr_ago_as_2011_M,Sme_Usl_ad_5_yr_ago_as_2011_F,Sme_Usl_ad_5_yr_ago_as_2011_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P,LGA_NAME11
14350,7961,7961,15922,1447,1638,3085,2022,2113,4135,51,54,105,253,288,541,29,25,54,29,23,52,13,15,28,23,26,49,25,21,46,0,0,0,2445,2565,5010,84,106,190,44,61,105,4020,4370,8390,1227,846,2073,13208,13177,26385,Kempsey (A)
14400,5746,5969,11715,911,903,1814,1832,2044,3876,43,44,87,67,77,144,3,9,12,31,38,69,13,12,25,10,16,26,52,59,111,0,0,0,2051,2299,4350,189,232,421,21,25,46,3172,3459,6631,349,294,643,9267,9722,18989,Kiama (A)
14450,14910,15776,30686,1259,1395,2654,5553,5778,11331,64,84,148,92,103,195,39,39,78,30,29,59,7,4,11,6,9,15,35,24,59,0,0,0,5826,6070,11896,2229,2389,4618,95,88,183,9409,9942,19351,1191,1203,2394,25510,26921,52431,Kogarah (C)
14500,29518,32239,61757,2278,2438,4716,10627,11831,22458,336,327,663,265,300,565,65,77,142,118,141,259,23,23,46,7,10,17,85,104,189,0,4,4,11526,12817,24343,3963,4447,8410,118,182,300,17885,19884,37769,1896,2119,4015,49299,54242,103541,Ku-ring-gai (A)
14550,2778,2708,5486,507,547,1054,420,459,879,32,25,57,258,244,502,7,8,15,13,14,27,5,9,14,10,12,22,4,0,4,0,0,0,749,771,1520,33,56,89,32,19,51,1321,1393,2714,254,227,481,4353,4328,8681,Kyogle (A)
14600,2013,1975,3988,397,446,843,300,324,624,13,20,33,28,23,51,3,0,3,3,4,7,0,0,0,0,0,0,8,4,12,0,0,0,355,375,730,31,35,66,18,18,36,801,874,1675,176,151,327,2990,3000,5990,Lachlan (A)
11200,529,534,1063,65,71,136,116,111,227,3,8,11,6,9,15,0,0,0,0,4,4,3,0,3,0,0,0,0,0,0,0,0,0,128,132,260,4,9,13,3,7,10,200,219,419,54,48,102,783,801,1584,Brewarrina (A)
11500,41456,43025,84481,4008,4476,8484,13316,14179,27495,145,158,303,313,334,647,36,43,79,57,72,129,34,21,55,15,12,27,49,40,89,0,0,0,13965,14859,28824,2234,2604,4838,290,245,535,20497,22184,42681,3840,4070,7910,65793,69279,135072,Campbelltown (C)
11520,17544,19236,36780,1880,1992,3872,8348,8926,17274,245,239,484,270,286,556,109,93,202,94,111,205,22,23,45,17,14,31,72,87,159,0,0,0,9177,9779,18956,2908,3086,5994,132,141,273,14097,14998,29095,2498,2194,4692,34139,36428,70567,Canada Bay (A)
11550,36994,38192,75186,3700,3579,7279,11207,11010,22217,143,135,278,143,149,292,57,46,103,35,50,85,25,10,35,10,8,18,41,41,82,0,0,0,11661,11449,23110,5822,5749,11571,280,236,516,21463,21013,42476,4910,4440,9350,63367,63645,127012,Canterbury (C)
14650,54847,57316,112163,6202,6673,12875,18381,20034,38415,323,345,668,807,791,1598,94,103,197,193,174,367,62,61,123,75,80,155,149,138,287,0,0,0,20084,21726,41810,1259,1386,2645,391,324,715,27936,30109,58045,3784,3720,7504,86567,91145,177712,Lake Macquarie (C)
14700,7549,8266,15815,943,972,1915,3366,3544,6910,92,102,194,114,125,239,31,22,53,39,33,72,10,9,19,4,0,4,47,46,93,0,0,0,3703,3881,7584,1315,1397,2712,37,65,102,5998,6315,12313,600,626,1226,14147,15207,29354,Lane Cove (A)
13050,1486,1466,2952,278,322,600,359,373,732,4,3,7,33,34,67,0,0,0,6,8,14,0,3,3,3,3,6,4,0,4,0,0,0,409,424,833,14,22,36,5,11,16,706,779,1485,113,92,205,2305,2337,4642,Gloucester (A)
13100,42703,46106,88809,5365,5980,11345,17366,18968,36334,260,293,553,583,687,1270,65,83,148,148,160,308,56,78,134,42,51,93,123,123,246,0,0,0,18643,20443,39086,1853,1938,3791,439,656,1095,26300,29017,55317,4307,4185,8492,73310,79308,152618,Gosford (C)
11250,5660,5944,11604,1118,1231,2349,420,463,883,85,93,178,87,62,149,215,198,413,20,26,46,10,9,19,27,25,52,9,6,15,0,0,0,873,882,1755,66,80,146,37,30,67,2094,2223,4317,749,779,1528,8503,8946,17449,Broken Hill (C)
14750,3007,3005,6012,810,845,1655,724,797,1521,60,45,105,26,44,70,14,12,26,11,14,25,4,5,9,5,4,9,14,13,27,0,0,0,858,934,1792,60,38,98,26,29,55,1754,1846,3600,322,365,687,5083,5216,10299,Leeton (A)
12150,1246,1219,2465,249,280,529,202,201,403,3,5,8,33,36,69,0,4,4,4,0,4,5,0,5,4,0,4,3,4,7,0,0,0,254,250,504,6,14,20,7,6,13,516,550,1066,131,107,238,1893,1876,3769,Coonamble (A)
12200,2120,2195,4315,471,584,1055,374,438,812,25,13,38,40,43,83,6,13,19,9,14,23,3,0,3,4,3,7,37,41,78,0,0,0,498,565,1063,16,24,40,17,8,25,1002,1181,2183,222,186,408,3344,3562,6906,Cootamundra (A)
12300,3336,3286,6622,551,567,1118,377,379,756,502,544,1046,57,65,122,12,13,25,11,24,35,5,4,9,10,8,18,11,10,21,0,0,0,985,1047,2032,40,41,81,23,29,52,1599,1684,3283,244,216,460,5179,5186,10365,Corowa Shire (A)
12350,3552,3614,7166,712,752,1464,841,804,1645,26,25,51,61,63,124,3,3,6,10,11,21,0,0,0,4,4,8,32,30,62,0,0,0,977,940,1917,42,38,80,24,14,38,1755,1744,3499,415,395,810,5722,5753,11475,Cowra (A)
14800,10372,11752,22124,1599,1799,3398,6062,6930,12992,256,293,549,226,278,504,71,76,147,88,107,195,16,27,43,20,11,31,84,120,204,0,0,0,6823,7842,14665,2028,2328,4356,110,115,225,10560,12084,22644,1585,1546,3131,22517,25382,47899,Leichhardt (A)
14850,11213,11714,22927,1784,1971,3755,4114,4485,8599,123,156,279,637,692,1329,41,34,75,60,60,120,25,32,57,58,62,120,26,36,62,0,0,0,5084,5557,10641,335,321,656,111,97,208,7314,7946,15260,1015,945,1960,19542,20605,40147,Lismore (C)
14870,5919,5838,11757,1129,1182,2311,1420,1493,2913,16,16,32,85,70,155,12,8,20,11,18,29,7,10,17,4,4,8,6,8,14,0,3,3,1561,1630,3191,76,67,143,32,24,56,2798,2903,5701,907,514,1421,9624,9255,18879,Lithgow (C)
14900,50246,51081,101327,4911,5102,10013,16092,16676,32768,354,279,633,520,430,950,105,83,188,119,93,212,53,46,99,108,73,181,65,56,121,5,0,5,17421,17736,35157,3880,4376,8256,315,264,579,26527,27478,54005,5416,5312,10728,82189,83871,166060,Liverpool (C)
12500,1995,2091,4086,495,579,1074,271,313,584,108,127,235,31,42,73,9,15,24,9,8,17,8,6,14,5,7,12,4,0,4,0,0,0,445,518,963,37,35,72,22,20,42,999,1152,2151,226,205,431,3220,3448,6668,Deniliquin (A)
12600,9353,10013,19366,1661,1903,3564,4348,4982,9330,70,69,139,199,247,446,20,32,52,19,25,44,6,3,9,28,22,50,35,36,71,0,0,0,4725,5416,10141,235,244,479,98,122,220,6719,7685,14404,1036,912,1948,17108,18610,35718,Dubbo (C)
12700,2599,2506,5105,391,404,795,649,708,1357,15,11,26,29,36,65,3,5,8,0,9,9,3,7,10,3,3,6,3,3,6,0,0,0,705,782,1487,22,20,42,12,7,19,1130,1213,2343,199,185,384,3928,3904,7832,Dungog (A)
12750,9672,9854,19526,1714,1874,3588,2770,3056,5826,218,244,462,182,207,389,34,49,83,67,66,133,39,38,77,26,35,61,586,629,1215,0,0,0,3922,4324,8246,161,200,361,84,70,154,5881,6468,12349,1059,990,2049,16612,17312,33924,Eurobodalla (A)
12850,57481,59195,116676,4350,4538,8888,14444,14821,29265,153,170,323,183,189,372,47,46,93,35,46,81,3,7,10,15,17,32,21,27,48,0,0,0,14901,15323,30224,4411,5389,9800,383,407,790,24045,25657,49702,4593,4422,9015,86119,89274,175393,Fairfield (C)
12900,2632,2575,5207,717,802,1519,499,566,1065,23,27,50,54,50,104,12,9,21,6,0,6,0,0,0,4,0,4,15,19,34,0,0,0,613,671,1284,31,40,71,16,19,35,1377,1532,2909,213,204,417,4222,4311,8533,Forbes (A)
12950,1288,1337,2625,263,319,582,218,258,476,6,7,13,16,28,44,4,3,7,0,3,3,3,3,6,0,3,3,5,4,9,0,0,0,252,309,561,15,16,31,7,3,10,537,647,1184,130,136,266,1955,2120,4075,Gilgandra (A)
13010,2367,2480,4847,668,733,1401,396,425,821,3,3,6,193,209,402,3,5,8,6,6,12,0,4,4,4,4,8,4,5,9,0,0,0,609,661,1270,28,25,53,28,13,41,1333,1432,2765,338,207,545,4038,4119,8157,Glen Innes Severn (A)
13310,7260,7410,14670,1817,1985,3802,1936,2018,3954,65,60,125,115,136,251,28,18,46,33,22,55,10,14,24,14,15,29,244,280,524,0,0,0,2445,2563,5008,184,164,348,61,62,123,4507,4774,9281,1198,640,1838,12965,12824,25789,Goulburn Mulwaree (A)
13320,9254,9624,18878,1563,1738,3301,3524,3760,7284,83,83,166,238,268,506,16,14,30,29,35,64,8,13,21,20,13,33,33,24,57,0,0,0,3951,4210,8161,123,133,256,76,62,138,5713,6143,11856,1056,1020,2076,16023,16787,32810,Great Lakes (A)
13340,3078,2885,5963,437,489,926,582,608,1190,153,177,330,56,73,129,10,5,15,7,20,27,3,7,10,7,4,11,8,8,16,0,0,0,826,902,1728,30,40,70,16,10,26,1309,1441,2750,246,235,481,4633,4561,9194,Greater Hume Shire (A)
13380,12754,13229,25983,2444,2821,5265,3916,4272,8188,85,83,168,327,362,689,25,26,51,47,63,110,22,22,44,37,39,76,28,44,72,0,0,0,4487,4911,9398,158,215,373,136,133,269,7225,8080,15305,1308,1292,2600,21287,22601,43888,Greater Taree (C)
10050,11742,12458,24200,1793,2020,3813,4034,4500,8534,1375,1614,2989,239,244,483,60,72,132,57,72,129,41,53,94,41,44,85,70,92,162,0,0,0,5917,6691,12608,597,640,1237,126,104,230,8433,9455,17888,1324,1320,2644,21499,23233,44732,Albury (C)
10110,5368,5806,11174,1772,1931,3703,1968,2329,4297,71,87,158,277,328,605,26,38,64,35,25,60,9,18,27,10,26,36,22,30,52,0,0,0,2418,2881,5299,516,491,1007,33,30,63,4739,5333,10072,711,743,1454,10818,11882,22700,Armidale Dumaresq (A)
10650,2356,2356,4712,475,501,976,181,197,378,408,401,809,47,54,101,7,9,16,14,13,27,6,12,18,21,16,37,3,8,11,0,0,0,687,710,1397,38,43,81,18,13,31,1218,1267,2485,214,209,423,3788,3832,7620,Berrigan (A)
10750,81476,83744,165220,6943,7226,14169,30167,30741,60908,367,346,713,556,617,1173,154,137,291,137,144,281,54,53,107,41,36,77,71,89,160,0,0,0,31547,32163,63710,8420,9191,17611,556,478,1034,47466,49058,96524,7484,6454,13938,136426,139256,275682,Blacktown (C)
10800,1782,1798,3580,340,371,711,287,315,602,30,24,54,58,55,113,10,8,18,15,9,24,6,3,9,3,3,6,8,18,26,0,0,0,417,435,852,18,21,39,16,11,27,791,838,1629,113,85,198,2686,2721,5407,Bland (A)
10850,2010,1993,4003,395,430,825,479,527,1006,13,16,29,45,46,91,4,10,14,15,13,28,0,3,3,6,3,9,6,5,11,0,0,0,568,623,1191,28,34,62,20,11,31,1011,1098,2109,190,173,363,3211,3264,6475,Blayney (A)
10900,21395,22826,44221,3303,3496,6799,6543,7227,13770,116,141,257,219,292,511,30,48,78,79,83,162,36,41,77,21,32,53,65,69,134,0,0,0,7109,7933,15042,524,687,1211,120,140,260,11056,12256,23312,1920,1791,3711,34371,36873,71244,Blue Mountains (C)
10950,851,781,1632,159,155,314,164,188,352,7,9,16,19,24,43,8,10,18,4,5,9,0,4,4,5,0,5,0,0,0,0,0,0,207,240,447,23,24,47,6,5,11,395,424,819,114,103,217,1360,1308,2668,Bogan (A)
11000,813,760,1573,127,163,290,98,91,189,19,29,48,14,15,29,0,0,0,3,0,3,0,0,0,0,0,0,20,10,30,0,0,0,154,145,299,12,3,15,5,6,11,298,317,615,49,42,91,1160,1119,2279,Bombala (A)
11050,735,712,1447,126,130,256,148,166,314,6,3,9,8,8,16,4,0,4,0,6,6,4,0,4,0,0,0,38,44,82,0,0,0,208,227,435,8,6,14,4,3,7,346,366,712,47,45,92,1128,1123,2251,Boorowa (A)
11100,10161,10674,20835,1095,1141,2236,3887,3855,7742,70,69,139,94,98,192,16,21,37,24,31,55,9,0,9,8,13,21,34,28,62,0,0,0,4142,4115,8257,1405,1389,2794,78,62,140,6720,6707,13427,1252,1193,2445,18133,18574,36707,Botany Bay (C)
11150,684,651,1335,160,167,327,173,199,372,14,15,29,27,16,43,3,3,6,0,3,3,0,0,0,3,7,10,0,4,4,0,0,0,220,247,467,16,18,34,10,3,13,406,435,841,231,194,425,1321,1280,2601,Bourke (A)
14920,2240,2113,4353,429,465,894,529,578,1107,14,13,27,69,60,129,4,8,12,3,10,13,4,7,11,5,0,5,6,3,9,0,0,0,634,679,1313,31,32,63,19,17,36,1113,1193,2306,193,177,370,3546,3483,7029,Liverpool Plains (A)
14950,1007,928,1935,123,141,264,194,181,375,16,19,35,13,12,25,4,3,7,0,0,0,0,3,3,3,6,9,5,6,11,0,0,0,235,230,465,3,9,12,6,4,10,367,384,751,63,59,122,1437,1371,2808,Lockhart (A)
15050,17749,18577,36326,2960,3180,6140,6821,7401,14222,117,156,273,386,419,805,65,74,139,108,90,198,27,29,56,57,49,106,43,49,92,0,0,0,7624,8267,15891,442,458,900,128,102,230,11154,12007,23161,1522,1426,2948,30425,32010,62435,Maitland (C)
15150,8261,8958,17219,1744,1800,3544,3701,3852,7553,121,125,246,102,130,232,14,25,39,43,39,82,15,11,26,7,5,12,26,38,64,0,0,0,4029,4225,8254,2540,2655,5195,52,65,117,8365,8745,17110,1259,1184,2443,17885,18887,36772,Manly (A)
15200,16956,17568,34524,1682,1695,3377,9639,10372,20011,270,287,557,299,309,608,107,107,214,93,103,196,42,42,84,26,31,57,122,157,279,0,0,0,10598,11408,22006,2813,2889,5702,167,144,311,15260,16136,31396,3043,2534,5577,35259,36238,71497,Marrickville (A)
15270,5989,5847,11836,1324,1435,2759,2003,2012,4015,26,26,52,174,196,370,16,17,33,21,18,39,13,20,33,9,11,20,4,9,13,0,0,0,2266,2309,4575,111,140,251,56,43,99,3757,3927,7684,772,556,1328,10518,10330,20848,Mid-Western Regional (A)
15300,3584,3405,6989,818,853,1671,791,796,1587,13,21,34,253,247,500,10,14,24,3,11,14,0,4,4,13,10,23,0,0,0,0,0,0,1083,1103,2186,93,85,178,27,21,48,2021,2062,4083,635,558,1193,6240,6025,12265,Moree Plains (A)
15350,5560,6681,12241,1400,1591,2991,2302,2607,4909,116,131,247,110,121,231,30,27,57,36,52,88,12,9,21,7,3,10,27,25,52,0,0,0,2640,2975,5615,1428,1574,3002,28,39,67,5496,6179,11675,945,965,1910,12001,13825,25826,Mosman (A)
15500,1911,1845,3756,269,292,561,156,154,310,702,740,1442,36,24,60,15,17,32,8,11,19,3,5,8,5,0,5,0,3,3,0,0,0,925,954,1879,31,40,71,5,6,11,1230,1292,2522,183,152,335,3324,3289,6613,Murray (A)
15550,705,604,1309,155,146,301,109,112,221,9,11,20,9,5,14,3,0,3,3,0,3,0,3,3,3,3,6,3,3,6,0,0,0,139,137,276,26,22,48,6,5,11,326,310,636,69,71,140,1100,985,2085,Murrumbidgee (A)
15650,3815,3627,7442,1166,1234,2400,1186,1199,2385,49,36,85,158,157,315,21,10,31,56,50,106,11,6,17,25,19,44,11,5,16,0,0,0,1517,1482,2999,181,181,362,41,41,82,2905,2938,5843,802,456,1258,7522,7021,14543,Muswellbrook (A)
15700,5216,5363,10579,840,912,1752,1559,1773,3332,63,63,126,249,259,508,22,12,34,24,30,54,14,16,30,26,21,47,15,30,45,0,0,0,1972,2204,4176,55,72,127,47,45,92,2914,3233,6147,443,431,874,8573,9027,17600,Nambucca (A)
15750,3580,3554,7134,854,880,1734,865,884,1749,9,12,21,143,140,283,13,13,26,6,11,17,6,3,9,7,7,14,3,8,11,0,0,0,1052,1078,2130,45,53,98,27,14,41,1978,2025,4003,419,366,785,5977,5945,11922,Narrabri (A)
10150,9609,10414,20023,969,932,1901,4095,4410,8505,95,92,187,81,98,179,28,38,66,25,32,57,15,16,31,10,13,23,47,54,101,0,0,0,4396,4753,9149,2326,2388,4714,77,98,175,7768,8171,15939,1444,1410,2854,18821,19995,38816,Ashfield (A)
10200,16745,16724,33469,3033,2811,5844,5732,5600,11332,144,115,259,137,130,267,52,48,100,39,27,66,3,11,14,8,9,17,37,40,77,0,0,0,6152,5980,12132,5054,4586,9640,220,179,399,14459,13556,28015,4156,2455,6611,35360,32735,68095,Auburn (C)
10250,10097,10927,21024,2065,2273,4338,3264,3630,6894,159,224,383,638,734,1372,33,34,67,63,81,144,37,39,76,32,36,68,41,53,94,0,0,0,4267,4831,9098,329,436,765,80,110,190,6741,7650,14391,865,858,1723,17703,19435,37138,Ballina (A)
10300,691,641,1332,139,140,279,60,66,126,68,75,143,7,4,11,4,10,14,3,0,3,0,0,0,3,3,6,0,0,0,0,0,0,145,158,303,6,16,22,3,3,6,293,317,610,107,70,177,1091,1028,2119,Balranald (A)
10350,52697,55148,107845,4229,4299,8528,16051,16431,32482,137,156,293,197,190,387,32,45,77,57,67,124,14,21,35,17,11,28,32,39,71,0,0,0,16537,16960,33497,3441,3935,7376,315,325,640,24522,25519,50041,5537,5137,10674,82756,85804,168560,Bankstown (C)
10470,9352,9457,18809,2061,2144,4205,4211,4614,8825,76,84,160,169,170,339,24,20,44,30,39,69,17,21,38,20,21,41,51,45,96,0,0,0,4598,5014,9612,263,258,521,75,60,135,6997,7476,14473,1639,956,2595,17988,17889,35877,Bathurst Regional (A)
10550,8812,8932,17744,1808,2028,3836,2111,2281,4392,489,509,998,189,186,375,37,50,87,67,55,122,38,39,77,17,28,45,311,346,657,0,4,4,3259,3498,6757,151,183,334,59,46,105,5277,5755,11032,739,749,1488,14828,15436,30264,Bega Valley (A)
10600,3451,3586,7037,684,785,1469,942,1070,2012,65,82,147,119,146,265,11,17,28,26,32,58,9,9,18,17,18,35,5,6,11,0,0,0,1194,1380,2574,104,109,213,33,36,69,2015,2310,4325,245,216,461,5711,6112,11823,Bellingen (A)
11300,7899,8597,16496,701,781,1482,2674,2882,5556,62,50,112,61,79,140,24,21,45,11,19,30,5,9,14,6,8,14,16,26,42,0,0,0,2859,3094,5953,2374,2283,4657,92,97,189,6026,6255,12281,1110,887,1997,15035,15739,30774,Burwood (A)
11350,7223,7287,14510,1360,1540,2900,2216,2592,4808,305,361,666,513,551,1064,39,51,90,67,84,151,22,29,51,19,18,37,36,33,69,0,0,0,3217,3719,6936,559,612,1171,101,99,200,5237,5970,11207,1009,840,1849,13469,14097,27566,Byron (A)
11400,3993,3960,7953,571,577,1148,991,1035,2026,14,15,29,52,61,113,11,6,17,16,19,35,7,5,12,5,9,14,5,11,16,0,0,0,1101,1161,2262,51,71,122,27,27,54,1750,1836,3586,212,217,429,5955,6013,11968,Cabonne (A)
