lga_name_2016,lga_code_2016,neg_nil_inc_hh_with_ind_psns,neg_nil_inc_other_households,neg_nil_income_tot_hhlds,hi1_149_hhd_with_indig_psns,hi1_149_other_households,hi1_149_tot_hhlds,hi150_299_hhd_with_indig_psns,hi150_299_other_households,hi150_299_tot_hhlds,hi300_399_hhd_with_indig_psns,hi300_399_other_households,hi300_399_tot_hhlds,hi400_499_hhd_with_indig_psns,hi400_499_other_households,hi400_499_tot_hhlds,hi500_649_hhd_with_indig_psns,hi500_649_other_households,hi500_649_tot_hhlds,hi650_799_hhd_with_indig_psns,hi650_799_other_households,hi650_799_tot_hhlds,hi800_999_hh_with_indig_psn,hi800_999_other_households,hi800_999_tot_hhlds,hi1000_1249_hh_with_indig_psn,hi1000_1249_other_households,hi1000_1249_tot_hhlds,hi1250_1499_hh_with_indig_psn,hi1250_1499_other_households,hi1250_1499_tot_hhlds,hi1500_1999_hh_with_indig_psn,hi1500_1999_other_households,hi1500_1999_tot_hhlds,hi2000_2499_hh_with_indig_psn,hi2000_2499_other_households,hi2000_2499_tot_hhlds,hi2500_2999_hh_with_indig_psn,hi2500_2999_other_households,hi2500_2999_tot_hhlds,hi3000_more_hh_with_indig_psn,hi3000_more_other_households,hi3000_more_tot_hhlds,part_inc_st_hh_with_indig_psn,partial_inc_stated_other_hhds,partial_inc_stated_tot_hhlds,all_inc_ns_hh_with_ind_psns,all_income_ns_other_household,all_inc_ns_tot_hhlds,tot_household_with_indig_psns,tot_other_households,tot_tot_hhlds
Pyrenees (S),25990,0,62,63,0,38,38,0,83,84,3,130,134,3,323,327,8,159,165,9,305,310,5,214,218,3,260,270,5,189,195,14,268,277,0,146,146,0,81,81,3,103,108,4,204,203,4,98,100,60,2664,2723
Queenscliffe (B),26080,0,14,14,0,17,17,0,20,20,0,33,33,0,91,91,0,77,77,0,94,94,0,104,107,0,118,114,0,88,89,0,121,121,0,85,90,0,61,61,0,132,138,0,83,88,0,33,33,10,1168,1181
South Gippsland (S),26170,4,157,161,0,113,115,7,300,312,7,416,418,8,1073,1090,8,609,619,12,1021,1036,10,919,925,19,1003,1018,10,834,844,15,1144,1165,4,840,847,3,477,483,7,636,643,18,737,754,0,374,374,132,10661,10796
Southern Grampians (S),26260,0,76,76,3,50,54,4,179,182,8,235,246,5,610,617,14,379,390,16,579,598,19,541,558,13,576,585,14,492,508,0,714,720,3,459,464,7,256,262,7,376,382,13,455,465,7,219,226,127,6201,6326
Stonnington (C),26350,0,1292,1291,0,359,362,4,753,756,4,959,965,3,1615,1623,3,1297,1301,9,1695,1705,9,2031,2044,14,2664,2681,15,2654,2672,21,4806,4829,22,4781,4802,16,2449,2465,51,11894,11945,13,3431,3445,5,835,846,194,43524,43724
Strathbogie (S),26430,0,77,77,0,44,44,3,133,134,4,158,158,4,454,456,4,265,267,0,412,410,4,333,338,9,355,363,7,298,306,11,426,430,5,284,283,0,162,166,0,226,229,5,301,303,7,181,191,64,4105,4174
Surf Coast (S),26490,3,101,104,0,70,70,4,157,158,0,199,205,3,493,495,4,388,393,10,677,682,0,602,605,5,860,864,5,733,744,7,1199,1209,5,1135,1144,14,747,752,13,1543,1556,14,945,952,3,225,227,92,10076,10163
Swan Hill (RC),26610,3,103,103,3,58,60,15,151,163,20,259,281,24,633,663,24,364,388,45,664,704,17,541,553,28,667,701,32,559,597,30,780,810,27,564,593,12,293,304,12,430,442,23,493,517,23,294,312,340,6855,7198
Towong (S),26670,3,30,33,0,20,23,3,58,63,3,97,97,6,236,244,6,121,127,0,224,228,4,188,195,9,211,222,3,195,198,0,249,250,0,161,159,0,106,106,3,145,143,7,162,167,5,79,83,49,2282,2333
Wangaratta (RC),26700,3,123,125,3,71,74,5,260,266,7,419,425,12,1007,1022,10,615,620,17,1005,1024,30,960,983,21,1070,1086,15,844,851,34,1150,1183,10,943,951,5,521,522,10,680,691,16,720,742,12,410,419,198,10779,10980
