lga_name_2016,lga_code_2016,neg_nil_inc_hh_with_ind_psns,neg_nil_inc_other_households,neg_nil_income_tot_hhlds,hi1_149_hhd_with_indig_psns,hi1_149_other_households,hi1_149_tot_hhlds,hi150_299_hhd_with_indig_psns,hi150_299_other_households,hi150_299_tot_hhlds,hi300_399_hhd_with_indig_psns,hi300_399_other_households,hi300_399_tot_hhlds,hi400_499_hhd_with_indig_psns,hi400_499_other_households,hi400_499_tot_hhlds,hi500_649_hhd_with_indig_psns,hi500_649_other_households,hi500_649_tot_hhlds,hi650_799_hhd_with_indig_psns,hi650_799_other_households,hi650_799_tot_hhlds,hi800_999_hh_with_indig_psn,hi800_999_other_households,hi800_999_tot_hhlds,hi1000_1249_hh_with_indig_psn,hi1000_1249_other_households,hi1000_1249_tot_hhlds,hi1250_1499_hh_with_indig_psn,hi1250_1499_other_households,hi1250_1499_tot_hhlds,hi1500_1999_hh_with_indig_psn,hi1500_1999_other_households,hi1500_1999_tot_hhlds,hi2000_2499_hh_with_indig_psn,hi2000_2499_other_households,hi2000_2499_tot_hhlds,hi2500_2999_hh_with_indig_psn,hi2500_2999_other_households,hi2500_2999_tot_hhlds,hi3000_more_hh_with_indig_psn,hi3000_more_other_households,hi3000_more_tot_hhlds,part_inc_st_hh_with_indig_psn,partial_inc_stated_other_hhds,partial_inc_stated_tot_hhlds,all_inc_ns_hh_with_ind_psns,all_income_ns_other_household,all_inc_ns_tot_hhlds,tot_household_with_indig_psns,tot_other_households,tot_tot_hhlds
Loxton Waikerie (DC),43790,0,49,56,3,48,50,9,111,125,3,151,156,8,475,489,11,259,273,11,510,521,17,355,370,13,399,413,8,377,389,12,455,465,9,376,381,5,181,188,3,207,211,12,271,281,4,138,144,127,4367,4497
Mallala (DC),43920,4,30,32,0,23,23,3,55,56,3,76,74,3,179,183,11,123,128,3,223,228,3,238,245,7,284,290,6,278,289,12,402,408,11,322,326,10,165,177,11,232,246,11,250,261,3,68,68,91,2940,3032
Maralinga Tjarutja (AC),44000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,10,0,10,12,3,15
Marion (C),44060,9,465,479,10,321,329,24,889,913,17,1322,1338,40,2651,2691,28,1780,1810,35,2611,2646,52,2680,2728,44,2998,3040,39,2656,2698,65,4204,4271,57,3718,3778,31,2267,2301,25,3197,3223,33,2296,2329,22,693,710,535,34739,35275
Mid Murray (DC),44210,5,39,41,3,35,38,3,119,123,5,162,163,13,462,468,10,215,224,7,438,444,6,304,314,6,309,310,0,248,249,13,327,339,0,197,194,3,97,101,9,126,129,8,235,245,6,106,117,94,3414,3506
Mitcham (C),44340,3,272,273,0,171,171,7,415,425,4,485,492,10,1370,1375,7,1072,1082,12,1445,1457,13,1411,1419,20,1846,1867,14,1671,1681,25,2595,2620,15,2393,2403,12,1787,1806,24,4493,4517,25,1854,1880,3,334,342,197,23608,23807
Mount Barker (DC),44550,0,89,92,0,68,68,8,204,209,3,286,286,7,714,727,10,559,567,13,858,869,18,842,853,18,1016,1032,10,903,917,20,1594,1617,18,1335,1350,18,838,854,19,1315,1329,20,1014,1028,4,224,221,172,11837,12013
Mount Gambier (C),44620,5,90,99,6,68,73,12,305,320,9,444,456,27,1052,1076,22,608,627,23,972,995,28,832,865,27,923,954,21,795,812,34,1197,1232,21,872,890,4,461,467,9,538,543,30,588,619,17,289,299,288,10035,10321
Mount Remarkable (DC),44830,0,20,21,0,16,21,0,35,35,3,50,46,5,119,119,0,74,78,5,122,126,3,80,89,0,101,105,0,76,74,3,105,105,0,72,68,3,55,54,5,63,66,10,96,108,0,32,34,46,1105,1153
Naracoorte and Lucindale (DC),45090,0,40,40,0,24,22,6,66,76,3,90,92,4,227,230,5,169,178,4,271,272,3,274,276,6,273,283,6,322,330,14,368,382,4,292,291,4,163,166,0,189,190,4,233,235,7,79,78,66,3078,3143
Northern Areas (DC),45120,0,22,25,0,15,15,0,45,47,4,60,66,3,206,209,4,95,101,8,183,193,0,133,134,3,189,193,0,161,162,5,192,190,3,131,130,0,80,80,0,105,105,5,128,132,3,43,44,38,1783,1829
Norwood Payneham St Peters (C),45290,0,293,293,0,147,147,10,371,379,4,603,609,10,1190,1199,7,752,760,8,1000,1006,15,969,978,6,1162,1167,16,1005,1017,12,1474,1483,6,1289,1297,12,770,783,17,2409,2423,3,1013,1019,3,243,244,128,14686,14808
Onkaparinga (C),45340,20,553,577,20,365,388,30,1328,1360,52,1868,1919,88,4906,4996,95,3423,3515,117,5689,5804,109,5220,5327,110,6065,6180,123,5167,5291,131,7722,7846,106,6140,6250,50,3507,3557,60,4317,4383,107,4237,4348,40,1243,1285,1261,61767,63024
Orroroo/Carrieton (DC),45400,0,4,4,0,7,7,0,6,6,0,17,20,0,38,38,0,23,24,0,31,31,0,27,27,0,33,33,0,27,25,0,33,33,0,34,34,0,11,11,0,17,17,0,33,32,0,9,9,4,352,360
Peterborough (DC),45540,4,11,17,0,4,4,0,40,40,5,41,53,12,133,141,3,44,50,3,86,91,4,75,77,5,55,59,0,40,44,0,46,49,0,22,23,0,13,14,0,18,18,0,39,42,3,49,48,47,711,755
Playford (C),45680,24,348,370,11,239,255,60,960,1019,54,1342,1394,105,2770,2870,155,1860,2008,136,3154,3289,124,2811,2932,134,2994,3128,123,2494,2614,143,3433,3585,88,2512,2600,40,1158,1201,45,1334,1382,94,1974,2065,52,883,936,1384,30263,31652
Port Adelaide Enfield (C),45890,20,761,777,23,389,410,66,1416,1479,70,2095,2164,93,3924,4019,82,2400,2480,97,3811,3904,97,3557,3656,74,4112,4185,100,3501,3595,109,5258,5366,86,4207,4293,49,2547,2593,79,3509,3590,82,2928,3013,56,1031,1085,1182,45438,46621
Port Augusta (C),46090,18,56,76,20,35,53,48,101,148,40,180,218,65,349,418,53,243,295,100,315,416,52,322,380,76,368,443,55,322,380,73,455,528,44,355,400,23,221,250,41,333,373,88,328,418,67,163,232,885,4144,5021
Port Lincoln (C),46300,4,49,59,3,32,40,23,154,179,11,241,252,21,449,475,25,279,303,21,487,510,31,388,415,38,472,505,18,376,395,25,553,574,16,456,475,10,251,263,8,339,347,20,376,403,22,150,171,310,5054,5364
Port Pirie City and Dists (M),46450,3,78,78,7,55,63,17,239,252,21,353,376,30,837,865,25,399,421,32,736,767,25,530,559,31,514,541,15,442,455,20,620,640,13,499,511,3,299,299,4,367,378,22,461,488,14,206,217,269,6636,6905
Prospect (C),46510,0,112,116,0,44,48,3,171,178,3,194,194,8,445,451,4,319,324,4,456,466,0,466,464,14,621,637,4,504,504,9,878,888,15,788,798,7,509,517,16,1439,1458,10,596,599,3,112,115,102,7653,7758
Renmark Paringa (DC),46670,0,43,43,0,25,29,6,102,106,5,132,138,10,330,335,4,219,230,8,405,416,10,296,303,20,336,358,8,298,310,12,374,381,8,272,280,0,129,130,3,189,189,9,244,252,3,118,124,104,3521,3627
Unley (C),47980,3,235,235,0,119,119,3,284,286,3,381,380,6,846,854,8,618,631,4,883,890,4,842,851,13,1047,1053,8,953,967,10,1509,1523,6,1394,1399,3,858,862,22,3304,3325,9,1129,1134,0,233,232,96,14640,14738
Victor Harbor (C),48050,3,69,66,0,48,48,0,133,139,7,242,243,7,811,822,7,509,514,15,921,932,8,621,629,14,687,698,4,475,479,9,490,500,3,308,313,3,143,144,3,218,220,9,336,346,8,180,188,98,6192,6283
Wakefield (DC),48130,0,22,26,0,22,22,0,55,55,6,113,123,11,284,296,7,136,150,5,233,243,7,199,204,7,283,295,9,218,227,5,254,262,3,189,190,6,94,95,0,154,152,4,188,197,3,64,65,76,2514,2590
Coolgardie (S),51960,3,15,20,0,6,7,4,31,40,5,24,30,8,70,74,15,21,39,10,42,54,6,50,58,12,62,73,7,54,56,12,128,139,16,181,201,7,67,69,10,184,199,8,89,98,7,39,45,140,1058,1199
Coorow (S),52030,0,16,16,0,5,5,0,19,19,0,19,19,0,35,35,3,23,29,0,37,40,0,31,31,0,36,41,4,19,17,0,35,37,0,36,34,0,15,15,0,38,37,0,37,37,0,10,7,19,415,431
Brookton (S),50910,0,7,7,0,5,5,0,8,9,4,11,9,0,23,24,3,13,18,3,36,41,3,30,30,5,29,30,0,25,25,4,25,30,0,32,31,0,21,21,0,39,36,5,23,30,3,20,19,40,332,375
Broome (S),50980,16,54,77,14,19,30,72,53,121,72,84,157,95,95,195,80,95,176,98,137,237,121,153,280,98,213,306,81,217,297,116,460,583,90,530,620,75,334,410,106,807,916,175,391,562,79,73,157,1401,3714,5112
Walkerville (M),48260,0,58,58,0,30,30,3,86,92,0,89,89,0,166,166,3,98,102,3,142,146,0,161,160,0,180,187,3,168,170,0,285,287,0,282,289,0,161,158,10,697,702,0,224,224,4,72,71,27,2911,2938
Wattle Range (DC),48340,4,63,67,0,49,48,5,118,122,3,183,188,9,478,479,10,238,250,16,438,452,7,364,372,9,375,385,11,350,364,11,460,466,7,349,356,3,186,190,3,285,291,7,310,317,3,155,161,114,4401,4511
West Torrens (C),48410,3,390,393,4,184,195,16,552,569,13,859,877,21,1832,1854,3,1255,1266,17,1816,1841,17,1775,1796,24,2068,2095,25,1715,1739,34,2636,2674,26,2251,2275,18,1347,1358,32,2323,2354,19,1535,1552,6,446,455,285,22996,23284
Whyalla (C),48540,4,99,104,10,89,100,42,404,442,37,488,528,30,869,901,32,446,480,45,776,816,33,579,611,25,585,614,20,496,520,29,833,865,27,711,744,22,442,465,24,697,715,28,521,553,23,299,325,442,8332,8774
Canning (C),51330,3,714,719,11,267,277,20,611,628,16,726,741,21,1654,1670,17,1150,1169,27,1753,1780,32,1783,1816,31,2340,2371,15,2134,2150,43,3592,3633,35,3383,3413,26,2170,2193,46,4955,4999,48,2673,2721,15,477,494,393,30380,30768
Wudinna (DC),48640,0,3,3,0,3,3,0,20,20,0,22,22,0,46,47,0,22,20,0,36,37,3,27,31,3,54,56,0,45,41,0,54,54,4,42,48,0,16,16,0,43,43,0,16,15,0,14,14,14,463,477
Yankalilla (DC),48750,0,27,27,0,28,28,3,58,57,0,92,92,0,229,227,0,151,152,0,251,249,4,188,194,3,205,207,6,164,164,3,209,219,3,134,140,0,65,68,0,90,89,0,127,131,0,54,53,33,2077,2105
Yorke Peninsula (DC),48830,0,80,80,0,65,62,16,145,155,10,175,187,14,585,598,11,286,300,17,593,603,8,407,414,9,427,436,6,333,341,11,393,402,5,252,258,4,113,116,0,216,215,16,312,330,5,139,143,138,4502,4647
Unincorporated SA,49399,0,16,16,0,8,11,20,34,55,11,49,58,16,101,122,10,35,46,16,64,77,23,63,79,14,68,78,6,61,67,13,86,93,10,75,76,4,36,37,3,69,68,26,73,99,45,40,90,214,869,1083
No usual address (SA),49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Migratory - Offshore - Shipping (SA),49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albany (C),50080,3,142,148,3,94,97,17,257,268,26,447,472,21,1103,1121,31,693,719,28,1157,1191,33,903,940,45,1197,1247,28,951,981,54,1558,1613,38,1211,1247,24,724,751,29,1171,1199,39,1007,1045,11,375,390,439,12986,13425
Armadale (C),50210,18,345,366,7,174,175,27,484,518,24,568,592,34,1410,1444,55,1087,1140,69,1670,1735,62,1664,1729,66,2289,2359,71,2109,2181,92,3408,3499,70,3195,3261,38,1943,1977,86,3367,3452,85,2394,2477,30,517,544,846,26610,27453
Ashburton (S),50250,4,10,13,3,0,9,12,5,18,9,9,15,21,20,41,7,5,15,9,10,18,5,29,41,9,49,61,10,50,60,26,147,179,48,374,423,20,133,156,51,611,658,36,138,173,21,21,39,293,1624,1909
Augusta-Margaret River (S),50280,3,70,73,0,27,27,0,95,101,3,141,146,4,318,322,6,273,279,0,365,368,12,381,387,12,424,435,7,384,392,9,602,615,11,495,503,6,279,283,5,460,465,13,550,557,0,84,84,89,4957,5049
Bassendean (T),50350,5,97,103,0,42,44,10,117,128,3,192,197,12,396,409,16,231,240,19,333,349,7,338,347,11,396,406,10,378,394,19,684,703,20,630,650,5,440,445,18,828,843,16,479,490,7,129,133,183,5705,5883
Broomehill-Tambellup (S),51080,0,0,0,0,0,0,4,3,6,3,9,9,0,16,22,3,12,17,4,32,32,3,31,33,3,32,34,4,26,29,3,38,41,4,28,25,0,13,13,0,43,41,7,31,33,3,15,20,38,320,362
Bruce Rock (S),51120,0,4,4,0,3,3,0,15,17,0,8,8,0,41,37,0,14,19,3,28,36,0,30,28,0,23,23,0,24,28,0,40,40,0,20,20,0,22,17,0,41,40,4,33,36,0,14,14,14,360,370
Bunbury (C),51190,8,142,151,8,77,80,22,276,295,20,455,472,31,983,1012,30,643,674,43,1038,1080,39,909,948,29,981,1011,31,877,909,55,1265,1320,27,1105,1131,13,652,673,22,1246,1268,53,975,1023,22,340,357,445,11950,12390
Busselton (C),51260,4,175,177,7,88,95,3,252,260,15,373,384,16,866,887,15,623,641,16,1058,1072,15,887,898,30,1022,1047,18,947,970,35,1443,1475,25,1233,1255,11,768,774,22,1361,1377,34,1317,1350,10,296,301,261,12704,12961
Cambridge (T),51310,0,111,111,0,56,56,0,128,128,0,141,141,3,310,314,3,294,294,0,337,337,3,390,395,0,470,470,0,423,423,0,758,763,4,772,774,7,517,526,15,3510,3519,0,944,951,0,144,143,39,9299,9339
Chittering (S),51680,0,21,28,0,25,25,0,24,24,0,39,40,0,89,89,0,45,50,0,119,119,0,109,109,0,121,121,0,96,96,3,180,184,4,207,215,3,108,114,12,266,274,4,250,255,0,31,31,31,1736,1768
Dalwallinu (S),52520,3,12,13,0,3,3,0,7,9,0,12,12,3,33,32,0,20,20,6,26,30,3,35,33,3,41,43,3,51,48,6,61,64,0,60,60,0,36,38,3,48,54,6,31,39,0,11,13,34,467,497
Claremont (T),51750,0,75,75,0,29,29,0,42,42,0,83,83,0,151,151,0,155,153,0,146,146,0,173,173,0,209,209,0,226,226,3,359,362,3,336,340,0,177,177,10,1214,1223,0,348,351,0,85,85,15,3809,3825
Cockburn (C),51820,8,464,471,12,210,220,23,615,642,23,789,815,28,1799,1832,33,1185,1218,45,1960,2007,49,1865,1914,52,2469,2517,62,2247,2305,69,4196,4258,56,4371,4426,41,3044,3085,99,6428,6526,87,3461,3547,21,679,704,694,35792,36489
Collie (S),51890,6,42,52,0,21,26,4,78,84,6,119,130,14,310,324,16,181,194,13,272,282,8,205,215,4,190,197,7,179,183,11,264,271,7,344,350,7,172,174,10,376,385,13,286,299,6,101,99,142,3130,3270
Dandaragan (S),52590,0,27,27,0,25,25,4,27,30,0,31,31,0,107,109,5,49,54,3,104,107,0,67,67,3,111,119,3,70,73,3,116,121,3,118,120,3,55,64,6,118,125,3,125,128,3,41,45,39,1201,1232
Dardanup (S),52660,0,66,66,0,30,30,3,61,67,4,92,98,3,288,297,4,191,195,5,354,358,3,270,275,10,345,358,3,305,314,23,647,665,20,551,566,9,350,358,16,573,585,18,477,492,0,99,99,122,4704,4828
Denmark (S),52730,0,35,35,0,23,24,0,52,52,0,85,85,4,216,216,4,128,132,3,222,223,4,184,190,4,207,209,0,170,170,3,199,209,8,148,151,0,89,96,0,145,151,3,201,206,0,36,38,41,2150,2192
Derby-West Kimberley (S),52800,7,8,13,11,3,19,76,16,92,69,17,80,94,25,124,73,21,92,112,23,140,104,34,140,94,56,156,83,63,148,99,127,223,73,138,205,29,73,100,44,142,190,149,89,238,52,29,86,1169,867,2042
Donnybrook-Balingup (S),52870,0,31,31,0,26,23,0,51,55,0,60,63,5,173,179,4,97,95,10,201,211,5,150,156,0,169,169,4,146,152,3,222,227,0,173,172,3,107,109,4,193,199,3,229,231,0,58,58,51,2080,2132
Corrigin (S),52100,0,8,8,0,4,4,0,11,10,0,9,9,0,37,38,3,8,13,0,33,32,0,29,29,3,33,34,0,33,33,0,47,52,0,36,37,3,33,30,0,43,43,0,43,41,3,12,9,15,401,423
Cottesloe (T),52170,0,35,35,0,20,20,0,45,45,3,48,52,0,83,87,0,65,68,0,90,90,0,102,102,4,127,131,0,123,123,0,208,208,3,238,237,3,113,113,7,1132,1140,0,317,319,0,43,43,21,2789,2807
Cranbrook (S),52240,0,9,8,0,5,5,4,10,10,0,8,13,0,34,38,0,18,17,0,38,42,3,34,38,0,35,35,3,33,31,0,40,40,0,28,30,0,8,8,0,28,32,0,28,33,0,13,13,15,372,388
Cuballing (S),52310,0,5,5,0,6,7,0,3,3,0,12,15,0,17,17,0,15,19,0,29,32,0,26,26,0,29,28,0,20,18,0,33,35,0,29,29,0,11,11,0,24,24,0,32,38,0,4,4,10,298,309
Cue (S),52380,0,0,3,0,0,0,0,4,6,0,0,0,0,12,12,3,0,4,0,3,7,0,3,4,0,3,6,0,3,7,0,7,5,0,7,7,0,0,0,0,3,9,0,3,3,0,0,6,9,52,66
Cunderdin (S),52450,0,4,4,0,0,0,0,15,12,0,10,8,0,36,36,0,16,17,0,35,37,0,41,36,0,40,44,0,30,30,0,65,65,0,44,41,0,25,25,0,57,58,0,44,45,0,14,13,15,469,479
Dowerin (S),52940,0,6,6,0,0,0,0,7,7,0,8,8,0,19,19,0,22,22,0,34,33,0,15,15,0,23,24,0,26,26,0,31,31,3,22,22,0,4,4,0,29,24,0,18,15,0,12,10,14,252,268
Dumbleyung (S),53010,0,5,5,0,3,3,0,7,7,0,12,16,4,21,20,0,10,10,0,17,17,3,32,29,0,33,30,0,22,28,0,23,23,0,25,25,0,7,7,0,16,16,0,24,24,0,6,6,9,257,269
Dundas (S),53080,0,8,9,0,4,4,3,15,16,3,18,19,0,40,39,3,7,15,7,24,28,3,15,18,0,16,15,0,13,15,3,31,29,3,21,29,0,7,9,0,12,12,3,20,24,6,15,20,33,265,300
Kalamunda (S),54200,3,262,262,4,130,127,7,279,285,17,363,377,21,1005,1029,14,701,718,16,1186,1202,24,1112,1135,29,1524,1551,29,1343,1373,51,2376,2425,46,2297,2342,30,1553,1580,66,3242,3308,56,1929,1986,8,367,376,426,19653,20084
East Fremantle (T),53150,0,42,42,0,22,22,3,42,46,0,50,49,4,130,131,0,76,80,0,129,132,4,119,117,4,130,135,0,146,148,3,273,279,0,218,223,0,146,150,0,858,856,0,268,272,0,33,33,24,2688,2712
East Pilbara (S),53220,0,7,7,6,3,6,13,5,18,5,10,10,24,15,37,10,8,20,26,17,49,24,28,50,27,38,63,19,56,80,36,123,165,45,218,263,21,120,139,44,433,478,44,97,142,19,30,51,379,1202,1579
Esperance (S),53290,0,58,55,3,32,38,7,82,89,3,149,149,5,357,365,12,205,213,20,323,343,15,277,295,11,365,379,12,353,374,27,518,548,13,459,477,7,324,332,18,521,541,26,449,475,21,132,149,211,4608,4816
Exmouth (S),53360,0,19,14,0,8,7,0,17,19,0,32,33,0,44,48,0,24,24,0,56,56,5,32,36,0,67,67,0,57,57,3,99,108,3,119,124,3,73,75,4,136,138,4,110,110,3,21,18,27,921,949
Fremantle (C),53430,4,180,186,0,82,79,17,364,383,17,431,448,23,774,794,9,451,460,5,581,590,10,592,602,19,695,718,9,646,657,17,1108,1120,20,1094,1110,4,706,712,36,2317,2347,21,1062,1082,11,220,230,227,11295,11519
Gingin (S),53570,0,42,49,0,27,27,0,51,52,0,49,49,0,158,163,3,89,92,0,161,165,3,131,139,7,151,161,3,128,132,7,179,191,0,151,157,0,84,85,7,157,159,6,209,218,0,53,54,47,1833,1880
Gnowangerup (S),53640,4,5,6,0,3,3,4,7,16,5,13,18,6,26,35,3,9,11,0,30,30,3,23,24,4,40,41,3,22,30,3,45,43,0,43,43,0,25,25,0,54,54,3,33,38,4,8,14,33,388,428
Kalgoorlie/Boulder (C),54280,9,107,113,15,37,53,21,119,140,25,172,198,31,316,353,31,205,239,44,343,384,44,314,359,51,478,530,33,528,563,66,1155,1220,66,1329,1393,47,829,874,87,2234,2328,88,863,949,38,215,252,706,9243,9951
Karratha (C),54310,23,26,50,7,15,27,36,24,56,31,33,61,38,48,83,34,43,72,52,64,116,37,113,150,50,176,227,34,194,226,66,518,581,93,855,947,42,468,513,171,2171,2343,106,483,591,40,98,137,852,5321,6178
Goomalling (S),53710,0,5,7,0,0,0,0,9,10,3,16,24,3,32,35,0,14,14,0,42,39,0,29,30,0,30,35,0,18,21,3,36,36,0,35,37,0,28,28,0,42,42,0,27,30,0,13,12,20,376,389
Gosnells (C),53780,15,679,692,7,245,256,41,691,727,23,822,848,46,2177,2222,52,1389,1442,71,2526,2597,79,2424,2499,82,3166,3252,60,3033,3090,123,4802,4934,96,4612,4703,56,2730,2791,93,4688,4779,105,3320,3427,27,709,737,986,38013,38996
Greater Geraldton (C),53800,28,181,207,27,91,112,60,280,344,55,418,476,71,816,890,78,561,641,113,917,1029,85,720,802,82,945,1024,90,836,920,124,1394,1514,99,1310,1406,60,760,819,71,1520,1600,169,1363,1530,74,313,386,1279,12429,13710
Halls Creek (S),53920,3,0,3,9,0,14,48,0,49,29,7,31,48,4,48,45,0,51,26,4,27,56,8,63,33,17,55,19,13,34,24,45,66,20,41,61,5,19,27,9,43,54,60,13,71,29,7,38,478,221,694
Harvey (S),53990,3,106,113,0,62,68,4,128,135,3,190,199,14,499,512,16,318,328,19,647,666,17,549,567,20,580,600,19,562,581,31,1047,1079,22,1045,1069,10,632,645,15,1176,1196,43,975,1024,12,182,191,252,8720,8975
Irwin (S),54060,3,27,24,0,14,14,3,39,42,3,52,59,0,121,123,3,74,80,4,126,126,0,96,99,4,105,105,3,98,96,3,122,124,5,110,116,3,59,63,3,127,126,3,162,166,6,39,44,50,1350,1404
Jerramungup (S),54130,0,12,12,0,5,5,0,11,11,3,3,6,0,25,25,0,16,18,0,36,36,3,30,35,0,35,34,3,32,34,0,39,39,0,34,35,0,21,25,0,39,39,0,26,26,0,9,10,17,379,390
Joondalup (C),54170,9,627,639,3,316,316,11,679,686,3,807,815,20,2233,2256,7,1637,1646,28,2655,2680,17,2684,2699,40,3538,3577,30,3146,3180,56,5697,5752,54,6234,6292,44,4556,4599,102,12274,12373,67,5393,5460,10,825,834,501,53304,53807
Katanning (S),54340,0,13,20,0,7,7,5,32,42,3,36,40,8,72,86,13,52,66,5,143,153,4,91,94,13,110,123,7,99,109,14,139,159,7,115,120,3,76,79,3,110,119,12,121,134,7,41,55,121,1273,1399
Kellerberrin (S),54410,0,11,11,0,3,3,3,4,7,0,14,15,4,54,53,0,28,28,7,34,40,3,36,37,0,40,39,3,26,27,3,42,41,0,28,31,0,24,24,0,34,35,10,32,38,0,17,20,28,420,449
Kwinana (C),54830,9,162,170,3,60,68,12,246,258,21,304,330,30,689,718,33,477,503,33,766,794,33,826,857,40,1073,1107,28,999,1030,48,1706,1752,52,1520,1575,20,938,961,42,1280,1319,49,1151,1201,13,242,247,449,12442,12892
Lake Grace (S),54900,0,11,11,0,0,0,0,4,4,0,13,13,0,26,23,0,20,20,3,29,30,3,40,38,0,40,40,0,35,35,0,49,55,4,54,60,0,24,24,0,56,56,0,49,47,0,17,17,13,462,469
Kent (S),54480,0,0,0,0,0,0,0,8,8,0,3,3,0,4,4,0,4,4,0,19,19,0,14,14,0,19,19,0,20,17,0,14,14,0,21,21,0,9,9,0,20,20,0,23,23,0,4,4,3,185,189
Kojonup (S),54550,0,10,10,0,12,12,4,14,11,5,18,20,3,53,57,3,35,37,3,42,46,0,56,60,0,55,56,4,58,66,0,92,92,0,66,66,0,40,39,3,73,76,0,58,60,3,26,29,34,709,740
Merredin (S),55460,0,23,20,3,8,11,0,18,19,5,46,45,11,88,96,8,52,56,3,75,78,3,79,79,8,87,93,4,74,78,10,134,137,11,124,137,5,62,71,3,136,138,9,103,114,5,36,43,85,1128,1213
Kondinin (S),54620,0,3,3,0,0,0,4,8,13,4,12,15,0,25,25,3,10,11,0,19,19,0,16,17,3,21,23,0,30,30,3,30,35,0,36,41,0,13,13,0,27,27,0,26,29,0,9,9,19,294,315
Koorda (S),54690,0,8,8,0,0,0,0,4,4,0,9,9,0,10,14,0,8,7,0,17,17,0,9,9,0,13,13,0,8,8,0,23,23,0,13,14,0,10,10,0,16,16,0,16,17,0,9,9,3,167,174
Kulin (S),54760,0,3,3,0,3,3,0,8,8,0,7,7,0,19,21,0,18,20,3,23,19,0,19,24,0,30,30,0,22,22,3,29,35,0,31,32,0,13,13,0,25,25,0,31,30,0,5,5,13,289,300
Laverton (S),54970,0,0,0,3,0,3,10,0,10,3,4,9,9,10,16,6,3,13,6,5,14,9,3,13,3,3,12,8,14,18,6,21,25,0,13,19,0,3,3,4,9,11,10,9,20,0,3,5,68,108,175
Leonora (S),55040,0,0,0,0,0,0,3,6,6,5,6,7,3,10,7,4,3,13,0,7,14,7,14,13,3,18,18,0,12,18,5,49,45,5,49,52,0,11,14,5,48,52,15,17,30,4,8,11,52,261,314
Mandurah (C),55110,14,482,500,7,249,261,22,644,669,26,985,1007,54,2558,2616,52,1590,1640,72,2815,2889,41,2045,2087,60,2422,2477,55,1905,1968,74,2851,2930,73,2563,2638,32,1518,1554,70,3259,3331,89,2992,3080,16,805,820,766,29705,30475
Manjimup (S),55180,3,43,52,3,28,31,0,102,102,3,161,166,6,265,273,9,162,173,8,301,305,9,277,290,8,297,307,3,257,267,13,370,384,7,302,311,6,162,170,7,227,239,18,300,318,8,91,105,124,3353,3479
Meekatharra (S),55250,0,0,0,0,0,0,10,0,12,3,0,3,6,5,17,4,4,10,6,6,15,5,12,14,4,10,14,12,12,17,7,16,28,6,18,26,0,7,8,0,19,24,12,10,18,6,7,10,97,127,219
Melville (C),55320,5,577,580,0,288,286,18,650,665,10,809,817,22,1935,1953,10,1300,1316,23,1843,1858,17,1790,1803,30,2358,2388,4,1993,1998,22,3431,3454,21,3528,3546,29,2390,2416,64,8819,8881,32,3217,3248,10,628,638,310,35535,35846
Mukinbudin (S),55950,0,0,0,0,3,3,0,4,4,0,6,6,0,11,13,3,11,10,3,13,17,0,16,16,0,20,22,0,11,11,0,23,30,0,26,26,0,16,16,0,20,20,0,18,18,3,7,12,10,198,203
Menzies (S),55390,0,0,0,0,0,0,7,0,6,5,3,4,5,0,3,4,0,6,0,0,3,3,3,6,4,8,10,0,0,0,6,3,7,0,3,6,0,4,3,4,5,7,5,0,5,0,3,4,44,37,80
Mingenew (S),55530,0,3,3,0,0,0,0,8,4,0,0,0,0,11,9,0,0,3,0,13,15,0,16,17,0,17,17,0,13,13,0,17,21,0,16,16,0,8,8,0,9,9,3,28,26,0,5,3,12,169,180
Mundaring (S),56090,3,161,168,3,96,99,11,202,211,3,255,259,7,699,708,11,446,460,12,807,818,19,680,698,13,934,950,12,768,782,24,1377,1407,42,1432,1471,25,957,985,53,2145,2198,45,1341,1381,12,249,255,291,12556,12849
Morawa (S),55670,3,3,9,3,0,3,3,5,6,4,9,12,0,19,16,3,9,14,4,16,20,0,17,20,3,23,23,0,18,20,3,23,27,0,21,26,0,11,12,0,21,20,4,20,17,5,5,10,37,227,265
Moora (S),55600,0,7,7,4,6,7,3,17,15,5,25,29,5,48,58,0,36,40,4,54,62,5,35,42,15,72,86,3,58,70,8,118,122,14,88,102,0,56,51,3,76,77,11,66,74,9,24,25,89,780,874
Ngaanyatjarraku (S),56620,0,0,0,0,0,0,14,0,14,3,0,3,18,0,23,18,0,18,19,0,26,23,7,29,18,5,26,11,5,15,11,7,21,15,15,32,0,3,3,0,12,19,43,9,47,88,7,96,287,78,364
