lga_name_2016,lga_code_2016,m_pode_pode_nfd_mng,m_pode_pode_nfd_pro,m_pode_pode_nfd_ttw,m_pode_pode_nfd_cps,m_pode_pode_nfd_ca,m_pode_pode_nfd_sal,m_pode_pode_nfd_mod,m_pode_pode_nfd_lab,m_pode_pode_nfd_idns,m_pode_pode_nfd_tot,m_pode_doctde_mng,m_pode_doctde_pro,m_pode_doctde_ttw,m_pode_doctde_cps,m_pode_doctde_ca,m_pode_doctde_sal,m_pode_doctde_mod,m_pode_doctde_lab,m_pode_doctde_idns,m_pode_doctde_tot,m_pode_masde_mng,m_pode_masde_pro,m_pode_masde_ttw,m_pode_masde_cps,m_pode_masde_ca,m_pode_masde_sal,m_pode_masde_mod,m_pode_masde_lab,m_pode_masde_idns,m_pode_masde_tot,m_grdigrcer_grdigrcernfd_mng,m_grdigrcer_grdigrcernfd_pro,m_grdigrcer_grdigrcernfd_ttw,m_grdigrcer_grdigrcernfd_cps,m_grdigrcer_grdigrcernfd_ca,m_grdigrcer_grdigrcernfd_sal,m_grdigrcer_grdigrcernfd_mod,m_grdigrcer_grdigrcernfd_lab,m_grdigrcer_grdigrcernfd_idns,m_grdigrcer_grdigrcernfd_tot,m_grdi_grcer_grdi_mng,m_grdi_grcer_grdi_pro,m_grdi_grcer_grdi_ttw,m_grdi_grcer_grdi_cps,m_grdi_grcer_grdi_ca,m_grdi_grcer_grdi_sal,m_grdi_grcer_grdi_mod,m_grdi_grcer_grdi_lab,m_grdi_grcer_grdi_idns,m_grdi_grcer_grdi_tot,m_grdi_grcer_gradcer_mng,m_grdi_grcer_gradcer_pro,m_grdi_grcer_gradcer_ttw,m_grdi_grcer_gradcer_cps,m_grdi_grcer_gradcer_ca,m_grdi_grcer_gradcer_sal,m_grdi_grcer_gradcer_mod,m_grdi_grcer_gradcer_lab,m_grdi_grcer_gradcer_idns,m_grdi_grcer_gradcer_tot,m_bade_bade_mng,m_bade_bade_pro,m_bade_bade_ttw,m_bade_bade_cps,m_bade_bade_ca,m_bade_bade_sal,m_bade_bade_mod,m_bade_bade_lab,m_bade_bade_idns,m_bade_bade_tot,m_advdi_di_advdi_di_nfd_mng,m_advdi_di_advdi_di_nfd_pro,m_advdi_di_advdi_di_nfd_ttw,m_advdi_di_advdi_di_nfd_cps,m_advdi_di_advdi_di_nfd_ca,m_advdi_di_advdi_di_nfd_sal,m_advdi_di_advdi_di_nfd_mod,m_advdi_di_advdi_di_nfd_lab,m_advdi_di_advdi_di_nfd_idns,m_advdi_di_advdi_di_nfd_tot,m_advdi_di_advdi_asde_mng,m_advdi_di_advdi_asde_pro,m_advdi_di_advdi_asde_ttw,m_advdi_di_advdi_asde_cps,m_advdi_di_advdi_asde_ca,m_advdi_di_advdi_asde_sal,m_advdi_di_advdi_asde_mod,m_advdi_di_advdi_asde_lab,m_advdi_di_advdi_asde_idns,m_advdi_di_advdi_asde_tot,m_advdi_di_dip_mng,m_advdi_di_dip_pro,m_advdi_di_dip_ttw,m_advdi_di_dip_cps,m_advdi_di_dip_ca,m_advdi_di_dip_sal,m_advdi_di_dip_mod,m_advdi_di_dip_lab,m_advdi_di_dip_idns,m_advdi_di_dip_tot,m_cert_certiii_iv_mng,m_cert_certiii_iv_pro,m_cert_certiii_iv_ttw,m_cert_certiii_iv_cps,m_cert_certiii_iv_ca,m_cert_certiii_iv_sal,m_cert_certiii_iv_mod,m_cert_certiii_iv_lab,m_cert_certiii_iv_idns,m_cert_certiii_iv_tot,m_cert_certi_ii_mng,m_cert_certi_ii_pro,m_cert_certi_ii_ttw,m_cert_certi_ii_cps,m_cert_certi_ii_ca,m_cert_certi_ii_sal,m_cert_certi_ii_mod,m_cert_certi_ii_lab,m_cert_certi_ii_idns,m_cert_certi_ii_tot,m_cert_cert_nfd_mng,m_cert_cert_nfd_pro,m_cert_cert_nfd_ttw,m_cert_cert_nfd_cps,m_cert_cert_nfd_ca,m_cert_cert_nfd_sal,m_cert_cert_nfd_mod,m_cert_cert_nfd_lab,m_cert_cert_nfd_idns,m_cert_cert_nfd_tot,m_le_id_mng,m_le_id_pro,m_le_id_ttw,m_le_id_cps,m_le_id_ca,m_le_id_sal,m_le_id_mod,m_le_id_lab,m_le_id_idns,m_le_id_tot,m_le_ns_mng,m_le_ns_pro,m_le_ns_ttw,m_le_ns_cps,m_le_ns_ca,m_le_ns_sal,m_le_ns_mod,m_le_ns_lab,m_le_ns_idns,m_le_ns_tot,m_tot_mng,m_tot_pro,m_tot_ttw,m_tot_cps,m_tot_ca,m_tot_sal,m_tot_mod,m_tot_lab,m_tot_idns,m_tot_tot,f_pode_pode_nfd_mng,f_pode_pode_nfd_pro,f_pode_pode_nfd_ttw,f_pode_pode_nfd_cps,f_pode_pode_nfd_ca,f_pode_pode_nfd_sal,f_pode_pode_nfd_mod,f_pode_pode_nfd_lab,f_pode_pode_nfd_idns,f_pode_pode_nfd_tot,f_pode_doctde_mng,f_pode_doctde_pro,f_pode_doctde_ttw,f_pode_doctde_cps,f_pode_doctde_ca,f_pode_doctde_sal,f_pode_doctde_mod,f_pode_doctde_lab,f_pode_doctde_idns,f_pode_doctde_tot,f_pode_masde_mng,f_pode_masde_pro,f_pode_masde_ttw,f_pode_masde_cps,f_pode_masde_ca,f_pode_masde_sal,f_pode_masde_mod,f_pode_masde_lab,f_pode_masde_idns,f_pode_masde_tot,f_grdigrcer_grdigrcernfd_mng,f_grdigrcer_grdigrcernfd_pro,f_grdigrcer_grdigrcernfd_ttw,f_grdigrcer_grdigrcernfd_cps,f_grdigrcer_grdigrcernfd_ca,f_grdigrcer_grdigrcernfd_sal,f_grdigrcer_grdigrcernfd_mod,f_grdigrcer_grdigrcernfd_lab,f_grdigrcer_grdigrcernfd_idns,f_grdigrcer_grdigrcernfd_tot
Goulburn Mulwaree (A),13310,3,0,0,0,0,0,0,0,0,5,6,17,0,0,0,0,0,0,0,25,39,66,6,13,5,3,3,0,3,142,0,5,0,0,0,0,0,0,0,5,12,27,0,4,3,0,0,3,0,52,9,8,0,9,4,0,0,0,0,30,109,253,32,60,33,24,14,30,4,561,3,0,0,0,0,0,0,0,0,5,51,50,24,43,10,11,8,13,9,223,80,47,49,101,30,11,17,18,5,347,309,54,1002,218,75,93,339,229,40,2363,9,3,15,9,10,11,6,17,0,73,11,7,15,24,5,17,18,19,3,117,7,3,3,8,0,0,7,4,0,28,19,8,20,11,8,16,35,29,15,159,667,554,1171,501,187,189,451,358,76,4151,3,4,0,0,0,0,0,0,0,7,0,21,0,0,0,0,0,0,3,25,22,120,0,17,13,5,0,6,0,175,3,4,0,0,3,0,0,0,0,9
Greater Hume Shire (A),13340,0,3,0,0,0,0,0,0,0,3,3,12,0,0,0,0,0,0,0,9,13,13,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,15,0,4,0,0,0,0,0,0,0,4,73,86,5,6,12,0,0,8,4,198,0,0,0,0,0,0,0,0,0,3,38,10,6,8,0,0,5,4,0,80,43,23,13,12,4,3,13,10,3,128,217,26,351,20,23,26,95,87,12,860,10,0,10,0,3,0,6,4,0,28,19,3,4,3,0,3,4,4,3,38,4,3,3,0,0,0,0,4,0,13,31,3,11,3,0,4,13,17,4,91,450,189,399,57,46,49,142,142,23,1489,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,18,10,27,0,3,3,0,0,0,0,43,0,3,0,0,0,0,0,0,0,3
Griffith (C),13450,0,3,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,12,34,41,3,3,3,3,5,13,0,104,0,0,0,0,0,0,0,0,0,3,10,19,3,8,0,0,0,0,0,40,5,4,0,0,3,0,0,0,0,8,136,268,32,22,19,10,21,52,10,563,0,0,0,0,0,0,3,0,0,3,33,40,27,19,9,6,6,13,0,159,52,29,37,31,14,14,8,25,3,213,365,51,916,47,67,97,201,266,32,2052,15,3,3,0,0,13,7,8,0,48,14,9,10,10,4,14,11,29,0,99,3,5,7,0,0,0,6,19,0,47,30,14,20,10,4,8,25,56,20,189,696,497,1060,143,120,168,299,491,73,3547,0,4,0,0,0,0,0,0,0,4,4,7,0,0,0,0,0,0,0,14,12,54,5,4,3,3,0,11,4,97,0,3,0,0,0,0,0,0,0,4
Gundagai (A),13510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,12,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,4,56,77,5,9,4,7,0,4,0,165,0,0,0,0,0,0,0,0,0,0,32,15,4,9,3,0,3,3,0,76,24,13,13,18,3,4,3,10,0,95,135,21,306,22,21,21,98,141,9,777,10,0,0,3,3,0,3,5,0,33,11,4,4,0,3,5,9,3,0,36,0,3,0,0,0,3,0,3,0,11,22,4,11,3,0,10,16,24,11,97,305,155,349,67,35,50,133,192,23,1321,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,10,3,27,0,3,3,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0
Gunnedah (A),13550,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,6,16,27,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,3,0,0,12,0,3,0,0,0,0,0,0,0,4,80,111,12,7,8,9,7,5,6,242,0,0,0,0,0,0,0,0,0,4,30,7,10,8,0,0,4,10,0,67,40,16,17,4,0,0,4,3,7,97,173,21,418,15,22,35,236,75,18,1013,7,4,4,0,3,0,12,14,0,42,11,5,3,3,3,12,9,12,0,63,0,3,3,0,0,0,4,0,0,14,18,4,18,3,0,9,30,26,0,107,385,209,486,44,33,68,311,144,26,1710,0,3,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,28,0,5,0,0,0,3,0,50,0,0,0,0,0,0,0,0,0,0
Gwydir (A),13660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,42,29,0,0,4,0,0,3,0,85,0,0,0,0,0,0,0,0,0,0,21,4,3,0,0,3,0,4,0,41,30,0,0,5,0,0,0,3,0,40,99,4,94,3,4,4,39,48,4,304,0,0,0,0,0,0,3,8,0,12,11,0,0,0,0,0,0,4,0,22,3,0,0,0,0,0,0,0,0,3,18,0,3,3,3,0,3,10,3,46,236,49,108,19,15,14,47,74,9,563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,3
Hawkesbury (C),13800,6,3,0,0,0,0,0,0,0,4,5,53,0,0,0,0,0,0,0,57,108,196,19,10,9,3,3,9,3,358,0,8,0,0,0,0,0,0,0,6,22,57,6,4,4,0,0,0,4,97,11,20,0,3,0,0,0,0,0,39,292,593,93,91,89,49,32,42,15,1304,0,4,3,0,0,0,0,0,0,13,176,146,115,81,40,31,21,21,5,637,206,127,175,110,73,52,39,58,9,840,904,231,3499,251,221,269,766,558,131,6836,24,7,19,13,7,20,29,26,0,144,63,27,72,30,19,28,52,52,4,337,10,14,22,10,7,5,9,13,0,96,37,25,66,13,10,12,59,47,37,311,1872,1505,4094,603,483,469,1012,830,215,11086,3,8,0,0,4,0,0,0,0,16,8,61,0,0,0,0,0,3,0,78,77,361,3,12,33,6,0,3,4,504,3,15,0,3,0,0,0,0,0,18
Hay (A),13850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,19,21,0,0,3,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,0,0,0,21,11,3,3,4,0,0,0,3,0,28,35,3,83,3,5,11,31,30,8,203,3,0,0,0,0,0,0,0,0,10,3,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,3,0,4,31,97,35,92,21,11,19,44,36,10,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Penrith (C),16350,4,14,0,0,4,0,0,0,0,22,20,146,8,4,7,3,4,3,0,186,278,754,70,70,167,58,69,34,12,1512,16,22,3,3,3,5,4,0,0,55,52,134,15,23,23,14,3,6,0,266,29,53,3,16,8,3,4,0,0,117,794,2134,375,389,420,207,278,210,57,4875,4,10,3,6,3,0,3,0,0,32,332,364,257,230,154,89,140,76,26,1658,494,419,478,358,283,153,210,139,50,2586,1667,609,7611,665,901,655,2230,1473,274,16087,49,28,56,48,34,53,86,91,3,458,137,69,132,90,103,86,210,132,21,978,55,57,54,34,33,26,80,78,16,431,76,38,150,51,51,48,234,135,118,904,4013,4850,9215,1976,2190,1402,3563,2378,585,30168,4,25,0,0,4,0,0,0,0,43,15,116,3,3,10,0,0,0,0,141,179,1089,23,86,211,56,14,24,18,1697,10,47,0,3,12,7,0,0,0,72
Port Macquarie-Hastings (A),16380,0,9,0,0,0,0,0,0,0,6,14,64,0,0,0,0,0,0,0,83,95,215,18,14,19,8,3,3,4,376,3,15,0,0,0,0,0,0,0,18,23,106,8,4,0,0,3,3,3,156,13,24,0,5,0,0,0,0,0,44,282,1137,72,105,71,39,26,28,14,1779,0,4,0,0,0,0,0,0,0,7,131,169,66,57,42,34,19,25,7,548,148,151,130,125,67,69,30,36,9,751,674,189,2478,348,194,307,494,626,71,5372,9,9,25,16,14,25,27,44,0,172,45,17,29,34,12,45,36,50,3,272,11,22,15,6,8,7,3,16,0,88,42,24,67,28,17,29,51,62,41,362,1488,2154,2900,745,453,563,678,889,160,10031,0,18,0,0,0,0,0,0,0,21,3,44,0,0,3,0,0,0,0,50,60,310,4,24,16,3,0,0,3,428,0,11,0,0,4,0,0,0,0,16
Port Stephens (A),16400,0,9,0,0,0,0,0,0,0,9,14,51,0,0,0,0,0,0,0,63,89,146,10,9,15,0,5,7,6,293,0,3,0,0,0,0,0,0,0,8,28,50,7,7,3,0,0,0,0,100,12,15,3,3,7,0,0,0,0,38,245,634,91,66,73,37,21,35,11,1208,0,3,3,0,0,0,0,0,0,4,105,156,118,48,46,21,18,18,11,537,179,148,193,87,62,31,45,31,15,799,636,225,2950,293,183,168,689,506,96,5753,25,8,19,24,14,22,32,32,3,179,44,21,42,31,6,29,44,49,7,267,10,11,20,8,3,3,10,16,0,93,26,18,47,23,17,20,58,55,27,294,1416,1498,3507,610,421,339,930,750,178,9634,3,12,0,0,0,0,0,0,0,12,11,34,0,0,8,0,0,0,0,52,63,194,9,12,27,3,0,0,0,309,3,11,0,0,0,0,0,0,0,15
Queanbeyan-Palerang Regional (A),16490,0,5,0,0,0,0,0,0,0,8,52,146,5,0,9,3,0,0,3,224,391,381,27,43,108,28,14,10,31,1028,6,18,0,0,3,0,0,0,3,31,79,105,11,10,31,0,3,0,6,244,35,29,3,7,8,0,0,0,5,97,549,935,117,125,199,82,35,63,44,2148,3,0,0,0,0,0,0,6,0,16,166,154,94,80,74,30,20,23,9,651,206,181,169,122,119,53,35,38,20,951,585,183,1998,243,254,157,349,345,83,4198,8,12,19,23,16,7,11,28,0,123,42,35,22,24,24,21,16,20,3,210,19,26,9,8,10,5,11,8,4,102,29,24,42,13,19,11,30,44,29,241,2179,2244,2511,700,872,400,533,586,226,10261,3,7,0,0,4,0,0,0,0,14,43,85,0,0,19,0,0,3,3,158,229,401,10,48,86,17,0,7,22,816,9,23,0,3,5,0,0,0,0,40
Randwick (C),16550,7,39,0,0,5,0,0,0,0,54,117,986,21,3,14,3,5,7,13,1168,971,2011,112,92,261,130,60,55,64,3751,40,51,0,4,9,8,5,0,0,117,118,305,15,15,35,16,8,4,3,521,42,51,3,10,20,0,4,3,4,129,2104,5133,511,502,735,573,225,284,146,10215,6,6,8,0,0,3,3,4,0,30,335,389,216,143,112,121,58,59,23,1447,355,349,264,207,151,144,54,112,28,1657,700,294,2786,354,267,205,345,462,100,5507,21,19,17,28,15,20,20,20,3,169,70,69,75,62,57,83,39,50,5,508,60,108,54,19,19,31,22,24,14,348,67,77,73,50,30,42,49,50,78,502,5008,9890,4159,1482,1731,1378,882,1132,472,26131,15,63,0,5,9,0,0,0,0,93,80,728,8,8,29,7,0,0,7,866,734,2385,51,158,468,168,6,32,50,4047,24,81,0,4,19,3,0,3,3,142
Richmond Valley (A),16610,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,12,27,0,0,0,0,0,0,0,43,0,5,0,0,0,0,0,0,0,5,3,9,4,0,0,0,0,0,0,20,3,4,0,0,0,0,0,0,0,5,49,130,8,24,9,9,3,14,3,256,0,0,0,0,0,0,0,0,0,0,21,22,6,15,6,6,5,9,0,89,30,10,16,27,13,5,3,7,0,119,196,31,637,61,47,60,191,276,37,1544,6,0,9,3,0,10,11,30,0,66,13,6,8,8,5,5,10,25,3,89,0,0,0,0,0,0,3,4,0,15,9,6,13,7,3,13,24,38,19,130,368,256,699,149,88,109,253,406,59,2394,0,5,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,7,11,32,0,0,3,0,0,0,0,46,0,3,0,0,0,0,0,0,0,3
Rockdale (C),16650,3,19,0,0,0,0,0,0,0,29,33,224,5,6,6,0,3,0,0,288,427,1094,173,102,229,168,85,182,30,2487,14,44,4,9,7,5,10,7,0,100,44,145,12,12,19,6,4,16,4,262,16,23,4,5,11,0,3,0,3,69,1028,2629,597,383,567,431,341,573,107,6664,6,5,3,5,0,7,3,0,0,27,269,246,279,121,108,93,126,108,25,1374,325,266,413,170,160,180,136,164,25,1831,491,215,2181,245,267,198,484,419,85,4588,25,13,23,25,22,28,24,21,0,182,62,47,75,49,60,56,67,70,7,500,66,64,53,17,28,23,51,54,5,365,58,51,101,36,28,29,90,100,76,566,2863,5090,3923,1181,1522,1230,1424,1716,374,19324,0,17,0,0,3,0,0,0,0,21,19,134,3,3,14,0,0,0,0,174,289,1205,52,179,375,170,8,79,31,2380,13,40,0,6,10,3,0,0,6,81
Ryde (C),16700,7,26,4,0,3,3,0,0,0,45,81,497,6,3,14,7,3,4,0,622,847,2219,196,82,362,200,71,67,44,4090,32,53,7,4,10,8,0,0,0,112,90,214,11,12,26,12,11,5,4,388,31,47,6,3,9,3,0,0,0,100,1733,4482,680,331,755,506,213,284,144,9131,0,3,3,0,3,0,0,0,0,21,289,340,261,93,105,104,58,67,23,1344,337,348,328,135,139,125,65,103,16,1594,581,267,1931,219,247,229,280,298,67,4115,26,20,23,11,23,18,3,22,3,145,71,63,51,51,40,53,35,47,4,414,69,119,54,24,31,14,19,27,10,357,53,66,56,31,25,21,35,46,69,392,4230,8742,3620,1000,1787,1327,796,979,388,22873,8,36,0,0,3,3,0,0,0,56,33,331,7,11,16,4,0,4,0,404,546,2203,64,162,658,175,3,39,48,3894,18,77,3,8,18,3,0,0,0,130
Shellharbour (C),16900,0,8,0,0,0,0,0,0,0,8,8,45,0,0,0,0,0,0,0,58,77,138,10,8,19,6,0,4,4,274,3,6,0,0,0,0,0,0,0,10,14,69,3,3,8,0,7,0,0,105,14,11,0,0,3,0,0,0,0,29,210,612,103,95,77,47,25,39,14,1223,3,3,0,0,0,0,0,0,0,8,92,116,102,80,29,28,18,25,9,506,162,155,226,150,66,50,58,56,12,937,533,162,3050,287,204,213,874,600,103,6024,12,12,23,24,10,22,31,30,0,158,39,21,35,43,23,20,70,51,11,299,20,22,16,15,6,10,19,17,3,124,16,24,60,20,5,23,48,65,32,297,1191,1400,3629,737,448,413,1150,899,196,10061,0,13,0,0,0,0,0,0,0,19,3,26,0,0,0,0,0,0,0,31,58,233,5,16,32,8,0,0,3,356,3,13,0,0,0,0,0,0,0,13
Shoalhaven (C),16950,0,8,0,0,0,0,0,0,0,11,17,64,0,3,3,0,0,4,0,89,103,260,17,18,16,8,3,4,7,444,8,6,0,0,0,0,0,0,0,16,19,132,10,4,7,4,0,4,5,195,15,17,3,3,4,0,0,0,0,39,328,988,116,131,66,50,23,69,26,1789,4,0,4,0,0,3,0,0,0,15,179,177,133,100,41,29,26,37,13,730,187,162,214,174,77,47,37,61,18,971,906,259,3668,472,201,351,602,765,121,7337,22,16,28,35,17,33,23,52,0,229,31,30,56,49,17,29,42,70,6,340,9,23,30,8,4,15,17,14,3,128,50,30,73,26,5,30,70,84,37,413,1886,2177,4359,1027,457,585,844,1171,233,12744,0,11,0,3,3,0,0,0,0,21,6,48,0,0,3,0,0,0,0,57,90,357,4,33,34,9,0,9,3,540,0,21,0,0,4,0,0,0,0,30
Singleton (A),17000,0,4,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,12,36,53,3,0,4,0,0,3,0,105,0,3,0,0,0,0,0,0,0,3,8,15,0,0,4,0,3,0,0,32,4,8,0,0,0,0,0,0,0,15,121,222,39,24,15,8,14,5,4,450,0,0,0,0,0,0,0,0,0,0,43,39,44,15,13,4,16,7,6,181,54,44,69,19,14,4,36,4,0,258,237,58,1205,107,44,52,635,147,57,2545,6,3,17,7,0,4,19,17,0,68,17,3,15,8,4,4,25,8,3,92,10,3,4,5,0,0,6,4,0,30,10,7,15,11,0,3,40,15,9,113,558,461,1414,198,102,85,802,211,79,3915,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,13,27,63,0,0,6,0,5,0,0,104,0,3,0,0,0,0,0,0,0,4
Snowy Monaro Regional (A),17040,0,0,0,0,0,0,0,0,0,3,6,16,0,0,0,0,0,0,0,28,43,51,4,3,10,0,0,6,4,120,0,3,0,0,0,0,0,0,0,4,13,23,3,4,5,0,0,0,0,49,9,7,0,0,0,0,0,0,0,21,158,238,29,36,25,10,7,21,3,543,0,0,0,0,0,0,0,0,0,3,50,34,21,23,15,8,3,17,0,172,67,29,40,29,6,17,8,18,6,216,373,46,779,107,55,91,198,221,27,1905,15,3,12,5,3,5,7,17,0,63,25,8,9,9,3,3,12,11,0,93,9,5,5,5,3,4,0,7,0,37,30,3,24,16,3,15,33,28,15,165,804,460,938,249,131,165,280,343,62,3413,0,3,0,0,0,0,0,0,0,3,4,12,0,0,0,0,0,0,0,11,38,90,5,3,10,0,0,3,4,153,0,6,0,3,3,0,0,0,0,10
Snowy Valleys (A),17080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,19,3,0,6,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,3,11,0,0,3,0,0,0,0,20,0,0,0,0,0,0,0,3,0,10,79,113,12,11,4,3,11,32,0,269,0,0,0,0,0,0,0,0,0,0,39,15,12,6,3,7,7,4,0,91,28,15,22,17,8,0,8,12,0,106,177,40,505,34,29,16,187,113,16,1125,5,0,4,0,0,0,5,8,0,27,15,14,9,0,5,0,20,10,0,70,0,0,3,0,0,0,6,3,0,10,18,9,13,4,0,3,35,29,6,115,383,231,582,82,59,31,278,213,31,1888,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,12,29,0,0,6,0,0,0,0,48,0,3,0,0,0,0,0,0,0,9
The Hills Shire (A),17420,20,41,3,3,7,3,0,0,0,71,74,405,6,3,25,5,4,3,3,525,1327,2201,193,69,338,163,63,40,60,4465,56,87,3,0,8,3,3,0,4,165,160,247,28,18,49,18,10,6,10,542,53,50,7,10,12,3,0,3,0,140,2694,5050,587,350,851,538,222,226,163,10689,9,6,3,4,3,4,0,4,0,31,646,589,309,157,186,180,92,73,37,2256,623,525,347,193,225,209,89,91,32,2328,1548,523,3696,287,396,497,491,539,151,8125,44,25,29,23,24,38,22,23,0,227,202,112,82,57,63,109,61,70,13,773,92,126,62,11,21,41,26,27,19,422,110,96,88,27,42,49,49,42,73,577,7646,10090,5432,1208,2256,1865,1134,1143,561,31333,21,46,0,0,12,0,0,0,0,78,27,273,8,4,21,3,0,0,4,341,558,1988,66,129,497,117,3,13,47,3424,30,75,0,3,18,3,0,0,0,129
Tweed (A),17550,3,8,0,0,0,0,0,0,0,11,10,78,0,3,0,4,0,0,0,87,82,230,15,8,20,3,5,4,3,378,0,12,0,0,0,0,0,0,0,15,33,119,13,13,6,3,4,5,3,194,14,26,5,3,0,5,0,3,0,51,358,1037,122,139,114,101,47,75,23,2021,3,0,3,3,0,0,0,0,0,17,122,157,111,86,31,33,24,40,8,613,171,151,170,181,72,79,40,66,24,947,732,200,3062,332,223,274,593,739,110,6269,23,8,24,14,3,21,20,49,0,161,54,31,31,49,12,37,52,68,0,336,12,21,28,9,12,12,9,9,0,111,45,24,86,30,21,22,59,83,41,417,1662,2093,3675,883,520,581,849,1147,219,11628,6,16,0,0,3,0,0,0,0,24,4,73,0,0,0,0,0,0,0,90,59,326,6,20,41,14,0,9,3,479,10,25,0,3,3,0,0,0,0,44
Upper Hunter Shire (A),17620,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,18,19,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,7,16,4,0,0,0,0,0,0,23,3,0,0,0,0,0,0,0,0,9,64,103,17,13,5,11,8,28,5,251,0,0,0,0,0,0,0,0,0,4,43,14,16,4,0,0,9,17,0,103,29,15,27,16,7,3,12,13,4,120,193,20,594,28,20,20,271,112,25,1275,8,0,3,0,0,5,10,13,0,38,6,0,11,0,4,9,16,12,0,62,4,4,3,0,0,3,3,9,0,24,27,7,19,0,0,0,26,26,3,110,402,200,694,55,40,52,361,217,40,2067,0,3,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,5,15,33,0,3,5,0,0,0,3,52,0,3,0,0,0,0,0,0,0,3
Upper Lachlan Shire (A),17640,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,11,17,23,0,0,3,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,16,0,0,0,3,0,0,0,0,0,3,58,66,7,5,3,0,3,3,3,153,0,0,0,0,0,0,0,0,0,0,39,13,9,4,4,0,3,3,3,77,26,11,9,15,9,3,0,4,0,80,171,12,236,32,9,14,75,67,8,635,8,0,3,0,3,3,3,3,0,23,13,0,0,3,0,3,0,3,0,32,5,3,3,0,0,0,0,0,0,10,19,0,16,0,4,0,9,11,6,61,369,133,287,73,38,28,95,105,21,1151,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,8,5,19,0,0,5,0,0,0,0,35,0,0,0,0,0,0,0,0,0,3
Uralla (A),17650,0,0,0,0,0,0,0,0,0,4,5,17,0,0,0,0,0,0,0,26,11,10,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,6,12,3,4,3,0,0,0,0,27,0,0,0,0,0,0,0,0,0,3,30,67,6,7,10,6,0,3,0,134,0,0,0,0,0,0,0,0,0,0,19,11,3,7,3,0,0,9,0,52,17,7,11,3,6,0,0,7,0,51,104,16,190,15,12,23,35,70,10,464,6,0,3,0,0,3,0,3,0,20,4,0,4,4,3,4,0,3,0,21,4,0,0,0,0,0,0,0,0,3,17,0,8,0,0,3,5,9,3,46,214,147,238,42,28,37,47,105,16,880,0,0,0,0,0,0,0,0,0,3,3,17,0,0,0,0,0,0,0,20,6,24,0,3,5,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0
