lga_name_2016,lga_code_2016,med_ag_pe_in_pe_hh_in_p,me_ag_ps_n_in_ps_ot_hh,med_age_psns_tot,me_p_in_wk_in_ps_hh_in_ps,me_ps_in_wk_no_in_ps_ot_hh,med_psnl_inc_wk_tot,me_hh_in_wk_in_ps_hh_in_ps,me_hh_in_wk_no_in_ps_ot_hh,med_hhd_inc_wk_tot,me_mo_re_mt_in_ps_hh_in_ps,me_mo_re_mt_no_in_ps_ot_hh,med_mort_repay_mth_tot,me_re_wk_in_ps_hh_ind_psns,me_re_wk_no_in_psns_oth_hh,med_rent_wk_tot,av_n_p_pe_be_in_ps_hh_w_in_p,av_nu_ps_pe_be_no_in_ps_ot_hh,avg_nu_psns_per_bed_tot,av_hh_si_in_ps_hh_wi_ind_psns,avg_hh_si_no_ind_psn_othr_hhd,avg_household_size_tot,p_d_n_x_b_in_ps_hh_w_in_p,p_d_n_x_b_no_in_p_oth_hh,p_d_n_x_b_tot
Oberon (A),16100,22,45,45,366,619,611,1125,1244,1239,1500,1430,1452,250,210,210,0.9,0.7,0.7,2.9,2.4,2.4,6.6,2.1,2.3
Orange (C),16150,20,38,37,475,679,667,1169,1307,1295,1538,1640,1629,250,275,270,1.0,0.7,0.8,3.1,2.4,2.5,7.7,1.5,1.9
Parkes (A),16200,21,43,41,403,574,554,922,1113,1088,1213,1300,1300,200,200,200,1.0,0.7,0.8,3.1,2.4,2.4,8.9,1.7,2.6
Parramatta (C),16260,28,34,34,598,723,722,1532,1761,1759,2275,2167,2167,390,440,440,1.0,1.0,1.0,2.8,2.8,2.8,9.4,8.3,8.3
Burwood (A),11300,30,33,33,697,552,552,2024,1567,1569,1560,2200,2200,450,500,500,1.0,1.1,1.1,2.9,2.9,2.9,8.0,14.6,14.6
Byron (A),11350,26,45,44,476,598,596,1236,1147,1149,1733,1733,1733,400,400,400,1.0,0.8,0.8,3.1,2.4,2.4,10.4,3.4,3.6
Cabonne (A),11400,18,43,43,498,636,631,1300,1301,1301,1517,1517,1517,200,180,180,1.0,0.8,0.8,3.3,2.6,2.6,3.6,1.8,1.9
Camden (A),11450,20,33,33,716,824,821,2154,2043,2047,2383,2210,2220,460,460,460,0.9,0.8,0.8,3.6,3.1,3.1,4.8,1.9,2.0
Campbelltown (C) (NSW),11500,20,35,34,498,637,632,1359,1465,1459,1950,1842,1842,320,350,350,1.0,0.9,0.9,3.4,2.9,3.0,10.2,5.5,5.8
Canada Bay (A),11520,28,36,36,814,882,882,1958,2062,2061,2600,2500,2500,510,570,565,1.1,1.0,1.0,2.9,2.6,2.6,12.3,6.8,6.8
Canterbury-Bankstown (A),11570,25,35,35,507,502,502,1366,1297,1298,2123,2000,2000,370,380,380,1.1,1.1,1.1,3.0,3.0,3.0,12.6,11.7,11.7
Carrathool (A),11600,23,41,40,540,690,681,1067,1272,1240,867,867,867,150,100,105,0.8,0.7,0.8,2.8,2.4,2.4,4.6,2.0,2.3
Central Coast (C) (NSW),11650,21,43,42,491,604,600,1315,1255,1258,1759,1750,1750,350,350,350,1.0,0.8,0.8,3.3,2.5,2.5,8.3,2.3,2.6
Central Darling (A),11700,28,48,39,367,578,460,903,900,901,377,758,575,120,18,100,0.9,0.7,0.8,3.0,2.0,2.4,12.2,1.7,5.8
Cessnock (C),11720,22,40,38,468,546,540,1224,1172,1177,1517,1517,1517,290,280,280,1.0,0.8,0.8,3.2,2.5,2.6,9.4,3.1,3.7
Clarence Valley (A),11730,22,50,49,413,481,477,983,905,910,1300,1300,1300,250,255,255,1.0,0.7,0.8,3.1,2.3,2.3,10.2,2.2,2.8
Cobar (A),11750,24,38,36,455,758,706,1134,1610,1495,1300,1300,1300,165,156,160,0.9,0.7,0.7,3.0,2.3,2.4,6.3,1.8,2.6
Coffs Harbour (C),11800,22,45,44,447,573,566,1126,1105,1107,1690,1600,1603,300,310,305,1.0,0.8,0.8,3.2,2.4,2.4,10.8,2.8,3.3
Coolamon (A),12000,16,45,44,515,595,594,1062,1171,1169,1215,1083,1083,193,150,150,0.9,0.8,0.8,3.4,2.5,2.5,0.0,1.7,1.8
Coonamble (A),12150,23,49,43,418,584,519,863,1036,976,823,897,867,175,100,150,0.9,0.7,0.7,3.0,2.1,2.4,9.3,1.2,3.8
Cowra (A),12350,24,48,47,425,519,509,894,968,959,1170,1138,1148,175,185,185,0.9,0.7,0.7,2.9,2.2,2.3,4.6,1.6,1.9
Cumberland (A),12380,27,33,32,478,502,501,1165,1381,1379,2000,2000,2000,350,400,400,1.0,1.1,1.1,3.0,3.2,3.2,10.6,14.9,14.8
Dungog (A),12700,19,46,45,430,587,578,1283,1222,1226,1900,1647,1662,250,240,245,1.0,0.8,0.8,3.5,2.5,2.5,9.6,2.6,3.0
Edward River (A),12730,21,46,45,454,602,595,791,1091,1080,930,1083,1083,190,185,185,0.9,0.7,0.7,2.8,2.3,2.3,7.4,1.4,1.7
Eurobodalla (A),12750,22,55,54,404,520,512,943,939,939,1517,1400,1400,250,260,255,1.0,0.7,0.7,3.1,2.1,2.2,10.8,1.6,2.2
Fairfield (C),12850,23,37,36,477,439,439,1210,1222,1222,1758,1800,1800,340,350,350,1.1,1.1,1.1,3.3,3.3,3.3,12.5,13.3,13.3
Federation (A),12870,22,50,49,466,560,559,1105,1014,1017,1250,1300,1300,215,200,200,1.0,0.7,0.7,3.1,2.2,2.3,5.0,1.3,1.4
Forbes (A),12900,21,45,42,464,584,571,1032,1075,1069,1083,1154,1148,180,175,180,0.9,0.7,0.8,3.0,2.3,2.4,4.6,1.8,2.2
Georges River (A),12930,25,37,37,643,640,640,1717,1653,1654,2477,2167,2167,435,450,450,1.0,1.0,1.0,3.2,2.9,2.9,12.7,9.2,9.3
Gilgandra (A),12950,23,48,45,415,559,537,888,1023,998,1083,1083,1083,175,150,160,1.0,0.7,0.8,2.9,2.3,2.4,9.4,1.4,2.6
Glen Innes Severn (A),13010,25,49,47,406,481,478,803,842,838,1083,1083,1083,200,200,200,0.9,0.7,0.7,2.8,2.2,2.2,5.8,1.8,2.1
Goulburn Mulwaree (A),13310,24,43,42,483,630,625,1202,1196,1196,1733,1517,1517,250,260,260,0.9,0.7,0.8,3.1,2.4,2.4,7.6,2.2,2.4
Greater Hume Shire (A),13340,15,44,44,437,604,600,1091,1171,1168,1300,1207,1213,200,170,180,1.1,0.8,0.8,3.5,2.5,2.5,11.4,1.9,2.2
Griffith (C),13450,22,38,37,483,683,674,1037,1348,1331,1517,1484,1495,200,220,220,0.9,0.8,0.8,2.9,2.7,2.7,8.0,4.2,4.5
Gundagai (A),13510,24,48,47,486,542,539,1069,958,964,1083,1126,1107,187,180,180,0.8,0.7,0.7,2.8,2.3,2.3,4.5,1.3,1.5
Gunnedah (A),13550,21,43,40,478,640,618,1067,1295,1253,1300,1500,1473,250,240,240,1.0,0.7,0.8,3.0,2.3,2.5,7.4,1.2,2.1
Gwydir (A),13660,20,49,48,441,492,489,1042,899,910,1083,975,981,168,110,120,1.0,0.7,0.8,3.0,2.3,2.3,12.6,1.5,2.3
Hawkesbury (C),13800,21,38,38,551,734,728,1704,1666,1668,2167,2061,2080,370,360,360,1.0,0.8,0.8,3.4,2.8,2.8,8.1,2.7,3.0
Hay (A),13850,22,47,46,431,596,587,900,1087,1075,867,1000,982,170,145,150,0.8,0.7,0.7,2.8,2.2,2.3,5.3,0.7,1.1
Penrith (C),16350,22,35,34,590,732,728,1588,1662,1658,2045,2000,2000,360,370,370,1.0,0.8,0.8,3.3,2.8,2.9,8.0,3.7,4.0
Port Macquarie-Hastings (A),16380,22,49,48,473,543,540,1156,1037,1042,1658,1673,1671,320,310,310,1.0,0.7,0.8,3.1,2.3,2.3,7.8,1.7,2.0
Port Stephens (A),16400,21,46,45,483,575,571,1247,1175,1180,1663,1733,1733,300,310,305,1.0,0.7,0.8,3.3,2.4,2.5,6.6,1.8,2.0
Queanbeyan-Palerang Regional (A),16490,22,39,38,659,941,933,1552,1895,1882,2167,2080,2100,290,300,300,1.0,0.8,0.8,3.0,2.5,2.6,6.6,2.4,2.6
Randwick (C),16550,26,34,34,544,839,834,1386,1926,1916,2500,2600,2600,353,550,550,1.1,1.0,1.0,2.8,2.5,2.5,11.0,7.3,7.4
Richmond Valley (A),16610,20,46,44,425,494,491,1043,946,953,1300,1300,1300,240,250,250,1.0,0.8,0.8,3.3,2.3,2.4,10.5,2.4,3.1
Rockdale (C),16650,28,36,35,809,665,666,1930,1571,1575,2200,2167,2167,473,460,460,1.1,1.1,1.1,2.8,2.7,2.7,12.7,10.6,10.7
Ryde (C),16700,26,36,36,580,738,738,1894,1785,1786,2275,2200,2200,420,460,460,1.0,1.0,1.0,2.8,2.7,2.7,4.1,6.9,6.9
Shellharbour (C),16900,20,40,39,465,584,579,1385,1341,1343,1950,1842,1846,320,345,340,1.0,0.8,0.8,3.4,2.7,2.7,8.3,2.6,2.8
Shoalhaven (C),16950,22,50,48,436,517,511,1068,988,992,1524,1517,1517,270,280,280,1.0,0.7,0.7,3.1,2.3,2.3,7.4,1.6,2.0
Singleton (A),17000,21,37,36,528,693,684,1461,1701,1682,1993,1930,1950,260,280,280,1.0,0.8,0.8,3.2,2.6,2.7,8.5,1.8,2.3
Snowy Monaro Regional (A),17040,29,44,43,589,677,675,1237,1198,1200,1463,1300,1300,245,220,220,0.9,0.8,0.8,2.7,2.3,2.3,5.4,2.0,2.1
Snowy Valleys (A),17080,23,46,45,411,587,577,919,1132,1120,1192,1300,1300,180,184,180,0.9,0.7,0.8,2.9,2.3,2.3,7.5,2.0,2.3
The Hills Shire (A),17420,22,38,38,675,828,827,2565,2361,2363,2600,2500,2500,550,565,562,0.9,0.8,0.8,3.6,3.2,3.2,2.7,2.1,2.1
Tweed (A),17550,23,48,47,477,541,539,1276,1055,1064,1855,1733,1733,340,335,340,1.0,0.8,0.8,3.2,2.3,2.4,8.9,2.3,2.6
Upper Hunter Shire (A),17620,20,42,41,483,637,630,1208,1245,1242,1517,1695,1688,220,220,220,0.9,0.7,0.8,3.0,2.4,2.4,4.8,1.4,1.7
Upper Lachlan Shire (A),17640,24,48,48,624,609,609,1281,1157,1161,1350,1404,1400,240,180,190,0.9,0.7,0.7,3.0,2.4,2.4,0.0,2.0,2.0
Uralla (A),17650,24,47,46,473,558,552,900,1078,1058,1404,1343,1346,200,190,190,0.9,0.7,0.8,3.0,2.4,2.4,5.7,1.6,1.9
Wagga Wagga (C),17750,20,36,35,482,706,696,1112,1373,1354,1560,1517,1517,249,270,265,0.9,0.7,0.8,3.0,2.5,2.5,6.3,1.9,2.2
Walcha (A),17850,25,49,48,372,589,577,887,1068,1054,1083,1083,1083,180,135,148,0.8,0.7,0.7,2.7,2.2,2.3,4.9,1.0,1.3
Walgett (A),17900,27,49,43,376,494,464,777,824,806,737,754,750,170,56,145,1.0,0.8,0.9,2.9,2.0,2.3,10.0,2.7,4.8
Warren (A),17950,23,46,43,386,705,649,860,1148,1104,867,911,899,150,125,144,0.9,0.7,0.7,2.9,2.3,2.4,9.7,1.8,3.1
Warrumbungle Shire (A),18020,22,51,49,405,486,479,812,886,878,1040,900,923,175,150,160,0.9,0.7,0.7,3.0,2.2,2.3,5.9,1.6,2.1
Waverley (A),18050,31,35,35,949,1152,1151,2212,2309,2308,3250,3000,3000,650,622,622,1.2,1.0,1.0,2.5,2.4,2.4,9.6,5.4,5.4
Weddin (A),18100,27,51,51,438,494,492,1031,895,904,1029,894,910,165,135,135,0.9,0.7,0.7,2.8,2.2,2.2,7.0,1.2,1.4
Wentworth (A),18200,26,46,44,327,587,555,744,1093,1052,901,1200,1200,175,160,160,1.0,0.8,0.8,3.0,2.4,2.4,12.2,2.1,3.1
Western Plains Regional (A),18230,22,41,37,473,689,660,1148,1301,1272,1387,1500,1500,245,250,250,1.0,0.7,0.8,3.1,2.4,2.5,7.9,1.7,2.7
Willoughby (C),18250,31,37,37,912,946,946,2031,2272,2271,3478,2877,2877,540,580,580,1.0,1.0,1.0,2.7,2.7,2.7,9.9,7.6,7.6
Wingecarribee (A),18350,22,47,47,495,648,645,1412,1333,1335,1950,1842,1842,320,350,350,1.0,0.7,0.7,3.2,2.4,2.4,6.7,1.8,1.9
Wollondilly (A),18400,20,38,37,614,742,738,1877,1871,1871,1950,2167,2167,375,360,365,0.9,0.8,0.8,3.5,3.0,3.0,5.1,2.4,2.6
Wollongong (C),18450,22,39,39,472,587,584,1266,1342,1339,1991,1950,1950,290,325,320,1.0,0.8,0.9,3.1,2.5,2.6,9.5,3.4,3.7
Woollahra (A),18500,24,39,39,827,1367,1365,2150,2691,2687,4333,3200,3200,602,650,650,1.1,0.9,0.9,2.5,2.3,2.3,13.3,2.9,2.9
Yass Valley (A),18710,21,42,42,570,876,869,1687,1886,1879,2000,2000,2000,257,300,300,1.0,0.8,0.8,3.1,2.7,2.7,6.7,1.9,2.0
Unincorporated NSW,19399,26,42,41,604,725,717,1312,1272,1270,717,1179,1083,120,100,110,0.7,0.8,0.8,2.0,2.4,2.5,0.0,3.3,3.1
No usual address (NSW),19499,34,39,39,317,415,405,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Migratory - Offshore - Shipping (NSW),19799,36,60,58,350,545,540,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alpine (S),20110,18,49,49,433,563,562,1104,1000,1002,1300,1300,1300,208,200,200,1.0,0.7,0.7,2.8,2.2,2.2,0.0,1.7,1.8
Ararat (RC),20260,30,46,46,425,558,556,900,993,991,889,1040,1022,175,185,185,0.9,0.7,0.7,2.9,2.2,2.3,9.6,2.0,2.1
Ballarat (C),20570,20,38,38,435,593,590,1006,1164,1160,1300,1354,1350,235,250,250,0.9,0.8,0.8,3.0,2.4,2.4,7.8,1.8,1.9
Banyule (C),20660,25,39,39,498,730,728,1203,1659,1655,1800,1950,1950,309,350,350,1.0,0.8,0.8,2.8,2.6,2.6,6.7,2.4,2.4
Bass Coast (S),20740,20,50,50,395,508,507,1058,921,922,1733,1310,1315,250,250,250,0.9,0.7,0.7,3.1,2.2,2.2,8.9,1.4,1.5
Baw Baw (S),20830,20,43,42,391,586,585,1189,1196,1196,1235,1473,1465,225,251,250,1.0,0.8,0.8,3.2,2.5,2.5,8.4,1.8,1.9
Bayside (C),20910,33,44,44,687,898,897,2139,2145,2145,2500,2500,2500,286,450,450,1.0,0.8,0.8,2.7,2.6,2.6,0.0,1.3,1.3
Benalla (RC),21010,21,50,49,376,541,537,771,949,946,1155,1192,1192,200,200,200,1.0,0.7,0.7,3.0,2.2,2.2,7.6,1.5,1.6
Boroondara (C),21110,26,38,38,548,870,869,1933,2083,2083,3500,2500,2500,400,406,406,1.0,0.9,0.9,2.7,2.6,2.6,9.3,3.0,3.0
Brimbank (C),21180,24,35,35,486,487,487,1314,1263,1263,1700,1596,1599,300,300,300,1.0,0.9,0.9,3.3,3.0,3.0,12.8,8.2,8.2
Buloke (S),21270,18,51,51,377,474,473,746,842,839,553,693,693,160,120,120,0.8,0.7,0.7,2.2,2.2,2.2,0.0,1.5,1.6
Campaspe (S),21370,23,46,45,424,565,561,884,1089,1081,1300,1300,1300,200,200,200,1.0,0.8,0.8,3.0,2.4,2.4,7.9,1.8,2.0
Cardinia (S),21450,21,34,34,577,680,680,1530,1496,1497,1799,1733,1733,320,320,320,1.0,0.8,0.8,3.4,2.8,2.8,6.5,2.2,2.3
Casey (C),21610,22,34,34,536,641,640,1420,1556,1554,1733,1733,1733,330,340,340,1.0,0.9,0.9,3.3,3.1,3.1,7.9,4.4,4.4
Central Goldfields (S),21670,24,51,50,412,452,452,811,774,775,1300,955,975,200,195,195,1.0,0.7,0.7,2.7,2.2,2.2,6.9,2.2,2.3
Colac-Otway (S),21750,24,45,45,456,576,574,953,1059,1057,1300,1300,1300,220,210,210,0.9,0.8,0.8,2.6,2.3,2.3,6.4,2.0,2.1
Corangamite (S),21830,20,46,46,459,543,542,985,1044,1043,904,1083,1083,180,170,170,1.1,0.7,0.7,3.0,2.4,2.4,11.1,2.0,2.1
Darebin (C),21890,26,36,36,474,652,650,1261,1425,1423,2102,1950,1950,320,340,339,1.0,0.9,0.9,2.7,2.5,2.5,9.3,5.4,5.5
East Gippsland (S),22110,22,51,50,404,509,506,873,937,935,1300,1280,1293,200,220,220,1.0,0.7,0.7,2.9,2.2,2.2,6.6,1.5,1.7
Frankston (C),22170,25,38,38,509,661,660,1301,1332,1331,1517,1625,1621,300,306,306,0.9,0.8,0.8,3.0,2.5,2.5,6.8,2.4,2.4
Gannawarra (S),22250,21,50,49,423,499,498,933,908,908,831,981,977,170,150,150,0.9,0.7,0.7,2.9,2.2,2.2,4.5,1.3,1.4
Greater Shepparton (C),22830,22,40,39,450,593,588,948,1172,1163,1354,1300,1300,211,220,220,1.0,0.8,0.8,3.0,2.5,2.5,7.8,3.4,3.5
Hepburn (S),22910,24,50,50,438,533,532,1077,994,996,1050,1300,1300,200,235,235,0.9,0.8,0.8,2.6,2.2,2.2,5.0,2.1,2.2
Hindmarsh (S),22980,36,50,50,433,498,497,949,906,907,880,780,780,148,140,140,1.0,0.7,0.7,2.7,2.2,2.2,0.0,1.7,1.8
Hobsons Bay (C),23110,26,38,38,516,705,704,1484,1568,1567,1842,1900,1900,321,330,330,1.0,0.9,0.9,2.9,2.6,2.6,5.8,3.8,3.8
Horsham (RC),23190,19,42,42,452,619,617,871,1116,1110,1143,1200,1200,190,200,200,0.9,0.7,0.7,2.8,2.3,2.3,5.6,1.3,1.3
Hume (C),23270,22,33,33,517,529,529,1427,1378,1379,1623,1650,1650,305,320,320,1.0,0.9,0.9,3.3,3.1,3.1,12.0,6.6,6.7
Indigo (S),23350,24,46,46,462,643,641,1156,1266,1265,1196,1408,1400,228,210,210,0.9,0.8,0.8,2.9,2.4,2.4,4.2,1.5,1.5
Kingston (C) (Vic.),23430,28,40,40,569,704,704,1530,1537,1537,2000,1993,1993,350,351,351,1.0,0.9,0.9,2.8,2.5,2.5,6.6,2.8,2.9
Knox (C),23670,22,39,39,516,665,664,1512,1562,1561,1600,1733,1733,356,351,351,1.0,0.8,0.8,3.3,2.7,2.7,7.9,2.2,2.2
Latrobe (C) (Vic.),23810,21,41,41,409,546,544,919,1082,1078,1174,1200,1200,193,200,200,1.0,0.8,0.8,3.0,2.3,2.3,8.8,1.8,2.0
