lga_name_2016,lga_code_2016,d_5_9_fpet_mptlf,d_5_9_fpet_mpnlf,d_5_9_fpet_mplfsns,d_5_9_fpet_t,d_5_9_fpulftw_mpeft,d_5_9_fpulftw_mpept,d_5_9_fpulftw_mp_eaw,d_5_9_fpulftw_mp_e_hns,d_5_9_fpulftw_mpet,d_5_9_fpulftw_mpulftw,d_5_9_fpulftw_mpulptw,d_5_9_fpulftw_mput,d_5_9_fpulftw_mptlf,d_5_9_fpulftw_mpnlf,d_5_9_fpulftw_mplfsns,d_5_9_fpulftw_t,d_5_9_fpulptw_mpeft,d_5_9_fpulptw_mpept,d_5_9_fpulptw_mpeaw,d_5_9_fpulptw_mp_e_hns,d_5_9_fpulptw_mpet,d_5_9_fpulptw_mpulftw,d_5_9_fpulptw_mpulptw,d_5_9_fpulptw_mput,d_5_9_fpulptw_mptlf,d_5_9_fpulptw_mpnlf,d_5_9_fpulptw_mplfsns,d_5_9_fpulptw_t,d_5_9_fput_mpeft,d_5_9_fput_mpept,d_5_9_fput_mpeaw,d_5_9_fput_mpehns,d_5_9_fput_mpet,d_5_9_fput_mpulftw,d_5_9_fput_mpulptw,d_5_9_fput_mput,d_5_9_fput_mptlf,d_5_9_fput_mpnlf,d_5_9_fput_mplfsns,d_5_9_fput_t,d_5_9_fptlf_mpeft,d_5_9_fptlf_mpept,d_5_9_fptlf_mpeaw,d_5_9_fptlf_mpehns,d_5_9_fptlf_mpet,d_5_9_fptlf_mpulftw,d_5_9_fptlf_mpulptw,d_5_9_fptlf_mput,d_5_9_fptlf_mptlf,d_5_9_fptlf_mpnlf,d_5_9_fptlf_mplfsns,d_5_9_fptlf_t,d_5_9_fpnlf_mpeft,d_5_9_fpnlf_mpept,d_5_9_fpnlf_mpeaw,d_5_9_fpnlf_mpehns,d_5_9_fpnlf_mpet,d_5_9_fpnlf_mpulftw,d_5_9_fpnlf_mpulptw,d_5_9_fpnlf_mput,d_5_9_fpnlf_mptlf,d_5_9_fpnlf_mpnlf,d_5_9_fpnlf_mplfsns,d_5_9_fpnlf_t,d_5_9_fplfsns_mpeft,d_5_9_fplfsns_mpept,d_5_9_fplfsns_mpeaw,d_5_9_fplfsns_mpehns,d_5_9_fplfsns_mpet,d_5_9_fplfsns_mpulftw,d_5_9_fplfsns_mpulptw,d_5_9_fplfsns_mput,d_5_9_fplfsns_mptlf,d_5_9_fplfsns_mpnlf,d_5_9_fplfsns_mplfsns,d_5_9_fplfsns_t,d_5_9_fpt_mpeft,d_5_9_fpt_mpept,d_5_9_fpt_mpeaw,d_5_9_fpt_mpehns,d_5_9_fpt_mpet,d_5_9_fpt_mpulftw,d_5_9_fpt_mpulptw,d_5_9_fpt_mput,d_5_9_fpt_mptlf,d_5_9_fpt_mpnlf,d_5_9_fpt_mplfsns,d_5_9_fpt_t,d_10_12_fpeft_mpeft,d_10_12_fpeft_mpept,d_10_12_fpeft_mpeaw,d_10_12_fpeft_mpehns,d_10_12_fpeft_mpet,d_10_12_fpeft_mpulftw,d_10_12_fpeft_mpulptw,d_10_12_fpeft_mput,d_10_12_fpeft_mptlf,d_10_12_fpeft_mpnlf,d_10_12_fpeft_mplfsns,d_10_12_fpeft_t,d_10_12_fpept_mpeft,d_10_12_fpept_mpept,d_10_12_fpept_mpeaw,d_10_12_fpept_mpehns,d_10_12_fpept_mpet,d_10_12_fpept_mpulftw,d_10_12_fpept_mpulptw,d_10_12_fpept_mput,d_10_12_fpept_mptlf,d_10_12_fpept_mpnlf,d_10_12_fpept_mplfsns,d_10_12_fpept_t,d_10_12_fpeaw_mpeft,d_10_12_fpeaw_mpept,d_10_12_fpeaw_mpeaw,d_10_12_fpeaw_mpehns,d_10_12_fpeaw_mpet,d_10_12_fpeaw_mpulftw,d_10_12_fpeaw_mpulptw,d_10_12_fpeaw_mput,d_10_12_fpeaw_mptlf,d_10_12_fpeaw_mpnlf,d_10_12_fpeaw_mplfsns,d_10_12_fpeaw_t,d_10_12_fphns_mpeft,d_10_12_fphns_mpept,d_10_12_fphns_mpeaw,d_10_12_fphns_mpehns,d_10_12_fphns_mpet,d_10_12_fphns_mpulftw,d_10_12_fphns_mpulptw,d_10_12_fphns_mput,d_10_12_fphns_mptlf,d_10_12_fphns_mpnlf,d_10_12_fphns_mplfsns,d_10_12_fphns_t,d_10_12_fpet_mpeft,d_10_12_fpet_mpept,d_10_12_fpet_mpeaw,d_10_12_fpet_mpehns,d_10_12_fpet_mpet,d_10_12_fpet_mpulftw,d_10_12_fpet_mpulptw,d_10_12_fpet_mput,d_10_12_fpet_mptlf,d_10_12_fpet_mpnlf,d_10_12_fpet_mplfsns,d_10_12_fpet_t,d_10_12_fpulftw_mpeft,d_10_12_fpulftw_mpept,d_10_12_fpulftw_mpeaw,d_10_12_fpulftw_mpehns,d_10_12_fpulftw_mpet,d_10_12_fpulftw_mpulftw,d_10_12_fpulftw_mpulptw,d_10_12_fpulftw_mput,d_10_12_fpulftw_mptlf,d_10_12_fpulftw_mpnlf,d_10_12_fpulftw_mplfsns,d_10_12_fpulftw_t,d_10_12_fpulptw_mpeft,d_10_12_fpulptw_mpept,d_10_12_fpulptw_mpeaw,d_10_12_fpulptw_mpehns,d_10_12_fpulptw_mpet,d_10_12_fpulptw_mpulftw,d_10_12_fpulptw_mpulptw,d_10_12_fpulptw_mput,d_10_12_fpulptw_mptlf,d_10_12_fpulptw_mpnlf,d_10_12_fpulptw_mplfsns,d_10_12_fpulptw_t,d_10_12_fput_mpeft,d_10_12_fput_mpept,d_10_12_fput_mpeaw,d_10_12_fput_mpehns,d_10_12_fput_mpet,d_10_12_fput_mpulftw,d_10_12_fput_mpulptw,d_10_12_fput_mput,d_10_12_fput_mptlf,d_10_12_fput_mpnlf,d_10_12_fput_mplfsns,d_10_12_fput_t,d_10_12_fptlf_mpeft,d_10_12_fptlf_mpept,d_10_12_fptlf_mpeaw,d_10_12_fptlf_mpehns,d_10_12_fptlf_mpet,d_10_12_fptlf_mpulftw,d_10_12_fptlf_mpulptw,d_10_12_fptlf_mput,d_10_12_fptlf_mptlf,d_10_12_fptlf_mpnlf,d_10_12_fptlf_mplfsns,d_10_12_fptlf_t,d_10_12_fpnlf_mpeft,d_10_12_fpnlf_mpept,d_10_12_fpnlf_mpeaw,d_10_12_fpnlf_mpehns
Cook (S),32500,100,3,0,106,6,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,0,0,9,0,0,9,82,25,0,3,110,0,0,0,110,3,0,109,24,10,3,0,29,5,0,5,34,7,0,43,0,0,0,0,0,0,0,0,0,0,0,0,102,33,3,3,135,5,0,5,139,14,0,156,25,6,0,0,27,0,0,0,27,0,0,31,21,5,0,0,32,0,0,0,32,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,49,10,0,0,57,0,0,0,57,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,10,0,0,59,0,0,0,59,0,0,59,6,3,0,0
Weipa (T),37300,211,4,0,216,4,0,0,0,4,0,0,0,4,0,0,4,3,0,0,0,3,0,3,3,6,0,0,6,7,0,0,0,6,0,3,3,6,0,0,6,198,8,3,4,217,0,3,3,219,4,0,219,46,0,5,0,55,0,0,0,55,5,3,57,0,0,0,0,0,0,0,0,0,0,0,0,249,11,7,4,271,0,3,3,272,7,3,279,64,0,0,0,69,0,0,0,69,3,0,71,29,0,0,0,35,0,0,0,35,0,0,35,3,0,4,0,3,0,0,0,3,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,97,4,7,3,112,0,0,0,112,3,0,118,0,0,0,0,0,3,0,3,3,0,0,3,0,5,0,0,8,0,0,0,8,0,0,8,0,5,0,0,8,3,0,3,6,0,0,6,101,10,7,6,114,3,0,3,122,3,0,126,20,0,0,0
Western Downs (R),37310,1123,38,0,1161,15,0,3,0,20,11,0,11,24,7,0,30,13,3,0,0,21,3,0,3,22,3,0,24,30,3,3,0,38,10,0,10,49,4,0,52,1007,93,26,19,1143,22,0,27,1170,46,0,1214,378,29,14,11,428,22,0,23,456,77,3,535,0,4,0,0,5,0,0,0,5,0,3,5,1387,127,39,27,1582,49,4,49,1634,122,9,1758,246,18,6,0,269,5,0,5,275,7,0,276,304,24,8,3,338,3,0,3,339,24,0,362,7,4,5,0,20,0,0,0,19,0,0,19,7,0,0,4,9,0,0,0,9,0,0,14,560,52,19,4,632,8,0,8,648,27,0,675,16,0,0,0,16,6,0,6,23,0,0,23,7,0,0,0,12,0,0,0,12,0,0,12,25,0,0,0,27,4,0,4,34,0,0,34,584,53,19,8,666,19,0,19,684,27,0,712,135,11,8,0
Whitsunday (R),37340,948,33,5,985,11,0,0,0,18,7,0,7,24,0,0,24,19,0,3,0,28,3,3,4,26,0,0,32,36,3,3,0,39,8,3,14,48,0,0,52,829,95,27,21,973,25,3,30,1000,33,5,1036,184,39,4,8,230,11,3,16,251,33,0,285,8,0,0,0,9,0,0,0,9,0,0,5,1019,129,29,31,1213,41,10,48,1259,64,10,1330,226,29,0,6,266,10,0,10,276,3,0,275,232,25,4,3,265,5,0,5,274,5,0,280,3,0,8,0,7,0,0,0,7,0,0,7,3,0,0,0,6,0,0,0,6,0,0,6,463,56,13,4,546,17,0,17,565,11,0,574,9,4,0,0,13,0,0,0,12,0,0,17,8,3,0,0,13,0,0,0,13,0,0,13,23,6,0,0,25,0,0,0,29,0,0,27,487,61,13,4,570,20,0,20,591,11,3,602,77,14,3,3
Clare and Gilbert Valleys (DC),41140,299,0,0,306,0,0,0,0,0,3,0,3,8,0,0,8,6,0,0,0,6,0,0,0,5,0,0,7,9,0,0,0,9,3,0,4,10,0,0,11,257,41,14,3,308,8,0,6,316,4,0,318,69,9,3,0,82,0,3,5,83,6,0,89,0,0,0,0,0,0,0,0,0,0,3,3,323,48,11,3,392,5,3,8,400,8,3,412,55,13,0,0,70,0,0,0,70,3,0,71,111,6,0,0,120,0,0,0,122,0,0,122,3,0,5,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,168,19,3,0,195,0,0,0,198,0,0,202,0,0,0,0,0,3,0,3,5,3,0,5,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,3,3,0,0,3,3,0,7,172,19,3,0,198,5,0,3,204,6,0,208,24,4,4,3
Fraser Coast (R),33220,2043,190,7,2234,29,15,0,0,53,23,3,29,78,18,0,98,44,14,5,3,64,9,0,8,75,13,0,89,76,31,5,8,115,36,4,36,158,28,0,183,1624,364,60,42,2079,98,16,115,2201,221,7,2425,564,141,30,16,749,78,14,91,845,267,8,1119,3,0,0,3,7,0,0,0,7,0,17,23,2192,508,84,58,2841,176,36,209,3048,485,34,3567,457,78,13,7,557,14,3,20,575,62,3,644,548,124,14,10,691,29,3,38,729,72,3,806,19,4,5,0,35,0,0,0,37,0,0,37,9,0,0,9,18,0,0,0,18,3,0,18,1037,207,32,27,1301,46,10,53,1360,137,7,1505,16,4,0,0,25,17,0,23,46,18,0,62,23,5,3,0,25,10,0,5,34,11,0,51,39,10,3,0,49,22,3,32,79,31,0,108,1075,220,39,22,1351,68,12,81,1437,168,7,1610,256,60,13,7
Gladstone (R),33360,1910,68,4,1983,51,5,0,4,62,24,8,31,91,3,0,94,121,4,0,0,129,6,0,11,138,0,0,137,170,17,0,4,186,32,10,43,233,9,0,235,1791,125,55,40,2018,116,10,119,2142,76,4,2224,807,74,15,30,926,89,5,94,1020,88,0,1113,6,0,0,3,8,0,0,0,8,0,14,22,2603,200,75,73,2954,205,14,216,3167,168,21,3356,459,24,14,3,498,21,0,22,516,16,0,530,577,42,21,10,649,28,0,28,681,19,0,695,23,3,14,0,42,0,0,0,42,0,0,42,12,0,0,4,12,0,0,0,18,3,0,22,1066,70,47,22,1198,54,0,54,1253,35,5,1290,29,7,0,3,40,7,0,7,50,3,0,49,58,3,3,0,68,3,0,6,70,0,0,71,87,10,3,5,100,15,0,18,119,5,0,128,1154,79,44,23,1301,68,3,66,1372,37,5,1412,319,28,12,17
Gold Coast (C),33430,16525,630,29,17175,210,47,4,7,270,49,3,54,323,26,0,351,520,66,5,8,610,27,7,36,648,32,0,682,734,117,16,16,879,81,14,95,970,56,0,1031,14650,1913,227,218,17012,398,84,484,17490,686,29,18204,4196,625,110,100,5024,193,31,225,5248,689,9,5949,19,7,0,10,32,3,0,3,39,3,68,109,18860,2546,339,327,22066,591,120,711,22774,1385,103,24261,3358,445,38,20,3858,86,13,100,3961,200,4,4169,4439,650,63,34,5178,89,18,105,5287,193,7,5486,119,23,34,0,172,10,0,10,177,15,0,196,52,8,0,51,108,5,0,5,107,13,3,121,7963,1123,133,100,9317,183,35,217,9531,420,12,9972,108,29,6,4,143,31,0,33,176,16,0,186,252,38,3,8,304,9,4,20,322,18,0,337,359,65,7,12,444,43,5,49,494,31,0,525,8326,1183,135,110,9759,229,39,269,10027,458,12,10499,1859,313,53,59
Diamantina (S),32750,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,11,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,15,0,0,0,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doomadgee (S),32770,34,20,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,3,0,0,0,3,3,0,4,13,19,0,0,34,3,0,3,37,17,0,54,7,25,0,0,38,3,5,14,51,41,0,86,0,0,0,0,0,0,0,0,0,0,0,0,24,42,0,0,68,4,5,16,86,56,0,144,11,3,0,0,12,0,0,0,12,11,0,23,0,3,0,0,3,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,0,17,0,0,0,17,11,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,4,13,5,0,0,17,0,0,0,17,14,0,34,7,16,0,0
Douglas (S),32810,341,8,0,345,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,7,0,0,0,11,0,0,11,8,0,3,0,13,0,0,0,14,0,0,14,283,40,8,13,343,5,0,10,350,8,0,359,37,3,3,3,50,0,0,5,50,14,0,63,4,0,0,0,4,0,0,0,4,0,4,13,326,41,9,13,396,11,7,13,408,18,4,427,69,7,0,0,72,0,0,0,72,3,0,76,69,20,3,0,91,6,0,6,98,5,0,102,0,0,3,0,3,0,0,0,3,0,0,3,0,0,0,4,6,0,0,0,6,0,0,6,136,23,4,4,173,6,0,6,182,7,0,186,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,5,0,0,5,3,0,0,0,4,0,0,0,4,0,0,4,137,24,9,4,174,6,0,6,181,7,0,193,16,0,3,0
Goondiwindi (R),33610,423,9,0,432,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,6,0,0,9,9,0,0,0,7,0,0,0,8,0,0,9,395,30,8,3,431,0,0,0,433,7,0,442,94,8,0,3,98,4,0,5,104,26,0,129,0,0,0,0,0,0,0,0,0,0,0,0,484,31,8,6,532,4,3,8,539,28,0,574,82,6,0,0,96,0,0,0,96,0,0,96,106,9,4,0,120,0,0,0,122,0,0,122,3,0,0,0,3,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,196,24,4,3,221,0,0,3,227,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,5,0,0,0,0,0,0,5,5,5,4,0,8,193,24,4,3,223,0,3,4,231,4,0,229,43,5,0,3
Gympie (R),33620,1132,71,0,1215,23,7,3,0,31,15,3,17,47,3,0,55,25,6,0,0,32,3,0,3,38,3,0,45,51,8,3,0,68,21,3,22,92,6,0,94,997,132,22,17,1167,48,7,58,1225,77,0,1306,333,77,32,17,457,28,14,43,500,138,0,643,0,0,0,0,3,0,0,0,3,3,3,7,1329,212,54,32,1631,81,21,100,1730,222,5,1958,243,28,5,4,277,5,6,13,285,17,0,306,361,64,12,0,442,9,0,8,449,44,0,489,10,12,0,0,19,0,0,0,20,3,0,21,3,3,0,12,15,0,0,0,18,0,0,18,619,95,20,16,746,17,9,18,771,66,0,838,9,3,0,0,13,5,0,4,22,4,0,30,20,0,0,0,26,0,5,5,29,0,0,26,33,8,0,0,38,5,3,9,50,6,0,57,645,105,18,16,786,20,10,32,819,68,0,887,189,33,15,8
Hinchinbrook (S),33800,291,7,0,297,0,0,0,0,0,0,0,0,0,0,0,4,7,4,0,0,8,0,0,0,8,0,0,8,7,4,0,0,14,0,0,0,14,0,0,15,269,26,0,8,299,0,3,3,301,12,0,310,70,4,3,0,83,0,0,0,83,14,0,95,0,0,0,0,0,0,0,0,0,0,0,0,340,28,7,12,376,3,3,3,379,20,3,408,71,5,0,0,75,0,0,0,75,3,0,79,108,13,0,0,123,4,0,4,124,4,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,23,0,0,198,4,0,4,199,4,0,209,5,0,0,0,7,0,0,0,10,0,0,8,4,0,0,0,4,0,0,0,3,0,0,3,11,0,0,0,13,0,0,0,15,0,0,14,185,24,0,0,207,6,0,3,210,5,0,222,22,3,0,5
Hope Vale (S),33830,22,3,0,19,0,0,0,0,0,3,0,3,8,0,0,8,0,4,0,0,6,3,0,4,7,3,0,11,0,6,0,0,7,8,0,9,14,3,0,19,12,11,0,0,20,8,3,15,37,6,0,41,5,0,0,0,5,8,0,8,11,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,17,11,0,0,26,15,3,22,44,6,0,53,5,0,0,0,5,0,0,0,5,0,0,5,0,3,0,0,5,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,10,0,0,0,8,0,0,8,0,0,0,0,0,3,0,3,3,0,0,3,3,0,0,0,6,0,0,0,7,0,0,7,3,0,0,0,6,4,0,4,3,0,0,3,9,3,0,0,13,4,0,3,16,0,0,16,3,0,0,0
Ipswich (C),33960,6144,312,16,6476,178,32,6,9,222,37,0,37,261,16,3,279,224,29,0,10,264,27,11,35,300,7,3,313,400,59,6,18,485,66,11,75,562,26,5,592,5539,662,92,101,6390,258,56,315,6706,343,22,7067,2142,379,49,72,2641,130,22,150,2794,425,8,3231,13,5,0,6,27,0,0,0,27,3,29,61,7694,1046,141,184,9059,390,79,470,9524,774,61,10363,1300,164,19,10,1493,54,11,60,1557,115,4,1670,1407,172,20,12,1614,31,7,38,1649,74,5,1732,56,5,15,0,79,4,0,4,80,7,0,94,15,4,0,29,44,3,0,3,53,6,3,60,2781,345,50,56,3231,91,14,107,3336,208,11,3552,94,11,0,3,112,28,0,28,141,12,0,148,77,15,0,10,98,9,10,17,118,5,0,124,171,24,0,9,213,34,10,47,257,13,0,272,2954,370,55,65,3441,126,25,149,3596,221,8,3828,877,181,32,36
Isaac (R),33980,911,12,0,929,15,3,3,0,21,0,0,0,18,0,0,22,41,0,3,0,46,0,0,0,48,0,0,48,53,3,3,0,66,3,0,3,70,0,0,68,853,63,33,10,965,17,0,17,980,16,0,995,352,21,25,4,407,9,0,9,413,9,0,423,7,0,0,3,9,0,0,0,9,0,0,7,1215,85,59,17,1381,21,0,21,1401,18,0,1425,140,5,3,0,148,3,0,3,151,3,0,155,244,28,7,0,281,3,0,3,277,3,0,282,6,3,7,0,15,0,0,0,15,0,0,16,3,0,0,0,8,0,0,0,8,0,0,8,396,36,12,8,449,3,0,3,448,6,0,461,10,0,0,0,10,0,0,0,10,0,0,10,22,0,0,0,24,0,0,0,24,0,0,24,30,0,0,0,34,0,0,0,34,0,0,34,424,34,12,8,475,3,0,3,480,6,0,488,120,9,5,0
Kowanyama (S),34420,12,3,0,13,3,0,0,0,3,5,0,5,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,5,0,5,8,0,0,8,12,3,0,0,14,8,0,8,22,4,0,26,6,3,0,0,8,3,0,3,10,9,0,23,0,0,0,0,0,0,0,0,0,0,0,0,16,10,0,0,23,11,0,11,35,13,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,0,0,0,9,0,0,9,0,0,0,0,0,3,0,3,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,0,6,3,5,0,0,10,3,0,3,15,0,0,18,0,0,0,0
Livingstone (S),34530,1088,45,0,1134,14,0,0,0,17,7,0,7,24,0,0,30,29,3,0,0,34,0,0,0,34,0,0,34,48,3,3,4,53,7,0,7,61,0,0,63,977,94,24,22,1124,21,0,27,1150,44,0,1198,196,31,11,5,245,12,3,17,262,51,0,308,3,0,0,0,6,0,0,0,6,0,0,3,1177,127,42,24,1372,37,7,49,1418,96,0,1512,257,19,3,4,285,5,0,6,295,17,0,311,280,29,10,3,325,13,0,13,340,12,0,358,7,0,6,0,11,0,0,0,11,0,0,7,0,0,0,6,8,0,0,0,8,0,0,8,545,50,20,11,632,19,0,22,651,31,0,684,12,0,0,0,13,3,0,3,22,0,0,23,14,0,0,0,17,4,0,3,20,0,0,20,29,0,0,0,32,5,0,4,36,0,0,39,573,54,22,11,662,23,3,29,694,32,0,726,115,20,3,4
Lockhart River (S),34570,14,4,0,15,0,0,0,0,0,6,0,6,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6,0,0,6,7,0,0,5,14,6,0,6,24,4,0,29,4,5,0,3,11,0,0,0,11,11,0,22,0,0,0,4,4,0,0,0,4,0,4,3,14,3,0,14,28,6,0,6,36,13,4,51,11,0,0,0,11,0,0,0,11,0,0,11,0,0,0,3,3,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,12,0,0,0,12,0,0,16,0,0,0,0,0,3,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,3,8,0,0,3,12,3,0,3,19,0,0,14,0,0,0,3
Lockyer Valley (R),34580,1009,57,0,1068,14,4,0,0,19,3,0,3,22,8,0,26,40,3,0,0,44,3,0,3,50,3,0,53,54,10,0,0,70,8,0,6,77,5,0,86,911,100,24,20,1054,25,4,29,1081,66,0,1152,352,57,14,12,434,35,7,36,470,100,0,570,6,0,0,0,5,0,0,0,5,0,0,11,1265,160,33,27,1493,64,9,72,1565,162,4,1732,227,14,7,4,254,5,0,5,257,12,0,273,295,43,6,8,347,4,0,6,352,18,0,371,10,3,3,0,18,0,0,0,18,0,0,18,4,0,0,4,9,0,0,0,9,0,3,13,532,68,17,18,632,12,0,8,640,29,7,677,9,0,0,0,12,3,0,3,14,4,0,20,24,0,0,3,31,0,0,0,31,3,0,30,32,7,0,3,42,3,0,3,43,7,0,47,567,72,15,15,669,11,0,14,679,35,7,719,180,35,16,3
Logan (C),34590,9269,418,11,9704,205,35,0,3,249,68,0,69,314,26,3,337,329,57,7,8,400,45,7,47,450,22,0,469,530,89,10,11,646,107,12,115,759,43,3,810,8306,1044,149,167,9662,301,66,362,10027,465,17,10513,3355,574,84,107,4128,263,54,314,4439,827,11,5287,17,0,0,20,35,0,3,3,35,10,57,104,11681,1621,230,292,13826,564,115,682,14508,1304,89,15899,2129,198,30,14,2368,52,15,66,2431,190,3,2624,2223,283,29,24,2562,48,10,55,2617,138,0,2753,92,23,17,0,129,3,0,4,136,10,0,147,32,10,0,51,90,0,0,0,89,13,8,112,4467,508,73,97,5152,105,21,126,5274,347,8,5627,129,30,0,4,161,26,3,28,192,13,0,206,149,37,0,7,191,17,0,19,209,21,0,237,282,62,6,7,351,43,3,51,405,38,0,440,4749,568,80,106,5501,146,28,174,5675,380,8,6067,1484,277,48,59
Woorabinda (S),37550,9,4,0,13,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,9,3,0,0,9,0,0,0,9,7,0,16,9,5,0,0,16,0,0,0,17,14,0,35,0,0,0,0,0,0,0,0,0,0,0,0,19,5,0,0,29,0,0,0,27,17,0,51,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,0,0,0,3,3,0,9,3,3,0,0
Winton (S),37400,28,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3,0,0,28,0,0,0,28,0,0,28,7,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,28,3,0,0,29,0,0,0,29,0,0,29,16,0,0,0,16,0,0,0,16,0,0,16,3,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,16,0,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,16,0,0,0,16,0,0,16,3,0,0,0
Wujal Wujal (S),37570,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,0,3,10,7,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
