lga_name_2016,lga_code_2016,hysc_y10_e_no_in_f,hysc_y10_e_no_in_p,hysc_y10_e_in_s_nsm,hysc_y10_e_in_s_nsf,hysc_y10_e_in_s_nsp,hysc_y10_e_totm,hysc_y10_e_totf,hysc_y10_e_totp,hysc_y9_e_ind_m,hysc_y9_e_ind_f,hysc_y9_e_ind_p,hysc_y9_e_no_in_m,hysc_y9_e_no_in_f,hysc_y9_e_no_in_p,hysc_y9_e_in_st_nsm,hysc_y9_e_in_st_nsf,hysc_y9_e_in_st_nsp,hysc_y9_e_totm,hysc_y9_e_totf,hysc_y9_e_totp,hysc_y8_bel_ind_m,hysc_y8_bel_ind_f,hysc_y8_bel_ind_p,hysc_y8_bel_no_ind_m,hysc_y8_bel_no_ind_f,hysc_y8_bel_no_ind_p,hysc_y8_be_in_st_nsm,hysc_y8_be_in_st_nsf,hysc_y8_be_in_st_nsp,hysc_y8_bel_totm,hysc_y8_bel_totf,hysc_y8_bel_totp,hysc_dng_to_sc_ind_m,hysc_dng_to_sc_ind_f,hysc_dng_to_sc_ind_p,hysc_dng_to_sc_no_in_m,hysc_dng_to_sc_no_in_f,hysc_dng_to_sc_no_in_p,hysc_dng_sc_in_st_nsm,hysc_dng_sc_in_st_nsf,hysc_dng_sc_in_st_nsp,hysc_dng_to_sc_totm,hysc_dng_to_sc_totf,hysc_dng_to_sc_totp,tpe_ur_occ_pvte_dwg_sh_indi_m,tpe_ur_occ_pvte_dwg_sh_indi_f,tpe_ur_occ_pvte_dwg_sh_indi_p,tpe_ur_occ_pte_dw_sh_no_ind_m,tpe_ur_occ_pte_dw_sh_no_ind_f,tpe_ur_occ_pte_dw_sh_no_ind_p,t_ur_occ_pte_dw_sh_in_st_nsm,t_ur_occ_pte_dw_sh_in_st_nsf,t_ur_occ_pte_dw_sh_in_st_nsp,tpe_ur_occ_pvte_dwg_sh_totm,tpe_ur_occ_pvte_dwg_sh_totf,tpe_ur_occ_pvte_dwg_sh_totp,t_ur_oc_p_dw_im_h_t_s_o_in_m,t_ur_oc_p_dw_im_h_t_s_o_in_f,t_ur_oc_p_dw_im_h_t_s_o_in_p,t_ur_o_pr_d_i_h_t_s_o_no_in_m,t_ur_o_pr_d_i_h_t_s_o_no_in_f,t_ur_o_pr_d_i_h_t_s_o_no_in_p,t_ur_o_p_d_i_h_t_s_o_i_s_nsm,t_ur_o_p_d_i_h_t_s_o_i_s_nsf,t_ur_o_p_d_i_h_t_s_o_i_s_nsp,t_ur_o_p_d_i_h_t_s_o_totm,t_ur_o_p_d_i_h_t_s_o_totf,t_ur_o_p_d_i_h_t_s_o_totp,ty_ur_oc_p_dw_ot_p_dw_in_m,ty_ur_oc_p_dw_ot_p_dw_in_f,ty_ur_oc_p_dw_ot_p_dw_in_p,ty_ur_o_pr_d_ot_pr_d_no_in_m,ty_ur_o_pr_d_ot_pr_d_no_in_f,ty_ur_o_pr_d_ot_pr_d_no_in_p,ty_ur_o_p_d_o_p_d_in_st_nsm,ty_ur_o_p_d_o_p_d_in_st_nsf,ty_ur_o_p_d_o_p_d_in_st_nsp,ty_ur_oc_pr_dw_ot_pr_dw_totm,ty_ur_oc_pr_dw_ot_pr_dw_totf,ty_ur_oc_pr_dw_ot_pr_dw_totp,ty_ur_occ_pri_dw_tot_ind_m,ty_ur_occ_pri_dw_tot_ind_f,ty_ur_occ_pri_dw_tot_ind_p,ty_ur_occ_pri_dw_tot_no_ind_m,ty_ur_occ_pri_dw_tot_no_ind_f,ty_ur_occ_pri_dw_tot_no_ind_p,ty_ur_oc_pr_dw_tot_in_st_nsm,ty_ur_oc_pr_dw_tot_in_st_nsf,ty_ur_oc_pr_dw_tot_in_st_nsp,ty_ur_occ_pri_dw_tot_totm,ty_ur_occ_pri_dw_tot_totf,ty_ur_occ_pri_dw_tot_totp,ty_ur_non_pri_dw_ind_m,ty_ur_non_pri_dw_ind_f,ty_ur_non_pri_dw_ind_p,ty_ur_non_pri_dw_nonind_m,ty_ur_non_pri_dw_nonind_f,ty_ur_non_pri_dw_nonind_p,ty_ur_non_pri_dw_indst_nsm,ty_ur_non_pri_dw_indst_nsf,ty_ur_non_pri_dw_indst_nsp,tpe_ur_non_pvte_dwg_totm,tpe_ur_non_pvte_dwg_totf,tpe_ur_non_pvte_dwg_totp
Botany Bay (C),11100,2548,5290,19,22,40,2856,2667,5515,35,30,58,700,743,1444,4,7,8,733,780,1514,17,12,30,815,1042,1859,7,8,16,836,1067,1904,0,0,0,233,322,556,0,0,0,233,330,556,159,185,346,8023,8072,16093,303,326,630,8485,8581,17066,0,0,0,13,6,17,0,0,0,13,6,17,189,221,411,12524,12779,25305,871,867,1738,13591,13873,27459,352,408,757,20559,20857,41412,1171,1196,2374,22087,22461,44545,4,0,3,171,154,322,77,46,127,252,198,449
Bourke (A),11150,117,283,4,3,5,256,219,467,40,62,99,57,48,104,0,0,4,90,107,204,33,26,63,46,28,68,3,0,3,76,54,134,9,0,12,3,0,3,0,0,0,10,0,16,329,407,737,542,525,1062,210,204,412,1079,1137,2219,0,0,0,0,0,4,0,0,0,0,0,3,9,13,24,43,34,78,12,0,11,61,50,114,341,422,763,580,563,1146,219,205,423,1142,1191,2333,3,0,3,12,5,15,13,8,25,25,19,45
Brewarrina (A),11200,57,142,0,5,5,190,179,365,56,63,123,31,9,45,0,0,0,89,76,165,63,53,116,16,10,27,0,0,0,82,57,141,3,4,8,3,0,3,0,0,0,9,4,7,422,444,864,227,193,423,47,41,92,698,679,1373,0,0,0,0,3,5,0,0,0,0,3,5,15,30,47,14,21,34,3,0,3,36,46,83,435,472,910,248,212,460,53,42,92,734,725,1461,40,8,45,12,3,13,0,0,0,47,8,54
Broken Hill (C),11250,2323,4531,28,24,49,2372,2512,4885,73,77,154,733,849,1583,14,9,23,822,935,1759,56,46,104,633,596,1231,10,7,22,699,649,1353,4,5,5,25,12,32,0,0,0,27,18,38,611,682,1286,6371,6779,13147,402,427,824,7380,7879,15259,0,0,0,3,4,5,0,0,0,3,4,5,23,22,45,212,242,450,30,33,68,266,299,563,630,702,1332,6578,7022,13605,435,455,889,7645,8180,15830,43,3,45,137,185,319,42,51,96,225,236,458
Hilltops (A),13910,2137,4518,26,22,52,2496,2253,4749,28,39,69,748,686,1441,8,15,19,785,743,1527,32,22,56,550,444,990,10,20,29,591,484,1078,0,4,3,45,30,77,0,0,0,44,34,83,366,347,712,6969,7216,14187,459,490,948,7798,8054,15846,0,0,0,11,6,16,0,0,0,14,7,18,31,27,54,444,507,943,50,56,111,527,588,1110,398,370,766,7420,7724,15149,516,549,1064,8333,8642,16981,0,4,3,83,152,240,9,8,18,93,167,262
Hornsby (A),14000,8913,16649,60,59,115,7860,9034,16898,14,21,38,2066,2332,4398,14,20,27,2091,2372,4471,8,16,21,1056,1284,2334,11,14,24,1069,1310,2379,3,0,5,283,366,642,3,5,8,286,372,659,242,251,493,51603,52774,104377,1141,1194,2334,52987,54218,107208,0,0,0,0,0,0,0,0,0,0,0,0,51,62,115,12762,14393,27151,559,670,1225,13368,15125,28491,295,314,614,64362,67163,131532,1699,1860,3558,66355,69347,135704,3,18,25,680,1343,2023,37,55,92,717,1416,2134
Hunters Hill (A),14100,754,1378,3,4,6,637,762,1398,8,0,8,269,211,478,0,0,0,272,216,485,7,0,7,133,159,288,0,0,0,137,154,292,0,0,0,18,33,50,0,0,0,18,33,50,22,8,32,4137,4286,8425,170,170,338,4326,4467,8798,0,0,0,0,0,0,0,0,0,0,0,0,3,8,17,1519,1710,3226,98,123,222,1624,1840,3464,25,20,48,5659,5997,11653,266,289,561,5951,6305,12259,32,0,32,650,378,1029,21,20,40,699,400,1100
Inner West (A),14170,7127,14674,52,53,104,7750,7384,15133,42,69,108,1891,1913,3800,24,23,46,1958,2004,3959,53,59,110,2684,3420,6103,29,37,65,2766,3514,6280,8,6,14,771,1202,1972,4,15,19,787,1225,2004,275,317,590,23518,24566,48087,1059,1066,2120,24850,25949,50798,0,0,0,7,3,5,0,0,0,7,3,5,541,683,1229,52349,56036,108385,4429,4458,8895,57327,61178,118504,822,999,1824,75874,80606,156482,5486,5528,11011,82182,87136,169312,53,34,82,1986,1602,3593,388,222,609,2429,1852,4280
Inverell (A),14200,1933,3892,23,26,51,2106,2103,4216,70,82,152,619,572,1198,7,5,18,701,660,1366,60,42,99,522,369,890,3,11,8,582,420,1001,0,5,7,16,21,34,0,0,0,24,19,41,584,623,1205,5759,5997,11752,458,522,988,6800,7135,13936,0,0,0,6,0,6,0,0,3,7,4,5,47,57,103,366,391,756,45,39,84,456,490,942,630,680,1309,6121,6390,12510,513,563,1075,7266,7629,14891,0,3,3,60,107,171,46,39,85,106,152,256
Junee (A),14300,625,1348,10,5,18,758,655,1419,6,14,21,208,187,397,0,6,5,223,209,426,9,5,16,127,114,242,4,5,6,137,126,266,0,3,3,4,10,14,0,0,0,4,11,14,101,136,235,2112,2102,4215,211,222,429,2425,2459,4884,0,0,0,0,0,0,0,0,0,0,0,0,5,3,10,63,58,122,9,6,22,77,70,153,110,135,247,2177,2165,4339,221,227,449,2510,2527,5035,224,0,226,629,38,667,0,0,0,852,41,897
Kempsey (A),14350,3589,7095,46,41,85,3815,3968,7785,133,170,298,1231,1162,2393,32,21,53,1396,1347,2747,106,114,222,848,738,1589,12,19,31,969,871,1840,11,11,17,30,21,57,0,0,3,48,30,79,1263,1449,2716,9765,9962,19725,914,974,1888,11943,12381,24326,0,0,0,11,3,13,0,0,3,9,7,18,68,94,163,633,630,1268,109,78,188,813,801,1616,1332,1543,2876,10412,10599,21011,1023,1053,2075,12772,13191,25965,222,45,269,450,272,725,29,49,79,700,373,1071
Kiama (A),14400,2442,4692,22,27,55,2316,2515,4829,10,17,30,558,605,1161,5,4,11,575,624,1200,3,8,14,304,288,599,3,0,4,315,300,613,0,0,3,18,16,33,0,0,3,24,15,37,152,155,311,7734,7867,15603,387,396,784,8274,8415,16694,0,0,0,0,0,0,3,4,7,4,4,6,34,27,69,1268,1497,2765,104,127,228,1409,1652,3058,194,182,379,9004,9363,18366,493,521,1014,9688,10070,19757,0,0,0,51,130,181,8,38,42,60,163,222
Ku-ring-gai (A),14500,4986,8391,23,34,61,3439,5039,8476,4,4,10,1384,1590,2973,3,12,12,1390,1604,2999,0,4,6,608,762,1366,4,4,10,615,765,1384,0,0,0,132,199,328,0,5,5,132,202,333,71,76,148,42831,44772,87608,813,888,1697,43718,45731,89451,0,0,0,0,0,0,0,0,0,0,0,0,19,10,32,9659,11655,21317,441,537,978,10123,12205,22325,92,89,179,52488,56429,108921,1252,1422,2676,53838,57938,111773,5,11,23,483,1061,1543,160,291,446,650,1367,2018
Kyogle (A),14550,1110,2361,26,27,47,1311,1183,2494,27,14,41,346,288,639,7,7,10,383,309,692,22,15,30,291,221,510,8,4,9,310,241,555,0,0,0,10,9,24,0,0,0,10,9,24,163,174,340,3515,3476,6999,391,339,732,4079,3993,8068,0,0,0,10,6,15,3,3,9,14,11,22,7,3,13,94,96,184,17,15,34,117,112,230,169,180,352,3618,3575,7200,418,353,767,4207,4109,8316,0,0,0,30,53,80,13,16,23,44,69,106
Lachlan (A),14600,536,1215,9,3,18,786,662,1442,42,49,86,194,182,372,3,0,6,241,224,464,45,38,82,171,116,288,0,3,7,213,159,373,7,5,10,14,7,20,0,0,0,24,12,32,429,521,952,1957,1902,3858,302,276,581,2688,2703,5390,0,0,0,0,0,0,0,0,0,0,0,0,10,20,33,58,52,107,10,15,17,76,87,161,442,547,984,2015,1953,3967,311,285,594,2763,2792,5549,6,4,9,29,47,77,3,4,7,41,59,91
Lake Macquarie (C),14650,25607,50458,161,194,358,25882,26715,52598,348,369,714,7254,8339,15591,75,72,149,7671,8779,16445,205,156,363,3563,3721,7282,35,45,77,3800,3925,7723,21,13,35,204,200,404,5,6,9,236,213,446,3364,3435,6798,76002,78793,154794,2262,2378,4639,81626,84609,166238,0,0,0,24,25,51,0,0,0,24,25,52,382,384,768,7109,8968,16082,448,577,1025,7942,9936,17877,3754,3821,7572,83140,87789,170925,2713,2956,5668,89597,94565,184161,18,10,30,902,1507,2406,76,114,192,991,1637,2631
Lane Cove (A),14700,1378,2460,12,7,20,1105,1391,2492,6,0,8,346,358,711,3,0,4,361,364,723,0,0,0,212,201,412,0,3,4,216,202,415,0,3,3,45,57,101,0,0,0,46,57,103,13,20,30,8508,8659,17159,209,189,397,8728,8864,17590,0,0,0,0,0,0,0,0,0,0,0,0,26,26,51,7334,8050,15381,423,454,884,7786,8527,16318,42,41,79,15841,16702,32544,639,646,1282,16514,17390,33910,29,4,32,389,223,610,47,26,80,471,258,722
Leeton (A),14750,1386,2868,16,11,28,1571,1458,3037,19,30,52,422,406,826,3,3,7,450,438,888,20,16,37,366,243,610,11,4,15,392,271,667,0,0,0,23,17,40,0,0,0,25,17,41,253,263,517,3948,3984,7931,363,384,748,4559,4639,9196,0,0,0,5,7,17,0,0,0,5,10,16,15,19,33,297,334,634,47,38,80,360,394,752,264,282,548,4258,4330,8587,403,422,834,4926,5040,9969,17,17,35,189,260,448,29,44,73,236,319,556
Lismore (C),14850,5099,9822,33,62,95,4984,5384,10370,101,77,181,1329,1209,2540,17,15,28,1445,1308,2752,61,57,111,876,840,1714,8,14,19,945,905,1850,6,3,9,54,45,96,0,0,0,54,49,107,842,856,1695,15105,15922,31032,1095,1136,2232,17040,17918,34956,3,0,5,33,27,60,15,14,32,57,39,92,138,155,297,1832,2101,3933,239,232,471,2213,2492,4704,982,1013,1998,16976,18051,35026,1352,1386,2737,19303,20447,39752,18,4,27,308,405,714,114,117,223,438,524,962
Lithgow (C),14870,2645,5602,35,30,69,3130,2801,5933,51,58,107,779,804,1581,4,12,17,835,870,1702,48,37,81,531,470,1005,15,9,19,585,514,1104,3,0,3,28,17,45,0,0,0,32,17,49,478,504,979,7158,7320,14482,767,772,1541,8401,8598,16997,0,0,0,8,5,9,4,0,4,10,5,10,41,37,80,846,855,1705,110,117,229,998,1017,2020,520,539,1057,8011,8180,16194,883,888,1773,9410,9616,19026,78,0,80,459,140,603,20,23,34,554,161,716
Liverpool (C),14900,13926,29267,98,120,218,15715,14367,30077,142,151,296,4171,4295,8470,33,34,65,4350,4484,8829,89,67,156,4325,5250,9575,37,65,93,4454,5372,9827,10,3,17,1652,2439,4097,4,18,29,1669,2466,4141,1143,1198,2342,73514,74511,148016,3525,3633,7163,78185,79343,157521,0,0,0,17,18,28,0,0,3,12,18,34,216,252,470,16272,17286,33559,2281,2381,4658,18770,19924,38690,1360,1450,2817,89800,91810,181611,5806,6016,11821,96964,99280,196248,19,12,31,790,678,1466,332,164,496,1143,852,1993
Liverpool Plains (A),14920,883,1826,12,14,24,1068,999,2066,52,47,102,277,277,554,5,3,8,333,331,664,38,25,62,245,134,383,6,7,12,291,166,456,0,3,4,13,7,15,0,0,3,14,11,25,424,417,838,2748,2704,5454,290,287,579,3459,3409,6865,0,0,0,3,3,8,0,3,5,5,10,10,22,28,47,66,67,137,12,12,23,99,108,208,442,442,885,2815,2779,5597,302,302,602,3563,3527,7092,5,0,4,46,39,79,0,0,3,55,38,90
Lockhart (A),14950,363,798,6,3,8,442,383,823,6,4,15,121,101,223,0,0,0,129,107,235,7,3,10,110,52,157,0,0,0,115,53,169,0,0,0,3,3,4,0,0,0,3,3,4,49,44,95,1234,1250,2487,89,117,212,1372,1414,2784,3,0,6,0,0,0,0,0,0,6,3,8,0,0,3,22,26,55,6,6,8,32,36,64,56,45,102,1260,1281,2542,96,126,217,1410,1445,2857,0,0,0,26,35,64,6,9,15,31,49,75
Maitland (C),15050,9569,19192,64,80,148,10114,10113,20223,169,163,330,2611,2923,5532,26,15,46,2806,3108,5912,104,81,186,1227,1298,2523,16,21,41,1348,1401,2747,7,3,15,74,67,137,0,0,3,83,67,153,1754,1812,3559,29819,31077,60903,1234,1249,2481,32801,34134,66939,0,0,0,20,10,24,0,0,0,17,10,27,133,161,294,2125,2661,4782,233,260,485,2481,3078,5563,1882,1976,3854,31963,33751,65708,1463,1504,2966,35305,37223,72533,9,8,17,197,309,508,55,75,129,256,393,649
Mid-Coast (A),15240,12873,25009,135,155,289,12801,13624,26425,291,306,598,4051,4248,8303,54,68,118,4401,4619,9023,213,163,375,2542,2210,4746,35,37,70,2787,2406,5199,5,12,19,104,81,183,6,6,5,111,96,211,2249,2302,4551,30829,32123,62954,1899,1973,3873,34976,36398,71376,3,3,7,34,14,47,9,0,9,42,20,67,290,341,631,4454,5076,9531,468,473,939,5211,5891,11103,2542,2652,5187,35316,37214,72535,2374,2451,4817,40223,42316,82539,13,9,17,415,652,1067,158,279,441,587,943,1528
