lga_code_2016,p55_64_c_own_chld_childr,p55_64_c_oth_ch_chiln,p55_64_ca_ow_ch_ch_oth_ch_ch,p55_64_yr_c_for_t,p55_64_d_not_prov_ch_care,p55_64_u_ch_care_ns,p55_64_os_v,p55_64_yr_t,p65_74_c_own_chld_childr,p65_74_c_oth_ch_chiln,p65_74_ca_ow_ch_ch_oth_ch_ch,p65_74_yr_c_for_t,p65_74_d_not_prov_ch_care,p65_74_u_ch_care_ns,p65_74_os_v,p65_74_yr_t,p75_84_c_own_chld_childr,p75_84_c_oth_ch_chiln,p75_84_ca_ow_ch_ch_oth_ch_ch,p75_84_yr_c_for_t,p75_84_d_not_prov_ch_care,p75_84_u_ch_care_ns,p75_84_os_v,p75_84_yr_t,p85ovr_c_own_chld_childr,p85ovr_c_oth_ch_chiln,p85ov_ca_ow_ch_ch_oth_ch_ch,p85ovr_c_for_t,p85ovr_d_not_prov_ch_care,p85ovr_u_ch_care_ns,p85ovr_os_v,p85ovr_t,pt_c_own_chld_childrn,pt_c_oth_ch_chiln,pt_ca_ow_ch_ch_oth_ch_ch,pt_c_for_t,pt_d_not_prov_ch_care,pt_u_ch_care_ns,pt_os_v,pt_t,lga_name16
10950,13,30,0,42,208,41,0,293,0,32,0,32,216,38,0,292,0,9,0,9,151,26,0,185,0,0,0,0,46,17,0,59,381,141,8,531,1349,313,3,2193,Bogan (A)
11100,290,488,15,790,3357,433,188,4763,54,569,3,630,2374,348,102,3451,23,157,0,175,1602,287,27,2080,0,10,0,10,568,173,5,758,7692,2048,174,9911,25817,3694,1223,40649,Botany Bay (C)
11150,7,30,0,39,274,121,0,441,0,23,0,23,227,97,0,345,0,4,0,4,73,38,0,120,0,0,0,0,21,11,0,34,323,146,12,479,1297,639,9,2434,Bourke (A)
11200,7,19,0,28,172,23,3,233,0,4,0,8,99,18,0,124,0,3,0,0,39,9,0,54,0,0,0,0,19,3,0,21,173,82,6,258,852,201,7,1318,Brewarrina (A)
11250,73,386,3,462,2025,249,16,2753,16,196,0,214,1699,284,18,2210,0,41,0,43,999,180,6,1231,0,4,0,4,467,114,0,580,2346,1125,91,3555,9776,1672,63,15063,Broken Hill (C)
13910,55,315,3,370,1924,212,10,2524,34,245,0,272,1746,270,9,2302,8,52,0,54,998,200,0,1255,4,0,0,4,402,107,0,519,2595,1046,109,3750,9450,1460,53,14712,Hilltops (A)
14000,1118,2295,34,3451,12932,520,506,17410,232,3155,19,3414,7959,546,363,12272,62,705,4,776,5545,621,89,7031,9,47,0,53,3073,750,13,3883,27169,8462,782,36413,72010,4995,1712,115131,Hornsby (A)
14100,125,190,3,318,1195,87,12,1610,39,339,0,372,931,79,7,1385,3,95,0,99,691,52,3,848,4,3,0,15,678,50,0,740,2361,892,52,3309,7248,611,104,11267,Hunters Hill (A)
14170,1189,1530,51,2762,14104,1381,309,18560,219,2101,30,2346,8765,939,197,12246,56,554,8,614,5455,656,38,6766,10,42,0,54,2762,326,13,3155,28036,7591,993,36617,102999,12426,2086,154136,Inner West (A)
14200,62,348,0,410,1561,218,13,2202,20,192,3,212,1434,249,8,1901,5,28,0,41,922,172,0,1137,5,4,0,9,320,71,0,398,2383,976,109,3464,8151,1421,68,13101,Inverell (A)
14300,19,107,0,127,546,157,0,839,0,61,0,64,438,85,0,587,0,6,0,6,215,48,0,274,0,0,0,3,91,20,0,110,761,332,36,1130,2592,1316,8,5045,Junee (A)
14350,124,565,6,703,3587,487,14,4788,30,360,0,387,3281,487,14,4174,8,56,0,55,1624,363,0,2050,0,5,0,6,653,212,0,878,3518,1625,157,5301,15573,3329,116,24317,Kempsey (A)
14400,127,683,5,818,2369,177,8,3369,26,575,0,596,1900,220,6,2721,11,87,0,91,1196,177,3,1473,3,4,0,7,531,138,0,677,3152,1768,172,5096,11041,1258,99,17498,Kiama (A)
14500,1248,1526,34,2801,10103,376,435,13718,210,2995,17,3224,6623,391,273,10510,64,915,11,985,5360,497,90,6929,11,56,4,69,3339,652,8,4069,22963,7059,590,30612,58387,3976,1771,94743,Ku-ring-gai (A)
14550,54,199,3,259,1292,189,3,1741,8,98,0,105,952,134,3,1195,0,23,0,23,457,115,0,597,0,0,0,3,177,58,0,230,1087,502,61,1644,4907,872,35,7464,Kyogle (A)
14600,29,122,0,152,563,99,3,821,9,81,0,83,456,113,3,660,0,11,0,11,347,80,0,433,3,0,0,4,129,37,0,164,894,354,44,1290,2784,706,17,4800,Lachlan (A)
14650,853,5428,61,6346,17751,1154,77,25336,188,4563,18,4763,15076,1425,57,21320,45,775,3,817,10073,1471,19,12392,13,39,4,53,4436,1109,8,5611,31971,15856,1470,49299,99304,9012,481,158091,Lake Macquarie (C)
14700,276,320,7,603,2892,200,114,3809,51,655,0,710,1871,136,57,2768,6,203,0,210,1127,94,14,1447,0,11,0,13,703,67,3,790,6685,1777,199,8662,19123,1579,549,29910,Lane Cove (A)
14750,39,207,5,247,982,157,12,1394,6,147,0,154,714,164,0,1022,4,41,0,50,502,131,0,680,0,0,0,3,203,35,0,242,1573,722,45,2337,5438,1025,36,8842,Leeton (A)
14850,255,912,13,1185,4866,595,24,6669,42,554,3,595,3353,439,14,4407,10,101,0,112,1852,349,0,2305,3,10,0,11,937,208,0,1159,6317,2676,382,9381,22607,3513,223,35722,Lismore (C)
14870,93,483,0,584,2084,350,5,3022,33,269,3,311,1965,337,4,2619,8,44,0,51,1054,247,3,1360,0,3,0,0,405,91,0,502,2809,1348,124,4278,10408,2465,45,17196,Lithgow (C)
14900,945,2598,52,3596,15376,1708,347,21025,221,1961,15,2196,9108,1260,212,12782,27,334,0,359,5231,876,86,6542,7,22,3,35,1976,322,10,2344,34343,8966,802,44101,100567,13538,1363,159568,Liverpool (C)
14920,33,131,3,166,871,133,0,1171,6,81,3,91,720,116,0,932,0,22,0,18,436,84,0,544,0,3,0,3,154,26,0,180,1096,373,39,1511,3875,716,20,6118,Liverpool Plains (A)
14950,24,61,0,87,336,42,3,470,3,47,0,49,259,46,4,348,0,4,0,9,180,32,0,218,0,0,0,3,77,19,0,96,475,194,19,693,1451,261,7,2414,Lockhart (A)
15050,279,1805,21,2112,6061,485,40,8693,50,1214,10,1276,4597,493,34,6394,12,180,0,194,2590,427,4,3219,6,4,0,7,1033,250,0,1296,14151,5400,701,20253,35531,3723,177,59676,Maitland (C)
15240,364,1905,19,2287,11129,1061,31,14512,79,1388,8,1471,12319,1321,27,15132,10,216,0,228,6888,1219,22,8366,0,20,0,30,2633,763,6,3431,10861,5413,457,16733,52061,7070,259,76112,Mid-Coast (A)
15270,107,384,0,500,2288,354,12,3147,25,278,3,302,2068,408,4,2787,3,49,0,48,1112,252,3,1413,4,3,0,7,405,69,0,484,3759,1273,167,5205,11547,2335,48,19133,Mid-Western Regional (A)
15300,54,192,3,253,1199,243,17,1709,14,165,0,180,1011,261,8,1456,0,33,0,35,530,149,0,712,0,0,0,3,142,25,0,172,1870,750,89,2706,6363,1646,76,10783,Moree Plains (A)
15350,305,299,7,599,2461,204,74,3336,52,734,0,791,1895,196,38,2916,9,165,0,174,1165,140,12,1493,0,9,0,6,718,166,0,899,4826,1615,120,6562,14587,1727,354,23231,Mosman (A)
15520,47,259,0,306,1341,189,5,1837,12,174,0,188,1356,180,0,1720,3,36,0,42,746,184,0,967,0,0,0,4,273,68,0,339,1659,714,67,2444,6243,1013,25,9722,Murray River (A)
15560,19,54,0,75,389,60,0,522,4,34,0,40,272,49,0,360,0,4,0,8,167,49,0,219,4,0,0,3,57,8,0,69,551,195,21,761,1827,398,29,3021,Murrumbidgee (A)
15650,65,301,0,365,1283,175,7,1834,10,145,0,159,948,124,7,1232,3,12,0,16,491,97,3,611,3,0,0,5,161,37,0,198,2891,901,106,3895,7282,1342,74,12585,Muswellbrook (A)
15700,102,396,4,503,2642,242,5,3392,27,275,4,302,2481,297,0,3079,3,41,0,42,1250,283,3,1579,3,0,0,3,511,188,3,704,2373,1111,90,3579,10911,1640,48,16177,Nambucca (A)
15750,47,276,0,315,1326,216,8,1871,15,152,0,168,999,179,4,1352,8,30,0,35,557,162,0,753,3,4,0,4,163,82,0,251,2020,796,88,2900,6296,1495,28,10725,Narrabri (A)
15800,23,116,0,137,598,104,0,841,7,75,0,82,523,136,0,742,0,16,0,16,306,78,0,396,3,0,0,3,152,38,0,196,820,354,33,1208,2844,647,33,4728,Narrandera (A)
15850,29,125,0,152,607,122,0,881,3,78,0,86,565,99,0,743,5,16,0,16,328,79,0,421,0,4,0,4,129,34,0,168,900,391,40,1337,2999,633,10,4972,Narromine (A)
15900,760,3184,40,3980,12849,1189,141,18155,124,2774,12,2905,8783,1149,64,12907,26,514,10,546,5887,1244,18,7690,9,51,0,59,2838,1272,6,4170,24006,10582,1053,35641,83301,9393,1182,129522,Newcastle (C)
15950,402,628,7,1039,5573,571,198,7386,58,1331,3,1394,4036,468,131,6023,11,331,0,344,2021,246,30,2635,0,17,0,13,933,167,5,1123,9534,3436,210,13179,40799,4838,1190,60011,North Sydney (A)
15990,1903,3617,54,5572,20685,1380,319,27957,319,5779,37,6133,14065,1369,229,21804,76,1462,11,1548,9796,1387,81,12811,15,82,0,100,5450,1303,15,6861,47042,15023,1591,63650,122988,12395,2436,201466,Northern Beaches (A)
16100,23,101,0,125,536,57,0,709,3,78,0,86,536,115,0,740,0,8,0,8,215,65,0,288,0,4,0,4,86,20,0,111,714,337,27,1073,2574,656,10,4315,Oberon (A)
16150,138,794,11,933,3377,367,28,4705,30,598,5,630,2553,294,9,3489,14,122,3,142,1713,314,3,2166,5,12,0,13,763,139,0,916,6764,2666,339,9767,19549,2726,107,32140,Orange (C)
16200,49,275,7,322,1414,191,8,1933,12,152,0,162,1077,255,3,1504,0,31,0,31,699,206,0,934,0,5,0,3,323,114,3,438,2140,825,97,3060,7056,1378,38,11529,Parkes (A)
16260,1454,2685,52,4193,16830,1581,1551,24160,399,3057,29,3479,10359,1117,695,15651,78,698,9,788,6948,852,179,8763,23,35,0,55,3283,567,17,3922,41288,9954,885,52122,118399,15918,4885,191323,Parramatta (C)
16350,733,4230,47,5007,15555,1419,224,22203,171,2547,21,2738,10396,1179,152,14462,25,363,0,386,5000,759,27,6181,6,35,0,42,1974,329,11,2348,34185,12442,1390,48012,94344,11660,877,154899,Penrith (C)
12350,45,206,0,253,1369,149,6,1776,10,155,5,167,1344,161,0,1667,7,22,0,32,789,140,3,963,3,3,0,7,359,61,0,424,1594,732,82,2416,6763,1039,38,10253,Cowra (A)
12380,1110,2370,63,3538,15537,1430,748,21252,253,1989,23,2269,9941,1033,391,13636,53,459,5,511,6030,777,83,7400,8,19,0,32,2719,452,6,3206,34606,8500,693,43795,114368,12610,2597,173373,Cumberland (A)
12700,45,265,6,312,994,108,0,1417,10,148,0,159,789,89,0,1044,5,22,0,21,430,94,0,551,3,3,0,5,130,45,3,179,1358,672,55,2080,4419,681,9,7190,Dungog (A)
12730,42,183,3,227,984,152,0,1364,10,115,0,120,719,147,5,997,3,24,0,26,499,128,0,658,0,3,0,7,233,47,0,280,1212,540,40,1789,4542,866,63,7263,Edward River (A)
11300,256,357,13,631,2788,206,160,3781,61,451,12,521,1815,144,78,2557,15,162,0,178,1486,132,26,1816,0,22,0,23,828,106,0,955,4909,1485,125,6522,23400,2031,865,32817,Burwood (A)
11350,312,554,9,876,3991,771,44,5687,38,568,4,605,2557,567,36,3764,10,65,0,71,1052,252,15,1392,3,10,0,11,524,172,0,703,4907,1839,260,7005,16224,4200,742,28168,Byron (A)
11400,69,294,3,371,1263,126,3,1761,8,173,0,181,1166,129,7,1480,4,32,0,34,639,96,0,774,5,3,0,7,255,44,0,307,2150,823,97,3071,6217,905,36,10233,Cabonne (A)
11450,276,1519,18,1815,5151,336,72,7374,65,1143,3,1213,3321,366,49,4943,6,155,3,165,1853,249,20,2288,9,11,0,17,747,196,6,966,16000,4836,604,21440,34179,3257,282,59161,Camden (A)
11500,714,3076,40,3828,13408,1145,322,18712,144,2004,25,2172,8645,1080,211,12109,18,255,0,271,3821,698,48,4837,6,13,0,22,1203,474,8,1700,26327,9491,849,36666,76978,9224,1116,123983,Campbelltown (C) (NSW)
11520,534,1066,17,1621,6982,515,383,9503,132,1481,13,1625,4669,496,143,6941,28,397,3,428,3269,328,27,4054,5,24,0,31,1812,217,11,2074,14315,4246,297,18854,49440,4718,1376,74395,Canada Bay (A)
11570,2241,4052,98,6399,27949,2432,754,37534,443,3884,37,4369,18304,2002,417,25082,105,1025,9,1139,13067,1523,106,15835,26,93,0,116,6434,820,21,7391,55201,14935,1257,71388,182285,20607,3156,277433,Canterbury-Bankstown (A)
11600,15,48,0,56,283,37,0,377,0,16,0,17,189,18,0,225,0,9,0,9,109,25,0,141,3,0,0,3,45,9,0,56,421,141,8,576,1397,246,67,2288,Carrathool (A)
11650,1507,7362,82,8948,29993,2554,192,41685,290,5819,30,6136,26221,3005,142,35505,63,1034,7,1101,17086,3038,60,21289,21,64,0,83,7826,2272,17,10204,51833,22180,2518,76538,166575,20145,1049,264303,Central Coast (C) (NSW)
11700,9,14,0,25,219,54,0,296,0,9,0,7,175,42,0,226,0,0,0,0,53,26,0,74,0,0,0,0,16,3,0,19,188,69,3,260,1016,390,10,1679,Central Darling (A)
11720,177,1491,12,1686,4790,576,13,7066,53,805,0,860,3934,668,16,5479,9,111,0,115,2045,386,10,2551,3,7,0,18,863,182,0,1055,8942,4194,430,13564,25750,4741,156,44212,Cessnock (C)
11730,224,1020,22,1260,6551,727,27,8561,61,724,4,795,6330,795,21,7947,12,130,3,143,3341,656,13,4153,7,5,0,12,1363,263,0,1633,6492,3108,353,9959,29059,4552,162,43735,Clarence Valley (A)
11750,13,63,0,81,498,82,0,651,3,27,0,29,336,53,0,416,0,0,0,0,171,54,0,223,3,0,0,3,66,16,0,76,800,219,29,1051,2284,524,12,3864,Cobar (A)
11800,402,1472,26,1904,8132,909,81,11036,63,1082,5,1145,7089,940,60,9230,20,191,0,210,4005,886,20,5123,9,19,0,28,1479,604,0,2107,10965,4420,497,15885,39282,5953,642,61767,Coffs Harbour (C)
12000,22,90,0,106,375,56,0,542,6,55,0,64,372,86,0,517,0,9,0,10,238,76,0,323,0,0,0,0,67,46,0,114,636,258,23,908,1957,440,3,3305,Coolamon (A)
12150,10,63,0,74,396,97,0,575,4,24,0,29,316,124,0,468,0,3,0,5,166,60,0,230,0,0,0,0,78,27,0,110,457,187,9,656,1884,621,5,3171,Coonamble (A)
12750,173,691,12,874,5253,514,13,6652,37,610,3,651,5203,637,20,6515,7,96,0,107,2682,564,9,3354,0,3,0,9,1045,320,3,1368,4120,2068,203,6393,21938,3179,121,31637,Eurobodalla (A)
12850,1295,2796,83,4180,19181,1405,239,25003,301,2057,33,2386,11693,1018,122,15222,67,467,4,538,7305,713,41,8594,14,43,0,57,3176,304,18,3543,27262,8921,591,36774,113374,10039,1104,161297,Fairfield (C)
12870,48,293,5,343,1400,153,8,1900,20,177,0,194,1388,210,4,1795,3,33,0,35,816,199,3,1060,0,3,0,3,286,118,0,412,1634,756,73,2465,6452,1128,23,10078,Federation (A)
12900,32,188,0,218,870,139,3,1227,15,112,0,125,873,155,0,1151,3,11,0,14,552,131,0,702,0,0,0,0,208,41,0,260,1361,523,63,1950,4800,921,17,7695,Forbes (A)
12930,1180,2066,56,3304,12491,754,689,17227,298,2575,32,2902,7915,713,383,11915,61,657,10,726,5868,657,96,7352,11,62,0,78,3252,489,10,3820,24341,7514,559,32412,82765,6695,2456,124319,Georges River (A)
12950,15,87,0,103,465,51,0,621,5,45,0,49,418,62,0,526,0,11,0,11,276,56,0,342,3,0,0,3,95,30,0,128,581,260,16,857,2186,344,4,3400,Gilgandra (A)
13010,47,140,3,185,1037,142,0,1365,14,106,0,117,947,177,0,1238,3,19,0,24,534,134,3,691,3,4,0,3,195,80,0,288,1075,459,54,1594,4560,1062,12,7232,Glen Innes Severn (A)
13310,135,584,12,725,2893,294,18,3935,32,387,0,419,2404,371,20,3210,5,59,0,63,1355,328,0,1741,4,3,0,8,497,232,0,737,4499,1833,210,6548,15004,2817,122,24496,Goulburn Mulwaree (A)
13340,65,258,3,330,1086,111,0,1528,8,154,0,162,922,129,0,1211,0,14,0,19,461,88,0,562,0,8,0,4,180,68,0,252,1643,689,66,2398,4861,690,21,7972,Greater Hume Shire (A)
13450,102,447,7,560,2121,374,42,3098,25,302,3,331,1353,288,14,1991,7,76,0,85,1003,300,5,1390,4,4,0,9,429,227,3,670,3921,1467,134,5519,12080,2521,359,20484,Griffith (C)
13510,53,251,4,307,1186,137,0,1624,12,168,0,181,1135,155,0,1469,0,31,0,35,763,128,0,923,0,3,0,9,312,60,0,376,1464,687,72,2226,5861,829,38,8948,Gundagai (A)
13550,51,227,0,272,1176,149,3,1596,19,160,4,178,864,161,3,1207,4,33,0,38,616,142,0,788,6,3,0,9,258,51,0,317,1959,721,80,2761,5933,1025,30,9755,Gunnedah (A)
13660,17,76,0,94,553,108,3,751,4,65,0,71,631,96,0,797,0,6,0,4,346,81,0,429,3,0,0,3,111,41,0,154,707,245,18,968,2781,548,35,4339,Gwydir (A)
13800,283,1371,26,1675,5578,512,30,7791,62,1013,8,1079,3937,480,17,5510,9,159,0,170,2138,310,8,2632,3,13,0,13,826,165,4,1002,10946,4249,466,15667,32013,3701,176,51555,Hawkesbury (C)
13850,9,46,0,54,351,52,3,462,3,32,0,37,275,61,3,372,0,6,0,6,165,58,0,225,0,0,0,0,37,23,0,60,379,145,18,543,1563,373,19,2499,Hay (A)
16380,361,1477,18,1853,8646,713,52,11261,73,1248,6,1330,9340,1148,42,11860,24,194,0,218,5841,1060,19,7135,5,14,0,17,2476,517,7,3016,10986,4575,484,16045,44012,5646,299,66004,Port Macquarie-Hastings (A)
16400,268,1646,9,1929,6927,731,41,9626,65,1255,8,1333,6995,917,35,9275,18,184,0,211,3836,744,9,4804,9,9,0,12,1344,299,3,1665,10175,4831,508,15520,35836,5061,215,56633,Port Stephens (A)
16490,274,996,10,1277,5079,662,45,7065,49,798,4,850,2872,505,17,4237,9,161,0,173,1424,259,5,1863,8,8,0,14,564,98,0,681,9431,3244,346,13018,27837,4349,243,45446,Queanbeyan-Palerang Regional (A)
16550,866,1300,27,2193,9761,1265,359,13583,158,1958,16,2128,6518,1101,172,9915,48,587,5,636,4553,794,40,6024,14,51,0,66,2588,546,12,3215,20406,6218,595,27217,80468,11873,3376,122926,Randwick (C)
16610,97,475,5,577,2537,300,5,3414,30,272,0,301,2315,316,0,2931,7,60,0,66,1427,265,5,1755,3,0,0,3,533,99,0,635,3074,1434,144,4647,12118,1955,37,18756,Richmond Valley (A)
16650,608,1267,31,1898,8290,767,442,11407,155,1468,17,1636,6070,707,197,8609,36,427,3,465,4324,697,74,5563,8,26,0,41,2084,646,7,2780,16640,4879,342,21857,62717,7459,1958,93991,Rockdale (C)
16700,726,1430,30,2183,9520,623,547,12873,207,1720,24,1943,5897,478,325,8650,46,463,3,510,4329,451,76,5363,10,42,0,47,2532,376,20,2972,19461,5283,450,25199,66959,5489,2789,100434,Ryde (C)
16900,290,1843,15,2151,5646,484,26,8307,51,1177,3,1239,4498,584,21,6339,18,191,0,210,2782,536,7,3533,3,14,0,18,1031,335,0,1385,11561,5254,548,17365,32832,3773,139,54101,Shellharbour (C)
16950,440,2170,27,2642,11089,1180,43,14951,70,1723,10,1803,11230,1337,36,14402,14,246,0,261,6447,1238,11,7952,8,15,0,22,2373,746,4,3144,13127,6388,653,20165,53123,8387,314,81986,Shoalhaven (C)
17000,78,526,3,607,1865,221,9,2708,19,255,0,274,1216,194,10,1694,3,37,0,37,677,126,3,842,3,0,0,3,288,45,3,344,4107,1490,157,5755,10880,1525,76,18231,Singleton (A)
17040,169,492,0,665,3224,645,24,4553,29,498,3,527,2295,525,8,3349,6,58,3,71,974,269,4,1311,5,3,0,3,351,126,0,482,4845,1731,160,6741,15753,4439,731,27660,Snowy Monaro Regional (A)
17080,55,285,0,338,1511,245,3,2106,5,165,0,173,1309,184,3,1672,5,41,0,44,717,168,0,931,4,6,0,10,282,132,0,420,2094,832,63,2990,7025,1557,42,11623,Snowy Valleys (A)
17420,1080,3104,56,4244,13516,564,611,18936,255,3612,39,3911,8875,561,408,13749,39,577,5,626,4624,351,85,5685,4,32,0,37,1760,206,8,2009,30666,9962,830,41448,76464,4597,1936,124451,The Hills Shire (A)
17550,506,2087,32,2620,10090,1133,92,13932,84,1478,7,1573,9958,1364,94,12989,17,253,3,278,6408,1251,63,7999,9,22,0,31,2741,831,11,3612,13314,5762,561,19640,50639,7730,562,78565,Tweed (A)
17620,56,272,3,330,1330,180,5,1840,11,133,0,143,1090,152,10,1400,3,29,3,33,658,130,0,827,0,4,0,4,269,83,0,353,2278,785,81,3135,6736,1236,85,11199,Upper Hunter Shire (A)
17640,31,180,0,219,869,110,0,1199,5,130,0,135,804,107,0,1044,0,29,0,32,438,76,0,549,0,3,0,3,149,19,0,175,1058,525,42,1628,3941,623,12,6203,Upper Lachlan Shire (A)
17650,22,125,4,151,737,75,0,967,12,89,0,102,574,76,6,755,0,12,0,12,279,41,0,332,0,0,0,3,108,13,0,120,934,356,38,1330,3018,397,13,4766,Uralla (A)
17750,251,1218,23,1493,5054,499,41,7089,47,814,0,856,3552,447,21,4878,11,138,0,149,2336,393,8,2878,3,10,0,14,1155,207,3,1381,10058,3913,413,14386,32404,3834,218,50841,Wagga Wagga (C)
17850,13,52,0,61,353,47,0,464,3,44,0,51,340,77,0,471,0,6,0,8,172,41,0,221,0,0,0,0,55,38,0,94,452,156,17,623,1580,363,6,2570,Walcha (A)
17900,24,86,0,110,786,142,3,1037,3,51,0,55,754,147,0,959,0,9,0,9,348,80,0,442,3,0,0,3,69,14,0,84,684,260,19,968,3563,793,17,5344,Walgett (A)
17950,7,52,0,57,267,44,3,372,0,38,0,35,238,51,3,327,0,6,0,6,132,36,0,170,3,0,0,3,42,14,0,58,360,156,14,528,1291,270,16,2103,Warren (A)
18020,46,174,6,223,1048,179,4,1463,3,125,0,130,1033,197,0,1362,3,18,0,18,601,166,0,791,0,3,0,3,232,57,4,301,1158,526,37,1716,4876,1089,53,7731,Warrumbungle Shire (A)
18050,431,573,25,1035,4028,615,144,5818,61,992,5,1062,2795,545,83,4495,22,263,3,288,1880,447,34,2644,9,25,0,37,1134,338,3,1508,10266,2947,318,13532,35393,6890,1807,57616,Waverley (A)
18100,19,67,0,84,424,53,0,561,0,65,0,68,417,64,0,550,0,15,0,17,243,52,0,305,0,0,0,0,112,28,0,140,483,234,15,729,1882,326,0,2932,Weddin (A)
18200,16,155,0,176,782,142,7,1100,3,106,0,104,705,134,3,946,3,16,0,21,335,69,0,433,0,0,0,0,122,20,0,139,955,484,30,1468,3598,825,86,5976,Wentworth (A)
18230,204,999,3,1207,4497,626,37,6365,31,633,0,665,3483,596,14,4758,7,142,0,155,2131,444,3,2731,3,11,0,12,891,179,4,1090,7813,3162,376,11348,24163,4819,167,40491,Western Plains Regional (A)
18250,630,700,18,1350,5811,385,384,7926,156,1221,13,1393,3775,361,224,5751,28,311,4,340,2518,256,52,3168,3,30,0,32,1554,222,13,1824,14356,3218,341,17915,38729,3476,2116,62243,Willoughby (C)
18350,315,889,13,1219,4865,411,30,6518,45,980,3,1033,5279,546,18,6879,9,210,0,217,3102,436,10,3770,3,10,0,17,1143,271,4,1442,7147,3070,323,10539,25159,3094,180,38965,Wingecarribee (A)
18400,228,1130,13,1364,4116,385,10,5868,37,738,9,780,2827,324,7,3941,6,108,0,119,1438,253,3,1818,8,3,0,15,481,154,0,649,8787,3253,330,12371,22301,2586,96,37358,Wollondilly (A)
18450,918,4512,68,5496,16913,1336,189,23936,181,4047,25,4251,12449,1416,102,18219,39,801,3,852,9575,1395,40,11860,9,65,0,80,4405,762,10,5251,32138,14378,1472,47982,106559,10759,1560,166859,Wollongong (C)
18500,485,540,9,1039,4205,533,91,5870,103,1301,9,1420,3508,566,74,5563,22,340,4,366,2144,423,24,2958,7,32,0,36,1264,267,5,1575,8127,3102,193,11419,29319,4473,787,45994,Woollahra (A)
