LGA_MAIN11,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot,LGA_NAME11
17000,1248,1412,2142,969,1355,804,2161,1096,209,11396,Singleton (A)
17050,823,487,639,486,410,365,209,393,60,3872,Snowy River (A)
17750,3513,5514,4802,3250,3734,3063,1698,3052,445,29071,Wagga Wagga (C)
17800,569,191,190,142,169,100,124,243,36,1764,Wakool (A)
17850,518,140,158,107,126,76,96,205,27,1453,Walcha (A)
17900,592,292,211,293,230,117,201,331,50,2317,Walgett (A)
17950,418,153,135,94,122,62,127,159,35,1305,Warren (A)
18000,11791,18923,9212,6495,11242,6997,2444,4071,1109,72284,Warringah (A)
18020,990,496,403,374,291,257,257,485,65,3618,Warrumbungle Shire (A)
18050,6126,13333,2692,2803,4085,2716,500,1107,670,34032,Waverley (A)
18100,510,181,149,129,119,79,105,157,20,1449,Weddin (A)
18150,654,452,328,433,302,241,188,378,60,3036,Wellington (A)
18200,678,385,387,242,313,209,241,390,49,2894,Wentworth (A)
18250,6141,13439,2336,2299,4717,2489,504,1073,659,33657,Willoughby (C)
18350,2822,3864,3025,1948,2340,1824,1161,1930,347,19261,Wingecarribee (A)
18400,2624,3236,3893,1975,3273,1760,2096,2046,388,21291,Wollondilly (A)
18450,8227,18599,12665,9495,11804,7423,5937,7343,1358,82851,Wollongong (C)
18500,5854,11242,1176,1738,3245,1984,194,452,657,26542,Woollahra (A)
18550,5816,8545,9988,7195,8277,7156,4708,7236,1033,59954,Wyong (A)
18710,1499,1588,1075,725,1196,510,357,651,162,7763,Yass Valley (A)
18750,916,662,760,442,542,571,295,719,102,5009,Young (A)
19399,276,48,67,49,49,18,30,142,11,690,Unincorporated NSW
20110,1025,789,867,544,500,507,374,653,86,5345,Alpine (S)
20260,980,605,598,661,399,411,270,739,116,4779,Ararat (RC)
20570,4529,8843,6449,4543,5676,4565,2438,4439,810,42292,Ballarat (C)
20660,7265,16748,7578,5550,9344,5458,2089,3410,1230,58672,Banyule (C)
20740,1774,1766,2181,1253,1233,1262,692,1723,256,12140,Bass Coast (S)
20830,3148,3250,3284,1874,2255,1621,1454,2554,363,19803,Baw Baw (S)
20910,9019,14519,3328,3453,5978,4394,646,1355,1045,43737,Bayside (C)
21010,991,904,917,619,646,553,462,805,126,6023,Benalla (RC)
21110,14229,31120,5027,6119,11040,7295,1003,2723,1738,80294,Boroondara (C)
21180,5959,10479,11306,7122,11574,7605,9129,10714,2493,76381,Brimbank (C)
21270,895,341,306,203,224,167,201,341,49,2727,Buloke (S)
21370,2949,2089,2340,1528,1674,1486,1215,2354,307,15942,Campaspe (S)
21450,4527,5043,6880,3254,5271,3548,3111,3898,724,36256,Cardinia (S)
21610,11876,16542,20506,10442,19244,12357,12209,13415,2943,119534,Casey (C)
21670,576,525,750,471,438,506,359,714,90,4429,Central Goldfields (S)
21750,1758,1168,1301,1040,841,864,685,1666,155,9478,Colac-Otway (S)
21830,2321,833,904,588,603,575,501,1113,128,7566,Corangamite (S)
21890,7267,18337,7648,5935,9369,5574,3157,4949,1572,63808,Darebin (C)
41960,170,49,84,44,37,33,73,78,9,577,Franklin Harbour (DC)
17650,527,450,386,297,334,203,159,350,29,2735,Uralla (A)
17700,194,34,26,28,49,16,69,78,3,497,Urana (A)
22110,2674,2532,2581,1960,1893,1671,1097,2305,334,17047,East Gippsland (S)
22170,6259,9375,10886,6020,9300,6775,4481,6137,1347,60580,Frankston (C)
22250,1157,505,576,356,446,351,347,546,95,4379,Gannawarra (S)
42110,532,140,235,148,142,119,115,309,29,1769,Goyder (DC)
42250,837,465,582,296,485,322,357,534,77,3955,Grant (DC)
22670,3788,6691,8583,4787,7092,4732,7341,9214,1848,54076,Greater Dandenong (C)
22750,9828,18625,15496,10744,12192,10024,6376,10107,2006,95398,Greater Geelong (C)
22830,3972,4451,3768,2378,3246,2730,1806,3772,527,26650,Greater Shepparton (C)
22910,1011,1209,961,677,675,489,325,726,127,6200,Hepburn (S)
22980,645,302,264,229,227,146,214,367,44,2438,Hindmarsh (S)
23110,4909,9004,5321,3358,6255,3297,2902,3454,942,39442,Hobsons Bay (C)
23190,1553,1560,1358,886,1120,1003,617,901,177,9175,Horsham (RC)
23270,6350,9186,11993,6865,11837,7236,7451,8004,2005,70927,Hume (C)
23350,1269,1392,1035,697,779,598,518,928,140,7356,Indigo (S)
23430,9089,15713,10114,6232,11616,7331,3654,5092,1547,70388,Kingston (C)
23670,8860,14993,12587,6832,13256,8478,4721,6458,1411,77596,Knox (C)
23810,2847,4527,5720,3109,4138,3213,2409,3585,711,30259,Latrobe (C)
23940,1080,301,292,229,250,165,178,392,51,2938,Loddon (S)
24130,2893,4330,3540,2106,2836,1767,1042,1751,391,20656,Macedon Ranges (S)
24210,8565,14749,6023,4316,8309,6016,1452,2707,1053,53190,Manningham (C)
24250,694,541,632,386,362,362,223,444,68,3712,Mansfield (S)
24330,4130,9511,3778,3236,5011,2911,2073,3120,903,34673,Maribyrnong (C)
24410,6267,11565,8253,4970,8915,5715,2392,3962,944,52983,Maroondah (C)
24600,7160,20407,3200,4576,6434,3626,613,1658,1099,48773,Melbourne (C)
24650,4932,7195,8177,4844,8625,5185,5470,5226,1282,50936,Melton (S)
24780,3330,3309,2996,2119,2546,2406,1551,2781,440,21478,Mildura (RC)
24850,1937,2047,2787,1821,2243,1407,1529,1829,361,15961,Mitchell (S)
24900,2402,1328,1659,1085,1119,1012,856,1956,244,11661,Moira (S)
24970,9878,22581,8926,6488,12300,7899,3140,5484,1635,78331,Monash (C)
25060,7367,14754,5884,4584,9074,5089,2056,3127,1205,53140,Moonee Valley (C)
25150,1713,2052,2311,1287,1951,1161,1310,1293,248,13326,Moorabool (S)
25250,7775,20279,8561,6280,10702,5997,3470,5060,1731,69855,Moreland (C)
25340,8472,11551,11874,6637,8036,6962,2932,5858,1307,63629,Mornington Peninsula (S)
45680,2691,2841,4733,3503,4164,3202,3649,5158,649,30590,Playford (C)
25430,1086,1598,1038,797,789,578,407,996,136,7425,Mount Alexander (S)
25490,2424,1058,956,616,634,538,468,975,155,7824,Moyne (S)
25620,1082,882,1022,693,615,404,396,713,130,5937,Murrindindi (S)
25710,4909,8243,4998,3080,5216,3302,962,1734,634,33078,Nillumbik (S)
25810,986,642,673,629,486,456,388,829,92,5181,Northern Grampians (S)
25900,10212,21244,4225,4258,7118,4376,743,1589,1169,54934,Port Phillip (C)
25990,645,310,371,230,251,172,213,353,54,2599,Pyrenees (S)
26080,211,326,130,117,143,92,35,70,30,1154,Queenscliffe (B)
26170,2746,1716,1892,1052,1270,1105,924,1541,245,12491,South Gippsland (S)
26260,1728,1197,1114,739,827,681,439,869,131,7725,Southern Grampians (S)
26350,9331,19890,3229,3854,6895,4461,616,1502,1157,50935,Stonnington (C)
26430,946,562,577,370,401,285,305,616,93,4155,Strathbogie (S)
26490,2041,3038,1956,1224,1406,1149,454,968,256,12492,Surf Coast (S)
26610,1920,1265,1145,817,962,846,597,1224,177,8953,Swan Hill (RC)
26670,815,360,389,224,293,155,185,282,49,2752,Towong (S)
26700,1923,2116,1795,1298,1435,1297,1008,1462,245,12579,Wangaratta (RC)
26730,1630,2816,2363,1569,1786,1800,939,1978,241,15122,Warrnambool (C)
26810,3091,2736,2975,1859,1941,1538,1242,2186,317,17885,Wellington (S)
26890,826,226,153,140,149,91,129,281,40,2035,West Wimmera (S)
26980,9368,21982,7941,6315,10977,6966,2143,4306,1324,71322,Whitehorse (C)
27070,6688,10547,11549,6749,11706,7922,6610,7988,1733,71492,Whittlesea (C)
27170,1742,2724,2862,1861,2294,1748,1383,1932,342,16888,Wodonga (RC)
27260,8040,13387,11143,7237,13258,7478,7658,7174,1884,77259,Wyndham (C)
27350,6614,18527,3099,3446,5288,3062,724,1522,759,43041,Yarra (C)
27450,8965,12636,13879,7461,10770,7058,4362,7045,1407,73583,Yarra Ranges (S)
27630,881,372,297,283,245,171,196,348,52,2845,Yarriambiack (S)
29399,115,46,75,101,29,55,53,54,14,542,Unincorporated Vic
30250,18,63,12,38,16,14,11,51,11,234,Aurukun (S)
30300,594,248,252,165,223,147,260,365,47,2301,Balonne (S)
30370,1494,753,1243,456,684,438,1196,1144,118,7526,Banana (S)
30410,469,157,201,121,151,75,163,289,15,1641,Barcaldine (R)
30450,69,14,19,14,20,0,22,54,9,221,Barcoo (S)
30760,298,90,105,81,100,85,109,238,12,1118,Blackall Tambo (R)
36070,20,36,22,44,24,10,8,58,18,240,Pormpuraaw (S)
36150,170,41,56,39,50,24,62,86,15,543,Quilpie (S)
36250,8333,11053,11123,6521,11754,7197,4234,6660,1084,67959,Redland (C)
36300,139,35,43,28,39,20,40,101,15,460,Richmond (S)
36360,4859,7769,8656,5103,6907,4674,4925,5974,973,49840,Rockhampton (R)
36510,2619,2314,2659,1674,1993,1266,1267,2106,267,16165,Scenic Rim (R)
36580,1319,923,1307,869,1027,686,939,1538,137,8745,Somerset (R)
36630,1908,1489,1703,1257,1257,1112,1079,1924,188,11917,South Burnett (R)
36660,2394,1692,1893,1403,1564,1339,1317,2529,209,14340,Southern Downs (R)
36710,16489,24396,21757,14737,18364,15762,7168,14258,2142,135073,Sunshine Coast (R)
36810,2907,2494,2648,1927,2020,1549,1447,2481,337,17810,Tablelands (R)
36910,8630,12184,10575,6809,9545,6407,4898,8691,1086,68825,Toowoomba (R)
36950,147,299,146,177,231,65,51,168,57,1341,Torres (S)
36960,106,240,107,187,147,59,62,517,87,1512,Torres Strait Island (R)
37010,8502,15059,14571,10598,12477,8452,7136,8638,1585,87018,Townsville (C)
50280,1030,805,1020,559,576,548,293,839,73,5743,Augusta-Margaret River (S)
50350,733,1558,1216,739,1157,610,489,636,121,7259,Bassendean (T)
51080,229,50,48,31,34,12,21,58,8,491,Broomehill-Tambellup (S)
53220,378,853,1932,290,501,125,1937,738,90,6844,East Pilbara (S)
53290,1240,768,1007,530,737,546,624,824,85,6361,Esperance (S)
53360,177,151,255,134,174,107,69,184,17,1268,Exmouth (S)
53430,1674,4546,1702,1245,1592,943,513,948,149,13312,Fremantle (C)
53520,1830,2505,3164,1721,2208,1620,1689,1941,236,16914,Geraldton-Greenough (C)
53570,448,158,288,119,211,111,219,367,38,1959,Gingin (S)
53640,270,42,67,35,50,30,48,69,7,618,Gnowangerup (S)
34770,5894,7402,12149,4099,7474,4958,7992,6364,1011,57343,Mackay (R)
34800,188,51,85,23,47,26,129,119,13,681,McKinlay (S)
41140,949,644,587,338,470,318,243,621,54,4224,Clare and Gilbert Valleys (DC)
47910,407,118,142,99,109,78,84,135,12,1184,Tumby Bay (DC)
54410,105,47,70,49,48,28,38,67,8,460,Kellerberrin (S)
55110,2578,3688,5628,3005,3420,2955,2769,3266,420,27729,Mandurah (C)
55180,872,488,546,370,458,348,359,777,66,4284,Manjimup (S)
55250,77,85,119,54,50,14,149,80,19,647,Meekatharra (S)
55320,6916,14401,5652,4320,7730,4355,1526,2792,681,48373,Melville (C)
56620,46,77,13,74,36,6,6,153,24,435,Ngaanyatjarraku (S)
55460,298,207,264,123,179,128,176,166,27,1568,Merredin (S)
56020,122,29,38,31,30,3,54,31,5,343,Mullewa (S)
56090,2112,3360,3081,1714,2824,1638,1265,1438,235,17667,Mundaring (S)
57350,149,37,51,38,36,23,49,43,4,430,Quairading (S)
57420,267,103,219,53,95,34,182,119,10,1082,Ravensthorpe (S)
57490,4528,6207,10228,5710,6613,4496,4371,5208,737,48098,Rockingham (C)
57560,1121,1618,3182,715,1615,565,1441,1418,255,11930,Roebourne (S)
56450,149,62,58,38,46,17,26,45,12,453,Narrogin (S)
65410,677,811,981,641,652,526,564,727,80,5659,Waratah/Wynyard (M)
65610,194,193,349,205,166,114,433,327,33,2014,West Coast (M)
65810,1205,1990,1595,1072,1352,939,703,923,137,9916,West Tamar (M)
69399,3,12,24,10,0,3,0,20,3,75,
69499,14,59,51,28,26,15,29,74,6,302,
56790,361,147,149,129,99,86,129,218,29,1347,Northampton (S)
56860,37,12,11,7,12,0,13,9,3,104,Nungarin (S)
57700,1045,1034,1907,778,1387,694,972,861,134,8812,Serpentine-Jarrahdale (S)
57770,75,47,69,42,54,34,42,74,9,446,Shark Bay (S)
57840,3136,7295,2135,1786,3210,1766,602,1138,263,21331,South Perth (C)
57910,11904,26141,13423,9069,14983,8934,4746,8071,1455,98726,Stirling (C)
57980,1278,4167,588,698,1067,645,122,403,93,9061,Subiaco (C)
58050,5519,7150,9625,5453,8715,5182,5146,5711,862,53363,Swan (C)
58190,75,9,12,7,15,5,12,31,0,166,Tammin (S)
58260,99,15,43,24,21,17,28,29,3,279,Three Springs (S)
73600,199,265,113,286,110,59,87,460,114,1693,Roper Gulf (S)
58510,1963,4755,2321,1573,2497,1231,835,1368,226,16769,Victoria Park (T)
58610,225,75,110,71,86,52,70,101,6,796,Wagin (S)
58680,90,19,29,7,26,4,41,23,0,239,Wandering (S)
58760,7383,10847,14601,7686,11413,7096,5356,7971,1025,73378,Wanneroo (C)
58820,163,118,353,131,151,84,267,235,23,1525,Waroona (S)
58890,261,20,49,15,34,10,36,34,9,468,West Arthur (S)
79399,497,706,796,439,440,198,526,412,93,4107,Unincorporated NT
79499,41,107,98,95,44,29,50,103,12,579,
89399,31000,57996,19885,18184,37478,13342,4666,9246,3820,195617,Unincorporated ACT
89499,31,86,26,49,32,17,10,20,3,274,
59250,39,108,196,41,37,3,198,91,10,723,Wiluna (S)
59320,96,26,22,3,16,7,11,24,0,205,Woodanilling (S)
59330,82,29,18,9,26,12,18,17,6,217,Wyalkatchem (S)
59340,490,713,585,406,487,164,363,435,101,3744,Wyndham-East Kimberley (S)
59350,26,27,56,9,22,0,76,25,4,245,Yalgoo (S)
11250,686,1049,1105,990,826,667,769,783,132,7007,Broken Hill (C)
13310,1373,1720,1754,1801,1585,1217,1048,1423,195,12116,Goulburn Mulwaree (A)
13320,1428,1653,1674,1345,1262,1312,696,1498,200,11068,Great Lakes (A)
13340,1131,559,623,379,526,311,427,528,75,4559,Greater Hume Shire (A)
13380,1903,2723,2495,1889,1932,1871,1083,2281,221,16398,Greater Taree (C)
13450,1967,1405,1560,845,1390,1226,752,1862,210,11217,Griffith (C)
13500,380,173,210,145,154,99,136,347,37,1681,Gundagai (A)
13550,1006,662,665,468,540,460,650,693,81,5225,Gunnedah (A)
13650,492,177,224,147,186,126,105,332,36,1825,Guyra (A)
13660,700,216,189,161,190,112,166,272,26,2032,Gwydir (A)
10050,2477,4232,3408,2399,3113,2425,1644,2374,363,22435,Albury (C)
10110,1432,2573,1241,1116,1404,1110,347,1012,142,10377,Armidale Dumaresq (A)
13700,387,166,193,117,150,78,107,208,33,1439,Harden (A)
13800,3920,4733,5860,2983,4808,2759,2641,2936,533,31173,Hawkesbury (C)
13850,248,134,180,124,136,111,116,227,27,1303,Hay (A)
13950,3965,8478,6094,3537,7915,3797,3636,3926,949,42297,Holroyd (C)
14000,11895,25964,7987,6276,12589,6622,1900,4028,1289,78550,Hornsby (A)
14100,1320,2152,340,388,875,445,62,189,112,5883,Hunters Hill (A)
14150,4102,8712,4609,3313,6640,3362,2154,2798,746,36436,Hurstville (C)
14200,1137,887,839,695,622,712,356,988,98,6334,Inverell (A)
14250,304,49,80,47,82,30,39,71,7,709,Jerilderie (A)
10150,2527,6683,2087,1884,3219,1786,749,1356,328,20619,Ashfield (A)
10200,2770,6015,4105,2418,4139,2511,2335,3717,900,28910,Auburn (C)
10250,2279,3393,2300,1887,2107,1863,799,1747,215,16590,Ballina (A)
10300,295,74,103,97,102,51,100,184,23,1029,Balranald (A)
10350,6990,12106,10772,5981,12601,6639,6205,6824,1751,69869,Bankstown (C)
10470,2153,3293,2615,1958,2239,1765,1133,2107,269,17532,Bathurst Regional (A)
10550,1859,2085,1965,1525,1459,1335,837,1810,166,13041,Bega Valley (A)
10600,711,992,668,561,497,384,284,586,95,4778,Bellingen (A)
10650,716,414,474,369,326,269,323,470,51,3412,Berrigan (A)
10750,12089,23338,18126,11953,24433,12409,14562,14053,2826,133789,Blacktown (C)
10800,826,254,360,201,246,150,315,297,47,2696,Bland (A)
10850,543,399,458,271,370,201,421,396,55,3114,Blayney (A)
10900,4283,10256,4687,4065,5095,2746,1546,2424,508,35610,Blue Mountains (C)
10950,337,127,135,114,109,65,166,168,27,1248,Bogan (A)
11000,260,120,137,88,99,67,134,168,19,1092,Bombala (A)
11050,311,112,134,92,88,69,66,159,18,1049,Boorowa (A)
11100,2029,3602,2380,1880,3274,1821,1444,1593,373,18396,Botany Bay (C)
11150,262,204,122,163,134,80,80,125,32,1202,Bourke (A)
11200,156,86,47,106,56,13,31,106,18,619,Brewarrina (A)
13010,745,436,438,354,358,312,232,475,65,3415,Glen Innes Severn (A)
11300,1715,4229,1718,1350,2350,1509,575,1267,382,15095,Burwood (A)
11350,1864,2960,1773,1443,1273,1281,470,1308,246,12618,Byron (A)
11400,1387,928,838,515,738,368,499,654,100,6027,Cabonne (A)
11450,3742,5035,4364,2750,5030,2890,2403,2114,430,28758,Camden (A)
11500,5574,9295,9669,6669,11767,6347,7322,7151,1259,65053,Campbelltown (C)
11520,7095,12336,3564,2751,6344,3441,884,1586,677,38678,Canada Bay (A)
11550,5222,10365,7773,5125,8449,5388,4687,6230,1425,54664,Canterbury (C)
11600,439,109,113,94,114,40,163,211,21,1304,Carrathool (A)
11700,231,106,42,110,53,12,40,178,15,787,Central Darling (A)
11720,1819,2248,3975,2188,2388,2036,3046,2804,379,20883,Cessnock (C)
11730,2191,2563,2507,2355,2139,2018,1286,2404,298,17761,Clarence Valley (A)
11750,341,224,429,180,190,130,442,241,43,2220,Cobar (A)
11800,3428,4982,3961,3316,3972,3268,1478,3193,396,27994,Coffs Harbour (C)
11860,431,83,50,42,57,26,35,99,12,835,Conargo (A)
12000,453,215,235,169,174,103,148,181,22,1700,Coolamon (A)
12050,760,724,664,458,612,446,251,484,87,4486,Cooma-Monaro (A)
12150,476,174,160,189,154,78,113,225,40,1609,Coonamble (A)
12200,429,413,385,301,327,249,205,435,44,2788,Cootamundra (A)
12300,757,512,737,434,417,408,360,915,94,4634,Corowa Shire (A)
12350,922,631,656,479,511,445,317,673,100,4734,Cowra (A)
12500,353,448,478,360,423,327,251,330,53,3023,Deniliquin (A)
12600,2229,3300,2684,2020,2715,2058,1146,1981,264,18397,Dubbo (C)
12700,639,511,639,327,460,288,355,439,64,3722,Dungog (A)
12750,1541,1977,2067,1567,1577,1476,688,1428,211,12532,Eurobodalla (A)
17100,1986,5113,1795,1322,2566,1523,610,1142,435,16492,Strathfield (A)
17150,15760,25379,15329,10814,20332,10900,4401,5928,1624,110467,Sutherland Shire (A)
17200,16010,37595,7409,8942,12664,7202,1406,3781,1787,96796,Sydney (C)
17310,3366,4191,3619,2432,3241,2486,1733,3434,392,24894,Tamworth Regional (A)
17350,530,323,333,237,263,218,163,271,36,2374,Temora (A)
17400,643,275,326,244,253,178,207,397,63,2586,Tenterfield (A)
17420,15129,24536,9716,6177,15159,8588,2753,3944,1355,87357,The Hills Shire (A)
17450,366,138,195,128,131,84,162,218,24,1446,Tumbarumba (A)
17500,707,610,775,449,476,381,544,827,90,4859,Tumut Shire (A)
17550,3669,5428,5130,4049,4105,3846,1975,3940,522,32664,Tweed (A)
17620,1081,749,1112,492,626,448,865,1037,117,6527,Upper Hunter Shire (A)
17640,1015,481,470,329,358,206,206,343,65,3473,Upper Lachlan Shire (A)
22310,9919,21969,6379,5289,10028,6323,1630,2972,1535,66044,Glen Eira (C)
22410,1479,1179,1378,823,856,742,952,1186,207,8802,Glenelg (S)
22490,1263,1345,1625,853,1086,803,760,1052,190,8977,Golden Plains (S)
22620,5166,8869,6857,4808,5992,4989,2874,5306,884,45745,Greater Bendigo (C)
30900,60,17,21,6,16,12,29,59,11,231,Boulia (S)
31000,67915,156781,60228,49453,87220,48226,23186,37760,9620,540389,Brisbane (C)
50420,3364,7207,5104,3095,5020,2817,2019,2702,458,31786,Bayswater (C)
50490,1689,3205,2957,1685,2752,1422,1601,1705,299,17315,Belmont (C)
50560,202,62,82,58,53,22,62,63,6,610,Beverley (S)
50630,123,142,282,80,111,22,236,123,29,1148,Boddington (S)
50770,290,64,70,41,55,35,58,111,12,736,Boyup Brook (S)
50840,312,266,328,192,205,150,200,265,37,1955,Bridgetown-Greenbushes (S)
50910,167,26,35,43,32,22,31,36,9,401,Brookton (S)
50980,955,1344,1153,890,993,537,396,650,131,7049,Broome (S)
31750,62,13,39,8,24,4,30,54,0,234,Bulloo (S)
31900,1372,805,1272,658,920,609,975,1280,122,8013,Burdekin (S)
31950,40,43,48,13,30,4,55,59,0,292,Burke (S)
32070,8557,12888,11903,9165,10576,8113,4360,7576,1368,74506,Cairns (R)
32250,129,86,110,76,81,24,84,225,32,847,Carpentaria (S)
32260,1987,1279,2011,1119,1297,1005,1145,2396,235,12474,Cassowary Coast (R)
32270,2224,1637,2871,843,1766,870,3031,1733,292,15267,Central Highlands (R)
32310,749,628,830,441,480,406,749,743,114,5140,Charters Towers (R)
51120,174,40,46,42,38,17,39,33,9,438,Bruce Rock (S)
51190,1358,2241,2909,1339,1791,1440,1413,2019,188,14698,Bunbury (C)
51260,1909,1971,2573,1302,1628,1501,895,1840,165,13784,Busselton (S)
51310,2160,5169,934,903,1603,967,222,487,153,12598,Cambridge (T)
51330,4296,10192,6142,4234,6848,3929,2770,3974,647,43032,Canning (C)
51400,820,1247,1325,588,898,590,626,709,73,6876,Capel (S)
51470,83,30,34,13,20,20,39,24,0,263,Carnamah (S)
51540,534,299,328,231,305,160,224,400,49,2530,Carnarvon (S)
51610,171,62,86,35,64,33,45,69,6,571,Chapman Valley (S)
32330,14,16,8,61,20,6,11,59,5,200,Cherbourg (S)
32450,202,206,275,100,202,76,327,253,36,1677,Cloncurry (S)
32500,279,248,198,176,153,83,134,276,43,1590,Cook (S)
32600,38,18,15,8,9,0,12,32,3,135,Croydon (S)
37300,150,278,433,134,186,93,395,132,41,1842,Weipa (T)
37310,3075,1595,2193,1096,1669,1093,1612,1964,241,14538,Western Downs (R)
37340,2064,1614,2732,1501,1660,1371,1850,2398,279,15469,Whitsunday (R)
32750,32,20,28,16,14,0,30,46,0,186,Diamantina (S)
32770,16,40,23,62,21,12,10,90,8,282,Doomadgee (S)
33100,150,28,31,30,32,12,52,100,23,458,Etheridge (S)
33200,274,57,94,58,88,51,119,146,13,900,Flinders (S)
33220,3226,4894,5040,4224,4359,3477,2433,4012,569,32234,Fraser Coast (R)
33360,2613,3596,6331,2007,3286,2344,3870,3642,595,28284,Gladstone (R)
33430,28562,40315,35682,25168,33654,29438,11838,22684,4305,231646,Gold Coast (C)
33610,1184,543,608,427,542,377,563,744,70,5058,Goondiwindi (R)
33620,2401,2128,2682,1767,2026,1702,1619,2707,319,17351,Gympie (R)
33800,833,616,872,470,535,445,657,703,86,5217,Hinchinbrook (S)
33830,19,40,40,39,30,4,22,74,14,282,Hope Vale (S)
33960,6594,10198,12100,8442,11708,7018,7389,9851,1511,74811,Ipswich (C)
33980,1441,1300,2482,559,1152,591,2929,1387,226,12067,Isaac (R)
