lga_code_2016,opds_separate_house_dwellings,opds_separate_house_persons,opds_sd_r_t_h_th_1_sty_dwgs,opds_sd_r_t_h_th_1_sty_psns,opds_sd_r_t_h_th_2_m_sty_dwgs,opds_sd_r_t_h_th_2_m_sty_psns,opds_sd_r_t_h_th_tot_dwgs,opds_sd_r_t_h_th_tot_psns,opds_f_ap_i_1or2_sty_blk_ds,opds_f_ap_i_1or2_sty_blk_ps,opds_f_ap_i_3_sty_blk_dwgs,opds_f_ap_i_3_sty_blk_psns,opds_f_ap_i_4_m_sty_blk_ds,opds_f_ap_i_4_m_sty_blk_ps,opds_flt_apt_att_house_ds,opds_flt_apt_att_house_ps,opds_flt_apart_tot_dwgs,opds_flt_apart_tot_psns,opds_oth_dwg_cvn_ds,opds_oth_dw_cvn_ps,opds_oth_dwg_cab_hboat_ds,opds_oth_dwg_cab_hboat_ps,opds_ot_dwg_im_hm_tnt_so_ds,opds_ot_dwg_im_hm_tnt_so_ps,opds_ot_dwg_hs_f_att_sh_of_ds,opds_ot_dwg_hs_f_att_sh_of_ps,opds_other_dwelling_tot_dwgs,opds_other_dwelling_tot_psns,opds_dwlling_structur_ns_dwgs,opds_dwlling_structur_ns_psns,opds_tot_opds_dwellings,opds_tot_opds_persons,unoccupied_pds_dwgs,total_pds_dwellings,total_pds_persons,lga_name16
21270,2516,5622,37,51,0,5,44,58,67,91,0,0,0,0,0,0,67,91,42,72,4,3,0,0,17,37,66,111,9,24,2694,5899,494,3191,5899,Buloke (S)
21370,13181,32704,830,1234,21,30,846,1264,498,739,0,0,0,0,5,9,505,743,119,184,63,95,9,15,30,68,213,366,65,153,14816,35233,1988,16798,35233,Campaspe (S)
21450,29773,86796,1884,3652,592,1364,2481,5019,151,223,0,0,0,0,0,5,149,227,41,53,91,127,18,26,15,46,165,251,84,191,32656,92484,2418,35074,92484,Cardinia (S)
21610,85977,272858,6764,15879,1943,5401,8709,21279,967,1749,47,80,15,43,3,11,1039,1883,50,66,128,177,17,22,170,455,363,724,139,345,96228,297087,5772,101998,297087,Casey (C)
21670,5184,11632,337,502,3,5,339,509,86,97,0,0,0,0,0,0,87,100,73,106,15,24,11,19,35,73,142,215,21,47,5777,12498,847,6623,12498,Central Goldfields (S)
21750,7732,18537,603,831,41,73,641,905,69,112,0,0,3,9,0,0,72,116,51,86,61,108,18,30,22,61,162,281,52,103,8659,19946,3015,11675,19946,Colac-Otway (S)
21830,6082,14545,114,141,8,11,116,150,146,206,0,0,3,5,0,0,150,211,7,11,37,82,0,3,24,43,73,137,67,170,6483,15220,1210,7697,15220,Corangamite (S)
21890,33812,93090,8968,18808,6223,14638,15186,33447,5273,9053,1516,2597,2035,3611,8,11,8829,15259,4,6,7,13,8,9,367,799,387,820,204,426,58412,143045,5081,63496,143045,Darebin (C)
22110,17367,39623,667,991,72,133,736,1125,354,544,0,5,6,6,3,3,364,552,173,268,178,286,35,79,54,104,449,733,232,426,19152,42457,4931,24086,42457,East Gippsland (S)
22170,41178,110830,7168,12319,1946,4113,9116,16438,1402,2214,157,236,117,159,9,9,1680,2620,44,72,477,620,76,83,57,143,648,918,75,141,52700,130950,4169,56873,130950,Frankston (C)
22250,4282,9741,11,13,0,0,11,13,136,157,0,0,0,0,0,0,136,157,54,79,9,13,0,0,15,24,77,113,12,28,4513,10055,773,5283,10055,Gannawarra (S)
22830,21243,55723,2259,3939,120,248,2377,4190,184,296,23,28,0,0,0,0,212,330,200,293,216,302,51,57,47,121,514,774,61,162,24406,61176,2471,26881,61176,Greater Shepparton (C)
22910,5957,13375,123,166,12,18,135,188,57,72,0,0,4,3,0,6,64,79,33,40,5,11,8,21,321,712,366,782,112,241,6637,14664,2032,8666,14664,Hepburn (S)
22980,2204,4979,108,218,8,10,115,230,89,101,0,0,0,0,0,0,89,101,9,29,0,0,4,11,3,12,21,42,28,53,2454,5406,574,3026,5406,Hindmarsh (S)
23110,22369,61018,4830,10324,4191,11030,9017,21357,1942,3350,230,368,350,615,3,7,2522,4337,46,62,27,33,7,14,90,207,168,321,115,252,34195,87287,2947,37146,87287,Hobsons Bay (C)
23190,7092,17109,473,653,11,27,484,680,431,624,0,0,0,0,0,3,429,624,9,15,11,11,7,3,11,25,31,66,44,89,8084,18563,1110,9192,18563,Horsham (RC)
23270,54020,173450,4170,10056,2085,5844,6261,15906,2152,4933,3,12,126,287,4,8,2288,5237,22,29,267,348,6,14,187,573,482,971,167,414,63210,195975,4150,67360,195975,Hume (C)
23350,5781,14219,107,166,0,0,107,166,243,342,0,0,0,0,0,0,243,342,31,58,25,40,4,4,30,62,95,165,47,108,6267,15000,727,6998,15000,Indigo (S)
23430,34698,99320,9754,19112,5385,13648,15138,32759,6511,11644,952,1687,817,1413,15,21,8289,14761,73,107,192,240,3,4,147,300,417,657,221,494,58769,147991,5029,63794,147991,Kingston (C) (Vic.)
23670,46739,134158,4828,9132,1992,4761,6822,13894,964,1535,280,453,177,302,5,4,1434,2299,34,66,137,173,13,12,151,429,339,684,105,211,55442,151254,3645,59086,151254,Knox (C)
23810,26438,64518,1758,2489,131,261,1891,2750,1672,2345,0,0,0,0,0,0,1672,2348,39,50,73,97,7,10,21,33,135,190,146,226,30280,70031,3827,34108,70031,Latrobe (C) (Vic.)
23940,3097,6901,11,15,0,0,11,15,63,75,0,0,0,0,0,0,63,75,51,76,6,20,12,17,18,43,93,155,55,119,3319,7261,844,4159,7261,Loddon (S)
24130,15659,42671,741,1214,20,41,761,1255,164,252,0,0,0,4,6,11,170,263,18,25,25,33,4,11,55,115,98,180,75,151,16764,44513,1858,18618,44513,Macedon Ranges (S)
24210,31764,91793,2853,5989,3837,10714,6692,16705,1155,2369,519,995,1192,2279,6,9,2866,5654,23,39,10,16,0,3,27,74,59,135,166,301,41541,114590,3813,45355,114590,Manningham (C)
24250,3354,7587,47,82,0,0,47,82,45,87,0,0,0,0,0,0,45,87,22,33,26,49,3,5,16,35,65,122,30,51,3537,7934,2381,5919,7934,Mansfield (S)
24330,16360,45663,2721,5788,5175,13981,7894,19765,3549,6958,1744,3292,2710,4853,39,81,8043,15188,11,18,84,205,20,24,191,438,299,685,135,241,32735,81544,2962,35697,81544,Maribyrnong (C)
24410,36506,97588,2655,5029,991,2256,3644,7281,485,1015,413,753,160,259,0,4,1060,2021,3,6,3,16,9,10,26,65,47,95,110,244,41362,107236,3065,44424,107236,Maroondah (C)
24600,1856,4839,2557,5666,5246,13516,7797,19185,1948,3792,5524,10173,47724,93819,21,48,55214,107831,0,0,15,26,355,365,110,245,480,636,454,861,65795,133354,9720,75516,133354,Melbourne (C)
24650,38356,120112,3396,7914,1552,4373,4946,12287,235,500,63,119,115,243,8,7,418,871,65,87,80,108,9,13,23,63,171,278,91,238,43981,133789,2710,46691,133789,Melton (C)
24780,17741,45951,1808,2994,77,136,1891,3130,1321,2011,3,0,0,0,0,0,1323,2013,303,508,191,360,15,33,23,58,535,961,164,356,21649,52408,2368,24022,52408,Mildura (RC)
24850,13721,37697,461,764,46,102,507,866,410,604,0,4,0,4,0,3,414,611,67,97,69,104,11,14,18,31,165,241,66,156,14864,39573,1427,16297,39573,Mitchell (S)
24900,10523,25619,341,515,29,71,369,586,532,763,0,0,3,3,3,3,536,768,80,114,58,102,11,19,22,65,173,299,132,252,11733,27524,2017,13752,27524,Moira (S)
24970,46211,133921,5702,13511,4437,13033,10146,26544,5863,13737,1103,2070,1297,2232,6,19,8270,18061,3,12,3,3,3,8,47,115,57,132,224,515,64913,179180,5594,70510,179180,Monash (C)
25060,25887,72689,4428,9336,5111,12654,9539,21990,3756,6880,3418,5957,3037,6200,14,22,10226,19054,5,7,0,5,3,0,203,444,211,460,159,346,46010,114543,4107,50119,114543,Moonee Valley (C)
25150,10750,29177,718,1354,87,167,806,1515,142,180,0,0,0,0,0,0,146,181,21,24,24,30,6,14,40,92,88,164,54,116,11849,31157,1258,13103,31157,Moorabool (S)
25250,35894,99538,7828,16587,9271,22637,17098,39231,5290,9558,1627,2817,4173,7181,30,77,11123,19631,12,44,7,17,11,16,290,683,325,751,239,575,64688,159722,5963,70650,159722,Moreland (C)
25340,51346,130486,4658,7723,1489,3124,6147,10845,2761,4297,59,93,23,49,8,13,2846,4452,171,241,341,456,48,65,28,62,587,827,175,337,61110,146944,27890,88996,146944,Mornington Peninsula (S)
17310,20136,51663,1627,2513,392,642,2020,3150,472,730,21,31,13,26,3,7,516,795,237,349,75,120,20,36,309,817,637,1323,160,411,23459,57346,2580,26041,57346,Tamworth Regional (A)
17350,2246,5512,44,71,0,0,44,71,123,166,0,0,0,0,0,0,123,166,15,26,0,0,3,4,19,32,34,66,14,41,2463,5845,348,2816,5845,Temora (A)
17400,2805,6163,61,76,0,0,61,76,45,72,0,0,0,0,0,0,45,72,63,113,31,50,15,25,13,32,126,216,22,27,3050,6552,640,3686,6552,Tenterfield (A)
22490,7447,20924,18,41,0,0,18,41,25,40,0,0,0,0,0,0,25,40,14,27,13,18,13,34,6,23,42,109,21,40,7558,21164,783,8342,21164,Golden Plains (S)
22620,39166,98632,3115,4822,433,834,3543,5654,580,940,123,176,16,22,0,0,723,1138,124,178,116,170,26,32,66,132,330,514,215,420,43969,106351,5013,48989,106351,Greater Bendigo (C)
22670,36174,114110,6211,15166,2424,7184,8630,22350,4804,10695,510,1037,366,766,15,45,5695,12552,148,175,137,213,22,40,222,639,534,1068,139,298,51171,150376,3524,54694,150376,Greater Dandenong (C)
22750,77722,198347,8304,13699,1874,3749,10183,17446,2420,3840,151,217,230,371,8,11,2811,4443,127,195,325,449,69,78,275,787,796,1508,304,660,91802,222397,14206,106008,222397,Greater Geelong (C)
25430,7451,16633,285,406,11,12,290,421,60,67,0,0,0,0,4,6,65,66,25,39,12,22,7,5,17,39,67,104,67,128,7933,17361,1352,9291,17361,Mount Alexander (S)
25490,6106,15476,79,104,18,40,96,146,31,61,0,0,0,0,0,3,31,69,31,50,37,52,8,11,30,57,97,169,49,114,6372,15967,1679,8055,15967,Moyne (S)
25620,5291,12237,142,202,0,0,142,208,53,77,0,0,0,0,3,3,57,76,82,113,64,94,29,64,27,51,200,326,63,113,5753,12960,1762,7518,12960,Murrindindi (S)
25710,19102,57002,354,577,368,875,720,1452,513,914,23,30,0,3,0,4,540,957,7,13,3,6,6,13,4,20,17,48,59,141,20438,59602,1307,21741,59602,Nillumbik (S)
25810,4618,10329,91,123,0,4,95,128,185,253,0,0,0,0,0,0,182,252,70,100,59,98,9,19,16,30,152,252,56,123,5105,11079,959,6065,11079,Northern Grampians (S)
25900,4269,11633,6144,14162,5301,13120,11444,27283,7569,13006,12292,20173,14107,24472,51,95,34025,57749,8,13,3,8,76,71,569,998,651,1088,209,371,50601,98114,7142,57747,98114,Port Phillip (C)
25990,2853,6436,0,3,0,0,0,3,22,30,0,0,0,0,0,0,22,30,18,18,20,30,3,4,6,5,43,67,20,46,2943,6581,626,3568,6581,Pyrenees (S)
26080,1140,2382,72,102,20,46,95,150,32,41,0,0,0,0,0,0,32,41,0,0,11,17,0,0,13,24,27,44,11,15,1296,2639,1500,2802,2639,Queenscliffe (B)
26170,11003,26324,257,360,9,16,260,369,274,379,0,0,0,0,7,8,277,384,50,57,12,18,5,18,45,78,109,168,70,123,11718,27369,4155,15873,27369,South Gippsland (S)
26260,6215,14231,193,275,6,9,199,290,118,162,0,0,0,0,0,3,116,165,15,19,4,10,16,62,25,60,64,151,73,140,6667,14973,1293,7963,14973,Southern Grampians (S)
26350,12466,36445,5237,11200,4386,10195,9623,21397,6298,11386,9028,15372,9541,15762,16,21,24875,42545,0,4,7,18,6,8,274,494,289,526,168,336,47417,101248,6687,54107,101248,Stonnington (C)
26430,4160,9254,133,157,5,7,132,167,102,143,0,0,0,0,0,0,102,143,43,63,36,59,11,17,14,33,108,169,30,50,4530,9781,1136,5663,9781,Strathbogie (S)
26490,9951,26176,298,515,346,793,642,1306,92,147,44,71,19,37,0,3,159,257,12,37,27,54,5,11,20,49,68,155,62,139,10881,28020,7332,18213,28020,Surf Coast (S)
26610,7012,17903,313,504,12,12,326,512,480,810,0,0,0,3,3,0,486,818,143,253,84,153,24,64,31,68,292,540,124,281,8234,20052,925,9155,20052,Swan Hill (RC)
26670,2402,5439,25,40,0,0,25,40,15,22,0,0,0,0,0,0,15,22,16,28,8,18,0,0,15,23,45,76,15,34,2502,5607,587,3091,5607,Towong (S)
26700,10205,24914,1102,1565,54,86,1159,1649,117,158,0,0,4,3,3,12,120,173,68,111,36,61,14,17,25,49,138,231,39,89,11664,27059,1371,13036,27059,Wangaratta (RC)
26730,10821,27881,1343,2067,359,671,1707,2735,702,971,81,103,0,0,0,3,785,1076,55,119,98,190,8,13,10,16,173,335,60,133,13548,32163,1588,15140,32163,Warrnambool (C)
26810,15961,38159,519,717,107,154,627,878,413,600,36,76,0,0,0,0,446,677,94,152,67,107,17,19,47,80,227,367,83,184,17339,40266,4844,22187,40266,Wellington (S)
17100,5482,18343,156,412,719,2117,879,2525,1192,2957,2216,5805,3497,9799,3,3,6910,18568,0,0,0,0,0,3,147,431,143,433,123,301,13543,40165,915,14454,40165,Strathfield (A)
17150,49718,153530,2606,5421,8238,19398,10843,24817,3945,6938,9103,17476,4877,9184,23,52,17950,33646,78,124,137,225,21,23,217,454,442,830,209,486,79167,213307,5284,84448,213307,Sutherland Shire (A)
17200,1851,5072,3667,8035,14688,35785,18355,43824,3128,5398,10270,18290,62521,123324,36,83,75958,147094,3,4,10,30,641,655,467,993,1122,1680,716,1281,98001,198951,11496,109496,198951,Sydney (C)
22310,27299,79621,8172,17681,5091,13866,13264,31547,10225,19733,2458,4537,1081,1905,20,38,13782,26212,0,8,0,0,4,4,197,429,203,441,189,432,54727,138242,5015,59745,138242,Glen Eira (C)
22410,7553,17491,203,269,19,34,222,306,278,376,5,11,8,5,3,6,294,400,47,76,38,55,11,12,28,48,122,199,50,97,8250,18489,1664,9916,18489,Glenelg (S)
26890,1583,3572,23,33,0,0,23,33,22,19,0,0,0,0,0,0,22,19,7,7,0,0,0,0,16,25,24,37,12,11,1658,3669,574,2224,3669,West Wimmera (S)
26980,40727,116885,10005,20418,4465,12262,14467,32676,2186,4246,1525,2825,1287,2161,18,34,5011,9257,3,10,4,7,5,7,52,127,66,155,160,352,60430,159321,5347,65778,159321,Whitehorse (C)
27070,55525,169222,5101,12788,3472,9366,8573,22160,1501,3348,508,825,283,516,5,9,2294,4699,0,0,5,17,0,3,22,73,31,93,116,282,66528,196458,4457,70987,196458,Whittlesea (C)
27170,12926,33773,1520,2421,119,240,1640,2663,361,554,0,0,0,0,0,3,366,560,29,48,50,130,17,23,19,46,122,241,78,193,15130,37426,1363,16490,37426,Wodonga (C)
27260,58648,186440,7309,19469,2428,6696,9741,26166,1479,3240,43,67,114,181,4,3,1643,3500,145,207,12,27,23,29,9,41,189,296,84,196,70297,216601,4981,75281,216601,Wyndham (C)
27350,5451,13890,8755,19889,6296,15439,15052,35327,4016,6951,4872,8283,9934,18943,11,22,18830,34206,3,3,0,3,62,62,256,585,316,643,219,438,39867,84512,4069,43939,84512,Yarra (C)
27450,50469,138580,2270,3684,556,1121,2825,4810,198,356,57,94,5,12,8,14,267,472,132,185,112,158,33,77,42,111,329,526,215,488,54097,144871,4742,58840,144871,Yarra Ranges (S)
27630,2704,6016,14,22,0,0,14,22,57,58,0,0,0,0,0,0,54,61,24,30,3,3,0,0,25,49,55,86,41,74,2868,6252,680,3550,6252,Yarriambiack (S)
29399,91,232,16,37,59,227,69,266,195,585,96,354,247,750,0,0,540,1690,3,4,3,10,0,0,4,9,9,18,36,74,746,2270,499,1240,2270,Unincorporated Vic
30250,234,1153,17,21,0,3,18,26,30,47,0,0,0,0,0,0,30,47,0,0,3,7,0,0,0,0,3,7,0,0,284,1229,85,368,1229,Aurukun (S)
30300,1562,3936,12,25,0,0,12,25,39,73,0,0,0,0,0,0,39,73,105,183,13,19,7,7,11,10,133,227,29,61,1778,4321,442,2214,4321,Balonne (S)
30370,4997,13084,68,96,22,57,89,152,242,378,0,0,0,0,0,4,242,379,251,435,61,82,10,17,12,23,324,552,74,147,5730,14317,1209,6938,14317,Banana (S)
30410,1116,2584,0,0,0,0,0,0,28,38,0,0,0,0,0,0,24,36,224,421,0,3,0,3,3,5,232,430,31,64,1402,3116,226,1629,3116,Barcaldine (R)
30450,109,229,0,3,0,0,0,3,11,14,0,0,0,0,0,0,11,14,28,56,0,0,0,0,0,0,32,62,22,26,172,328,67,243,328,Barcoo (S)
30760,741,1713,32,27,0,0,32,27,7,6,0,0,0,0,0,0,7,6,68,133,3,3,0,3,4,18,74,154,11,19,862,1927,144,1010,1927,Blackall-Tambo (R)
34710,1338,3170,52,64,3,25,57,83,80,106,0,0,0,6,0,0,78,110,346,680,56,102,10,23,6,12,423,817,24,49,1920,4240,416,2339,4240,Longreach (R)
34770,36539,96985,2532,4339,1199,2206,3728,6546,1747,2865,61,101,391,678,4,11,2199,3655,979,1665,171,283,145,283,28,78,1322,2317,342,618,44125,110115,6378,50503,110115,Mackay (R)
34800,268,681,14,18,0,0,11,20,3,3,0,0,0,0,0,0,3,3,45,93,0,0,3,4,3,9,48,102,41,69,372,878,139,514,878,McKinlay (S)
34830,82,297,0,3,0,0,0,3,7,11,0,0,0,0,0,0,7,11,0,0,0,0,8,14,0,0,9,17,0,0,96,324,13,116,324,Mapoon (S)
34860,4590,11400,145,208,16,24,159,234,61,119,0,0,3,14,4,13,69,139,240,478,7,11,6,25,6,17,263,532,62,123,5149,12427,1359,6508,12427,Maranoa (R)
34880,7475,19113,118,242,13,16,131,263,233,391,3,5,73,103,0,3,308,498,408,717,37,63,119,235,38,91,601,1105,96,193,8610,21172,1025,9636,21172,Mareeba (S)
35010,127589,366471,8610,15475,8707,18916,17320,34391,4646,6984,1266,1968,2145,3686,34,66,8089,12698,1101,1725,551,768,74,137,71,195,1798,2826,419,902,155216,417283,11651,166860,417283,Moreton Bay (R)
35250,241,1010,3,8,16,41,23,48,4,8,0,0,0,0,0,0,4,6,0,0,3,6,0,0,0,0,9,12,0,0,281,1080,46,321,1080,Mornington (S)
35300,5218,15031,906,1669,143,251,1046,1917,407,761,20,30,0,0,0,0,432,791,293,616,0,4,119,148,27,79,446,843,168,293,7303,18872,1254,8555,18872,Mount Isa (C)
35600,1591,3875,47,68,0,0,48,65,43,74,0,0,0,0,0,0,43,74,136,271,14,19,8,11,12,32,173,338,41,66,1894,4429,403,2302,4429,Murweh (S)
35670,190,824,36,84,3,4,40,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,29,3,15,14,40,0,0,250,948,23,271,948,Napranum (S)
35740,16887,42933,1040,1647,1631,3031,2671,4680,1115,1920,547,978,131,245,4,0,1796,3142,399,762,66,117,100,223,9,18,572,1129,194,384,22110,52267,4671,26776,52267,Noosa (S)
35760,3985,9424,39,62,3,9,44,69,114,210,0,0,0,3,0,3,122,216,343,626,88,214,84,160,26,45,545,1047,33,84,4726,10838,904,5625,10838,North Burnett (R)
35780,584,2466,47,130,4,11,50,138,23,49,3,3,0,0,0,0,27,53,14,24,8,11,159,301,3,20,187,355,59,67,908,3086,70,979,3086,Northern Peninsula Area (R)
35790,406,2158,10,23,23,55,32,82,37,72,0,0,0,0,0,0,37,72,0,5,0,7,22,50,0,0,23,59,0,0,496,2374,18,512,2374,Palm Island (S)
35800,681,1517,18,31,0,0,18,31,4,3,0,0,0,0,0,0,4,3,32,81,0,0,3,12,10,16,45,103,55,115,799,1769,111,914,1769,Paroo (S)
36070,182,625,0,0,0,3,0,3,45,93,0,0,0,0,0,0,45,93,0,4,3,5,17,26,0,0,23,38,0,0,250,758,39,287,758,Pormpuraaw (S)
36150,309,711,0,0,0,0,0,0,26,27,0,0,0,0,0,0,26,27,7,16,28,40,3,8,0,3,37,63,9,20,383,828,39,423,828,Quilpie (S)
36250,45997,128924,2575,4129,2634,5276,5207,9405,1962,3054,267,483,239,381,3,0,2480,3929,167,256,249,373,65,142,25,46,506,820,256,462,54440,143534,5317,59757,143534,Redland (C)
36300,306,747,10,10,0,0,10,10,0,0,0,0,0,0,0,0,0,0,22,43,0,0,3,13,3,11,26,61,43,90,388,907,92,482,907,Richmond (S)
36370,26281,68873,1572,2583,590,936,2155,3522,1205,2005,46,77,102,162,11,29,1371,2271,445,819,187,342,90,154,43,121,763,1436,151,327,30719,76428,4096,34819,76428,Rockhampton (R)
36510,14096,37334,463,719,107,189,573,916,166,236,48,55,3,5,3,7,215,302,177,294,34,69,65,109,49,100,312,565,61,127,15252,39242,1493,16746,39242,Scenic Rim (R)
36580,8962,23462,74,164,12,29,89,197,46,67,0,0,0,4,0,3,47,77,105,191,10,31,13,30,14,27,145,284,123,225,9360,24243,1064,10429,24243,Somerset (R)
36630,11973,29158,342,517,12,23,361,534,446,648,0,0,0,0,3,5,449,655,306,528,23,38,82,136,34,69,440,781,64,146,13284,31276,1927,15208,31276,South Burnett (R)
36660,12727,31527,698,1043,48,109,752,1148,368,551,0,0,3,3,3,11,370,563,171,300,69,118,64,143,33,77,337,640,102,235,14293,34113,2044,16336,34113,Southern Downs (R)
36720,83411,228865,8363,14052,6098,12636,14465,26694,5420,9524,2836,5263,6276,11725,54,91,14579,26598,2197,4020,828,1244,110,193,93,252,3219,5700,743,1455,116419,289310,13560,129978,289310,Sunshine Coast (R)
36820,9147,22373,247,377,40,56,290,437,449,696,0,0,3,7,0,3,453,705,467,863,72,122,62,113,32,76,638,1168,106,206,10625,24890,1573,12196,24890,Tablelands (R)
36910,50996,135753,5504,8934,1512,2642,7015,11576,2786,4699,65,92,81,130,4,11,2945,4932,267,436,66,164,62,99,145,398,543,1094,454,881,61957,154234,6351,68307,154234,Toowoomba (R)
36950,810,2801,30,96,44,122,78,223,89,250,17,32,0,0,0,0,101,285,0,0,6,13,64,149,7,17,73,177,19,20,1082,3502,81,1163,3502,Torres (S)
36960,1018,4167,49,152,3,16,59,163,7,25,0,0,0,0,0,0,7,25,0,0,3,10,3,3,3,12,6,19,0,0,1090,4380,135,1221,4380,Torres Strait Island (R)
37010,56203,154003,4466,7197,2982,5407,7448,12599,2397,3966,1620,2739,1761,3167,8,18,5789,9897,1146,2159,241,481,64,144,46,111,1496,2887,336,612,71282,179997,8700,79982,179997,Townsville (C)
31750,131,305,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,17,37,0,0,0,0,0,0,18,37,17,24,165,366,7,167,366,Bulloo (S)
31820,32099,81143,2037,3214,491,827,2526,4034,1856,2908,35,70,152,276,6,9,2051,3258,1385,2524,305,459,115,226,67,142,1866,3359,199,438,38742,92230,5160,43909,92230,Bundaberg (R)
31900,6115,15249,39,65,17,26,52,90,577,861,0,0,0,3,0,0,577,863,290,518,31,40,43,95,23,57,386,707,119,154,7252,17066,1106,8352,17066,Burdekin (S)
30900,140,332,5,7,0,0,5,7,5,3,0,0,0,0,0,0,5,3,48,86,0,0,3,9,5,3,61,103,9,24,218,472,22,241,472,Boulia (S)
31000,281745,817713,8768,15614,36250,84645,45018,100256,28353,49558,31019,57176,35565,68004,102,204,95037,174948,778,1188,1103,1732,272,354,596,1537,2760,4811,2092,4127,426648,1101853,36949,463601,1101853,Brisbane (C)
31950,88,343,0,4,0,0,0,4,0,3,0,0,0,3,0,0,0,6,55,150,0,0,3,9,6,8,68,166,70,127,231,651,21,250,651,Burke (S)
32080,42595,118590,3164,5829,2809,5168,5973,10999,6161,10992,3810,7427,1344,2618,17,33,11325,21069,1045,2121,417,726,206,274,113,265,1785,3384,592,1008,62267,155051,6483,68749,155051,Cairns (R)
32250,586,1603,6,7,0,0,6,7,32,50,0,0,0,0,0,0,32,50,414,808,16,31,34,63,0,3,462,910,115,232,1197,2806,115,1320,2806,Carpentaria (S)
32260,10043,25019,223,396,49,88,270,488,856,1668,36,67,26,52,3,5,925,1798,846,1597,102,172,54,98,153,278,1148,2140,236,456,12623,29900,1767,14393,29900,Cassowary Coast (R)
32270,8671,23885,288,508,84,160,368,664,688,1110,3,0,0,0,0,3,690,1112,588,1112,76,118,143,233,30,43,831,1509,493,1081,11051,28254,2792,13847,28254,Central Highlands (R) (Qld)
32310,4268,10445,62,118,3,3,63,119,182,280,0,0,0,0,3,4,186,281,402,754,23,40,11,9,22,50,457,855,57,126,5027,11821,739,5771,11821,Charters Towers (R)
32330,270,1210,8,18,0,7,6,26,8,11,0,0,0,0,0,0,8,11,0,0,0,0,0,0,0,0,0,0,0,0,286,1247,15,305,1247,Cherbourg (S)
32450,865,2272,17,38,3,0,22,38,114,170,0,0,0,0,0,0,114,170,312,603,31,54,10,9,3,4,356,667,41,82,1389,3239,292,1684,3239,Cloncurry (S)
32500,1374,3526,14,22,0,0,14,22,110,170,0,0,0,0,0,0,110,170,491,978,63,115,208,425,17,44,783,1560,48,72,2326,5350,260,2583,5350,Cook (S)
32600,106,260,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,23,46,3,8,0,0,0,0,30,54,3,16,144,325,42,186,325,Croydon (S)
33620,18078,44949,588,944,309,502,895,1445,433,589,59,101,0,0,6,3,503,698,629,1140,177,264,190,361,59,127,1054,1895,122,241,20647,49223,2653,23303,49223,Gympie (R)
33800,4158,9781,47,71,7,17,55,86,234,308,0,7,0,3,0,0,237,322,326,619,8,8,9,23,9,25,357,679,36,65,4843,10937,859,5706,10937,Hinchinbrook (S)
33830,252,846,5,27,0,0,5,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,875,30,290,875,Hope Vale (S)
33960,60097,175323,3552,6409,2371,5221,5922,11629,904,1400,137,259,56,91,11,25,1107,1783,283,414,52,70,25,49,54,135,418,669,179,387,67725,189785,5017,72738,189785,Ipswich (C)
33980,6077,17026,184,327,298,511,479,841,381,644,32,42,10,11,20,19,444,721,428,824,34,65,37,72,15,24,517,993,87,163,7611,19742,3253,10860,19742,Isaac (R)
34420,186,700,36,103,36,96,75,197,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,4,3,261,900,26,288,900,Kowanyama (S)
37300,800,2582,183,458,231,505,413,961,42,58,0,0,0,0,0,0,42,58,66,134,16,28,45,96,0,0,132,253,16,26,1406,3881,229,1634,3881,Weipa (T)
37310,11503,29580,525,951,32,70,557,1022,460,758,0,0,6,8,4,0,465,768,200,336,43,80,37,62,45,105,326,584,100,228,12954,32186,2546,15500,32186,Western Downs (R)
37340,9873,25445,493,903,585,1183,1077,2088,905,1685,186,315,80,158,6,10,1174,2164,1051,1893,173,351,42,81,49,84,1313,2410,417,728,13860,32837,2220,16077,32837,Whitsunday (R)
34530,11631,30764,442,671,130,219,566,891,668,981,76,132,89,156,0,3,835,1276,705,1324,178,311,68,111,11,26,961,1766,168,255,14163,34953,2377,16535,34953,Livingstone (S)
34570,176,681,5,6,0,0,5,6,3,9,0,0,0,0,0,0,3,9,8,15,3,3,24,31,0,0,31,48,0,0,214,752,36,254,752,Lockhart River (S)
34580,12765,34888,307,650,44,124,351,779,246,466,0,0,0,0,5,26,250,490,142,175,102,183,19,55,217,604,478,1025,115,300,13963,37477,949,14912,37477,Lockyer Valley (R)
34590,87941,267976,3527,6816,7509,17382,11033,24195,2562,4840,249,471,49,109,59,126,2926,5539,371,551,172,219,23,64,153,450,719,1288,321,734,102934,299741,6945,109876,299741,Logan (C)
40070,1152,2616,1158,2034,2226,4603,3380,6639,752,1293,1052,1941,3357,6047,5,8,5168,9286,3,4,0,0,121,121,75,150,197,278,104,177,10004,18999,1535,11539,18999,Adelaide (C)
40120,13692,36448,279,438,43,89,328,532,99,135,18,19,0,3,0,0,115,160,28,43,12,14,3,11,20,49,58,116,106,203,14293,37461,1162,15454,37461,Adelaide Hills (DC)
