lga_code16,tot_1750_1999_a_55_64,tot_1750_1999_a_65_74,tot_1750_1999_a_75ov,tot_1750_1999_tot,tot_2000_2999_a_15_19,tot_2000_2999_a_20_24,tot_2000_2999_a_25_34,tot_2000_2999_a_35_44,tot_2000_2999_a_45_54,tot_2000_2999_a_55_64,tot_2000_2999_a_65_74,tot_2000_2999_a_75ov,tot_2000_2999_tot,tot_3000mo_a_15_19,tot_3000mo_a_20_24,tot_3000mo_a_25_34,tot_3000mo_a_35_44,tot_3000mo_a_45_54,tot_3000mo_a_55_64,tot_3000mo_a_65_74,tot_3000mo_a_75ov,tot_3000mo_tot,tot_pins_a_15_19,tot_pins_a_20_24,tot_pins_a_25_34,tot_pins_a_35_44,tot_pins_a_45_54,tot_pins_a_55_64,tot_pins_a_65_74,tot_pins_a_75ov,tot_pins_tot,tot_tot_a_15_19,tot_tot_a_20_24,tot_tot_a_25_34,tot_tot_a_35_44,tot_tot_a_45_54,tot_tot_a_55_64,tot_tot_a_65_74,tot_tot_a_75ov,tot_tot_tot,lga_name16
11200,8,3,0,20,0,0,3,7,3,3,0,0,22,0,0,0,0,8,3,0,0,10,0,0,3,3,5,3,0,0,25,6,31,96,69,135,106,42,4,499,Brewarrina (A)
11250,117,11,0,473,0,10,134,141,178,144,15,0,621,0,0,22,42,41,41,8,3,155,9,15,16,28,31,37,9,4,160,366,578,1429,1246,1517,1381,283,48,6845,Broken Hill (C)
13910,72,23,0,270,0,3,35,75,100,52,18,9,300,0,3,10,28,58,41,27,13,183,16,3,22,25,24,28,17,12,140,428,544,1061,1341,1613,1348,501,134,6958,Hilltops (A)
14000,510,107,7,2409,0,13,468,898,978,670,134,14,3172,0,5,123,422,512,372,119,21,1582,39,77,97,103,124,98,35,3,589,3049,4223,7708,8398,9362,7157,2080,301,42292,Hornsby (A)
14100,53,17,7,256,0,0,53,88,114,90,30,0,381,0,0,15,55,70,76,32,12,262,9,8,11,11,14,5,3,0,60,153,320,857,849,1043,812,313,49,4397,Hunters Hill (A)
14170,564,138,23,3454,0,19,796,1526,1532,885,188,14,4973,4,16,224,736,876,541,199,20,2612,30,84,189,194,173,100,52,8,838,2190,5769,15711,13832,13003,9005,2571,327,62403,Inner West (A)
14200,60,18,9,236,0,3,18,55,76,41,8,0,200,3,5,11,17,26,35,11,3,103,9,10,15,13,26,30,10,11,128,408,535,1071,1192,1436,1197,359,115,6324,Inverell (A)
14300,15,3,3,69,0,0,22,32,39,29,8,0,120,0,0,6,4,8,14,4,0,35,3,3,6,0,3,14,3,0,29,87,137,400,325,392,346,120,26,1836,Junee (A)
14350,100,14,0,417,0,0,39,106,130,84,18,0,379,0,6,18,37,45,37,15,0,156,6,11,25,32,42,35,16,4,170,595,643,1414,1783,2251,2017,534,91,9329,Kempsey (A)
14400,38,12,0,182,0,0,21,54,70,65,18,3,234,3,0,9,41,40,39,12,3,147,11,7,7,12,17,4,7,3,72,479,552,805,1001,1122,1030,316,54,5363,Kiama (A)
14500,412,135,23,1888,0,15,349,715,872,608,191,37,2782,0,3,93,444,802,532,215,48,2141,16,54,68,80,104,75,28,17,447,1726,2665,5270,5599,7230,5233,2087,415,30220,Ku-ring-gai (A)
14550,25,4,0,78,0,0,11,23,23,28,8,3,95,0,0,6,14,22,15,4,3,64,4,3,3,7,7,8,9,0,47,145,139,352,436,658,700,219,71,2725,Kyogle (A)
14600,13,3,0,96,0,3,17,24,27,25,6,0,112,0,0,0,9,23,20,5,8,71,3,0,13,9,12,5,14,3,59,84,195,437,414,482,469,189,74,2347,Lachlan (A)
14650,512,67,10,2526,0,20,462,919,885,629,104,15,3038,3,10,154,435,489,356,80,15,1541,91,107,154,153,201,128,39,6,882,4517,6343,11505,11682,12389,9131,1963,242,57757,Lake Macquarie (C)
14700,145,42,7,1056,0,7,428,653,489,270,68,5,1921,0,3,122,487,567,288,89,20,1579,0,21,52,40,42,25,14,5,211,457,1360,4168,3807,3259,2144,684,105,15982,Lane Cove (A)
14750,38,3,0,216,0,0,32,48,81,38,8,0,207,0,0,8,16,28,16,0,0,69,12,7,13,13,21,17,0,3,85,244,392,839,864,1097,872,206,61,4576,Leeton (A)
14850,230,34,4,866,0,3,95,263,320,272,44,3,996,0,4,30,93,148,151,33,8,458,27,25,40,49,53,68,25,12,290,1223,1444,3073,4003,4891,4247,1045,159,20090,Lismore (C)
14870,113,12,3,447,0,11,145,212,225,142,11,4,756,3,3,44,65,107,59,7,3,306,3,9,21,26,23,22,8,3,118,433,593,1346,1453,1752,1457,338,62,7444,Lithgow (C)
14900,572,83,9,3749,0,32,949,1440,1155,707,121,9,4406,10,15,188,540,662,394,106,24,1937,63,127,239,252,217,158,41,5,1110,3559,6954,15716,15437,14434,9646,1923,206,67886,Liverpool (C)
14920,21,3,0,124,0,0,20,43,60,26,7,3,155,0,0,5,22,27,26,8,5,91,7,3,8,17,8,15,6,0,67,95,144,439,500,640,570,213,63,2654,Liverpool Plains (A)
14950,14,4,0,38,0,0,9,8,13,10,3,0,34,0,0,0,0,3,9,3,4,20,0,0,3,4,0,7,0,3,20,28,49,135,151,209,195,90,22,877,Lockhart (A)
15050,255,35,3,1349,0,14,263,504,494,318,48,6,1641,0,5,72,201,235,175,50,4,736,31,49,74,81,85,63,23,0,406,1999,2705,5694,5711,5754,3947,836,112,26754,Maitland (C)
15240,288,37,5,989,0,3,105,254,287,256,60,8,985,0,4,28,108,136,133,43,12,471,56,38,34,93,124,104,30,25,508,1716,1886,3908,4866,6604,5982,1642,291,26889,Mid-Coast (A)
15270,76,13,3,513,0,26,277,308,267,130,22,0,1032,0,10,105,129,117,76,26,4,470,18,17,21,37,45,29,13,6,188,507,672,1805,1948,2302,1638,525,133,9525,Mid-Western Regional (A)
15300,58,18,3,262,0,0,52,93,71,49,24,3,292,3,0,13,47,61,64,17,4,209,11,17,20,21,35,32,20,9,167,247,460,1090,1110,1247,1028,349,81,5603,Moree Plains (A)
15350,83,37,3,497,0,3,98,192,192,157,61,16,716,0,0,30,144,234,166,98,31,705,4,9,17,26,30,24,17,5,130,368,923,1945,1698,1740,1312,613,142,8738,Mosman (A)
15520,27,7,0,141,0,0,22,32,45,25,3,3,125,0,0,3,16,24,12,7,0,74,5,0,7,11,18,23,20,12,95,253,339,664,711,1023,961,292,91,4336,Murray River (A)
15560,10,5,0,57,0,0,11,16,20,17,0,0,67,0,0,0,9,13,6,3,6,37,3,0,3,4,11,9,3,0,33,73,101,293,292,370,339,107,29,1610,Murrumbidgee (A)
15650,104,13,3,724,0,27,476,567,565,233,22,5,1895,0,3,111,182,200,114,14,0,622,14,19,39,30,32,34,9,10,179,442,780,2168,2201,2228,1368,263,47,9498,Muswellbrook (A)
15700,53,6,0,225,0,3,31,64,51,47,3,3,204,0,0,13,29,39,30,5,0,122,13,10,18,17,20,23,14,0,109,317,412,810,1049,1289,1267,323,73,5529,Nambucca (A)
15750,69,21,0,409,0,16,205,177,162,76,5,8,645,0,0,64,96,80,62,13,0,310,12,9,22,10,33,29,23,5,136,321,434,1327,1319,1370,1113,339,74,6303,Narrabri (A)
15800,18,3,0,85,0,0,9,21,20,26,5,3,76,0,0,3,9,8,14,6,0,46,0,3,0,9,12,15,7,0,41,92,154,320,389,492,446,158,46,2093,Narrandera (A)
15850,29,9,0,130,0,5,33,38,26,24,4,3,133,0,0,3,17,21,8,4,3,58,0,3,11,9,9,13,8,3,53,83,153,410,418,503,468,183,46,2261,Narromine (A)
15900,1087,120,6,5976,0,49,1458,2776,2736,1668,180,18,8885,4,22,308,1190,1317,913,158,26,3939,90,137,268,270,264,164,57,8,1259,4588,9713,21632,21456,21948,15063,2593,324,97327,Newcastle (C)
15950,570,125,20,5704,0,41,3315,4983,2856,1327,271,24,12809,3,16,1140,4317,4178,1856,385,62,11951,30,81,243,204,159,97,49,11,878,1423,5793,21514,19657,13838,7474,2244,310,72250,North Sydney (A)
15990,852,198,25,4590,3,27,1022,2147,2041,1185,313,53,6790,6,23,330,1387,1705,1003,323,75,4846,82,125,260,258,323,229,80,28,1379,5442,8075,17750,18755,19463,13520,4486,738,88233,Northern Beaches (A)
16100,18,11,3,103,0,0,10,24,38,30,7,0,120,0,0,0,10,6,11,10,0,47,3,0,7,7,13,8,5,0,39,111,152,346,404,464,427,228,31,2158,Oberon (A)
16150,216,29,4,1101,0,15,226,474,431,270,42,3,1453,0,8,41,180,183,139,47,9,597,34,22,37,64,72,54,18,8,309,1211,1668,3992,4086,4098,3069,737,105,18968,Orange (C)
16200,59,20,0,308,0,0,92,119,123,59,16,0,403,0,0,14,34,44,22,13,0,127,7,3,14,21,28,19,4,5,107,356,478,1019,1076,1261,1028,309,74,5611,Parkes (A)
16260,1605,272,8,9890,3,58,2709,5018,4247,2596,390,31,15052,3,35,612,2193,2468,1543,292,37,7190,83,207,481,399,395,225,60,18,1869,4165,11902,34836,33184,29270,19966,4226,413,137952,Parramatta (C)
16350,725,124,4,3810,0,33,627,1253,1270,868,153,12,4212,6,24,169,470,578,381,97,10,1731,99,126,245,222,232,168,39,10,1156,4851,6859,14542,14734,14470,10644,2273,224,68594,Penrith (C)
12350,43,9,0,169,0,0,32,36,58,30,7,0,162,0,3,10,15,27,23,14,3,94,3,4,8,12,15,16,13,5,80,301,408,707,838,1036,879,320,75,4569,Cowra (A)
12380,651,111,9,3640,3,32,732,1427,1424,859,136,11,4612,10,15,177,541,654,433,128,14,1968,60,132,274,234,246,145,42,4,1142,2513,6261,16987,16182,15628,10618,2284,194,70670,Cumberland (A)
12700,31,7,0,92,0,3,3,31,37,22,7,0,102,0,0,3,14,12,16,11,5,64,0,0,3,3,12,9,3,0,30,144,130,256,373,506,502,188,59,2155,Dungog (A)
12730,31,9,3,150,0,0,17,57,59,52,9,0,203,0,0,8,21,18,19,4,0,73,6,0,11,15,20,20,10,3,77,205,298,594,724,793,788,239,50,3693,Edward River (A)
11300,191,41,7,972,0,7,241,422,468,343,65,4,1559,0,0,52,200,219,180,74,17,746,20,30,43,28,43,46,7,0,216,810,1692,4010,3348,3461,2541,674,102,16624,Burwood (A)
11350,81,18,0,397,0,0,53,153,151,121,29,0,515,4,3,28,90,96,87,33,3,337,19,17,40,52,58,46,15,3,262,637,808,2364,2893,3042,2515,606,91,12964,Byron (A)
11400,47,5,0,239,0,4,92,105,94,49,15,4,355,0,0,18,38,53,23,14,8,152,3,3,13,11,12,14,15,8,82,154,207,725,876,990,829,388,124,4298,Cabonne (A)
11450,175,30,0,1240,0,5,245,451,363,197,37,3,1307,3,4,55,176,187,105,20,3,554,45,50,89,72,76,68,8,7,419,2214,2705,5229,5327,4966,3225,702,85,24444,Camden (A)
11500,474,65,0,2430,0,16,444,875,841,564,91,5,2834,3,16,100,321,354,241,55,11,1100,63,94,184,156,163,95,35,4,789,3149,4854,10119,10398,10421,7526,1528,127,48114,Campbelltown (C) (NSW)
11520,308,61,5,2008,0,12,676,1326,926,506,94,11,3560,0,14,230,887,853,384,104,21,2493,23,59,104,103,94,67,26,8,485,1277,3064,8734,8060,6824,4350,1155,142,33608,Canada Bay (A)
11570,857,142,17,4459,3,34,852,1638,1589,1033,199,15,5368,10,19,214,718,864,536,183,31,2562,91,188,368,309,375,204,62,6,1594,3951,8523,21048,20943,21517,15012,3402,382,94779,Canterbury-Bankstown (A)
11600,11,3,0,45,0,0,3,21,19,13,6,0,64,0,4,7,12,11,14,4,0,50,0,9,11,14,11,3,4,0,49,67,102,238,260,299,239,72,26,1302,Carrathool (A)
11650,1049,122,7,4904,4,24,693,1637,1774,1129,198,24,5474,6,25,190,652,824,585,167,31,2482,157,152,267,285,391,297,104,26,1675,7697,9833,19123,21425,24111,18085,4010,445,104732,Central Coast (C) (NSW)
11700,4,4,0,37,0,0,4,8,10,12,0,0,36,0,0,3,0,4,13,0,3,19,0,3,3,6,7,9,5,0,32,21,56,111,106,149,155,42,13,658,Central Darling (A)
11720,120,15,4,598,0,3,126,230,242,143,22,3,772,0,3,35,86,123,75,23,3,348,26,26,36,39,64,35,12,6,254,1164,1437,2960,3008,3190,2402,537,87,14791,Cessnock (C)
11730,181,21,4,702,0,5,84,207,224,165,20,7,723,0,3,39,74,91,81,29,7,319,21,15,33,59,58,58,14,12,269,1012,1132,2331,3194,4019,3631,848,186,16345,Clarence Valley (A)
11750,34,3,3,181,0,15,125,116,79,44,3,3,391,0,0,20,54,52,26,3,0,150,4,3,3,4,7,14,8,6,41,87,180,580,482,469,370,87,21,2269,Cobar (A)
11800,305,29,0,1246,0,7,145,375,442,294,50,4,1315,0,7,40,136,170,141,45,9,542,39,45,73,58,105,79,21,5,421,1921,2353,5132,5843,6801,5572,1141,119,28886,Coffs Harbour (C)
12000,7,3,4,53,0,0,7,12,13,11,4,0,48,0,0,8,9,17,13,3,0,45,0,3,0,3,3,7,4,0,17,70,90,139,191,264,228,93,31,1111,Coolamon (A)
12150,13,3,0,52,0,0,10,11,19,15,4,0,62,0,0,0,5,14,12,3,0,42,0,3,7,10,7,8,3,4,41,48,99,261,225,335,316,108,29,1432,Coonamble (A)
12750,121,22,4,417,0,0,38,98,139,128,21,3,427,0,0,17,45,64,58,17,3,210,16,26,37,40,34,61,13,8,230,789,765,1640,2215,2958,2867,653,94,11982,Eurobodalla (A)
12850,528,112,7,2779,0,19,469,888,911,586,116,7,2995,3,7,94,305,436,315,105,11,1284,60,122,178,185,219,153,36,4,957,2721,5416,12444,12346,12956,9105,1939,165,57091,Fairfield (C)
12870,44,3,0,169,0,0,24,54,67,50,13,3,215,0,0,4,18,26,27,17,4,100,10,6,13,19,23,34,12,3,135,287,389,815,906,1146,1026,305,55,4935,Federation (A)
12900,23,14,0,133,0,0,14,51,50,36,5,0,167,0,0,5,19,29,23,4,0,75,3,13,19,5,10,11,14,9,82,226,329,708,717,836,720,232,87,3855,Forbes (A)
12930,451,67,7,2421,3,13,594,994,942,540,126,17,3226,0,3,129,510,604,372,113,23,1759,42,67,127,123,138,113,30,8,645,2088,3867,9467,9102,9464,6621,1715,229,42550,Georges River (A)
12950,14,0,0,58,0,0,3,0,18,14,3,0,40,0,0,12,8,3,15,7,3,41,3,0,3,8,6,7,3,0,34,62,117,246,260,352,342,136,53,1570,Gilgandra (A)
13010,23,10,3,95,0,3,21,33,35,25,10,0,132,0,0,3,5,13,16,10,4,51,0,3,3,4,17,15,13,8,64,183,219,416,548,677,662,278,78,3059,Glen Innes Severn (A)
13310,155,16,3,670,0,11,96,165,225,159,31,6,697,5,0,16,58,80,50,20,10,243,19,16,25,37,47,39,8,6,201,781,992,2162,2262,2688,2029,553,97,11561,Goulburn Mulwaree (A)
13340,32,4,7,142,0,0,21,26,55,37,9,3,153,0,0,7,10,35,25,10,0,91,0,0,9,9,14,15,12,3,67,182,193,509,532,784,719,303,92,3316,Greater Hume Shire (A)
13450,88,22,0,487,0,11,93,155,182,119,17,5,587,3,4,17,69,84,85,13,6,283,18,27,46,42,62,49,21,3,267,837,1090,2606,2371,2597,1994,549,92,12132,Griffith (C)
13510,38,11,0,163,0,0,32,45,42,47,12,0,181,0,3,6,16,27,30,22,8,116,4,4,11,17,24,18,6,6,96,246,309,645,789,958,850,263,78,4134,Gundagai (A)
13550,45,7,0,222,0,3,54,90,72,61,6,0,289,0,0,14,45,39,41,17,5,157,13,9,17,10,20,19,9,4,106,325,410,911,933,989,957,267,66,4859,Gunnedah (A)
13660,20,5,0,70,0,3,10,18,31,12,0,0,71,0,0,4,0,12,17,6,4,50,0,0,0,7,6,15,8,10,48,76,109,257,319,459,358,186,55,1826,Gwydir (A)
13800,234,33,5,1250,0,14,238,432,466,307,52,16,1526,0,9,47,152,209,118,38,9,576,39,51,95,79,110,73,30,4,470,1819,2496,4667,4832,5288,3819,1018,155,24093,Hawkesbury (C)
13850,12,0,0,40,0,0,3,18,21,17,7,5,69,0,0,3,5,9,12,6,0,37,5,3,3,3,4,4,3,3,30,78,107,200,195,324,270,86,23,1288,Hay (A)
16380,250,27,3,1272,0,4,196,434,460,304,45,9,1449,3,3,58,187,225,155,50,0,680,45,35,66,100,111,86,26,19,484,1794,1904,4459,5637,6841,5423,1259,187,27509,Port Macquarie-Hastings (A)
16400,306,37,4,1680,0,13,380,628,650,354,39,7,2076,0,3,65,198,256,162,39,4,733,42,37,62,77,83,72,23,4,398,1673,2324,5262,5479,5858,4106,877,138,25725,Port Stephens (A)
16490,170,29,3,874,0,11,198,361,404,212,41,10,1227,3,0,38,134,202,99,37,10,524,27,17,36,31,45,33,26,4,215,1049,1357,3081,2955,3179,2277,678,130,14709,Queanbeyan-Palerang Regional (A)
16550,547,94,12,3463,3,27,900,1574,1431,888,191,21,5035,0,10,160,706,890,615,216,24,2623,30,59,166,140,130,109,41,11,682,1303,4169,11709,10454,9382,6742,1977,251,45988,Randwick (C)
16610,62,4,0,244,0,3,23,49,74,54,14,3,215,0,0,7,18,29,29,13,0,100,5,3,15,20,26,23,5,3,102,476,536,1044,1310,1609,1491,378,83,6931,Richmond Valley (A)
16650,236,40,3,1287,0,11,272,469,494,336,54,5,1641,0,6,101,255,305,162,46,10,891,26,39,95,87,76,44,22,8,396,1084,2524,6250,5825,5750,3948,1027,116,26525,Rockdale (C)
16700,835,153,8,6550,0,39,2679,5175,3486,1625,248,21,13270,0,12,797,3434,3436,1525,202,31,9440,51,123,244,238,243,148,38,8,1093,2717,7163,20924,22379,18079,10605,2256,279,84410,Ryde (C)
16900,178,11,0,819,0,8,103,302,280,155,20,4,867,0,0,26,98,93,58,14,0,282,19,36,48,54,46,31,14,3,251,1574,2008,3383,3708,3803,2532,429,56,17489,Shellharbour (C)
16950,351,42,7,1615,0,13,209,549,548,386,57,10,1769,7,3,92,169,228,180,51,11,738,52,52,84,93,141,98,39,10,569,2223,2901,6038,6575,7749,6478,1497,204,33662,Shoalhaven (C)
17000,169,13,0,1271,0,50,825,1047,805,483,40,4,3251,0,3,203,363,313,155,29,0,1072,17,27,57,58,61,37,10,9,268,838,1344,3644,3780,3365,2058,425,65,15521,Singleton (A)
17040,93,17,4,387,0,0,60,119,137,88,13,7,422,0,3,21,50,77,49,8,4,211,21,17,24,33,26,36,16,7,184,644,1150,1820,1652,2102,1668,596,136,9761,Snowy Monaro Regional (A)
17080,62,8,3,297,0,8,56,104,131,86,11,0,397,0,6,8,31,37,35,9,0,131,10,3,16,18,24,33,9,7,122,296,391,970,1141,1368,1247,385,94,5895,Snowy Valleys (A)
17420,557,115,12,3773,3,32,1146,2131,1669,907,193,8,6091,0,7,313,1277,1286,673,173,20,3753,63,118,197,188,192,125,45,5,936,4540,6736,13518,14659,13270,8427,2441,279,63867,The Hills Shire (A)
17550,275,48,6,1168,0,8,154,304,365,257,44,12,1136,4,4,48,143,189,133,35,12,568,38,49,79,79,120,92,22,8,498,1815,2131,4565,5656,6650,5761,1354,225,28163,Tweed (A)
17620,38,15,0,179,0,0,36,55,52,49,10,8,204,4,0,5,38,40,29,18,3,136,9,7,19,30,24,29,4,3,117,318,401,965,956,1053,931,313,102,5041,Upper Hunter Shire (A)
17640,20,4,0,68,0,6,16,24,43,15,14,3,128,0,0,6,14,19,21,9,8,80,0,3,7,5,9,14,4,8,54,139,153,338,368,520,560,305,110,2487,Upper Lachlan Shire (A)
17650,15,0,4,46,0,0,4,12,18,17,5,0,57,0,0,0,0,10,4,6,5,19,0,0,5,7,5,3,3,4,28,51,91,190,239,313,299,135,45,1351,Uralla (A)
17750,308,44,9,1655,0,9,284,581,544,373,50,11,1851,3,0,59,189,246,192,54,12,761,41,54,85,90,84,82,34,21,489,2236,3695,6624,6051,6017,4656,1116,197,30602,Wagga Wagga (C)
17850,20,8,0,53,0,3,3,19,13,10,5,0,56,0,0,0,4,9,10,6,0,35,0,0,4,9,3,9,6,5,37,58,92,165,227,312,300,174,39,1365,Walcha (A)
17900,23,7,0,84,0,0,25,19,25,26,8,0,108,0,0,8,14,18,8,9,3,60,0,0,13,8,13,11,7,0,51,61,143,391,364,454,429,176,43,2053,Walgett (A)
17950,16,6,0,44,0,0,8,11,17,13,3,3,46,0,0,4,3,6,8,8,3,35,0,0,8,3,5,4,8,4,30,30,67,205,199,242,226,84,38,1092,Warren (A)
18020,26,10,3,126,0,4,12,19,40,42,7,5,130,0,0,3,12,14,21,7,3,64,0,7,4,15,21,31,16,9,96,88,182,404,540,735,691,283,99,3020,Warrumbungle Shire (A)
18050,181,50,11,1173,3,23,361,556,408,241,87,13,1695,0,3,167,404,423,240,124,19,1387,14,33,103,87,62,37,31,4,369,1123,3150,7009,5033,4079,2656,1094,193,24340,Waverley (A)
18100,14,3,4,46,0,0,0,11,18,12,3,0,47,0,0,3,7,14,14,3,0,40,0,0,0,5,5,0,9,0,24,48,53,139,237,277,299,141,38,1244,Weddin (A)
18200,32,6,0,161,0,3,23,53,44,29,5,0,157,0,0,7,15,11,20,12,3,67,3,0,14,0,15,10,6,0,55,91,194,448,533,649,626,174,32,2750,Wentworth (A)
18230,247,38,13,1195,0,10,187,370,417,279,31,5,1295,3,3,53,118,153,116,49,12,508,39,33,72,72,82,68,41,24,421,1371,1946,4604,4234,4633,3676,1014,217,21701,Western Plains Regional (A)
18250,526,131,19,3956,0,27,1701,2617,1718,1044,223,26,7356,3,15,452,1850,1912,1008,265,40,5544,48,78,197,177,167,107,37,11,820,2030,5757,16043,13995,11444,7688,2192,300,59443,Willoughby (C)
18350,206,53,9,860,3,3,100,254,348,250,70,16,1043,0,4,22,104,161,149,90,19,545,26,33,37,73,82,56,28,16,349,1324,1491,2874,3223,4131,3338,1278,257,17915,Wingecarribee (A)
18400,115,24,0,689,0,17,212,322,273,206,17,0,1052,0,9,92,162,122,92,18,3,504,17,19,28,52,53,39,10,10,222,769,955,2166,2526,2406,1800,435,80,11134,Wollondilly (A)
18450,1011,115,12,4816,0,30,925,2036,2149,1309,155,8,6615,5,14,215,735,900,612,122,11,2615,83,130,200,239,255,193,48,20,1163,4641,8362,15772,17164,18239,12507,2269,265,79222,Wollongong (C)
18500,172,88,21,1193,0,11,366,577,472,298,143,36,1899,3,4,129,404,544,402,221,84,1796,17,38,73,53,77,51,29,6,347,627,2146,5260,3944,3568,2766,1350,318,19972,Woollahra (A)
18710,38,17,0,157,0,0,27,54,47,48,20,13,210,0,0,6,23,40,28,10,8,119,4,6,11,9,13,10,13,3,71,281,317,573,693,782,695,352,91,3787,Yass Valley (A)
19399,11,5,0,19,0,0,3,4,3,7,3,0,28,0,0,3,3,9,4,6,0,19,0,0,6,3,0,3,0,0,17,15,45,106,124,101,117,58,11,573,Unincorporated NSW
20110,27,8,3,157,0,0,23,44,53,48,5,0,168,0,0,11,17,25,18,8,0,80,10,7,9,12,16,14,10,7,89,301,291,577,850,1165,1068,297,57,4613,Alpine (S)
20260,55,6,3,220,0,3,28,50,67,41,13,7,207,0,3,8,15,27,21,16,3,89,12,11,18,16,11,18,7,0,93,299,337,819,900,1146,987,302,80,4870,Ararat (RC)
20570,426,40,6,2086,0,7,349,614,749,512,60,8,2304,3,12,85,328,365,261,56,10,1111,66,72,98,157,164,113,37,16,729,2912,4811,9254,9513,10027,7514,1565,193,45788,Ballarat (C)
20660,398,77,9,2078,0,11,390,610,594,422,94,12,2126,0,6,92,381,452,313,102,17,1359,46,71,147,122,164,114,35,7,704,2044,3709,8723,8220,8940,6793,1728,198,40356,Banyule (C)
20740,59,17,0,307,0,0,38,122,120,61,14,7,354,3,4,19,55,58,41,19,4,202,24,20,27,33,37,48,23,6,220,656,715,1662,1971,2392,2117,612,131,10258,Bass Coast (S)
20830,144,28,3,614,0,4,83,163,186,135,24,8,598,0,3,34,69,81,95,28,15,326,39,31,56,65,72,65,41,9,374,1111,1449,2799,2913,3506,2915,886,216,15789,Baw Baw (S)
