lga_name_2016,lga_code_2016,p_tot_55_64,p_tot_65_74,p_tot_75_84,p_tot_85ov,p_tot_tot
Mallala (DC),43920,598,340,89,34,3427
Maralinga Tjarutja (AC),44000,5,0,0,0,47
Marion (C),44060,6673,4099,2077,1096,43940
Mid Murray (DC),44210,797,651,253,61,3795
Mitcham (C),44340,5965,4375,2088,1068,35287
Mount Barker (DC),44550,2732,1788,675,260,16216
Mount Gambier (C),44620,1568,1094,602,263,10527
Mount Remarkable (DC),44830,305,193,75,25,1230
Murray Bridge (RC),45040,1269,940,443,157,8313
Naracoorte and Lucindale (DC),45090,501,341,156,84,3266
Northern Areas (DC),45120,374,249,96,58,1867
Norwood Payneham St Peters (C),45290,2983,2032,986,497,19703
Onkaparinga (C),45340,12565,8954,3842,1546,77038
Orroroo/Carrieton (DC),45400,82,53,31,13,371
Peterborough (DC),45540,168,93,49,19,591
Playford (C),45680,4168,2406,1461,531,32463
Port Adelaide Enfield (C),45890,7408,4426,2188,1149,55696
Port Augusta (C),46090,995,642,246,95,6018
Port Lincoln (C),46300,993,646,341,123,5999
Port Pirie City and Dists (M),46450,1120,761,402,144,6508
Prospect (C),46510,1803,882,311,168,10899
Renmark Paringa (DC),46670,618,473,218,123,3702
Robe (DC),46860,135,102,40,25,693
Roxby Downs (M),46970,188,25,5,3,1850
Salisbury (C),47140,6943,4581,2307,794,54083
Southern Mallee (DC),47290,125,78,48,16,775
Streaky Bay (DC),47490,185,91,38,16,839
Tatiara (DC),47630,428,255,124,90,2691
Tea Tree Gully (C),47700,7189,5179,2452,815,46106
The Coorong (DC),47800,341,271,112,34,1966
Tumby Bay (DC),47910,204,151,67,44,1037
Unley (C),47980,3574,2363,989,738,21559
Victor Harbor (C),48050,1311,1639,884,391,7013
Wakefield (DC),48130,466,326,134,64,2556
Coolgardie (S),51960,202,99,39,3,1445
Coorow (S),52030,103,82,17,0,431
Walkerville (M),48260,773,596,313,148,4294
Wattle Range (DC),48340,858,550,248,147,4575
West Torrens (C),48410,3476,2167,1382,941,29248
Whyalla (C),48540,1406,923,578,177,9120
Wudinna (DC),48640,72,35,14,16,431
Yankalilla (DC),48750,641,537,183,50,2494
Yorke Peninsula (DC),48830,975,899,382,156,4476
Unincorporated SA,49399,323,153,52,16,1766
No usual address (SA),49499,247,159,30,10,1595
Migratory - Offshore - Shipping (SA),49799,0,0,0,0,3
Albany (C),50080,3141,2160,1060,459,17181
Armadale (C),50210,4587,2902,1295,451,36072
Ashburton (S),50250,896,119,10,0,8179
Augusta-Margaret River (S),50280,1266,757,311,110,7335
Bassendean (T),50350,1086,667,324,146,7548
Bayswater (C),50420,4370,2748,1464,756,34341
Belmont (C),50490,2267,1361,812,339,20526
Beverley (S),50560,180,134,86,14,790
Boddington (S),50630,122,81,34,3,794
Boyup Brook (S),50770,148,117,47,14,702
Bridgetown-Greenbushes (S),50840,514,425,151,36,2281
Brookton (S),50910,58,64,29,25,387
Broome (S),50980,1160,439,120,29,8054
Broomehill-Tambellup (S),51080,93,41,31,3,460
Bruce Rock (S),51120,66,50,29,5,368
Bunbury (C),51190,2547,1590,762,301,15108
Busselton (C),51260,2890,2281,1124,435,17522
Cambridge (T),51310,2537,1470,924,488,15537
Canning (C),51330,5998,3769,1760,726,46305
Capel (S),51400,1200,678,184,43,7773
Carnamah (S),51470,47,24,11,3,221
Carnarvon (S),51540,412,228,95,33,2447
Chapman Valley (S),51610,103,67,21,3,625
Chittering (S),51680,464,301,126,16,2492
Claremont (T),51750,996,821,538,292,6159
Cockburn (C),51820,6379,3368,1600,667,51012
Collie (S),51890,632,436,194,68,3664
Corrigin (S),52100,76,40,26,18,436
Cottesloe (T),52170,937,611,260,124,4820
Cranbrook (S),52240,89,58,34,9,453
Cuballing (S),52310,62,69,22,9,383
Cue (S),52380,24,17,3,0,91
Cunderdin (S),52450,97,54,24,9,541
Dalwallinu (S),52520,75,43,18,9,539
Dandaragan (S),52590,303,206,94,13,1455
Dardanup (S),52660,908,548,342,162,6169
Denmark (S),52730,672,595,244,61,3134
Derby-West Kimberley (S),52800,434,175,36,15,3092
Donnybrook-Balingup (S),52870,624,431,173,59,2806
Dowerin (S),52940,43,35,12,3,240
Dumbleyung (S),53010,55,29,17,0,267
Dundas (S),53080,79,44,10,3,339
East Fremantle (T),53150,849,454,214,102,4362
East Pilbara (S),53220,591,105,6,0,5988
