lga_code16,ci_ii_2000_2999_mng,ci_ii_2000_2999_pro,ci_ii_2000_2999_tectw,ci_ii_2000_2999_copsw,ci_ii_2000_2999_claw,ci_ii_2000_2999_swks,ci_ii_2000_2999_maopdv,ci_ii_2000_2999_lab,ci_ii_2000_2999_idns,ci_ii_2000_2999_tot,ci_ii_3000mo_mng,ci_ii_3000mo_pro,ci_ii_3000mo_tectw,ci_ii_3000mo_copsw,ci_ii_3000mo_claw,ci_ii_3000mo_swks,ci_ii_3000mo_maopdv,ci_ii_3000mo_lab,ci_ii_3000mo_idns,ci_ii_3000mo_tot,ci_ii_pins_mng,ci_ii_pins_pro,ci_ii_pins_tectw,ci_ii_pins_copsw,ci_ii_pins_claw,ci_ii_pins_swks,ci_ii_pins_maopdv,ci_ii_pins_lab,ci_ii_pins_idns,ci_ii_pins_tot,ci_ii_tot_mng,ci_ii_tot_pro,ci_ii_tot_tectw,ci_ii_tot_copsw,ci_ii_tot_claw,ci_ii_tot_swks,ci_ii_tot_maopdv,ci_ii_tot_lab,ci_ii_tot_idns,ci_ii_tot_tot,le_idns_nni_mng,le_idns_nni_pro,le_idns_nni_tectw,le_idns_nni_copsw,le_idns_nni_claw,le_idns_nni_swks,le_idns_nni_maopdv,le_idns_nni_lab,le_idns_nni_idns,le_idns_nni_tot,le_idns_1_149_mng,le_idns_1_149_pro,le_idns_1_149_tectw,le_idns_1_149_copsw,le_idns_1_149_claw,le_idns_1_149_swks,le_idns_1_149_maopdv,le_idns_1_149_lab,le_idns_1_149_idns,le_idns_1_149_tot,le_idns_150_299_mng,le_idns_150_299_pro,le_idns_150_299_tectw,le_idns_150_299_copsw,le_idns_150_299_claw,le_idns_150_299_swks,le_idns_150_299_maopdv,le_idns_150_299_lab,le_idns_150_299_idns,le_idns_150_299_tot,le_idns_300_399_mng,le_idns_300_399_pro,le_idns_300_399_tectw,le_idns_300_399_copsw,le_idns_300_399_claw,le_idns_300_399_swks,le_idns_300_399_maopdv,le_idns_300_399_lab,le_idns_300_399_idns,le_idns_300_399_tot,le_idns_400_499_mng,le_idns_400_499_pro,le_idns_400_499_tectw,le_idns_400_499_copsw,le_idns_400_499_claw,le_idns_400_499_swks,le_idns_400_499_maopdv,le_idns_400_499_lab,le_idns_400_499_idns,le_idns_400_499_tot,le_idns_500_649_mng,le_idns_500_649_pro,le_idns_500_649_tectw,le_idns_500_649_copsw,le_idns_500_649_claw,le_idns_500_649_swks,le_idns_500_649_maopdv,le_idns_500_649_lab,le_idns_500_649_idns,le_idns_500_649_tot,le_idns_650_799_mng,le_idns_650_799_pro,le_idns_650_799_tectw,le_idns_650_799_copsw,le_idns_650_799_claw,le_idns_650_799_swks,le_idns_650_799_maopdv,le_idns_650_799_lab,le_idns_650_799_idns,le_idns_650_799_tot,le_idns_800_999_mng,le_idns_800_999_pro,le_idns_800_999_tectw,le_idns_800_999_copsw,le_idns_800_999_claw,le_idns_800_999_swks,le_idns_800_999_maopdv,le_idns_800_999_lab,le_idns_800_999_idns,le_idns_800_999_tot,le_idns_1000_1249_mng,le_idns_1000_1249_pro,le_idns_1000_1249_tectw,le_idns_1000_1249_copsw,le_idns_1000_1249_claw,le_idns_1000_1249_swks,le_idns_1000_1249_maopdv,le_idns_1000_1249_lab,le_idns_1000_1249_idns,le_idns_1000_1249_tot,le_idns_1250_1499_mng,le_idns_1250_1499_pro,le_idns_1250_1499_tectw,le_idns_1250_1499_copsw,le_idns_1250_1499_claw,le_idns_1250_1499_swks,le_idns_1250_1499_maopdv,le_idns_1250_1499_lab,le_idns_1250_1499_idns,le_idns_1250_1499_tot,le_idns_1500_1749_mng,le_idns_1500_1749_pro,le_idns_1500_1749_tectw,le_idns_1500_1749_copsw,le_idns_1500_1749_claw,le_idns_1500_1749_swks,le_idns_1500_1749_maopdv,le_idns_1500_1749_lab,le_idns_1500_1749_idns,le_idns_1500_1749_tot,le_idns_1750_1999_mng,le_idns_1750_1999_pro,le_idns_1750_1999_tectw,le_idns_1750_1999_copsw,le_idns_1750_1999_claw,le_idns_1750_1999_swks,le_idns_1750_1999_maopdv,le_idns_1750_1999_lab,le_idns_1750_1999_idns,le_idns_1750_1999_tot,le_idns_2000_2999_mng,le_idns_2000_2999_pro,le_idns_2000_2999_tectw,le_idns_2000_2999_copsw,le_idns_2000_2999_claw,le_idns_2000_2999_swks,le_idns_2000_2999_maopdv,le_idns_2000_2999_lab,le_idns_2000_2999_idns,le_idns_2000_2999_tot,le_idns_3000mo_mng,le_idns_3000mo_pro,le_idns_3000mo_tectw,le_idns_3000mo_copsw,le_idns_3000mo_claw,le_idns_3000mo_swks,le_idns_3000mo_maopdv,le_idns_3000mo_lab,le_idns_3000mo_idns,le_idns_3000mo_tot,le_idns_pins_mng,le_idns_pins_pro,le_idns_pins_tectw,le_idns_pins_copsw,le_idns_pins_claw,le_idns_pins_swks,le_idns_pins_maopdv,le_idns_pins_lab,le_idns_pins_idns,le_idns_pins_tot,le_idns_tot_mng,le_idns_tot_pro,le_idns_tot_tectw,le_idns_tot_copsw,le_idns_tot_claw,le_idns_tot_swks,le_idns_tot_maopdv,le_idns_tot_lab,le_idns_tot_idns,le_idns_tot_tot,lga_name16
10850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,7,16,4,7,6,0,52,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,9,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,14,4,3,3,0,0,0,0,4,0,15,0,0,0,0,0,0,0,3,0,10,4,0,0,0,0,0,0,3,0,9,0,3,0,0,0,0,3,0,0,10,3,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,17,5,9,6,11,8,20,16,7,101,Blayney (A)
10900,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,9,23,42,45,38,8,48,3,242,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,5,0,3,0,19,3,3,3,8,7,6,3,6,0,40,3,9,0,6,7,6,0,5,0,38,0,7,0,14,4,3,3,8,3,40,0,8,5,11,9,8,5,11,0,52,0,5,10,10,9,3,6,9,3,47,3,5,3,6,7,4,3,3,3,49,3,10,3,7,10,3,4,4,3,42,3,4,4,0,4,0,0,3,0,24,4,6,3,3,5,0,0,0,0,21,0,3,0,3,0,0,3,0,0,18,4,10,0,0,0,0,0,0,0,15,3,3,0,0,0,0,3,0,0,5,3,8,0,6,3,3,3,3,11,33,36,74,40,77,67,44,24,56,27,441,Blue Mountains (C)
10950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,3,3,3,6,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,14,3,3,3,0,4,9,6,3,53,Bogan (A)
11100,6,7,0,3,3,4,3,0,0,30,3,9,3,0,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,9,41,39,28,93,130,71,55,46,9,500,4,0,0,3,0,0,0,0,3,11,0,3,0,4,3,10,4,4,5,24,0,0,0,6,3,4,3,6,3,28,0,0,4,3,5,13,4,16,5,55,3,3,3,0,0,12,3,18,4,46,5,6,8,9,13,24,20,22,6,109,8,10,16,23,21,21,23,31,9,143,10,17,24,33,35,16,27,32,8,200,21,24,24,20,55,21,23,21,18,216,25,27,17,13,32,12,19,7,9,150,11,22,13,15,35,3,5,4,3,112,17,17,10,3,6,3,4,3,3,65,23,36,17,3,9,5,3,6,0,100,27,50,4,0,4,0,3,0,3,88,3,12,8,12,12,9,7,5,37,112,149,212,148,137,228,144,139,182,111,1459,Botany Bay (C)
11150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,4,0,3,7,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,3,0,3,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,9,7,5,3,12,3,3,0,6,3,42,Bourke (A)
11200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,7,3,3,0,6,0,24,Brewarrina (A)
14300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,4,5,8,5,7,3,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,5,3,0,3,0,3,0,0,0,0,5,0,0,0,0,0,0,0,3,0,10,0,0,0,0,3,0,0,4,0,9,0,0,0,6,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,4,0,0,7,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,14,3,6,18,7,6,11,15,3,81,Junee (A)
14350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,7,14,37,45,39,15,43,3,212,3,0,0,0,0,0,0,0,3,9,0,0,0,3,3,3,0,6,0,15,3,0,0,3,5,0,0,7,0,15,5,3,4,3,7,3,0,0,0,22,4,3,4,3,0,3,0,6,0,25,8,5,7,13,0,6,7,13,0,48,3,0,6,17,11,3,6,11,6,63,8,11,7,3,6,0,3,8,3,50,7,6,4,8,3,3,6,3,0,37,0,4,4,9,4,0,0,3,0,22,0,3,0,0,3,0,0,0,0,9,0,3,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,6,0,0,3,6,3,3,5,0,8,28,40,42,39,61,46,32,32,52,25,357,Kempsey (A)
11250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,8,28,31,10,9,24,3,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,12,0,0,0,3,0,0,0,0,0,10,3,3,0,0,0,3,3,10,4,25,0,4,0,5,4,0,0,5,0,13,0,0,0,5,4,4,0,7,3,27,0,3,4,3,3,8,0,0,0,20,4,4,3,12,10,4,3,0,0,31,5,6,0,5,3,0,0,0,0,23,0,0,0,0,3,0,3,0,0,10,0,3,0,0,0,0,9,0,0,18,0,3,0,0,0,0,0,0,0,9,3,3,0,0,0,0,5,0,0,9,5,0,0,0,0,0,3,0,0,6,0,0,4,0,3,4,0,3,4,20,18,28,16,40,30,27,26,37,13,235,Broken Hill (C)
13910,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,26,4,4,16,20,25,4,28,0,127,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,9,0,0,0,3,0,4,0,3,0,8,0,0,4,3,9,0,0,4,0,25,6,0,0,4,0,0,3,0,0,25,6,0,0,0,3,3,0,8,0,30,6,0,6,3,7,6,3,12,0,38,4,0,4,0,3,0,4,4,4,33,13,4,3,0,5,0,0,6,0,33,0,0,0,3,3,0,3,0,0,8,0,3,0,0,0,0,3,0,0,13,3,0,0,0,0,0,3,0,0,6,7,4,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,4,6,0,0,0,3,0,0,7,9,24,57,19,28,22,27,26,23,49,11,267,Hilltops (A)
14000,4,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,4,43,27,40,56,139,58,25,43,4,432,0,0,0,0,0,0,0,0,5,14,0,4,0,8,3,15,0,9,3,34,0,8,3,4,3,9,0,0,0,34,3,8,8,8,11,14,0,5,3,57,4,4,3,11,22,14,4,12,4,78,8,10,9,24,20,15,4,14,5,115,6,15,18,17,38,15,13,27,3,147,4,21,15,21,33,11,7,18,4,145,18,28,18,15,27,3,5,14,13,147,6,21,9,4,15,9,3,6,5,86,16,22,11,9,11,3,3,11,3,85,8,19,3,3,3,0,0,3,3,51,18,9,9,0,7,3,5,0,0,64,9,20,0,0,3,0,0,0,3,37,6,4,3,13,10,3,4,3,30,75,124,195,113,139,206,118,60,120,85,1161,Hornsby (A)
