lga_name_2016,lga_code_2016,m_y12_equivalent_indigenous,m_y12_equivalent_non_indig,m_y12_equiv_indigstat_ns,m_y12_equivalent_tot,m_y11_equivalent_indigenous,m_y11_equiv_non_indig,m_y11_equiv_indigstat_ns,m_y11_equivalent_tot,m_y10_equivalent_indigenous,m_y10_equiv_non_indig,m_y10_equiv_indigstat_ns,m_y10_equivalent_tot,m_y9_equivalent_indigenous,m_y9_equiv_non_indig,m_y9_equiv_indigstat_ns,m_y9_equivalent_tot,m_y8_below_indigenous,m_y8_below_non_indig,m_y8_below_indigstat_ns,m_y8_below_tot,m_did_not_go_to_school_indig,m_did_not_go_to_sch_non_indig,m_di_no_go_to_sch_indst_ns,m_did_not_go_to_school_tot,m_highest_yr_school_ns_indig,m_highest_yr_sch_ns_non_indig,m_highe_yr_sch_ns_indst_ns,m_highest_yr_school_ns_tot,m_tot_indigenous,m_tot_non_indigenous,m_tot_indigstat_ns,m_tot_tot,f_y12_equivalent_indigenous,f_y12_equivalent_non_indig,f_y12_equiv_indigstat_ns,f_y12_equivalent_tot,f_y11_equivalent_indigenous,f_y11_equiv_non_indig,f_y11_equiv_indigstat_ns,f_y11_equivalent_tot,f_y10_equivalent_indigenous,f_y10_equiv_non_indig,f_y10_equiv_indigstat_ns,f_y10_equivalent_tot,f_y9_equivalent_indigenous,f_y9_equiv_non_indig,f_y9_equiv_indigstat_ns,f_y9_equivalent_tot,f_y8_below_indigenous,f_y8_below_non_indig,f_y8_below_indigstat_ns,f_y8_below_tot,f_did_not_go_to_school_indig,f_did_not_go_to_sch_non_indig,f_di_no_go_to_sch_indst_ns,f_did_not_go_to_school_tot,f_highest_yr_school_ns_indig,f_highest_yr_sch_ns_non_indig,f_highe_yr_sch_ns_indst_ns,f_highest_yr_school_ns_tot,f_tot_indigenous,f_tot_non_indigenous,f_tot_indigstat_ns,f_tot_tot,p_y12_equivalent_indigenous,p_y12_equivalent_non_indig,p_y12_equiv_indigstat_ns,p_y12_equivalent_tot,p_y11_equivalent_indigenous,p_y11_equiv_non_indig,p_y11_equiv_indigstat_ns,p_y11_equivalent_tot,p_y10_equivalent_indigenous,p_y10_equiv_non_indig,p_y10_equiv_indigstat_ns,p_y10_equivalent_tot,p_y9_equivalent_indigenous,p_y9_equiv_non_indig,p_y9_equiv_indigstat_ns,p_y9_equivalent_tot,p_y8_below_indigenous,p_y8_below_non_indig,p_y8_below_indigstat_ns,p_y8_below_tot,p_did_not_go_to_school_indig,p_did_not_go_to_sch_non_indig,p_di_no_go_to_sch_indst_ns,p_did_not_go_to_school_tot,p_highest_yr_school_ns_indig,p_highest_yr_sch_ns_non_indig,p_highe_yr_sch_ns_indst_ns,p_highest_yr_school_ns_tot,p_tot_indigenous,p_tot_non_indigenous,p_tot_indigstat_ns,p_tot_tot
Blayney (A),10850,16,858,8,881,11,155,4,164,28,899,15,939,9,217,4,233,9,177,5,189,0,7,0,5,13,89,194,294,75,2391,238,2705,19,1114,5,1144,14,154,0,168,22,829,13,862,3,185,0,186,0,134,0,131,0,3,0,3,3,100,161,266,60,2515,188,2762,33,1974,15,2023,17,309,4,333,47,1724,30,1802,13,401,3,422,9,306,4,320,0,8,0,8,14,189,358,558,136,4902,424,5471
Blue Mountains (C),10900,213,15674,85,15973,40,1519,14,1567,188,6787,51,7033,39,1257,15,1315,25,571,12,605,0,73,3,72,26,610,1235,1874,533,26487,1420,28434,247,17944,79,18278,45,1553,16,1609,158,7161,61,7384,42,1444,10,1498,24,669,5,701,5,58,0,64,29,712,1281,2020,538,29553,1457,31552,455,33619,165,34246,77,3071,26,3178,341,13953,119,14412,82,2705,21,2807,47,1242,16,1307,8,131,3,138,58,1321,2515,3895,1076,56038,2871,59984
Bogan (A),10950,22,245,3,269,11,68,0,78,40,302,4,344,18,94,0,111,15,56,5,77,0,0,0,4,10,39,108,156,115,808,124,1044,41,303,8,352,17,46,0,61,48,264,3,306,16,74,0,88,7,51,0,55,0,3,0,3,7,44,94,141,135,777,100,1016,70,549,7,623,25,119,0,140,84,557,7,657,33,165,4,195,24,108,3,135,0,6,0,3,15,82,200,303,245,1587,228,2061
Botany Bay (C),11100,106,11646,47,11800,12,731,0,749,83,2570,19,2668,31,526,4,553,17,775,7,797,0,229,0,229,10,514,1115,1638,261,16989,1191,18444,139,11998,42,12186,32,596,0,627,81,2385,20,2492,21,627,7,658,12,1018,8,1041,0,322,0,330,18,536,1076,1622,310,17487,1155,18951,251,23644,87,23986,39,1333,3,1378,168,4951,39,5161,54,1149,8,1211,30,1793,16,1841,0,558,0,555,22,1047,2190,3261,570,34478,2348,37397
Bourke (A),11150,37,204,0,250,24,43,0,64,82,166,4,245,35,53,0,87,30,46,3,75,9,3,0,10,16,31,182,237,237,535,196,968,52,270,3,326,38,33,0,71,94,112,3,210,59,46,0,96,30,24,0,52,0,0,0,0,30,32,171,230,295,526,176,995,91,481,4,569,62,74,0,138,177,273,5,459,88,90,0,188,57,66,3,127,12,3,0,16,49,67,353,467,530,1060,369,1963
Brewarrina (A),11200,54,72,4,134,17,17,0,32,98,84,0,189,54,29,0,86,61,16,0,83,3,3,0,9,57,12,37,113,351,237,41,632,58,109,7,176,31,17,0,49,107,48,5,161,64,9,0,75,53,10,0,57,4,0,0,4,29,10,27,66,345,209,36,587,116,185,8,306,50,31,0,87,211,135,5,346,117,45,0,162,110,27,0,142,8,3,0,7,91,21,66,176,701,441,81,1226
Lake Macquarie (C),14650,642,27996,125,28762,249,4835,27,5112,825,23928,153,24906,284,6338,66,6690,173,3232,38,3438,21,206,5,235,102,2253,2699,5051,2295,68787,3108,74184,800,31671,151,32624,222,4093,30,4339,859,24712,181,25757,293,7456,65,7815,151,3458,45,3656,13,199,6,216,93,2960,2649,5704,2420,74560,3124,80106,1446,59664,279,61387,464,8926,53,9451,1684,48642,340,50664,572,13800,128,14501,326,6694,82,7093,35,406,9,444,189,5210,5351,10749,4716,143341,6237,154293
Broken Hill (C),11250,80,1566,21,1671,50,491,11,548,129,2154,24,2309,59,677,14,753,56,616,10,679,4,25,0,27,64,411,422,896,435,5930,514,6882,94,1857,13,1966,54,410,8,475,148,2267,22,2439,72,781,9,868,44,586,8,633,5,12,0,18,44,513,435,994,463,6422,502,7384,170,3421,37,3635,101,904,14,1026,281,4415,52,4749,135,1455,23,1617,101,1201,15,1316,5,32,0,38,102,924,862,1889,897,12354,1015,14269
Hilltops (A),13910,44,1929,15,1999,23,404,4,429,79,2315,26,2417,31,674,5,707,30,524,10,571,0,45,0,44,19,303,415,738,225,6196,482,6904,53,2575,18,2645,23,514,5,538,88,2074,22,2185,37,612,10,658,23,421,17,458,4,30,0,34,8,347,440,797,231,6577,516,7321,101,4512,32,4645,41,919,10,967,166,4384,52,4604,63,1284,19,1364,52,949,26,1028,3,77,0,83,30,655,856,1537,456,12771,1004,14226
Hornsby (A),14000,93,37935,162,38192,15,1859,5,1879,61,6875,53,6993,12,1257,9,1276,4,816,5,829,3,277,3,288,3,1026,1595,2621,195,50048,1833,52078,118,39895,173,40183,10,1805,14,1823,52,8020,52,8130,15,1573,11,1603,11,1094,14,1117,0,364,5,364,3,1588,1635,3230,207,54336,1901,56447,212,77835,328,78375,22,3661,16,3705,114,14899,105,15116,30,2827,20,2880,17,1910,21,1945,5,642,8,655,11,2611,3232,5851,404,104383,3735,108527
Hunters Hill (A),14100,13,3661,29,3692,3,155,0,153,3,429,3,435,0,103,0,106,0,82,0,82,0,18,0,18,0,146,261,408,20,4593,292,4899,11,3826,25,3859,0,154,0,160,5,682,4,692,3,158,0,160,0,143,0,148,0,32,0,32,0,243,270,519,15,5242,304,5564,16,7484,48,7552,3,309,0,310,4,1113,6,1130,3,262,0,263,0,224,0,226,0,52,0,52,0,390,534,928,34,9836,599,10461
Inner West (A),14170,363,50605,170,51147,49,2381,11,2434,145,6930,46,7115,39,1408,16,1468,52,2529,25,2610,8,771,4,786,27,1428,5310,6763,677,66049,5590,72321,404,55196,202,55797,52,2048,9,2115,196,6588,50,6834,64,1445,15,1522,56,3323,37,3416,6,1202,15,1223,43,1624,5195,6855,813,71427,5522,77762,765,105803,375,106941,96,4430,23,4546,341,13519,96,13955,99,2855,37,2992,110,5858,64,6025,14,1973,19,2006,67,3051,10501,13622,1490,137479,11110,150083
Inverell (A),14200,79,1686,14,1785,33,320,4,359,112,1894,23,2034,67,553,6,623,54,493,3,555,0,16,0,24,34,239,459,733,381,5205,517,6098,111,2163,20,2289,45,344,3,386,137,1883,26,2045,78,527,9,610,35,354,11,400,3,21,0,20,35,262,453,751,445,5545,514,6503,189,3850,37,4077,77,662,9,743,245,3772,49,4073,140,1079,16,1235,91,851,8,957,5,34,0,42,68,497,909,1479,819,10748,1031,12601
Junee (A),14300,19,568,5,585,4,135,6,144,24,710,10,746,8,196,0,206,9,122,4,136,0,4,0,4,228,698,190,1113,281,2432,216,2933,20,718,5,748,7,130,0,137,22,600,5,635,11,172,6,190,7,107,5,121,3,10,0,11,5,92,165,262,80,1832,192,2095,34,1286,8,1329,9,266,4,285,47,1315,18,1381,19,366,5,395,12,229,6,253,3,14,0,14,230,786,354,1372,363,4260,404,5027
Kempsey (A),14350,176,2688,26,2890,80,629,12,725,253,3406,39,3692,115,1154,28,1303,102,818,12,935,11,30,0,48,273,769,852,1895,1016,9501,975,11487,225,3144,28,3395,103,550,14,665,306,3495,41,3847,149,1087,16,1260,111,712,19,837,11,21,0,30,102,527,862,1487,1003,9538,985,11527,405,5828,54,6290,183,1180,24,1387,562,6903,81,7546,267,2245,47,2561,212,1530,33,1773,17,57,3,79,373,1296,1720,3381,2018,19035,1955,23012
Kiama (A),14400,57,4061,30,4145,6,473,10,486,46,2154,22,2219,14,467,3,481,3,264,3,272,0,20,0,17,3,186,469,656,136,7615,527,8280,57,4323,36,4412,7,436,9,449,35,2345,28,2406,5,532,4,544,9,266,0,270,0,16,0,15,4,240,495,739,122,8144,572,8843,118,8385,63,8556,14,906,15,942,85,4494,53,4625,17,995,9,1028,14,530,3,542,3,35,3,36,6,424,966,1397,258,15764,1105,17124
Ku-ring-gai (A),14500,57,34416,110,34585,0,1043,0,1044,9,2475,16,2498,0,499,3,501,0,313,3,317,0,132,0,132,0,595,1417,2014,66,39469,1553,41096,47,36786,127,36959,4,1431,9,1445,12,4151,33,4197,3,826,6,836,0,530,4,532,0,199,5,202,3,1006,1603,2614,66,44925,1790,46780,98,71206,243,71546,4,2471,6,2482,21,6628,53,6697,6,1324,16,1336,5,842,9,851,0,328,5,333,3,1601,3023,4632,131,84400,3346,87875
Kyogle (A),14550,18,993,8,1017,13,227,3,241,35,1216,26,1272,20,327,8,353,22,276,4,302,0,10,0,10,5,114,330,454,111,3166,375,3656,35,1155,11,1192,11,224,3,238,44,1083,25,1153,16,258,3,279,15,212,4,228,0,9,0,9,9,133,284,422,129,3080,325,3529,51,2146,18,2218,24,455,3,479,85,2295,46,2429,35,586,6,632,30,489,6,532,0,24,0,24,16,248,615,882,236,6243,698,7183
Lachlan (A),14600,59,564,7,628,25,100,0,129,91,668,9,764,36,187,3,223,43,171,0,212,7,14,0,24,24,91,239,347,289,1786,257,2329,97,757,3,858,46,127,0,169,105,522,3,637,39,161,0,205,38,113,3,154,5,7,0,12,30,79,226,331,358,1757,243,2357,158,1318,8,1482,69,219,0,293,202,1190,18,1402,77,351,6,431,79,284,7,368,10,20,0,32,52,165,467,683,643,3545,498,4685
Lane Cove (A),14700,18,10974,31,11022,0,352,3,358,6,883,7,898,3,140,3,147,0,136,0,138,0,45,0,46,3,161,659,822,30,12686,707,13423,22,11608,21,11655,6,376,0,385,4,1238,7,1246,0,232,0,232,0,164,3,169,0,57,0,55,0,216,627,839,37,13887,661,14585,39,22580,57,22676,4,730,3,740,8,2122,17,2144,3,366,3,375,0,297,4,299,4,101,0,102,3,373,1287,1666,63,26575,1369,28003
Leeton (A),14750,35,1034,6,1071,22,242,0,262,75,1406,19,1495,15,347,3,366,22,335,5,364,0,23,0,25,8,152,365,526,174,3536,396,4108,38,1281,13,1331,17,259,0,278,51,1306,11,1371,25,320,0,341,14,218,5,237,0,17,0,17,14,169,359,546,164,3562,389,4119,75,2313,13,2403,45,496,0,543,128,2707,27,2861,41,662,5,709,34,550,15,599,0,40,0,41,21,325,725,1070,341,7100,784,8223
Lismore (C),14850,196,6369,53,6612,43,957,6,1001,203,4540,33,4784,84,1148,11,1248,48,795,6,851,6,54,0,54,30,410,1255,1700,614,14267,1370,16249,233,7265,50,7560,57,1011,6,1083,217,4880,54,5156,61,1029,15,1108,44,780,7,832,3,45,0,49,41,463,1293,1800,663,15477,1441,17580,430,13641,105,14170,98,1971,13,2079,419,9424,94,9936,150,2176,30,2357,96,1568,19,1685,9,96,0,107,75,877,2550,3494,1279,29743,2808,33829
Lithgow (C),14870,79,2059,27,2163,32,477,4,517,127,2878,29,3033,44,700,3,747,38,513,15,568,3,28,0,32,89,659,725,1471,414,7312,809,8528,98,2593,32,2725,29,480,7,521,115,2566,31,2715,52,741,12,798,36,458,9,501,0,17,0,17,27,337,705,1070,349,7201,790,8340,173,4655,63,4888,66,961,7,1032,240,5441,62,5748,96,1438,12,1548,77,966,19,1065,3,45,0,49,116,990,1432,2540,765,14506,1600,16868
Liverpool (C),14900,218,38753,179,39146,80,3562,41,3682,236,14165,99,14497,129,3263,29,3417,88,4131,34,4254,10,1644,4,1662,47,1805,4774,6628,799,67326,5158,73289,329,41424,221,41984,83,2995,24,3095,299,12741,114,13157,133,3522,29,3683,60,5110,65,5232,3,2434,18,2461,50,1918,4646,6616,969,70146,5121,76230,545,80180,401,81128,160,6555,65,6784,536,26912,206,27652,262,6782,59,7101,147,9244,98,9490,17,4084,29,4124,101,3726,9418,13244,1766,137475,10278,149519
Liverpool Plains (A),14920,67,707,13,786,21,160,3,184,110,917,9,1035,44,252,3,297,40,236,6,285,0,13,0,14,25,119,233,380,297,2401,278,2977,74,893,6,973,31,171,3,205,97,860,14,973,47,253,3,300,22,133,7,159,3,7,0,11,31,114,253,394,300,2434,281,3018,140,1602,22,1765,53,333,7,389,205,1782,25,2005,84,505,10,597,59,370,12,440,4,15,3,25,54,235,489,774,599,4832,558,5999
Lockhart (A),14950,10,311,7,320,3,80,0,78,11,423,6,432,6,109,0,109,7,102,0,113,0,3,0,3,0,42,92,135,32,1063,104,1193,5,415,8,426,0,80,0,85,16,358,3,375,4,92,0,93,3,52,0,53,0,3,0,3,0,52,97,150,30,1047,113,1192,15,723,11,752,4,158,0,163,20,778,8,810,10,195,0,211,10,152,0,163,0,4,0,4,3,91,193,288,65,2113,213,2385
Maitland (C),15050,289,9765,61,10110,117,1976,14,2098,392,9249,64,9707,131,2236,23,2390,95,1118,16,1234,7,74,0,83,46,675,1274,1990,1072,25089,1456,27617,380,11756,59,12199,120,1754,19,1895,439,9209,74,9725,135,2621,19,2767,72,1199,21,1292,3,67,0,67,55,779,1257,2087,1207,27386,1448,30038,673,21524,116,22310,234,3732,33,3998,834,18459,138,19427,263,4855,41,5159,168,2320,41,2529,15,137,3,153,96,1451,2526,4077,2279,52479,2898,57652
Mid-Coast (A),15240,350,9875,83,10311,131,2064,34,2227,487,11810,125,12430,249,3753,47,4047,202,2432,33,2667,5,102,6,114,102,1429,2206,3737,1535,31470,2532,35534,409,11293,102,11808,157,2065,25,2248,562,12530,148,13239,277,3988,52,4318,155,2113,34,2302,12,81,6,96,97,1667,2310,4072,1678,33738,2668,38084,761,21167,188,22116,290,4129,56,4473,1055,24344,274,25665,531,7735,106,8368,350,4547,67,4970,19,184,5,207,203,3102,4510,7818,3210,65211,5202,73624
Mid-Western Regional (A),15270,85,2644,28,2758,38,591,9,639,152,2920,47,3117,42,749,10,803,41,588,13,647,0,30,0,30,16,288,881,1184,371,7817,988,9174,112,3357,27,3495,37,534,6,576,127,2578,39,2741,51,711,20,780,18,462,12,497,3,21,3,30,23,308,847,1172,365,7975,954,9291,196,6006,55,6250,74,1127,14,1211,278,5503,90,5860,91,1463,26,1577,64,1055,26,1140,3,49,3,59,37,595,1722,2360,741,15791,1934,18463
Moree Plains (A),15300,150,1320,14,1482,86,229,0,311,240,1193,24,1455,159,321,9,487,117,293,11,417,18,22,0,40,81,170,554,803,842,3547,607,4987,202,1654,22,1877,114,239,3,359,306,962,5,1277,153,214,0,372,93,154,3,248,11,15,0,22,95,141,538,776,965,3376,577,4922,349,2970,36,3353,196,470,3,673,539,2158,32,2732,317,534,5,856,207,451,9,666,20,31,0,55,174,307,1093,1576,1808,6925,1183,9908
Mosman (A),15350,17,8196,37,8247,3,255,0,255,4,539,3,544,0,106,3,105,0,54,0,56,0,24,0,26,0,162,711,878,24,9328,754,10112,17,9421,34,9473,3,443,3,446,3,1053,9,1067,0,185,0,186,0,85,0,86,0,17,0,17,0,214,818,1030,25,11413,864,12302,30,17614,71,17720,3,697,3,706,3,1596,12,1613,0,287,3,292,0,134,0,140,0,44,0,45,0,374,1528,1911,50,20747,1618,22417
Murray River (A),15520,19,1263,11,1291,9,707,11,729,32,1112,13,1150,12,511,3,530,16,384,3,404,3,17,0,22,10,175,314,502,97,4167,357,4624,35,1682,18,1734,16,749,5,773,33,874,8,919,22,382,3,404,15,289,8,311,3,6,0,7,18,213,311,544,137,4202,359,4693,54,2946,29,3023,26,1454,17,1499,61,1989,20,2072,32,897,4,933,28,671,14,717,8,23,0,26,27,396,623,1052,238,8373,711,9321
Murrumbidgee (A),15560,22,377,5,398,8,111,0,118,25,436,6,470,6,140,0,147,17,130,5,151,0,0,0,0,3,51,152,209,82,1258,169,1507,23,475,4,502,5,119,0,130,41,319,3,361,7,102,0,112,12,84,0,93,0,3,0,7,7,56,125,191,102,1165,136,1400,42,857,5,904,16,233,0,245,72,762,11,839,21,248,0,263,28,216,4,247,0,7,0,9,16,107,279,399,180,2420,298,2902
Muswellbrook (A),15650,60,1548,10,1619,43,441,0,487,142,2054,25,2215,61,517,4,577,27,321,9,364,0,19,0,23,48,397,375,812,387,5296,418,6100,101,1893,9,2005,34,397,6,432,132,1764,19,1913,75,514,9,592,25,293,3,326,3,9,3,18,24,173,343,542,392,5046,391,5820,164,3443,22,3624,73,836,7,917,274,3812,39,4127,131,1025,8,1169,58,618,11,686,7,32,3,38,64,571,719,1354,777,10340,807,11917
Nambucca (A),15700,93,2095,24,2219,34,437,4,480,115,2374,39,2530,44,751,8,810,38,513,6,565,6,20,0,29,38,352,491,885,383,6549,583,7511,119,2435,25,2579,42,445,9,497,149,2407,38,2601,64,811,15,889,46,412,10,465,3,14,0,22,36,380,476,900,457,6912,576,7946,211,4532,52,4794,72,882,16,972,266,4782,75,5127,110,1564,26,1692,88,928,14,1031,11,37,0,48,73,734,969,1782,835,13461,1155,15457
Narrabri (A),15750,81,1331,18,1431,36,282,3,325,143,1433,15,1591,70,417,5,493,54,335,5,395,4,19,0,26,44,163,481,688,432,3989,525,4945,132,1639,21,1793,46,258,8,309,171,1267,16,1463,61,330,3,394,46,219,3,269,0,9,0,16,40,176,489,712,497,3909,546,4949,211,2969,37,3223,79,540,11,627,317,2705,34,3058,132,746,9,894,101,556,13,664,4,33,0,34,84,341,972,1395,923,7899,1073,9891
Narrandera (A),15800,17,522,3,542,18,143,0,156,56,662,11,724,29,198,0,231,27,172,3,206,0,17,3,18,13,130,223,358,162,1837,239,2242,42,694,3,738,17,130,0,146,53,606,13,671,31,197,4,231,20,117,0,140,0,7,0,11,20,117,215,351,179,1871,233,2289,56,1214,3,1275,29,273,3,307,110,1265,19,1398,64,394,4,458,43,296,6,345,0,24,4,30,28,245,440,713,342,3704,476,4523
Narromine (A),15850,65,606,5,679,25,121,0,149,120,692,10,816,47,193,4,245,33,150,0,189,6,4,0,12,17,63,227,304,314,1831,250,2396,138,770,10,915,28,128,0,153,133,581,3,715,42,178,5,224,34,101,3,138,0,8,0,8,21,63,226,312,396,1826,247,2471,206,1375,18,1598,49,246,0,301,254,1269,10,1532,88,374,7,465,71,253,8,331,6,14,0,18,43,127,448,618,714,3658,491,4861
