lga_code16,p_philippines_e,p_philippines_om_ie,p_philippines_om_uie,p_philippines_cfw,p_philippines_es_ns,p_philippines_tot,p_poland_e,p_poland_om_ie,p_poland_om_uie,p_poland_cfw,p_poland_es_ns,p_poland_tot,p_singapore_e,p_singapore_om_ie,p_singapore_om_uie,p_singapore_cfw,p_singapore_es_ns,p_singapore_tot,p_sthafrica_e,p_sthafrica_om_ie,p_sthafrica_om_uie,p_sthafrica_cfw,p_sthafrica_es_ns,p_sthafrica_tot,p_srilanka_e,p_srilanka_om_ie,p_srilanka_om_uie,p_srilanka_cfw,p_srilanka_es_ns,p_srilanka_tot,p_thailand_e,p_thailand_om_ie,p_thailand_om_uie,p_thailand_cfw,p_thailand_es_ns,p_thailand_tot,p_turkey_e,p_turkey_om_ie,p_turkey_om_uie,p_turkey_cfw,p_turkey_es_ns,p_turkey_tot,p_uk_e,p_uk_om_ie,p_uk_om_uie,p_uk_cfw,p_uk_es_ns,p_uk_tot,p_usa_e,p_usa_om_ie,p_usa_om_uie,p_usa_cfw,p_usa_es_ns,p_usa_tot,p_vietnam_e,p_vietnam_om_ie,p_vietnam_om_uie,p_vietnam_cfw,p_vietnam_es_ns,p_vietnam_tot,p_zimbabwe_e,p_zimbabwe_om_ie,p_zimbabwe_om_uie,p_zimbabwe_cfw,p_zimbabwe_es_ns,p_zimbabwe_tot,p_elsewhere_e,p_elsewhere_om_ie,p_elsewhere_om_uie,p_elsewhere_cfw,p_elsewhere_es_ns,p_elsewhere_tot,p_cob_ns_e,p_cob_ns_om_ie,p_cob_ns_om_uie,p_cob_ns_cfw,p_cob_ns_es_ns,p_cob_ns_tot,p_tot_e,p_tot_om_ie,p_tot_om_uie,p_tot_cfw,p_tot_es_ns,p_tot_tot,lga_name16
10850,10,0,0,0,0,13,0,0,3,0,0,3,3,0,0,0,0,3,7,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,47,0,12,3,0,64,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,17,0,4,0,0,19,42,4,11,7,0,67,2223,152,351,156,40,2922,Blayney (A)
10900,119,5,3,0,0,130,30,4,12,0,0,45,13,0,0,0,0,18,56,6,17,3,0,82,17,5,0,0,0,25,63,3,3,0,0,69,6,0,0,0,0,4,760,145,242,35,3,1188,80,8,28,8,0,121,55,5,10,3,3,83,9,4,3,0,0,11,358,58,123,13,13,563,159,16,29,4,12,223,13743,1485,2671,373,178,18452,Blue Mountains (C)
10950,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,7,0,0,0,0,7,19,0,8,7,0,32,956,52,173,83,27,1298,Bogan (A)
11100,1117,8,15,0,7,1144,124,6,5,0,0,142,124,5,3,4,0,143,371,35,11,3,4,422,225,8,0,0,5,236,375,13,14,3,0,405,119,13,14,5,4,150,1742,100,79,4,14,1944,200,4,4,3,0,220,602,27,43,8,3,687,43,3,3,0,0,44,4790,237,228,27,72,5357,394,31,14,3,33,484,43190,2223,1427,237,427,47503,Botany Bay (C)
11150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,16,4,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,5,18,0,0,0,0,21,28,0,11,4,0,44,804,41,125,50,24,1047,Bourke (A)
11200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,13,0,4,7,0,24,361,23,57,52,11,499,Brewarrina (A)
14750,52,0,0,0,0,59,4,0,0,0,0,4,0,0,0,0,0,0,19,3,0,0,0,23,3,3,0,0,0,3,17,0,0,0,0,17,0,0,0,0,0,0,37,7,5,0,0,52,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,66,0,4,0,0,70,112,3,15,5,3,136,3722,230,386,172,64,4576,Leeton (A)
14850,74,4,3,3,0,82,3,0,0,0,0,9,13,0,3,0,0,18,57,10,12,0,0,89,14,0,0,0,0,13,17,0,6,3,0,26,3,0,0,0,0,3,519,43,92,7,5,662,82,0,13,0,0,105,19,0,6,0,0,26,21,4,4,0,0,23,255,16,46,12,6,331,264,7,44,16,15,347,16637,840,1973,399,238,20090,Lismore (C)
14870,38,6,0,0,0,48,3,0,0,0,0,5,3,0,0,0,0,4,15,0,4,0,0,15,5,0,0,0,0,12,6,0,0,3,0,12,0,0,0,0,0,0,169,10,28,11,3,222,14,0,0,0,0,19,3,0,3,3,0,18,0,0,0,0,0,0,72,9,7,0,0,94,134,12,19,6,11,178,6293,350,528,182,88,7444,Lithgow (C)
14900,1564,37,33,7,3,1645,178,25,25,3,3,229,62,3,7,0,0,73,312,27,13,3,3,362,284,22,11,3,0,319,257,14,9,7,7,285,199,23,33,3,6,261,1351,91,56,9,13,1520,121,3,10,0,0,138,2265,243,239,57,35,2842,148,3,0,0,0,149,5374,516,516,79,89,6570,738,68,59,14,69,955,58010,4696,3649,749,775,67886,Liverpool (C)
11250,61,0,0,3,0,63,0,0,0,0,0,0,4,0,0,0,0,4,14,0,3,0,0,20,6,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,74,0,5,7,0,85,9,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,4,37,5,7,0,0,45,139,12,7,0,11,168,5976,267,375,95,128,6845,Broken Hill (C)
13910,16,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,3,0,0,0,0,3,3,0,0,0,0,4,0,0,0,0,0,0,82,12,17,11,5,129,17,0,3,3,0,17,0,0,0,0,0,0,3,0,0,0,0,3,39,7,9,3,0,57,152,7,31,9,8,202,4992,485,931,439,112,6958,Hilltops (A)
14000,728,24,18,15,3,787,64,20,17,0,0,99,102,19,7,3,0,131,467,89,64,10,4,627,314,53,21,6,3,406,161,15,8,7,3,200,30,3,7,0,0,42,1554,241,227,39,12,2072,173,38,14,3,0,235,239,20,25,8,3,299,79,12,14,0,0,104,2075,208,220,50,25,2580,242,28,42,7,27,343,33580,4022,3662,684,334,42292,Hornsby (A)
14100,86,3,0,0,0,89,5,3,4,0,0,11,8,3,0,0,0,14,36,5,4,0,0,47,40,0,0,0,0,40,39,4,3,0,0,44,4,4,3,3,0,15,152,23,16,7,0,196,18,3,4,0,0,28,16,6,4,0,0,32,10,0,0,0,0,7,359,23,29,3,0,412,30,0,3,0,3,41,3414,498,373,86,24,4397,Hunters Hill (A)
14170,1124,31,31,8,5,1199,140,20,21,3,3,191,118,19,10,3,0,151,301,69,47,3,8,426,286,9,13,0,0,306,576,23,46,12,8,664,128,20,34,4,4,189,1913,393,419,41,21,2785,274,43,61,11,0,387,1208,164,175,52,11,1616,46,3,14,0,0,59,5307,414,559,66,78,6422,438,52,76,9,39,617,48432,6252,6302,845,573,62403,Inner West (A)
14200,94,3,0,0,7,111,0,0,0,0,0,0,0,0,0,0,0,0,14,0,3,0,0,20,0,0,0,0,0,0,0,0,3,3,0,6,0,0,0,0,0,0,54,10,22,3,0,83,3,0,0,0,0,6,6,0,6,0,0,14,0,3,0,0,0,3,56,4,3,4,0,66,115,11,16,14,8,165,4834,326,737,304,119,6324,Inverell (A)
14300,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,8,3,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,3,0,0,72,42,0,10,9,3,67,1337,105,260,101,24,1836,Junee (A)
14350,45,3,3,0,3,55,0,0,0,0,0,0,3,0,0,0,0,4,17,3,0,0,0,19,3,0,0,0,0,3,5,0,0,0,0,7,3,0,0,0,0,3,173,21,29,13,4,240,15,5,4,0,3,26,0,0,0,0,0,3,6,0,0,0,0,6,88,10,13,0,0,118,215,7,36,14,14,287,7417,450,974,305,178,9329,Kempsey (A)
14400,27,0,0,0,0,27,3,0,3,0,0,3,3,0,0,0,0,0,13,12,15,4,0,38,6,3,0,0,0,4,18,5,0,0,0,24,0,0,0,0,0,0,173,26,52,9,7,268,21,3,4,3,0,25,7,0,3,0,0,13,0,0,0,0,0,6,66,10,17,0,0,95,63,11,18,5,10,97,3795,517,814,170,68,5363,Kiama (A)
14500,456,16,15,5,3,489,67,8,15,0,0,91,102,8,9,5,0,130,676,201,167,19,4,1077,135,14,9,3,0,167,176,11,11,0,3,200,18,4,0,0,0,29,1341,307,235,30,10,1924,138,28,27,7,0,200,123,41,26,3,0,194,82,9,15,0,0,108,1768,211,188,42,10,2221,163,23,19,5,15,231,22576,3776,3053,611,209,30220,Ku-ring-gai (A)
14550,12,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,16,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,52,3,19,6,3,88,0,0,0,0,0,3,3,0,0,0,0,9,4,0,3,0,0,11,36,9,14,8,0,65,48,7,9,3,4,68,1778,167,524,204,48,2725,Kyogle (A)
14600,15,0,3,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,8,0,3,0,0,16,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,11,49,5,9,9,12,81,1563,150,382,194,55,2347,Lachlan (A)
14650,283,8,18,0,3,311,34,6,8,0,0,51,23,3,3,0,0,30,192,18,21,6,0,236,46,4,3,0,0,57,96,10,15,7,0,127,7,3,0,0,0,11,1223,151,158,42,9,1591,152,10,30,0,0,197,60,16,20,4,0,103,58,5,9,0,0,68,601,86,118,17,7,833,565,41,36,17,47,706,48075,3985,4411,769,524,57757,Lake Macquarie (C)
14700,320,5,3,0,0,327,43,3,9,0,0,59,48,9,4,3,0,56,218,35,28,3,3,283,113,0,3,0,0,116,133,5,4,0,0,141,18,4,0,0,0,30,770,104,69,10,7,964,129,7,9,0,0,150,175,7,12,0,0,197,23,0,0,0,0,25,1224,71,85,10,4,1397,86,11,4,0,7,108,13302,1335,1075,178,101,15982,Lane Cove (A)
14920,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,3,9,5,0,55,0,0,3,3,0,6,0,0,3,0,0,3,0,0,0,0,0,0,18,0,0,0,0,20,48,3,12,10,4,81,1872,153,409,159,57,2654,Liverpool Plains (A)
14950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,8,9,3,4,3,0,19,477,58,211,109,20,877,Lockhart (A)
15050,124,0,3,0,0,128,16,0,0,0,0,16,13,3,4,0,0,15,108,5,6,4,0,125,30,3,3,0,0,38,22,0,4,0,0,25,0,0,0,0,0,0,591,52,63,20,5,722,63,0,7,0,0,69,19,3,5,5,3,39,35,0,0,3,0,36,227,35,23,7,5,293,262,16,22,7,12,314,23019,1555,1595,359,222,26754,Maitland (C)
15240,116,10,9,3,5,143,11,0,3,0,0,17,7,0,0,0,0,10,54,16,21,0,0,93,17,0,3,0,0,19,21,3,10,4,0,38,4,3,0,0,0,7,583,81,146,39,9,860,42,3,12,0,0,64,16,0,0,0,0,14,20,0,3,0,0,27,233,32,38,17,4,325,494,32,82,25,38,676,20892,1614,3049,839,508,26889,Mid-Coast (A)
15270,29,4,3,0,0,38,3,0,0,0,0,3,0,0,0,0,0,0,24,6,4,0,0,36,0,0,0,0,0,0,13,0,0,0,3,17,0,0,0,0,0,3,175,19,27,16,0,233,13,0,3,5,3,22,10,3,0,0,0,14,8,0,0,0,0,13,52,7,8,3,0,78,178,11,31,16,14,251,7438,583,970,381,157,9525,Mid-Western Regional (A)
15300,30,0,0,0,0,28,0,0,0,0,0,3,3,0,0,0,0,3,16,0,4,0,0,23,5,0,0,0,0,5,3,3,0,0,0,10,0,0,0,0,0,0,49,9,18,9,0,84,9,0,0,0,0,11,0,0,0,0,0,0,9,0,0,0,0,9,49,7,4,7,3,60,111,17,20,8,3,165,4182,424,672,222,106,5603,Moree Plains (A)
15350,95,4,0,0,0,102,17,6,6,0,0,33,12,3,0,0,0,15,93,28,28,3,0,158,31,3,3,0,0,31,102,7,7,0,3,116,4,3,0,0,0,5,446,133,114,18,8,715,66,23,6,0,3,93,46,8,7,4,0,69,13,5,3,0,0,18,673,80,87,17,7,863,37,17,11,3,4,70,6108,1317,1029,210,75,8738,Mosman (A)
15520,36,0,0,0,0,34,3,0,0,0,0,3,0,0,0,0,0,3,14,0,0,0,0,15,15,0,0,0,0,13,3,0,0,0,0,12,0,0,0,0,0,0,47,3,3,6,4,68,8,0,0,0,0,8,0,0,0,0,0,4,3,0,0,0,0,3,27,0,0,0,0,30,74,9,32,10,14,138,2981,405,537,320,85,4336,Murray River (A)
15560,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,17,0,6,0,0,28,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,37,26,8,7,3,5,49,1035,202,222,110,42,1610,Murrumbidgee (A)
15650,48,0,0,0,0,48,3,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,47,20,0,0,0,0,20,8,0,0,0,0,12,0,0,0,0,0,3,169,8,13,9,0,201,14,0,0,3,0,20,5,0,0,0,0,9,23,0,0,0,0,23,80,0,5,0,4,87,147,3,15,4,10,174,8624,249,392,126,102,9498,Muswellbrook (A)
15700,14,0,0,0,0,20,0,0,0,0,0,4,0,0,0,0,0,3,15,0,0,0,0,19,3,0,0,0,0,3,9,0,0,0,0,12,0,0,0,0,0,0,131,12,36,7,0,186,8,0,5,0,0,18,0,0,0,0,0,3,0,0,0,0,0,0,67,10,7,4,0,84,95,5,24,8,5,139,4221,260,737,213,100,5529,Nambucca (A)
15750,32,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,4,14,0,0,0,0,20,8,4,0,0,0,10,0,0,0,0,0,0,4,0,0,0,0,4,59,0,5,3,0,75,13,3,0,3,0,21,0,0,0,0,0,0,11,0,0,0,0,12,35,3,4,4,0,48,141,9,14,9,15,188,4974,396,564,264,99,6303,Narrabri (A)
15800,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,7,0,0,0,0,7,3,0,0,0,0,3,0,0,0,0,0,0,27,3,3,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,18,0,6,0,0,22,43,3,12,9,7,63,1466,139,315,140,32,2093,Narrandera (A)
15850,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,23,0,3,0,0,22,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,13,45,0,10,10,0,71,1529,166,341,185,44,2261,Narromine (A)
15900,473,8,19,0,5,506,82,10,6,0,0,99,50,0,4,0,0,61,396,40,33,4,4,472,127,5,3,0,0,138,139,0,15,0,3,164,15,5,3,0,0,23,2630,163,179,17,10,3001,342,14,27,3,0,392,137,13,32,7,6,189,126,5,3,3,0,137,1677,99,129,17,18,1943,791,35,59,9,54,938,87238,4294,4443,660,692,97327,Newcastle (C)
15950,1469,19,16,3,7,1511,210,11,22,7,3,244,249,27,17,0,3,293,1110,124,65,6,8,1309,522,22,8,0,4,559,606,25,23,5,6,669,95,12,12,0,0,114,4713,522,232,29,27,5527,671,52,44,3,8,780,599,31,32,10,8,678,105,14,6,0,0,122,5659,309,228,42,38,6275,347,37,28,12,42,469,63199,5193,2875,530,457,72250,North Sydney (A)
15990,1145,19,28,5,11,1207,150,29,33,4,0,214,135,21,20,0,0,173,1006,254,166,29,3,1455,172,18,9,0,3,203,549,31,52,14,4,648,54,16,23,3,4,93,5112,1181,882,138,52,7363,616,101,124,20,5,871,298,42,50,8,7,407,98,35,19,3,0,151,5664,615,607,98,63,7049,517,93,84,15,58,775,66096,10930,9061,1440,708,88233,Northern Beaches (A)
16100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,44,3,3,7,0,53,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,7,26,0,6,3,0,37,40,7,7,3,3,62,1618,121,258,129,33,2158,Oberon (A)
16150,109,0,0,0,0,113,8,0,3,0,3,14,10,0,0,0,0,12,58,12,14,0,0,85,25,3,0,0,0,23,23,4,0,0,0,28,7,0,0,0,0,11,377,23,45,3,3,453,53,0,0,0,3,52,22,3,0,3,0,28,63,3,0,0,0,65,270,16,27,5,4,320,242,15,20,5,13,294,16235,999,1271,225,230,18968,Orange (C)
16200,27,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,6,0,26,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,63,11,11,0,0,88,9,0,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0,0,26,3,5,3,0,33,70,7,24,9,16,129,4353,305,615,252,89,5611,Parkes (A)
16260,5009,48,50,10,23,5132,336,22,33,3,4,396,350,14,25,3,3,391,999,44,44,4,4,1100,1937,81,72,9,14,2108,464,13,26,6,0,510,346,35,32,5,4,431,4016,216,135,27,27,4426,432,17,5,4,0,459,2233,113,91,19,23,2487,221,6,0,0,3,239,9747,485,403,66,119,10817,1060,75,54,19,65,1280,123281,7379,5276,972,1043,137952,Parramatta (C)
16350,1515,39,51,4,15,1618,88,15,18,3,3,126,53,8,3,3,0,71,282,25,18,0,3,325,369,22,26,5,3,421,185,12,18,0,0,211,86,9,18,0,3,107,2338,231,202,33,15,2828,148,11,17,0,0,189,495,53,70,13,6,634,104,3,0,0,0,110,2853,238,256,42,44,3435,661,35,50,15,36,795,58709,4466,4164,675,575,68594,Penrith (C)
11300,377,6,4,3,7,399,39,6,6,0,0,49,34,0,3,0,0,38,75,7,6,0,0,87,144,20,14,0,0,179,83,0,11,3,4,97,48,4,4,3,0,60,343,22,27,0,4,395,53,3,0,3,0,56,276,35,31,7,7,357,21,0,0,0,0,21,1236,65,58,11,15,1382,118,15,7,3,9,155,14010,1194,1058,213,151,16624,Burwood (A)
11350,23,0,5,0,0,32,3,0,0,3,3,8,11,4,0,0,0,15,48,9,30,0,0,90,10,0,0,0,0,11,22,4,3,0,0,31,0,0,0,0,0,4,450,94,227,26,13,813,86,18,52,0,3,155,5,0,9,3,0,18,7,0,3,0,0,11,313,67,123,18,22,539,211,35,62,10,15,333,8475,1257,2621,354,261,12964,Byron (A)
11400,16,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,12,0,4,0,0,23,8,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,63,6,11,5,0,91,3,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,5,41,0,0,3,0,49,58,3,17,5,6,90,2877,291,697,351,84,4298,Cabonne (A)
11450,222,11,6,3,0,239,30,7,6,0,0,48,11,4,6,0,0,17,103,16,6,0,0,121,30,4,4,0,0,39,58,4,4,3,0,68,15,6,3,0,0,22,769,104,94,11,8,995,49,11,4,0,0,59,165,17,26,0,3,215,20,3,0,0,0,23,890,124,113,19,12,1159,260,44,50,6,22,375,19655,2351,1857,311,277,24444,Camden (A)
11500,1091,19,38,8,10,1169,123,13,9,4,0,154,28,6,0,0,0,40,274,25,22,0,4,333,200,13,15,0,0,229,155,13,14,5,0,188,37,5,5,3,3,52,1512,112,93,21,18,1757,119,4,7,0,0,131,737,73,92,23,8,926,81,3,6,0,0,91,3269,272,387,70,55,4058,566,51,39,15,33,698,41749,2820,2563,466,510,48114,Campbelltown (C) (NSW)
11520,1035,5,15,0,3,1057,66,4,5,0,0,82,77,6,5,0,0,90,262,20,20,0,0,311,328,20,21,3,6,373,204,13,11,0,0,229,83,9,15,0,0,111,919,94,89,11,6,1125,118,12,16,3,0,147,411,22,40,8,8,490,44,5,0,0,0,45,2633,151,176,30,24,3012,234,24,23,7,23,307,28082,2616,2233,375,307,33608,Canada Bay (A)
11570,1788,33,37,8,22,1890,200,13,21,3,0,235,129,13,14,8,3,160,367,43,14,0,5,430,416,29,13,3,3,468,348,17,27,13,5,404,208,43,36,0,3,293,1612,110,102,15,16,1861,159,18,15,3,0,185,4579,460,579,133,82,5830,127,11,0,0,0,138,8032,732,1059,110,146,10086,897,92,104,26,98,1215,76750,8089,7452,1307,1173,94779,Canterbury-Bankstown (A)
11600,8,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,22,3,3,0,0,27,0,0,0,0,0,4,0,0,0,0,0,0,9,0,0,0,0,9,27,0,0,0,0,30,31,0,4,0,3,39,854,142,182,101,27,1302,Carrathool (A)
11650,639,37,19,9,9,717,66,8,18,0,0,97,43,9,10,0,3,69,452,68,101,10,5,642,103,17,10,0,0,127,234,24,32,14,4,311,16,3,9,0,0,32,4091,519,620,93,53,5380,299,32,36,7,5,380,134,17,36,4,3,198,110,8,4,0,0,133,1539,222,229,63,23,2073,1231,101,156,39,71,1601,86009,7309,8802,1503,1115,104732,Central Coast (C) (NSW)
11700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,6,17,3,9,0,0,33,442,41,96,65,16,658,Central Darling (A)
