lga_code16,seo_agff_bf_91,seo_agff_91_95,seo_agff_96_00,seo_agff_01_05,seo_agff_06_10,seo_agff_11_15,seo_agff_2016,seo_agff_ns,seo_agff_tot,seo_min_bf_91,seo_min_91_95,seo_min_96_00,seo_min_01_05,seo_min_06_10,seo_min_11_15,seo_min_2016,seo_min_ns,seo_min_tot,seo_mnf_bf_91,seo_mnf_91_95,seo_mnf_96_00,seo_mnf_01_05,seo_mnf_06_10,seo_mnf_11_15,seo_mnf_2016,seo_mnf_ns,seo_mnf_tot,seo_egwws_bf_91,seo_egwws_91_95,seo_egwws_96_00,seo_egwws_01_05,seo_egwws_06_10,seo_egwws_11_15,seo_egwws_2016,seo_egwws_ns,seo_egwws_tot,seo_const_bf_91,seo_const_91_95,seo_const_96_00,seo_const_01_05,seo_const_06_10,seo_const_11_15,seo_const_2016,seo_const_ns,seo_const_tot,seo_wst_bf_91,seo_wst_91_95,seo_wst_96_00,seo_wst_01_05,seo_wst_06_10,seo_wst_11_15,seo_wst_2016,seo_wst_ns,seo_wst_tot,seo_rett_bf_91,seo_rett_91_95,seo_rett_96_00,seo_rett_01_05,seo_rett_06_10,seo_rett_11_15,seo_rett_2016,seo_rett_ns,seo_rett_tot,seo_acfd_bf_91,seo_acfd_91_95,seo_acfd_96_00,seo_acfd_01_05,seo_acfd_06_10,seo_acfd_11_15,seo_acfd_2016,seo_acfd_ns,seo_acfd_tot,seo_tpw_bf_91,seo_tpw_91_95,seo_tpw_96_00,seo_tpw_01_05,seo_tpw_06_10,seo_tpw_11_15,seo_tpw_2016,seo_tpw_ns,seo_tpw_tot,seo_imt_bf_91,seo_imt_91_95,seo_imt_96_00,seo_imt_01_05,seo_imt_06_10,seo_imt_11_15,seo_imt_2016,seo_imt_ns,seo_imt_tot,seo_finins_bf_91,seo_finins_91_95,seo_finins_96_00,seo_finins_01_05,seo_finins_06_10,seo_finins_11_15,seo_finins_2016,seo_finins_ns,seo_finins_tot,seo_rhre_bf_91,seo_rhre_91_95,seo_rhre_96_00,seo_rhre_01_05,seo_rhre_06_10,seo_rhre_11_15,seo_rhre_2016,seo_rhre_ns,seo_rhre_tot,seo_prosts_bf_91,seo_prosts_91_95,seo_prosts_96_00,seo_prosts_01_05,seo_prosts_06_10,seo_prosts_11_15,seo_prosts_2016,seo_prosts_ns,seo_prosts_tot,seo_adsup_bf_91,seo_adsup_91_95,seo_adsup_96_00,seo_adsup_01_05,seo_adsup_06_10,seo_adsup_11_15,seo_adsup_2016,seo_adsup_ns,seo_adsup_tot,seo_pubas_bf_91,seo_pubas_91_95,seo_pubas_96_00,seo_pubas_01_05,seo_pubas_06_10,seo_pubas_11_15,seo_pubas_2016,seo_pubas_ns,seo_pubas_tot,seo_edtrn_bf_91,seo_edtrn_91_95,seo_edtrn_96_00,seo_edtrn_01_05,seo_edtrn_06_10,seo_edtrn_11_15,seo_edtrn_2016,seo_edtrn_ns,seo_edtrn_tot,seo_hc_sa_bf_91,seo_hc_sa_91_95,seo_hc_sa_96_00,seo_hc_sa_01_05,seo_hc_sa_06_10,seo_hc_sa_11_15,seo_hc_sa_2016,seo_hc_sa_ns,seo_hc_sa_tot,seo_artsr_bf_91,seo_artsr_91_95,seo_artsr_96_00,seo_artsr_01_05,seo_artsr_06_10,seo_artsr_11_15,seo_artsr_2016,seo_artsr_ns,seo_artsr_tot,seo_othsvs_bf_91,seo_othsvs_91_95,seo_othsvs_96_00,seo_othsvs_01_05,seo_othsvs_06_10,seo_othsvs_11_15,seo_othsvs_2016,seo_othsvs_ns,seo_othsvs_tot,seo_idns_bf_91,seo_idns_91_95,seo_idns_96_00,seo_idns_01_05,seo_idns_06_10,seo_idns_11_15,seo_idns_2016,seo_idns_ns,seo_idns_tot,seo_tot_bf_91,seo_tot_91_95,seo_tot_96_00,seo_tot_01_05,seo_tot_06_10,seo_tot_11_15,seo_tot_2016,seo_tot_ns,seo_tot_tot,solsewvw_agff_bf_91,solsewvw_agff_91_95,solsewvw_agff_96_00,solsewvw_agff_01_05,solsewvw_agff_06_10,solsewvw_agff_11_15,solsewvw_agff_2016,solsewvw_agff_ns,solsewvw_agff_tot,solsewvw_min_bf_91,solsewvw_min_91_95,lga_name16
10850,18,0,3,0,0,0,0,0,23,27,4,0,3,4,3,0,0,45,15,3,3,0,0,3,0,0,23,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,3,0,3,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,9,11,0,0,0,0,0,0,0,11,8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,8,114,15,10,8,13,10,0,7,173,3,0,0,0,0,0,0,3,6,3,0,Blayney (A)
10900,18,3,3,0,0,0,0,0,27,3,0,0,0,0,0,0,0,10,25,4,8,5,3,0,0,0,45,8,0,0,0,0,0,0,0,11,104,12,11,6,3,5,0,4,156,20,0,0,0,0,0,0,0,26,147,15,12,16,9,6,0,0,200,119,15,27,18,23,27,0,5,242,60,3,0,3,0,0,0,6,76,27,0,4,0,0,3,0,3,39,41,4,4,0,3,0,0,0,52,60,3,0,0,0,0,0,0,64,152,10,12,16,12,6,0,3,208,58,0,9,8,3,3,0,3,76,133,15,14,9,5,4,0,3,182,219,17,17,12,12,6,0,0,275,384,30,39,30,40,16,0,9,539,55,7,5,5,7,0,0,0,82,70,8,4,3,9,0,0,0,85,58,3,9,9,3,0,0,6,98,1743,143,185,147,122,88,3,54,2484,0,4,0,4,3,0,0,0,11,0,0,Blue Mountains (C)
10950,0,0,0,0,0,0,0,0,6,8,4,0,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,23,8,4,7,5,9,0,7,51,0,0,0,0,0,0,0,0,3,0,0,Bogan (A)
11100,3,0,3,0,0,5,0,0,12,3,0,0,0,0,0,0,0,8,283,32,55,60,57,83,12,15,604,21,3,5,0,6,7,0,0,42,163,44,64,65,89,154,9,17,596,143,26,31,40,40,64,6,13,348,180,45,69,35,66,80,10,8,478,72,18,28,32,40,47,8,10,267,1414,198,227,221,222,231,14,67,2591,37,6,8,10,3,12,0,3,85,41,8,9,9,12,12,0,4,94,60,5,18,10,21,31,3,0,148,92,28,23,31,37,45,8,3,268,106,18,24,29,34,69,3,10,286,90,3,14,9,20,13,0,3,148,50,3,9,11,4,4,0,0,75,86,11,17,16,31,21,0,0,184,25,4,0,0,0,4,0,0,40,75,10,20,16,20,17,4,0,166,122,21,40,28,41,42,6,23,326,3062,477,679,607,750,939,91,188,6784,7,0,0,0,3,11,0,0,20,0,0,Botany Bay (C)
11150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,7,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,20,3,3,0,6,3,0,0,36,0,0,0,0,0,4,0,0,6,0,0,Bourke (A)
11200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,Brewarrina (A)
14300,10,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,10,0,0,0,6,0,0,0,19,4,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,3,4,6,9,3,0,8,66,0,0,0,0,0,0,0,0,0,0,0,Junee (A)
14350,19,0,0,0,0,3,0,3,33,0,0,0,0,0,0,0,0,0,22,3,5,4,3,0,0,4,39,0,0,0,0,0,0,0,0,0,32,0,3,4,9,3,0,3,43,3,0,0,0,0,0,0,0,8,40,3,8,5,0,0,0,3,55,23,0,5,3,0,0,0,3,37,11,0,0,5,3,0,0,0,24,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,3,14,0,3,0,0,0,0,0,18,15,0,0,0,0,6,0,0,19,36,0,5,0,0,0,0,3,44,39,3,8,6,0,7,0,0,61,79,10,8,11,12,7,0,0,126,0,0,3,0,0,0,0,0,6,13,0,0,0,0,3,0,0,20,13,0,0,0,4,3,0,0,26,364,25,43,39,34,34,3,31,573,3,0,0,0,3,6,0,0,14,0,0,Kempsey (A)
11250,3,0,0,0,0,0,0,0,6,9,0,0,0,5,0,0,0,19,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,6,0,0,4,0,0,0,0,8,3,0,0,0,0,0,0,0,3,7,3,3,0,3,3,0,0,17,15,0,3,3,3,3,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,13,0,0,0,0,0,0,3,14,12,0,0,0,3,3,0,0,21,31,4,7,10,6,11,3,3,74,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,8,6,0,0,0,0,0,0,0,11,127,13,11,19,29,26,3,3,233,0,0,0,0,0,3,0,0,3,0,0,Broken Hill (C)
13910,47,0,3,3,0,11,3,5,70,3,0,0,0,0,0,0,0,3,4,0,4,0,0,0,0,0,9,3,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,11,6,0,3,0,0,0,0,0,9,17,3,0,5,3,0,0,0,30,8,0,0,3,0,3,0,0,20,5,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,3,4,0,3,0,0,0,0,0,7,3,0,0,0,0,0,0,0,3,8,0,0,0,0,3,0,0,8,3,0,0,0,0,0,0,0,8,5,3,0,6,0,0,0,0,18,17,0,0,3,0,0,0,0,27,23,0,3,6,0,3,0,0,37,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,13,3,0,0,0,0,0,0,0,4,186,8,19,23,13,21,3,8,294,10,0,3,4,10,14,0,0,33,0,0,Hilltops (A)
14000,35,0,3,4,3,3,0,3,56,0,0,0,0,0,0,0,0,3,132,19,28,33,35,25,0,3,271,15,0,5,0,3,0,0,0,26,198,35,43,41,47,54,0,21,444,131,23,25,18,15,12,0,3,225,262,40,87,81,77,43,0,14,598,78,14,49,54,38,33,3,8,281,100,6,11,6,15,6,0,3,154,49,10,18,10,6,11,3,0,109,80,13,18,12,9,7,0,0,146,40,10,15,6,11,0,0,0,82,321,35,84,54,35,29,6,9,568,82,12,14,13,15,17,0,0,143,92,6,12,14,12,8,0,4,140,438,66,84,85,79,41,8,8,809,545,104,109,117,114,61,0,12,1067,41,10,13,11,10,0,0,3,84,115,18,18,24,9,20,0,7,217,137,16,23,28,27,17,3,26,271,2881,436,669,610,551,387,20,124,5683,42,9,9,9,8,15,0,0,81,3,0,Hornsby (A)
14100,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,3,3,0,0,0,15,0,0,0,0,0,0,0,0,0,19,0,3,3,3,4,0,0,30,5,0,0,0,0,0,0,0,5,12,0,0,3,4,3,0,0,26,10,0,6,0,0,4,0,0,25,6,0,0,0,3,3,0,0,14,3,0,3,0,0,0,0,0,10,11,0,0,0,0,0,0,0,15,16,0,8,0,0,0,0,0,24,36,4,3,5,3,6,0,0,58,8,5,0,3,0,4,0,0,22,17,0,4,3,0,6,0,0,36,45,8,8,8,8,3,0,0,86,101,6,7,16,20,7,3,0,163,4,0,0,0,0,0,0,0,4,18,0,0,0,3,3,0,0,31,4,0,5,3,7,0,0,0,25,322,35,52,52,56,45,5,9,585,0,0,0,0,0,0,0,0,0,0,0,Hunters Hill (A)
14170,9,3,4,0,3,0,0,0,20,0,0,0,0,0,0,0,0,3,249,29,67,50,35,76,7,8,525,17,0,0,3,0,6,0,3,29,327,48,65,69,104,167,15,13,814,152,25,22,21,22,31,0,9,283,320,63,93,75,108,127,8,13,813,147,29,54,56,75,124,17,13,509,151,24,23,26,25,16,0,10,281,112,19,30,28,18,18,6,0,236,73,18,22,10,16,11,0,0,149,93,9,13,12,9,15,0,3,160,440,65,128,108,106,103,11,18,969,106,23,19,31,27,43,0,9,257,302,52,58,63,52,42,0,15,574,386,56,68,60,74,53,8,15,718,593,78,85,106,123,135,20,22,1154,100,13,28,13,25,27,0,0,219,167,27,34,32,44,71,3,12,388,207,26,53,47,47,62,7,34,483,3949,589,867,820,933,1128,105,196,8588,11,3,0,3,5,3,0,0,26,0,0,Inner West (A)
