LGA_MAIN11,M_1_299_DS_DS_Seprt_house,M_1_299_DS_DS_sd_row_tce_hs_t,M_1_299_DS_DS_Flat_unit_apart,M_1_299_DS_DS_Other_dwg,M_1_299_DS_ns,M_1_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_unit_apartm,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_unit_aptmnt,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_unit_aptmt,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_unit_aprtm,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_unt_aprt,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flt_unit_aprt,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_unt_aprt,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flt_unit_aprtm,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_unit_aprt,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_unit_aptm,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flt_unit_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_unit_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot,LGA_NAME11
24850,179,4,0,0,0,183,126,8,0,0,0,134,112,0,4,3,0,119,243,0,3,0,0,246,358,7,8,0,0,373,926,17,16,3,0,962,998,28,16,3,0,1045,1067,27,7,6,0,1107,407,5,0,0,0,412,254,0,0,0,0,254,112,0,3,3,0,118,325,12,0,3,0,340,5107,108,57,21,0,5293,Mitchell (S)
24900,239,3,3,3,0,248,141,5,3,0,0,149,121,0,3,0,0,124,261,4,8,0,0,273,367,5,13,0,0,385,751,10,10,3,0,774,521,4,0,0,0,525,400,3,0,3,0,406,120,0,0,0,0,120,87,0,3,3,0,93,72,0,0,0,0,72,245,6,0,0,0,251,3325,40,43,12,0,3420,Moira (S)
24970,857,88,45,0,0,990,322,21,22,0,0,365,318,24,20,0,0,362,526,43,33,0,0,602,620,85,46,0,0,751,1699,184,125,3,0,2011,1702,225,173,3,3,2106,2670,432,332,3,3,3440,1639,262,165,3,3,2072,1939,271,124,3,3,2340,1232,132,39,0,0,1403,832,82,57,3,0,974,14356,1849,1181,18,12,17416,Monash (C)
25060,393,49,39,8,0,489,207,25,28,0,0,260,164,16,24,0,0,204,278,47,33,0,3,361,407,65,54,0,0,526,983,163,196,0,0,1342,978,189,280,4,0,1451,1595,318,350,0,3,2266,989,234,168,0,0,1391,1179,236,109,0,3,1527,1069,131,50,0,0,1250,597,95,60,0,0,752,8839,1568,1391,12,9,11819,Moonee Valley (C)
25150,164,0,3,0,0,167,138,0,0,0,0,138,122,4,0,0,0,126,188,3,10,0,0,201,314,0,6,0,0,320,850,6,7,0,0,863,908,8,7,0,0,923,921,0,7,0,0,928,329,0,3,4,0,336,209,0,0,0,0,209,105,0,0,0,0,105,258,0,0,0,0,258,4506,21,43,4,0,4574,Moorabool (S)
25250,446,93,47,5,0,591,242,48,30,0,0,320,258,42,21,0,0,321,427,56,60,0,0,543,576,95,84,3,0,758,1470,341,284,8,0,2103,1533,395,310,4,0,2242,2380,690,468,16,3,3557,1361,390,269,3,5,2028,1354,358,188,3,0,1903,644,150,56,4,0,854,660,138,68,4,0,870,11351,2796,1885,50,8,16090,Moreland (C)
25340,887,44,18,0,0,949,475,20,11,3,0,509,455,21,21,5,0,502,813,42,18,3,3,879,1023,45,25,3,0,1096,2721,128,70,5,0,2924,2987,154,66,5,0,3212,3808,126,57,4,0,3995,1806,52,22,0,0,1880,1530,56,15,0,0,1601,950,25,4,3,0,982,1180,52,21,3,0,1256,18635,765,348,34,3,19785,Mornington Peninsula (S)
25430,153,0,4,0,0,157,95,0,0,0,0,95,114,0,3,0,0,117,195,0,0,0,0,195,233,3,3,0,0,239,546,0,0,0,3,549,391,0,3,3,0,397,261,3,0,0,0,264,82,0,0,0,0,82,62,4,0,0,0,66,31,0,3,3,0,37,112,4,0,3,0,119,2275,14,16,9,3,2317,Mount Alexander (S)
25490,145,3,3,0,0,151,87,3,0,0,0,90,75,0,0,0,0,75,119,0,0,0,0,119,190,3,0,0,0,193,358,0,0,5,0,363,257,0,0,0,0,257,258,3,0,4,0,265,88,3,0,0,0,91,74,3,0,0,0,77,83,0,0,0,0,83,123,3,0,0,0,126,1857,21,3,9,0,1890,Moyne (S)
25620,104,0,0,0,0,104,45,0,0,3,0,48,52,0,0,3,0,55,101,0,0,0,0,101,142,0,0,3,0,145,364,0,0,5,0,369,317,0,0,3,0,320,286,0,0,0,0,286,125,0,0,0,0,125,74,0,0,0,0,74,28,0,0,0,3,31,98,0,0,3,0,101,1736,0,0,20,3,1759,Murrindindi (S)
25710,406,3,4,0,0,413,237,0,0,0,0,237,168,0,0,0,0,168,318,5,4,0,0,327,446,3,9,0,0,458,1175,15,10,0,0,1200,1278,27,22,0,0,1327,1941,32,32,3,0,2008,1225,27,9,4,0,1265,1091,21,13,0,0,1125,624,4,0,0,0,628,527,6,0,0,0,533,9436,143,103,7,0,9689,Nillumbik (S)
25810,101,0,0,0,0,101,90,0,0,3,0,93,109,0,0,0,0,109,202,0,0,3,0,205,231,5,0,0,0,236,305,0,0,3,0,308,129,0,0,3,0,132,79,0,0,0,0,79,33,0,0,0,0,33,17,0,0,3,0,20,18,0,0,3,0,21,82,0,3,0,0,85,1396,5,3,18,0,1422,Northern Grampians (S)
25900,130,129,210,0,0,469,36,32,72,0,0,140,22,24,86,0,0,132,56,56,136,0,0,248,55,65,196,0,0,316,174,197,576,0,0,947,146,211,734,0,0,1091,269,369,1257,9,0,1904,183,223,752,7,0,1165,336,456,720,13,3,1528,600,717,473,0,0,1790,124,134,207,5,0,470,2131,2613,5419,34,3,10200,Port Phillip (C)
25990,78,0,0,0,0,78,53,0,0,0,0,53,60,0,0,0,0,60,100,0,0,0,0,100,85,0,0,4,0,89,150,0,0,0,0,150,90,0,0,0,0,90,61,0,0,0,0,61,12,0,0,0,0,12,11,0,0,0,0,11,17,0,0,0,0,17,51,0,0,0,0,51,768,0,0,4,0,772,Pyrenees (S)
26080,12,0,0,0,0,12,9,0,0,0,0,9,6,0,0,0,0,6,13,0,0,0,0,13,19,0,0,0,0,19,39,0,0,0,0,39,22,0,4,0,0,26,31,4,0,0,0,35,22,0,0,0,0,22,21,0,0,0,0,21,11,0,0,0,0,11,17,0,0,0,0,17,222,4,4,0,0,230,Queenscliffe (B)
26170,196,0,6,0,0,202,170,0,4,3,0,177,132,4,0,0,0,136,258,0,0,7,0,265,323,5,0,0,0,328,699,5,4,5,0,713,545,0,0,3,0,548,503,0,0,0,0,503,207,0,0,0,0,207,110,0,0,0,0,110,100,0,0,3,0,103,238,0,0,0,0,238,3481,14,14,21,0,3530,South Gippsland (S)
26260,153,0,3,0,0,156,94,0,0,3,0,97,89,0,4,0,0,93,182,0,3,5,0,190,233,0,0,0,0,233,416,0,3,0,0,419,224,4,3,0,0,231,154,0,0,0,0,154,60,0,0,0,0,60,30,0,0,0,0,30,41,4,0,0,0,45,101,0,0,0,0,101,1777,8,16,8,0,1809,Southern Grampians (S)
26350,307,82,107,4,0,500,62,34,40,0,0,136,41,34,40,0,0,115,89,36,81,0,0,206,110,43,107,0,0,260,328,157,307,0,0,792,279,144,398,0,0,821,534,218,626,3,0,1381,389,170,372,0,0,931,635,291,324,3,3,1256,1520,418,206,4,0,2148,353,95,122,3,0,573,4647,1722,2730,17,3,9119,Stonnington (C)
26430,59,0,0,7,0,66,63,0,3,3,0,69,66,0,0,3,0,69,87,0,0,7,0,94,126,0,0,3,0,129,234,0,0,10,0,244,151,0,3,5,0,159,101,4,0,3,0,108,33,0,0,0,0,33,31,0,0,0,0,31,25,0,0,5,0,30,64,0,0,3,0,67,1040,4,6,49,0,1099,Strathbogie (S)
26490,144,3,3,0,0,150,91,5,0,0,0,96,85,0,0,0,0,85,143,3,4,0,0,150,167,3,0,3,0,173,464,15,8,0,0,487,441,10,6,0,4,461,617,8,11,3,0,639,444,9,4,0,0,457,317,10,4,0,3,334,169,5,5,0,0,179,167,3,3,0,0,173,3249,74,48,6,7,3384,Surf Coast (S)
26610,136,3,3,0,0,142,84,0,3,3,0,90,88,0,3,0,0,91,206,3,3,4,0,216,274,0,4,0,0,278,520,5,15,0,0,540,338,4,8,3,0,353,221,9,0,0,0,230,65,0,0,0,0,65,46,0,0,0,0,46,39,0,0,0,0,39,114,0,3,3,0,120,2131,24,42,13,0,2210,Swan Hill (RC)
26670,51,0,0,0,0,51,37,0,0,0,0,37,40,0,0,0,0,40,83,5,0,0,0,88,74,0,0,0,0,74,127,0,0,0,0,127,98,0,0,0,0,98,70,0,0,4,0,74,28,0,0,0,0,28,20,0,0,0,0,20,13,0,0,0,0,13,38,0,0,0,0,38,679,5,0,4,0,688,Towong (S)
26700,143,3,3,0,0,149,122,3,3,3,0,131,137,0,3,0,0,140,290,5,5,0,0,300,353,5,4,0,0,362,817,11,20,8,0,856,662,10,3,3,0,678,469,0,0,0,0,469,142,0,0,0,0,142,96,0,3,3,0,102,62,0,0,0,0,62,212,0,5,0,0,217,3505,37,49,17,0,3608,Wangaratta (RC)
26730,131,3,5,0,0,139,89,3,4,0,0,96,95,4,6,0,0,105,197,0,13,5,0,215,263,9,14,3,0,289,684,27,36,0,0,747,759,25,19,3,0,806,666,8,16,4,0,694,206,3,0,0,0,209,112,3,3,0,0,118,77,5,0,0,0,82,167,3,4,3,0,177,3446,93,120,18,0,3677,Warrnambool (C)
