lga_code16,p_aged_15_yr_over_m,p_aged_15_yr_over_f,p_aged_15_yr_over_p,lab_for_st_empl_worked_ft_m,lab_for_st_empl_worked_ft_f,lab_for_st_empl_worked_ft_p,lab_for_st_empl_worked_pt_m,lab_for_st_empl_worked_pt_f,lab_for_st_empl_worked_pt_p,lab_for_st_empl_awy_frm_wrk_m,lab_for_st_empl_awy_frm_wrk_f,lab_for_st_empl_awy_frm_wrk_p,lab_for_st_unemp_lkg_fr_wrk_m,lab_for_st_unemp_lkg_fr_wrk_f,lab_for_st_unemp_lkg_fr_wrk_p,lab_for_st_tot_labour_force_m,lab_for_st_tot_labour_force_f,lab_for_st_tot_labour_force_p,lab_for_st_n_the_lbour_frce_m,lab_for_st_n_the_lbour_frce_f,lab_for_st_n_the_lbour_frce_p,percent_unemployment_m,percent_unemployment_f,percent_unemployment_p,pcent_lab_force_particip_m,pcent_lab_force_particip_f,pcent_lab_force_particip_p,pcent_employmnt_to_pop_m,pcent_employmnt_to_pop_f,pcent_employmnt_to_pop_p,non_sc_quals_postgrad_deg_m,non_sc_quals_postgrad_deg_f,non_sc_quals_postgrad_deg_p,non_sc_qua_gra_dip_gra_cer_m,non_sc_qua_gra_dip_gra_cer_f,non_sc_qua_gra_dip_gra_cer_p,non_sc_quals_bachelor_deg_m,non_sc_quals_bachelor_deg_f,non_sc_quals_bachelor_deg_p,non_sc_quals_adv_dip_dip_m,non_sc_quals_adv_dip_dip_f,non_sc_quals_adv_dip_dip_p,non_sc_quals_cert3a4_level_m,non_sc_quals_cert3a4_level_f,non_sc_quals_cert3a4_level_p,non_sc_quals_cert1a2_level_m,non_sc_quals_cert1a2_level_f,non_sc_quals_cert1a2_level_p,non_sc_quals_certnfd_level_m,non_sc_quals_certnfd_level_f,non_sc_quals_certnfd_level_p,non_sc_quals_certtot_level_m,non_sc_quals_certtot_level_f,non_sc_quals_certtot_level_p,mig_lvd_same_add_1_yr_ago_m,mig_lvd_same_add_1_yr_ago_f,mig_lvd_same_add_1_yr_ago_p,mig_lvd_diff_add_1_yr_ago_m,mig_lvd_diff_add_1_yr_ago_f,mig_lvd_diff_add_1_yr_ago_p,mig_lvd_same_add_5_yr_ago_m,mig_lvd_same_add_5_yr_ago_f,mig_lvd_same_add_5_yr_ago_p,mig_lvd_diff_add_5_yr_ago_m,mig_lvd_diff_add_5_yr_ago_f,mig_lvd_diff_add_5_yr_ago_p,lga_name16
25990,3151,2786,5935,1009,449,1462,290,669,961,87,94,181,88,78,164,1480,1297,2775,1449,1256,2703,5.9,6.0,5.9,47.0,46.6,46.8,44.0,43.5,43.9,25,47,65,27,62,87,138,279,419,163,301,463,709,300,1010,30,44,77,33,78,112,773,423,1197,2700,2673,5377,297,341,638,1969,1966,3930,878,912,1792,Pyrenees (S)
26080,1048,1300,2343,298,189,489,166,287,454,26,33,61,17,22,40,506,534,1040,461,677,1142,3.4,4.1,3.8,48.3,41.1,44.4,46.8,39.2,42.9,74,76,149,33,68,105,193,300,491,125,179,302,170,59,236,3,11,12,23,29,50,201,98,295,967,1165,2132,120,148,269,714,868,1582,371,435,809,Queenscliffe (B)
26170,10962,11691,22653,4439,2103,6542,1441,3187,4630,367,408,773,352,282,630,6603,5980,12575,3580,4853,8428,5.3,4.7,5.0,60.2,51.2,55.5,57.0,48.7,52.7,175,231,402,129,315,443,753,1312,2061,684,1195,1878,3228,1431,4659,99,184,278,176,273,444,3497,1884,5385,10708,11105,21811,1522,1724,3248,7641,7779,15421,3989,4500,8488,South Gippsland (S)
26260,6104,6631,12730,2748,1334,4077,770,1861,2630,206,226,429,185,144,326,3908,3560,7469,1839,2668,4504,4.7,4.0,4.4,64.0,53.7,58.7,61.0,51.6,56.1,118,108,225,66,156,225,432,850,1281,409,636,1043,1645,789,2431,71,138,206,95,144,240,1808,1069,2871,6114,6384,12500,859,945,1804,4558,4728,9286,2081,2302,4380,Southern Grampians (S)
26350,42335,47513,89849,21638,16191,37829,5895,10201,16096,919,1252,2174,1533,1546,3083,29986,29189,59178,9196,14872,24064,5.1,5.3,5.2,70.8,61.4,65.9,67.2,58.2,62.4,5217,5005,10218,1218,2067,3288,13476,15251,28730,3456,4754,8208,3473,1890,5362,139,266,402,439,766,1205,4046,2922,6970,33741,36919,70659,10021,11487,21507,19457,21761,41217,23546,26075,49623,Stonnington (C)
26430,4142,4333,8473,1590,857,2446,496,1051,1550,151,134,286,100,104,205,2333,2150,4486,1472,1827,3296,4.3,4.8,4.6,56.3,49.6,52.9,54.0,47.1,50.5,73,72,143,42,114,153,272,486,756,269,480,747,1115,491,1603,21,65,87,48,108,152,1184,660,1840,3914,3986,7894,521,604,1130,2805,2828,5632,1460,1592,3053,Strathbogie (S)
26490,10980,11609,22589,5186,2481,7672,1621,3768,5387,332,430,768,287,270,560,7430,6954,14379,2946,4020,6971,3.9,3.9,3.9,67.7,59.9,63.7,65.0,57.5,61.2,487,549,1030,254,486,743,1862,2485,4347,1107,1512,2614,2773,1089,3859,66,140,204,155,250,408,2989,1475,4467,10831,11166,21997,2092,2137,4227,7121,7262,14382,5213,5541,10753,Surf Coast (S)
26610,8312,8267,16580,3559,1722,5284,807,1891,2700,299,279,577,258,204,458,4923,4095,9020,2265,3177,5446,5.2,5.0,5.1,59.2,49.5,54.4,56.1,47.1,51.6,48,83,135,62,138,198,418,794,1212,449,655,1102,1845,869,2714,61,124,181,106,161,259,2007,1151,3159,7677,7568,15244,1139,1160,2297,5379,5296,10674,2921,2983,5897,Swan Hill (RC)
26670,2419,2358,4779,1013,489,1501,276,607,887,108,91,199,82,49,131,1480,1239,2719,781,949,1725,5.5,4.0,4.8,61.2,52.5,56.9,57.8,50.3,54.1,33,37,65,28,56,86,134,262,400,154,278,428,733,309,1040,21,56,80,40,63,101,793,423,1220,2341,2254,4595,306,294,608,1750,1672,3425,784,799,1582,Towong (S)
26700,10790,11926,22718,4698,2435,7136,1355,3288,4643,336,406,740,315,293,612,6702,6430,13127,3310,4531,7839,4.7,4.6,4.7,62.1,53.9,57.8,59.2,51.4,55.1,185,250,435,175,344,515,833,1484,2317,804,1315,2117,2979,1446,4419,95,169,269,157,262,417,3225,1877,5103,10652,11378,22023,1533,1678,3209,7639,8072,15710,4023,4472,8498,Wangaratta (RC)
26730,12740,14233,26969,5695,2972,8672,1808,4143,5953,409,491,901,437,411,848,8348,8021,16370,3503,5169,8673,5.2,5.1,5.2,65.5,56.4,60.7,62.1,53.4,57.6,257,314,578,189,398,592,1196,1907,3101,815,1390,2205,3237,1722,4961,106,236,344,155,283,440,3497,2245,5746,11953,12960,24912,2310,2511,4818,7988,8628,16614,5682,6295,11978,Warrnambool (C)
26810,17278,17050,34331,7027,3414,10440,1775,4438,6211,561,575,1143,680,488,1172,10043,8913,18958,5983,6911,12896,6.8,5.5,6.2,58.1,52.3,55.2,54.2,49.4,51.8,217,287,505,180,423,607,1040,1878,2919,1049,1631,2674,4964,2132,7098,132,287,419,212,385,600,5312,2809,8118,15847,16124,31969,2527,2653,5177,11094,11166,22257,6436,6773,13208,Wellington (S)
26890,1539,1544,3082,772,352,1118,160,418,580,54,56,109,42,24,68,1023,853,1876,432,593,1027,4.1,2.8,3.6,66.5,55.2,60.9,64.1,53.5,58.6,6,28,32,13,31,44,67,188,252,91,161,253,351,187,533,16,26,50,17,35,59,392,253,642,1589,1556,3152,162,174,336,1244,1179,2423,424,475,905,West Wimmera (S)
26980,63249,69939,133186,27511,16132,43651,9487,17941,27428,1346,1843,3195,2997,2611,5612,41352,38531,79882,19529,28540,48073,7.2,6.8,7.0,65.4,55.1,60.0,60.6,51.4,55.8,6145,5788,11935,1688,2883,4574,14416,16962,31379,6119,7446,13565,8231,3772,12000,310,477,785,760,1199,1960,9302,5441,14751,59874,65228,125100,12185,12581,24763,40872,45063,85938,28788,30363,59147,Whitehorse (C)
27070,75298,79136,154436,35941,18808,54744,9421,19191,28611,2208,2675,4883,3587,3306,6899,51156,43984,95136,20542,31221,51767,7.0,7.5,7.3,67.9,55.6,61.6,63.2,51.4,57.1,3134,2952,6084,744,1540,2278,8364,11071,19427,6252,8394,14644,15722,8073,23789,545,989,1533,1027,1632,2654,17292,10687,27981,75478,77511,152991,13899,14103,28004,47567,48918,96488,36430,37598,74026,Whittlesea (C)
27170,14926,15788,30720,7468,3788,11254,1691,4256,5948,396,538,941,581,590,1171,10143,9172,19310,3826,5686,9511,5.7,6.4,6.1,68.0,58.1,62.9,64.0,54.4,59.1,270,330,601,203,396,597,1052,1827,2876,1210,1729,2947,4241,2434,6673,165,329,492,228,402,631,4630,3169,7800,13938,14633,28576,3291,3366,6664,8559,9039,17600,7782,8069,15853,Wodonga (C)
27260,80185,81681,161871,42107,22102,64207,9849,18822,28663,2349,2601,4946,4165,4673,8837,58467,48191,106658,17479,29216,46695,7.1,9.7,8.3,72.9,59.0,65.9,67.7,53.3,60.4,6228,5400,11629,1128,1716,2849,11225,14043,25273,7301,8961,16264,15231,8363,23594,586,921,1506,1108,1569,2668,16920,10845,27764,80386,81237,161622,17237,17566,34800,45769,46306,92075,44659,45576,90235,Wyndham (C)
27350,37201,39924,77123,19228,15767,34994,4985,8237,13225,890,1228,2118,1479,1358,2838,26588,26587,53173,7007,9567,16575,5.6,5.1,5.3,71.5,66.6,68.9,67.5,63.2,65.3,4468,5042,9505,1237,2158,3391,11251,12527,23782,2713,3218,5935,3243,1829,5071,169,242,416,368,491,858,3778,2559,6341,27529,29414,56950,9131,9862,18989,15019,16338,31357,20916,22236,43156,Yarra (C)
27450,57576,60420,117992,29371,14192,43568,7396,18555,25950,1746,2097,3848,1815,1754,3569,40334,36603,76932,14655,21105,35767,4.5,4.8,4.6,70.1,60.6,65.2,66.9,57.7,62.2,1486,1776,3263,931,1902,2830,5640,8538,14175,4862,7686,12545,17468,7523,24993,426,869,1297,833,1434,2269,18731,9832,28563,59534,60879,120418,7249,7793,15041,42811,43365,86173,21257,22843,44101,Yarra Ranges (S)
27630,2693,2709,5408,1051,453,1507,261,650,909,78,87,164,82,46,129,1470,1234,2702,1021,1243,2260,5.6,3.7,4.8,54.6,45.6,50.0,51.6,43.9,47.7,19,24,40,18,47,64,118,235,355,141,256,396,646,328,969,24,51,78,41,56,97,707,437,1143,2674,2602,5277,281,292,577,2061,1943,4006,767,847,1614,Yarriambiack (S)
29399,3598,3106,6705,1757,1027,2777,436,711,1144,195,171,372,46,43,92,2437,1951,4388,393,450,842,1.9,2.2,2.1,67.7,62.8,65.4,66.4,61.5,64.0,237,205,443,91,125,213,685,748,1438,292,291,580,644,263,908,23,36,60,51,58,115,719,361,1075,2857,2379,5241,586,594,1177,2057,1709,3761,1283,1172,2454,Unincorporated Vic
30250,475,466,941,128,71,194,32,36,67,6,6,18,76,60,140,243,177,414,215,279,492,31.3,33.9,33.8,51.2,38.0,44.0,34.9,24.2,29.6,0,9,5,5,3,11,20,18,38,17,17,34,79,27,111,6,12,22,5,4,10,95,44,139,575,572,1143,51,37,88,487,524,1010,82,49,135,Aurukun (S)
30300,1863,1718,3577,960,457,1421,168,445,611,70,56,124,59,36,96,1251,997,2247,432,562,988,4.7,3.6,4.3,67.1,58.0,62.8,64.3,55.8,60.3,19,20,40,11,29,43,103,223,325,111,178,282,370,150,519,11,29,41,27,22,50,407,202,615,1797,1644,3445,276,273,547,1244,1115,2357,726,690,1412,Balonne (S)
30370,6774,5572,12342,3871,1613,5484,465,1341,1812,282,193,481,180,133,308,4800,3286,8085,1168,1813,2981,3.8,4.0,3.8,70.9,59.0,65.5,68.2,56.5,63.0,64,71,138,41,84,119,330,593,925,260,392,656,1836,628,2462,65,89,158,116,101,216,2015,826,2844,6287,5456,11750,1048,933,1973,4290,3595,7888,2638,2415,5054,Banana (S)
30410,1335,1321,2653,665,392,1057,71,251,319,47,48,96,15,19,30,790,710,1504,421,511,937,1.9,2.7,2.0,59.2,53.7,56.7,58.7,52.3,55.5,19,16,32,8,14,26,76,159,232,62,90,155,303,157,462,16,14,28,18,21,43,339,195,535,1287,1282,2572,179,193,369,986,967,1950,398,436,836,Barcaldine (R)
30450,187,134,322,100,61,160,5,19,27,15,7,16,0,0,0,120,84,206,55,44,94,0.0,0.0,0.0,64.2,62.7,64.0,64.2,64.9,63.0,0,0,5,0,3,8,8,16,27,12,14,22,49,15,64,0,4,3,3,3,5,55,18,75,165,119,280,31,28,55,117,78,194,70,66,133,Barcoo (S)
30760,839,851,1689,377,222,605,61,167,226,46,48,100,24,12,37,510,454,964,283,343,632,4.7,2.6,3.8,60.8,53.3,57.1,57.7,51.4,55.1,4,3,6,7,11,14,21,85,107,43,73,118,166,95,262,3,10,14,17,16,38,188,123,310,802,800,1602,108,111,224,585,567,1153,294,304,599,Blackall-Tambo (R)
34710,1869,1999,3864,812,632,1446,141,311,452,114,133,248,50,34,85,1118,1118,2230,597,732,1329,4.5,3.0,3.8,59.8,55.9,57.7,57.1,53.8,55.5,31,38,72,17,57,71,136,279,414,141,190,330,448,197,642,30,45,74,31,55,84,513,288,807,1705,1758,3463,316,364,679,1209,1213,2429,721,822,1540,Longreach (R)
34770,43399,45105,88509,21362,11384,32747,3978,11106,15086,1557,1470,3030,2625,2339,4958,29525,26296,55817,10800,15941,26739,8.9,8.9,8.9,68.0,58.3,63.1,62.0,53.1,57.5,547,632,1172,313,731,1047,2464,5028,7496,2243,3544,5783,14812,5998,20811,356,795,1150,542,978,1521,15706,7777,23484,42081,42484,84566,8059,8967,17026,27364,26875,54243,20200,22142,42346,Mackay (R)
34800,896,439,1332,597,200,799,27,50,70,44,25,70,12,7,19,682,280,962,101,127,227,1.8,2.5,2.0,76.1,63.8,72.2,74.6,62.6,70.5,15,12,28,4,8,18,64,52,115,41,32,64,277,51,328,4,13,19,7,14,17,297,72,368,707,388,1093,121,71,198,493,256,748,316,186,501,McKinlay (S)
34830,135,115,251,36,34,76,9,3,13,9,4,7,22,9,34,73,56,126,58,57,111,30.1,16.1,27.0,54.1,48.7,50.2,40.0,35.7,38.2,0,0,3,0,5,5,3,5,7,3,6,13,42,17,57,10,12,16,0,0,0,49,27,80,127,131,258,31,22,51,97,88,187,50,47,95,Mapoon (S)
34860,5996,5156,11156,3081,1778,4854,463,1048,1505,218,194,404,143,94,245,3902,3108,7012,1138,1547,2690,3.7,3.0,3.5,65.1,60.3,62.9,62.7,58.6,60.6,53,84,130,39,84,120,329,666,994,376,496,876,1425,617,2043,71,86,155,90,106,190,1581,813,2394,5201,4647,9850,991,1025,2018,3357,2930,6280,2455,2417,4869,Maranoa (R)
34880,9524,8599,18125,3050,1871,4919,911,1836,2751,288,279,567,425,318,745,4676,4308,8982,3839,3383,7225,9.1,7.4,8.3,49.1,50.1,49.6,44.6,46.4,45.4,123,146,274,50,121,176,529,912,1441,458,759,1217,2178,938,3114,92,132,229,126,196,327,2400,1272,3671,7932,7796,15728,1338,1427,2764,5583,5436,11021,3275,3350,6620,Mareeba (S)
35010,158976,172245,331218,73195,42635,115838,18570,42553,61125,4553,5245,9802,8220,7663,15878,104536,98104,202639,46048,64471,110519,7.9,7.8,7.8,65.8,57.0,61.2,60.6,52.5,56.4,3499,3660,7154,1827,3508,5334,12830,20944,33775,12825,18992,31820,45208,23724,68935,1725,2801,4526,2658,4217,6874,49590,30744,80338,154105,162040,316149,32611,35392,67997,96406,100206,196611,81691,89249,170941,Moreton Bay (R)
35250,387,413,795,135,113,249,25,46,72,12,9,22,63,36,93,232,205,439,113,157,271,27.2,17.6,21.2,59.9,49.6,55.2,44.4,40.7,43.1,7,0,7,4,5,13,20,34,58,13,9,22,69,24,90,7,9,12,4,10,13,79,39,110,467,472,942,75,70,150,408,406,819,99,102,195,Mornington (S)
35300,7857,7161,15018,4230,2536,6769,474,1290,1761,319,279,602,323,268,588,5347,4377,9717,1286,1818,3105,6.0,6.1,6.1,68.1,61.1,64.7,63.9,57.3,60.8,127,160,279,43,145,191,493,903,1396,323,496,811,2465,866,3332,81,109,189,84,122,205,2632,1098,3730,6698,6132,12824,1553,1704,3256,4042,3619,7664,3705,3683,7389,Mount Isa (C)
35600,1842,1883,3725,860,567,1431,144,366,509,69,81,148,62,40,106,1140,1052,2192,533,669,1206,5.4,3.8,4.8,61.9,55.9,58.8,58.3,53.9,56.1,24,29,50,6,35,44,80,224,308,109,137,249,395,193,584,14,35,47,15,33,49,425,256,687,1774,1728,3497,292,352,647,1227,1167,2396,712,780,1498,Murweh (S)
35670,360,325,682,82,31,114,23,21,37,8,8,15,39,27,64,153,82,231,196,246,440,25.5,32.9,27.7,42.5,25.2,33.9,31.4,18.5,24.3,0,0,0,0,3,3,4,5,5,3,10,17,60,28,84,8,12,18,3,3,3,70,37,106,481,419,901,11,26,36,382,334,709,69,73,142,Napranum (S)
35740,22643,25117,47758,7402,4544,11953,3365,6289,9652,739,772,1507,890,741,1627,12397,12347,24744,8619,10938,19553,7.2,6.0,6.6,54.7,49.2,51.8,50.8,46.2,48.4,794,767,1563,336,661,1001,2733,3701,6431,2041,3258,5294,6051,2699,8754,159,345,507,454,747,1196,6669,3790,10459,20412,21987,42398,4242,4770,9010,12983,13846,26826,11098,12358,23451,Noosa (S)
35760,4647,4381,9024,1863,986,2843,402,912,1317,154,147,304,141,106,250,2562,2145,4705,1460,1703,3161,5.5,4.9,5.3,55.1,49.0,52.1,52.1,46.7,49.5,42,30,71,16,58,74,193,352,549,191,325,517,921,471,1391,47,86,140,75,100,173,1048,659,1702,4091,3911,8002,695,669,1367,2909,2808,5715,1648,1588,3236,North Burnett (R)
35780,1047,1122,2164,308,299,604,82,129,210,87,81,166,117,84,202,590,589,1186,366,458,821,19.8,14.3,17.0,56.4,52.5,54.8,45.6,45.4,45.3,14,13,25,11,17,28,53,98,148,47,120,171,263,173,442,36,51,88,15,18,30,316,242,560,1312,1395,2706,139,145,283,984,1046,2028,305,332,637,Northern Peninsula Area (R)
35790,865,856,1724,160,149,313,101,102,207,6,14,20,118,88,203,393,355,748,454,484,943,30.0,24.8,27.1,45.4,41.5,43.4,30.9,31.0,31.3,7,8,15,4,10,16,30,43,69,25,25,47,106,79,188,44,40,81,3,3,11,155,127,278,1090,1091,2175,115,108,228,940,881,1819,158,178,334,Palm Island (S)
35800,804,755,1555,330,214,542,58,133,192,27,30,53,30,16,46,442,393,834,302,317,616,6.8,4.1,5.5,55.0,52.1,53.6,51.6,49.9,50.6,15,24,37,5,18,23,33,62,91,47,70,114,194,84,275,5,15,19,10,14,28,209,115,324,756,724,1482,101,112,211,542,493,1038,270,292,555,Paroo (S)
36070,312,286,595,93,57,150,42,47,88,3,0,5,29,23,50,174,130,296,130,153,287,16.7,17.7,16.9,55.8,45.5,49.7,44.2,36.4,40.8,0,3,6,3,7,10,3,8,15,16,10,21,64,30,92,5,8,10,3,4,9,75,32,112,365,336,698,22,34,58,301,280,584,55,62,115,Pormpuraaw (S)
36150,382,339,723,225,135,359,22,54,85,21,16,36,17,5,16,283,218,498,82,101,187,6.0,2.3,3.2,74.1,64.3,68.9,70.2,60.5,66.4,0,5,6,0,5,5,22,50,76,18,27,44,91,50,144,4,4,5,3,5,13,103,59,160,384,322,705,60,57,114,248,192,440,173,174,346,Quilpie (S)
36250,56252,60923,117176,27001,16180,43182,6875,15886,22759,1482,1785,3265,2487,2073,4562,37847,35920,73767,16165,22362,38528,6.6,5.8,6.2,67.3,59.0,63.0,62.9,55.6,59.1,1510,1546,3056,698,1298,1995,5341,7902,13243,4928,7184,12112,17057,7941,25000,502,960,1464,943,1629,2573,18501,10530,29034,54971,57645,112620,10495,11204,21696,35880,37435,73317,27397,29525,56922,Redland (C)
36300,424,352,781,228,131,361,27,60,84,25,16,37,6,9,15,288,211,495,105,120,230,2.1,4.3,3.0,67.9,59.9,63.4,66.0,58.8,61.7,7,3,6,3,5,10,8,41,53,27,35,58,106,38,142,3,12,16,10,5,17,119,60,181,376,319,700,83,78,156,248,208,453,191,169,362,Richmond (S)
36370,30405,32557,62959,13207,8215,21419,3174,7365,10533,885,1025,1910,2053,1420,3469,19313,18018,37334,8667,12070,20734,10.6,7.9,9.3,63.5,55.3,59.3,56.8,51.0,53.8,616,536,1156,305,582,882,2018,3591,5608,1473,2382,3858,8190,3987,12174,398,620,1017,438,571,1010,9020,5181,14195,29157,30197,59355,5813,6564,12377,18613,18872,37482,14503,16082,30591,Rockhampton (R)
36510,16229,16806,33037,6686,3555,10246,1812,4144,5961,506,523,1029,569,528,1098,9584,8754,18335,5275,6773,12046,5.9,6.0,6.0,59.1,52.1,55.5,55.5,48.9,52.2,346,374,722,167,314,481,1118,1880,2995,1101,1741,2835,4182,2020,6200,145,310,454,295,451,744,4617,2786,7400,15104,15701,30801,2859,3036,5900,10158,10397,20552,7000,7569,14569,Scenic Rim (R)
36580,9745,9704,19448,3669,1953,5620,961,2025,2985,291,273,565,449,387,832,5368,4639,10007,3556,4321,7880,8.4,8.3,8.3,55.1,47.8,51.5,50.5,43.8,47.2,82,111,189,55,143,201,435,801,1237,533,885,1418,2598,1302,3900,124,194,314,162,271,428,2880,1761,4647,9330,9205,18542,1670,1767,3442,6215,5951,12164,4138,4420,8557,Somerset (R)
36630,12817,13066,25890,4367,2448,6819,1318,2738,4055,367,336,708,518,431,952,6576,5952,12528,5266,6183,11446,7.9,7.2,7.6,51.3,45.6,48.4,47.2,42.3,44.7,103,148,257,80,172,255,593,1173,1761,618,1115,1738,3224,1659,4886,157,282,444,199,337,537,3585,2272,5859,12091,12119,24212,2270,2482,4754,8316,8112,16433,5271,5729,11001,South Burnett (R)
36660,13757,14536,28293,5372,2868,8236,1610,3352,4960,417,470,886,533,435,964,7924,7119,15048,4922,6513,11434,6.7,6.1,6.4,57.6,49.0,53.2,53.8,46.0,49.8,204,204,413,116,221,335,802,1424,2229,731,1240,1975,3372,1796,5169,158,259,423,240,382,621,3773,2437,6210,13374,13674,27045,2333,2553,4885,9262,9420,18689,5680,6093,11769,Southern Downs (R)
36720,115635,129642,245278,45896,26622,72520,15639,34267,49910,3383,3674,7058,5206,4856,10059,70125,69420,139551,38578,52467,91046,7.4,7.0,7.2,60.6,53.5,56.9,56.1,49.8,52.8,3190,3448,6637,1584,3106,4689,11779,18426,30199,9785,15038,24818,33286,16183,49473,1036,1869,2904,2113,3492,5605,36432,21552,57982,104729,113738,218466,25915,28617,54539,63702,68283,131980,62567,69840,132405,Sunshine Coast (R)
36820,10212,10815,21027,3340,2035,5371,1201,2411,3611,370,363,728,468,359,824,5372,5161,10535,3957,4773,8731,8.7,7.0,7.8,52.6,47.7,50.1,48.1,44.5,46.2,205,199,402,95,184,280,659,1195,1857,602,1048,1642,2887,1216,4106,102,180,275,152,265,417,3139,1659,4794,9567,9851,19413,1753,1902,3655,6670,6766,13435,4097,4465,8562,Tablelands (R)
36910,60743,66053,126794,28033,16116,44146,6812,15954,22760,1717,1966,3683,2784,2382,5168,39337,36420,75757,17216,25009,42229,7.1,6.5,6.8,64.8,55.1,59.7,60.2,51.5,55.7,1885,1857,3742,700,1398,2097,5637,9008,14643,4007,6125,10128,15419,8357,23773,699,1080,1779,936,1424,2357,17050,10863,27913,57025,60974,117998,12986,13809,26794,35682,37824,73510,30942,33601,64547,Toowoomba (R)
36950,1440,1426,2865,553,490,1039,137,185,323,103,87,192,66,48,116,857,809,1671,337,370,708,7.7,5.9,6.9,59.5,56.7,58.3,55.1,53.4,54.2,22,46,68,16,31,46,102,155,259,80,125,203,332,147,480,24,49,78,34,17,52,389,215,604,1374,1345,2715,286,304,588,939,874,1814,587,624,1209,Torres (S)
36960,1533,1409,2941,369,220,598,172,194,365,46,25,67,111,65,175,701,501,1200,660,775,1436,15.8,13.0,14.6,45.7,35.6,40.8,38.3,31.2,35.0,6,6,12,5,21,30,19,56,74,51,85,139,365,231,598,89,100,196,27,20,46,483,350,834,1811,1731,3539,336,322,664,1484,1407,2893,455,429,883,Torres Strait Island (R)
37010,74374,77247,151617,32843,21812,54654,8170,17808,25974,2315,2622,4931,4733,3784,8512,48054,46021,94081,20025,25478,45503,9.8,8.2,9.0,64.6,59.6,62.1,58.3,54.7,56.4,1974,2142,4116,730,1616,2347,6230,11078,17304,4881,6949,11829,20439,9937,30380,733,1225,1958,942,1449,2385,22110,12614,34726,65939,67848,133785,16662,17812,34476,39963,40631,80598,38816,41766,80584,Townsville (C)
32260,13106,12555,25661,4917,2592,7510,1331,2779,4110,484,444,927,613,404,1017,7344,6217,13562,4456,5209,9663,8.3,6.5,7.5,56.0,49.5,52.9,51.4,46.3,48.9,146,166,320,87,174,261,715,1150,1863,671,1009,1678,3663,1437,5099,121,224,345,177,273,454,3964,1932,5900,11812,11200,23013,2251,2224,4475,8471,7907,16383,4907,4934,9839,Cassowary Coast (R)
30900,265,201,463,133,75,209,14,24,30,6,13,22,11,6,18,161,114,272,61,60,123,6.8,5.3,6.6,60.8,56.7,58.7,57.7,55.7,56.4,3,0,4,0,4,4,9,11,19,11,10,25,45,26,70,4,3,9,3,3,7,55,32,87,190,143,335,50,44,91,125,77,209,106,100,206,Boulia (S)
31000,450243,476597,926840,215751,142759,358511,63694,117042,180738,11126,14896,26020,22550,19343,41892,313129,294035,607166,110853,154976,265831,7.2,6.6,6.9,69.5,61.7,65.5,64.5,57.6,61.0,36306,34454,70760,9752,16378,26135,91645,111694,203345,38775,47281,86056,76236,37717,113957,3363,4854,8213,5696,8502,14197,85297,51071,136368,396564,415271,811837,105211,109233,214444,240357,255563,495928,243351,251963,495315,Brisbane (C)
32270,14581,10803,25376,7607,2991,10596,956,2539,3498,568,435,1009,408,384,787,9544,6353,15893,2126,3140,5262,4.3,6.0,5.0,65.5,58.8,62.6,62.6,55.2,59.5,146,148,291,90,166,257,724,1263,1991,660,848,1511,4298,1315,5615,140,213,356,189,213,401,4627,1744,6372,11896,9810,21702,2565,2386,4953,7243,5709,12957,6330,5572,11899,Central Highlands (R) (Qld)
31750,298,175,470,187,81,265,7,25,36,21,7,26,4,3,7,221,117,336,40,43,87,1.8,2.6,2.1,74.2,66.9,71.5,72.1,64.6,69.6,9,3,13,3,4,6,10,17,29,16,12,33,104,31,138,0,8,4,8,3,8,110,38,147,245,155,398,34,26,60,170,102,266,108,71,175,Bulloo (S)
31820,37647,40089,77736,12353,7451,19805,3885,8217,12104,992,1004,1992,2296,1717,4009,19519,18381,37905,15300,18803,34099,11.8,9.3,10.6,51.8,45.9,48.8,45.8,41.6,43.6,505,492,1004,290,579,872,2000,3891,5888,1891,3136,5027,10440,4805,15247,462,763,1221,621,882,1502,11517,6454,17967,34881,36196,71075,6773,7267,14036,23558,23930,47489,16545,18082,34624,Bundaberg (R)
31900,7178,7148,14321,3452,1622,5076,581,1740,2327,254,221,469,263,229,488,4548,3813,8357,2124,2808,4931,5.8,6.0,5.8,63.4,53.3,58.4,59.7,50.1,55.0,53,53,109,39,71,111,313,618,933,275,462,739,2138,775,2913,51,114,168,93,146,236,2284,1030,3319,6974,6815,13789,1049,1008,2056,5223,5023,10243,2436,2467,4898,Burdekin (S)
31950,352,313,664,99,59,154,16,17,31,47,35,80,9,7,15,165,121,286,135,128,264,5.5,5.8,5.2,46.9,38.7,43.1,46.0,35.5,39.9,3,7,8,3,6,11,17,30,47,20,33,55,97,24,125,5,9,14,3,8,12,106,48,153,265,237,506,56,43,105,205,185,391,114,93,210,Burke (S)
32080,64961,69070,134024,26978,18836,45811,7958,15933,23892,2290,2410,4701,3448,2778,6230,40673,39964,80640,17048,21781,38831,8.5,7.0,7.7,62.6,57.9,60.2,57.3,53.8,55.5,1652,2038,3693,747,1557,2303,6024,9887,15903,5029,7226,12257,17344,8134,25479,694,1070,1761,1027,1600,2625,19066,10799,29870,56915,58779,115698,13787,15047,28837,35177,35800,70977,32369,35186,67559,Cairns (R)
