lga_code16,p_aged_15_yr_over_m,p_aged_15_yr_over_f,p_aged_15_yr_over_p,lab_for_st_empl_worked_ft_m,lab_for_st_empl_worked_ft_f,lab_for_st_empl_worked_ft_p,lab_for_st_empl_worked_pt_m,lab_for_st_empl_worked_pt_f,lab_for_st_empl_worked_pt_p,lab_for_st_empl_awy_frm_wrk_m,lab_for_st_empl_awy_frm_wrk_f,lab_for_st_empl_awy_frm_wrk_p,lab_for_st_unemp_lkg_fr_wrk_m,lab_for_st_unemp_lkg_fr_wrk_f,lab_for_st_unemp_lkg_fr_wrk_p,lab_for_st_tot_labour_force_m,lab_for_st_tot_labour_force_f,lab_for_st_tot_labour_force_p,lab_for_st_n_the_lbour_frce_m,lab_for_st_n_the_lbour_frce_f,lab_for_st_n_the_lbour_frce_p,percent_unemployment_m,percent_unemployment_f,percent_unemployment_p,pcent_lab_force_particip_m,pcent_lab_force_particip_f,pcent_lab_force_particip_p,pcent_employmnt_to_pop_m,pcent_employmnt_to_pop_f,pcent_employmnt_to_pop_p,non_sc_quals_postgrad_deg_m,non_sc_quals_postgrad_deg_f,non_sc_quals_postgrad_deg_p,non_sc_qua_gra_dip_gra_cer_m,non_sc_qua_gra_dip_gra_cer_f,non_sc_qua_gra_dip_gra_cer_p,non_sc_quals_bachelor_deg_m,non_sc_quals_bachelor_deg_f,non_sc_quals_bachelor_deg_p,non_sc_quals_adv_dip_dip_m,non_sc_quals_adv_dip_dip_f,non_sc_quals_adv_dip_dip_p,non_sc_quals_cert3a4_level_m,non_sc_quals_cert3a4_level_f,non_sc_quals_cert3a4_level_p,non_sc_quals_cert1a2_level_m,non_sc_quals_cert1a2_level_f,non_sc_quals_cert1a2_level_p,non_sc_quals_certnfd_level_m,non_sc_quals_certnfd_level_f,non_sc_quals_certnfd_level_p,non_sc_quals_certtot_level_m,non_sc_quals_certtot_level_f,non_sc_quals_certtot_level_p,mig_lvd_same_add_1_yr_ago_m,mig_lvd_same_add_1_yr_ago_f,mig_lvd_same_add_1_yr_ago_p,mig_lvd_diff_add_1_yr_ago_m,mig_lvd_diff_add_1_yr_ago_f,mig_lvd_diff_add_1_yr_ago_p,mig_lvd_same_add_5_yr_ago_m,mig_lvd_same_add_5_yr_ago_f,mig_lvd_same_add_5_yr_ago_p,mig_lvd_diff_add_5_yr_ago_m,mig_lvd_diff_add_5_yr_ago_f,mig_lvd_diff_add_5_yr_ago_p,lga_name16
17080,5930,5647,11577,2565,1156,3719,526,1347,1875,224,161,383,191,152,342,3512,2811,6322,1839,2305,4141,5.4,5.4,5.4,59.2,49.8,54.6,55.9,47.2,51.6,63,65,132,43,81,123,349,544,886,290,532,828,1541,684,2219,48,122,166,94,153,240,1678,951,2627,5439,5348,10787,836,846,1685,4015,3813,7824,1963,2060,4023,Snowy Valleys (A)
17420,59510,63004,122520,32709,19278,51990,7794,16800,24600,1330,1806,3142,1992,1846,3845,43830,39739,83566,14067,21473,35546,4.5,4.6,4.6,73.7,63.1,68.2,70.3,60.1,65.1,5855,4833,10685,1051,1602,2658,12809,14997,27811,5843,7839,13683,10522,4400,14920,298,729,1023,1151,1941,3096,11970,7068,19046,63165,65486,128648,9388,9726,19105,42537,43990,86526,27142,28309,55448,The Hills Shire (A)
17550,37028,40981,78005,12093,6937,19029,5000,9863,14861,989,1146,2143,1476,1302,2778,19556,19257,38813,14559,18521,33080,7.5,6.8,7.2,52.8,47.0,49.8,48.8,43.8,46.2,718,826,1552,404,767,1177,3001,4693,7693,2539,4324,6858,10351,4759,15108,300,596,897,693,1293,1990,11339,6646,17985,33864,36489,70356,6542,7210,13756,22294,23811,46099,16494,18515,35012,Tweed (A)
17620,5470,5639,11113,2606,1400,4010,629,1323,1951,171,166,340,159,160,319,3571,3055,6622,1407,2070,3474,4.5,5.2,4.8,65.3,54.2,59.6,62.3,51.2,56.7,67,86,149,40,67,108,300,624,931,275,500,778,1584,739,2326,41,103,147,93,164,251,1717,1001,2723,5270,5397,10667,872,894,1773,3669,3718,7384,2150,2277,4433,Upper Hunter Shire (A)
17640,3131,3062,6197,1434,704,2138,381,746,1127,82,121,204,74,64,136,1969,1637,3604,891,1187,2079,3.8,3.9,3.8,62.9,53.5,58.2,60.6,51.3,56.0,72,67,133,29,78,107,199,332,533,190,346,540,854,363,1216,34,65,98,51,117,167,937,542,1481,3061,2972,6039,400,381,781,2239,2131,4371,1025,1067,2096,Upper Lachlan Shire (A)
17650,2305,2447,4747,967,551,1522,283,632,916,75,72,143,75,53,129,1404,1312,2719,751,991,1744,5.3,4.0,4.7,60.9,53.6,57.3,57.5,51.3,54.4,82,95,174,39,61,94,179,338,520,164,270,427,616,315,928,30,51,86,47,91,136,694,453,1143,2363,2499,4862,292,323,612,1738,1732,3471,788,945,1726,Uralla (A)
17750,24683,25943,50624,12487,7246,19726,2774,6537,9310,738,897,1635,908,907,1821,16902,15584,32482,6205,8947,15150,5.4,5.8,5.6,68.5,60.1,64.2,64.8,56.6,60.6,744,722,1467,280,521,796,2267,3830,6103,1503,2332,3837,6753,3559,10310,315,498,815,405,728,1131,7467,4789,12258,22957,23674,46627,5361,5715,11073,14589,15027,29621,12308,13226,25532,Wagga Wagga (C)
17850,1283,1282,2564,625,274,896,135,319,455,36,36,75,22,27,46,821,653,1476,304,468,777,2.7,4.1,3.1,64.0,50.9,57.6,62.0,49.1,55.6,13,16,35,11,25,34,79,147,222,73,111,187,298,133,436,17,29,47,20,46,68,330,212,541,1195,1188,2380,147,158,304,909,910,1820,367,362,729,Walcha (A)
17900,2830,2496,5326,813,515,1322,231,416,639,91,82,175,151,96,249,1284,1109,2392,1193,1097,2286,11.8,8.7,10.4,45.4,44.4,44.9,40.1,40.6,40.1,21,40,60,12,35,51,119,258,380,142,191,328,544,223,767,34,42,78,44,57,100,619,323,938,2569,2295,4860,381,384,763,1964,1670,3641,828,863,1688,Walgett (A)
17950,1068,1022,2087,521,277,796,70,197,267,38,37,66,47,42,84,672,547,1220,299,373,671,7.0,7.7,6.9,62.9,53.5,58.5,58.9,50.0,54.1,13,3,15,3,16,18,60,135,196,42,90,134,234,87,315,3,21,21,21,34,53,257,137,395,1048,1034,2086,120,107,228,794,741,1535,313,335,644,Warren (A)
18020,3852,3830,7680,1316,680,1999,328,781,1108,115,109,215,171,118,292,1921,1694,3616,1476,1705,3181,8.9,7.0,8.1,49.9,44.2,47.1,45.7,41.0,43.3,42,57,97,20,56,75,192,378,567,159,282,443,876,417,1288,56,82,137,73,90,160,1008,582,1588,3604,3552,7150,466,503,967,2648,2535,5182,1235,1332,2566,Warrumbungle Shire (A)
18050,26780,29024,55811,14253,10434,24692,3410,6463,9876,617,867,1489,723,716,1439,19006,18486,37491,4706,7279,11987,3.8,3.9,3.8,71.0,63.7,67.2,68.3,61.2,64.6,2976,3118,6097,582,801,1387,7898,9239,17144,2085,3072,5164,2703,1160,3854,96,157,246,395,602,992,3188,1916,5098,21812,23120,44934,5944,6383,12325,12610,13397,26010,14033,15121,29155,Waverley (A)
18100,1461,1472,2932,591,280,872,128,326,452,38,42,76,38,32,74,794,683,1477,539,655,1200,4.8,4.7,5.0,54.3,46.4,50.4,51.8,44.0,47.7,7,21,28,8,19,27,77,154,229,68,125,192,334,164,505,19,39,52,22,47,67,377,252,626,1424,1410,2830,161,170,332,1090,1045,2129,438,460,898,Weddin (A)
18200,3092,2797,5887,1193,617,1808,299,618,916,106,110,218,112,76,192,1710,1417,3133,965,1092,2054,6.5,5.4,6.1,55.3,50.7,53.2,51.7,48.1,50.0,14,36,50,18,47,67,136,272,405,156,239,399,810,341,1149,29,42,75,45,58,100,878,447,1322,2833,2610,5443,419,428,851,2069,1840,3909,1005,1056,2057,Wentworth (A)
