lga_code16,lga_name16,aboriginal_torres_strait_persons,non_indigenous_persons,total_erp,ste_name16
45090,Naracoorte and Lucindale (DC),161.0,8383.0,8544,South Australia
45120,Northern Areas (DC),94.0,4530.0,4624,South Australia
45290,Norwood Payneham St Peters (C),263.0,36133.0,36396,South Australia
45340,Onkaparinga (C),3172.0,166201.0,169373,South Australia
45400,Orroroo/Carrieton (DC),15.0,886.0,901,South Australia
45540,Peterborough (DC),134.0,1583.0,1717,South Australia
45680,Playford (C),3865.0,86685.0,90550,South Australia
45890,Port Adelaide Enfield (C),3524.0,120477.0,124001,South Australia
46090,Port Augusta (C),3251.0,11073.0,14324,South Australia
46300,Port Lincoln (C),924.0,13559.0,14483,South Australia
46450,Port Pirie City and Dists (M),795.0,16973.0,17768,South Australia
46510,Prospect (C),198.0,20926.0,21124,South Australia
46670,Renmark Paringa (DC),316.0,9464.0,9780,South Australia
46860,Robe (DC),17.0,1391.0,1408,South Australia
46970,Roxby Downs (M),157.0,3899.0,4056,South Australia
47140,Salisbury (C),3345.0,136953.0,140298,South Australia
47290,Southern Mallee (DC),56.0,2000.0,2056,South Australia
47490,Streaky Bay (DC),36.0,2101.0,2137,South Australia
47630,Tatiara (DC),107.0,6710.0,6817,South Australia
47700,Tea Tree Gully (C),1163.0,98039.0,99202,South Australia
47800,The Coorong (DC),412.0,5119.0,5531,South Australia
47910,Tumby Bay (DC),64.0,2648.0,2712,South Australia
47980,Unley (C),197.0,38742.0,38939,South Australia
48050,Victor Harbor (C),242.0,14774.0,15016,South Australia
48130,Wakefield (DC),189.0,6758.0,6947,South Australia
51960,Coolgardie (S),543.0,3201.0,3744,Western Australia
52030,Coorow (S),45.0,1018.0,1063,Western Australia
48260,Walkerville (M),66.0,7715.0,7781,South Australia
48340,Wattle Range (DC),270.0,11756.0,12026,South Australia
48410,West Torrens (C),700.0,58711.0,59411,South Australia
48540,Whyalla (C),1346.0,21159.0,22505,South Australia
48640,Wudinna (DC),34.0,1233.0,1267,South Australia
48750,Yankalilla (DC),69.0,5198.0,5267,South Australia
48830,Yorke Peninsula (DC),366.0,10925.0,11291,South Australia
49399,Unincorporated SA,861.0,2773.0,3634,South Australia
50080,Albany (C),1578.0,35707.0,37285,Western Australia
50210,Armadale (C),2701.0,79320.0,82021,Western Australia
50250,Ashburton (S),1475.0,11836.0,13311,Western Australia
50280,Augusta-Margaret River (S),255.0,14564.0,14819,Western Australia
50350,Bassendean (T),512.0,15101.0,15613,Western Australia
50420,Bayswater (C),1122.0,66185.0,67307,Western Australia
50490,Belmont (C),1430.0,40018.0,41448,Western Australia
50560,Beverley (S),104.0,1630.0,1734,Western Australia
50630,Boddington (S),109.0,1809.0,1918,Western Australia
50770,Boyup Brook (S),22.0,1708.0,1730,Western Australia
50840,Bridgetown-Greenbushes (S),86.0,4603.0,4689,Western Australia
50910,Brookton (S),146.0,851.0,997,Western Australia
50980,Broome (S),6064.0,10895.0,16959,Western Australia
51080,Broomehill-Tambellup (S),177.0,968.0,1145,Western Australia
51120,Bruce Rock (S),34.0,896.0,930,Western Australia
51190,Bunbury (C),1478.0,31102.0,32580,Western Australia
51260,Busselton (C),829.0,36934.0,37763,Western Australia
51310,Cambridge (T),101.0,28084.0,28185,Western Australia
51330,Canning (C),1193.0,92531.0,93724,Western Australia
51400,Capel (S),513.0,16865.0,17378,Western Australia
51470,Carnamah (S),21.0,536.0,557,Western Australia
51540,Carnarvon (S),1388.0,4298.0,5686,Western Australia
51610,Chapman Valley (S),73.0,1290.0,1363,Western Australia
51680,Chittering (S),162.0,5374.0,5536,Western Australia
51750,Claremont (T),86.0,10540.0,10626,Western Australia
51820,Cockburn (C),2096.0,105991.0,108087,Western Australia
51890,Collie (S),456.0,8400.0,8856,Western Australia
52100,Corrigin (S),62.0,1121.0,1183,Western Australia
52170,Cottesloe (T),35.0,8068.0,8103,Western Australia
52240,Cranbrook (S),32.0,1066.0,1098,Western Australia
52310,Cuballing (S),15.0,829.0,844,Western Australia
52380,Cue (S),51.0,137.0,188,Western Australia
52450,Cunderdin (S),40.0,1450.0,1490,Western Australia
52520,Dalwallinu (S),101.0,1344.0,1445,Western Australia
52590,Dandaragan (S),105.0,3178.0,3283,Western Australia
52660,Dardanup (S),328.0,13907.0,14235,Western Australia
52730,Denmark (S),107.0,5911.0,6018,Western Australia
52800,Derby-West Kimberley (S),6064.0,2299.0,8363,Western Australia
52870,Donnybrook-Balingup (S),139.0,5817.0,5956,Western Australia
52940,Dowerin (S),31.0,674.0,705,Western Australia
53010,Dumbleyung (S),25.0,644.0,669,Western Australia
53080,Dundas (S),106.0,648.0,754,Western Australia
53150,East Fremantle (T),49.0,7631.0,7680,Western Australia
53220,East Pilbara (S),2786.0,8131.0,10917,Western Australia
53290,Esperance (S),826.0,13659.0,14485,Western Australia
53360,Exmouth (S),74.0,2701.0,2775,Western Australia
53430,Fremantle (C),637.0,29896.0,30533,Western Australia
53570,Gingin (S),127.0,5177.0,5304,Western Australia
53640,Gnowangerup (S),140.0,1134.0,1274,Western Australia
54280,Kalgoorlie/Boulder (C),3091.0,27734.0,30825,Western Australia
54310,Karratha (C),3980.0,18231.0,22211,Western Australia
53710,Goomalling (S),50.0,974.0,1024,Western Australia
53780,Gosnells (C),3665.0,118346.0,122011,Western Australia
53800,Greater Geraldton (C),5159.0,34468.0,39627,Western Australia
53920,Halls Creek (S),2964.0,632.0,3596,Western Australia
53990,Harvey (S),790.0,26100.0,26890,Western Australia
54060,Irwin (S),109.0,3495.0,3604,Western Australia
54130,Jerramungup (S),48.0,1057.0,1105,Western Australia
54170,Joondalup (C),1297.0,159626.0,160923,Western Australia
54200,Kalamunda (S),1344.0,57857.0,59201,Western Australia
54340,Katanning (S),430.0,3752.0,4182,Western Australia
54410,Kellerberrin (S),114.0,1142.0,1256,Western Australia
54480,Kent (S),8.0,546.0,554,Western Australia
54550,Kojonup (S),119.0,1919.0,2038,Western Australia
54620,Kondinin (S),75.0,836.0,911,Western Australia
54690,Koorda (S),14.0,412.0,426,Western Australia
54760,Kulin (S),30.0,762.0,792,Western Australia
54830,Kwinana (C),1864.0,38194.0,40058,Western Australia
54900,Lake Grace (S),37.0,1243.0,1280,Western Australia
54970,Laverton (S),426.0,724.0,1150,Western Australia
55040,Leonora (S),251.0,1088.0,1339,Western Australia
55110,Mandurah (C),2298.0,81028.0,83326,Western Australia
55180,Manjimup (S),405.0,8931.0,9336,Western Australia
55250,Meekatharra (S),453.0,652.0,1105,Western Australia
55320,Melville (C),899.0,101429.0,102328,Western Australia
55950,Mukinbudin (S),38.0,557.0,595,Western Australia
55390,Menzies (S),278.0,257.0,535,Western Australia
55460,Merredin (S),295.0,3116.0,3411,Western Australia
55530,Mingenew (S),30.0,432.0,462,Western Australia
56090,Mundaring (S),1568.0,37748.0,39316,Western Australia
55600,Moora (S),346.0,2143.0,2489,Western Australia
55670,Morawa (S),166.0,619.0,785,Western Australia
56860,Nungarin (S),,,262,Western Australia
55740,Mosman Park (T),95.0,9067.0,9162,Western Australia
55810,Mount Magnet (S),143.0,339.0,482,Western Australia
55880,Mount Marshall (S),9.0,541.0,550,Western Australia
56160,Murchison (S),84.0,65.0,149,Western Australia
56230,Murray (S),524.0,16560.0,17084,Western Australia
56300,Nannup (S),28.0,1316.0,1344,Western Australia
56370,Narembeen (S),28.0,782.0,810,Western Australia
56460,Narrogin (S),469.0,4757.0,5226,Western Australia
56580,Nedlands (C),87.0,22134.0,22221,Western Australia
56620,Ngaanyatjarraku (S),1681.0,234.0,1915,Western Australia
56730,Northam (S),870.0,10368.0,11238,Western Australia
56790,Northampton (S),242.0,3111.0,3353,Western Australia
56930,Peppermint Grove (S),39.0,1674.0,1713,Western Australia
57630,Sandstone (S),,,93,Western Australia
57700,Serpentine-Jarrahdale (S),710.0,26870.0,27580,Western Australia
57770,Shark Bay (S),86.0,891.0,977,Western Australia
57840,South Perth (C),706.0,43175.0,43881,Western Australia
57910,Stirling (C),3038.0,217028.0,220066,Western Australia
57980,Subiaco (C),194.0,20086.0,20280,Western Australia
58050,Swan (C),5055.0,133000.0,138055,Western Australia
58190,Tammin (S),56.0,348.0,404,Western Australia
58260,Three Springs (S),64.0,549.0,613,Western Australia
57000,Perenjori (S),50.0,560.0,610,Western Australia
57080,Perth (C),275.0,22742.0,23017,Western Australia
57140,Pingelly (S),190.0,1009.0,1199,Western Australia
57210,Plantagenet (S),204.0,4899.0,5103,Western Australia
