lga_name_2016,lga_code_2016,oh_r_tot_ds_sh,oh_r_tot_ds_sdrtht,oh_r_tot_ds_fa,oh_r_tot_ds_od_c,oh_r_tot_ds_od_ch,oh_r_tot_ds_od_ih_t_so,oh_r_tot_od_hf_a_so,oh_r_tot_ds_od_tot,oh_r_tot_ds_ns,oh_r_tot_ds_tot,oh_ott_ds_sh,oh_ott_ds_sdrtht,oh_ott_ds_fa,oh_ott_ds_od_c,oh_ott_ds_od_ch,oh_ott_ds_od_ih_t_so,oh_ott_od_hf_a_so,oh_ott_ds_od_tot,oh_ott_ds_ns,oh_ott_ds_tot,oh_t_ns_ds_sh,oh_t_ns_ds_sdrtht,oh_t_ns_ds_fa,oh_t_ns_ds_od_c,oh_t_ns_ds_od_ch,oh_t_ns_ds_od_ih_t_so,oh_t_ns_od_hf_a_so,oh_t_ns_ds_od_tot,oh_t_ns_ds_ns,oh_t_ns_ds_tot,oh_tot_ds_shouse,oh_tot_ds_sdrtht,oh_tot_ds_f_u_or_a,oh_tot_ds_od_c,oh_tot_ds_od_ch,oh_tot_ds_od_ih_t_so,oh_tot_ds_od_hf_a_to_a_s_o,oh_tot_ds_od_tot,oh_tot_ds_ns,oh_tot_tot,t_h_oo_ds_sh,t_h_oo_ds_sdrtht,t_h_oo_ds_fa,t_h_oo_ds_od_c,t_h_oo_ds_od_ch,t_h_oo_ds_od_ih_t_so,t_h_oo_od_hf_a_so,t_h_oo_ds_od_tot,t_h_oo_ds_ns,t_h_oo_ds_tot,t_h_m_ds_sh,t_h_m_ds_sdrtht,t_h_m_ds_fa,t_h_m_ds_od_c,t_h_m_ds_od_ch,t_h_m_ds_od_ih_t_so,t_h_m_od_hf_a_so,t_h_m_ds_od_tot,t_h_m_ds_ns,t_h_m_ds_tot,t_h_rrea_ds_sh,t_h_rrea_ds_sdrtht,t_h_rrea_ds_fa,t_h_rrea_ds_od_c,t_h_rrea_ds_od_ch,t_h_rrea_ds_od_ih_t_so,t_h_rrea_od_hf_a_so,t_h_rrea_ds_od_tot,t_h_rrea_ds_ns,t_h_rrea_ds_tot,t_h_rha_ds_sh,t_h_rha_ds_sdrtht,t_h_rha_ds_fa,t_h_rha_ds_od_c,t_h_rha_ds_od_ch,t_h_rha_ds_od_ih_t_so,t_h_rha_od_hf_a_so,t_h_rha_ds_od_tot,t_h_rha_ds_ns,t_h_rha_ds_tot,t_h_r_psh_ds_sh,t_h_r_psh_ds_sdrtht,t_h_r_psh_ds_fa,t_h_r_psh_ds_od_c,t_h_r_psh_ds_od_ch,t_h_r_psh_ds_od_ih_t_so,t_h_r_psh_od_hf_a_so,t_h_r_psh_ds_od_tot,t_h_r_psh_ds_ns,t_h_r_psh_ds_tot,t_h_r_hcc_ds_sh,t_h_r_hcc_ds_sdrtht,t_h_r_hcc_ds_fa,t_h_r_hcc_ds_od_c,t_h_r_hcc_ds_od_ch,t_h_r_hcc_ds_od_ih_t_so,t_h_r_hcc_od_hf_a_so,t_h_r_hcc_ds_od_tot,t_h_r_hcc_ds_ns,t_h_r_hcc_ds_tot,t_h_r_olt_ds_sh,t_h_r_olt_ds_sdrtht,t_h_r_olt_ds_fa,t_h_r_olt_ds_od_c,t_h_r_olt_ds_od_ch,t_h_r_olt_ds_od_ih_t_so,t_h_r_olt_od_hf_a_so,t_h_r_olt_ds_od_tot,t_h_r_olt_ds_ns,t_h_r_olt_ds_tot,t_h_r_lns_ds_sh,t_h_r_lns_ds_sdrtht,t_h_r_lns_ds_fa,t_h_r_lns_ds_od_c,t_h_r_lns_ds_od_ch,t_h_r_lns_ds_od_ih_t_so,t_h_r_lns_od_hf_a_so,t_h_r_lns_ds_od_tot,t_h_r_lns_ds_ns,t_h_r_lns_ds_tot,t_h_r_tot_ds_sh,t_h_r_tot_ds_sdrtht,t_h_r_tot_ds_fa,t_h_r_tot_ds_od_c,t_h_r_tot_ds_od_ch,t_h_r_tot_ds_od_ih_t_so,t_h_r_tot_od_hf_a_so,t_h_r_tot_ds_od_tot,t_h_r_tot_ds_ns,t_h_r_tot_ds_tot,t_h_ott_ds_sh,t_h_ott_ds_sdrtht,t_h_ott_ds_fa,t_h_ott_ds_od_c,t_h_ott_ds_od_ch,t_h_ott_ds_od_ih_t_so,t_h_ott_od_hf_a_so,t_h_ott_ds_od_tot,t_h_ott_ds_ns,t_h_ott_ds_tot,t_h_t_ns_ds_sh,t_h_t_ns_ds_sdrtht,t_h_t_ns_ds_fa,t_h_t_ns_ds_od_c,t_h_t_ns_ds_od_ch,t_h_t_ns_ds_od_ih_t_so,t_h_t_ns_od_hf_a_so,t_h_t_ns_ds_od_tot,t_h_t_ns_ds_ns,t_h_t_ns_ds_tot,t_h_tot_ds_sh,t_h_tot_ds_sdrtht,t_h_tot_ds_fa,t_h_tot_ds_od_c,t_h_tot_ds_od_ch,t_h_tot_ds_od_ih_t_so,t_h_tot_od_hf_a_so,t_h_tot_ds_od_tot,t_h_tot_ds_ns,t_h_tot_ds_tot
Boroondara (C),21110,4691,4346,8839,0,0,3,111,114,96,18084,182,96,165,0,0,0,0,0,11,455,611,229,419,0,0,0,6,6,12,1286,33471,12239,13562,4,0,3,178,184,199,59656,16110,4433,1987,0,0,0,30,31,40,22604,11925,3148,2159,4,0,0,25,31,37,17305,3273,3262,7304,0,0,0,75,76,60,13976,97,114,255,0,0,0,0,0,3,468,1112,780,1060,0,0,0,28,30,25,3005,45,96,124,0,0,0,0,0,3,268,69,41,74,0,0,0,3,3,3,189,139,74,74,0,0,0,0,0,5,287,4725,4370,8887,0,0,3,111,111,96,18192,187,96,165,0,0,0,0,0,11,455,620,230,420,0,0,0,6,6,13,1288,33568,12272,13622,6,0,3,178,181,204,59849
Brimbank (C),21180,10155,3664,1837,3,0,0,49,54,68,15776,251,122,34,0,0,0,0,0,3,405,1821,306,139,0,22,0,12,33,16,2319,50148,8006,2729,5,23,3,122,151,122,61149,19801,1571,317,0,0,0,38,37,14,21740,18253,2347,405,0,0,0,25,28,21,21054,5984,2505,1260,3,0,0,23,28,39,9812,773,274,213,0,0,0,0,4,0,1262,2736,650,240,0,0,0,21,21,25,3670,107,85,49,0,0,0,0,0,0,252,502,150,69,0,0,0,3,3,3,721,237,43,15,0,0,0,0,0,3,299,10343,3705,1850,3,0,0,49,54,68,16016,254,122,34,0,0,0,0,0,3,414,1841,309,143,0,22,0,12,33,16,2336,50486,8056,2753,5,23,3,122,151,122,61562
Buloke (S),21270,354,17,32,3,0,0,4,8,0,415,22,0,4,0,0,0,0,0,0,23,63,3,13,0,0,0,0,0,3,78,2294,35,53,10,4,0,19,27,12,2421,1327,7,8,4,4,0,4,13,3,1360,555,4,0,0,0,0,3,3,4,562,56,7,6,0,0,0,3,3,0,65,17,14,20,0,0,0,0,0,0,49,205,0,0,0,0,0,5,4,0,212,4,0,11,0,0,0,0,0,0,11,43,5,0,0,0,0,0,0,0,50,34,0,0,0,0,0,0,0,0,39,363,17,38,3,0,0,4,8,0,427,22,0,4,0,0,0,0,0,0,23,60,3,13,0,0,0,0,0,3,82,2324,35,56,10,4,0,19,30,12,2455
Campaspe (S),21370,2235,447,294,27,11,0,15,50,18,3045,85,22,16,0,0,0,0,0,0,119,369,46,28,9,0,0,0,12,5,465,12089,742,435,59,37,4,27,123,52,13439,5126,168,83,27,26,0,3,58,13,5452,4436,65,15,3,0,0,5,7,12,4538,1046,244,182,0,0,0,3,3,6,1482,283,138,58,0,0,0,0,0,0,489,784,55,36,3,0,0,7,16,9,896,33,21,18,0,0,0,0,0,0,69,160,6,8,27,6,0,0,31,7,215,97,9,5,0,0,0,0,0,0,116,2405,486,302,29,10,0,15,54,18,3261,85,22,16,0,0,0,0,0,0,121,385,47,26,9,0,0,0,12,5,474,12443,786,446,63,39,4,27,124,52,13855
Cardinia (S),21450,5645,1172,29,8,42,0,7,61,18,6920,220,103,35,0,0,0,0,3,0,359,640,98,16,0,0,0,3,6,11,768,27971,2308,138,31,78,11,15,130,76,30630,7035,422,41,17,29,4,3,54,19,7570,14627,527,16,0,4,0,3,11,29,15208,4276,936,11,0,0,0,8,8,9,5237,151,102,9,0,0,0,0,0,0,260,1109,108,11,0,5,0,0,9,10,1238,29,20,0,0,0,0,0,0,0,45,121,3,0,5,33,0,0,44,0,173,108,11,0,0,0,0,0,0,0,120,5787,1185,34,8,42,0,8,62,14,7081,229,103,35,0,0,0,0,3,0,366,656,98,16,0,0,0,3,6,11,778,28330,2330,137,31,78,11,12,128,80,31009
Casey (C),21610,15871,2671,490,21,80,0,71,170,45,19247,365,245,69,0,0,0,0,0,3,685,2046,292,54,3,9,0,16,23,26,2442,81735,8239,952,42,94,3,115,256,127,91317,19477,2138,185,19,7,3,12,36,12,21853,44370,2921,156,3,3,0,22,29,35,47516,11326,1996,301,0,0,0,34,38,23,13681,1031,208,119,0,0,0,27,32,4,1394,3118,367,51,0,0,0,3,3,4,3544,94,57,14,0,0,0,0,0,0,162,361,44,8,21,79,0,4,101,3,527,230,34,6,0,0,0,0,3,4,279,16163,2709,498,21,78,0,76,172,48,19587,371,245,69,0,0,0,0,0,3,692,2086,297,54,3,9,0,16,23,26,2485,82465,8309,961,42,98,3,119,263,133,92127
Central Goldfields (S),21670,898,166,61,6,7,3,11,24,4,1159,36,29,3,3,0,0,0,0,0,64,173,18,8,6,0,0,0,5,0,207,4827,313,76,48,14,12,29,95,25,5340,2278,82,5,37,6,6,5,55,12,2428,1504,19,3,6,0,3,12,16,5,1546,461,73,18,0,0,0,3,3,0,551,98,56,27,0,0,0,0,0,0,182,309,17,5,0,0,0,8,6,0,337,13,19,10,0,0,0,0,0,0,37,37,6,0,6,0,0,3,12,0,50,32,3,0,0,0,3,0,3,0,41,940,171,61,6,7,3,11,24,4,1200,35,29,3,3,0,0,0,0,0,66,177,18,8,6,0,0,0,5,0,210,4932,317,76,48,14,12,32,101,25,5445
Colac-Otway (S),21750,1336,338,44,18,6,0,14,33,8,1758,52,13,0,0,3,0,0,3,0,68,214,35,4,3,4,0,3,11,3,264,7150,548,54,28,19,0,24,75,50,7878,3091,136,4,8,11,3,0,24,22,3272,2524,27,3,0,0,0,5,10,8,2576,613,171,19,0,0,0,10,10,4,818,145,61,19,0,0,0,0,0,0,224,454,69,5,0,0,0,3,6,0,528,38,23,0,0,0,0,0,0,0,62,78,16,0,11,6,0,0,22,4,122,58,12,0,0,0,0,0,0,0,71,1381,349,40,18,6,0,14,33,14,1822,50,13,0,0,3,0,0,3,0,67,220,34,4,3,4,0,3,11,3,269,7262,561,59,29,19,4,24,76,46,8005
Corangamite (S),21830,1096,77,80,0,4,0,9,12,15,1283,65,3,0,0,0,0,0,0,0,72,180,3,14,0,0,0,0,0,8,203,5624,105,135,3,10,0,16,24,61,5947,2572,18,28,0,0,0,3,6,20,2648,1739,3,7,0,0,0,3,3,17,1780,375,24,25,0,3,0,0,4,0,441,51,28,35,0,0,0,0,0,0,121,443,13,10,0,0,0,3,10,5,483,3,0,0,0,0,0,0,0,0,10,160,3,4,0,0,0,0,4,3,174,86,0,0,0,0,0,0,0,0,94,1132,77,81,0,4,0,9,12,15,1316,65,3,0,0,0,0,0,0,0,72,181,3,14,0,0,0,0,0,11,208,5697,105,135,3,10,0,16,24,67,6022
Darebin (C),21890,7095,7518,5640,0,0,0,205,205,93,20549,194,99,37,0,0,0,0,0,8,331,997,409,228,0,0,0,9,9,30,1674,31832,14043,7722,0,4,0,303,301,188,54083,13694,2351,513,0,0,0,31,36,30,16621,9970,3698,1314,0,0,0,55,55,35,15078,4651,5520,4394,0,0,0,131,133,68,14761,637,930,650,0,0,0,0,0,0,2225,1637,960,494,0,0,0,63,65,19,3180,70,84,84,0,0,0,0,0,3,243,145,93,42,0,0,0,8,8,3,294,177,70,34,0,0,0,3,3,3,289,7324,7654,5711,0,0,0,205,211,95,20983,190,100,37,0,0,0,0,0,8,332,1027,415,238,0,0,0,9,9,29,1718,32209,14221,7808,0,4,0,304,307,189,54736
East Gippsland (S),22110,2938,379,174,19,26,0,20,64,56,3609,126,4,3,0,3,0,0,7,9,141,476,29,12,9,8,0,3,19,67,606,15589,614,289,102,133,16,46,294,208,16980,7448,155,78,75,87,3,15,184,46,7908,4800,46,18,3,5,4,6,23,26,4907,1573,232,110,0,0,0,7,13,15,1942,340,109,42,0,0,0,0,0,5,494,910,43,17,3,0,0,6,12,27,1006,90,16,13,0,0,0,0,0,4,122,174,10,13,14,24,0,4,44,8,243,127,5,8,0,0,0,0,0,5,140,3225,407,192,19,33,4,20,71,65,3959,130,4,3,0,3,0,0,7,9,148,505,34,12,8,8,0,3,19,72,638,16102,649,305,105,135,18,44,297,213,17564
Frankston (C),22170,8626,4075,933,6,233,0,22,260,32,13932,158,480,27,0,0,0,0,3,0,672,949,316,75,0,14,0,5,18,5,1364,38731,8451,1312,29,352,0,40,427,66,48987,11330,1587,108,14,100,0,5,120,15,13157,17972,2015,176,3,5,0,17,25,16,20196,6059,2948,738,0,8,0,13,23,16,9787,678,394,73,0,0,0,0,0,0,1142,1806,582,95,0,5,0,6,18,11,2502,94,118,10,0,0,0,0,0,0,220,119,54,22,5,213,0,0,221,0,419,114,51,11,0,8,0,0,8,0,187,8865,4143,949,5,239,0,20,269,32,14256,165,486,29,0,0,0,0,3,0,677,970,325,74,0,14,0,5,22,6,1396,39300,8550,1343,26,363,0,46,436,67,49687
Gannawarra (S),22250,757,5,66,4,0,0,5,12,4,839,48,0,0,0,0,0,0,0,0,50,128,0,13,3,0,0,0,3,0,143,3953,10,111,26,0,0,15,44,13,4122,1977,0,27,13,0,0,3,19,3,2028,1093,0,3,4,0,0,3,7,3,1104,302,0,23,0,0,0,0,0,0,331,67,0,26,0,0,0,0,0,0,94,311,7,14,0,0,0,3,3,3,334,6,0,4,0,0,0,0,0,0,7,74,0,0,3,0,0,4,4,0,77,34,0,3,3,0,0,0,3,0,43,793,5,73,4,0,0,5,12,4,887,48,0,3,0,0,0,0,0,0,56,131,0,13,4,0,0,0,4,0,151,4048,10,111,30,0,0,15,42,13,4219
Greater Shepparton (C),22830,4360,1351,123,26,57,3,22,110,19,5967,179,51,0,0,0,0,0,0,0,233,566,130,18,9,12,0,0,22,6,755,19056,2069,154,103,134,8,41,294,50,21619,6982,367,7,65,69,4,7,142,8,7515,7328,169,4,10,0,3,9,19,13,7533,2474,917,47,0,0,0,12,11,8,3460,613,223,43,0,0,0,0,0,0,874,1200,183,14,0,4,0,9,16,11,1415,109,43,23,0,0,0,0,0,0,180,267,33,9,31,50,0,3,84,4,396,128,32,5,0,0,0,0,0,0,164,4793,1434,130,33,55,3,22,112,21,6490,177,51,0,0,0,0,0,0,0,233,616,141,20,13,17,0,0,27,6,807,19902,2156,166,113,141,12,41,303,53,22583
Hepburn (S),22910,817,56,43,8,0,0,57,65,22,1011,39,6,0,0,0,0,5,7,3,48,160,33,6,0,0,0,10,10,11,219,5341,122,52,25,5,9,296,336,96,5947,2430,20,0,11,3,3,135,159,36,2644,1943,6,0,0,0,0,97,102,29,2079,358,15,4,0,0,0,33,34,3,414,48,18,23,0,0,0,0,0,0,96,356,7,11,3,0,0,22,20,15,409,3,11,9,0,0,0,0,0,0,28,26,3,0,9,0,0,0,9,0,42,40,0,0,0,0,0,0,0,3,47,840,61,43,8,0,0,56,69,19,1037,39,6,0,0,0,0,5,7,3,54,159,32,6,0,0,0,10,10,11,222,5413,125,52,25,5,9,304,345,97,6029
Hindmarsh (S),22980,303,31,47,0,0,0,0,5,7,386,25,0,0,0,0,0,0,0,0,28,61,9,7,0,0,0,0,0,3,73,2057,107,72,7,0,3,3,12,25,2272,1130,57,18,4,0,3,3,8,8,1225,559,17,3,4,0,0,0,4,9,587,125,7,13,0,0,0,0,0,3,153,6,3,8,0,0,0,0,0,0,18,117,17,8,0,0,0,0,0,0,143,9,0,6,0,0,0,0,0,0,20,32,0,9,0,0,0,0,0,0,41,26,0,3,0,0,0,0,0,0,30,312,31,47,0,0,0,0,5,6,399,22,0,0,0,0,0,0,0,0,28,60,9,7,0,0,0,0,0,3,74,2092,111,72,7,0,4,3,11,27,2320
Hobsons Bay (C),23110,4535,3233,1558,4,11,5,63,80,48,9452,110,42,10,0,0,0,0,0,0,160,555,193,111,6,0,0,0,9,13,875,21290,8476,2240,22,18,8,78,123,110,32242,8680,2110,275,8,5,0,15,31,15,11117,7492,2910,297,4,3,0,3,12,38,10743,3183,2497,1019,0,0,0,39,43,24,6763,211,300,326,0,0,0,0,0,0,843,972,371,135,0,0,0,20,20,16,1516,62,17,65,0,0,0,0,0,0,144,107,53,15,10,7,3,0,20,4,194,85,40,9,0,0,0,0,0,0,141,4615,3276,1569,6,6,4,64,86,48,9595,116,43,10,0,0,0,0,0,0,166,564,195,111,6,0,0,0,9,13,883,21470,8540,2264,23,20,6,79,128,107,32508
Horsham (RC),23190,1319,250,279,0,0,0,3,7,11,1866,31,23,3,0,0,0,0,0,0,63,173,19,13,0,0,0,3,5,0,213,6683,440,393,5,3,3,14,24,30,7573,2724,115,68,3,0,0,6,11,14,2928,2491,31,25,3,0,0,3,5,3,2553,805,116,205,0,0,0,0,0,3,1133,156,76,41,0,0,0,0,0,3,275,344,18,25,0,0,0,0,0,3,395,17,24,5,0,0,0,0,0,0,42,40,12,0,0,0,0,0,3,3,64,33,13,3,0,0,0,0,0,0,50,1390,259,290,0,0,0,3,7,11,1959,31,23,3,0,0,0,0,0,0,63,182,19,13,0,0,0,3,5,0,223,6819,446,399,5,3,3,14,24,30,7721
Hume (C),23270,9927,2980,1298,8,109,0,64,184,64,14462,278,46,10,0,0,0,0,0,0,334,1424,197,88,0,15,0,15,28,42,1780,51175,5706,2081,19,174,0,137,326,145,59441,14700,783,322,7,43,0,32,81,18,15904,25162,1709,364,3,3,0,26,32,30,27298,6293,2226,837,0,0,0,13,14,38,9410,988,316,222,0,0,0,35,40,4,1561,2243,356,168,0,0,0,7,14,17,2795,91,25,44,0,0,0,0,0,0,169,404,69,44,3,107,0,3,114,3,634,161,28,17,0,3,0,3,10,0,216,10180,3028,1330,8,110,0,65,189,64,14788,277,46,10,0,0,0,0,0,0,335,1449,198,86,0,15,0,14,25,41,1806,51768,5756,2113,19,174,0,136,330,148,60129
Indigo (S),23350,818,51,147,4,6,0,8,21,7,1043,33,7,3,0,0,0,0,4,0,42,122,6,9,0,0,0,0,3,3,146,5387,101,216,16,16,0,28,62,44,5800,2330,27,43,12,10,0,10,32,12,2447,2134,6,16,0,3,0,4,12,19,2189,383,17,75,0,0,0,3,3,0,476,39,6,43,0,0,0,0,0,0,90,343,13,21,0,0,0,4,6,5,390,13,14,4,0,0,0,0,0,0,25,42,0,3,0,6,0,0,7,3,55,32,0,5,0,0,0,0,0,0,42,850,51,149,4,6,0,8,21,6,1078,33,7,3,0,0,0,0,4,0,41,122,6,9,0,0,0,0,3,3,147,5472,98,218,16,16,0,28,59,40,5897
Kingston (C) (Vic.),23430,4822,5070,3900,18,80,0,82,181,78,14052,152,130,123,0,3,0,0,0,11,420,743,351,276,3,8,0,5,15,32,1425,33348,14311,7517,46,155,0,123,331,209,55709,13934,3941,1338,20,64,0,12,99,45,19355,13818,4841,1880,5,4,0,28,34,48,20627,3244,3840,3073,0,0,0,54,57,34,10247,295,316,290,0,0,0,0,0,5,908,1079,803,419,0,6,0,23,28,17,2346,64,42,82,0,0,0,0,0,7,198,95,55,36,18,72,0,4,91,7,283,109,65,37,3,4,0,0,8,5,220,4875,5121,3939,18,78,0,82,180,78,14200,153,132,123,0,3,0,0,0,11,419,751,351,286,3,8,0,5,15,32,1435,33536,14392,7565,46,160,0,123,333,212,56036
Knox (C),23670,7522,2155,594,6,40,0,44,88,46,10400,189,429,139,0,0,0,0,0,0,760,856,240,77,0,4,0,9,11,15,1196,45113,6468,1312,26,104,0,138,266,99,53264,16110,1779,268,18,57,0,38,112,19,18291,20632,1880,233,0,0,0,49,54,20,22822,5376,1529,340,0,0,0,18,18,22,7281,524,251,150,0,0,0,0,0,0,934,1499,308,30,0,0,0,11,12,17,1862,64,56,70,0,0,0,3,3,0,185,76,18,15,6,31,0,6,49,6,159,114,25,13,0,0,0,0,0,3,147,7652,2191,610,6,40,0,44,88,45,10575,189,430,139,0,0,0,0,0,0,762,865,238,72,0,4,0,9,17,15,1207,45452,6516,1322,26,102,0,139,269,104,53657
Latrobe (C) (Vic.),23810,5004,1007,1060,7,10,3,5,24,41,7136,112,51,6,0,0,0,0,0,0,172,706,89,83,0,5,0,0,5,39,915,24323,1664,1424,26,60,5,14,107,108,27619,9406,387,176,18,41,3,4,67,15,10045,9333,132,103,3,4,3,3,9,15,9592,3031,530,724,0,0,0,3,3,13,4310,728,299,223,0,0,0,0,0,3,1256,1219,99,88,0,4,0,3,4,12,1425,95,55,32,0,0,0,0,0,0,187,95,38,8,9,13,0,0,18,14,171,78,20,9,0,0,0,0,0,3,117,5257,1050,1094,7,10,3,5,24,41,7460,115,51,6,0,0,0,0,0,0,172,719,93,83,0,5,0,0,5,40,939,24827,1710,1458,25,60,5,14,112,105,28211
Loddon (S),23940,409,6,37,4,4,0,7,11,0,464,32,0,0,0,0,0,0,0,0,34,109,0,7,3,0,0,0,3,5,122,2728,11,52,31,9,6,15,61,45,2893,1476,3,4,24,3,8,3,35,32,1553,745,0,0,0,0,0,3,14,16,767,77,0,11,0,0,0,0,0,0,84,7,8,17,0,0,0,0,0,0,32,225,0,8,0,0,0,3,3,0,237,7,0,3,0,0,0,0,0,0,8,61,0,0,4,3,0,0,6,0,67,46,0,0,0,0,0,0,0,0,46,423,6,38,4,4,0,7,11,0,485,35,0,0,0,0,0,0,0,0,34,113,0,7,3,0,0,0,3,5,128,2792,11,50,30,11,6,15,67,47,2964
Macedon Ranges (S),24130,1779,373,82,0,11,0,29,40,14,2293,70,5,0,0,0,0,0,0,0,75,335,20,0,0,0,0,0,3,20,379,14589,685,151,7,18,7,48,77,65,15571,5465,175,46,5,11,3,3,20,19,5725,7043,108,24,0,0,0,17,17,19,7203,1020,209,49,0,0,0,17,13,3,1303,100,49,6,0,0,0,0,0,0,157,527,72,16,0,0,0,8,13,10,632,37,36,6,0,0,0,0,0,0,78,66,8,0,0,3,0,3,12,0,87,68,3,0,0,0,0,0,0,0,77,1824,379,82,0,11,0,29,40,14,2331,70,5,0,0,0,0,0,0,0,75,341,20,0,0,0,0,0,3,20,388,14735,694,154,14,18,7,48,79,67,15728
Manningham (C),24210,4189,1917,1248,3,0,0,13,13,21,7397,235,139,66,0,0,0,0,0,0,436,697,190,95,0,0,0,0,0,79,1056,30770,6336,2659,14,4,0,23,38,150,39952,15437,2174,628,13,4,0,3,17,21,18284,10267,1925,626,0,0,0,3,3,22,12843,2998,1456,963,0,0,0,3,9,9,5438,61,59,59,0,0,0,0,0,0,179,980,333,162,0,0,0,7,7,6,1484,17,24,41,0,0,0,0,0,0,83,70,20,19,0,0,0,3,0,3,114,111,30,19,0,0,0,0,0,0,155,4229,1923,1254,3,0,0,13,13,21,7446,238,139,66,0,0,0,0,0,0,442,705,190,95,0,0,0,0,0,79,1066,30872,6348,2668,14,4,0,23,35,150,40074
Mansfield (S),24250,549,32,16,3,0,3,3,8,4,610,48,0,0,0,0,0,0,0,0,48,124,0,4,0,0,0,0,3,3,139,3039,49,17,10,7,3,14,35,25,3166,1374,11,0,3,3,0,3,14,14,1414,970,3,0,3,0,0,3,7,3,986,258,16,4,0,0,0,0,0,0,281,53,3,0,0,0,0,0,0,0,54,163,0,3,0,0,3,0,0,3,176,0,0,0,0,0,0,0,0,0,0,46,7,0,3,3,0,3,10,0,62,34,0,4,0,0,0,0,0,0,42,558,33,16,3,3,3,3,12,4,623,48,0,0,0,0,0,0,0,0,48,124,0,4,0,0,0,0,3,3,139,3077,48,17,9,8,3,14,37,25,3207
Maribyrnong (C),24330,4367,3570,5261,0,5,0,88,101,59,13358,73,36,35,0,0,0,0,0,13,160,424,214,216,0,0,0,0,7,24,886,15420,7367,7114,0,14,0,159,174,131,30202,4928,1085,443,0,0,0,29,32,17,6507,5686,2472,1175,0,0,0,34,34,14,9380,2829,2233,4249,0,0,0,49,49,33,9395,441,749,298,0,0,0,0,0,6,1495,970,510,492,0,4,0,25,29,17,2014,48,40,142,0,0,0,0,0,0,228,96,53,95,0,3,0,12,14,5,257,76,37,34,0,0,0,3,3,0,143,4457,3611,5309,0,5,0,92,104,59,13542,78,36,35,0,0,0,0,0,13,162,429,217,214,0,0,0,0,7,24,895,15576,7422,7182,0,14,0,162,174,131,30481
Maroondah (C),24410,7133,1668,541,0,0,0,12,14,37,9395,199,32,13,0,0,0,0,0,3,245,721,118,21,0,0,0,0,0,19,884,35255,3343,930,0,3,0,19,29,98,39655,12373,573,77,0,3,0,0,3,17,13045,14962,966,279,0,0,0,4,3,25,16229,5102,1125,377,0,0,0,11,11,18,6639,505,247,59,0,0,0,0,0,0,808,1386,189,48,0,0,0,3,3,11,1646,85,89,58,0,0,0,0,0,3,228,75,26,0,0,0,0,0,0,3,104,97,15,3,0,0,0,0,0,0,117,7252,1686,551,0,0,0,12,14,37,9538,203,32,13,0,0,0,0,0,3,247,729,117,23,0,0,0,0,0,23,895,35525,3373,942,0,3,0,19,29,100,39962
Melbourne (C),24600,538,3407,33097,0,3,3,68,73,256,37376,22,40,354,0,0,8,0,8,9,435,57,181,1346,0,0,40,5,47,43,1674,1645,7193,47358,0,4,54,98,151,394,56744,592,1761,5586,0,4,3,4,11,37,7986,440,1820,7002,0,0,0,11,16,44,9316,315,2235,25061,0,0,0,45,45,178,27831,54,312,2143,0,0,0,0,0,17,2527,134,749,4513,0,0,0,17,16,31,5442,10,58,548,0,0,0,0,0,0,626,15,33,725,0,0,0,3,5,21,802,17,61,284,0,0,0,7,7,11,365,551,3446,33264,0,3,3,68,75,256,37592,22,47,354,0,0,8,0,8,9,441,57,186,1350,0,0,40,5,50,47,1679,1657,7253,47554,0,4,52,97,156,394,57012
Melton (C),24650,6512,1874,189,13,52,0,11,82,30,8679,173,92,14,0,0,0,0,0,0,280,987,182,17,3,4,0,0,3,3,1189,36007,4586,342,43,62,0,17,120,85,41144,8473,831,54,20,8,0,3,31,10,9399,20132,1617,78,0,0,0,3,7,39,21877,4809,1416,153,0,3,0,0,8,16,6408,192,145,13,0,0,0,0,0,3,349,1422,244,21,0,3,0,6,10,10,1704,62,42,3,0,0,0,0,0,0,109,127,42,4,13,47,0,3,71,0,241,113,22,0,0,0,0,0,0,0,132,6723,1921,192,13,54,0,11,81,30,8942,176,92,14,0,0,0,0,0,0,282,998,183,17,3,4,0,0,3,3,1196,36502,4643,347,40,63,4,17,125,85,41704
Mildura (RC),24780,3645,889,806,35,42,0,10,88,22,5445,91,93,5,3,0,0,0,0,4,195,514,92,81,7,3,0,3,14,18,711,15904,1635,1067,113,85,3,21,217,102,18921,5726,405,119,59,43,3,6,111,40,6402,6212,162,59,3,0,0,0,10,27,6466,2139,616,475,0,0,0,6,10,10,3241,422,171,185,0,0,0,0,0,0,777,1111,128,93,6,4,0,4,17,9,1353,55,13,72,0,0,0,0,0,3,147,219,17,29,28,36,0,0,63,3,332,114,10,11,0,0,0,0,0,3,149,4063,951,867,35,38,4,11,92,22,6001,96,93,7,3,0,0,0,0,4,199,538,97,90,7,3,0,3,14,19,749,16631,1709,1146,109,87,7,23,224,106,19817
