lga_code,lga_name,new_houses_num,new_oth_resial_building_num,tot_dwl_num,value_new_houses_aud000,value_new_oth_resial_building_aud000,value_alterations_additions_conversions_resial_building_aud000,value_tot_resial_building_aud000,value_non_resial_building_aud000,value_tot_building_aud000
20260,Ararat (RC),20,0,20,4625.8,0.0,3837.3,8463.1,8678.1,17141.2
20570,Ballarat (C),720,100,822,197990.3,15809.3,32931.3,246730.8,179323.7,426054.5
20660,Banyule (C),368,461,835,143700.7,122398.4,68038.6,334137.8,186606.9,520744.7
20740,Bass Coast (S),505,26,532,150018.7,5875.4,24864.8,180758.9,29731.6,210490.4
20830,Baw Baw (S),526,16,542,145627.0,2878.8,13459.6,161965.4,40938.3,202903.6
20910,Bayside (C),353,572,928,273793.2,250145.7,98320.9,622259.8,131160.4,753420.1
21010,Benalla (RC),54,4,58,13762.8,250.0,4448.5,18461.2,4580.1,23041.4
21110,Boroondara (C),446,1304,1753,419981.8,562941.6,216108.7,1199032.0,163321.7,1362353.8
21180,Brimbank (C),223,408,638,64892.6,81614.1,22470.6,168977.3,474586.0,643563.3
21270,Buloke (S),6,0,6,1795.0,0.0,934.2,2729.2,6408.2,9137.5
21370,Campaspe (S),143,5,148,43604.1,918.0,8575.7,53097.8,38144.1,91241.9
21450,Cardinia (S),1834,104,1942,444553.1,17830.7,19742.6,482126.4,73540.4,555666.8
21610,Casey (C),4182,669,4853,1149477.8,150767.4,33348.8,1333593.9,301140.6,1634734.5
21670,Central Goldfields (S),33,8,42,7214.9,1216.5,2241.5,10672.9,2146.2,12819.1
21750,Colac-Otway (S),109,0,110,42657.3,0.0,11515.4,54172.7,36539.0,90711.7
21830,Corangamite (S),43,2,45,13232.5,336.0,3845.6,17414.1,16588.2,34002.3
21890,Darebin (C),223,1173,1412,82766.8,286012.6,95857.9,464637.3,91202.9,555840.2
22110,East Gippsland (S),327,14,343,94293.4,3006.2,17184.9,114484.5,13612.7,128097.2
22170,Frankston (C),330,518,850,85665.9,145421.8,29953.9,261041.7,155385.6,416427.2
22250,Gannawarra (S),25,2,27,7952.9,250.0,2558.3,10761.2,6373.2,17134.4
22830,Greater Shepparton (C),261,8,272,81334.8,1472.8,16114.9,98922.5,95463.7,194386.2
22910,Hepburn (S),106,0,109,34228.3,0.0,11679.6,45907.9,19808.3,65716.2
22980,Hindmarsh (S),5,0,5,1720.4,0.0,577.6,2298.0,2726.0,5024.0
23110,Hobsons Bay (C),191,682,874,69260.6,189639.1,35143.8,294043.6,122767.0,416810.6
23190,Horsham (RC),83,5,88,25797.1,1259.4,3611.1,30667.6,33769.5,64437.2
23270,Hume (C),2786,566,3353,739829.3,102839.4,16855.3,859524.0,362546.5,1222070.5
23350,Indigo (S),76,2,81,25684.0,392.4,9200.0,35276.4,2226.9,37503.3
23430,Kingston (C) (Vic.),515,893,1414,178188.1,239670.7,44891.1,462750.0,203027.1,665777.0
23670,Knox (C),609,458,1069,211432.0,108553.9,33546.9,353532.9,129362.1,482895.0
23810,Latrobe (C) (Vic.),224,84,308,67455.0,15992.2,16960.1,100407.4,33913.1,134320.5
23940,Loddon (S),17,0,17,3973.3,0.0,1333.3,5306.6,9605.0,14911.7
24130,Macedon Ranges (S),334,25,361,107799.7,4782.6,21155.8,133738.1,33400.7,167138.8
24210,Manningham (C),339,815,1156,174887.4,267677.8,46059.8,488625.0,64775.0,553399.9
24250,Mansfield (S),87,11,100,26172.0,1959.6,4113.1,32244.7,3856.7,36101.5
24330,Maribyrnong (C),169,963,1134,47779.6,217921.8,48180.1,313881.5,89599.9,403481.4
24410,Maroondah (C),322,232,554,109055.9,61867.3,33026.3,203949.5,129593.4,333542.9
24600,Melbourne (C),22,5921,5972,14994.4,2147964.0,92407.7,2255366.0,3767431.5,6022797.5
24650,Melton (C),2256,65,2322,572449.2,11770.0,10390.8,594610.0,374319.8,968929.8
24780,Mildura (RC),262,4,268,74145.6,937.0,13815.7,88898.2,46261.6,135159.8
24850,Mitchell (S),523,5,528,136680.9,845.0,7435.4,144961.2,29983.8,174945.1
24900,Moira (S),85,0,85,23065.5,0.0,26730.9,49796.4,36111.5,85907.9
24970,Monash (C),671,702,1380,346354.5,217717.5,36102.0,600174.0,875554.1,1475728.1
25060,Moonee Valley (C),348,1477,1828,153435.0,460043.1,84318.6,697796.7,65571.0,763367.7
25150,Moorabool (S),330,55,387,88633.5,9600.2,7361.8,105595.5,35658.3,141253.7
25250,Moreland (C),373,1854,2247,113319.7,429601.9,77082.5,620004.1,100462.9,720467.0
25340,Mornington Peninsula (S),908,473,1390,427316.1,148594.5,157840.0,733750.6,147277.2,881027.8
