lga_code16,tot_2000_2999_mng,tot_2000_2999_pro,tot_2000_2999_tectw,tot_2000_2999_copsw,tot_2000_2999_claw,tot_2000_2999_swks,tot_2000_2999_maopdv,tot_2000_2999_lab,tot_2000_2999_idns,tot_2000_2999_tot,tot_3000mo_mng,tot_3000mo_pro,tot_3000mo_tectw,tot_3000mo_copsw,tot_3000mo_claw,tot_3000mo_swks,tot_3000mo_maopdv,tot_3000mo_lab,tot_3000mo_idns,tot_3000mo_tot,tot_pins_mng,tot_pins_pro,tot_pins_tectw,tot_pins_copsw,tot_pins_claw,tot_pins_swks,tot_pins_maopdv,tot_pins_lab,tot_pins_idns,tot_pins_tot,tot_tot_mng,tot_tot_pro,tot_tot_tectw,tot_tot_copsw,tot_tot_claw,tot_tot_swks,tot_tot_maopdv,tot_tot_lab,tot_tot_idns,tot_tot_tot,lga_name16
22620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,5,9,11,4,29,0,12,8,69,63,142,373,705,157,1407,64,660,39,3599,Greater Bendigo (C)
22670,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,3,0,0,0,3,3,10,7,11,15,23,3,8,24,105,98,229,566,584,393,1498,268,846,106,4573,Greater Dandenong (C)
22750,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,3,0,0,0,7,0,10,15,29,0,61,3,26,22,161,159,336,817,1775,430,3028,164,1507,115,8319,Greater Geelong (C)
25430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,11,7,7,36,56,10,132,8,104,8,362,Mount Alexander (S)
25490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,5,6,24,9,21,42,3,52,0,95,11,258,Moyne (S)
17100,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,4,3,0,3,17,47,155,151,159,147,458,73,168,35,1389,Strathfield (A)
17150,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,8,3,0,14,35,8,48,0,13,16,132,162,360,838,2016,388,2806,152,1100,79,7904,Sutherland Shire (A)
22310,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,7,0,7,4,19,7,25,0,0,7,64,72,235,216,945,288,957,51,463,37,3251,Glen Eira (C)
22410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,14,11,7,46,78,15,181,4,98,8,450,Glenelg (S)
25620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,8,0,3,47,72,4,52,0,57,3,250,Murrindindi (S)
25710,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0,9,0,6,0,35,34,72,180,484,88,500,24,311,18,1707,Nillumbik (S)
25810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,8,7,3,25,52,11,99,0,76,3,277,Northern Grampians (S)
25900,4,0,3,0,3,3,0,0,0,15,0,0,0,4,3,0,0,0,0,14,4,11,8,17,10,7,0,7,17,81,110,393,388,1033,572,822,109,474,70,3980,Port Phillip (C)
25990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,15,19,0,31,0,24,0,94,Pyrenees (S)
26080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,43,3,31,0,23,3,127,Queenscliffe (B)
26170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,4,15,25,17,82,113,23,229,4,122,6,617,South Gippsland (S)
26260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,8,12,11,46,57,13,134,4,81,7,368,Southern Grampians (S)
26350,0,0,0,0,3,3,0,0,0,10,0,0,0,0,3,6,0,0,0,11,3,7,3,18,16,40,3,9,13,113,139,306,372,1394,511,2540,75,688,61,6101,Stonnington (C)
26430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,8,27,36,5,62,0,49,3,188,Strathbogie (S)
26490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,5,0,18,13,9,91,239,26,307,7,206,13,907,Surf Coast (S)
26610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,16,9,16,72,102,18,191,8,86,11,515,Swan Hill (RC)
26670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,14,15,4,36,0,29,0,99,Towong (S)
26700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,3,0,26,14,18,101,129,30,281,4,153,12,738,Wangaratta (RC)
26730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,4,3,10,0,3,3,28,15,33,117,210,48,584,19,254,21,1294,Warrnambool (C)
26810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,4,5,29,23,38,133,165,37,359,6,169,15,949,Wellington (S)
26890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,14,0,5,0,29,0,57,West Wimmera (S)
26980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,8,0,11,7,22,9,38,0,11,8,115,118,451,427,1273,473,1998,99,843,83,5768,Whitehorse (C)
27070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,3,13,16,0,50,0,12,4,108,79,167,388,663,187,2203,111,832,65,4698,Whittlesea (C)
27170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,9,0,7,0,9,11,37,26,38,325,278,64,354,24,212,22,1345,Wodonga (C)
27260,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,5,0,0,12,4,3,33,8,12,18,93,90,180,400,741,257,1998,195,797,87,4740,Wyndham (C)
27350,0,0,0,4,0,0,0,0,0,5,0,3,0,5,0,0,0,0,0,12,0,4,5,15,7,19,0,5,19,70,146,531,443,1134,554,1294,149,567,97,4918,Yarra (C)
27450,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,4,0,0,0,5,0,0,13,20,3,43,0,23,8,107,91,83,456,956,102,1369,47,839,50,3990,Yarra Ranges (S)
