lga_code16,tot_mng,tot_pro,tot_tech_trds_wks,tot_com_persl_svce_wks,tot_cler_admin_wks,tot_sales_wks,tot_mach_ops_dvrs,tot_labourers,tot_idns,tot_tot,lga_name16
15240,3353,4558,3527,3578,3058,3346,1545,3472,461,26889,Mid-Coast (A)
15270,1402,1255,1632,903,935,884,1306,1072,144,9525,Mid-Western Regional (A)
15300,1175,831,622,557,692,426,518,689,96,5603,Moree Plains (A)
15350,1306,2258,1247,1342,861,956,78,492,192,8738,Mosman (A)
15520,1143,389,571,494,355,264,329,712,70,4336,Murray River (A)
15560,546,122,153,116,146,74,151,277,26,1610,Murrumbidgee (A)
15650,846,1046,2274,691,830,601,2119,933,148,9498,Muswellbrook (A)
15700,744,899,732,781,569,468,387,844,107,5529,Nambucca (A)
15750,1038,856,942,495,608,458,1125,658,125,6303,Narrabri (A)
15800,508,250,239,219,209,157,173,296,34,2093,Narrandera (A)
15850,574,291,278,212,204,159,278,233,33,2261,Narromine (A)
15900,9577,24995,12172,10782,15834,8169,5929,8450,1417,97327,Newcastle (C)
15950,15232,28944,4719,4418,10268,4716,594,1999,1356,72250,North Sydney (A)
15990,12796,20930,11773,10303,11633,9598,3657,6109,1427,88233,Northern Beaches (A)
16100,416,224,347,199,167,115,367,267,53,2158,Oberon (A)
16150,2051,4295,2540,2313,2787,1971,993,1751,269,18968,Orange (C)
16200,1014,872,758,620,651,514,548,535,104,5611,Parkes (A)
16260,17596,36944,13087,12073,29905,9668,6778,8884,3013,137952,Parramatta (C)
16350,6982,12894,8726,7561,9938,7213,7252,6834,1205,68594,Penrith (C)
11300,1851,4783,1377,1940,2575,2202,543,1033,320,16624,Burwood (A)
11350,2057,2569,1779,1594,1425,1473,537,1312,224,12964,Byron (A)
11400,1102,626,603,282,363,174,418,651,83,4298,Cabonne (A)
11450,2644,3706,4182,2590,3146,2792,2499,2486,410,24444,Camden (A)
11500,4857,8953,5964,5601,6008,5318,4949,5539,917,48114,Campbelltown (C) (NSW)
11520,4974,9664,3269,2921,6018,3272,1017,1828,653,33608,Canada Bay (A)
11570,10733,17187,13048,10248,13173,9225,9425,9637,2107,94779,Canterbury-Bankstown (A)
11600,457,78,127,78,108,34,137,273,20,1302,Carrathool (A)
11650,11054,20499,13927,13845,14330,12761,6025,10621,1670,104732,Central Coast (C) (NSW)
11700,197,85,51,94,41,20,24,124,13,658,Central Darling (A)
11720,1662,2260,1975,2381,1501,1805,1029,1960,217,14791,Cessnock (C)
11730,2000,2784,2132,2296,2047,1825,1096,1890,267,16345,Clarence Valley (A)
11750,357,282,434,175,189,106,466,217,35,2269,Cobar (A)
11800,3396,5553,3512,3725,4020,3292,1473,3433,477,28886,Coffs Harbour (C)
12000,365,130,114,105,89,79,85,116,15,1111,Coolamon (A)
12150,422,181,136,166,154,72,77,189,33,1432,Coonamble (A)
12350,846,630,584,490,495,478,285,674,91,4569,Cowra (A)
12380,8353,11079,10051,5837,10168,6459,9611,7414,1699,70670,Cumberland (A)
12700,473,325,286,211,251,163,133,281,33,2155,Dungog (A)
12730,668,576,423,440,454,345,257,467,73,3693,Edward River (A)
12750,1471,2004,1714,1643,1579,1511,594,1274,195,11982,Eurobodalla (A)
12850,6581,9106,8011,5684,7486,5825,6823,6229,1356,57091,Fairfield (C)
12870,923,484,744,468,443,374,414,1004,82,4935,Federation (A)
12900,773,584,494,381,415,384,264,488,84,3855,Forbes (A)
12930,4570,12156,4785,5102,6620,4150,1600,2799,763,42550,Georges River (A)
12950,486,193,158,194,120,106,85,208,18,1570,Gilgandra (A)
13010,693,396,347,385,348,279,178,373,66,3059,Glen Innes Severn (A)
13310,1306,1860,1445,1912,1404,1229,917,1290,198,11561,Goulburn Mulwaree (A)
13340,1007,410,399,272,304,168,260,445,49,3316,Greater Hume Shire (A)
13450,1790,1683,1604,1111,1448,1274,843,2153,221,12132,Griffith (C)
13510,743,526,485,424,424,369,258,826,73,4134,Gundagai (A)
13550,901,651,606,492,530,438,509,639,91,4859,Gunnedah (A)
13660,672,186,139,149,141,82,142,273,38,1826,Gwydir (A)
13800,2964,3794,4393,2634,3120,2185,1791,2760,446,24093,Hawkesbury (C)
13850,264,121,188,122,126,104,139,200,23,1288,Hay (A)
16380,3136,5502,3724,3552,3863,3189,1449,2689,414,27509,Port Macquarie-Hastings (A)
16400,3102,3676,5195,3030,2903,2613,2181,2559,457,25725,Port Stephens (A)
16490,2183,2295,2641,1602,1972,1319,1066,1362,272,14709,Queanbeyan-Palerang Regional (A)
16550,4737,16359,4310,5788,5850,2646,2472,3031,786,45988,Randwick (C)
16610,876,953,831,805,673,594,567,1493,137,6931,Richmond Valley (A)
16650,2899,4432,3286,3482,3731,3547,2104,2450,587,26525,Rockdale (C)
16700,15211,28994,7990,5945,12144,6641,1886,4049,1541,84410,Ryde (C)
16900,1646,3126,2350,2747,1968,2780,967,1682,230,17489,Shellharbour (C)
16950,3936,6069,5337,4753,3945,3842,1707,3527,554,33662,Shoalhaven (C)
17000,1401,1589,3336,1302,1277,903,4102,1339,277,15521,Singleton (A)
17040,1804,1217,1230,1491,986,959,718,1207,162,9761,Snowy Monaro Regional (A)
17080,1049,725,830,562,564,434,746,881,106,5895,Snowy Valleys (A)
17420,9381,15609,7291,6607,9374,8305,2006,4231,1071,63867,The Hills Shire (A)
17550,3235,5275,3619,3952,3704,3417,1432,3051,473,28163,Tweed (A)
17620,967,719,669,470,509,384,242,1000,79,5041,Upper Hunter Shire (A)
17640,853,255,324,234,211,163,107,311,34,2487,Upper Lachlan Shire (A)
17650,386,162,147,130,124,81,69,230,23,1351,Uralla (A)
17750,3594,6110,4569,4335,3859,3165,1609,2943,417,30602,Wagga Wagga (C)
17850,489,141,121,86,119,78,100,210,14,1365,Walcha (A)
17900,501,302,174,292,190,111,161,269,43,2053,Walgett (A)
17950,347,120,129,92,97,68,82,137,18,1092,Warren (A)
18020,850,440,275,359,263,206,164,419,54,3020,Warrumbungle Shire (A)
18050,3396,6037,2565,3461,2630,3717,617,1476,439,24340,Waverley (A)
18100,458,148,126,86,105,81,76,155,11,1244,Weddin (A)
18200,615,290,337,253,248,121,307,521,59,2750,Wentworth (A)
18230,2837,3948,2931,2808,2914,2384,1195,2326,359,21701,Western Plains Regional (A)
18250,9359,20273,5703,4389,8531,6089,1414,2716,966,59443,Willoughby (C)
18350,2457,3251,2730,2175,2090,1974,1020,1949,277,17915,Wingecarribee (A)
18400,1330,1382,2224,972,1214,775,1636,1411,188,11134,Wollondilly (A)
18450,7908,18032,10907,9618,11937,7285,5315,6944,1276,79222,Wollongong (C)
18500,3211,5590,2208,3068,2134,2083,216,1086,386,19972,Woollahra (A)
18710,798,562,485,469,391,344,200,466,65,3787,Yass Valley (A)
19399,234,37,53,41,34,13,14,121,22,573,Unincorporated NSW
20110,864,631,672,526,421,479,325,630,67,4613,Alpine (S)
20260,885,667,522,859,427,400,275,739,91,4870,Ararat (RC)
20570,4702,10059,6215,5807,6198,5149,2394,4542,728,45788,Ballarat (C)
20660,3785,12692,5191,5516,5116,3567,1243,2666,577,40356,Banyule (C)
20740,1533,1552,1504,1426,1063,1394,397,1219,172,10258,Bass Coast (S)
20830,2611,2755,2154,1826,1735,1472,818,2179,243,15789,Baw Baw (S)
20910,3944,7874,3396,4665,3604,3009,786,1771,488,29537,Bayside (C)
21010,878,775,706,591,563,454,367,653,81,5075,Benalla (RC)
21110,10630,23815,6194,8229,10306,6752,991,3319,1142,71382,Boroondara (C)
21180,7435,11042,9045,6068,8992,6813,8624,7131,1347,66496,Brimbank (C)
21270,769,345,234,201,217,170,155,311,40,2442,Buloke (S)
21370,2814,2211,2008,1612,1532,1666,999,2226,219,15291,Campaspe (S)
21450,2892,3414,3661,2778,2670,3003,1511,2866,342,23143,Cardinia (S)
21610,6820,11494,8900,8436,7504,9488,3813,6834,964,64240,Casey (C)
21670,526,600,606,559,388,495,252,628,62,4116,Central Goldfields (S)
21750,1633,1194,1197,1152,877,847,606,1708,173,9389,Colac-Otway (S)
21830,2052,874,826,606,498,516,490,1084,126,7080,Corangamite (S)
21890,5928,10941,5815,6201,5765,5615,2910,3731,781,47683,Darebin (C)
22110,2457,2430,2042,2054,1786,1666,877,2099,274,15688,East Gippsland (S)
22170,4752,9286,5803,5471,5523,5301,2068,4065,652,42912,Frankston (C)
22250,1095,496,454,328,418,315,251,538,44,3937,Gannawarra (S)
22830,3959,5176,3622,3067,3418,2913,1848,3558,452,28025,Greater Shepparton (C)
22910,926,789,615,692,444,385,154,586,64,4651,Hepburn (S)
22980,579,305,225,206,187,136,147,354,33,2174,Hindmarsh (S)
23110,4198,5295,5524,3354,4030,2745,5040,4102,688,34988,Hobsons Bay (C)
23190,1399,1608,1181,1019,1100,1053,431,955,117,8873,Horsham (RC)
23270,10219,12149,12713,9105,12036,9028,12202,10283,1761,89491,Hume (C)
23350,945,696,618,573,428,346,301,848,78,4826,Indigo (S)
23430,10529,11667,11138,6462,9440,9183,6638,7562,1213,73832,Kingston (C) (Vic.)
23670,8651,11097,9292,5943,9236,7414,5324,6259,991,64206,Knox (C)
23810,3018,5420,4982,3733,4362,3179,2353,2992,575,30601,Latrobe (C) (Vic.)
23940,1013,296,194,182,169,132,205,406,60,2651,Loddon (S)
24130,1599,2301,1944,1850,1485,1305,538,1480,167,12673,Macedon Ranges (S)
24210,3508,5994,3430,4545,3249,4869,813,2107,404,28931,Manningham (C)
24250,606,502,466,378,322,354,146,390,51,3219,Mansfield (S)
24330,4351,8405,3779,4471,4345,5215,2876,3116,697,37261,Maribyrnong (C)
24410,5006,8210,6254,4860,5321,5570,2118,4306,613,42258,Maroondah (C)
24600,71227,164916,28955,31072,81825,25822,6534,17960,8440,436750,Melbourne (C)
24650,2402,4140,3389,3981,2880,3286,1835,2342,430,24682,Melton (C)
24780,3162,3583,2651,2490,2533,2588,1327,2670,349,21354,Mildura (RC)
24850,1442,1755,1374,1713,1190,1153,649,1406,170,10865,Mitchell (S)
24900,2110,1262,1323,994,1035,972,731,1909,199,10534,Moira (S)
24970,14626,30050,12966,9129,15993,8939,5434,6889,1762,105786,Monash (C)
25060,4020,7766,4408,5072,5533,4915,1322,2386,590,36036,Moonee Valley (C)
25150,1031,1266,1074,872,861,712,650,915,115,7495,Moorabool (S)
25250,4334,8565,5472,5863,4373,3874,2390,3307,626,38807,Moreland (C)
25340,5889,8321,8285,7405,5476,6206,1735,5401,749,49479,Mornington Peninsula (S)
17400,567,223,233,210,196,162,159,339,45,2140,Tenterfield (A)
22750,10086,21197,12806,12303,12117,10616,5381,9111,1444,95057,Greater Geelong (C)
25430,953,1255,837,864,568,500,317,1507,109,6916,Mount Alexander (S)
25490,2038,550,684,389,411,282,566,1142,126,6186,Moyne (S)
25620,852,575,611,526,433,312,214,522,75,4114,Murrindindi (S)
25710,1575,2941,2082,2108,1642,1315,409,1058,184,13315,Nillumbik (S)
25810,914,580,509,669,411,407,310,879,71,4748,Northern Grampians (S)
25900,14682,23613,7175,6248,11711,6258,1632,3349,1271,75933,Port Phillip (C)
25990,588,228,183,276,176,111,146,259,40,2001,Pyrenees (S)
26080,178,269,172,188,173,117,18,125,29,1277,Queenscliffe (B)
26170,2459,1518,1360,982,1099,904,761,1434,156,10668,South Gippsland (S)
26260,1598,1218,890,755,792,695,358,756,98,7164,Southern Grampians (S)
26350,8107,14967,5845,6640,6365,8337,707,3181,821,54961,Stonnington (C)
26430,870,433,456,335,291,241,185,652,56,3519,Strathbogie (S)
26490,1486,1450,1306,1161,886,1041,227,1013,126,8688,Surf Coast (S)
26610,1593,1328,1118,897,971,912,563,1231,192,8802,Swan Hill (RC)
26670,659,276,201,191,164,119,98,277,36,2017,Towong (S)
26700,1860,2427,1550,1463,1440,1272,785,1338,187,12312,Wangaratta (RC)
26730,1539,3293,1954,2017,1991,2098,740,1920,202,15743,Warrnambool (C)
26810,2970,2710,2776,1940,1694,1434,1117,2164,275,17069,Wellington (S)
26890,733,186,123,128,108,47,93,230,26,1674,West Wimmera (S)
26980,8522,20524,7499,7764,10738,7152,1842,4097,1049,69185,Whitehorse (C)
27070,5784,10130,7093,5608,6303,6908,4441,6034,846,53144,Whittlesea (C)
27170,2040,3342,3132,2374,2210,1628,1739,2041,303,18806,Wodonga (C)
27260,6630,9777,7198,6884,7150,6953,9985,6186,1138,61904,Wyndham (C)
27350,13290,27862,7703,6848,10931,7207,2264,3665,1327,81102,Yarra (C)
27450,5098,6502,6321,5301,4451,4469,2139,4661,608,39545,Yarra Ranges (S)
27630,778,322,255,333,203,157,168,297,40,2556,Yarriambiack (S)
29399,316,117,223,576,140,233,291,239,43,2186,Unincorporated Vic
30250,19,61,43,67,25,17,9,26,13,282,Aurukun (S)
30300,542,262,211,193,215,156,170,328,29,2109,Balonne (S)
30370,1519,791,1482,493,727,483,1379,1148,121,8153,Banana (S)
30410,418,182,137,122,138,75,95,261,26,1451,Barcaldine (R)
30450,48,9,46,8,19,3,29,44,0,209,Barcoo (S)
30760,240,77,74,87,79,75,61,143,15,855,Blackall-Tambo (R)
34710,376,320,242,213,244,151,109,218,38,1916,Longreach (R)
34770,5195,7326,8117,4473,6160,4732,4095,4861,751,45703,Mackay (R)
34800,209,118,289,36,65,14,340,137,21,1219,McKinlay (S)
34830,7,25,13,7,17,4,3,5,0,84,Mapoon (S)
34860,1543,947,1068,557,809,459,719,830,119,7045,Maranoa (R)
34880,1279,997,882,1023,833,657,433,1142,135,7374,Mareeba (S)
35010,11934,19360,15976,15551,14458,14228,6851,12893,1716,112981,Moreton Bay (R)
35250,23,67,49,93,27,16,20,46,8,347,Mornington (S)
35300,746,1498,2052,882,974,646,1427,817,171,9214,Mount Isa (C)
35600,413,309,216,208,204,140,100,371,34,1983,Murweh (S)
35670,20,45,45,38,13,7,34,22,5,221,Napranum (S)
35740,2724,3465,2938,2805,2441,2706,646,2109,301,20130,Noosa (S)
35760,1093,398,407,389,377,266,359,1008,84,4378,North Burnett (R)
35780,91,127,109,166,100,56,49,103,21,825,Northern Peninsula Area (R)
35790,43,123,69,168,56,20,19,72,13,585,Palm Island (S)
35800,249,79,73,70,63,30,51,102,18,732,Paroo (S)
36070,27,34,29,48,14,13,13,30,5,216,Pormpuraaw (S)
36150,120,45,67,42,44,19,49,76,7,473,Quilpie (S)
36250,4475,7172,5537,5688,5248,5259,1926,4698,572,40572,Redland (C)
36300,113,63,130,73,72,69,68,123,22,732,Richmond (S)
36370,3655,6664,5477,4535,5274,3920,2524,4041,491,36580,Rockhampton (R)
36510,2143,1801,1629,1678,1380,1013,727,1820,161,12367,Scenic Rim (R)
36580,1057,715,769,620,556,468,523,1302,88,6099,Somerset (R)
17100,2948,3957,2314,1098,4064,2353,2511,2074,475,21800,Strathfield (A)
17150,7993,13818,9083,8941,9149,8572,2638,5246,991,66430,Sutherland Shire (A)
17200,88560,191387,33290,32611,84265,33305,6931,18039,10032,498425,Sydney (C)
17310,3309,4607,3329,2740,3095,2574,1493,3554,399,25106,Tamworth Regional (A)
17350,538,347,294,232,260,233,140,256,27,2336,Temora (A)
22310,4251,11118,4208,5559,4843,3509,750,2387,538,37174,Glen Eira (C)
22410,1284,1060,1057,828,730,658,964,1045,138,7768,Glenelg (S)
22490,772,431,466,298,330,236,210,526,52,3323,Golden Plains (S)
22620,4990,9608,6057,5362,5974,4992,2618,4798,652,45051,Greater Bendigo (C)
22670,12345,14667,14155,6450,14156,8305,13690,11035,1898,96693,Greater Dandenong (C)
36630,1790,1489,1456,1341,1139,1019,875,1746,199,11060,South Burnett (R)
36660,2204,1647,1647,1455,1466,1252,1057,2357,220,13305,Southern Downs (R)
36720,12915,21892,15548,13982,15690,13290,4952,10977,1600,110852,Sunshine Coast (R)
36820,1464,1302,1012,1016,981,845,519,1310,131,8571,Tablelands (R)
36910,8597,13382,9750,7893,9743,6516,4586,8017,859,69344,Toowoomba (R)
36950,169,357,178,245,223,78,43,160,50,1503,Torres (S)
36960,81,220,139,159,127,58,27,145,41,1003,Torres Strait Island (R)
37010,8056,16045,11363,12399,11591,8096,5366,7600,1194,81713,Townsville (C)
30900,48,8,26,18,14,7,32,81,5,240,Boulia (S)
31000,91809,189772,78408,72104,117973,60436,40031,52107,11574,714220,Brisbane (C)
31750,54,18,70,12,32,3,41,40,6,283,Bulloo (S)
31820,3845,4945,3984,3833,3900,3519,2194,4660,469,31342,Bundaberg (R)
31900,1308,862,999,671,831,595,805,1221,105,7394,Burdekin (S)
31950,21,18,19,11,26,4,14,30,4,148,Burke (S)
32080,7591,13379,9170,9413,9423,7634,3394,6349,1104,67459,Cairns (R)
32250,138,118,123,112,94,25,45,195,17,860,Carpentaria (S)
32260,1797,1334,1448,1188,1212,989,977,2376,194,11512,Cassowary Coast (R)
32270,2070,1635,3265,930,1471,1015,3838,1633,232,16101,Central Highlands (R) (Qld)
32310,677,660,584,483,419,375,402,617,65,4273,Charters Towers (R)
34580,1695,1509,1220,1189,1132,983,988,2309,162,11199,Lockyer Valley (R)
34590,9861,14925,12098,10682,12234,11194,6750,9834,1512,89093,Logan (C)
32330,23,78,22,79,35,0,7,38,9,291,Cherbourg (S)
32450,295,417,738,118,245,86,726,360,49,3022,Cloncurry (S)
32500,307,406,559,256,218,98,635,337,50,2868,Cook (S)
32600,27,3,13,16,8,6,10,23,5,112,Croydon (S)
37300,109,213,229,137,139,95,78,132,9,1157,Weipa (T)
37310,3025,1982,3028,1232,1722,1220,1716,2044,278,16242,Western Downs (R)
37340,2115,1708,2424,1746,1549,1417,1495,2408,239,15102,Whitsunday (R)
32750,35,11,45,17,18,7,11,44,3,184,Diamantina (S)
41140,874,581,499,405,478,366,230,631,49,4114,Clare and Gilbert Valleys (DC)
41060,4537,7558,5819,4966,4945,4690,2835,3958,567,39879,Charles Sturt (C)
32770,24,57,38,96,31,18,8,48,16,332,Doomadgee (S)
32810,848,644,856,896,574,584,284,799,98,5585,Douglas (S)
33100,126,26,38,25,39,9,32,75,5,379,Etheridge (S)
33200,259,61,72,51,77,46,83,144,16,802,Flinders (S) (Qld)
33220,3001,4984,3768,4525,3845,3434,1743,3389,439,29137,Fraser Coast (R)
33360,2564,3747,5575,2434,2886,2280,3256,3373,471,26594,Gladstone (R)
33430,28449,43355,32110,29066,33170,29713,12591,23118,3949,235525,Gold Coast (C)
33610,1019,549,576,445,538,400,450,720,70,4761,Goondiwindi (R)
33620,2207,2281,2107,1863,1812,1702,1212,2249,267,15698,Gympie (R)
33800,686,557,640,494,491,383,431,565,60,4307,Hinchinbrook (S)
33830,26,50,59,46,27,3,50,42,12,317,Hope Vale (S)
33960,6197,11237,8266,8546,7353,6570,5064,7978,1096,62312,Ipswich (C)
33980,1682,1574,5234,778,1064,496,7343,1566,289,20036,Isaac (R)
34420,30,40,39,67,21,9,9,29,10,260,Kowanyama (S)
34530,1146,1238,1288,1305,1092,880,449,1354,127,8883,Livingstone (S)
34570,13,28,17,41,12,4,12,48,12,199,Lockhart River (S)
37400,169,55,84,54,54,31,45,92,8,581,Winton (S)
41750,201,44,34,36,39,20,20,71,4,460,Elliston (DC)
37550,31,39,18,75,28,10,11,41,13,264,Woorabinda (S)
65810,554,633,526,491,374,383,226,525,57,3762,West Tamar (M)
37570,7,14,15,28,14,0,6,17,6,104,Wujal Wujal (S)
37600,44,116,36,113,46,12,7,49,28,446,Yarrabah (S)
64810,364,302,338,290,223,383,171,404,36,2521,Sorell (M)
40070,14569,40807,7813,11779,27032,7293,1185,5150,1980,117609,Adelaide (C)
40120,1591,1798,1409,1231,1046,827,497,1324,117,9836,Adelaide Hills (DC)
40220,1179,918,859,904,670,626,350,953,86,6542,Alexandrina (DC)
40250,91,199,30,152,33,30,23,57,20,624,Anangu Pitjantjatjara (AC)
40310,1444,1406,1352,1063,1145,862,703,2008,123,10098,Barossa (DC)
40430,259,61,51,87,62,29,59,100,14,720,Barunga West (DC)
40520,633,806,583,605,573,416,236,622,57,4530,Berri and Barmera (DC)
40700,2093,5057,1469,2136,2908,1739,221,889,242,16760,Burnside (C)
40910,945,2040,1290,1548,1054,1110,455,909,127,9483,Campbelltown (C) (SA)
41010,311,208,152,238,169,131,116,209,41,1575,Ceduna (DC)
41190,292,77,96,59,80,51,54,110,23,827,Cleve (DC)
41330,102,93,79,122,79,55,45,79,25,677,Coober Pedy (DC)
41560,534,637,625,579,522,590,243,560,67,4365,Copper Coast (DC)
41830,121,69,69,66,45,36,21,81,3,505,Flinders Ranges (DC)
41960,143,50,53,49,40,36,30,59,9,454,Franklin Harbour (DC)
42030,629,1203,737,1047,785,1050,222,750,69,6484,Gawler (T)
42110,432,144,184,93,114,62,71,200,31,1339,Goyder (DC)
42250,594,170,235,170,199,37,328,501,28,2263,Grant (DC)
42600,1345,2126,1588,2628,1435,1593,218,1260,149,12348,Holdfast Bay (C)
42750,526,246,227,245,190,199,92,308,26,2048,Kangaroo Island (DC)
43080,216,55,42,33,28,16,21,67,3,468,Karoonda East Murray (DC)
43220,207,51,47,40,50,35,36,60,6,535,Kimba (DC)
43360,269,91,93,78,77,99,34,160,10,916,Kingston (DC) (SA)
43650,919,693,709,384,520,246,464,825,86,4843,Light (RegC)
43710,493,150,195,144,132,78,91,184,22,1494,Lower Eyre Peninsula (DC)
43790,942,472,527,424,453,326,308,964,69,4486,Loxton Waikerie (DC)
43920,460,99,240,78,158,87,225,573,49,1961,Mallala (DC)
44000,0,3,0,0,0,0,0,0,0,9,Maralinga Tjarutja (AC)
44060,2363,3933,2809,3501,2922,2823,1070,2006,282,21697,Marion (C)
44210,584,216,276,275,185,169,141,467,40,2351,Mid Murray (DC)
44340,2396,10064,3033,3376,3399,2113,615,2183,295,27474,Mitcham (C)
44550,1319,1760,1379,1452,1164,1454,605,1208,139,10480,Mount Barker (DC)
44620,1175,2030,1773,1633,1637,1759,1095,1361,171,12634,Mount Gambier (C)
44830,356,93,82,68,62,27,38,100,13,839,Mount Remarkable (DC)
45040,1053,1075,1075,1133,859,948,636,2052,156,8994,Murray Bridge (RC)
45090,908,468,478,322,403,435,219,789,46,4057,Naracoorte and Lucindale (DC)
45120,533,199,200,134,158,133,119,225,16,1728,Northern Areas (DC)
45290,2975,5781,2871,2607,3589,2700,434,1775,311,23048,Norwood Payneham St Peters (C)
45340,4171,6341,5449,5492,4088,5216,2008,4472,494,37728,Onkaparinga (C)
45400,129,35,31,50,26,21,3,62,15,377,Orroroo/Carrieton (DC)
45540,110,60,49,73,29,33,26,87,10,474,Peterborough (DC)
45680,2725,4965,2367,3437,2220,2835,1617,3670,421,24249,Playford (C)
45890,7291,7930,10218,6894,7530,6109,8454,7652,1077,63157,Port Adelaide Enfield (C)
46090,503,882,580,993,732,572,392,622,107,5389,Port Augusta (C)
46300,680,1113,948,808,886,833,337,917,108,6625,Port Lincoln (C)
46450,729,1035,986,898,721,738,669,776,108,6652,Port Pirie City and Dists (M)
46510,676,1180,760,760,758,852,117,541,81,5735,Prospect (C)
46670,651,363,408,322,347,391,349,919,75,3825,Renmark Paringa (DC)
46860,184,32,75,54,48,66,17,137,19,632,Robe (DC)
46970,144,280,630,161,178,106,500,189,51,2233,Roxby Downs (M)
47140,5122,7855,6577,5070,5306,4177,4837,5553,822,45320,Salisbury (C)
47290,367,69,101,71,69,71,87,145,11,989,Southern Mallee (DC)
47490,236,93,112,64,84,78,48,128,19,856,Streaky Bay (DC)
47630,882,319,411,192,320,261,234,750,60,3426,Tatiara (DC)
47700,1934,3880,2802,3314,2224,3574,994,2297,262,21274,Tea Tree Gully (C)
47800,697,197,170,149,163,164,115,358,20,2034,The Coorong (DC)
47910,320,90,84,54,69,54,67,118,12,885,Tumby Bay (DC)
47980,2572,5373,1952,3189,2891,1655,276,1223,258,19383,Unley (C)
48050,511,739,558,736,561,587,144,508,53,4396,Victor Harbor (C)
48130,668,252,267,229,218,144,217,646,49,2689,Wakefield (DC)
51960,132,286,492,72,118,61,660,177,38,2043,Coolgardie (S)
52030,148,18,32,19,33,11,33,73,3,373,Coorow (S)
48260,268,724,229,378,285,210,19,190,44,2350,Walkerville (M)
48340,1030,480,538,405,406,328,430,905,61,4587,Wattle Range (DC)
48410,5556,7076,6352,4077,6966,4391,3513,4316,675,42916,West Torrens (C)
48540,534,1159,1159,921,755,781,849,828,149,7135,Whyalla (C)
48640,215,72,61,43,47,46,32,102,8,637,Wudinna (DC)
48750,352,146,181,159,124,148,60,209,27,1409,Yankalilla (DC)
48830,1060,431,417,384,342,270,244,498,70,3714,Yorke Peninsula (DC)
49399,617,557,1688,224,261,90,1689,583,121,5831,Unincorporated SA
50080,1898,2617,2095,2071,1808,1629,842,1637,228,14818,Albany (C)
50210,1638,3514,2511,2443,1986,2327,1006,1943,237,17605,Armadale (C)
50250,1257,2177,9039,550,1046,175,4963,3825,416,23446,Ashburton (S)
50280,1083,810,848,692,596,626,246,856,93,5849,Augusta-Margaret River (S)
