LGA_MAIN11,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families,LGA_NAME11
16380,5907,608,369,59,0,6,55,7004,Port Macquarie-Hastings (A)
16400,5943,600,394,64,11,12,53,7077,Port Stephens (A)
16470,4156,365,215,29,3,7,17,4792,Queanbeyan (C)
16550,12350,659,266,90,0,6,38,13409,Randwick (C)
16610,1831,170,133,21,0,4,32,2191,Richmond Valley (A)
16650,11070,587,233,123,4,3,32,12052,Rockdale (C)
16700,12316,544,196,130,10,11,21,13228,Ryde (C)
16900,6949,684,419,90,7,17,60,8226,Shellharbour (C)
16950,7346,687,478,86,5,19,97,8718,Shoalhaven (C)
17000,2590,200,167,22,0,3,19,3001,Singleton (A)
17050,669,36,25,4,0,4,0,738,Snowy River (A)
18020,782,52,42,8,5,3,16,908,Warrumbungle Shire (A)
40120,4840,397,171,15,4,0,12,5439,Adelaide Hills (DC)
40220,1953,173,142,22,4,3,11,2308,Alexandrina (DC)
40310,2410,202,121,9,4,3,15,2764,Barossa (DC)
40430,191,12,6,0,0,0,0,209,Barunga West (DC)
40520,891,92,65,5,0,0,10,1063,Berri and Barmera (DC)
17700,105,6,7,0,0,0,0,118,Urana (A)
17750,5643,463,340,43,3,3,42,6537,Wagga Wagga (C)
18710,1731,123,102,15,0,5,8,1984,Yass Valley (A)
18750,1144,89,72,12,0,3,8,1328,Young (A)
19399,113,5,0,5,0,0,0,123,Unincorporated NSW
19499,0,0,0,0,0,0,0,0,
20110,1077,65,56,3,0,0,7,1208,Alpine (S)
20260,929,86,61,3,0,4,3,1086,Ararat (RC)
20570,8547,713,428,59,3,9,45,9804,Ballarat (C)
20660,13952,813,365,95,4,6,28,15263,Banyule (C)
20740,2343,225,146,15,0,4,15,2748,Bass Coast (S)
20830,4329,342,240,38,6,4,25,4984,Baw Baw (S)
20910,11636,669,239,45,3,3,14,12609,Bayside (C)
21010,1124,105,64,6,0,5,10,1314,Benalla (RC)
21110,19724,981,339,132,0,9,33,21218,Boroondara (C)
21180,21700,1250,585,379,23,34,90,24061,Brimbank (C)
21270,579,50,28,3,0,0,4,664,Buloke (S)
21370,3330,288,189,23,5,6,23,3864,Campaspe (S)
21450,8589,865,563,55,6,15,39,10132,Cardinia (S)
21610,32632,2406,1576,433,24,32,111,37214,Casey (C)
21670,964,87,70,12,0,0,10,1143,Central Goldfields (S)
21750,1851,151,115,18,0,0,10,2145,Colac-Otway (S)
21830,1634,100,95,5,0,4,8,1846,Corangamite (S)
21890,14004,697,293,99,3,12,34,15142,Darebin (C)
22110,3340,323,198,39,5,4,33,3942,East Gippsland (S)
22170,12409,1433,790,102,13,18,54,14819,Frankston (C)
22250,910,58,45,3,0,0,7,1023,Gannawarra (S)
22830,5970,437,309,41,7,3,46,6813,Greater Shepparton (C)
22910,1174,101,70,13,3,4,11,1376,Hepburn (S)
22980,521,35,21,3,0,0,5,585,Hindmarsh (S)
23110,9417,598,247,88,0,9,29,10388,Hobsons Bay (C)
23190,1831,122,95,11,3,0,12,2074,Horsham (RC)
23270,21692,1276,756,229,3,22,66,24044,Hume (C)
23350,1499,135,78,8,3,0,11,1734,Indigo (S)
23430,16739,1071,489,135,3,10,31,18478,Kingston (C)
23670,19198,1377,668,141,11,19,38,21452,Knox (C)
23810,6498,661,428,43,7,6,56,7699,Latrobe (C)
23940,612,50,28,3,0,3,4,700,Loddon (S)
24130,5058,361,212,26,0,3,16,5676,Macedon Ranges (S)
24210,15157,717,274,140,0,3,31,16322,Manningham (C)
24250,628,66,16,5,0,0,3,718,Mansfield (S)
24330,6821,417,148,111,3,8,25,7533,Maribyrnong (C)
24410,11982,896,425,64,3,10,23,13403,Maroondah (C)
24600,3700,281,54,30,3,0,15,4083,Melbourne (C)
24650,14091,980,659,105,7,19,49,15910,Melton (S)
24780,4669,386,280,44,4,9,45,5437,Mildura (RC)
24850,3728,317,224,23,3,4,20,4319,Mitchell (S)
24900,2475,236,134,23,4,0,18,2890,Moira (S)
24970,20364,945,356,242,3,10,35,21955,Monash (C)
25060,12375,599,232,76,3,6,21,13312,Moonee Valley (C)
25150,3160,264,182,29,0,3,20,3658,Moorabool (S)
25250,14926,753,308,124,0,7,28,16146,Moreland (C)
25340,13928,1296,707,76,3,11,48,16069,Mornington Peninsula (S)
25430,1469,141,76,12,0,3,7,1708,Mount Alexander (S)
25490,1716,108,87,15,0,3,14,1943,Moyne (S)
25620,1200,116,69,4,4,3,4,1400,Murrindindi (S)
25710,8904,592,262,43,0,5,13,9819,Nillumbik (S)
25810,996,87,65,10,0,4,10,1172,Northern Grampians (S)
25900,5747,443,97,21,0,3,10,6321,Port Phillip (C)
25990,549,56,41,8,0,0,7,661,Pyrenees (S)
26080,242,12,9,0,0,0,0,263,Queenscliffe (B)
26170,2490,225,139,13,0,0,24,2891,South Gippsland (S)
26260,1571,111,62,17,0,0,6,1767,Southern Grampians (S)
26350,8078,437,146,20,3,3,4,8691,Stonnington (C)
26430,731,82,37,9,0,0,3,862,Strathbogie (S)
26490,2983,191,97,13,0,4,6,3294,Surf Coast (S)
26610,1912,123,113,19,5,0,10,2182,Swan Hill (RC)
26670,535,47,25,5,0,0,7,619,Towong (S)
26700,2568,216,140,16,5,0,11,2956,Wangaratta (RC)
26730,3020,209,146,25,0,3,21,3424,Warrnambool (C)
26810,3724,332,244,24,4,0,23,4351,Wellington (S)
26890,413,26,12,0,0,0,5,456,West Wimmera (S)
26980,17956,875,355,139,0,13,26,19364,Whitehorse (C)
27070,20658,1086,685,181,3,19,54,22686,Whittlesea (C)
27170,3426,342,197,26,3,3,17,4014,Wodonga (RC)
27260,20366,1355,841,224,8,22,63,22879,Wyndham (C)
27350,4826,337,114,25,3,6,17,5328,Yarra (C)
27450,16867,1518,892,109,5,15,63,19469,Yarra Ranges (S)
27630,586,48,39,0,0,3,7,683,Yarriambiack (S)
29399,16,0,0,0,0,0,0,16,Unincorporated Vic
29499,0,0,0,0,0,0,0,0,
30250,79,9,11,12,0,8,10,129,Aurukun (S)
30300,468,26,23,11,0,0,6,534,Balonne (S)
30370,1542,103,92,14,0,4,9,1764,Banana (S)
30410,347,11,11,3,0,0,3,375,Barcaldine (R)
30450,30,0,0,0,0,0,0,30,Barcoo (S)
30760,210,16,10,4,0,0,3,243,Blackall Tambo (R)
50280,1173,82,55,6,0,0,9,1325,Augusta-Margaret River (S)
50350,1341,117,68,14,0,4,5,1549,Bassendean (T)
50420,5843,460,197,51,6,6,36,6599,Bayswater (C)
50490,2894,278,125,40,3,0,19,3359,Belmont (C)
22750,20845,1699,935,122,6,20,78,23705,Greater Geelong (C)
51820,10549,824,463,87,9,15,42,11989,Cockburn (C)
51890,816,110,58,9,0,0,11,1004,Collie (S)
36710,28393,2859,1578,181,13,22,128,33174,Sunshine Coast (R)
51400,1783,125,124,21,3,0,7,2063,Capel (S)
51470,52,5,0,0,3,0,0,60,Carnamah (S)
51540,458,30,32,15,0,0,12,547,Carnarvon (S)
52240,99,9,3,0,0,0,3,114,Cranbrook (S)
34800,81,3,0,0,0,0,0,84,McKinlay (S)
53080,58,12,3,0,0,0,0,73,Dundas (S)
53220,601,50,60,33,12,6,13,775,East Pilbara (S)
53290,1304,111,80,8,0,0,15,1518,Esperance (S)
53360,216,17,9,3,0,0,0,245,Exmouth (S)
53430,2138,205,100,17,3,3,5,2471,Fremantle (C)
53920,163,13,18,40,8,9,17,268,Halls Creek (S)
54410,109,4,12,0,0,0,0,125,Kellerberrin (S)
54480,64,3,3,0,0,0,0,70,Kent (S)
54550,196,13,10,0,0,0,5,224,Kojonup (S)
55110,5743,699,438,49,5,17,53,7004,Mandurah (C)
56580,2760,124,50,9,0,0,6,2949,Nedlands (C)
40250,160,9,14,30,5,5,15,238,Anangu Pitjantjatjara (AC)
41140,802,68,39,5,0,3,7,924,Clare and Gilbert Valleys (DC)
55880,57,0,4,0,0,0,0,61,Mount Marshall (S)
41560,966,109,63,12,0,0,10,1160,Copper Coast (DC)
47910,229,13,15,0,0,0,0,257,Tumby Bay (DC)
56230,1271,130,101,11,0,4,11,1528,Murray (S)
56300,94,7,4,0,0,0,3,108,Nannup (S)
57140,95,11,3,0,0,3,0,112,Pingelly (S)
57210,437,25,20,5,0,0,3,490,Plantagenet (S)
57280,1185,121,75,21,3,10,6,1421,Port Hedland (T)
57350,75,6,6,3,0,0,0,90,Quairading (S)
57420,191,16,12,3,0,0,0,222,Ravensthorpe (S)
48830,791,68,35,10,0,0,5,909,Yorke Peninsula (DC)
56790,276,13,7,5,0,0,5,306,Northampton (S)
56860,23,0,0,0,0,0,0,23,Nungarin (S)
65810,2230,198,124,11,0,0,13,2576,West Tamar (M)
69399,0,0,0,0,0,0,0,0,
69499,0,0,0,0,0,0,0,0,
57700,2134,206,121,26,0,5,12,2504,Serpentine-Jarrahdale (S)
57770,59,9,3,0,0,0,4,75,Shark Bay (S)
57840,3516,266,67,21,0,3,8,3881,South Perth (C)
57910,19084,1229,563,184,11,19,63,21153,Stirling (C)
57980,1456,100,23,5,0,0,4,1588,Subiaco (C)
58050,12329,1095,703,161,13,20,72,14393,Swan (C)
58190,43,3,0,3,0,0,0,49,Tammin (S)
58260,50,5,0,0,0,0,4,59,Three Springs (S)
73600,417,30,27,92,12,12,31,621,Roper Gulf (S)
74050,205,17,9,26,3,7,14,281,Tiwi Islands (S)
79399,745,58,42,10,0,0,0,855,Unincorporated NT
58510,2367,214,76,19,0,3,9,2688,Victoria Park (T)
62210,576,58,50,9,0,0,4,697,George Town (M)
58610,164,7,14,3,0,0,3,191,Wagin (S)
58680,55,0,3,0,0,0,0,58,Wandering (S)
58760,18496,1491,1103,215,10,31,78,21424,Wanneroo (C)
58820,338,30,20,3,0,0,0,391,Waroona (S)
58890,96,5,4,0,0,0,3,108,West Arthur (S)
79499,0,0,0,0,0,0,0,0,
89399,38009,3063,1583,345,25,42,129,43196,Unincorporated ACT
89499,0,0,0,0,0,0,0,0,
99399,261,12,8,5,0,0,8,294,Unincorp. Other Territories
99499,0,0,0,0,0,0,0,0,
18350,4156,326,236,24,0,9,28,4779,Wingecarribee (A)
18400,5418,398,317,65,8,13,31,6250,Wollondilly (A)
18450,20014,1480,911,166,15,25,104,22715,Wollongong (C)
18500,4685,275,96,14,0,0,6,5076,Woollahra (A)
18550,13362,1521,1057,170,20,22,138,16290,Wyong (A)
17900,435,35,26,21,0,8,9,534,Walgett (A)
17950,254,19,5,4,5,0,3,290,Warren (A)
18000,17715,1060,461,125,11,6,22,19400,Warringah (A)
59250,20,3,4,0,0,0,3,30,Wiluna (S)
59320,42,3,3,0,0,0,0,48,Woodanilling (S)
59330,45,0,0,0,0,0,0,45,Wyalkatchem (S)
59340,508,37,27,35,6,7,21,641,Wyndham-East Kimberley (S)
59350,12,0,0,0,0,0,3,15,Yalgoo (S)
59399,0,0,0,0,0,0,0,0,
11250,1343,154,109,13,0,3,17,1639,Broken Hill (C)
70540,9,0,0,4,0,0,3,16,Belyuen (S)
13320,2306,235,131,20,0,8,36,2736,Great Lakes (A)
13340,1021,66,54,3,0,0,15,1159,Greater Hume Shire (A)
13380,3542,359,263,59,9,8,53,4293,Greater Taree (C)
13450,2680,155,103,25,4,4,22,2993,Griffith (C)
13500,357,35,21,3,0,0,3,419,Gundagai (A)
13550,1126,103,62,9,4,0,15,1319,Gunnedah (A)
10050,4317,371,231,34,5,3,34,4995,Albury (C)
10110,1996,156,93,17,6,7,13,2288,Armidale Dumaresq (A)
12050,861,74,53,7,3,3,3,1004,Cooma-Monaro (A)
12150,311,12,14,10,0,0,9,356,Coonamble (A)
12200,596,56,27,6,4,0,9,698,Cootamundra (A)
12300,912,79,73,5,0,0,11,1080,Corowa Shire (A)
12350,1031,93,62,8,0,5,6,1205,Cowra (A)
18050,5667,327,97,27,0,0,7,6125,Waverley (A)
18100,322,19,20,3,0,0,3,367,Weddin (A)
18150,669,41,44,11,3,0,18,786,Wellington (A)
18200,595,37,52,10,0,0,13,707,Wentworth (A)
18250,8491,392,117,67,0,0,19,9086,Willoughby (C)
10150,4277,200,70,47,3,4,13,4614,Ashfield (A)
10200,8818,429,164,172,0,8,37,9628,Auburn (C)
10250,3411,321,190,34,0,0,22,3978,Ballina (A)
10300,229,17,5,0,0,5,3,259,Balranald (A)
10350,22531,1121,628,332,14,28,62,24716,Bankstown (C)
10470,3526,331,203,33,4,8,23,4128,Bathurst Regional (A)
10550,2589,246,154,21,0,5,33,3048,Bega Valley (A)
10600,1021,108,82,4,0,0,7,1222,Bellingen (A)
10650,640,50,43,3,0,3,5,744,Berrigan (A)
10750,38281,2282,1590,663,47,50,176,43089,Blacktown (C)
10800,551,43,38,9,0,3,9,653,Bland (A)
10850,690,50,45,11,0,0,4,800,Blayney (A)
10900,8007,705,396,55,3,6,48,9220,Blue Mountains (C)
10950,269,17,23,8,0,0,0,317,Bogan (A)
11000,203,17,16,0,0,0,3,239,Bombala (A)
11050,212,14,16,3,0,0,3,248,Boorowa (A)
11100,4554,251,121,61,4,0,11,5002,Botany Bay (C)
11150,223,13,11,8,3,0,3,261,Bourke (A)
11200,118,6,7,12,0,0,8,151,Brewarrina (A)
17800,354,25,13,4,0,0,3,399,Wakool (A)
17850,287,8,16,4,0,0,4,319,Walcha (A)
11300,3576,162,70,48,4,5,7,3872,Burwood (A)
11350,2472,216,129,12,3,5,17,2854,Byron (A)
11400,1342,104,73,9,4,0,14,1546,Cabonne (A)
11450,7364,589,420,69,6,10,35,8493,Camden (A)
11500,16351,1281,893,309,21,36,122,19013,Campbelltown (C)
11520,8832,455,161,71,3,9,14,9545,Canada Bay (A)
11550,17017,836,403,233,8,12,38,18547,Canterbury (C)
11600,248,17,16,4,0,0,3,288,Carrathool (A)
11700,132,10,6,7,0,4,3,162,Central Darling (A)
11720,4712,496,383,78,11,14,60,5754,Cessnock (C)
11730,3871,364,292,58,3,20,46,4654,Clarence Valley (A)
11750,417,34,40,4,0,0,4,499,Cobar (A)
11800,5884,586,372,67,3,9,53,6974,Coffs Harbour (C)
11860,180,8,10,6,0,0,0,204,Conargo (A)
12000,379,28,24,6,0,0,5,442,Coolamon (A)
12500,571,49,31,9,0,5,3,668,Deniliquin (A)
12600,3656,301,226,51,4,8,45,4291,Dubbo (C)
12700,849,65,51,12,0,0,7,984,Dungog (A)
12750,2471,284,167,33,0,11,26,2992,Eurobodalla (A)
12850,23322,1244,646,495,23,32,94,25856,Fairfield (C)
12900,764,59,42,9,0,3,17,894,Forbes (A)
12950,371,21,27,7,0,0,12,438,Gilgandra (A)
13010,650,61,39,7,0,0,8,765,Glen Innes Severn (A)
13050,405,16,23,3,0,0,7,454,Gloucester (A)
13100,16059,1450,896,131,12,17,89,18654,Gosford (C)
13310,2346,298,174,29,5,4,33,2889,Goulburn Mulwaree (A)
17100,4334,166,63,52,0,5,12,4632,Strathfield (A)
17150,26972,1671,829,152,5,21,59,29709,Sutherland Shire (A)
17200,6865,525,108,44,3,4,29,7578,Sydney (C)
17310,5045,473,297,50,4,11,49,5929,Tamworth Regional (A)
17350,526,32,31,4,0,0,4,597,Temora (A)
17400,488,46,47,4,0,0,6,591,Tenterfield (A)
17420,25708,1257,681,243,6,18,53,27966,The Hills Shire (A)
17450,267,33,12,3,0,0,3,318,Tumbarumba (A)
17500,1045,101,72,5,3,0,7,1233,Tumut Shire (A)
17550,6941,717,420,90,10,13,48,8239,Tweed (A)
17620,1365,100,83,8,0,0,16,1572,Upper Hunter Shire (A)
17640,685,37,49,4,0,4,4,783,Upper Lachlan Shire (A)
17650,621,42,29,10,0,0,7,709,Uralla (A)
22310,15463,773,266,70,3,5,18,16598,Glen Eira (C)
22410,1793,153,104,10,0,0,20,2080,Glenelg (S)
22490,2307,184,134,18,3,7,5,2658,Golden Plains (S)
22620,9408,842,551,67,4,15,37,10924,Greater Bendigo (C)
22670,15114,908,445,323,11,22,61,16884,Greater Dandenong (C)
30900,34,0,3,9,0,0,0,46,Boulia (S)
31000,106232,7921,3711,990,47,101,332,119334,Brisbane (C)
36070,41,3,4,4,3,3,3,61,Pormpuraaw (S)
36150,87,7,4,3,0,0,3,104,Quilpie (S)
36250,15476,1490,863,131,7,26,54,18047,Redland (C)
36300,84,0,3,0,0,0,3,90,Richmond (S)
36360,9965,968,651,130,12,18,87,11831,Rockhampton (R)
36510,3522,317,252,34,0,6,20,4151,Scenic Rim (R)
36580,1941,225,186,19,4,10,22,2407,Somerset (R)
36630,2531,253,223,36,3,6,32,3084,South Burnett (R)
36660,2976,266,202,35,0,0,31,3510,Southern Downs (R)
31750,33,4,4,0,0,0,0,41,Bulloo (S)
31820,7387,781,546,59,10,13,55,8851,Bundaberg (R)
31900,1728,133,90,15,0,0,15,1981,Burdekin (S)
31950,25,3,3,0,0,0,0,31,Burke (S)
32070,13834,1313,855,188,12,29,103,16334,Cairns (R)
32250,113,12,6,9,4,4,14,162,Carpentaria (S)
32260,2455,197,148,21,0,0,25,2846,Cassowary Coast (R)
32270,3165,219,241,28,0,7,25,3685,Central Highlands (R)
32310,1052,89,86,18,0,0,12,1257,Charters Towers (R)
36810,3542,326,216,73,8,7,44,4216,Tablelands (R)
36910,14382,1189,845,144,12,18,102,16692,Toowoomba (R)
36950,245,26,25,29,4,0,6,335,Torres (S)
36960,326,18,27,50,5,5,18,449,Torres Strait Island (R)
37010,16437,1707,1170,220,28,30,132,19724,Townsville (C)
50560,123,7,12,0,0,0,4,146,Beverley (S)
50630,164,23,17,0,0,0,0,204,Boddington (S)
50770,152,7,12,0,0,0,3,174,Boyup Brook (S)
50840,382,29,22,3,0,0,3,439,Bridgetown-Greenbushes (S)
50910,83,9,5,3,0,0,3,103,Brookton (S)
50980,1196,106,83,40,4,8,28,1465,Broome (S)
51080,121,9,3,4,3,0,0,140,Broomehill-Tambellup (S)
51120,84,3,7,4,0,0,0,98,Bruce Rock (S)
51190,2488,278,175,29,0,4,21,2995,Bunbury (C)
51260,2997,268,167,13,3,3,9,3460,Busselton (S)
51310,3196,182,69,12,0,0,6,3465,Cambridge (T)
51330,9545,636,268,135,3,13,36,10636,Canning (C)
32330,66,6,11,14,3,0,4,104,Cherbourg (S)
32450,225,15,10,8,5,0,11,274,Cloncurry (S)
32500,229,17,20,16,0,0,12,294,Cook (S)
32600,28,3,3,0,0,0,0,34,Croydon (S)
37300,338,37,27,4,0,0,3,409,Weipa (T)
37310,3002,218,201,30,4,0,27,3482,Western Downs (R)
37340,2552,240,151,22,4,8,16,2993,Whitsunday (R)
51610,141,8,8,0,0,0,3,160,Chapman Valley (S)
32750,24,0,0,0,0,0,0,24,Diamantina (S)
41750,114,5,3,0,0,0,3,125,Elliston (DC)
32770,102,4,5,25,0,6,8,150,Doomadgee (S)
33100,85,6,4,0,0,0,0,95,Etheridge (S)
33200,152,7,16,3,0,0,3,181,Flinders (S)
33220,7381,810,572,86,16,13,76,8954,Fraser Coast (R)
33360,6014,683,462,66,0,14,37,7276,Gladstone (R)
33430,46288,4648,2610,386,37,73,211,54253,Gold Coast (C)
33610,1027,69,68,8,0,0,11,1183,Goondiwindi (R)
33620,3742,366,303,42,3,11,38,4505,Gympie (R)
33800,1111,80,65,12,0,4,10,1282,Hinchinbrook (S)
33830,72,4,10,10,0,3,3,102,Hope Vale (S)
33960,16618,1844,1297,239,23,43,117,20181,Ipswich (C)
33980,2535,186,180,16,0,0,14,2931,Isaac (R)
34420,64,4,13,9,0,4,8,102,Kowanyama (S)
34570,15,3,3,13,0,0,0,34,Lockhart River (S)
34580,3132,282,272,36,3,12,34,3771,Lockyer Valley (R)
34590,28664,3186,2287,511,52,63,220,34983,Logan (C)
34710,388,27,27,6,0,0,0,448,Longreach (R)
34770,11868,1107,791,111,19,21,70,13987,Mackay (R)
34830,17,0,0,0,0,0,0,17,Mapoon (S)
34860,1255,97,85,19,0,0,17,1473,Maranoa (R)
35010,39504,4134,2849,347,31,63,205,47133,Moreton Bay (R)
35250,67,3,12,13,5,3,4,107,Mornington (S)
35300,1796,196,145,46,8,5,21,2217,Mount Isa (C)
35600,433,40,19,12,0,3,3,510,Murweh (S)
35670,53,7,4,12,0,5,3,84,Napranum (S)
35760,848,69,53,5,0,0,5,980,North Burnett (R)
35780,180,9,15,27,5,0,4,240,Northern Peninsula Area (R)
35790,118,14,11,17,7,13,11,191,Palm Island (S)
35800,138,10,15,4,0,0,3,170,Paroo (S)
37400,115,16,5,4,0,0,0,140,Winton (S)
37550,39,11,11,8,0,0,4,73,Woorabinda (S)
51960,350,41,32,12,0,0,4,439,Coolgardie (S)
52030,77,12,6,3,0,0,0,98,Coorow (S)
37570,18,6,4,4,0,0,0,32,Wujal Wujal (S)
37600,143,5,9,27,3,0,10,197,Yarrabah (S)
39399,0,0,0,0,0,0,0,0,
39499,0,0,0,0,0,0,0,0,
54280,2998,290,204,52,0,7,25,3576,Kalgoorlie/Boulder (C)
40070,651,53,17,3,0,0,0,724,Adelaide (C)
40700,4655,278,107,25,0,0,11,5076,Burnside (C)
40910,5452,339,171,31,0,0,9,6002,Campbelltown (C)
41010,271,32,18,9,0,7,10,347,Ceduna (DC)
41060,10366,803,353,66,4,8,43,11643,Charles Sturt (C)
41190,163,5,14,0,0,3,0,185,Cleve (DC)
41330,96,16,9,3,0,0,3,127,Coober Pedy (DC)
41830,129,16,3,0,4,0,0,152,Flinders Ranges (DC)
41960,116,8,5,0,0,0,0,129,Franklin Harbour (DC)
42030,1878,215,114,18,0,0,10,2235,Gawler (T)
42110,350,38,13,8,0,0,3,412,Goyder (DC)
42250,913,52,51,7,0,3,7,1033,Grant (DC)
42600,2981,258,88,8,0,3,9,3347,Holdfast Bay (C)
42750,371,29,16,3,0,0,0,419,Kangaroo Island (DC)
43080,104,5,7,0,0,0,0,116,Karoonda East Murray (DC)
43220,124,4,0,0,0,0,0,128,Kimba (DC)
43360,201,11,6,0,0,0,0,218,Kingston (DC)
43650,1692,151,94,10,0,3,9,1959,Light (RegC)
43710,508,39,41,3,0,0,6,597,Lower Eyre Peninsula (DC)
43790,1048,79,47,11,0,0,6,1191,Loxton Waikerie (DC)
43920,919,104,71,14,0,0,13,1121,Mallala (DC)
44000,5,0,0,0,0,0,0,5,Maralinga Tjarutja (AC)
44060,8189,673,349,60,0,3,27,9301,Marion (C)
44210,603,56,40,10,0,3,11,723,Mid Murray (DC)
44340,7256,544,208,34,6,3,22,8073,Mitcham (C)
44550,3390,277,182,33,4,3,18,3907,Mount Barker (DC)
44620,2172,231,168,21,5,0,24,2621,Mount Gambier (C)
44830,242,20,9,6,0,0,4,281,Mount Remarkable (DC)
45040,1610,189,133,18,0,4,17,1971,Murray Bridge (RC)
45090,819,63,53,0,0,0,5,940,Naracoorte and Lucindale (DC)
45120,420,25,17,3,0,0,7,472,Northern Areas (DC)
45290,3090,203,59,12,0,0,4,3368,Norwood Payneham St Peters (C)
45340,16249,1784,1070,106,16,18,82,19325,Onkaparinga (C)
45400,75,5,3,0,0,0,0,83,Orroroo/Carrieton (DC)
45540,93,7,3,3,0,3,3,112,Peterborough (DC)
45680,6879,873,616,86,12,26,58,8550,Playford (C)
45890,10068,866,422,129,12,12,67,11576,Port Adelaide Enfield (C)
46090,1119,104,71,15,0,5,21,1335,Port Augusta (C)
46300,1207,117,88,14,0,0,11,1437,Port Lincoln (C)
46450,1444,139,117,19,0,3,14,1736,Port Pirie City and Dists (M)
46510,2272,112,40,11,0,4,8,2447,Prospect (C)
46670,814,77,49,12,0,0,3,955,Renmark Paringa (DC)
46860,116,7,9,0,0,0,0,132,Robe (DC)
46970,525,42,32,7,0,0,4,610,Roxby Downs (M)
47140,12758,1372,772,187,8,29,72,15198,Salisbury (C)
47290,208,11,8,0,0,3,0,230,Southern Mallee (DC)
47490,197,12,13,0,0,0,0,222,Streaky Bay (DC)
47630,688,44,31,0,5,0,0,768,Tatiara (DC)
47700,10849,974,450,76,3,12,39,12403,Tea Tree Gully (C)
47800,472,45,36,4,0,3,5,565,The Coorong (DC)
47980,3769,251,95,16,0,3,8,4142,Unley (C)
48050,834,80,54,9,0,0,10,987,Victor Harbor (C)
48130,603,55,41,0,0,3,4,706,Wakefield (DC)
48640,143,8,9,0,0,0,0,160,Wudinna (DC)
48750,322,26,23,4,0,0,4,379,Yankalilla (DC)
48260,721,35,11,0,0,3,3,773,Walkerville (M)
