lga_code_2016,median_age_persons,median_mortgage_repay_monthly,median_tot_prsnl_inc_weekly,median_rent_weekly,median_tot_fam_inc_weekly,average_num_psns_per_bedroom,median_tot_hhd_inc_weekly,average_household_size,lga_name16
21370,45,1300,566,200,1349,0.8,1081,2.4,Campaspe (S)
21450,34,1733,678,320,1700,0.8,1494,2.8,Cardinia (S)
21610,33,1733,639,340,1655,0.9,1552,3.1,Casey (C)
21670,50,975,454,195,1001,0.7,774,2.2,Central Goldfields (S)
21750,44,1300,581,211,1362,0.8,1057,2.3,Colac-Otway (S)
21830,45,1083,545,170,1301,0.7,1042,2.4,Corangamite (S)
21890,36,1950,645,339,1784,0.9,1420,2.5,Darebin (C)
22110,49,1278,512,220,1192,0.7,939,2.2,East Gippsland (S)
22170,38,1620,658,306,1649,0.8,1328,2.5,Frankston (C)
22250,49,976,500,150,1188,0.7,909,2.2,Gannawarra (S)
22830,39,1300,590,220,1417,0.8,1160,2.5,Greater Shepparton (C)
22910,49,1300,533,238,1287,0.8,999,2.2,Hepburn (S)
22980,49,780,497,140,1217,0.7,909,2.2,Hindmarsh (S)
23110,38,1900,702,330,1921,0.9,1564,2.6,Hobsons Bay (C)
23190,41,1200,619,200,1408,0.7,1111,2.3,Horsham (RC)
23270,33,1650,529,320,1473,0.9,1377,3.1,Hume (C)
23350,46,1400,642,215,1540,0.8,1261,2.4,Indigo (S)
23430,40,1993,703,351,1938,0.9,1533,2.5,Kingston (C) (Vic.)
23670,39,1733,663,351,1820,0.8,1558,2.7,Knox (C)
23810,40,1200,544,200,1415,0.8,1079,2.3,Latrobe (C) (Vic.)
23940,51,804,465,125,1116,0.8,823,2.2,Loddon (S)
24130,42,1733,701,315,1932,0.8,1631,2.7,Macedon Ranges (S)
24210,43,2040,626,415,1895,0.8,1638,2.8,Manningham (C)
24250,45,1351,591,231,1338,0.7,1074,2.3,Mansfield (S)
24330,33,2000,700,330,1913,1.0,1543,2.5,Maribyrnong (C)
24410,38,1800,694,341,1895,0.8,1541,2.6,Maroondah (C)
24600,29,2000,677,450,2062,1.1,1348,2.0,Melbourne (C)
24650,33,1701,658,300,1683,0.9,1539,3.0,Melton (C)
24780,40,1200,556,210,1340,0.8,1061,2.4,Mildura (RC)
24850,37,1582,655,265,1620,0.8,1388,2.7,Mitchell (S)
24900,46,1226,528,200,1283,0.8,1011,2.4,Moira (S)
24970,36,2000,569,391,1809,0.9,1509,2.7,Monash (C)
25060,38,2000,742,350,2098,0.9,1632,2.5,Moonee Valley (C)
25150,39,1551,633,260,1670,0.8,1387,2.6,Moorabool (S)
25250,34,1950,677,355,1843,0.9,1501,2.5,Moreland (C)
25340,45,1733,631,310,1621,0.8,1275,2.4,Mornington Peninsula (S)
25430,48,1300,546,250,1311,0.8,1001,2.2,Mount Alexander (S)
25490,43,1300,618,180,1486,0.8,1222,2.5,Moyne (S)
25620,47,1400,561,220,1388,0.8,1070,2.3,Murrindindi (S)
25710,40,2000,782,366,2307,0.8,2094,3.0,Nillumbik (S)
25810,48,953,513,170,1257,0.7,938,2.2,Northern Grampians (S)
25900,36,2167,1079,400,2559,1.0,1837,2.0,Port Phillip (C)
25990,49,1080,473,160,1148,0.7,877,2.3,Pyrenees (S)
26080,59,1620,675,300,1571,0.6,1176,2.0,Queenscliffe (B)
26170,46,1300,536,210,1320,0.7,1041,2.4,South Gippsland (S)
26260,45,1082,579,175,1370,0.7,1042,2.3,Southern Grampians (S)
26350,35,2200,1035,400,2680,1.0,1941,2.2,Stonnington (C)
26430,51,1170,546,190,1293,0.7,963,2.2,Strathbogie (S)
26490,41,1842,725,360,1876,0.8,1569,2.6,Surf Coast (S)
26610,40,1127,586,185,1358,0.8,1094,2.4,Swan Hill (RC)
26670,50,1083,537,150,1340,0.7,1037,2.3,Towong (S)
26700,44,1300,599,210,1386,0.7,1086,2.3,Wangaratta (RC)
26730,40,1430,624,250,1503,0.8,1181,2.4,Warrnambool (C)
26810,43,1300,567,210,1409,0.7,1105,2.3,Wellington (S)
26890,47,659,571,80,1302,0.7,991,2.2,West Wimmera (S)
26980,38,2000,616,376,1916,0.9,1502,2.6,Whitehorse (C)
17100,32,2167,677,470,1894,1.1,1777,3.0,Strathfield (A)
17150,40,2427,831,450,2312,0.9,1976,2.7,Sutherland Shire (A)
17200,32,2492,969,565,2524,1.2,1916,2.0,Sydney (C)
17310,40,1500,633,260,1446,0.8,1175,2.5,Tamworth Regional (A)
17350,45,1148,550,175,1329,0.7,1030,2.4,Temora (A)
17400,53,1083,457,180,1015,0.7,770,2.1,Tenterfield (A)
22310,37,2140,775,390,2248,0.9,1736,2.5,Glen Eira (C)
22410,46,1083,541,180,1362,0.7,1045,2.3,Glenelg (S)
22490,39,1545,625,250,1630,0.8,1442,2.8,Golden Plains (S)
22620,38,1387,601,250,1452,0.8,1182,2.4,Greater Bendigo (C)
22670,35,1600,476,300,1260,1.0,1168,2.9,Greater Dandenong (C)
22750,39,1517,599,280,1576,0.8,1242,2.4,Greater Geelong (C)
27070,34,1798,590,331,1569,0.9,1441,3.0,Whittlesea (C)
27170,35,1430,676,250,1550,0.8,1269,2.5,Wodonga (C)
27260,32,1733,684,320,1714,0.9,1617,3.1,Wyndham (C)
27350,33,2167,1027,421,2509,1.0,1950,2.1,Yarra (C)
27450,39,1733,667,325,1770,0.8,1497,2.7,Yarra Ranges (S)
27630,50,662,493,130,1179,0.7,883,2.2,Yarriambiack (S)
29399,32,1800,998,1320,1430,1.0,2221,2.1,Unincorporated Vic
30250,29,0,268,100,678,1.4,1026,4.2,Aurukun (S)
30300,42,1148,663,150,1485,0.8,1203,2.5,Balonne (S)
30370,39,1517,745,192,1895,0.8,1545,2.6,Banana (S)
30410,47,1040,643,100,1514,0.8,1090,2.3,Barcaldine (R)
30450,52,257,759,80,1687,0.7,1148,1.9,Barcoo (S)
30760,51,858,543,118,1266,0.7,1001,2.3,Blackall-Tambo (R)
34710,49,1300,665,180,1609,0.8,1202,2.3,Longreach (R)
34770,38,1950,673,275,1774,0.8,1439,2.5,Mackay (R)
34800,43,739,1214,70,1537,0.8,1062,2.4,McKinlay (S)
34830,29,0,383,120,1015,1.0,1109,3.3,Mapoon (S)
34860,38,1400,756,200,1688,0.8,1333,2.5,Maranoa (R)
34880,44,1517,531,220,1274,0.9,1038,2.5,Mareeba (S)
35010,38,1779,645,340,1638,0.8,1408,2.7,Moreton Bay (R)
35250,28,0,379,120,762,1.3,1034,3.7,Mornington (S)
35300,32,1863,965,254,2382,0.9,2080,2.6,Mount Isa (C)
35600,43,997,649,152,1490,0.8,1089,2.4,Murweh (S)
35670,26,0,284,120,776,1.2,839,3.7,Napranum (S)
35740,50,1733,607,380,1403,0.8,1191,2.4,Noosa (S)
35760,47,1083,505,151,1159,0.8,920,2.3,North Burnett (R)
35780,25,750,526,120,1064,1.3,1200,3.8,Northern Peninsula Area (R)
35790,25,0,314,120,927,1.5,1135,4.3,Palm Island (S)
35800,50,490,535,100,1235,0.8,877,2.2,Paroo (S)
36070,34,347,355,85,747,1.1,845,3.1,Pormpuraaw (S)
36150,43,716,694,120,1449,0.7,991,2.3,Quilpie (S)
36250,41,1950,681,390,1815,0.8,1518,2.6,Redland (C)
36300,42,650,645,80,1402,0.8,1116,2.3,Richmond (S)
36370,36,1517,615,270,1539,0.8,1248,2.5,Rockhampton (R)
36510,44,1668,573,290,1417,0.8,1219,2.6,Scenic Rim (R)
36580,42,1500,508,270,1256,0.8,1086,2.6,Somerset (R)
36630,45,1159,477,220,1143,0.8,924,2.4,South Burnett (R)
36660,45,1300,511,230,1207,0.8,976,2.4,Southern Downs (R)
36720,43,1800,609,370,1491,0.8,1267,2.5,Sunshine Coast (R)
36820,48,1351,512,240,1218,0.8,973,2.4,Tablelands (R)
36910,38,1517,638,280,1547,0.8,1266,2.5,Toowoomba (R)
36950,30,1863,788,152,1919,1.2,1829,3.2,Torres (S)
36960,24,0,382,115,856,1.1,936,3.8,Torres Strait Island (R)
37010,35,1733,685,300,1705,0.8,1414,2.6,Townsville (C)
40070,34,1733,627,380,2026,0.9,1255,1.9,Adelaide (C)
40120,44,1733,734,305,2026,0.8,1694,2.7,Adelaide Hills (DC)
40220,50,1343,520,250,1226,0.7,991,2.3,Alexandrina (DC)
30900,44,906,752,80,1553,0.8,1271,2.3,Boulia (S)
31000,35,2000,762,390,2091,0.8,1743,2.6,Brisbane (C)
31750,47,715,1039,90,1430,0.8,1323,2.1,Bulloo (S)
31820,46,1315,489,260,1185,0.8,971,2.4,Bundaberg (R)
31900,45,1300,606,210,1489,0.8,1158,2.4,Burdekin (S)
31950,55,0,720,135,1458,1.1,1068,2.3,Burke (S)
32080,39,1660,687,300,1605,0.8,1324,2.5,Cairns (R)
32250,54,1000,588,150,1544,1.0,1140,2.6,Carpentaria (S)
32260,46,1300,564,230,1305,0.8,1065,2.4,Cassowary Coast (R)
32270,35,1820,876,180,2106,0.8,1740,2.7,Central Highlands (R) (Qld)
32310,43,1300,507,200,1323,0.8,1026,2.4,Charters Towers (R)
32330,21,0,310,100,766,1.2,775,3.9,Cherbourg (S)
32450,41,1502,1141,150,2140,0.8,1412,2.5,Cloncurry (S)
32500,45,1300,680,160,1341,1.0,1126,2.3,Cook (S)
32600,44,0,603,130,1274,0.9,1100,2.4,Croydon (S)
37300,34,2199,1323,450,2777,1.0,2413,2.9,Weipa (T)
37310,38,1400,665,200,1467,0.8,1206,2.5,Western Downs (R)
37340,41,1733,682,270,1481,0.8,1178,2.4,Whitsunday (R)
32750,51,1750,723,140,2041,0.8,1454,2.5,Diamantina (S)
41140,46,1296,608,210,1395,0.7,1132,2.3,Clare and Gilbert Valleys (DC)
32770,22,0,304,120,745,1.7,1103,4.5,Doomadgee (S)
32810,48,1560,745,290,1460,0.9,1202,2.3,Douglas (S)
33100,56,700,521,105,1192,0.9,802,2.2,Etheridge (S)
33200,47,800,595,115,1331,0.7,1084,2.3,Flinders (S) (Qld)
33220,49,1300,469,270,1090,0.8,910,2.3,Fraser Coast (R)
33360,36,1950,669,250,1918,0.8,1547,2.6,Gladstone (R)
33430,39,1950,662,392,1657,0.8,1397,2.6,Gold Coast (C)
33610,41,1300,655,200,1461,0.8,1200,2.4,Goondiwindi (R)
33620,46,1300,478,250,1132,0.8,938,2.4,Gympie (R)
33800,51,1300,524,180,1349,0.8,1024,2.3,Hinchinbrook (S)
33830,27,1215,335,109,759,1.1,808,3.4,Hope Vale (S)
33960,32,1600,663,310,1581,0.8,1408,2.8,Ipswich (C)
33980,36,1517,1325,85,2365,0.8,2086,2.7,Isaac (R)
34420,30,0,359,60,841,1.2,973,3.4,Kowanyama (S)
34530,43,1870,588,300,1597,0.8,1269,2.5,Livingstone (S)
34570,28,0,418,100,810,1.3,1062,3.7,Lockhart River (S)
34580,38,1517,527,280,1376,0.8,1193,2.7,Lockyer Valley (R)
34590,34,1733,632,335,1546,0.8,1414,2.9,Logan (C)
37400,56,997,591,100,1413,0.8,1023,2.1,Winton (S)
37550,23,0,331,120,716,1.2,742,3.5,Woorabinda (S)
40250,29,0,292,75,734,1.3,1238,3.8,Anangu Pitjantjatjara (AC)
40310,43,1473,644,250,1596,0.8,1266,2.5,Barossa (DC)
37570,31,0,293,100,682,1.1,840,3.3,Wujal Wujal (S)
37600,23,0,292,130,869,1.6,1144,4.8,Yarrabah (S)
40430,54,897,486,175,1166,0.7,846,2.1,Barunga West (DC)
40520,45,1083,527,180,1252,0.8,971,2.3,Berri and Barmera (DC)
40700,43,2000,791,320,2320,0.8,1712,2.5,Burnside (C)
40910,41,1690,587,300,1607,0.8,1246,2.5,Campbelltown (C) (SA)
41010,42,1300,736,190,1503,0.8,1339,2.4,Ceduna (DC)
41060,41,1700,609,288,1607,0.8,1229,2.4,Charles Sturt (C)
41190,46,867,660,160,1384,0.7,1122,2.3,Cleve (DC)
41330,50,561,555,150,1329,0.8,882,2.0,Coober Pedy (DC)
41560,50,1153,478,230,1128,0.7,883,2.2,Copper Coast (DC)
41750,48,800,554,100,1189,0.7,967,2.2,Elliston (DC)
41830,52,900,554,155,1283,0.7,960,2.1,Flinders Ranges (DC)
41960,49,1200,582,200,1283,0.7,1091,2.3,Franklin Harbour (DC)
42030,41,1400,573,260,1422,0.8,1112,2.4,Gawler (T)
42110,48,867,480,150,1184,0.7,891,2.3,Goyder (DC)
42250,43,1300,663,155,1658,0.8,1382,2.6,Grant (DC)
42600,46,1758,747,300,1973,0.8,1356,2.2,Holdfast Bay (C)
42750,48,1083,557,175,1213,0.7,962,2.2,Kangaroo Island (DC)
43080,47,650,470,100,1181,0.8,871,2.3,Karoonda East Murray (DC)
43220,41,813,713,85,1453,0.7,1243,2.5,Kimba (DC)
43360,50,1066,571,165,1232,0.7,968,2.2,Kingston (DC) (SA)
43650,39,1453,655,250,1715,0.8,1462,2.8,Light (RegC)
43710,43,1341,654,180,1490,0.8,1259,2.5,Lower Eyre Peninsula (DC)
43790,45,1040,553,172,1286,0.8,1005,2.3,Loxton Waikerie (DC)
43920,41,1408,592,230,1498,0.8,1328,2.7,Mallala (DC)
44000,35,0,1600,0,3374,1.5,3374,3.7,Maralinga Tjarutja (AC)
44060,39,1625,624,300,1625,0.8,1260,2.4,Marion (C)
44210,51,1000,474,175,1096,0.7,842,2.2,Mid Murray (DC)
44340,41,1842,704,300,2071,0.8,1599,2.6,Mitcham (C)
44550,39,1611,673,310,1729,0.8,1431,2.6,Mount Barker (DC)
44620,39,1170,591,192,1388,0.8,1052,2.3,Mount Gambier (C)
44830,53,900,497,150,1217,0.7,939,2.2,Mount Remarkable (DC)
45040,40,1183,525,220,1215,0.8,973,2.4,Murray Bridge (RC)
45090,40,1083,654,180,1424,0.8,1201,2.4,Naracoorte and Lucindale (DC)
45120,47,867,549,151,1304,0.7,1057,2.3,Northern Areas (DC)
45290,40,1800,674,300,1920,0.8,1304,2.2,Norwood Payneham St Peters (C)
45340,39,1445,590,290,1448,0.8,1191,2.5,Onkaparinga (C)
45400,52,820,529,104,1326,0.7,1013,2.2,Orroroo/Carrieton (DC)
45540,54,572,432,140,890,0.7,704,2.0,Peterborough (DC)
45680,32,1300,496,245,1212,0.8,1012,2.6,Playford (C)
45890,37,1560,547,269,1428,0.8,1139,2.4,Port Adelaide Enfield (C)
46090,39,1213,598,180,1370,0.8,1094,2.3,Port Augusta (C)
46300,40,1300,610,220,1398,0.8,1080,2.3,Port Lincoln (C)
46450,43,1000,487,170,1229,0.7,905,2.3,Port Pirie City and Dists (M)
46510,37,1863,753,295,2099,0.9,1570,2.5,Prospect (C)
46670,43,1083,555,175,1256,0.8,1016,2.3,Renmark Paringa (DC)
46860,49,1224,631,200,1406,0.6,1060,2.1,Robe (DC)
46970,32,2000,1701,198,2760,0.8,2456,2.7,Roxby Downs (M)
47140,35,1356,528,275,1320,0.8,1140,2.6,Salisbury (C)
47290,45,650,605,120,1430,0.7,1152,2.3,Southern Mallee (DC)
47490,46,1083,589,170,1370,0.8,1068,2.3,Streaky Bay (DC)
47630,42,966,656,150,1409,0.7,1166,2.4,Tatiara (DC)
47700,40,1517,653,300,1676,0.8,1380,2.5,Tea Tree Gully (C)
47800,45,867,509,125,1164,0.7,927,2.3,The Coorong (DC)
47910,50,1165,584,175,1296,0.7,967,2.2,Tumby Bay (DC)
47980,40,2000,782,315,2289,0.9,1631,2.4,Unley (C)
48050,57,1300,480,255,1065,0.7,837,2.1,Victor Harbor (C)
48130,43,910,545,180,1289,0.8,1041,2.4,Wakefield (DC)
51960,35,1083,965,200,2094,0.8,1802,2.5,Coolgardie (S)
52030,52,1350,560,182,1239,0.7,951,2.0,Coorow (S)
48260,44,2000,783,330,2326,0.8,1692,2.3,Walkerville (M)
48340,45,953,550,150,1326,0.7,1024,2.3,Wattle Range (DC)
48410,37,1700,611,280,1612,0.9,1217,2.3,West Torrens (C)
48540,40,1224,498,176,1388,0.7,987,2.3,Whyalla (C)
48640,43,807,666,120,1492,0.7,1142,2.3,Wudinna (DC)
48750,54,1257,502,235,1189,0.7,935,2.2,Yankalilla (DC)
48830,55,1000,484,180,1124,0.7,854,2.1,Yorke Peninsula (DC)
49399,47,769,1059,70,1280,0.8,1090,2.1,Unincorporated SA
50080,42,1600,612,280,1508,0.8,1206,2.4,Albany (C)
50210,33,1950,684,325,1719,0.8,1494,2.7,Armadale (C)
50250,39,1625,2514,32,2889,0.9,2313,2.7,Ashburton (S)
50280,39,1733,665,300,1524,0.8,1281,2.5,Augusta-Margaret River (S)
50350,38,1907,722,340,1904,0.8,1504,2.4,Bassendean (T)
50420,37,2000,719,350,1874,0.8,1502,2.4,Bayswater (C)
50490,34,1950,716,350,1725,0.8,1424,2.4,Belmont (C)
50560,52,1161,526,150,1264,0.7,997,2.2,Beverley (S)
50630,40,1733,1423,260,2097,0.8,1847,2.5,Boddington (S)
50770,48,1300,596,130,1363,0.7,1098,2.3,Boyup Brook (S)
50840,49,1517,519,240,1284,0.7,1029,2.3,Bridgetown-Greenbushes (S)
50910,47,1096,671,150,1468,0.7,1104,2.3,Brookton (S)
50980,41,2500,819,270,2076,1.0,1547,2.7,Broome (S)
51080,38,808,652,100,1404,0.8,1242,2.6,Broomehill-Tambellup (S)
51120,45,800,667,100,1583,0.7,1086,2.2,Bruce Rock (S)
51190,41,1600,627,295,1502,0.7,1194,2.3,Bunbury (C)
51260,41,1863,642,350,1581,0.7,1299,2.5,Busselton (C)
51310,39,2800,1008,450,3306,0.8,2437,2.7,Cambridge (T)
51330,34,1950,608,370,1788,0.8,1556,2.8,Canning (C)
51400,35,1950,699,350,1937,0.8,1720,2.8,Capel (S)
51470,47,737,752,100,1489,0.7,1125,2.1,Carnamah (S)
51540,49,1500,624,200,1604,0.9,1140,2.4,Carnarvon (S)
51610,43,2167,693,200,1932,0.9,1572,2.7,Chapman Valley (S)
51680,42,2167,618,270,1856,0.8,1639,2.8,Chittering (S)
51750,42,2600,948,450,2989,0.8,2069,2.3,Claremont (T)
51820,35,2058,744,380,2038,0.8,1750,2.7,Cockburn (C)
51890,41,1517,510,225,1488,0.7,1157,2.4,Collie (S)
