lga_code17,lga_name17,erp_30_jun_2016pr_num,erp_30_jun_2017p_num,components_pop_change_2016_17_natural_increase_num,components_pop_change_2016_17_net_internal_migration_num,components_pop_change_2016_17_net_ovs_migration_num,erp_change_2016pr_2017p_pr100,erp_change_2016pr_2017p_num,area_km2,pop_density_2017_p_km2
14200,Inverell (A),16778,16780,17.0,-64.0,49.0,0.0,2,8597.2,2.0
14300,Junee (A),6462,6555,25.0,18.0,50.0,1.4,93,2030.0,3.2
14350,Kempsey (A),29454,29536,-24.0,17.0,89.0,0.3,82,3375.7,8.7
14400,Kiama (A),22044,22378,-13.0,237.0,110.0,1.5,334,257.7,86.8
14500,Ku-ring-gai (A),123143,124898,182.0,178.0,1395.0,1.4,1755,85.4,1462.3
14550,Kyogle (A),9072,8927,-23.0,-138.0,16.0,-1.6,-145,3584.2,2.5
14600,Lachlan (A),6352,6213,9.0,-152.0,4.0,-2.2,-139,14964.3,0.4
14650,Lake Macquarie (C),202847,203823,305.0,26.0,645.0,0.5,976,648.6,314.2
14700,Lane Cove (A),37810,38782,343.0,143.0,486.0,2.6,972,10.5,3700.8
14750,Leeton (A),11418,11420,39.0,-77.0,40.0,0.0,2,1167.2,9.8
14850,Lismore (C),44054,43816,4.0,-397.0,155.0,-0.5,-238,1287.7,34.0
14870,Lithgow (C),21524,21596,0.0,24.0,48.0,0.3,72,4512.3,4.8
14900,Liverpool (C),212232,217736,2157.0,1068.0,2279.0,2.6,5504,305.7,712.2
14920,Liverpool Plains (A),7874,7887,-15.0,21.0,7.0,0.2,13,5082.2,1.6
14950,Lockhart (A),3182,3245,17.0,42.0,4.0,2.0,63,2895.8,1.1
15050,Maitland (C),79340,81235,529.0,1127.0,239.0,2.4,1895,391.5,207.5
15240,Mid-Coast (A),91958,92569,-485.0,876.0,220.0,0.7,611,10053.2,9.2
15270,Mid-Western Regional (A),24569,24826,24.0,167.0,66.0,1.0,257,8752.3,2.8
15300,Moree Plains (A),13590,13408,72.0,-283.0,29.0,-1.3,-182,17906.5,0.7
15350,Mosman (A),30215,30465,111.0,-257.0,396.0,0.8,250,8.7,3521.8
15520,Murray River (A),11887,11960,-17.0,47.0,43.0,0.6,73,11863.5,1.0
15560,Murrumbidgee (A),3933,3952,20.0,-21.0,20.0,0.5,19,6882.8,0.6
15650,Muswellbrook (A),16468,16427,112.0,-221.0,68.0,-0.2,-41,3404.9,4.8
15700,Nambucca (A),19521,19625,-61.0,127.0,38.0,0.5,104,1491.3,13.2
15750,Narrabri (A),13481,13387,38.0,-159.0,27.0,-0.7,-94,13015.0,1.0
15800,Narrandera (A),5976,5951,-8.0,-45.0,28.0,-0.4,-25,4116.3,1.4
15850,Narromine (A),6599,6554,4.0,-61.0,12.0,-0.7,-45,5261.5,1.2
15900,Newcastle (C),160919,162480,368.0,-835.0,2028.0,1.0,1561,186.8,870.0
15950,North Sydney (A),72037,73077,790.0,-931.0,1181.0,1.4,1040,10.5,6969.2
15990,Northern Beaches (A),266344,269378,1233.0,-1444.0,3245.0,1.1,3034,254.2,1059.7
16100,Oberon (A),5399,5430,16.0,2.0,13.0,0.6,31,3625.0,1.5
16150,Orange (C),41384,41636,194.0,-142.0,200.0,0.6,252,284.2,146.5
16200,Parkes (A),14946,14920,18.0,-79.0,35.0,-0.2,-26,5957.6,2.5
16260,Parramatta (C),234968,243464,2439.0,-1625.0,7682.0,3.6,8496,83.8,2904.3
16350,Penrith (C),201400,204785,1755.0,461.0,1169.0,1.7,3385,404.7,506.0
16380,Port Macquarie-Hastings (A),79905,81202,-234.0,1247.0,284.0,1.6,1297,3683.0,22.0
16400,Port Stephens (A),71118,71716,35.0,317.0,246.0,0.8,598,858.4,83.5
16490,Queanbeyan-Palerang Regional (A),58128,59136,440.0,130.0,438.0,1.7,1008,5318.9,11.1
16550,Randwick (C),149276,151993,873.0,-2984.0,4828.0,1.8,2717,36.3,4183.6
16610,Richmond Valley (A),23164,23195,-15.0,-10.0,56.0,0.1,31,3047.4,7.6
11300,Burwood (A),38495,39172,173.0,-697.0,1201.0,1.8,677,7.1,5495.4
11350,Byron (A),32790,33339,150.0,28.0,371.0,1.7,549,565.8,58.9
11400,Cabonne (A),13625,13647,44.0,-45.0,23.0,0.2,22,6022.3,2.3
11450,Camden (A),80476,87250,895.0,5531.0,348.0,8.4,6774,201.0,434.0
11500,Campbelltown (C) (NSW),161409,164273,1313.0,26.0,1525.0,1.8,2864,311.9,526.7
11520,Canada Bay (A),92382,93858,791.0,-965.0,1650.0,1.6,1476,19.9,4711.0
11570,Canterbury-Bankstown (A),361551,367519,3177.0,-3404.0,6195.0,1.7,5968,110.3,3333.1
11600,Carrathool (A),2803,2805,2.0,-14.0,14.0,0.1,2,18932.5,0.1
11650,Central Coast (C) (NSW),335309,337765,32.0,920.0,1504.0,0.7,2456,1681.1,200.9
11700,Central Darling (A),1875,1833,12.0,-67.0,13.0,-2.2,-42,53492.2,0.0
11720,Cessnock (C),56762,57527,217.0,456.0,92.0,1.3,765,1965.2,29.3
11730,Clarence Valley (A),51367,51298,-144.0,-44.0,119.0,-0.1,-69,10428.7,4.9
11750,Cobar (A),4764,4713,44.0,-114.0,19.0,-1.1,-51,45579.3,0.1
11800,Coffs Harbour (C),74641,75484,118.0,182.0,543.0,1.1,843,1173.7,64.3
12000,Coolamon (A),4403,4400,-15.0,6.0,6.0,-0.1,-3,2430.9,1.8
12150,Coonamble (A),4082,4056,35.0,-63.0,2.0,-0.6,-26,9916.1,0.4
12350,Cowra (A),12673,12697,-43.0,46.0,21.0,0.2,24,2808.8,4.5
12380,Cumberland (A),226051,231604,2730.0,-3281.0,6104.0,2.5,5553,71.6,3236.9
12700,Dungog (A),9114,9198,14.0,64.0,6.0,0.9,84,2250.0,4.1
12730,Edward River (A),8951,8907,-7.0,-71.0,34.0,-0.5,-44,8883.4,1.0
12750,Eurobodalla (A),37968,38117,-213.0,256.0,106.0,0.4,149,3428.2,11.1
12850,Fairfield (C),206436,209107,1266.0,-1814.0,3219.0,1.3,2671,101.5,2060.0
12870,Federation (A),12411,12392,-14.0,-32.0,27.0,-0.2,-19,5685.0,2.2
12900,Forbes (A),9808,9844,13.0,8.0,15.0,0.4,36,4710.1,2.1
12930,Georges River (A),153452,156440,893.0,-1969.0,4064.0,1.9,2988,38.3,4082.6
12950,Gilgandra (A),4309,4256,-17.0,-53.0,17.0,-1.2,-53,4831.5,0.9
13010,Glen Innes Severn (A),8942,8924,-19.0,-13.0,14.0,-0.2,-18,5480.0,1.6
13310,Goulburn Mulwaree (A),30150,30438,18.0,122.0,148.0,1.0,288,3220.1,9.5
13340,Greater Hume Shire (A),10509,10585,17.0,38.0,21.0,0.7,76,5749.5,1.8
13450,Griffith (C),26422,26648,140.0,-248.0,334.0,0.9,226,1639.2,16.3
13510,Gundagai (A),11286,11238,-49.0,-18.0,19.0,-0.4,-48,3981.4,2.8
13550,Gunnedah (A),12551,12628,28.0,16.0,33.0,0.6,77,4987.0,2.5
13660,Gwydir (A),5326,5316,-2.0,-12.0,4.0,-0.2,-10,9259.7,0.6
13800,Hawkesbury (C),66136,66402,329.0,-247.0,184.0,0.4,266,2775.1,23.9
13850,Hay (A),2975,2969,-1.0,-21.0,16.0,-0.2,-6,11325.9,0.3
13910,Hilltops (A),18841,18840,2.0,-49.0,46.0,0.0,-1,7140.9,2.6
14000,Hornsby (A),147661,149242,434.0,-767.0,1914.0,1.1,1581,455.0,328.0
16700,Ryde (C),121807,124798,795.0,-1090.0,3286.0,2.5,2991,40.5,3083.4
16900,Shellharbour (C),70511,71100,205.0,133.0,251.0,0.8,589,147.4,482.3
16950,Shoalhaven (C),101777,102811,-253.0,894.0,393.0,1.0,1034,4566.7,22.5
17000,Singleton (A),23595,23496,158.0,-328.0,71.0,-0.4,-99,4892.7,4.8
17040,Snowy Monaro Regional (A),20617,20713,0.0,-33.0,129.0,0.5,96,15163.5,1.4
17080,Snowy Valleys (A),14644,14582,-35.0,-75.0,48.0,-0.4,-62,8959.0,1.6
17420,The Hills Shire (A),162539,167296,925.0,2044.0,1788.0,2.9,4757,386.2,433.2
17550,Tweed (A),93458,94547,-248.0,870.0,467.0,1.2,1089,1307.7,72.3
17620,Upper Hunter Shire (A),14409,14316,20.0,-164.0,51.0,-0.6,-93,8096.1,1.8
17640,Upper Lachlan Shire (A),7841,7895,22.0,17.0,15.0,0.7,54,7127.4,1.1
17650,Uralla (A),6159,6115,-3.0,-55.0,14.0,-0.7,-44,3226.5,1.9
17750,Wagga Wagga (C),64085,64416,283.0,-330.0,378.0,0.5,331,4824.5,13.4
17850,Walcha (A),3144,3157,-1.0,8.0,6.0,0.4,13,6261.0,0.5
17900,Walgett (A),6369,6231,22.0,-170.0,10.0,-2.2,-138,22308.4,0.3
17950,Warren (A),2802,2769,5.0,-44.0,6.0,-1.2,-33,10753.8,0.3
18020,Warrumbungle Shire (A),9541,9421,-31.0,-110.0,21.0,-1.3,-120,12372.1,0.8
18050,Waverley (A),72106,73176,791.0,-1225.0,1504.0,1.5,1070,9.4,7825.7
18100,Weddin (A),3692,3662,-22.0,-17.0,9.0,-0.8,-30,3414.9,1.1
18200,Wentworth (A),6920,6955,43.0,-16.0,8.0,0.5,35,26256.2,0.3
18230,Western Plains Regional (A),51429,52084,265.0,137.0,253.0,1.3,655,7534.5,6.9
18250,Willoughby (C),78017,79574,571.0,-466.0,1452.0,2.0,1557,22.4,3548.3
18350,Wingecarribee (A),49070,49710,-95.0,438.0,297.0,1.3,640,2689.3,18.5
18400,Wollondilly (A),49742,50877,318.0,695.0,122.0,2.3,1135,2555.4,19.9
18450,Wollongong (C),211201,213841,601.0,-282.0,2321.0,1.2,2640,684.0,312.6
18500,Woollahra (A),58290,58883,325.0,-511.0,779.0,1.0,593,12.3,4796.0
18710,Yass Valley (A),16628,16802,45.0,73.0,56.0,1.0,174,3995.3,4.2
19399,Unincorporated NSW,1108,1088,8.0,-33.0,5.0,-1.8,-20,93214.2,0.0
20110,Alpine (S),12450,12515,-41.0,36.0,70.0,0.5,65,4788.2,2.6
20260,Ararat (RC),11707,11723,-16.0,-31.0,63.0,0.1,16,4211.1,2.8
20570,Ballarat (C),103407,105328,502.0,891.0,528.0,1.9,1921,739.0,142.5
20660,Banyule (C),127693,129341,752.0,-379.0,1275.0,1.3,1648,62.5,2068.1
20740,Bass Coast (S),33317,34223,2.0,789.0,115.0,2.7,906,865.8,39.5
20830,Baw Baw (S),49008,50364,290.0,940.0,126.0,2.8,1356,4027.6,12.5
20910,Bayside (C),102737,104030,143.0,180.0,970.0,1.3,1293,37.2,2795.7
21010,Benalla (RC),13962,13960,-38.0,10.0,26.0,0.0,-2,2352.6,5.9
21110,Boroondara (C),177361,179446,435.0,-748.0,2398.0,1.2,2085,60.2,2982.0
21180,Brimbank (C),205741,208443,1723.0,-2312.0,3291.0,1.3,2702,123.4,1689.2
21270,Buloke (S),6230,6151,-64.0,-31.0,16.0,-1.3,-79,8000.4,0.8
21370,Campaspe (S),37429,37463,-2.0,-44.0,80.0,0.1,34,4518.9,8.3
21450,Cardinia (S),97625,102516,1173.0,3151.0,567.0,5.0,4891,1282.6,79.9
21610,Casey (C),313521,327380,3880.0,6051.0,3928.0,4.4,13859,409.4,799.6
21670,Central Goldfields (S),13012,13073,-66.0,109.0,18.0,0.5,61,1532.8,8.5
21750,Colac-Otway (S),21359,21436,36.0,-50.0,91.0,0.4,77,3437.5,6.2
21830,Corangamite (S),16133,16086,-5.0,-82.0,40.0,-0.3,-47,4407.5,3.6
21890,Darebin (C),155022,158553,975.0,-572.0,3128.0,2.3,3531,53.5,2965.2
22110,East Gippsland (S),45426,45960,-40.0,468.0,106.0,1.2,534,20940.2,2.2
22170,Frankston (C),139511,140708,1097.0,-716.0,816.0,0.9,1197,129.6,1085.7
22250,Gannawarra (S),10563,10563,-15.0,9.0,6.0,0.0,0,3735.3,2.8
22830,Greater Shepparton (C),65076,65593,359.0,-372.0,530.0,0.8,517,2421.9,27.1
22910,Hepburn (S),15560,15668,-30.0,88.0,50.0,0.7,108,1473.0,10.6
22980,Hindmarsh (S),5741,5677,-22.0,-56.0,14.0,-1.1,-64,7524.2,0.8
23110,Hobsons Bay (C),93392,94984,718.0,-294.0,1168.0,1.7,1592,64.2,1478.6
23190,Horsham (RC),19817,19833,68.0,-109.0,57.0,0.1,16,4266.8,4.6
23270,Hume (C),207830,215928,2456.0,2350.0,3292.0,3.9,8098,503.9,428.6
23350,Indigo (S),16035,16220,16.0,136.0,33.0,1.2,185,2040.1,8.0
23430,Kingston (C) (Vic.),159023,161089,902.0,-1005.0,2169.0,1.3,2066,91.4,1763.1
23670,Knox (C),160665,162116,859.0,-810.0,1402.0,0.9,1451,113.9,1423.2
23810,Latrobe (C) (Vic.),74329,74612,211.0,-160.0,232.0,0.4,283,1425.6,52.3
23940,Loddon (S),7555,7505,-17.0,-47.0,14.0,-0.7,-50,6696.4,1.1
24130,Macedon Ranges (S),47512,48438,242.0,527.0,157.0,1.9,926,1748.3,27.7
24210,Manningham (C),122902,124517,227.0,-505.0,1893.0,1.3,1615,113.3,1098.5
24250,Mansfield (S),8605,8725,4.0,59.0,57.0,1.4,120,3843.9,2.3
24330,Maribyrnong (C),87355,89705,933.0,-708.0,2125.0,2.7,2350,31.2,2872.8
24410,Maroondah (C),114979,116489,747.0,-395.0,1158.0,1.3,1510,61.4,1896.9
24600,Melbourne (C),148039,159992,844.0,1793.0,9316.0,8.1,11953,37.4,4283.4
24650,Melton (C),141749,148896,1889.0,3844.0,1414.0,5.0,7147,527.5,282.2
24780,Mildura (RC),54564,55071,343.0,-271.0,435.0,0.9,507,22082.5,2.5
24850,Mitchell (S),41632,42795,321.0,613.0,229.0,2.8,1163,2862.1,15.0
24900,Moira (S),29306,29465,-31.0,80.0,110.0,0.5,159,4046.4,7.3
24970,Monash (C),192850,196789,629.0,-3424.0,6734.0,2.0,3939,81.5,2415.1
25060,Moonee Valley (C),122968,125425,801.0,-129.0,1785.0,2.0,2457,43.1,2907.5
25150,Moorabool (S),32658,33418,174.0,502.0,84.0,2.3,760,2110.6,15.8
25250,Moreland (C),172091,176589,1360.0,-474.0,3612.0,2.6,4498,51.0,3465.8
25340,Mornington Peninsula (S),160862,163151,78.0,1499.0,712.0,1.4,2289,724.2,225.3
25430,Mount Alexander (S),18966,19171,-60.0,198.0,67.0,1.1,205,1529.6,12.5
25490,Moyne (S),16693,16741,36.0,-59.0,71.0,0.3,48,5481.7,3.1
25620,Murrindindi (S),13993,14167,6.0,117.0,51.0,1.2,174,3879.8,3.7
25710,Nillumbik (S),64280,64720,363.0,-230.0,307.0,0.7,440,432.3,149.7
25810,Northern Grampians (S),11577,11498,-39.0,-82.0,42.0,-0.7,-79,5729.9,2.0
25900,Port Phillip (C),108558,110397,871.0,-1261.0,2229.0,1.7,1839,20.7,5330.8
25990,Pyrenees (S),7301,7347,-14.0,50.0,10.0,0.6,46,3434.6,2.1
26080,Queenscliffe (B),2904,2934,-11.0,28.0,13.0,1.0,30,8.6,340.5
26170,South Gippsland (S),28936,29124,18.0,84.0,86.0,0.6,188,3296.3,8.8
26260,Southern Grampians (S),16066,16051,-1.0,-69.0,55.0,-0.1,-15,6654.0,2.4
26350,Stonnington (C),111606,114138,465.0,-174.0,2241.0,2.3,2532,25.7,4449.6
22750,Greater Geelong (C),238603,244798,1029.0,3338.0,1828.0,2.6,6195,1248.0,196.2
26430,Strathbogie (S),10329,10455,-9.0,99.0,36.0,1.2,126,3303.3,3.2
26490,Surf Coast (S),30445,31324,162.0,555.0,162.0,2.9,879,1552.9,20.2
26610,Swan Hill (RC),20904,20849,142.0,-345.0,148.0,-0.3,-55,6115.3,3.4
26670,Towong (S),5973,5974,-3.0,-10.0,14.0,0.0,1,6674.9,0.9
26700,Wangaratta (RC),28559,28824,55.0,138.0,72.0,0.9,265,3645.1,7.9
26730,Warrnambool (C),34245,34555,91.0,-69.0,288.0,0.9,310,120.9,285.7
26810,Wellington (S),43465,43747,124.0,-22.0,180.0,0.6,282,10817.3,4.0
26890,West Wimmera (S),3912,3867,4.0,-54.0,5.0,-1.2,-45,9108.2,0.4
26980,Whitehorse (C),170093,173514,709.0,-1648.0,4360.0,2.0,3421,64.3,2699.3
27070,Whittlesea (C),207881,216438,2622.0,2841.0,3094.0,4.1,8557,489.7,442.0
27170,Wodonga (C),39844,40564,341.0,197.0,182.0,1.8,720,432.7,93.7
27260,Wyndham (C),228088,241902,3818.0,5255.0,4741.0,6.1,13814,542.1,446.2
27350,Yarra (C),93380,96368,766.0,299.0,1923.0,3.2,2988,19.5,4931.2
27450,Yarra Ranges (S),155312,156982,1005.0,13.0,652.0,1.1,1670,2468.2,63.6
27630,Yarriambiack (S),6738,6673,-41.0,-39.0,15.0,-1.0,-65,7325.8,0.9
29399,Unincorporated Vic,887,897,1.0,4.0,5.0,1.1,10,283.0,3.2
30250,Aurukun (S),1323,1343,32.0,-13.0,1.0,1.5,20,7424.0,0.2
30300,Balonne (S),4480,4391,40.0,-141.0,12.0,-2.0,-89,31103.7,0.1
30370,Banana (S),14607,14521,120.0,-253.0,47.0,-0.6,-86,28550.2,0.5
30410,Barcaldine (R),2909,2853,22.0,-80.0,2.0,-1.9,-56,53382.7,0.1
30450,Barcoo (S),272,272,-4.0,3.0,1.0,0.0,0,61830.1,0.0
30760,Blackall-Tambo (R),1924,1889,4.0,-41.0,2.0,-1.8,-35,30537.2,0.1
37300,Weipa (T),4024,4133,72.0,28.0,9.0,2.7,109,10.8,381.9
37310,Western Downs (R),34197,34575,236.0,71.0,71.0,1.1,378,37922.5,0.9
37340,Whitsunday (R),34626,34831,152.0,-235.0,288.0,0.6,205,23818.9,1.5
17100,Strathfield (A),42331,43585,393.0,-595.0,1456.0,3.0,1254,14.0,3113.0
17150,Sutherland Shire (A),226041,227073,891.0,-1298.0,1439.0,0.5,1032,333.6,680.7
17200,Sydney (C),224211,233217,1630.0,-1129.0,8505.0,4.0,9006,26.7,8720.7
17310,Tamworth Regional (A),60998,61554,153.0,24.0,379.0,0.9,556,9884.4,6.2
17350,Temora (A),6236,6258,-17.0,30.0,9.0,0.4,22,2802.0,2.2
17400,Tenterfield (A),6667,6629,-11.0,-36.0,9.0,-0.6,-38,7322.8,0.9
22310,Glen Eira (C),149012,151746,938.0,-1203.0,2999.0,1.8,2734,38.7,3922.0
22410,Glenelg (S),19726,19644,-1.0,-115.0,34.0,-0.4,-82,6218.6,3.2
22490,Golden Plains (S),21929,22480,135.0,385.0,31.0,2.5,551,2703.4,8.3
22620,Greater Bendigo (C),111783,113617,491.0,871.0,472.0,1.6,1834,3000.0,37.9
22670,Greater Dandenong (C),160952,164148,1459.0,-2311.0,4048.0,2.0,3196,129.5,1267.1
31750,Bulloo (S),360,350,0.0,-11.0,1.0,-2.8,-10,73723.8,0.0
31820,Bundaberg (R),94453,94858,96.0,-83.0,392.0,0.4,405,6432.7,14.7
31900,Burdekin (S),17313,17215,26.0,-197.0,73.0,-0.6,-98,5043.9,3.4
31950,Burke (S),342,347,3.0,1.0,1.0,1.5,5,39684.1,0.0
32080,Cairns (R),162451,164536,1350.0,-449.0,1184.0,1.3,2085,1689.3,97.4
36630,South Burnett (R),32747,32707,15.0,-97.0,42.0,-0.1,-40,8381.6,3.9
36660,Southern Downs (R),35622,35542,78.0,-241.0,83.0,-0.2,-80,7107.8,5.0
36720,Sunshine Coast (R),303389,311551,866.0,5709.0,1587.0,2.7,8162,2253.9,138.2
36820,Tablelands (R),25312,25425,-25.0,58.0,80.0,0.4,113,11281.9,2.3
41060,Charles Sturt (C),114688,115688,283.0,-203.0,920.0,0.9,1000,54.8,2111.6
30900,Boulia (S),437,431,5.0,-11.0,0.0,-1.4,-6,60905.7,0.0
31000,Brisbane (C),1184215,1206607,8699.0,846.0,12847.0,1.9,22392,1342.7,898.6
32250,Carpentaria (S),2051,2004,21.0,-69.0,1.0,-2.3,-47,64121.0,0.0
32260,Cassowary Coast (R),29396,29680,146.0,-20.0,158.0,1.0,284,4687.8,6.3
32270,Central Highlands (R) (Qld),28783,28684,387.0,-556.0,70.0,-0.3,-99,59834.8,0.5
32310,Charters Towers (R),12074,11949,17.0,-161.0,19.0,-1.0,-125,68382.2,0.2
34590,Logan (C),313785,319652,3373.0,717.0,1777.0,1.9,5867,958.1,333.6
34710,Longreach (R),3727,3598,17.0,-155.0,9.0,-3.5,-129,40572.2,0.1
64810,Sorell (M),14393,14648,44.0,192.0,19.0,1.8,255,583.7,25.1
65010,Southern Midlands (M),6140,6103,29.0,-68.0,2.0,-0.6,-37,2615.5,2.3
32330,Cherbourg (S),1296,1314,43.0,-26.0,1.0,1.4,18,31.6,41.6
32450,Cloncurry (S),3114,3123,40.0,-37.0,6.0,0.3,9,47971.3,0.1
32500,Cook (S),4424,4461,7.0,25.0,5.0,0.8,37,105724.4,0.0
32600,Croydon (S),300,294,4.0,-10.0,0.0,-2.0,-6,29497.9,0.0
34770,Mackay (R),117703,117064,902.0,-1825.0,284.0,-0.5,-639,7613.3,15.4
34800,McKinlay (S),810,790,3.0,-24.0,1.0,-2.5,-20,40736.8,0.0
34830,Mapoon (S),322,326,3.0,0.0,1.0,1.2,4,537.1,0.6
34860,Maranoa (R),12928,12843,101.0,-206.0,20.0,-0.7,-85,58719.3,0.2
34880,Mareeba (S),22157,22311,98.0,-50.0,106.0,0.7,154,53502.0,0.4
35010,Moreton Bay (R),438313,448118,2832.0,5110.0,1863.0,2.2,9805,2041.5,219.5
35250,Mornington (S),1196,1203,8.0,-1.0,0.0,0.6,7,1247.7,1.0
35300,Mount Isa (C),19332,18899,279.0,-787.0,75.0,-2.2,-433,43713.0,0.4
35600,Murweh (S),4391,4309,17.0,-110.0,11.0,-1.9,-82,40699.8,0.1
35670,Napranum (S),1001,1028,49.0,-23.0,1.0,2.7,27,2004.4,0.5
35740,Noosa (S),54033,54736,-1.0,423.0,281.0,1.3,703,869.9,62.9
35760,North Burnett (R),10623,10632,-3.0,-53.0,65.0,0.1,9,19669.8,0.5
35780,Northern Peninsula Area (R),2952,3008,57.0,-4.0,3.0,1.9,56,1052.1,2.9
35790,Palm Island (S),2602,2634,45.0,-14.0,1.0,1.2,32,72.0,36.6
35800,Paroo (S),1686,1665,9.0,-30.0,0.0,-1.2,-21,47612.9,0.0
36070,Pormpuraaw (S),785,807,26.0,-6.0,2.0,2.8,22,4395.4,0.2
36150,Quilpie (S),833,821,11.0,-23.0,0.0,-1.4,-12,67414.7,0.0
36250,Redland (C),151987,154312,544.0,1237.0,544.0,1.5,2325,537.2,287.3
36300,Richmond (S),800,794,15.0,-22.0,1.0,-0.8,-6,26580.7,0.0
36370,Rockhampton (R),81589,81446,460.0,-844.0,241.0,-0.2,-143,6570.3,12.4
36510,Scenic Rim (R),40975,41735,88.0,568.0,104.0,1.9,760,4251.6,9.8
36580,Somerset (R),25173,25545,104.0,211.0,57.0,1.5,372,5373.4,4.8
32750,Diamantina (S),297,288,0.0,-9.0,0.0,-3.0,-9,94730.5,0.0
36910,Toowoomba (R),164595,166409,852.0,311.0,651.0,1.1,1814,12957.2,12.8
36950,Torres (S),3789,3798,43.0,-42.0,8.0,0.2,9,883.7,4.3
36960,Torres Strait Island (R),4785,4871,68.0,15.0,3.0,1.8,86,490.0,9.9
37010,Townsville (C),192058,193601,1502.0,-720.0,761.0,0.8,1543,3730.8,51.9
65210,Tasman (M),2396,2389,-14.0,6.0,1.0,-0.3,-7,660.5,3.6
65410,Waratah-Wynyard (M),13883,13791,-17.0,-86.0,11.0,-0.7,-92,3535.9,3.9
65610,West Coast (M),4236,4176,2.0,-67.0,5.0,-1.4,-60,9583.5,0.4
32770,Doomadgee (S),1474,1492,43.0,-26.0,1.0,1.2,18,1827.7,0.8
32810,Douglas (S),11997,12186,60.0,21.0,108.0,1.6,189,2427.9,5.0
33100,Etheridge (S),819,821,7.0,-5.0,0.0,0.2,2,39199.3,0.0
33200,Flinders (S) (Qld),1569,1521,16.0,-66.0,2.0,-3.1,-48,41199.9,0.0
33220,Fraser Coast (R),102953,103998,-157.0,983.0,219.0,1.0,1045,7102.9,14.6
33360,Gladstone (R),63288,63052,602.0,-1090.0,252.0,-0.4,-236,10484.3,6.0
33430,Gold Coast (C),576918,592330,3143.0,6895.0,5374.0,2.7,15412,1333.7,444.1
33610,Goondiwindi (R),10837,10785,68.0,-142.0,22.0,-0.5,-52,19258.1,0.6
33620,Gympie (R),50292,51013,139.0,503.0,79.0,1.4,721,6884.0,7.4
33800,Hinchinbrook (S),10990,10900,5.0,-106.0,11.0,-0.8,-90,2807.2,3.9
33830,Hope Vale (S),967,990,35.0,-13.0,1.0,2.4,23,1107.1,0.9
33960,Ipswich (C),200123,206467,2301.0,3223.0,820.0,3.2,6344,1085.0,190.3
33980,Isaac (R),21563,21199,291.0,-707.0,52.0,-1.7,-364,58707.9,0.4
34420,Kowanyama (S),984,984,12.0,-14.0,2.0,0.0,0,2555.3,0.4
34530,Livingstone (S),37055,37393,145.0,115.0,78.0,0.9,338,11757.9,3.2
34570,Lockhart River (S),747,769,6.0,15.0,1.0,2.9,22,3574.5,0.2
34580,Lockyer Valley (R),39486,40189,207.0,229.0,267.0,1.8,703,2269.0,17.7
37550,Woorabinda (S),992,994,19.0,-18.0,1.0,0.2,2,390.6,2.5
37400,Winton (S),1156,1144,5.0,-19.0,2.0,-1.0,-12,53813.5,0.0
41140,Clare and Gilbert Valleys (DC),9233,9311,16.0,49.0,13.0,0.8,78,1892.4,4.9
37570,Wujal Wujal (S),296,300,6.0,-2.0,0.0,1.4,4,11.8,25.3
37600,Yarrabah (S),2703,2801,99.0,-4.0,3.0,3.6,98,158.8,17.6
