lga_code_2016,earners_persons_2010_11,earners_persons_2011_12,earners_persons_2012_13,earners_persons_2013_14,earners_persons_2014_15,median_age_of_earners_years_2010_11,median_age_of_earners_years_2011_12,median_age_of_earners_years_2012_13,median_age_of_earners_years_2013_14,median_age_of_earners_years_2014_15,income_aud_2010_11,income_aud_2011_12,income_aud_2012_13,income_aud_2013_14,income_aud_2014_15,median_aud_2010_11,median_aud_2011_12,median_aud_2012_13,median_aud_2013_14,median_aud_2014_15,mean_aud_2010_11,mean_aud_2011_12,mean_aud_2012_13,mean_aud_2013_14,mean_aud_2014_15,main_source_pc_of_earners_2010_11,main_source_pc_of_earners_2011_12,main_source_pc_of_earners_2012_13,main_source_pc_of_earners_2013_14,main_source_pc_of_earners_2014_15,lga_name16
16550,56380.0,58491.0,59734.0,61541.0,65192.0,41.0,41.0,41.0,41.0,41.0,581881642.0,620893104.0,667513066.0,732910710.0,747774925.0,707.0,691.0,643.0,655.0,587.0,10321.0,10615.0,11175.0,11909.0,11470.0,13.8,13.9,13.6,13.7,14.0,Randwick (C)
16610,6851.0,6779.0,6814.0,6897.0,7065.0,50.0,50.0,51.0,51.0,51.0,25160200.0,25279213.0,27557951.0,26579963.0,29171251.0,259.0,253.0,284.0,260.0,237.0,3672.0,3729.0,4044.0,3854.0,4129.0,13.5,13.3,14.0,13.9,13.5,Richmond Valley (A)
16650,36946.0,38531.0,39218.0,40127.0,43699.0,42.0,42.0,42.0,42.0,41.0,188342236.0,199168252.0,208904748.0,229659156.0,248200763.0,420.0,432.0,408.0,435.0,356.0,5098.0,5169.0,5327.0,5723.0,5680.0,11.1,11.1,11.0,10.8,11.1,Rockdale (C)
16700,46339.0,48153.0,49632.0,51007.0,53681.0,43.0,43.0,43.0,43.0,42.0,296638763.0,323711355.0,344998277.0,380066494.0,386994995.0,627.0,600.0,580.0,599.0,555.0,6401.0,6723.0,6951.0,7451.0,7209.0,14.3,14.3,14.1,14.1,14.4,Ryde (C)
16900,20034.0,20726.0,20911.0,21389.0,22670.0,46.0,46.0,46.0,46.0,46.0,64587218.0,75642071.0,83301673.0,86432069.0,90494447.0,264.0,265.0,282.0,277.0,239.0,3224.0,3650.0,3984.0,4041.0,3992.0,9.8,9.9,10.1,9.9,10.0,Shellharbour (C)
16950,30966.0,31532.0,31710.0,32962.0,34638.0,52.0,52.0,52.0,53.0,52.0,193984821.0,197261471.0,200894866.0,218836126.0,226403069.0,446.0,443.0,458.0,461.0,414.0,6264.0,6256.0,6335.0,6639.0,6536.0,16.9,16.8,16.8,16.6,16.8,Shoalhaven (C)
17000,8965.0,9329.0,9323.0,9050.0,9039.0,44.0,44.0,45.0,45.0,46.0,47150283.0,46703904.0,53743461.0,45534066.0,43812200.0,262.0,241.0,240.0,224.0,210.0,5259.0,5006.0,5765.0,5031.0,4847.0,10.4,10.5,10.6,10.5,11.0,Singleton (A)
17040,7557.0,7797.0,7954.0,8134.0,8203.0,49.0,49.0,49.0,50.0,49.0,46903228.0,51443549.0,53503169.0,57799983.0,59014497.0,382.0,349.0,375.0,401.0,376.0,6207.0,6598.0,6727.0,7106.0,7194.0,12.5,12.7,12.8,13.1,12.5,Snowy Monaro Regional (A)
17080,4837.0,5064.0,5013.0,5100.0,5186.0,50.0,50.0,51.0,51.0,51.0,32456384.0,30843107.0,30147374.0,31381890.0,31952664.0,482.0,397.0,438.0,459.0,401.0,6710.0,6091.0,6014.0,6153.0,6161.0,12.1,12.1,12.5,12.5,11.1,Snowy Valleys (A)
17420,67014.0,69034.0,70546.0,72703.0,76670.0,46.0,46.0,46.0,46.0,46.0,576745848.0,614665911.0,649998308.0,734283785.0,780660988.0,478.0,491.0,498.0,528.0,491.0,8606.0,8904.0,9214.0,10100.0,10182.0,14.8,15.1,15.1,15.0,15.6,The Hills Shire (A)
