LGA_MAIN11,P_85y_ov_DNUDW_,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW_,P_Tot_UDW_NS,P_Tot_Total,LGA_NAME11
17950,25,6,45,431,516,256,253,541,186,2183,Warren (A)
18000,1869,635,3877,29192,31358,13771,9941,21004,7164,112430,Warringah (A)
18020,143,49,268,1222,1727,983,1164,1745,811,7652,Warrumbungle Shire (A)
18050,541,346,1387,16910,12845,4138,2803,9710,7285,53691,Waverley (A)
18100,44,17,97,516,670,437,461,624,267,2975,Weddin (A)
18150,81,20,156,1022,1496,834,790,1487,1120,6749,Wellington (A)
18200,31,44,108,946,1240,772,672,1126,517,5273,Wentworth (A)
18250,714,199,1509,14084,14647,6336,4546,11338,3544,54495,Willoughby (C)
18350,531,239,1168,6856,9598,5442,4872,6300,2717,35785,Wingecarribee (A)
18400,223,85,465,6932,8859,4667,4283,6195,2337,33273,Wollondilly (A)
18450,2081,746,4265,34068,39747,19685,16371,34829,12045,156745,Wollongong (C)
18500,590,376,1544,13344,10876,3867,2692,7771,5556,44106,Woollahra (A)
18550,1811,897,3835,23462,29505,15730,14063,26096,10566,119422,Wyong (A)
18710,96,66,222,2338,3557,1808,1392,1742,866,11703,Yass Valley (A)
18750,180,67,324,1791,2183,1267,1227,2132,930,9530,Young (A)
19399,12,0,12,180,236,113,111,278,60,978,Unincorporated NSW
20110,153,52,307,1878,2635,1492,1271,1799,780,9855,Alpine (S)
20260,108,80,271,1652,2154,1178,1149,1950,1123,9206,Ararat (RC)
20570,839,511,2010,17005,19225,9303,8157,15442,6206,75338,Ballarat (C)
20660,1429,517,2910,23390,25999,12246,9566,19738,6294,97233,Banyule (C)
20740,324,254,838,4484,6222,3450,3061,4879,2472,24568,Bass Coast (S)
20830,342,219,847,7125,8683,4812,4583,6445,2638,34286,Baw Baw (S)
20910,1459,579,3306,18569,19904,9544,7129,13443,5226,73815,Bayside (C)
21010,215,78,419,2099,2837,1579,1541,2395,817,11268,Benalla (RC)
21110,2091,807,4631,36336,34984,15816,11478,24724,8079,131417,Boroondara (C)
21180,1076,487,2183,29947,29462,13131,12596,46946,15849,147931,Brimbank (C)
21270,111,44,245,970,1184,705,875,1082,405,5221,Buloke (S)
21370,425,215,908,5655,7200,3938,3629,6030,2671,29123,Campaspe (S)
21450,449,141,849,12969,14982,7262,6533,11137,3963,56846,Cardinia (S)
21610,1431,448,2515,43841,46678,21174,18848,49121,14125,193787,Casey (C)
21670,188,84,399,1613,2343,1401,1462,2640,961,10420,Central Goldfields (S)
21750,240,118,543,3134,4037,2338,2172,3443,1367,16491,Colac-Otway (S)
21830,197,88,406,2549,2937,1847,1831,2693,1122,12979,Corangamite (S)
21890,1403,665,3079,27774,28333,11196,8954,27333,10637,114227,Darebin (C)
41960,3,11,23,185,235,173,163,169,107,1032,Franklin Harbour (DC)
17650,37,19,87,912,1302,752,647,801,350,4764,Uralla (A)
17700,12,7,25,178,180,123,154,198,83,916,Urana (A)
22110,526,219,1111,5997,8663,5092,4940,7202,3037,34931,East Gippsland (S)
22170,972,624,2292,23465,26099,11892,9984,22053,8652,102145,Frankston (C)
22250,171,76,344,1453,1946,1194,1229,1853,811,8486,Gannawarra (S)
42110,56,26,118,594,814,500,547,681,253,3389,Goyder (DC)
42250,16,41,84,1211,1638,971,769,976,637,6202,Grant (DC)
22670,1442,392,2437,21913,21194,9531,8611,38530,11200,110979,Greater Dandenong (C)
22750,2587,956,5254,37397,43706,21755,19057,36509,13499,171923,Greater Geelong (C)
22830,641,251,1262,9425,11538,5811,5127,11074,4523,47498,Greater Shepparton (C)
22910,165,66,326,2181,3142,1669,1656,2157,1105,11910,Hepburn (S)
22980,170,35,272,864,1022,671,739,1098,372,4766,Hindmarsh (S)
23110,717,368,1613,15485,17254,7519,6288,16117,5997,68660,Hobsons Bay (C)
23190,167,166,501,3290,3872,2154,1987,2965,1249,15517,Horsham (RC)
23270,587,254,1160,26336,27249,12612,12232,39405,11644,129478,Hume (C)
23350,193,45,328,2433,3415,1837,1468,2168,987,12308,Indigo (S)
23430,1727,659,3552,28190,30264,13510,10233,26340,8785,117322,Kingston (C)
23670,1292,447,2533,30007,31719,14770,11720,26493,6945,121654,Knox (C)
23810,736,265,1402,11046,14284,7536,7248,13001,5183,58298,Latrobe (C)
23940,105,42,228,1064,1361,812,983,1369,577,6166,Loddon (S)
24130,322,96,627,6802,9279,4812,4427,5533,2113,32966,Macedon Ranges (S)
24210,1195,563,2561,22360,22779,11801,9491,21177,5426,93034,Manningham (C)
24250,81,35,163,1323,1673,881,816,1243,492,6428,Mansfield (S)
24330,550,227,1148,14353,14498,5475,4055,14825,6564,59770,Maribyrnong (C)
24410,1151,482,2379,20838,23057,10584,8434,16518,4915,84346,Maroondah (C)
24600,427,154,793,27528,19866,4725,2718,21215,10929,86981,Melbourne (C)
24650,363,97,657,17530,19957,8655,8448,20476,7193,82259,Melton (S)
24780,557,202,1118,7702,9484,5111,4660,9423,3902,40282,Mildura (RC)
24850,211,70,417,5443,6765,3463,3250,5698,2398,27017,Mitchell (S)
24900,381,182,796,4161,5304,2974,2857,5138,2253,22687,Moira (S)
24970,1704,846,3920,33817,35070,16638,12857,35020,9536,142938,Monash (C)
25060,1066,565,2502,22122,22545,9712,7800,19597,7415,89191,Moonee Valley (C)
25150,186,94,411,4533,5692,2994,2826,4435,1730,22210,Moorabool (S)
25250,1584,829,3564,30078,30416,11664,9618,30188,11423,123387,Moreland (C)
25340,1596,1155,4197,24099,30523,16161,13522,23316,10438,118059,Mornington Peninsula (S)
45680,487,180,959,11780,14934,7217,6684,15096,5187,60898,Playford (C)
25430,113,200,483,2520,3900,2245,2012,2287,1764,14728,Mount Alexander (S)
25490,118,91,332,2489,3164,1803,1821,2259,1006,12542,Moyne (S)
25620,139,56,264,2039,2897,1605,1428,1824,1021,10814,Murrindindi (S)
25710,264,148,609,11991,13357,6941,5044,8163,2271,47767,Nillumbik (S)
25810,169,59,343,1751,2341,1328,1337,2206,808,9771,Northern Grampians (S)
25900,426,385,1190,27338,22291,5935,3620,13993,8149,81326,Port Phillip (C)
25990,64,22,137,899,1245,750,862,1175,595,5526,Pyrenees (S)
26080,71,23,153,456,707,452,316,435,204,2570,Queenscliffe (B)
26170,305,109,671,4236,5593,3433,3189,4002,1614,22067,South Gippsland (S)
26260,256,95,536,2649,3390,1800,1784,2707,987,13317,Southern Grampians (S)
26350,872,473,2159,25148,21089,7307,5084,15207,7133,80968,Stonnington (C)
26430,133,68,306,1431,1935,1125,1121,1658,738,8008,Strathbogie (S)
26490,224,81,482,4675,5666,3009,2495,3079,1420,20344,Surf Coast (S)
26610,237,95,476,3107,3770,1904,1931,3739,1769,16220,Swan Hill (RC)
26670,97,37,185,897,1235,715,672,962,347,4828,Towong (S)
26700,300,221,749,4400,5740,3038,2655,4217,1687,21737,Wangaratta (RC)
26730,311,235,802,5530,6571,3224,2846,5187,2330,25688,Warrnambool (C)
26810,400,168,868,6188,8144,4625,4519,6448,3652,33576,Wellington (S)
26890,50,17,123,652,815,502,506,686,290,3451,West Wimmera (S)
26980,1557,1058,4280,30258,32385,15383,11538,27056,8575,125195,Whitehorse (C)
27070,734,443,1547,26885,27046,12372,11336,35174,9848,122661,Whittlesea (C)
27170,284,92,538,6340,7495,3592,2867,5627,1882,27803,Wodonga (RC)
27260,557,233,1105,27502,30960,13481,12166,28848,10297,123254,Wyndham (C)
27350,442,169,902,22337,18168,4889,2999,10841,6096,65330,Yarra (C)
27450,842,479,1962,26872,31499,15807,12966,21022,7512,115678,Yarra Ranges (S)
27630,139,44,285,1068,1265,791,888,1258,577,5847,Yarriambiack (S)
29399,0,0,0,192,127,46,43,213,92,713,Unincorporated Vic
30250,5,0,5,241,179,83,15,308,75,901,Aurukun (S)
30300,30,12,51,643,786,447,437,840,360,3513,Balonne (S)
30370,87,43,185,2253,2791,1306,1529,2223,954,11056,Banana (S)
30410,17,6,39,490,611,268,356,552,241,2518,Barcaldine (R)
30450,3,0,3,50,59,27,35,94,23,288,Barcoo (S)
30760,19,10,32,331,414,189,263,409,159,1765,Blackall Tambo (R)
36070,0,0,0,96,169,47,79,97,6,494,Pormpuraaw (S)
36150,10,0,13,145,196,86,80,217,55,779,Quilpie (S)
36250,1365,496,2715,25579,31035,14810,11684,20729,7018,110855,Redland (C)
36300,6,4,16,120,149,63,77,155,89,653,Richmond (S)
36360,645,656,1808,16672,21705,10855,10027,17328,9903,86490,Rockhampton (R)
36510,356,92,679,5488,7536,4366,4058,5318,2168,28934,Scenic Rim (R)
36580,124,65,276,2877,4142,2414,2591,3569,1466,17059,Somerset (R)
36630,270,141,605,4016,5911,3479,3730,5035,2228,24399,South Burnett (R)
36660,377,168,808,4695,6676,3874,3938,5489,2224,26896,Southern Downs (R)
36710,3162,1469,7028,51700,68547,35565,29033,45120,18869,248834,Sunshine Coast (R)
36810,246,260,758,5823,8430,4758,4960,6719,4236,34926,Tablelands (R)
36910,1192,874,3044,24081,31198,15763,14677,22964,10008,118691,Toowoomba (R)
36950,11,4,19,439,486,161,168,597,430,2281,Torres (S)
36960,6,0,11,693,654,258,293,652,156,2706,Torres Strait Island (R)
37010,870,371,1855,30549,37859,16852,13542,25645,13186,137633,Townsville (C)
50280,90,30,190,1835,2617,1351,1150,1455,885,9293,Augusta-Margaret River (S)
50350,131,42,280,2740,3231,1451,1183,2357,884,11846,Bassendean (T)
51080,3,3,17,157,213,102,151,133,75,831,Broomehill-Tambellup (S)
53220,3,3,6,1905,1704,506,402,3302,2302,10121,East Pilbara (S)
53290,91,39,189,2066,2641,1370,1347,1986,1080,10490,Esperance (S)
53360,0,0,7,386,558,241,178,366,189,1918,Exmouth (S)
53430,320,93,602,5404,6335,2671,1880,4394,1954,22638,Fremantle (C)
53520,226,102,480,5543,7233,3662,3428,5742,2697,28305,Geraldton-Greenough (C)
53570,23,14,52,609,825,514,625,780,416,3769,Gingin (S)
53640,6,3,15,214,228,121,159,149,71,942,Gnowangerup (S)
34770,643,235,1281,18556,22548,10373,10289,18363,8710,88839,Mackay (R)
34800,4,0,7,148,192,79,83,258,130,890,McKinlay (S)
41140,103,43,211,1373,1910,1065,973,1281,437,7039,Clare and Gilbert Valleys (DC)
47910,43,20,92,413,547,292,311,440,122,2125,Tumby Bay (DC)
54410,22,3,34,148,224,100,130,238,77,917,Kellerberrin (S)
55110,605,449,1550,10246,13663,7525,7278,12366,5680,56758,Mandurah (C)
55180,64,31,155,1338,1896,1063,1074,1272,550,7193,Manjimup (S)
55250,3,0,9,154,199,84,74,355,253,1119,Meekatharra (S)
55320,1024,499,2542,19569,20982,10059,8233,15501,5160,79504,Melville (C)
56620,4,0,4,260,260,147,77,201,93,1038,Ngaanyatjarraku (S)
55460,15,7,37,515,630,318,320,609,184,2576,Merredin (S)
56020,4,0,4,87,129,46,80,134,79,555,Mullewa (S)
56090,172,98,471,5836,7578,4162,3622,4881,3487,29566,Mundaring (S)
57350,19,0,27,135,162,128,141,217,52,835,Quairading (S)
57420,3,5,8,312,356,189,229,396,162,1644,Ravensthorpe (S)
57490,562,261,1225,16431,20740,9748,9558,17219,6724,80420,Rockingham (C)
57560,11,3,17,3530,3720,1370,1187,4067,4322,18196,Roebourne (S)
56450,0,0,0,148,187,78,93,166,37,709,Narrogin (S)
65410,129,49,270,2037,2733,1685,1518,2368,803,11144,Waratah/Wynyard (M)
65610,15,12,37,619,915,471,488,873,350,3716,West Coast (M)
65810,136,119,400,3572,4815,2628,2211,3203,1157,17586,West Tamar (M)
69399,0,0,0,18,17,3,3,55,15,111,
69499,0,0,0,214,186,62,64,299,150,975,
56790,18,22,48,421,651,351,428,469,273,2593,Northampton (S)
56860,3,0,6,30,46,30,26,31,13,176,Nungarin (S)
57700,64,19,129,2848,3552,1779,1844,2439,1108,13570,Serpentine-Jarrahdale (S)
57770,9,0,9,140,188,96,82,149,56,711,Shark Bay (S)
57840,560,229,1108,9358,9344,3544,2615,7134,2904,34899,South Perth (C)
57910,1732,988,4217,39546,42567,17214,14422,34171,14753,162673,Stirling (C)
57980,116,82,323,4366,4193,1529,1032,2801,1245,15166,Subiaco (C)
58050,452,229,1005,18425,21490,9668,8827,18374,7224,84008,Swan (C)
58190,0,4,4,50,67,34,47,65,29,292,Tammin (S)
58260,3,3,13,87,99,57,87,84,58,472,Three Springs (S)
73600,6,4,19,1117,948,489,384,732,526,4196,Roper Gulf (S)
58510,398,352,1105,7068,7200,2496,1838,6402,3165,28169,Victoria Park (T)
58610,25,15,53,257,346,227,231,292,112,1465,Wagin (S)
58680,0,0,0,64,79,54,52,62,34,345,Wandering (S)
58760,696,351,1448,25697,29681,13129,11715,25657,9086,114965,Wanneroo (C)
58820,34,8,57,456,677,401,469,642,205,2850,Waroona (S)
58890,3,0,12,125,174,84,138,113,49,683,West Arthur (S)
79399,0,0,3,1300,1480,519,495,1134,1433,6361,Unincorporated NT
79499,0,0,0,325,357,125,109,527,280,1723,
89399,1938,840,4829,75500,91026,37294,22548,46397,17538,290303,Unincorporated ACT
89499,3,3,6,171,135,35,23,145,66,575,
59250,0,0,0,252,180,50,32,376,146,1036,Wiluna (S)
59320,0,0,0,65,69,36,62,49,19,300,Woodanilling (S)
59330,8,6,18,83,98,57,55,75,53,421,Wyalkatchem (S)
59340,6,3,18,1273,1403,523,538,1365,791,5893,Wyndham-East Kimberley (S)
59350,0,0,0,56,66,22,15,128,66,353,Yalgoo (S)
11250,223,149,490,2236,3419,1860,1772,3939,1952,15178,Broken Hill (C)
13310,266,129,585,4149,5654,2993,2534,4626,2310,22266,Goulburn Mulwaree (A)
13320,507,412,1335,4440,7005,4405,4015,6211,3063,29139,Great Lakes (A)
13340,104,37,205,1485,1896,1083,1112,1508,654,7738,Greater Hume Shire (A)
13380,639,216,1246,6157,9217,5809,5299,8111,3266,37859,Greater Taree (C)
13450,216,116,481,3696,4255,2307,2062,4452,2109,18881,Griffith (C)
13500,43,20,87,501,649,380,458,605,285,2878,Gundagai (A)
13550,98,90,269,1804,2228,1194,1295,1992,1000,9513,Gunnedah (A)
13650,49,15,90,595,786,462,477,792,316,3428,Guyra (A)
13660,70,17,133,625,892,574,614,1010,306,4021,Gwydir (A)
10050,576,170,1066,8739,10398,4648,3762,7904,3058,38509,Albury (C)
10110,208,88,470,4370,5309,2471,1821,3819,1715,19505,Armidale Dumaresq (A)
13700,43,17,88,504,669,400,448,630,237,2888,Harden (A)
13800,462,146,865,10568,13105,6666,5739,9213,3695,48986,Hawkesbury (C)
13850,41,9,65,391,540,280,303,614,231,2359,Hay (A)
13950,687,437,1585,15694,17202,7861,7541,22639,7475,78412,Holroyd (C)
14000,1692,682,3816,30798,34886,17490,13036,24006,6184,126400,Hornsby (A)
14100,400,70,645,2646,2692,1318,972,2450,615,10693,Hunters Hill (A)
14150,1070,321,2124,14282,15242,7268,5779,17899,4391,64861,Hurstville (C)
14200,111,145,367,2204,3062,1737,1740,2710,1205,12658,Inverell (A)
14250,17,7,33,235,243,181,156,268,124,1207,Jerilderie (A)
10150,729,225,1234,8427,8870,3376,2334,8827,3166,35000,Ashfield (A)
10200,476,131,857,11518,10986,4659,4424,20059,7595,59241,Auburn (C)
10250,679,272,1399,6353,8794,4866,3748,6037,2433,32231,Ballina (A)
10300,13,14,37,318,402,192,231,440,231,1814,Balranald (A)
10350,1910,766,3923,27588,28705,13815,13687,44970,14038,142803,Bankstown (C)
10470,346,90,648,6513,8220,3987,3299,5520,2983,30522,Bathurst Regional (A)
10550,327,203,804,4580,7057,4127,3641,4789,2165,26359,Bega Valley (A)
10600,146,45,318,1700,2855,1729,1544,1584,661,10073,Bellingen (A)
10650,79,104,255,1176,1582,919,875,1428,689,6669,Berrigan (A)
10750,1596,488,2772,48209,54063,24251,22890,61490,18737,229640,Blacktown (C)
10800,75,31,152,859,1044,592,716,1017,352,4580,Bland (A)
10850,51,15,98,1001,1467,725,695,1052,477,5417,Blayney (A)
10900,681,338,1555,13201,18209,9280,7189,8935,4330,61144,Blue Mountains (C)
10950,32,8,49,354,475,270,297,556,265,2217,Bogan (A)
11000,34,23,88,360,527,272,296,347,163,1965,Bombala (A)
11050,23,7,48,321,476,244,301,444,147,1933,Boorowa (A)
11100,355,102,671,7125,7433,2948,2492,9229,2985,32212,Botany Bay (C)
11150,11,7,18,307,486,215,212,493,428,2141,Bourke (A)
11200,5,7,21,225,291,149,124,417,113,1319,Brewarrina (A)
13010,129,24,221,1186,1689,983,960,1542,730,7090,Glen Innes Severn (A)
11300,383,195,810,6340,5905,2572,2077,8335,2417,27646,Burwood (A)
11350,287,108,572,5183,6848,3348,2660,3693,2088,23820,Byron (A)
11400,128,46,247,1889,2560,1446,1403,2087,629,10014,Cabonne (A)
11450,429,97,766,10054,11781,5581,4467,8467,2605,42955,Camden (A)
11500,591,447,1367,24352,26900,12498,11510,28587,10105,113952,Campbelltown (C)
11520,658,300,1506,15926,16422,6765,4836,13692,5376,63017,Canada Bay (A)
11550,925,508,2225,21760,22535,10015,9504,34416,11767,109997,Canterbury (C)
11600,19,4,35,420,455,248,300,463,145,2031,Carrathool (A)
11700,6,0,15,266,405,184,179,393,149,1576,Central Darling (A)
11720,497,134,865,7219,9525,4906,5290,9131,3912,39983,Cessnock (C)
11730,660,222,1249,6591,9949,5952,5990,8415,3548,40445,Clarence Valley (A)
11750,38,11,62,643,887,440,446,835,405,3656,Cobar (A)
11800,756,426,1706,10774,14920,7846,6461,10703,4603,55307,Coffs Harbour (C)
11860,3,3,12,251,287,145,179,209,96,1167,Conargo (A)
12000,52,28,103,600,758,397,489,631,305,3180,Coolamon (A)
12050,112,36,251,1557,2140,1145,936,1391,729,7898,Cooma-Monaro (A)
12150,31,14,73,558,728,363,356,841,324,3170,Coonamble (A)
12200,111,27,199,996,1444,827,759,1359,564,5949,Cootamundra (A)
12300,102,106,307,1565,2198,1230,1146,2006,841,8986,Corowa Shire (A)
12350,156,49,326,1621,2247,1360,1297,2249,1063,9837,Cowra (A)
12500,103,51,214,977,1426,793,667,1294,613,5770,Deniliquin (A)
12600,359,105,706,6201,8247,4143,3249,5961,2291,30092,Dubbo (C)
12700,76,23,166,1256,1761,996,987,1270,490,6760,Dungog (A)
12750,537,207,1130,4860,7724,4653,3967,5766,2890,29860,Eurobodalla (A)
17100,359,113,670,6642,6096,2787,2248,8666,3005,29444,Strathfield (A)
17150,2066,860,4597,41661,46401,22490,17019,32402,10517,170490,Sutherland Shire (A)
17200,610,440,1443,49122,36418,8515,4832,35259,23312,157458,Sydney (C)
17310,579,243,1186,8616,11311,5944,5491,9110,4025,44497,Tamworth Regional (A)
17350,80,32,168,784,1087,673,671,1005,379,4599,Temora (A)
17400,79,30,155,835,1331,801,866,1133,547,5513,Tenterfield (A)
17420,914,237,1835,32870,36173,17888,14350,26003,6295,133579,The Hills Shire (A)
17450,39,19,87,482,659,377,335,541,341,2735,Tumbarumba (A)
17500,138,48,268,1470,2201,1220,1146,1954,734,8725,Tumut Shire (A)
17550,1356,669,2902,13142,17659,9579,8132,14866,6568,69946,Tweed (A)
17620,146,48,288,2103,2746,1424,1401,2262,912,10848,Upper Hunter Shire (A)
17640,63,21,147,1125,1510,887,812,1081,468,5883,Upper Lachlan Shire (A)
22310,1900,777,4073,28715,28711,11771,7983,22634,7558,107372,Glen Eira (C)
22410,230,69,432,2784,3953,2288,2056,3507,1345,15933,Glenelg (S)
22490,91,24,149,2745,3797,2113,2207,2659,904,14425,Golden Plains (S)
22620,984,578,2267,17186,21282,10479,9369,16129,6465,80910,Greater Bendigo (C)
30900,0,0,0,84,70,42,43,97,37,373,Boulia (S)
31000,7999,4341,18693,227106,237727,95730,70720,160262,64528,856073,Brisbane (C)
50420,750,197,1362,11976,13559,5499,4379,11903,4234,51550,Bayswater (C)
50490,308,146,673,6574,7252,2781,2444,7040,3299,29390,Belmont (C)
50560,19,7,35,223,275,202,221,242,129,1292,Beverley (S)
50630,12,3,20,348,358,184,188,374,399,1851,Boddington (S)
50770,17,7,37,225,314,174,227,220,91,1251,Boyup Brook (S)
50840,28,3,64,584,941,534,599,573,195,3426,Bridgetown-Greenbushes (S)
50910,28,3,38,136,152,100,103,183,72,746,Brookton (S)
50980,19,14,43,2675,2906,1080,865,2192,1656,11374,Broome (S)
31750,0,0,0,54,72,25,32,106,34,323,Bulloo (S)
31900,202,60,375,2473,3073,1858,1943,3186,1227,13760,Burdekin (S)
31950,0,0,0,77,85,37,18,114,101,432,Burke (S)
32070,785,391,1684,26311,33226,14584,11721,23218,13254,122314,Cairns (R)
32250,4,0,4,274,309,132,131,461,308,1615,Carpentaria (S)
32260,253,91,473,3817,5304,2987,3036,4902,2204,22250,Cassowary Coast (R)
32270,37,40,112,4619,5453,2345,2672,4008,2552,21649,Central Highlands (R)
32310,122,29,209,1621,2152,1105,1284,2146,1088,9396,Charters Towers (R)
51120,11,9,28,132,170,87,133,157,64,743,Bruce Rock (S)
51190,289,168,677,5164,6436,3132,2771,5468,2876,25847,Bunbury (C)
51260,279,98,582,4724,6300,3456,3228,4251,1824,23783,Busselton (S)
51310,321,106,739,5135,5478,2627,2197,3229,1149,19815,Cambridge (T)
51330,592,233,1286,16967,17729,7807,6467,16663,5156,70789,Canning (C)
51400,14,11,58,2218,2959,1500,1443,1702,789,10611,Capel (S)
51470,3,3,6,79,114,58,59,85,44,439,Carnamah (S)
51540,21,13,45,788,1080,478,407,1006,722,4481,Carnarvon (S)
51610,4,0,4,151,232,116,165,177,72,913,Chapman Valley (S)
32330,3,0,3,156,210,151,150,99,17,783,Cherbourg (S)
32450,12,6,21,500,524,187,194,707,454,2566,Cloncurry (S)
32500,6,4,22,512,720,348,344,628,845,3397,Cook (S)
32600,0,3,3,46,41,12,31,53,49,232,Croydon (S)
37300,0,0,0,525,720,252,180,426,350,2453,Weipa (T)
37310,232,119,520,4576,5646,3072,3322,4944,2650,24210,Western Downs (R)
37340,177,67,346,4988,6228,2898,2658,5189,3575,25536,Whitsunday (R)
32750,0,0,0,57,52,15,9,83,21,237,Diamantina (S)
32770,6,0,6,163,178,20,26,401,12,800,Doomadgee (S)
33100,3,0,3,128,138,68,97,214,86,731,Etheridge (S)
33200,9,6,20,254,324,158,167,345,167,1415,Flinders (S)
33220,828,631,2072,12711,18450,10786,10939,16438,7758,77082,Fraser Coast (R)
33360,213,71,419,9383,11478,5575,5368,8386,4472,44662,Gladstone (R)
33430,3831,2639,9300,93153,105706,46682,35853,81793,39588,402775,Gold Coast (C)
